-0.0348565-0j -0.0184855-0j -0.0150933-0j -0.00715939-0j -0.00620021-0j -0.00240133-0j -0.0003602-0j -0.0351073-0j -0.0182423-0j -0.0144218-0j -0.00961452-0j -0.00684085-0j -0.00789914-0j -0.00279277-0j -0.00216327-0j -0.00229449-0j -0.000628372-0j -7.69596e-05-0j 
0.0176755-0j -0.0324188-0j 0.00765371-0j -0.0287419-0j -0.0108736-0j -0.0150694-0j -0.00388911-0j 0.0178026-0j -0.0319923-0j 0.00731318-0j 0.00487545-0j -0.0274632-0j -0.0138531-0j 0.00141619-0j -0.0135754-0j -0.00921142-0j -0.00536395-0j -0.00100493-0j 
0.0134999-0j 0.00715939-0j -0.0464429-0j 0.00277282-0j -0.0405581-0j -0.00738902-0j 0.000139505-0j -0.355889-0j 0.0070652-0j -0.0443766-0j 0.00372369-0j 0.00264945-0j -0.0243061-0j -0.0279437-0j 0.00083783-0j -0.0150092-0j -0.00193354-0j 2.98063e-05-0j 
-0.00640355-0j 0.0268856-0j -0.00277282-0j -0.0301478-0j 0.00901771-0j -0.0412544-0j -0.0234231-0j 0.168813-0j 0.0265319-0j -0.00264945-0j -0.0017663-0j -0.0288064-0j 0.0114887-0j -0.000513064-0j -0.0371645-0j -0.00966197-0j -0.0235339-0j -0.00768883-0j 
-0.260499-0j 0.00640355-0j -0.0651447-0j -0.0309008-0j 0.00214782-0j 0.000831846-0j 0.000124777-0j 0.0121615-0j -0.136333-0j 0.00499585-0j -0.0863256-0j 0.00236974-0j -0.0340937-0j 0.000967443-0j -0.00933694-0j 0.000794835-0j 0.000217675-0j 2.66596e-05-0j 
0.00826695-0j -0.15347-0j 0.00357969-0j 0.001698-0j 0.00147051-0j 0.000569526-0j 8.54289e-05-0j 0.00832642-0j 0.00432654-0j -0.119733-0j 0.00228028-0j -0.0567942-0j 0.00187344-0j 0.000662363-0j 0.000513064-0j 0.000544187-0j 0.000149032-0j 1.82526e-05-0j 
0.151336-0j 0.0128658-0j 0.0241325-0j 0.0114066-0j -0.072885-0j -0.0475143-0j 0.00154344-0j -0.0070652-0j -0.273916-0j 0.0230588-0j -0.00193489-0j 0.0108991-0j -0.0436793-0j 0.01452-0j 0.00538757-0j -0.0617436-0j -0.0169127-0j 0.00039882-0j 
-0.0414452-0j -0.0126079-0j 0.000831846-0j 0.0368991-0j -0.00422883-0j -0.0281984-0j -0.0831911-0j 0.00193489-0j 0.268426-0j 0.000794835-0j 0.00052989-0j 0.0352573-0j -0.00538757-0j 0.000153919-0j -0.0254029-0j 0.0118257-0j -0.050696-0j -0.0378555-0j 
-0.00640355-0j -0.199692-0j 0.0345482-0j -0.129739-0j 0.00393933-0j 0.00545939-0j 0.00140896-0j -0.00644962-0j 0.0115903-0j 0.0450475-0j 0.0457811-0j -0.169167-0j -0.0625315-0j -0.000513064-0j -0.0612782-0j 0.00333715-0j 0.00194327-0j 0.000364071-0j 
-0.00392136-0j 0.0353588-0j 0.0286789-0j -0.000805431-0j -0.0873602-0j 0.00456279-0j -4.05225e-05-0j -0.00394957-0j -0.00205226-0j -0.465921-0j -0.00108163-0j 0.0130851-0j 0.0150092-0j -0.134283-0j -0.000243368-0j -0.0323291-0j 0.00119397-0j -8.65795e-06-0j 
-0.00369709-0j -0.00196068-0j -0.329664-0j 0.0196822-0j 0.0111073-0j 0.00202357-0j -3.8205e-05-0j -0.00372369-0j -0.00193489-0j 0.012153-0j -0.315603-0j -0.000725582-0j -0.172531-0j 0.00765271-0j 0.00594714-0j 0.00411044-0j 0.00052952-0j -8.1628e-06-0j 
0.00263053-0j 0.187783-0j -0.00904967-0j 0.0123845-0j 0.0625667-0j -0.134642-0j 0.00962201-0j 0.00264945-0j -0.0108991-0j 0.147022-0j 0.000725582-0j -0.201199-0j 0.0374956-0j -0.005445-0j 0.0152669-0j -0.0670367-0j -0.0768077-0j 0.00315851-0j 
0.00175369-0j -0.00736293-0j -0.0196822-0j -0.213997-0j -0.0024696-0j 0.011298-0j 0.00641467-0j 0.0017663-0j -0.00726607-0j 0.000725582-0j 0.149703-0j 0.00788897-0j 0.0815495-0j 0.000140508-0j -0.263803-0j 0.00264604-0j 0.00644502-0j 0.00210567-0j 
-0.000509399-0j -0.0773214-0j -0.000220576-0j -0.02133-0j 0.00152532-0j 0.0513718-0j -0.149719-0j -0.000513064-0j 0.0044878-0j 0.00358351-0j -0.000140508-0j 0.346529-0j 0.00194327-0j -4.0814e-05-0j 0.0462789-0j -0.00683598-0j -0.021451-0j -0.116042-0j 
0.00214782-0j -0.00393933-0j 0.195716-0j 0.0435157-0j -0.165483-0j 0.0309276-0j -0.000472581-0j 0.00216327-0j -0.00388751-0j -0.0150092-0j -0.0153554-0j -0.00333715-0j -0.354243-0j 0.0735499-0j 0.0205533-0j -0.140187-0j 0.0110087-0j -0.000122113-0j 
0.000536954-0j 0.000284763-0j -0.00808655-0j 0.000110288-0j 0.0849658-0j -0.00128656-0j 5.54877e-06-0j 0.000540817-0j 0.000281017-0j -0.00772676-0j 0.000148109-0j 0.000105381-0j -0.00423212-0j -0.619626-0j 3.33245e-05-0j 0.031443-0j -0.000336663-0j 1.18554e-06-0j 
-0.000831846-0j 0.00545939-0j -0.0356563-0j 0.199076-0j -0.0309276-0j -0.0970096-0j 0.0360228-0j -0.00083783-0j 0.00538757-0j 0.00273443-0j 0.00594714-0j -0.0152669-0j 0.230933-0j 0.00172186-0j -0.137053-0j 0.0864872-0j -0.174407-0j 0.0163919-0j 
-0.000509399-0j 0.00213874-0j 0.00569854-0j -0.00239824-0j 0.306597-0j 0.0847836-0j -0.00186329-0j -0.000513064-0j 0.0021106-0j 0.005445-0j -0.000140508-0j -0.00229154-0j -0.0236108-0j 0.119727-0j -0.00295642-0j -0.328501-0j 0.0483655-0j -0.000611642-0j 
0.000124777-0j -0.00140896-0j -0.000673191-0j -0.11303-0j -0.000472581-0j -0.0360228-0j -0.0304695-0j 0.000125674-0j -0.00139043-0j 5.16261e-05-0j -0.00089207-0j 0.0086681-0j 0.00750158-0j 9.99735e-06-0j 0.404333-0j 0.00290737-0j 0.0639773-0j -0.181182-0j 
0.000170858-0j -0.00152532-0j -0.00124957-0j 0.00715429-0j -0.0640755-0j 0.291022-0j 0.0502172-0j 0.000172087-0j -0.00150525-0j -0.00119397-0j 4.71279e-05-0j 0.00683598-0j 0.0110087-0j 0.00585086-0j -0.0155224-0j 0.287165-0j -0.12152-0j 0.0389216-0j 
