-0.140977-0j -0.0202832-0j 0.0761695-0j 0.0183035-0j -0.0189293-0j -0.0367747-0j 0.0380322-0j -0.0360377-0j 0.0372699-0j 0.0129019-0j -0.0111544-0j -0.0244396-0j 0.00123117-0j 0.00432744-0j 0.0211293-0j -0.0229821-0j -0.0037413-0j -0.00233215-0j -0.00946308-0j 0.000412947-0j 0.0198692-0j -0.00219307-0j 0.00818133-0j -0.000903017-0j 
-0.0291167-0j 0.180476-0j -0.0107751-0j 0.00840579-0j -0.0144702-0j -0.0387976-0j 0.0667882-0j 0.00133735-0j -0.00230219-0j 0.15669-0j -0.136561-0j -0.00504762-0j 0.135726-0j 0.0522069-0j 0.0043992-0j 0.016474-0j -0.0455003-0j -0.00437228-0j -0.000401536-0j 0.0452219-0j -0.0143577-0j 0.0142698-0j 0.000349954-0j -0.000347813-0j 
-0.0194111-0j -0.015144-0j -0.00718341-0j -0.145248-0j 0.250037-0j 0.00325555-0j -0.00560428-0j 0.000891569-0j -0.00153479-0j -0.00614377-0j 0.00535453-0j 0.0872202-0j -0.00532177-0j -0.00206068-0j -0.0760158-0j -0.00138235-0j 0.00179597-0j 0.0755506-0j -0.000267691-0j -0.00178498-0j 0.00120477-0j -0.0011974-0j 0.000233303-0j -0.000231875-0j 
0.0322263-0j 0.127399-0j -0.0076062-0j 0.0144702-0j -0.014965-0j -0.0667882-0j 0.069072-0j 0.00230219-0j -0.00238091-0j -0.173424-0j 0.149934-0j 0.0055867-0j -0.016549-0j -0.0577825-0j -0.00482999-0j -0.0182333-0j 0.049956-0j 0.000533112-0j 0.000444419-0j -0.0055139-0j 0.0157637-0j -0.00173992-0j -0.000384224-0j 4.24088e-05-0j 
-0.109342-0j 0.0107751-0j 0.117154-0j -0.00398722-0j 0.00686381-0j 0.0183383-0j -0.0315686-0j -0.0593224-0j 0.102121-0j -0.0743246-0j 0.0647768-0j -0.0189553-0j -0.0643804-0j 0.0014662-0j 0.0165203-0j 0.0225446-0j -0.00127785-0j -0.0164192-0j 0.0388289-0j 0.00127003-0j -0.0196485-0j 0.0195283-0j -0.0338409-0j 0.0336339-0j 
0.0214842-0j -0.0106902-0j -0.0050708-0j -0.250037-0j 0.258586-0j 0.00560428-0j -0.00579591-0j 0.00153479-0j -0.00158727-0j 0.00679991-0j -0.00587888-0j -0.0965351-0j 0.000648883-0j 0.00228076-0j 0.0834597-0j 0.00152998-0j -0.00197184-0j -0.00921188-0j 0.000296279-0j 0.000217642-0j -0.00132275-0j 0.000145999-0j -0.000256149-0j 2.82725e-05-0j 
0.121019-0j 0.0076062-0j 0.0826993-0j -0.00686381-0j 0.00709851-0j 0.0315686-0j -0.032648-0j -0.102121-0j 0.105613-0j 0.0822623-0j -0.0711201-0j 0.0209797-0j 0.0078499-0j -0.00162279-0j -0.0181381-0j -0.0249523-0j 0.00140299-0j 0.00200199-0j -0.0429758-0j -0.000154855-0j 0.0215726-0j -0.00238108-0j 0.0371548-0j -0.00410097-0j 
-0.0551546-0j -0.0988509-0j -0.0467235-0j 0.0573645-0j -0.0987503-0j -0.0734927-0j 0.126514-0j 0.00906488-0j -0.0156048-0j 0.00504762-0j -0.0043992-0j 0.119133-0j 0.00437228-0j -0.0285949-0j -0.103829-0j 0.0714351-0j 0.0249216-0j 0.103193-0j -0.00370225-0j -0.0247691-0j -0.0622584-0j 0.0618775-0j 0.00322665-0j -0.00320691-0j 
0.00563842-0j -0.113645-0j 0.00208659-0j -0.00162777-0j 0.00280214-0j 0.0244307-0j -0.0420563-0j -0.000258977-0j 0.000445817-0j 0.0017846-0j -0.00155535-0j 0.000977468-0j 0.00154584-0j 0.255831-0j -0.000851901-0j -0.0103736-0j -0.222966-0j 0.000846689-0j 7.77571e-05-0j 0.221602-0j 0.00904098-0j -0.00898566-0j -6.77683e-05-0j 6.73537e-05-0j 
0.0610449-0j -0.0697793-0j -0.0329823-0j 0.0987503-0j -0.102127-0j -0.126514-0j 0.13084-0j 0.0156048-0j -0.0161383-0j -0.0055867-0j 0.00482999-0j -0.131856-0j -0.000533112-0j 0.0316488-0j 0.113996-0j -0.0790642-0j -0.027362-0j -0.0125823-0j 0.00409763-0j 0.00302009-0j 0.0683552-0j -0.00754472-0j -0.00354262-0j 0.000391018-0j 
0.0540491-0j -0.00340739-0j -0.151145-0j -0.0157099-0j 0.0270439-0j -0.00906488-0j 0.0156048-0j -0.0427417-0j 0.0735779-0j -0.00138235-0j 0.00120477-0j -0.116745-0j -0.0011974-0j -0.000463654-0j 0.101748-0j -0.0290858-0j 0.000404092-0j -0.101125-0j 0.0881686-0j -0.00040162-0j 0.0253494-0j -0.0251943-0j -0.0768424-0j 0.0763722-0j 
-0.00624059-0j -0.0802226-0j 0.00147294-0j -0.00280214-0j 0.00289795-0j 0.0420563-0j -0.0434943-0j -0.000445817-0j 0.000461061-0j -0.0019752-0j 0.00170766-0j -0.00108186-0j -0.000188483-0j -0.283153-0j 0.000935324-0j 0.0114815-0j 0.2448-0j -0.000103237-0j -8.60614e-05-0j -0.0270199-0j -0.00992632-0j 0.00109562-0j 7.44046e-05-0j -8.21243e-06-0j 
0.0366744-0j 0.0610413-0j -0.0392945-0j 0.00133735-0j -0.00230219-0j 0.103887-0j -0.178837-0j 0.0198973-0j -0.0342523-0j -0.0014662-0j 0.00127785-0j 0.00635781-0j -0.00127003-0j -0.0615921-0j -0.00554107-0j 0.127716-0j 0.0536799-0j 0.00550717-0j -0.0130236-0j -0.0533514-0j -0.111309-0j 0.110628-0j 0.0113506-0j -0.0112811-0j 
-0.0598214-0j -0.00240529-0j -0.106694-0j -0.0270439-0j 0.0279686-0j -0.0156048-0j 0.0161383-0j -0.0735779-0j 0.0760937-0j 0.00152998-0j -0.00132275-0j 0.129213-0j 0.000145999-0j 0.000513171-0j -0.111711-0j 0.0321921-0j -0.000443663-0j 0.0123302-0j -0.0975848-0j 4.89694e-05-0j -0.0278318-0j 0.00307194-0j 0.0843672-0j -0.00931205-0j 
-0.0405911-0j 0.0430893-0j -0.0277382-0j 0.00230219-0j -0.00238091-0j 0.178837-0j -0.184952-0j 0.0342523-0j -0.0354235-0j 0.00162279-0j -0.00140299-0j -0.0070368-0j 0.000154855-0j 0.0681699-0j 0.00608369-0j -0.141355-0j -0.0589365-0j -0.000671489-0j 0.0144145-0j 0.00650513-0j 0.122209-0j -0.0134889-0j -0.0124621-0j 0.00137551-0j 
-0.021356-0j -0.00786354-0j 0.0957106-0j -0.000366249-0j 0.000630481-0j -0.0284566-0j 0.0489867-0j 0.0852987-0j -0.146838-0j 0.000401536-0j -0.000349954-0j -0.00370225-0j 0.000347813-0j -0.00227471-0j 0.00322665-0j -0.146331-0j 0.0019825-0j -0.00320691-0j 0.0408675-0j -0.00197037-0j 0.127533-0j -0.126753-0j -0.0356176-0j 0.0353997-0j 
0.0236368-0j -0.00555091-0j 0.0675625-0j -0.000630481-0j 0.000652039-0j -0.0489867-0j 0.0506617-0j 0.146838-0j -0.151859-0j -0.000444419-0j 0.000384224-0j 0.00409763-0j -4.24088e-05-0j 0.00251764-0j -0.00354262-0j 0.161959-0j -0.00217664-0j 0.000391018-0j -0.045232-0j 0.000240247-0j -0.140022-0j 0.0154549-0j 0.0391055-0j -0.00431628-0j 
0.00400104-0j -0.00012122-0j -0.0312699-0j 4.48562e-05-0j -7.72178e-05-0j -0.000671037-0j 0.00115516-0j -0.063694-0j 0.109646-0j -4.91779e-05-0j 4.28605e-05-0j 0.000693614-0j -4.25982e-05-0j -1.64948e-05-0j -0.000604511-0j -0.00601746-0j 1.43758e-05-0j 0.000600812-0j -0.221078-0j -1.42879e-05-0j 0.00524445-0j -0.00521236-0j 0.192678-0j -0.191499-0j 
-0.00442834-0j -8.55698e-05-0j -0.0220735-0j 7.72178e-05-0j -7.98582e-05-0j -0.00115516-0j 0.00119466-0j -0.109646-0j 0.113395-0j 5.443e-05-0j -4.70576e-05-0j -0.00076769-0j 5.19399e-06-0j 1.82564e-05-0j 0.000663708-0j 0.00666011-0j -1.57836e-05-0j -7.3257e-05-0j 0.244689-0j 1.74212e-06-0j -0.00575801-0j 0.000635542-0j -0.211546-0j 0.0233495-0j 
