-0.0417926-0j -0.0228908-0j -0.0140177-0j -0.00940334-0j -0.00182095-0j -0.0412428-0j -0.0218723-0j -0.0178587-0j -0.0084711-0j -0.00733619-0j -0.00284129-0j -0.000426194-0j -0.0265386-0j -0.0293729-0j -0.0137899-0j -0.0152626-0j -0.0109018-0j -0.0072679-0j -0.0120661-0j -0.0051712-0j -0.00804409-0j -0.00572347-0j -0.00597119-0j -0.00211113-0j -0.00660889-0j -0.00163528-0j -0.0023366-0j -0.00173447-0j -0.00180992-0j -0.00191971-0j -0.000475005-0j -0.000525734-0j -5.8176e-05-0j -6.4389e-05-0j 
0.0214123-0j -0.0405605-0j 0.00718192-0j -0.0381416-0j -0.0157052-0j 0.0211306-0j -0.0387559-0j 0.00914984-0j -0.0343603-0j -0.0129991-0j -0.0180151-0j -0.00464934-0j -0.355889-0j -0.393897-0j -0.0244345-0j -0.027044-0j 0.00558553-0j 0.00372369-0j 0.00618205-0j -0.0209753-0j 0.00412137-0j -0.0232154-0j -0.0105804-0j 0.00108163-0j -0.0117104-0j -0.0103684-0j 0.00119715-0j -0.00703534-0j -0.0114757-0j -0.00778669-0j -0.00409678-0j -0.00453431-0j -0.00076753-0j -0.0008495-0j 
0.0165859-0j 0.00908449-0j -0.0939596-0j -0.0296491-0j 0.000722666-0j -0.353118-0j 0.0086803-0j -0.0563091-0j 0.00336186-0j -0.0491741-0j -0.00895872-0j 0.000169141-0j 0.0105322-0j 0.011657-0j -0.118068-0j -0.130677-0j -0.034374-0j 0.00288436-0j -0.038045-0j 0.00205226-0j 0.0031924-0j 0.00227143-0j -0.0188274-0j -0.0216451-0j -0.0208381-0j 0.00064898-0j -0.0239568-0j -0.0116261-0j 0.00071829-0j -0.0128677-0j -0.00149771-0j -0.00165766-0j 2.30879e-05-0j 2.55536e-05-0j 
-0.0078674-0j 0.0341149-0j -0.0026388-0j -0.0405747-0j -0.0698826-0j 0.167499-0j 0.0325971-0j -0.00336186-0j -0.0365522-0j 0.0109334-0j -0.0500183-0j -0.028399-0j -0.00499585-0j -0.0055294-0j -0.44338-0j -0.490732-0j -0.00205226-0j -0.00136817-0j -0.00227143-0j -0.0223134-0j -0.00151429-0j -0.0246964-0j 0.00889908-0j -0.000397418-0j 0.00984947-0j -0.0287875-0j -0.000439861-0j -0.00748413-0j -0.0318619-0j -0.00828341-0j -0.0182293-0j -0.0201761-0j -0.00595574-0j -0.0065918-0j 
-0.257433-0j -0.103327-0j 0.00507838-0j 0.00340668-0j 0.000659701-0j 0.0149416-0j -0.134728-0j -0.0806125-0j -0.0382378-0j 0.00265779-0j 0.00102936-0j 0.000154404-0j 0.00961452-0j 0.0106413-0j 0.00499585-0j 0.0055294-0j -0.0671529-0j -0.0682464-0j -0.0743246-0j -0.0318534-0j -0.0755349-0j -0.0352553-0j -0.0269534-0j 0.000764831-0j -0.029832-0j -0.0073815-0j 0.000846512-0j 0.000628372-0j -0.00816982-0j 0.000695481-0j 0.000172087-0j 0.000190465-0j 2.10763e-05-0j 2.33271e-05-0j 
0.149555-0j 0.0166619-0j 0.0498296-0j -0.124483-0j 0.00645155-0j -0.0086803-0j -0.270692-0j 0.0298624-0j 0.014115-0j -0.0901906-0j -0.0587959-0j 0.00190991-0j -0.00558553-0j -0.00618205-0j 0.0100375-0j 0.0111095-0j -0.309949-0j -0.00152966-0j -0.343051-0j -0.146503-0j -0.00169302-0j -0.162149-0j -0.0345315-0j 0.0114791-0j -0.0382194-0j 0.00425925-0j 0.012705-0j -0.0488126-0j 0.00471413-0j -0.0540257-0j -0.0133707-0j -0.0147986-0j 0.000315295-0j 0.000348968-0j 
-0.00586401-0j -0.287909-0j -0.00196685-0j 0.0104455-0j 0.00430103-0j -0.00578687-0j 0.0106137-0j 0.0649479-0j -0.243899-0j 0.00355996-0j 0.00493363-0j 0.00127328-0j -0.00372369-0j -0.00412137-0j 0.00669166-0j 0.00740631-0j -0.00152966-0j -0.315603-0j -0.00169302-0j 0.00574433-0j -0.349308-0j 0.00635781-0j -0.0751028-0j -0.000296218-0j -0.0831236-0j -0.0735975-0j -0.000327853-0j 0.00192671-0j -0.0814575-0j 0.00213247-0j 0.00112195-0j 0.00124177-0j 0.000210197-0j 0.000232645-0j 
-0.0409573-0j -0.016328-0j 0.000807966-0j 0.0506851-0j -0.153643-0j 0.0023772-0j 0.265266-0j 0.00102936-0j 0.0456602-0j -0.00523291-0j -0.0348938-0j -0.102944-0j 0.00152966-0j 0.00169302-0j -0.00983632-0j -0.0108868-0j -0.010684-0j 0.000418915-0j -0.011825-0j -0.47392-0j 0.000463654-0j -0.524533-0j -0.00425925-0j 0.000121684-0j -0.00471413-0j -0.0200827-0j 0.000134679-0j 0.00934901-0j -0.0222275-0j 0.0103475-0j -0.0400787-0j -0.044359-0j -0.0299274-0j -0.0331236-0j 
-0.00507838-0j 0.0346569-0j -0.213332-0j 0.0192989-0j -0.00022127-0j -0.00501157-0j -0.00265779-0j -0.456671-0j 0.0128254-0j -0.111648-0j 0.00583133-0j -5.17885e-05-0j -0.00322481-0j -0.00356921-0j -0.00167566-0j -0.00185462-0j 0.0223744-0j 0.0228905-0j 0.0247639-0j -0.000628372-0j 0.0253352-0j -0.000695481-0j -0.152692-0j -0.109642-0j -0.168999-0j 0.00247583-0j -0.121351-0j -0.0263966-0j 0.00274024-0j -0.0292157-0j 0.000974876-0j 0.00107899-0j -7.06919e-06-0j -7.82416e-06-0j 
0.00340668-0j 0.184056-0j -0.0192989-0j -0.139587-0j 0.03026-0j 0.00336186-0j -0.014115-0j 0.144103-0j -0.197205-0j 0.0799615-0j -0.172075-0j 0.0122971-0j 0.00216327-0j 0.0023943-0j -0.00889908-0j -0.00984947-0j -0.00706027-0j -0.0153554-0j -0.00781429-0j 0.00966197-0j -0.0169954-0j 0.0106938-0j -0.381451-0j -0.00444582-0j -0.422189-0j -0.155313-0j -0.00492062-0j -0.0547353-0j -0.1719-0j -0.0605808-0j -0.0627133-0j -0.0694109-0j 0.00257891-0j 0.00285433-0j 
0.00170334-0j -0.00322657-0j 0.244181-0j 0.0783865-0j -0.00124934-0j 0.00168093-0j -0.00308301-0j -0.0188042-0j -0.00273335-0j -0.441963-0j 0.0370235-0j -0.000369853-0j 0.00108163-0j 0.00119715-0j -0.00194375-0j -0.00215134-0j -0.0114791-0j 0.000296218-0j -0.012705-0j -0.00166858-0j 0.000327853-0j -0.00184678-0j 0.0217443-0j -0.252406-0j 0.0240666-0j -0.0008248-0j -0.279362-0j -0.239197-0j -0.000912886-0j -0.264743-0j 0.00841947-0j 0.00931864-0j -6.10566e-05-0j -6.75773e-05-0j 
