-0.0685527-0.0866495j -0.00509669-0.0349147j 0.00129781-0.0236761j 0.0399005-0.0948631j 0.0151827+0.0214792j 0.00194287+0.0438226j -0.00746445-0.0102121j 0.0445389-0.000660259j -0.0129688+0.0226836j -0.00723239+0.0454066j -0.0234205+0.0153237j -0.00284801+0.0326953j 0.00446004+0.0198406j 0.0140522-0.00790523j 0.0010516-0.0216998j -0.00784428-0.0159031j -0.0135745+0.0255336j -0.00887205+0.0159906j 0.0156114+0.0221462j -0.0127096+0.00858043j -0.01471-0.00196848j -0.0467624+0.0213548j 0.00207944-0.0204258j -0.00443152+0.017632j -0.00102946+0.0190418j -0.000563678-0.0264796j -0.0174996-0.0214029j 0.0010643-0.017695j -0.0141667+0.0089173j 0.00050844+0.00151114j 0.016538+0.00770021j -0.0166549-0.00187896j -0.00666251+0.037323j -0.0412671+0.0161942j 0.00783061+0.00307133j -0.0141182+0.0237048j 0.00815404-0.00350466j 0.00142165-0.0126778j -0.00465078-0.02424j -0.0220629-0.000688185j 0.00962727+0.0127268j -4.71048e-05+0.04138j 0.000992402-0.00157811j -0.0110937-0.0213396j -0.0045033+0.00461788j -0.0103583+0.0243922j -0.0102374+0.000693243j -0.0152138+0.000689203j -0.00411314+0.0124165j -0.0133924+0.000359346j -0.0142917+0.00653261j 0.0049492+0.0271737j -0.0184889+0.00116087j 0.0130411-0.0105718j 0.00387515-0.00173332j -0.00304611+0.00675743j -0.00740887+0.00610405j 0.000602423+0.0028422j 0.0358489+0.0125929j 0.00961616+0.0211668j -0.0178108+0.0109503j 0.0016984-0.00304853j -0.0222033+0.0165971j -0.0111846-0.0195064j -0.0310078+0.00938296j 0.0245355-0.0204293j -0.0106416-0.00315026j 0.0171613-0.0150071j 0.000705612+0.0150178j -0.00795058+0.0211943j 0.0178071+0.0156583j 0.0061424+0.0107776j -0.0194133-0.0107214j -0.00876687-0.00319464j -0.0578238-0.0118666j -0.0473453-0.00816329j -0.00763984-0.01624j -0.0127605+0.0720512j 0.00625752-0.060579j 0.033565-0.0615087j 0.0339097+0.0693857j 0.0248852+0.00178621j -0.0827667+0.03638j -0.0559771-0.0082347j 0.000725698-0.0128771j -0.05133-0.0186032j -0.00570334-0.097457j 0.134007+0.0187391j 0.0120725+0.0418199j -0.0217609-0.00102615j 0.00898606-0.00953263j 0.0327293-0.0247959j -0.146579-0.0832745j -0.0525235+0.00280937j -0.116847-0.129986j 
-0.00928174-0.0456616j 0.0775331+0.0919602j 0.00188238-0.0862527j -0.0207843+0.00347501j 0.0314808+0.0163784j -0.0123643-0.00905686j 0.00783047-0.0283992j -0.0049806-0.0302223j 0.0333783-0.0192236j 0.0381684+0.00491436j 0.00711482-0.00425644j 0.0174813-0.0383964j 0.0185467-0.0210092j -0.00421104-0.0209516j -0.0149446+0.00105089j -0.0097831+0.0165328j 0.0228496+0.0178645j -0.00462018+2.866e-05j 0.019916-0.0139375j 0.00750928-0.00235273j -0.0100176+0.0196703j 0.00594316+0.0254318j 9.40613e-05+0.026153j 0.00961256+0.0108165j -0.00851799-0.0199042j -0.00421522+0.00026597j -0.0246036+0.01624j -0.040212-0.0118083j 0.0269245+0.00360379j 0.00631972-0.0299821j 0.00439306-0.00764603j -0.0278093-0.0102731j 0.0221428-0.000384257j -0.00320344+0.0179086j -0.0152161-0.00403556j 0.0020318+0.00712071j 0.00436294+0.00213554j -0.0245599+0.000978738j 0.0133445+0.00681722j 0.018699+0.0285151j 0.0271576+0.00431867j 0.0285484-0.0203069j -0.00802493+0.00189102j -0.0154834-0.0031229j -0.00217111+0.00153347j -0.0130803+0.0229936j -0.00146168+0.0178352j -0.00746091+0.00188433j 0.00227509+0.000840137j 0.00355828+0.00725483j 0.0245855-0.00102806j 0.0114405-0.0123261j -0.0180233+0.0279017j -0.0150094-0.00361641j -0.0018624+0.0171239j 0.0257818-0.0158618j 0.0151094+0.0200512j 0.00425342-0.0107742j 0.0261613-0.0210236j 9.07425e-05-0.022998j 0.0134666-0.0191419j -0.02308-0.00731602j -0.0124617+0.00286242j -0.0248603+0.014246j -0.0329397+0.0147815j 0.0094312-0.00736747j -0.0155811+0.00225152j 0.0258705-0.0022258j 0.0289665+0.0138174j 0.0037391+0.00677605j 0.00502327-0.000976848j 0.00799429-0.00734642j -0.0335587+0.00403225j -0.0170941-0.00189954j 0.0121108+0.0520062j 0.0168348+0.0410789j 0.00885745+0.00897542j 0.0464265+0.0147379j -0.0343176-0.0156011j -0.0285203-0.0406928j 0.0808345-0.0705037j 0.0587397-0.0461412j 0.0273991+0.0709841j 0.0374633+0.0261001j -0.00730635+0.00987772j -0.00855066+0.0485274j -0.157536+0.00178947j -0.0212032-0.0934725j 0.0307365+0.0675368j 0.0051782-0.0100683j 0.0147088-0.00792602j -0.100974-0.0433356j -0.0659942+0.0765006j 0.107944+0.11695j -0.0683994+0.0148528j 
-0.0285406+0.0145868j -0.12197-0.0178779j 0.0699911+0.00816624j 0.0499631+0.0420644j -0.0431354-0.0330191j 0.0222982-0.0411667j 0.0470152-0.0699511j 0.0148906+0.0624147j -0.0181705-0.00517898j -0.0188873-0.0126259j -0.00177487-0.008987j -0.00751429+0.00091105j -0.0243394-0.0119226j 0.0287329+0.0349847j 0.010197+0.0283925j 0.00855539+0.0169532j -0.0186729-0.00662702j 0.0068336-0.0517357j -0.00609111+0.0218163j -0.0414225+0.0205782j -0.0134127+0.0037061j 0.0111363-0.0435935j 0.0342967-0.0135759j 0.0083188+0.00245982j -0.0525591+0.0200332j 0.0303431-0.00830946j -0.035821+0.0190126j -0.0238463+0.0159491j 0.00962889+0.00548934j 0.0250955+0.0289747j -0.013309-0.0439355j 0.0244035-0.00105445j 0.000480231-0.0368456j 0.00167144+0.0246436j -0.00814346+0.0173959j -0.0194072-0.0365611j -0.0114053+0.00466861j 0.0297237+0.00574507j 0.0430384+0.0360123j -0.00737086-0.0131158j 0.00921434+0.00649199j 0.0293356+0.00886615j 0.00348952+0.044954j 0.0239628-0.0297105j -0.00774228+0.00315298j -0.0591875+0.0469835j 0.0322872-0.0222547j 0.000274355+0.028999j 0.00187535-0.00630109j 0.0267087+0.0171936j 0.0246654-0.0436245j 0.00242338+0.0164239j 0.00487727-0.0181109j -0.0155886+0.014179j 0.0331489-0.026955j -0.0285463-0.0122795j 0.038485-0.0816771j 0.0145173-0.0146731j -0.00734497-0.0180136j -0.0329981+0.00461416j -0.0206831+0.029027j -0.0298212+0.077303j -0.00496194-0.0106645j 0.0224752-0.00175698j 0.0144856-0.0189499j -0.00141688+0.0169022j 0.0145764+0.000396712j 0.00119838+0.053664j -0.0249693+0.00543113j -0.0110882+0.00510374j -0.0219274-0.0372883j -0.0140446+0.0447205j -0.0408143-0.0115181j 0.023899-0.0229417j 0.0423953-0.0131356j 0.0287472+0.0674487j -0.0402835+0.0511295j -0.00566916+0.0309865j -0.0329603-0.0187885j -0.00965461-0.0183299j 0.0718981-0.0359075j -0.0598986+0.0488344j -0.0561586-0.0224711j -0.0393464-0.0745408j -0.0314059-0.0121382j 0.00304051-0.0461317j 0.0229832-0.0454044j 0.0319061-0.0291528j 0.0966105+0.136564j -0.00187532-0.0126836j 0.0125987-0.00113583j -0.000183601-0.0687431j 0.0690989+0.138902j -0.188129+0.306389j 0.219033+0.0699542j 
0.107069-0.0257023j 0.00563934-0.0227571j -0.0615124+0.0657582j -0.0325321-0.0635036j -0.0225871+0.0130456j -0.0435807+0.00159925j 0.0157911+0.0638669j -0.0174794+0.0233494j -0.0395279+0.0371251j -0.0310426-0.0406458j -0.00107466-0.0351474j -0.0325939+0.000174074j -0.0265459+0.0228768j -0.0285715+0.0346424j -0.0370522-0.00548327j 0.0193465-0.0431206j -0.0304151-0.0289412j 0.0223237+0.0531316j -0.00173397-0.0382581j -0.00240569-0.0144578j -0.0211553-0.0155023j 0.033268+0.0086648j -0.0175716-0.0329476j -0.00642405-0.0463041j -0.00586588-0.0218168j 0.0135027+0.0117267j 0.0273127+0.0167924j -0.0286619+0.0289337j 0.0115358+0.00913208j -0.00730158-0.0146088j 0.0526234+0.00470225j 0.00892707+0.00718037j -0.0132325-0.0227944j 0.00473873-0.0174666j -0.0050619-0.037119j 0.00426289-0.0226085j 0.000180197-0.00110707j -0.0174791+0.0351393j -0.0345297-0.023136j 0.0249936-0.0325148j -0.0181706+0.0214068j -0.0223881+0.0225669j -0.0456836+0.0254829j 0.0601+0.03579j 0.0290429-0.0127806j -0.0211771+0.0040987j -0.00931459+0.0397182j -0.0194709-0.02313j 0.0214648-0.00664913j -0.0124829-0.00913135j 0.0301442+0.00832421j 0.045139-0.0723509j 0.0281949+0.0115497j -0.0094944+0.0142149j 0.00812877-0.00757214j 0.0132558-0.0266213j 0.0239667+0.00457968j -0.0103527+0.0425916j -0.0163343-0.0161734j 0.0124343-0.0292595j -0.0035139+0.00102071j -0.0093337+0.00366168j 0.0340435-0.0235856j 0.0148836+0.0253276j 0.0317819-0.0106757j -0.0199854+0.0223556j 0.0195387+0.00924007j -0.0209598+0.0329152j -0.0252033-0.01948j 0.0130245+0.0303669j 0.0341848-0.0167322j -0.0112268+0.0241583j -0.00672479-0.0334004j 0.0295341-0.00435375j 0.0603349-0.000905227j -0.0544614-0.00374643j -0.0926254-0.0644642j 0.0104448-0.0125067j 0.0799321-0.0100897j -0.0446962+0.00727319j 0.0529249+0.0261461j -0.0405957-0.134514j 0.055027-0.045276j 0.013055-0.0476264j 0.0234083-0.0532491j -0.00919387-0.0537054j 0.0346497-0.0340596j -0.0268907+0.123277j -0.0614182+0.097436j -0.0401352-0.00578701j 0.000160783+0.0248264j 0.0656833-0.015744j -0.138217+0.0815978j 0.195431+0.00113643j 0.146909-0.271041j 
-0.0307754-0.0388598j 0.0249395-0.00151579j -0.035823-0.0569463j -0.00239371-0.0980326j -0.0366156-0.0639537j 0.0329719+0.0381349j 0.000973898-0.00494088j 0.0543733+0.00364498j 0.0185387+0.0573843j 0.0329141-0.000182264j -0.05324+0.0665656j 0.00539073+0.097538j 0.0432974+0.082139j 0.0473402-0.0143122j -0.0751935-0.00996733j -0.0494578-0.0335449j -0.0281536+0.0614131j 0.0483476+0.0426587j 0.00105546-0.0310182j -0.0682495-0.0558324j 0.00146752-0.0313481j -0.022439-0.044401j -0.00301294-0.0380961j 0.0316729+0.033931j 0.0116146+0.00569348j 0.0252811+0.00591065j -0.0118681+0.00193719j -0.00912692+0.0062056j 0.00445713-0.027978j 0.0189398+0.0332356j 0.0221856+9.12496e-06j 0.0133997+0.00842987j 0.0115287+0.0305305j -0.0636638-0.00401513j -0.00805833+0.0148557j -0.00979595-0.0465932j 0.0221001-0.0177264j 0.0171449+0.00243929j -0.0509391+0.00887385j -0.0392827+0.0195501j 0.0259108+0.0196286j 0.0190388+0.0743218j 0.0187846+0.0384065j 0.0404363+0.0250383j -0.00591094+0.0477496j -0.0132815-0.0239974j 0.00374584+0.00281505j -0.0217643-0.0222144j 0.0212671-0.0224074j 0.00875461-0.0293355j 0.0171628-0.00689658j -0.0159666-0.0124858j -0.00489547-0.0398112j 0.02028-0.000534723j 0.0258144+0.00604475j 0.0053434-0.00694054j 0.0215182-0.00704654j -0.0320654-0.00621951j 0.0287152+0.00478151j 0.0368076-0.00971186j -0.0162534-0.0133901j 0.0451021-0.0221853j 0.0364911-0.0176885j 0.0236069-0.00271711j 0.0209141-0.0124502j -0.0105045+0.0271509j -0.00776174-0.0150479j 0.0376607+0.0327461j 0.0206097+0.0195774j 0.0398353-0.0172019j 0.0111623-0.0245915j 0.0105697+0.0245118j -0.0641779+0.0515751j -0.0454226-0.00891235j -0.0309468-0.0429481j -0.0428371-0.0570656j -0.028798-0.0493687j 0.0360789-0.0254972j 0.00993461-0.0942793j 0.131149+0.0296284j -0.024376-0.00329051j -0.0285557+0.00916622j 0.00542079+0.0578493j 0.00121415-0.0419042j -0.0663003-0.0833225j -0.0115525+0.0199648j 0.0135332-0.0577086j 0.0547934+0.0517643j 0.00692935+0.00729686j 0.0126516+0.121524j 0.0494263+0.025948j -0.00586475+0.064002j -0.0343995-0.0541578j 0.0336834-0.0374584j 0.0108742-0.0938285j 
0.0690469-0.0322135j 0.0505326+0.0279727j -0.065463-0.0208153j 0.000519854+0.0296424j 0.0493446-0.00591695j 0.0452337+0.0800801j -0.0212821-0.00546902j -0.0270399+0.0330454j 0.0623012-0.0585145j 0.0657723-0.0164288j 0.0130443+0.0484375j 0.0354197-0.0193114j 0.059707-0.0266542j -0.0217033-0.0192057j -0.00816863+0.0048677j 0.0110876+0.03154j 0.0534991+0.0524616j 0.0151673-0.0142915j -0.0211912+0.00737208j -0.0294278+0.0499932j -0.0129557+0.0233217j -0.0672366-0.0358054j 0.0277917-0.000623828j 0.00550711-0.017069j -0.0128456+0.0099842j 0.01747+2.69818e-05j -0.0454729+0.0273939j -0.0267154+0.0283177j 0.00634739+0.00219405j 0.00896206+0.0196977j -0.00139307-0.022194j -0.00659235+0.0173513j 0.0322954+0.00841879j -0.0164176+0.0535895j -0.0559743+0.0319307j 0.00711591+0.0360348j 0.0300567+0.000289505j -0.0230238+0.0652351j 0.0214233+0.0200219j 0.0442139+0.0143446j 0.0128847-0.00534711j 0.0407249+0.0150359j 0.012761+0.00405611j 0.00499535-0.0105402j 0.00735102+0.0648772j -0.0177703+0.0903666j -0.0267607+0.0387718j -0.0204865+0.0187571j -0.0115617+0.0351787j 0.0167436-0.0267125j 0.00625935-0.00118228j -0.0148547+0.017891j -0.0281314-0.00967408j -0.00203676+0.0203672j 0.021301-0.0204849j 0.031073-0.0339141j -0.0172065-0.0170249j -0.0228485+0.0101958j -0.0228351-0.000980255j -0.00868462+0.0120908j 0.0154241-0.0284457j -0.00304101-0.0193794j 0.00216302-0.0115954j -0.0118315-0.00740357j -0.0191462-0.0089515j 0.0164996+0.0311553j -0.0138864+0.0183132j 0.0310968+0.00945514j 0.0177269+0.0149501j -0.010854-0.0545498j -0.0137291+0.0120365j 0.0214281-0.0024492j 0.0218983-0.0206884j 0.00358789+0.0307947j -0.00185691+0.0244522j -0.0738243+0.0416704j -0.0824857-0.00509378j -0.0335794-0.00616456j -0.10025-0.0656872j -0.00264872-0.123997j -0.0234894-0.029996j 0.0421734-0.0121701j 0.0363875-0.048376j -0.0385822-0.0647156j -0.0366265+0.0172295j 0.0942439+0.0113681j -0.0728742-0.0558311j 0.00373177+0.00280587j -0.0163282+0.102587j 0.0582436+0.00455082j -0.00143377-0.0984869j 0.0262934-0.00854477j -0.0932366-0.00212711j 0.0504881+0.100465j 0.0922461-0.136131j 
0.0476858+0.0571371j 0.0130021-0.00707734j 0.0451285-0.0139283j 0.0643078+0.0496149j -0.0263357-0.0223024j -0.0623338-0.0512048j -0.0740909-0.0288008j -0.0485197-0.0548206j -0.0585969+0.0253906j -0.0435419-0.0068122j 0.0587439+0.0704024j -0.0947016-0.0440539j 0.00514336+0.00171947j 0.00702991-0.119057j -0.0282557+0.0861457j -0.0908277-0.0953454j -0.0811814-0.0298668j -0.0239427-0.00601376j -0.0221518+0.0340849j 0.0576702-0.0409254j 0.012604+0.0159387j 0.0415249+0.02917j 0.0452536+0.0392099j 0.0152814-0.0160214j -0.0233446+0.0162594j -0.074954-0.0371943j 0.0517889+0.0386977j 0.0301687-0.00216768j -0.0146131+0.0128402j -0.00926347-0.0597372j -0.0222177+0.00131694j -0.0695852+0.0221505j -0.030062+0.00206281j 0.023282+0.0632113j 0.0573027+0.0167144j -0.00627121+0.0237981j -0.0757179-0.0326543j -0.00218274-0.0335958j -0.0241921+0.0582245j -0.0635622-0.0402561j -0.0207061-0.0605508j -0.0446487-0.0289384j -0.0200381-0.0530965j 0.0323537-0.0365943j -0.0506213-0.0425526j -0.0425143-0.0189559j 0.00356582-0.0104793j 0.00783513+0.0469854j -0.00531889-0.0225881j 0.0108885+0.00558879j 0.0374198+0.0237752j 0.0305542-0.00863821j 0.0781425+0.0707179j -0.0120901+0.0137647j -0.0577544-0.0225952j 0.00416813-0.0102651j -0.0194361-0.00883995j 0.00254786-0.0235305j -0.0411347-0.0431535j -0.0111756-0.0115834j 0.0558517-0.0261897j 0.0369451+0.0161882j -0.0342742+0.0216468j 0.00120515+0.030293j 0.0643682+0.0617522j -0.0301292-0.0157454j -0.0696501-0.0311384j -0.0242156-0.00635285j -0.0017195-0.0419587j 0.0346452+0.0438103j 0.0628097+0.0212256j 0.0123943-0.0619842j 0.00325771+0.073562j -0.00406904+0.0322007j 0.0266724+0.0838922j 0.0303933+0.0446599j -0.0117879+0.00578326j -0.00334737-0.0310745j 0.018325-0.0265399j 0.0442169+0.0289892j 0.0175351+0.0408897j 0.0671149-0.0198085j 0.00459906-0.00991084j -0.0519365+0.00860471j -0.0172074-0.036704j 0.0369541+0.00303199j 0.125728-0.0284646j 0.0162136+0.0308879j -0.0615107+0.0461281j 0.0276057+0.0324442j 0.00216305-0.00361797j 0.213049-0.148428j 0.179448+0.221316j 0.0584456-0.053255j 0.0690321+0.0475114j 
-0.0730289+0.0570788j 0.0289336-0.0531196j 0.0249362-0.0100971j -0.0126636-0.0152633j 0.0593129+0.0284562j 0.0678361-0.00435339j -0.0324302+0.102036j 0.0166238-0.0716672j 0.0348653-0.00524664j 0.0128191+0.0238379j 0.0349104-0.0953041j 0.139842+0.0754614j 0.0277964+0.137811j -0.0370011-0.0857828j 0.00838861+0.00119443j 0.0108002+0.018992j 0.142315-0.101454j -0.0773202-0.00800178j -0.0982979+0.0435141j 0.130231-0.140161j 0.0589905-0.0348857j -0.130645+0.00349187j -0.0294096+0.0927417j -0.00802662-0.018369j 0.0339079-0.0091537j 0.0188692+0.0448568j -0.0796049-0.0376146j -0.0198981+0.0129517j 0.00777383-0.052333j 0.0042397+0.0190469j -0.059422+0.0980142j 0.04866-0.0014904j -0.00363382-0.0141646j 0.00739835-0.0871121j -0.00836241+0.00794017j -0.0120176-0.00501179j 0.00966663+0.0415621j -0.0399506-0.0328834j -0.00542178-0.0319895j 0.0330795+0.0931671j 0.0367498-0.0065798j 0.000601234-0.0480349j 0.0199386-0.0493818j -0.00917653-0.0159567j -0.0028511-0.0132865j -0.0357716-0.078605j -0.0253261-0.0296435j -0.0246044+0.0222026j -0.0118139-0.0116357j -0.0142492-0.0292337j 0.0183117-0.0150238j -0.063133+0.0223797j -0.0683163-0.0455263j -0.00355691-0.0157309j 0.0134161+0.0147356j 0.00119622+0.00992505j -0.0312999+0.0150886j -0.0039036-0.0674155j 0.00362061-0.00413582j -0.0384347-0.0354312j -0.0118123-0.0234901j 0.016464-0.00496086j -0.0183014+0.0216887j -0.0048487+0.0316725j -0.0643609+0.00356846j 0.031937-0.00260802j 0.0252201+0.0130009j 0.0573238+0.00682431j -0.00601278-0.0234846j 0.0563834-0.010151j -0.00498075-0.0153844j -0.0380195+0.023597j -0.0114892+0.0184005j -0.0513237+0.0621971j -0.0152888-0.0328648j -0.0164024-0.13712j -0.0176249-0.016616j 0.0336877-0.0104556j 0.0165866+0.024046j -0.037764+0.0108877j 0.0217703-0.000733089j 0.147966-0.0953588j 0.0114126-0.0117695j 0.00482072+0.0254983j 0.0170993-0.0594248j -0.000510448-0.010735j -0.0567395-0.0394499j -0.0745381+0.00428252j -0.0399738+0.00442423j 0.0902022-0.0429035j 0.0403556+0.0677412j 0.16716-0.190236j 0.0883824-0.0365668j 0.0400495-0.106174j -0.099591+0.00842651j 
0.000101357+0.00416186j -0.0766812-0.0194513j 0.0484348+0.0077773j 0.0303668-0.0430989j -0.0768889-0.0327582j 0.00367851+0.0450944j 0.00161749+0.0241058j -0.0835248+0.00988962j -0.0761575-0.000899341j -0.0402792-0.066106j 0.0665267+0.0741511j -0.121357+0.0684431j 0.0758643+0.0464875j 0.0628121-0.05783j 0.0204031-0.038924j -0.0106966+0.0791925j -0.0231274+0.0885242j 0.0763901-0.0479053j 0.0638132-0.0750674j -0.158506+0.0366525j -0.0879969-0.00985485j 0.0583449+0.0382386j 0.035656-0.053058j -0.0214382+0.0146981j -0.0379276-0.0382229j 0.0363688+0.0388222j 0.0866261-0.0272659j -0.00946912-0.0277111j 0.0301-0.0467111j -0.0199237-0.0498442j 0.0510765+0.0849931j 0.0254749+0.0685478j 0.0257454-0.0665357j -0.0295452-0.0320007j 0.0018828-0.0376522j 0.00397442-0.03008j -0.0585015-0.0145849j 0.0157379-0.0062838j 0.0605196-0.0098667j -0.0945484+0.0874879j 0.0598229+0.0757998j 0.0696255+0.0834907j 0.0404723+0.000729412j 0.0271835+0.024226j -0.00333159+0.0340449j -0.022089-0.0013656j 0.000229705-0.00480053j -0.0600962+0.0043767j -0.0111336+0.00212992j -0.0445918-0.0273265j -0.0367221+0.00533281j 0.0420432-0.0629552j 0.0389035-0.0418966j 0.0155586+0.0191747j 0.0195439+0.00443053j -0.0321494+0.0244413j -0.00754056+0.0449451j 0.000869662-0.00215674j -0.00317781-0.00755637j 0.0285843+0.00291681j -0.00108114+0.00474425j 0.00150537+0.0141976j -0.0105484+0.0369795j 0.00934526+0.0560403j 0.0429832-0.00165807j 0.00936926+0.000683305j -0.044401+0.0303847j -0.0208633+0.00677328j -0.0397025-0.0106322j 0.0210588+0.012995j -0.0128899-0.0133655j -0.116309-0.108954j 0.0569482-0.000933717j 0.018096+0.00281263j 0.0640209-0.0470246j 0.0388576-0.143808j -0.0144348-0.0842691j -0.0280007-0.0108389j -0.0542816+0.0256419j 0.0390653-0.0617097j 0.0521166-0.0384305j 0.0100165-0.0470213j -0.0731502+0.0185595j -0.0864942-0.00764726j -0.0251534+0.0104855j -0.00201352-0.0293921j 0.00612818-0.0450437j 0.129116-0.0409647j 0.108873-0.0445507j -0.061149+0.0221239j -0.0174591-0.0253921j 0.0981415+0.140382j -0.0328999-0.0212116j -0.0950863-0.0663499j 0.0254602-0.0121242j 
0.0535861-0.0601279j 0.00905831-0.00777825j -0.0712807+0.0266863j 0.00498265-0.0744017j 0.103457-0.0614572j 0.00160374+0.0592485j -0.150762+0.085194j -0.00244602+0.0734522j -0.0453635+0.144679j 0.00911538-0.103127j 0.157753-0.0263171j 0.0595561-0.0334146j 0.089809+0.179259j -0.091249-0.0471578j -0.144087+0.104371j 0.0387255-0.229957j -0.0881965-0.0675315j -0.0450782+0.0578731j -0.076325-0.0728773j 0.168275-0.244667j -0.0511764-0.00857533j -0.106406+0.0599875j -0.0744438-0.00799335j 0.0488942-0.139163j 0.0293435-0.135689j -0.0214282+0.0372182j -0.00416283-0.0545856j 0.0021879+0.0535952j 0.0089933-0.0132466j -0.012164-0.0407476j -0.0308668+0.0944999j 0.00754334-0.0280725j 0.00196123-0.0239627j -0.00910238-0.0137122j -0.0186897-0.0353462j -0.0230889+0.0343039j -0.0240775-0.0106837j -0.0112782+0.0257628j -0.0442744+0.00379869j 0.0260813+0.000515486j -0.0122326+0.0425517j -0.00650736+0.0247336j 0.00632696-0.0519691j 0.0433279-0.0128083j 0.0178671-0.0399744j -0.0111734-0.00624473j -0.0362694-0.00582987j 0.00316602+0.030655j 0.0219652+0.0418829j 0.0304398-0.0457517j 0.0185827-0.00139337j -0.0221198-0.0520705j -0.0140101-0.0241964j 0.0140767+0.0222413j -0.0259794-0.0161494j 0.0558502-0.0292694j -0.00982504+0.053069j -0.00953839+0.0266603j 0.00820218+0.0134263j 0.0619673-0.052991j 0.015407-0.0485519j 0.0301118-0.0607362j 0.0174094-0.0176061j -0.0172759+0.0500945j -0.033032+0.0232954j 0.0342649+0.0216119j -0.0299219-0.00844934j 0.0535284-0.00224026j -0.00650166-0.000459844j 0.0472679+0.00482305j -0.0224557+0.02902j 0.042733+0.00555476j 0.0680261+0.0212052j 0.0587636-0.000797034j -0.0064385-0.0273654j -0.0242656-0.00882585j 0.0355211-0.0391184j -0.0429738+0.0382062j -0.005822+0.0560999j -0.016172+0.0694485j 0.0214491+0.0191464j -0.0214963-0.0139893j -0.0353898+0.0544326j -0.0113756-0.0338447j -0.0161372-0.0628583j -0.00334488+0.0217678j -0.00540128-0.0140519j 0.0352043+0.0131807j 0.0964204-0.0529926j 0.0948135+0.10667j -0.199603+0.179136j -0.031906+0.0660561j -0.0495447-0.00190359j -0.0284406+0.0055417j 0.0020492-0.00650577j 
-0.0070484+0.00435474j -0.0272036+0.0342812j -0.0144504+0.032406j 0.0534004-0.00132711j -0.0631228+0.0903952j 0.0484738+0.0165632j -0.00911328-0.0114383j 0.011355-0.0633023j -0.0369422-0.0221241j -0.00552087+0.122978j -0.119497+0.0734609j -0.0961208+0.0136321j -0.11075+0.0661982j 0.115624-0.0905554j -0.0493424+0.0770499j -0.260683+0.0867637j 0.200949-0.10195j -0.0330656+0.0478801j -0.0814154+0.17292j 0.168231-0.19547j 0.268562-0.130067j -0.0345953-0.0183282j -0.0650495+0.109188j -0.0711914+0.0609128j -0.0603471+0.0394787j 0.000817892+0.0242813j 0.0182766-0.0363856j 0.0664941+0.00933619j 0.0280177-0.0800462j -0.0121362+0.0735201j 0.0277838-0.0570569j 0.0177368+0.00993463j 0.0274907+0.00782086j 0.00237086-0.0298619j -0.0100956+0.0132997j -0.00818216+0.053165j 0.0559611+0.00570385j 0.0574416-0.0424878j -0.0310518+0.0304872j -0.0892283-0.0167145j -0.0366009-0.0127175j 0.0344636-0.041203j 0.00402551-0.0481192j -0.057906+0.091528j -0.0517841+0.0481747j 0.0285699-0.0675052j 0.0575146+0.00693083j 0.0107746-0.0293217j -0.0326238+0.0371453j -0.00403419+0.00630183j -0.045242+0.0433566j -0.0468868+0.0847942j 0.0431149-0.0427457j 0.00673367-0.0134995j 0.0276387+0.0189505j -0.0433487-0.00263623j 0.048452-0.00376543j 0.0190685-0.0233776j 0.0378301-0.0146764j -0.0118947-0.0163773j -0.0189945-0.0306638j -0.0787865+0.00776847j -0.000370698+0.0185805j 0.0209808+0.0071362j -0.0378239-0.0166912j 0.0203994-0.00509215j -0.0111206-0.0203169j 0.0403407-0.0819415j -0.00400017-0.0308133j 0.00791362+0.0107165j 0.0252851+0.0153878j -0.0109982-0.0254461j -0.0414005+0.0558559j -0.00270114-0.00353524j -0.00837091+0.00625383j 0.0230971-0.0271994j -0.0257876+0.0360359j -0.123154+0.0683328j -0.0500338+0.0298585j -0.0132163+0.0638814j -0.0509029-0.0242355j -0.00424691+0.0377287j -0.0263563+0.0244829j -0.00819907-0.0289589j 0.10781-0.0547409j -0.00181886+0.0645767j -0.0603297+0.0120629j 0.0389768+0.0240547j -0.0220403+0.0364413j 0.0756856-0.0815339j 0.000835763+0.0296059j -0.118936+0.0882429j 0.0270662-0.143349j -0.0543791+0.0250382j -0.0070365+0.0348534j 
