-0.0143856-0.0269551j 0.0456405+3.08741e-05j 0.0677494+0.0250906j 0.0369258-0.0678213j 0.0706834-0.159845j -0.0100494-0.127268j 0.108437-0.0747564j -0.0922204+0.15862j 0.0777855+0.0634032j -0.16551-0.071035j -0.103456-0.0174658j -0.26311-0.0446533j -0.157624+0.063365j 0.11451+0.0204357j 0.0379783-0.0523064j -0.0777892+0.00495129j 0.0202049+0.212599j 0.00347802-0.000384961j 0.00123171+0.0689297j -0.0266103-0.0696204j 0.0691196+0.00139926j 0.0588583+0.155797j 0.0397434+0.0981291j 0.235497-0.135438j 0.0546354+0.231224j -0.187531-0.00580438j -0.00129344-0.00158672j -0.0196029+0.128142j 0.0100886+0.118689j -0.0204351+0.0311557j -0.066414+0.120832j -0.0996293-0.035699j -0.0264442+0.0605058j 0.0318785+0.00712829j 0.00605961-0.0530005j -0.00724979-0.146268j 0.0485134+0.0246005j 0.0202227-0.0442178j -0.0243191-0.107323j 0.264268-0.194065j -0.030282+0.1381j 0.159897-0.0705955j 0.0603675-0.025426j -0.0204407-0.131587j -0.0609744+0.0563095j -0.0480905-0.0601312j -0.0581394+0.0364323j 0.0185114-0.00936078j -0.0334098-0.0396452j 0.0990747-0.0733369j 0.00611938-0.045066j -0.00164979+0.0552908j 0.00691934+0.0343289j 0.0087214+0.0749866j -0.0374447-0.0290397j 0.0268803-0.00525908j 0.000612909+0.0303369j 0.0129622+0.0430491j -0.0257747-0.00712294j -0.0221459-0.000909461j 0.0256382+0.00241298j 0.00473526+0.00389492j -0.0531451-0.0137839j -0.00283233+0.0578173j 0.0172532+0.0227942j 0.00853849-0.0204386j 0.0102301-0.00883048j 0.0249613-0.0337589j 0.00733574-0.00825544j -0.0382382+0.0305268j 0.0314314+0.0512021j 0.033089+0.0117945j -0.0477106+0.000341957j -0.0194521-0.014466j 0.0230618+0.00878915j 0.00815602+0.0345605j -0.00830024+0.017453j 0.0427273-0.0218877j -0.0195395+0.0386296j 0.0179696-9.84151e-05j -0.013628+0.0229519j 0.0231855+0.0236963j 0.0313739+0.00163691j -0.0388365-0.0293297j -0.0389397-0.0102276j -0.00509537-0.0277617j -0.0119155-0.00159099j -0.0226417+0.00430378j -0.0339528+0.00650069j -0.0257145+0.0106176j 0.0286578+0.0484051j 0.0576765+0.0273777j 0.0602913+0.0321036j 0.0939428-0.0782924j 0.00755319-0.00528285j 0.0569433-0.018243j 0.00469858-0.00807329j -0.0274253+0.00529168j 
-0.0444345-0.00409377j 0.002058-0.0236287j 0.0655682-0.0157787j -0.00526835-0.0409547j 0.148566+0.0741828j -0.00261491-0.0525303j 0.0723469-0.103837j 0.00158598-0.0312548j -0.0149205+0.072698j 0.0779576-0.142192j -0.115101+0.0596437j 0.0584303-0.0138082j 0.09105+0.020028j -0.00778128-0.0778374j -0.00479923+0.0694878j -0.0146899+0.00538747j 0.0875037-0.0283149j 0.0694949+0.189462j 0.035853+0.0191825j -0.304671-0.0319442j 0.0503978-0.0380245j -0.133072-0.210308j -0.0181563-0.0799708j 0.11364+0.00998866j 0.176919+0.0370453j 0.103957+0.285537j -0.0619634+0.257108j -0.042996-0.11269j 0.089159-0.184696j -0.0192562+0.0152637j 0.269409+0.0387928j -0.100094+0.0418895j -0.0646876-0.00999625j -0.0111659-0.0360461j -0.0733512+0.0118405j 0.0525163-0.0939233j -0.121571+0.0214063j 0.0298676-0.0167901j 0.0334804-0.0863641j 0.261578+0.211669j 0.0354794-0.0520209j 0.0762219-0.0021573j -0.0132411-0.089828j -0.0372787+0.0336274j 0.0597214+0.0204018j -0.00196786+0.0772874j -0.0853963-0.0457149j 0.0208951+0.0401286j -0.0428281-0.012678j 0.0626587+0.00369363j 0.0284758+0.00809244j -0.0685116+0.00573019j -0.0516524-0.0386314j 0.00459633-0.0107114j -0.0102026+0.00906153j -0.037631-0.0178589j -0.0314976-0.00983524j -0.00466641-0.011436j -0.00120677+0.0251348j -0.0147818+0.0221379j -0.031507+0.0332399j 0.0261179+0.0325312j 0.0300826-0.0253472j 0.00136101+0.0516631j -0.0198786+0.0569634j -0.0187904+0.013714j 0.00783417-0.0100597j -0.0486748-0.00382374j -0.0278165+0.030166j -0.00627017-0.0324941j 0.049335-0.0389513j -0.00747256-0.00784703j -0.0107239+0.026875j -0.00231257+0.00531916j -0.0221419-0.0356795j 0.0214584+0.00344818j 0.0293236+0.0320091j -0.0144438-0.0281019j 0.00311771-0.0074118j -0.0248747-0.0434042j -0.045411+0.0240418j 0.0144243-0.0119617j -0.0291696-0.00168026j 0.0354513-0.0159419j 0.00647486-0.0304982j 0.0133641-0.00358428j -0.0312254+0.0248465j 0.0254387-0.0349696j -0.0109803-0.0267614j -0.0212465-0.011153j -0.0646446+0.0183374j -0.00836962+0.0433233j -0.00887292+0.0624459j 0.0690212+0.0788443j -0.0212216-0.000112578j 0.022914+0.0186782j -0.0185104+0.00297843j -0.00855378+0.0069828j 
-0.0228342-0.00988897j 0.0107799-0.00388213j 0.105663+0.0367048j 0.0361002-0.0724269j 0.162435+0.0270026j 0.0283927-0.0162715j 0.0933677-0.0713275j 0.000810198+0.102341j 0.0278449+0.0697735j 0.022312-0.153984j -0.129572+0.143565j 0.122647-0.0387852j -0.107908-0.0305748j -0.00461621-0.0217262j -0.0623174+0.00769878j -0.0319912+0.00519744j -0.00770567+0.0266709j 0.0723844-0.174505j -0.132654+0.222605j 0.0737405+0.0390048j -0.106178+0.111666j 0.150491-0.0320397j 0.211118+0.184204j -0.264345-0.0750545j -0.0465167-0.147931j 0.127053-0.0316033j 0.1306-0.117434j -0.0103192+0.0622144j 0.178779+0.0666534j 0.00633606+0.0275427j -0.0404815+0.0227522j 0.157583+0.270183j 0.0805193-0.182763j 0.0203321-0.21897j -0.096631+0.152897j 0.17594+0.0603776j -0.050438-0.187858j -0.0393333+0.0530075j 0.10906-0.00146842j 0.0392522+0.0896588j 0.119958+0.0829035j 0.109578-0.112566j 0.0845413+0.0250287j 0.0140377-0.109646j -0.031658-0.0535184j 0.0613544+0.0104703j -0.0755425-0.0417118j 0.0186431+0.0336128j -0.0589179-0.00625539j 0.061544-0.0343026j -0.00810148-0.00689973j -0.0458517+0.0169361j -0.0596751-0.0261318j 0.0098752-0.00946205j -0.00478838+0.0119901j 0.00231095+0.00352989j -0.00871807-0.0244364j 0.0195045+0.00208508j -0.00289747-0.019658j 0.0282471-0.0177515j 0.0386689+0.002931j -0.0164001+0.00523895j 0.0166771+0.0130625j -0.038588-0.0282938j 0.0130939-0.00648649j 0.030333-0.0335755j -0.00355587-0.00137558j 0.0134381-0.0569736j -0.00301546-0.00817545j 0.0311598-0.0253136j 0.00865355-0.0213662j -0.00344945-0.0250152j 0.0174538+0.00385867j -0.00204141+0.0156866j 0.0100708+0.0342495j -0.0190285-0.0145081j -0.0031064+0.00640262j 0.00764482-0.00196855j -0.00272825+0.0161466j -0.0229188+0.0418401j 0.00944589+0.0229548j 0.013167-0.00919916j 0.00743552-0.00497554j 0.0046128+0.00823742j -0.0166269-0.00798025j -0.0168677+0.0214785j -0.0339602-0.0253977j 0.00883348-0.00165695j 0.0383881-0.00669655j -0.0101389-0.00721459j -0.0132633-0.0132207j 0.000132998+0.0139652j -0.00441404+0.0038863j 0.0343298+0.0141198j -0.00465677-0.0216736j 0.0284417-0.00269039j -0.00591512+0.0003466j -0.0084731+0.00313138j 
-0.0153659-0.0017666j 0.00241912-0.00860997j 0.00458096-0.0367002j -0.0465062+0.00345715j -0.0515446+0.0907869j -0.0380883-0.194206j 0.104982-0.00197182j -0.0543236-0.101356j -0.166851-0.04196j -0.00347535-0.103224j 0.0940244-0.241639j -0.0434424-0.100517j -0.183649-0.0544508j 0.0318212-0.0110388j 0.183899-0.172507j 0.354978-0.0388298j 0.103822-0.0408338j -0.0275814-0.11692j 0.0533567-0.00591331j -0.11202+0.09504j -0.0635317-0.0867208j 0.089994-0.169464j 0.0531833-0.0686325j -0.0586323-0.181298j -0.124757+0.0725216j -0.0193369+0.0356803j 0.136638+0.0397679j -0.209467+0.0487771j 0.202348+0.0610102j 0.0136616+0.00222954j 0.0238484-0.0913643j 0.0965881-0.0257823j 0.0228885-0.18968j 0.0774467+0.157769j 0.0478507+0.166749j -0.109272-0.0823508j -0.0385511+0.0363659j 0.0926363-0.178401j -0.195596-0.158943j -0.158257+0.0517655j -0.054196+0.052238j 0.0446534+0.0419675j -0.0595281-0.0579113j -0.0623311+0.0351504j -0.0603594+0.0270795j -0.0131235-0.0707698j 0.0637424+0.0038325j -0.0103829+0.113546j -0.059402-0.00867274j 0.00412313-0.000224125j 0.0386735+0.0584724j 0.00230685-0.00241909j 0.0199348+0.00683824j -0.0553981+0.0392991j -0.0423276-0.0494004j -0.000692567+0.0293017j 0.0108269+0.00261241j -0.0449518-0.0137844j -0.00964291+0.00412828j 0.0408037-0.00981291j -0.0120686-0.00219699j 0.0165995-0.0271715j 0.00838632+0.0121715j 0.00712552-0.00668981j -0.0152293+0.0308387j -0.00307349+0.0114098j -0.0144654+0.0222266j -0.0320697-0.000542505j 0.0275938-0.0153413j 0.0154559+0.0141774j -0.00265277+0.0094057j 0.00119098-0.00300289j -0.00177802+0.0149175j 0.00398258-0.0111036j 0.0191494+0.0107577j -0.0100344-0.0329702j -0.00412208-0.00401218j 0.0127477-0.0117539j -0.00331666-0.00438317j 0.00501143+0.0134419j -0.0261631-0.0116249j -0.0135783+0.00358336j -0.011256+0.0315805j 0.00174223+0.0120272j -0.0136247+0.0100137j 0.00368603-0.0147966j -0.0111467+0.00887752j -0.000422571-0.00430273j 0.0165612-0.0185487j 0.00980124+0.0107004j -0.00273414+0.000968413j 0.0111127+0.00850309j -0.0110867+0.0212225j 0.00227419-0.00774248j 0.00260275+0.00158816j 0.000750164+0.00133773j 0.00328951+0.00144303j -0.00174664-0.00393257j 
0.0392072+0.0151898j -0.0113237+0.0257375j -0.11331-0.0227057j -0.0107891+0.0807151j -0.177935-0.0686226j -0.0971881-0.132456j 0.0614949-0.0355783j -0.000112905+0.0306294j 0.20373+0.125257j 0.115894-0.108024j 0.0724127+0.159084j 0.0846727+0.103883j -0.00620334+0.0205328j -0.0370025+0.230618j 0.104473+0.00239647j -0.0287005-0.0124042j -0.0401228-0.0779341j -0.0740533+0.0342445j -0.135809+0.0696695j -0.115103-0.0689817j -0.0717127-0.00881177j -0.0544392+0.0519893j -0.0818233+0.203824j -0.0836428-0.00249515j -0.00947344+0.128718j -0.00851976+0.149898j -0.169532-0.13025j -0.110578-0.121652j 0.237779+0.158524j 0.09319+0.0302309j 0.0462125-0.246356j -0.00956196+0.0668722j -0.135687+0.251895j 0.0901367-0.0777533j 0.295806+0.144711j 0.173505-0.0485236j -0.0286837+0.199671j 0.0508464+0.077928j 0.0290302-0.0517231j -0.058173-0.00731999j 0.0100563+0.00447406j -0.0172201-0.0243538j -0.0359618+0.0947963j 0.0832606+0.077152j 0.0467043+0.080311j -0.0742999-0.0030905j 0.0913192+0.0591214j -0.0377394+0.031527j -0.00767489-0.0326225j -0.00613338-0.0387102j -0.0409572-0.0528283j -0.0342843+0.0692295j -0.0278171-0.0105136j 0.0216294-0.0429728j 0.0183341-0.00544976j 0.00123261-0.00807351j 0.0199471+0.0340554j -0.025349+0.0112565j 0.0192054-0.00140364j 0.00197799-0.00735717j 0.00220316+0.00548954j 0.0203802-0.00233259j 0.00436445+0.00257641j -0.0260607-0.0160778j 0.000609472+0.0179586j -0.00102591-0.0138222j 0.0102448-0.0206471j -0.00394897-0.00495069j -0.0199173-0.00939762j -0.00184184+0.00212194j -0.00605483-0.00594445j -0.00802694-0.00537663j -0.0180631+0.00261273j -0.00114712+0.00982465j -0.0218428-0.00746656j -0.00920286+0.00103506j -0.00689146-0.0109114j -0.00899632+0.00917448j 0.00743057+0.0207685j -0.0108251+0.00311746j -0.00219742-0.01976j -0.0157882+0.00851719j -0.00654022+0.00684871j -0.0165609+0.026372j -0.00992405-0.00387645j 0.0170921-0.0172828j -0.00617475+0.0187258j 0.00211967+0.00887734j -0.0249278-0.000502918j 0.0033695-0.00383968j 0.00238143+0.00949479j 0.000628739-0.0141754j 0.00162488-0.00619011j -0.013428-0.0191005j 0.0077818+0.00820146j -0.0122066+0.00580209j 0.00368785-0.00219361j 0.00243299-0.000170258j 
0.0374283-0.0194807j 0.0305706+0.025055j -0.0134653-0.0467624j 0.0085551-0.0187501j -0.0168118-0.24041j -0.0546765+0.068369j -0.178755-0.0441418j -0.0932918-0.0739606j -0.127901+0.207264j -0.0869905+0.0162239j -0.0140588+0.0646904j 0.0504412-0.201865j 0.126706-0.0894832j 0.106517-0.0868233j -0.0682418-0.195717j 0.109448+0.0348735j -0.0954716-0.0655166j -0.0909597+0.237899j -0.194602+0.0964794j -0.190154+0.00114572j -0.0794053-0.0589552j 0.354936+0.117754j -0.0287661-0.0541582j -0.0654798-0.0619861j -0.0976567+0.0159714j 0.0554786+0.0596693j 0.0100931+0.0299943j 0.0100785-0.0552325j 0.0380232+0.0790612j -0.00989013-0.259937j -0.00424105+0.0270474j -0.110595+0.0702612j -0.224837-0.17567j -0.277963+0.0203446j 0.0462502-0.121177j -0.0648468+0.117648j 0.0682951+0.0144613j 0.0433431+0.0855746j -0.0032879+0.00493515j 0.0269143+0.0618629j -0.0208228-0.0260649j -0.0574099-0.00678904j 0.0536601+0.0601225j 0.0321976-0.0268908j 0.0399618-0.00821454j 0.0416466+0.0026923j -0.00210507+0.128708j 0.0271083-0.0491878j 0.0375811+0.0491199j -0.0246594-0.019208j 0.0857092-0.0573408j 0.0102223+0.0151078j 0.0197581+0.0311516j -0.00987216+0.0263232j -0.00113404+0.011136j -0.0482597+0.0458277j -0.0137476-0.00526267j 0.00132609+0.00629659j -0.00761818-0.0146306j 0.0388426+0.017815j -0.00416285+0.0133438j 0.0113101-0.0168699j 0.00521392-0.00296154j -0.0330691+0.00519565j -0.00919413-0.0031647j 0.00295084+0.00368077j 0.0219778-0.00164631j -0.00257771-0.00607141j -0.0227704+0.0171322j 0.0162735+0.00768049j -0.00499164+0.0127737j -0.0272012-0.0047556j 0.0107982+0.00128114j -0.00426922-0.00493399j -0.0010369+0.000653895j 0.0041148+0.000375502j 0.00642648-0.0327732j 0.0145834-0.0123088j 0.00165309+0.0165482j -0.0102429-0.00316854j -0.0128477+0.00721488j -0.0167577+0.0014187j 0.0165551-0.0190509j 0.00235926+0.00119717j 0.0051254-0.0107952j 0.00734392+0.000783556j 0.0137682+0.0249867j 0.00571254-0.00475524j -0.0136696-0.00157176j 0.00430595+0.00384749j 0.00910376+0.0203392j -0.0021364-0.00773245j 0.0136374-0.00793761j -0.00107426-0.0212563j 0.00162693+0.00621333j -0.00559006+0.000268332j 0.00716174+0.00296687j 0.00531684-0.00232956j 
-0.0130025-0.0212603j 0.0305546-0.0119275j -0.0373277-0.0176678j 0.0244511+0.0738861j 0.148387-0.1461j 0.0749913-0.0711824j 0.0431328-0.0499933j 0.00445671-0.141836j -0.184337-0.135344j 0.114084+0.0925653j -0.0326668-0.00015375j 0.0753051+0.00912821j -0.110183+0.220629j -0.0842499+0.207465j -0.241536-0.119579j -0.0174195+0.235507j -0.182079+0.0692035j 7.57373e-05-0.0775351j 0.296003+0.0723295j -0.169378+0.158683j 0.133949-0.10809j -0.104487-0.0897204j -0.16741+0.226969j 0.0629353-0.0761693j 0.0688545-0.0472171j 0.0656352-0.00216949j -0.042048-0.249001j 0.0454792-0.100154j 0.147184-0.0597397j -0.0767283-0.213708j -0.213916+0.122363j -0.0231467+0.0954806j -0.0249517+0.0578615j -0.00327285+0.0563116j -0.122915+0.016305j -0.0501401+0.0240813j -0.00506284+0.0210183j 0.00863601+0.00174756j -0.0368663-0.0277195j -0.0361552+0.0245477j -0.0416365-0.0430023j -0.04327+0.0178337j -0.00512542+0.0699474j 0.0497899-0.00466129j -0.0325555+0.0570105j -0.0145549-0.0254366j -0.0753266+0.0671948j -0.0113075+0.00737157j -0.00204361-0.00891835j 0.0277883-0.00156526j 0.0641609+0.0528309j -0.0388481-0.0090435j 0.00838729+0.0248861j -0.00871734-0.00272961j 0.0101383-0.0289007j -0.00866899-0.0562518j -0.0314894-0.00338881j -0.0280018+0.00289904j -0.0130433+0.00308743j -0.0173046-0.00548567j 0.00169071+0.0115604j 0.000200849-0.0139416j -0.0138612+0.0326012j 0.0029959-0.00902546j 0.0186504-0.0297317j -0.00978405+0.011838j 0.014655-0.0110947j -0.021953-0.00672758j -0.00842391+0.00152283j -0.0250479-0.000692704j 0.0176662-0.00194677j -0.0401938-0.0135116j -0.00393214-0.014333j -0.0154848-0.00425785j -0.0152614-0.0105703j -0.0133289-0.032449j -0.0142058+0.0204291j 0.0184547+0.0229908j -0.00417049-0.0150251j -0.00965782-0.00229564j 0.0226909-7.08474e-05j -0.0072563+0.01091j 0.00764307-0.00472183j 0.00274096+0.0119906j 0.00141739+0.00400257j 0.00591187+0.0163715j 0.00655456+0.0100967j -0.00328841-0.00275899j -0.00749901-0.0123839j -0.00188647-0.00341599j -0.0113345+0.0145079j -0.00321153-0.00157919j 0.000306321+0.00103426j 0.0129417-0.00964547j 0.00205688+0.00564491j -0.00457961+0.00473696j 0.00339266-0.00220523j -0.00316364-0.00171606j 
-0.0106677-0.00954029j 0.0170691-0.0147369j -0.00927505-0.0124004j -0.00952229-0.0109652j -0.0418607+0.0465722j -0.0212241+0.0358243j -0.0128518+0.0123164j 0.0372001-0.0292828j -0.0128956-0.025025j 0.0593937+0.0323909j 0.00506114+0.00963512j 0.0756694+0.0401717j 0.0552576+0.0189428j -0.0349666-0.0222525j -0.0187181+0.0342007j 0.0149593+0.00748867j 0.0355416-0.0657391j 0.00727436+0.00394055j 0.0330373-0.0241704j 0.00779313+0.0169209j -0.00930144+0.00560293j -0.0281797-0.0972114j -0.0118306-0.0519222j -0.0951824+0.0444255j -0.00609954-0.0815745j 0.0897454+0.0245114j 0.00811285+0.0195432j -0.0193079-0.0399473j -0.0028766-0.0634227j 0.0137026-0.00269814j 0.0509768-0.0544808j 0.0188108+0.023718j 0.039448-0.0177046j -0.00675098+0.00450532j -0.0282569+0.0210737j 0.00831182+0.0514799j -0.0286517-0.00168239j -0.00060078+0.0042225j 0.0115981+0.0131684j -0.0566782+0.0968722j 0.0226309-0.0714059j -0.0438421+0.0165494j -0.0169422-0.0131938j 0.0469873+0.0665084j 0.0339817-0.044153j -0.00536524+0.0611612j -0.0457905-0.0734308j -0.0698119+0.022839j 0.00279087+0.0235718j 0.0116743+0.146344j -0.00382497+0.0562642j -0.0685363-0.00172822j 0.000583282+0.0261041j -0.0437448+0.0129108j 0.0897914-0.0575489j -0.107196+0.0574523j -0.0219801+0.0209939j -0.0800109+0.0326692j -0.0291835-0.0812328j 0.00926992-0.0492182j 0.0552437+0.0591517j 0.0283275+0.0834831j -0.0262749-0.0690805j 0.0126795+0.0215686j 0.0926649+0.0880936j -0.0248077-0.0281155j 0.0531162+0.0269784j 0.12616-0.058632j -0.0101926+0.0423199j -0.0374083+0.038349j 0.0209663+0.120379j -0.00273006+0.0982147j -0.153467-0.00766212j -0.0608971-0.0465742j 0.0731503+0.0213161j -0.0408354+0.0814479j 0.0223915+0.087689j 0.0729074-0.0349043j -0.0293338+0.123207j 0.0566142+0.0446659j 0.00175535+0.0451502j 0.0173499+0.0304734j 0.0865301-0.0357607j -0.0795374-0.0599776j -0.109857+0.0493039j -0.00473795-0.0301852j 0.0186855+0.00358625j -0.0840219+0.0646688j -0.053971-0.00747954j -0.000829801+0.0893897j 0.125303+0.0537208j 0.0988804+0.00600023j 0.0955081+0.00595429j 0.102999-0.201963j 0.0533492+0.00467623j 0.0742266-0.0326047j 0.0224439+0.00198738j -0.0166628+0.00158221j 
-0.0185532+0.0198196j -0.0139471-0.0109064j -0.0162121-0.0376822j -0.0120205+0.0196342j -0.0411583-0.0373862j -0.0346089+0.0210366j -0.0463394+0.0111416j 0.0132879-0.00838626j 0.023895-0.0195806j -0.0302566+0.0504644j 0.0395094+0.00377933j 0.0122396+0.0296506j 0.00040137-0.0136606j -0.0169653+0.0197415j 0.0179803-0.0149223j 0.0122582+0.000567462j -0.0161596-0.0274253j -0.016287-0.0392796j -0.0186894-0.0444419j 0.113168+0.0154015j -0.00296388-0.00691641j 0.0152393+0.065357j -0.010318+0.0163843j -0.0554975+0.0324217j -0.0605881-0.0230908j -0.0182357-0.0952865j 0.0135999-0.0743967j 0.0196697+0.0210919j -0.0476863+0.0329996j 0.00129323-0.00148695j -0.0764193-0.0484158j 0.0350743-0.0209199j -0.00855977+0.0421694j -0.0175407+0.0233788j 0.0448282-0.00401464j -0.0267372+0.0363474j 0.0212844+0.0102843j -0.00982459-0.00272348j 0.00547822+0.0571514j -0.127676-0.0357651j -0.0179146-0.0213919j -0.0822631+0.024688j 0.0405282+0.0374599j 0.0190667+0.0239071j 0.0410526-0.0546903j 0.00671586-0.0250723j 0.123372-0.0158779j -0.0699298-0.0636164j -0.0127622-0.064627j -0.0754133+0.0473455j -0.0367274-0.00812228j -0.040693-0.0754522j 0.0292113+0.004078j -0.0694839+0.0427972j 0.0317267-0.0478857j -0.0255687-0.0684842j -0.0233657-0.0337606j 0.0224163+0.0271253j -0.0329494+0.00603711j -0.0218256-0.00997174j 0.00599155+0.00383255j -0.0535645+0.0308015j 0.0858468-0.00919897j -0.110138+0.0602812j -0.0105111+0.0272169j -0.0223352+0.0451646j 0.0242643-0.00268221j -0.0530142-0.122083j 0.00908757+0.0289048j 0.049641-0.071015j 0.181256-0.0274147j 0.0388761-0.0351701j 0.0346449+0.118751j -0.0547315+0.0485456j -0.0237501-0.122923j 0.0410014-0.00130016j 0.113586+0.0726479j 0.0987739+0.0079529j -0.0255077-0.0788719j -0.0308709-0.102348j -0.0736337+0.0353849j 0.0256183-0.0585042j -0.0550596+0.0294441j 0.0585639-0.0942916j -0.0221341-0.117362j -0.0299799-0.0768838j -0.0856579+0.0399457j -0.0317652-0.0668279j -0.0549468-0.0588901j -0.0721927-0.00227012j -0.0873746+0.0726812j 0.0606265+0.103218j 0.00285755+0.148618j 0.176724+0.0945969j -0.0432927+0.00289865j 0.0845674+0.0299778j -0.0102009+0.000368908j -0.025981-0.00414291j 
0.00601148-0.0136951j 0.00846793-0.0107451j -0.0347794-0.00187701j -0.0219995+0.00412574j -0.0386627+0.0511626j 0.00342322+0.0101161j -0.0280023+0.0134642j 0.00318883-0.0241643j -0.0408231-0.00474962j 0.0390734+0.00141136j -0.00233661-0.00630025j 0.0191998+0.00983821j 0.00818074-0.0418858j 0.0122874+0.0101794j -0.0322-0.00282358j -0.0150016-0.00535171j -0.0243071+0.0242577j 0.0147758-0.035958j -0.00909551+0.0240179j -0.00477537+0.00881224j -0.020557+0.0213032j 0.00697057-0.0301558j 0.0285486+0.0237278j -0.039384+0.0140846j 0.0197813-0.042223j 0.0102729+0.00273033j 0.0303346+0.0196546j 0.0376064+0.0128846j 0.0289017+0.00871487j -0.0255694+0.0238725j -0.0133286+0.00601473j 0.0262999+0.0517524j -0.0172907-0.0101777j 0.00659323-0.0398456j -0.00861426+0.0178177j -0.0210976-0.011426j -0.00667472-0.028733j -0.0378074-0.000837292j 0.0185589-0.0333803j 0.00408313+0.0431994j 0.0286503+0.0393642j 0.0249286+0.00931767j -0.0269608-0.00201686j -0.01976-0.023431j -0.0707739+0.00642095j 0.0290773+0.00629115j -0.134425-0.00162368j 0.00209342+0.0272164j -0.0377564+0.0168359j 0.044545-0.0936673j -0.0187592-0.0623617j 0.0774514+0.119682j -0.0500532+0.0846703j 0.0460016+0.022928j -0.0943199+0.0751885j 0.152018-0.0801933j 0.0266643+0.0690728j 0.0311396-0.147222j 0.0400259-0.00251621j 0.00318037+0.0332115j -0.144024-0.0390691j 0.07205+4.6158e-05j -0.0772565+0.0557333j 0.0664411-0.0220642j -0.0252815+0.0147571j -0.132751+0.00567917j -0.0545599+0.0276271j -0.0411664+0.0337073j 0.105458+0.0800155j 0.122507-0.0909787j -0.0504007+0.0187622j 0.0500134+0.0850826j -0.0679836-0.0125854j 0.0934652+0.0226871j -0.0836821-0.275605j -0.103945+0.00179688j 0.189653-0.0174037j 0.113062+0.0385271j 0.0392875-0.177541j -0.00410132-0.124609j -0.0920768+0.00243174j -0.0919861+0.0341646j -0.0904732+0.144578j 0.0743449-0.146898j -0.0688619-0.163855j 0.00952824-0.0600788j 0.177593+0.00926218j -0.0585948-0.0010516j -0.262835+0.0936665j 0.0559169+0.0638139j 0.0355303+0.189478j -0.0143137-0.00698908j 0.0415743+0.0631421j -0.112976-0.0465249j -0.0300994+0.0878773j -0.0798478-0.0332008j 0.00656412+0.00600182j 0.0218353-0.00504429j 
-0.00154351+0.0180112j -0.0111211-0.013398j -0.0614869+0.00922798j 0.0157036+0.0259574j -0.0517731-0.00142508j -0.0107642-0.00193154j -0.0279005+0.024055j -0.0101588+0.00279376j -0.00544256-0.0074237j 0.00162211+0.0169052j -0.00843143-0.040058j -0.0379453-0.00189946j 0.0148525-0.0130531j 0.0248405+0.00832397j -0.0286576-0.018114j -0.0310956+0.000379621j 0.0157821+0.0383323j 0.0258072-0.0184998j -0.00998199-0.0198105j 0.0475698+0.0214181j -0.0173409-0.0108994j -0.0175578+0.0306561j 0.00889974-0.0152196j 0.0143589+0.0236285j -0.010248-0.01003j 0.0208707-0.012639j -0.00463223-0.034624j 0.0141889+0.00363312j -0.0310762-0.0394875j 0.00664283+0.0132561j -0.0235817-0.0154657j 0.0249729-0.0152658j 0.0103087-0.00682756j 0.014499-0.00678522j -0.0306285-0.0206399j 0.0260075-0.0185402j 0.0157504-0.033694j -0.0111906-8.37173e-05j 0.0136618+0.00702529j -0.00430818+0.00575382j 0.0374496+0.0271216j 0.0229529-0.0305388j -0.0205339-0.0249291j -0.0184042-0.0038658j -0.0701429-0.0381901j 0.0269292-0.00114624j -0.117917-0.0494168j -0.0486321-0.0144929j -0.0417382+0.0219509j -0.00546302-0.031717j 0.0332718-0.0397097j -0.0112506+0.0442836j -0.148636+0.0752388j -0.0222925-0.123783j 0.0312831+0.0635158j 0.0604534+0.0293734j -0.0112198+0.110777j -0.0435784-0.177508j 0.0267344-0.136441j 0.0466875-0.137104j -0.0301184-0.00854838j 0.0352843+0.138711j 0.137686+0.01387j -0.0370044+0.0299088j -0.0365244+0.0226943j -0.0927389+0.0878928j 0.108793+0.0182907j -0.0123005-0.0563459j 0.0301029-0.168134j -0.0212128+0.131565j -0.02738-0.0633871j 0.0464654-0.0326961j 0.0416885-0.00989827j -0.0124554-0.0144393j -0.0755509+0.109097j 0.009313-0.118871j -0.207753+0.0200265j -0.11517-0.0962712j -0.088174+0.0948483j 0.0351843+0.089804j -0.0707501-0.233638j -0.129753-0.0266838j 0.0945665+0.0797004j -0.00708549+0.0994386j 0.222027-0.0900654j 0.157194+0.00572294j 0.044872+0.191857j 0.0627164+0.0457105j -0.0356069-0.17057j -0.0737557+0.0591439j -0.0799237+0.126698j -0.0448892-0.0418969j -0.0494089+0.0597151j -0.0292501-0.0890208j 0.0428031+0.053695j -0.0615208+0.0538926j 0.0131737+0.00605531j 0.0120683-0.00689604j 
