0.0350976-0.00769854j -0.0190308-0.0280224j 0.00120485+0.00792555j -0.0541504+0.036689j -0.0213103-0.052593j -0.0692873+0.0557537j -0.0219693-0.0107261j 0.018776-0.0289292j 0.0217011-0.00513599j -0.0870578-0.11119j 0.0112563-0.0207334j -0.0223575+0.00204006j 0.000291865+0.00667985j 0.0532851+0.0264549j -0.0234911+0.0184868j 0.0149184-0.0318786j 0.0108982-0.0197017j 0.00493556-0.0303837j 0.0436959+0.0436845j 0.0205537+0.0607996j -0.0310318-0.00182467j -0.0271304-0.0172936j 0.0438908-0.0369849j 0.0122349+0.0214793j -0.0833552+0.0747548j -0.0323358+0.0217489j 0.0100856-0.0270321j -0.0495018-0.0657209j 0.00763563-0.0508827j -0.0541247+0.0128595j 0.0105124+0.038405j 0.0277058-0.0146177j 0.0341882+0.0257879j -0.0784814+0.0389719j 0.00937192-0.00183237j 0.0871973-0.0347351j 0.061113-0.0331592j 0.0290836-0.0552013j 0.0369312+0.00786932j -0.00341379-0.00401454j 0.0126435-0.00870087j -0.128316+0.0176935j 0.0632893-0.0842264j 0.0109186-0.0951131j 0.0399155-0.032739j -0.0229049+0.0653744j 0.0355696-0.000181367j 0.00223553-0.0285424j 0.00560489+0.113394j 0.0459166+0.116291j -0.0539748+0.119015j -0.0516841+0.0372642j -0.0155203-0.0170224j -0.108736+0.0130515j 0.087802+0.079576j 0.0465091-0.00106795j -0.0370389+0.0299648j -0.0482612+0.060095j -0.00312314-0.0451252j 0.0870263-0.0421078j 0.0602467+0.0207564j -0.105322-0.00111136j -0.0132113+0.0827376j 0.0187828+0.062755j 0.0573215-0.154356j 0.00207627+0.0142067j 0.0193997+0.0064303j -0.133893+0.0795897j -0.0348154+0.0656281j 0.0165014+0.0866469j 0.123433+0.0680519j -0.0430727+0.0574137j -0.0475222+0.00143912j -0.0587492-0.0625826j -0.159589+0.0688629j -0.0218271+0.0880672j 0.0965525+0.0461308j 0.0686962-0.038993j -0.0485225+0.0399017j 0.139674-0.088223j 0.0816413+0.0785505j -0.0696015+0.0157198j 0.0350569-0.114173j -0.0372+0.0160359j 0.0242375-0.0306834j 0.107773-0.0600305j -0.0532753+0.0334368j -0.0040247-0.156155j -0.0537063+0.0379165j 0.0425336+0.0439143j 0.0276123-0.0463414j 0.00662125-0.0174435j 
-0.0455986+0.00165554j -0.00867424-0.00406133j -0.0111547+0.00898732j -0.037789-0.0123081j -0.0264444-0.0138699j 0.0399943+0.0345344j 0.0384855-0.00444878j -0.0144137-0.00873958j -0.036292+0.0802451j -0.0228681+0.0285612j 0.068674+0.0291549j -0.0114728+0.000752707j -0.0393755-0.0168376j -0.0457867-0.0110668j 0.0719403-0.0165158j 0.00966542+0.0330049j -0.0310735+0.0465091j -0.02526+0.011517j -0.0130475+0.00301703j -0.0494359-0.00833522j -0.0209695+0.0144535j 0.028311+0.0387138j -0.0103398+0.0232536j -0.00929826-0.0560543j 0.0175254+0.00469031j -0.0813451+0.0219114j 0.0203801-0.0507442j 0.01449+0.094163j 0.0875503-0.0238429j 0.0331783-0.0944235j -0.0615384+0.0206903j 0.0108316-0.050114j 0.0261251+0.00163744j 0.0259075-0.0888243j -0.0600246-0.018425j -0.0122796-0.181099j 0.00207792+0.011166j 0.0731014+0.00205393j -0.00452393+0.0239554j -0.010806-0.0210181j 0.0102789+0.0502086j -0.00178945+0.0170242j -0.107722-0.0201876j -0.0431154-0.00404519j 0.0438333-0.0558134j -0.00152071-0.0232929j -0.016562-0.151428j 0.036753-0.054797j -0.052495-0.0253313j 0.00225665-0.0719233j -0.0336727-0.0884295j 0.140354+0.0720567j 0.0891954+0.018131j 0.173235+0.0910512j 0.0494356-0.0156811j -0.0925163-0.0768767j -0.0281086-0.120186j -0.104625+0.0902334j 0.00886844-0.00118243j 0.0174551-0.0350671j 0.0883311-0.0862053j -0.0108373-0.0795547j -0.0882165-0.0681287j -0.047805-0.0459198j -0.0308304-0.0599882j -0.0153214-0.0618525j -0.0930304+0.128869j -0.179693+0.273417j -0.0966979+0.0812043j -0.0135849-0.0359665j 0.0952446+0.0162023j -0.152208+0.0732693j -0.00502398-0.0873147j -0.0342661+0.083755j -0.0107939-0.0107074j -0.042193+0.0816382j -0.0209889-0.0191746j 0.0998285-0.0605809j -0.0592607-0.094871j 0.012921-0.0635468j -0.163318+0.00834137j 0.0807655-0.00988444j -0.130853-0.0159775j 0.0398582-0.0768281j -0.027731+0.119363j 0.0182715+0.108549j 0.00817962+0.0481002j 0.0876069+0.0405357j -0.0148555+0.00719909j 0.0464309+0.0650138j -0.0160445+0.0141912j 0.0256667-0.0314974j 
-0.0244283-0.0149037j -0.0503522+0.00438434j 0.0388804-0.00456646j 0.00313525-0.0443543j 0.0292637-0.0328116j 0.0488505-0.0123196j 0.00341391-0.00752371j 0.0628611-0.0350012j -0.00890099+0.0826388j -0.0123044-0.00305376j -0.0126105-0.000658003j 0.0267046+0.0108863j 0.0252293+0.0442157j 0.0199098+0.0440681j -0.00670601+0.00792136j -0.00174626-0.101839j -0.0398904+0.026475j 0.0399831+0.0103486j 0.0245201+0.0449402j 0.0255864+0.00429694j 0.0410249+0.0445122j 0.00701904+0.0480396j -0.0549915-0.0109664j 0.0170015+0.0151763j -0.0472445+0.071666j -0.0466414-0.00194904j 0.025829-0.00923755j 0.000523212+0.0062365j -0.0156107+0.0229382j 0.0501785-0.0131781j 0.0148677-0.0424891j -0.0488323+0.0377029j 0.0165795+0.0877899j -0.00239441+0.0125111j -0.0153969-0.000196739j 0.00633932-0.0406065j 0.00235449-0.0358866j 0.0381355-0.0728102j -0.0725981-0.000514595j 0.0587939-0.066651j -0.0335935-0.00641201j 0.0963023-0.0524187j -0.00123792-0.062276j -0.117402+0.102852j 0.000945291+0.0115568j 0.072361-0.00929527j -0.0320838+0.0398594j -0.0296416+0.0529376j 0.085667-0.0765208j 0.0913852-0.0198608j -0.00212872-0.010472j -0.0736154+0.0135096j 0.0296081+0.0127096j 0.0581025+0.0922454j 0.0744999+0.0143699j 0.10766-0.183148j 0.101359+0.0169673j -0.0190048-0.111929j 0.0331351+0.0991832j -0.0778782-0.108501j 0.0820006+0.0482719j -0.0575365-0.0436647j 0.0549978-0.0445186j 0.0755657+0.00691863j -0.058632+0.0409623j 0.0922704+0.0772718j -0.00780617+0.00933272j -0.0355418-0.0865621j 0.0734503-0.0163897j -0.0198893+0.0892244j 0.0441214-0.0588568j 0.106726-0.00550824j 0.0530303-0.00679371j 0.00418283+0.11231j 0.0727789+0.00217144j 0.0289622+0.0327779j -0.00168875+0.00754716j -0.0485918-0.00648336j 0.0388518-0.0330098j 0.146491-0.0496673j -0.0626949-0.0882292j -0.0487352+0.0776916j 0.0189556+0.0541262j -0.128243-0.0503381j 0.152698-0.0312974j -0.0149035-0.00877989j 0.0688775-0.0665056j 0.00292444-0.0252773j 0.0180582+0.0540279j 0.0314504+0.00365208j -0.00792245+0.0197859j 0.055279-0.0733752j 
0.0145346+0.00887083j 0.00546166+0.0196035j -0.0140882+0.00961812j 0.000428252+0.0248004j -0.000766404-0.0170202j -0.00329241+0.0417617j 0.000662837+0.00597042j 0.00340869-0.00262731j -0.0587204-0.0361344j -0.00235692-0.0622878j 0.0125998-0.0270556j 0.0118092+0.00155453j 0.0302255-0.0575172j -0.0371601+0.0142679j -0.0215093+0.00246123j 0.0034965+0.039494j 0.0417074-0.0250805j 0.00518046+0.0264785j 0.055737+0.0560653j 0.0464052-0.0807487j 0.0132795-0.0160554j -0.0236934-0.0838901j 0.121717+0.010392j -0.0266126+0.0597628j 0.00521415-0.0064917j 0.00177434-0.0278973j -0.0854665-0.0779215j 0.0568989+0.119672j 0.00590017-0.0384926j 0.0487178+0.0205182j 0.0683844+0.0618367j 0.0634817+0.011568j 0.0318938-0.162115j 0.0158668-0.018949j 0.00160769+0.0270961j 0.00853352+0.135567j 0.0175055-0.0562995j -0.0724765-0.0471623j -0.0517697+0.0199305j 0.0227765+0.0479413j 0.0468112-0.093157j -0.0691799-0.00653225j 0.0566364-0.0460046j 0.0456521-0.0657585j 0.0837843+0.0916471j 0.115639+0.149567j 0.0302688-0.0937647j 0.0492988-0.10451j -0.0160407+0.0281063j 0.113218-0.0138407j 0.033052-0.0531422j -0.0186743+0.021795j -0.0477897-0.0694811j -0.0893205+0.0603671j 0.067339+0.0319047j -0.00321538-0.096998j 0.0265652-0.104349j -0.0789458-0.0882659j 0.0839875-0.0675283j -0.0406161+0.0309398j 0.138102-0.0211379j 0.0245879+0.147058j 0.0339364+0.0103269j -0.00105265+0.166736j 0.0845414-0.0769097j 0.000245373+0.0688659j -0.0123332+0.00770499j -0.0865255+0.0501279j 0.0437264-0.0589745j 0.03809+0.0896679j 0.0527808-0.0780537j 0.0247147+0.032703j 0.0917832-0.112111j -0.174564+0.0190415j -0.0959541+0.0922325j 0.0679723+0.0498896j -0.0760911+0.0918721j 0.0073938-0.102043j -0.0162661+0.00762512j -0.0680579+0.0429557j -0.0208008+0.117182j -0.185305-0.011744j 0.0980966+0.0469271j 0.0283643+0.110278j -0.0303565+0.133163j -0.0388586-0.0228148j 0.0207717-0.0584098j 0.00426361-0.0520452j -0.00187684+0.0400815j 0.047187+0.0115103j -0.0128763-0.00772616j -0.0315518+0.0458444j 
0.0122773-0.0110231j 0.00764925-0.00123682j 0.0133124-0.0285399j -0.00502593-0.00951295j 0.0279458-0.0352249j 0.0176908+0.0284746j -0.0236175+0.00164343j 0.000830763-0.0202891j -0.0128882-0.010652j -0.0388564-0.0299311j -0.00912832+0.0360039j 0.0297906+0.0173909j 0.0464857-0.0246575j -0.0276205+0.0246534j 0.0159268-0.00125432j -0.0233923-0.0155971j 0.0367717-0.0349397j 0.0370221+0.0748245j -0.0345209-0.0578839j 0.0767706-0.0126021j 0.0012246+0.0808304j -0.0719632-0.0527632j -0.0174655-0.111249j -0.0237626-0.0350732j 0.0759844-0.0326575j -0.0365356+0.0319884j -0.0569269+0.0518721j -0.0976482+0.0380988j -0.0153118+0.0601932j -0.0144983-0.0406888j -0.0677949-0.0130254j -0.0158048-0.00611317j -0.00939424+0.0654543j 0.080273+0.0136317j 0.00246367+0.0706774j 0.0690276-0.0370525j -0.0126171+0.0395493j -0.0907909+0.0132192j 0.046085+0.0518896j 0.0348534+0.0289589j 0.148504-0.045506j 0.0338864+0.0808481j 0.0149806+0.0759657j 0.0349867-0.196413j 0.0454847-0.133782j -0.114532-0.120599j 0.0246114-0.0346652j 0.0403033-0.00914873j -0.0577759+0.00199591j 0.176483+0.00370188j -0.00900146+0.0680538j 0.0720036-0.102778j 0.156616-0.0959842j -0.0813033+0.0245447j -0.190977-0.19172j 4.44336e-06+0.116564j 0.00694421+0.0966614j -0.0288439-0.0173232j -0.0924465-0.0350255j 0.0655923-0.0195076j -0.157799-0.0889474j 0.0932041-0.10328j -0.0978391+0.0152483j 0.0034434-0.0229937j 0.00864718+0.0214187j 0.0751876+0.068746j 0.0424618-0.0240315j -0.158764+0.0823415j 0.100225+0.0103996j -0.0522507+0.0221933j 0.00319065-0.0570865j 0.0263363-0.0190515j 0.0526967+0.0195227j -0.0450118+0.0425074j 0.0864982-0.0465821j -0.0174337+0.125534j -0.00217473+0.0482442j 0.0220494-0.0203295j -0.10627-0.0763269j 0.0627195-0.085421j -0.0443325-0.0126576j -0.0323439-0.0228441j -0.0376888+0.0872549j -0.0937843-0.0505901j 0.0495243+0.0232671j -0.00808365-0.0444697j 0.0459935-0.0314312j 0.00212503-0.0343868j 0.0194755+0.0917026j 0.0281845+0.00752785j -0.0050679-0.0148899j -0.00872152-0.0130985j 
-0.0150248-0.00099766j -0.0163256+0.00567047j -0.0143165+0.0404306j -0.00198464-0.00491716j -0.0186799-0.0151199j -0.0610968-0.0122738j -0.00687355-0.0210464j -0.0106106+0.0163573j -0.00193168+0.0153226j -0.0412516+0.0151106j 0.045034-0.0335868j 0.0212742+0.0445225j 0.0380194-0.00399492j 0.0454166+0.0398492j -0.00367883-0.0114263j -0.000443956+0.0110791j 0.0348533-0.00876518j 0.0134041-0.0144426j -0.00838809-0.0187547j 0.00683461-0.0361248j 0.00889612+0.0105613j -0.0633937-0.0589445j 0.103963+0.0574404j 0.0529054+0.0292355j 0.0212741+0.00561291j 0.0197984-0.0133421j -0.0410322-0.0427189j -0.0243128-0.0363861j -0.141524+0.0714093j 0.0262077+0.0249736j 0.0618594+0.0617088j -0.110387-0.0126538j -0.0178336+0.00143979j 0.0467314+0.0323875j -0.0756372+0.11118j -0.00251433+0.0715736j 0.00104522+0.024762j -0.0317196+0.0657027j 7.41709e-05-0.0299351j 0.0585175-0.0105211j -0.0496954+0.102807j -0.0405792-0.0788119j -0.118809+0.0841241j -0.0224043-0.0526078j -0.0212064+0.0616124j -0.00656939-0.164177j -0.0133667-0.084248j -0.0433285+0.053171j 0.0289747+0.0214284j 0.0519638+0.00522377j 0.145194-0.117917j 0.12171-0.0256592j -0.00981119+0.10221j -0.0851703+0.0152272j -0.075394-0.0141029j 0.0186326+0.153499j -0.066031-0.116629j 0.0735579-0.0259484j 0.122929+0.0718435j -0.0667792-0.0448632j -0.119668+0.0272584j 0.0600094-0.0839856j 0.0596809-0.17045j 0.0309578+0.0426j -0.0470362-0.0198174j 0.0575165-0.0408273j 0.0631746-0.0485772j 0.0126218-0.152913j -0.0275878+0.00176914j 0.0532036-0.0321995j 0.00342822+0.0391454j 0.0248531-0.0334022j -0.0858225-0.0577282j -0.120627+0.0623334j 0.0235897+0.0838572j -0.0463549+0.0407513j -0.0144621-0.131952j -0.0231684-0.101634j 0.0542186+0.0689368j -0.142646+0.0458942j -0.136776+0.0429724j -0.113684-0.0723662j 0.0692293+0.0989213j -0.122441+0.0935622j -0.0812032+0.0477118j 0.0109299+0.102038j -0.0149642+0.0555573j 0.0220545-0.0246319j -0.031719-0.0863765j -0.0480096+0.00902371j 0.00178729-0.0134533j -0.0154541-0.0073032j 
0.0277382+0.00444953j 0.0145031-0.00969805j -0.0146179+0.00558478j 0.00400968+0.0275918j -0.0258282-0.0297497j -0.0331429+0.00170422j 0.00551571+0.00776399j 0.00648649-0.0282662j 0.0530467+0.0421831j 0.0127807+0.0155991j -0.0406738+0.0782236j -0.0242019+0.0384107j -0.0615047-0.0439453j -0.0262783-0.00182262j 0.0264873-0.0244764j 0.0115824-0.0465099j -0.0431509-0.0468926j 0.00799508+0.082017j 0.0125774+0.0281789j 0.0170238-0.0232863j 0.045803+0.0440158j -0.0849727+0.0105737j -0.0142152+0.0809379j 0.0240804+0.018769j -0.0339448-0.0739737j -0.000546666-0.0117488j 0.00829364-0.0824314j 0.00073258-0.00605537j 0.0119215-0.0251551j -0.0284117+0.032841j 0.0466141-0.0765173j -0.0495823-0.027163j 0.0610965-0.0142291j 0.0436234+0.0548482j -0.0351092+0.0965534j 0.0440358+0.0052554j 0.0396656+0.0673713j 0.0120769-0.0147078j -0.0141248+0.0258236j 0.0467932-0.0381437j -0.0241194+0.0636896j -0.0570638-0.0442389j 0.0833345+0.063748j -0.122469+0.0244308j 0.033859+0.00811618j 0.0269288+0.0222182j -0.0413793+0.083616j -0.178276-0.13377j -0.0271619+0.0178803j -0.0804165+0.0260348j -0.021181+0.0163049j -0.0307582-0.0559957j -0.00011385-0.128486j 0.158964+0.00341311j 0.0486963-0.0501805j -0.0682581+0.0736331j -0.0747206-0.294205j 0.0299442+0.0133292j -0.0285602+0.0256781j -0.0134922-0.0857647j -0.00833402-0.0893429j -0.0868556-0.00149494j 0.0346903-0.0982127j 0.0656691-0.013879j -0.108644+0.0199777j 0.0198112-0.0568396j -0.0570842+0.102979j -0.0461805+0.0408703j 0.0102141+0.0634789j 0.0255976+0.0594698j 0.00767722+0.110041j 0.0650653-0.0448148j -0.0263787+0.10276j -0.0731603-0.0093928j -0.0260738-0.0459862j -0.0595254-0.0230997j 0.0705886+0.0965001j 0.061247+0.162867j 0.205072-0.0483511j 0.0742028+0.0592737j -0.0806683-0.0604086j -0.00307339-0.0930183j 0.0213215+0.033027j 0.0230192-0.0313155j 0.0252944+0.0626957j 0.0459107+0.014697j -0.0274068+0.0172031j -0.0200856-0.0392863j -0.0196215+0.0587016j 0.0644182+0.0161274j 0.0136251-0.00858981j -0.0111871+0.0263969j 
-0.0241107+0.0131397j 0.0042953+0.00260283j 0.0143931-0.0108324j 0.0345682-0.0226335j 0.0397106+0.00665512j -0.0157839-0.0446095j 0.00559112-0.0275588j -0.000330816-0.062209j 0.0341212-0.0178828j -0.000362897-0.0304885j 0.0241725+0.0227708j 0.0166728-0.0212024j -0.000573689+0.0562588j -0.0190981-0.0253606j -0.061825-0.0424875j -0.0232128-0.0602928j -0.012357+0.00581207j 0.0214152-0.0445468j 0.0717694-0.031119j 0.0441944-0.0162129j -0.0287116-0.00302323j -0.0593947-0.0931216j 0.0402175-0.00438079j -0.0280137+0.00954908j -0.00738856-0.0614175j -0.0484984-0.0406689j -0.0284735+0.0787823j -0.0281966-0.0375275j -0.0376711-0.0308457j 0.0537668-0.0431979j 0.0355551+0.0587589j -0.0070959-0.0485883j 0.120127+0.0748967j 0.0147717+0.0246817j 0.0849421+0.0637755j -0.0330717+0.00960891j -0.0156649-0.0178409j -0.0705818+0.0206097j -0.0124259+0.156219j -0.0161436+0.0150742j 0.020102-0.110309j -0.0781157+0.0503482j -0.145603-0.0501812j 0.115842+0.0688519j 0.0501539+0.0972801j -0.0964728+0.0923597j 0.0861903+0.0732614j 0.0677633+0.0399824j -0.0595048+0.0333141j -0.0265484-0.0462006j 0.0107273+0.0412848j -0.167116+0.0505803j -0.10183-0.0346118j 0.0199814-0.118529j 0.0772744-0.0868267j -0.0822178-0.00891562j 0.00247103+0.0762908j -0.0137606+0.000999454j 0.0540336-0.181983j -0.0262489-0.0541297j -0.0204699-0.0190627j 0.0328856+0.037181j 0.0235938-0.104471j 0.050023+0.0340983j -0.00327207+0.129182j -0.117394-0.0812666j -0.00379236+0.0204825j -0.0828742-0.0434495j -0.00278474-0.0477057j 0.116669-0.0798636j 0.0503128-0.0246742j 0.101421-0.0177113j 0.062107+0.0454429j 0.026471+0.092303j 0.0162933-0.0198211j -0.0214948-0.0760938j -0.0498743+0.0336732j -0.110352-0.0711086j 0.00939679+0.0716324j 1.04717e-05+0.0386481j -0.0844278+0.0612063j 0.0224818+0.0263707j -0.00883952+0.0564767j -0.0409273-0.0757457j -0.0132858-0.0528149j -0.00714029+0.0073637j -0.0231117-0.00277675j -0.0411411+0.00683306j 0.0406616-0.0284029j -0.0168982-0.0722934j -0.00960608+0.0144251j 0.0135447+0.00799649j 
0.0253532+0.0217061j -0.00490306-0.000474064j 0.0157992-0.0294326j 0.0218179+0.0115228j 0.0297575+0.0115368j 0.00241866-0.0283193j 0.00299571+0.0139064j 0.0396694-0.0225427j 0.0014615-0.0325416j -0.0201955+0.0367441j -0.00656944-0.0456762j -0.0139279-0.0406264j -0.020379-0.024568j -0.0201089-0.00783182j -0.0240795-0.00622357j 0.00735171-0.044868j -0.0358209+0.0516455j -0.000111998+0.0200856j 0.0103991+0.0580042j 0.000906381+0.0817327j -0.000440224-0.0477644j -0.00662251-0.0112457j -0.0110739+0.0487329j -0.0279633-0.0869419j 0.0179659+0.021135j -0.0504583-0.0735843j -0.0422031-0.0163313j 0.08698+0.0785894j -0.0734369+0.0791972j -0.00732578-0.0355703j 0.0513697-0.0339507j 0.0363824+0.0613326j -0.0114356-0.0633942j 0.0573503+0.112026j -0.0283317-0.0214789j -0.0380033+0.00893334j -0.0516015+0.0861947j 0.0025487+0.0469821j 0.0292301+0.225329j 0.0494527+0.0665714j 0.01115+0.0498243j -0.0344434-0.154473j 0.0247852+0.0912168j 0.095267-0.208296j 0.0303557+0.138118j 0.09975+0.0303834j -0.00422756-0.0926212j 0.0125228+0.145403j -0.000199535+0.0816246j 0.0242347-0.0738789j -0.0118903-0.0749231j 0.0570399-0.113397j 0.0207374-0.0718068j 0.0484351-0.106977j 0.0172794+0.00871552j -0.0286979-0.0621425j -0.0930332-0.0609112j -0.129396+0.101417j -0.00786683+0.0278148j 0.0128094+0.151717j -0.0667456+0.034023j 0.0132001-0.082711j -0.0420412+0.0510214j 0.0335718-0.0098237j 0.0165337-0.105323j 0.0382553+0.0545469j -0.0246168+0.014188j -0.0728852+0.0452708j -0.00169385-0.0241144j -0.0234589+0.0581368j -0.0135509-0.025659j -0.00307605+0.0196925j 0.0216695+0.0321391j 0.0392672+0.0358769j -0.0359639-0.00521658j -0.0597531-0.045153j -0.0236668+0.0479098j 0.0499951+0.0124697j -0.085555-0.0241827j 0.0776283-0.118138j 0.0555282-0.0167429j 0.0461236-0.0489134j -0.0214171+0.00283649j 0.0117628-0.0219076j 0.0339162-0.0741688j -0.0378274-0.000648925j -0.0241436-0.031519j -0.0295007+0.0139974j 0.0385378+0.00630398j -0.00986569-0.0129606j 0.0290579-0.013449j -0.00722896-0.0137009j 
-0.0224019-0.00632948j -0.00943019+0.00652596j -0.0107423+0.0411032j -0.00677938-0.00397975j -0.0437265+0.00695946j 0.0280219+0.0087898j 0.0163348-0.0159198j -0.0400028-0.0101049j 0.0346645+0.0662673j 0.0731437+0.104105j -0.00301869-0.0232619j -0.0087103+0.0162806j -0.0322253+0.0575505j 0.0293103+0.0006308j -0.0213119-0.0785525j 0.0607991-0.0167051j 0.0427106+0.0094759j -0.0338882-0.0347984j 0.0208452+0.039948j -0.0211897-0.0420991j 0.0483624+0.00445867j -0.00634853+0.00140862j 0.0286339+0.0134845j 0.0498942+0.0232997j -0.035939-0.028096j 0.0148678+0.0849141j -0.0428702-0.0452495j 0.0581703-0.0243437j -0.0154758+0.0608968j -0.045728+0.0102533j 0.0541626-0.104398j -0.0670606+0.0285001j 0.0588102-0.116112j -0.00387767-0.103788j -0.0751133-0.0301321j 0.0544478+0.0158955j 0.118879+0.0164125j -0.0359578-0.126661j -0.138892+0.063302j -0.0836553-0.0155464j 0.0460802-0.132541j 0.0301586-0.0233094j -0.0533073-0.0492886j 0.0841315-0.125742j 0.0245564-0.204062j 0.00668922+0.061528j -0.00951067-0.0629805j 0.0495505-0.00319393j 0.0686982+0.0842836j 0.0399627-0.0907613j -0.0899458+0.0584851j -0.0600225+0.00822343j -0.0126457-0.180223j -0.0541293-0.0170147j -0.0472764-0.0922213j 0.0175247-0.0829441j 0.0661806-0.0506347j -0.0420306-0.221298j 0.0654095+0.0149511j 0.0283425+0.0436626j -0.0299896-0.0394377j 0.0259559+0.115491j -0.0327432+0.064447j -0.0273698-0.0341501j -0.0262385-0.0676975j -0.0492295+0.020658j 0.0618811+0.0532608j 0.0216884+0.00490209j -0.0063964+0.0786944j 0.0532117+0.0825806j -0.0691726-0.00254024j -0.00543421+0.0169678j -0.0388951+0.137616j 0.0546729+0.0240498j 0.0905309-0.0695786j 0.0603556+0.0221631j 0.0651639-0.0794795j -0.0524504+0.0556198j 0.1254+0.0303235j -0.0404495+0.0688187j 0.0465304-0.0700774j 0.0521662+0.00478596j -0.0401145-0.157704j 0.120025-0.00926425j -0.0700933+0.0463154j 0.03405+0.0651007j 0.0267051+0.0394264j 0.0634508+0.0913862j -0.0307185-0.0680494j 0.0141822+0.0368903j 0.00623209+0.0319656j 0.00967403-0.0131237j 
-0.00254938+4.64433e-05j 0.00898347+0.0118115j -0.0136574-0.0211404j -0.0059132-0.00331803j -0.0415837+0.005387j -0.0346595-0.0286891j 0.0150928-0.0214012j -0.00370557+0.0372164j -0.0426613+0.0132063j -0.0500226+0.0846222j 0.0434936-0.0204323j 0.0203696+0.0427388j 0.00799493+0.034154j 0.0182873-0.0322377j 0.0302858-0.10548j 0.00639065-0.0112764j -0.0245437+0.0331576j 0.011153+0.0691013j -0.0104516+0.0471691j -0.0934103+0.0427412j 0.0251979+0.0038495j 0.0393666+0.0315693j -0.0228157-0.0281482j 0.00427326+0.0734443j -0.0544347+0.0228937j 0.0297211+0.0658829j -0.0453645-0.0269892j -0.0385231-0.0191869j -0.0886042+0.0352374j 0.0868184+0.0137583j 0.0830566-0.0879188j 0.049755+0.0417035j 0.0562408-0.0158663j 0.0799521-0.0632241j -0.0137096+0.0121771j 0.00213545+0.107156j -0.139809+0.06447j -0.0291482+0.0490652j 0.0162585+0.057779j -0.00315138-0.042847j -0.0607879-0.0891421j 0.0635697+0.0151696j 0.0314111-0.011776j 0.075048-0.0902218j 0.034045-0.0459759j -0.155331+0.154418j -0.027685+0.00359665j -0.088111-0.0197746j -0.139419-0.0959133j 0.028901-0.0637663j -0.0172953-0.0282832j 0.00449968-0.158992j -0.0340422-0.0242693j -0.0424687+0.0125249j 0.00445082-0.0790628j 0.0170956-0.0701824j 0.118587-0.101357j 0.0390151+0.0796108j 0.0298205-0.0252633j 0.0348064-0.0963405j -0.00838523-0.0448562j 0.0447281+0.0370272j 0.0474548+0.0867633j -0.0404174+0.00168515j -0.00282988-0.0816145j -0.021139+0.113691j -0.0410649-0.016568j 0.097778-0.0496394j 0.0884519-0.10852j -0.0741786-0.0503646j -0.15149-0.0339603j 0.0536992+0.0619162j -0.0824711-0.0999354j -0.0563566-0.0414262j -0.090599-0.0798926j -0.0116419-0.0226992j -0.0180235-0.102436j 0.117854-0.00684377j -0.0505344-0.117197j 0.0166299-0.112447j -0.114748+0.0774792j -0.0200107-0.08525j 0.0658363-0.0563564j -0.0849982+0.12773j -0.0329064+0.0895914j -0.0237445+0.0522072j -0.0144237-0.00311007j 0.00362762+0.0219622j -0.00644237+0.00625745j -0.0278875+0.00522842j -0.00723834+0.0158295j -0.00824901-0.0084546j 
