0.0534171+0.111153j 0.089084+0.0376497j 0.0250085+0.162929j -0.0733696-0.106254j -0.000167542+0.0184198j 0.0178609+0.0464666j 0.0960616+0.114509j -0.00597874-0.0690939j 0.0132775+0.0548212j 0.0448477+0.0454671j -0.0905011+0.0360067j 0.0360113-0.0301026j -0.0762517-0.172285j 0.17573+0.0222211j 0.0427428+0.16977j -0.0884842-0.155618j 0.0420976+0.149128j 0.142218+0.0115124j 
-0.0641412+0.0240095j 0.128784+0.0973256j 0.0537303-0.0198239j -0.057201+0.00589661j -0.0543698+0.00974798j 0.0351668+0.00212937j 0.0783338-0.0118678j -0.140166+0.107242j 0.0337847-0.0588227j 0.0400234+0.0681591j -0.00325796-0.0202749j 0.00769289+0.101463j -0.179156+0.0357713j -0.0217521-0.189482j -0.000595514-0.129158j -0.0189868+0.0191773j 0.205154-0.164737j 0.116671-0.115796j 
-0.166104+0.0443478j 0.11777-0.000670777j 0.0799343-0.0431464j -0.157826+0.249892j -0.172949+0.0409691j 0.0778931-0.060028j 0.0504708-0.0345376j -0.119073-0.0472408j -0.101387+0.021795j 0.0232736+0.0784034j -0.0455716+0.0459656j 7.0971e-05-0.0182757j 0.0377029-0.107216j -0.164106+0.0746686j 0.0853825-0.0192003j -0.108491+0.0725408j 0.213831+0.124148j -0.288019+0.296218j 
0.0192135+0.0831939j -0.026735-0.0557196j 0.0174342+0.200235j -0.095581-0.0690961j -0.0285879+0.038553j 0.105495-0.212603j -0.239621+0.109079j 0.285236-0.441584j -0.135938+0.14873j -0.0607644-0.118164j 0.0757651-0.0195689j -0.0266749-0.130743j -0.010058+0.0909699j -0.0242281+0.058059j 0.0941383-0.0273559j -0.094093+0.11245j -0.0442345+0.0909713j -0.0906393+0.0175154j 
0.0122967-0.0494303j -0.148382-0.11808j 0.0461968-0.108052j 0.0511744+0.34217j -0.200349-0.112533j 0.10816+0.00958976j -0.35145-0.10462j 0.103785-0.0899655j -0.312709-0.215848j -0.098054+0.123589j 0.0336148-0.0231348j -0.0310678+0.164664j 0.0130047-0.0272521j -0.0045682+0.00139742j 0.0813144-0.0614834j -0.0348171+0.0512539j 0.0229895+0.00635212j -0.00359504+0.00295252j 
0.0200528+0.0567533j 0.0509237+0.00379468j 0.0280217+0.0599575j -0.053698-0.0564224j 0.0608437+0.104401j -0.0129618-0.0869422j 0.167239+0.018473j -0.0603447-0.0357015j 0.155386+0.087906j 0.0132499-0.00809712j -0.00970848-0.0777891j -0.0687974-0.124019j -0.0603397-0.0157982j -0.0622345+0.0564812j -0.03812-0.0110359j -0.00185669-0.0382989j -0.0279515+0.0123466j 0.0501035-0.0202651j 
0.173966+0.151026j 0.0433699-0.097886j 0.101428+0.164531j 0.12192+0.0275453j 0.471692+0.0651343j -0.351141-0.169032j -0.257741-0.217426j 0.00882454-0.138055j 0.117665-0.0493682j 0.0805219-0.106768j 0.00229459+0.0416541j 0.0747853-0.123876j -0.119384+0.023077j -0.0158777+0.0158521j 0.0303116+0.0222286j -0.101863+0.0454937j 0.0157232+0.0815821j -0.0661929+0.0593712j 
-0.0514461-0.0943228j 0.0563175+0.094817j -0.0895213-0.0215592j 0.172819-0.329803j 0.0995882-0.194037j -0.0179911+0.250035j -0.103193+0.121412j 0.101119+0.212717j -0.0672774+0.0555458j 0.169913-0.133669j -0.0324675+0.0732261j 0.0745793-0.148304j -0.119748+0.00280961j -0.0866751+0.0376419j 0.00780693+0.0167599j -0.0713308-0.00952858j 0.0923014+0.041778j -0.117198+0.0985249j 
0.0147787+0.0569357j -0.062596-0.0808381j 0.057492-0.120691j 0.017077+0.172385j -0.0712407-0.0608638j 0.107046+0.122036j 0.143231+0.0730928j -0.12074+0.204304j -0.00313011+0.0423812j 0.0679543+0.139876j -0.0535342-0.0498652j -0.0885951-0.263051j -0.156273-0.012683j -0.0729112+0.305135j -0.0241558+0.217564j -0.132662-0.0365243j -0.145231+0.193905j -0.0105623+0.0354533j 
-0.0558147-0.078721j 0.00960296-0.00153676j -0.040024-0.0978744j 0.0261066+0.0979605j -0.0207646+0.00363585j -0.0947903+0.100975j 0.131929-0.0963525j -0.130537+0.0931195j 0.00101645-0.0138641j 0.0174589+0.0399666j -0.0512571+0.0748259j 0.0353932+0.0943652j 0.257745-0.205111j -0.0309644+0.0796581j -0.025425+0.0649916j -0.0177171+0.0814795j 0.000447996+0.0616747j -0.182881+0.107824j 
0.0909937-0.0372325j 0.0719325-0.0353899j 0.0571458+0.0326743j 0.0317825-0.00244494j -0.0783379+0.0312688j 0.0261995+0.0205339j -0.024343-0.0619436j 0.0169572-0.100863j -0.0264282-0.0995049j 0.0083191+0.0596897j 0.0778661-0.242237j -0.0996137-0.0913815j -0.0851526-0.292772j -0.237724-0.102175j 0.0216496-0.205956j 0.106985-0.127944j 0.133495-0.124968j 0.16606+0.0254342j 
-0.104519-0.0621814j 0.0678449+0.0723687j -0.091314-0.00850253j 0.00512997-0.17445j 0.0643669+0.0524616j -0.059996-0.0195617j 0.14845+0.0304459j -0.00134836+0.0499034j 0.142754+0.182162j 0.032926-0.109317j 0.0332502+0.0659584j 0.0299626-0.0740658j 0.203415-0.0381806j -0.147593+0.00371622j 0.0095663-0.0985798j -0.0496597+0.0993301j 0.0107306+0.0381136j -0.183564+0.0941485j 
0.0648134-0.0391778j -0.0276214-0.0715633j 0.00321062+0.0508523j 0.0503867+0.0108738j 0.0100595-0.0178807j -0.0422351+0.0638608j -0.127309-0.0729319j 0.0734163-0.0826388j -0.101077+0.0151904j -0.00538873-0.0292139j 0.0380047-0.029423j 0.00894491-0.0636217j 0.112812-0.24774j -0.0786274+0.0648347j 0.0536332+0.037661j -0.012341+0.00670588j -0.0458996+0.0650357j -0.0761824+0.104832j 
-0.109546-0.0102982j 0.0913869+0.0558206j -0.0307297-0.0646211j 0.0309064-0.049844j 0.0392731-0.00256767j -0.0705374-0.10544j -0.0613092-0.075562j -0.00413902+0.0329952j -0.0369108-0.0465003j 0.076976-0.0653798j -0.125721-0.133333j -0.25965-0.00307889j 0.0180979+0.205303j -0.298416+0.178306j -0.0557838-0.217989j -0.0806861+0.0993808j 0.113879-0.0370213j -0.190499+0.0166217j 
0.00724601-0.000530546j 0.0557946+0.0564074j -0.0129474+0.0801511j -0.0415022-0.0777805j 0.0244103+0.0271317j -0.0305164-0.0384263j -0.0521031-0.0358721j 0.0335638-0.0948979j -0.0380681-0.0596332j 0.0412411+0.0257584j -0.256582-0.0617401j -0.165719+0.25443j 0.00207025+0.00861578j 0.16144+0.196693j -0.148483+0.0684223j -0.00624332-0.121871j 0.0605559+0.0177385j -0.000898639+0.00262716j 
0.0435994+0.198603j 0.38146+0.128629j 0.0655796+0.12342j 0.0179671-0.0371507j -0.0814161-0.0587328j -0.0809709+0.00887966j -0.0494875+0.0957946j 0.0226737+0.00519594j -0.166875-0.118369j 0.215001+0.106221j -0.186192-0.0724123j -0.02376+0.096978j 0.162904+0.0259814j -0.0482428-0.109803j 0.072004+0.0403171j -0.0481386-0.0669402j 0.284539-0.0507177j 0.00381541+0.0427884j 
0.00209631+0.120721j 0.041188-0.0103984j 0.0559642-0.00486007j -0.0147331+0.113213j -0.03209-0.0486073j 0.0161623-0.00209662j -0.0149097+0.0644768j -0.0324515+0.0242637j -0.0688935+0.00169065j 0.0334659+0.0657613j -0.00267044+0.0668734j 0.0852606-0.169006j -0.017505+0.0763373j -0.0680132-0.00613696j 0.123183+0.103231j -0.0851266+0.0690554j 0.0560045+0.0741947j -0.057052+0.0816487j 
-0.168085-0.0534269j -0.0125857-0.00156189j 0.0326601+0.00141229j -0.0698366-0.0477664j 0.0889327-0.0132485j 0.0532544+0.0200255j -0.116125-0.0572543j -0.0725088-0.035636j 0.00773954+0.0438809j -0.00199678-0.0658728j -0.113794-0.000569829j -0.038543+0.023717j -0.299282-0.107029j -0.0256807+0.142457j 0.0232121+0.00510388j -0.11888+0.0852101j 0.0713688+0.0589782j -0.0541402+0.104013j 
0.00368873+0.0992614j 0.138934+0.0640702j 0.0276535+0.0721513j 0.0181769-0.023684j 0.0407699-0.0603356j -0.0320164+0.05024j -0.0360489+0.0591445j 0.0222015+0.0634824j -0.03696+0.00129987j 0.0842571+0.0369309j -0.0801444+0.0149497j 0.0774474-0.0743162j -0.0321587+0.0376397j -0.0533491-0.0636496j 0.115695+0.0625729j -0.0341481+0.0302827j 0.109501-0.0136115j 0.0247514+0.0364566j 
-0.232925-0.169848j -0.0652352+0.0054147j -0.0365056-0.0633673j -0.0287391-0.0635059j 0.0425881+0.0367889j 0.0162998-0.0169185j -0.0838897-0.101695j -0.10638-0.0115883j 0.0789021+0.0425673j -0.0872974-0.151556j 0.098071+0.156805j 0.111525+0.186551j -0.0761442-0.0911265j 0.0565857-0.165867j 0.0540002-0.171165j -0.0487024+0.115994j 0.0709012-0.00528037j -0.0923932+0.0962318j 
