0.283468-0.0503186j 0.116814+0.115589j -0.118419-0.151976j -0.141283+0.112066j 0.0722799+0.0696625j 0.0121883-0.0953615j 0.00663822-0.0809948j 0.0192562-0.0133818j 0.0667988-0.0844307j -0.0219337-0.121297j 0.00890219-0.00535042j 0.0212328-0.0199568j -0.160983-0.125701j -0.0434433-0.0310498j -0.0599743+0.00155373j 0.0217698+0.0194013j 0.0812076+0.0500137j -0.121095-0.11417j -0.0279978-0.0620608j 0.0108959-0.0903108j -0.00612033-0.00202587j -0.0635986-0.0992883j -0.110612+0.139592j 0.0391032+0.075196j 
0.824407+0.00868822j 0.468572-0.02514j 0.0812729-0.0333355j 0.114207+0.0312152j -0.0357544-0.00698934j 0.0983143+0.0138351j -0.0781661-0.0177547j -0.0288867+0.0573739j -0.00620644+0.00261257j -0.0124109+0.0519775j 0.01607-0.00459208j 0.035919-0.0196088j 0.0419732+0.0511047j 0.0439182+0.0212009j -0.0243283+0.00315015j 0.0125404+0.0201746j -0.0344209-0.0280872j 0.0427317+0.0788763j 0.0333062-0.00749984j 0.0267718-0.0215023j 0.0141769-0.0293339j -0.00111258+0.0175651j 0.00231678-0.0137982j -0.0433815-0.0209992j 
0.0133778+0.0339086j -0.0436866-0.0440148j 0.0139114-0.094092j 0.0095416-0.0260827j 0.0183573-0.0917346j -0.00181735-0.0163618j 0.0912037+0.116172j -0.0561815+0.055278j 0.008994-0.0372988j 0.101901+0.00369867j -0.0360982+0.0427798j 0.034413+0.0209484j 0.0260779+0.103916j 0.0320151-0.0135893j -0.0703051+0.0221706j 0.00832256-0.0451127j 0.08293-0.126181j -0.145834-0.1055j -0.0627133-0.0301233j -0.0929244+0.0589618j 0.0882878-0.164472j 0.0485629+0.0213103j 0.0311322-0.0961725j 0.25906-0.0896805j 
0.0540057-0.0499546j -0.305237+0.10122j -0.198141-0.420287j -0.27202+0.363879j 0.381613+0.143016j 0.0420729-0.0531735j -0.0701307+0.040641j 0.0301197-0.00987549j 0.0721221-0.0381491j -0.111354+0.0408785j 0.0526898-0.0459263j 0.105559-0.0160761j 0.00174678+0.0103991j 0.0184365+0.100467j 0.0743516+0.0389797j -0.0209382-0.0136685j -0.00212899-0.0610206j 0.0693799+0.0490483j 0.00804097-0.0220839j 0.0754217-0.0532496j 0.0174793-0.0616172j -0.032271-0.0268739j -0.0800489+0.047026j -0.0566555-0.0587083j 
0.00851563-0.0194565j 0.0819614+0.025619j -0.0159651+0.0276722j -0.0217229-0.151361j -0.124925-0.0612603j 0.0497421+0.123793j -0.0614034+0.0388054j 0.126682-0.112284j 0.0857397+0.0772688j 0.228439-0.0573859j -0.0162662-0.0434877j -0.0705929-0.0876933j -0.0948714-0.0820483j -0.025307-0.0537977j 0.0042452-0.100449j 0.00282865+0.0247474j 0.179634-0.120096j 0.101732+0.0830321j -0.00301353+0.0461039j -0.0535616+0.0659112j 0.071133-0.15433j -0.0885479+0.0598819j -0.126099-0.115424j 0.186923-0.12731j 
0.140304-0.0191045j -0.035706+0.0275003j -0.0272171-0.094102j -0.0754467+0.179932j 0.220179+0.166523j 0.156975-0.0196855j -0.215029+0.210845j -0.122371-0.139729j 0.0464744+0.1264j 0.0565602+0.101573j -0.129215-0.0667717j -0.0574108+0.0847346j 0.050704-0.124469j 0.0452+0.0218918j -0.065917-0.0371511j -0.0043136+0.098329j -0.0321957+0.0160963j 0.0123426+0.0354016j -0.0410357+0.0948107j -0.119719+0.195914j -0.0787908+0.0848775j 0.0713273+0.0907542j 0.0955799-0.1237j 0.0654402+0.0159797j 
-0.0840666+0.0374317j 0.0448301-0.0660673j 0.0832281+0.110587j 0.0369352+0.0548834j 0.08741+0.0975838j 0.0799167-0.0226329j -0.183752+0.183363j -0.237758-0.0915587j -0.0539686+0.115857j 0.0628504+0.223261j -0.197672-0.000499889j -0.00158144+0.212461j 0.144697+0.0145883j 0.033436-0.0657272j 0.0526941-0.00194359j 0.0350397-0.0162502j 0.0480172-0.0132634j 0.0320057-0.0130859j 0.0201539-0.0109203j -0.0284376+0.038692j -0.00382495-0.00198313j 0.0814277+0.0750187j 0.0470945-0.0360397j -0.0103392-0.0183745j 
-0.0184999+0.0132141j 0.103714+0.0565797j -0.0534017+0.138821j 0.0535858-0.106025j -0.122353-0.013932j 0.212137-0.138945j 0.112828+0.200089j -0.218263-0.187694j 0.166216-0.151859j -0.0681094-0.21674j -0.0870208+0.00947352j -0.122075+0.154555j -0.115211+0.0155226j -0.0837051+0.0240791j -0.0677005+0.0155958j 0.0613134+0.0337839j -0.062287+0.0392457j -0.0331444-0.0221825j 0.0155425+0.0158901j -0.00688885+0.0244427j -0.0113712+0.0796023j 0.0197165+0.0112454j -0.0210309+0.0326865j -0.0268403-0.034615j 
0.0039024-0.0211928j -0.0528096-0.0389382j 0.0534808-0.0644432j 0.10176-0.0752693j -0.0926366-0.0767334j 0.111068+0.242282j -0.164924+0.0791821j 0.193987-0.145795j 0.136462+0.1687j 0.165218-0.0678544j 0.023218-0.0250047j -0.0828528-0.0627858j 0.069491-0.0689611j -0.0526431-0.0927024j 0.0439635+0.0212023j -0.0432899+0.0401403j -0.0451803-0.0360454j -0.0107752-0.113052j 0.0201213-0.0658865j 0.108659-0.107756j -0.0637667-0.00214933j 0.0511746-0.0837369j -0.0254206+0.13102j -0.160301+0.0500931j 
0.0627438-0.039375j -0.0875078+0.0590625j -0.067314-0.0705024j -0.0024377-0.0476496j -0.0286259-0.0287743j 2.67785e-05+0.0153423j 0.156536-0.0887097j 0.16682+0.0762233j 0.0821451-0.0253694j -0.0381216-0.241416j 0.16332-0.025048j -0.034471-0.228171j -0.128177-0.108912j 0.0158973+0.141383j -0.170014-0.0163454j -0.0839515+0.112826j -0.155581+0.0996544j -0.0373031+0.0558782j -0.0734394+0.116732j -0.155017+0.19293j -0.155765+0.182591j 0.0911355+0.0911574j 0.0870817-0.100557j 0.0244138-0.0426675j 
-0.0381965+0.0119996j 0.0636171-0.00703738j 0.0225049-0.0523561j -0.0222353+0.00637048j -0.0196112-0.0266983j -0.00758998-0.033765j -0.0335795-0.0285798j 0.011567-0.0348896j 0.0545439-0.00492749j 0.0475459-0.05075j 0.0810379+0.0454615j 0.199131-0.0442724j -0.121864-0.046469j -0.0447655+0.00164021j -0.104283-0.255578j 0.0753566-0.410973j 0.0320908+0.0859841j 0.374164+0.0677819j 0.234872+0.10095j 0.013459+0.0186443j -0.0113692+0.114447j -0.0508541+0.20824j -0.0150186+0.0124801j -0.0570465+0.0681436j 
