0.00403769+0.0131125j -0.00342894+0.00353355j -0.0021271-0.000113263j 0.00337912+0.0123414j -0.00203893-0.00336809j 0.00199609-0.0137783j 0.00375961+0.0148273j -0.00105019+0.00595739j 0.00324333+0.00709316j -0.000189309-0.0099269j 0.0015002-0.00803421j 0.00164669+0.0211986j -0.00195672+0.0272994j -0.0021023-0.0131132j 0.0022673+0.00659961j 0.00114204+0.00391229j -0.00092771+0.00654793j -0.000848963+0.000550588j 0.000983958+0.00485827j 0.00236427+0.0166028j -0.00158191+0.00313966j -0.000499822+0.00533359j 0.000543314+0.00022933j -0.000846287+0.00136693j 0.000797587-0.00752112j -0.00139473-0.00253345j -0.000156807+0.00948581j 0.00174044+0.00819406j -0.000609392-0.021234j 0.00135517+0.0124695j 0.000998454-0.00880216j -0.000107751-0.00624801j 0.00230979+0.00493716j 0.000522618-0.00126734j 0.000743877+0.00179938j -0.00203354-0.00629558j -3.95491e-06+0.00266661j -0.00228665+0.00377669j -0.00121338+0.00745292j 0.000579805-0.0027057j 0.00272702+0.00848561j 0.00122347-0.00510794j -0.000329394-0.0101145j 0.00219857-0.0033304j 0.000414144+0.00217614j -0.000363577+0.00593646j 0.000138086-0.00324755j 0.0004823-0.000989142j -0.00120143+0.0142723j -0.00234381+0.00165243j 0.00131368-0.00899443j 0.00197857+0.00544551j -0.00132247+9.51864e-05j 6.53222e-05-0.0140348j 0.000190416-0.00278725j 0.00020633+0.00590761j -0.000769014+0.00147366j -0.0033591-0.0093835j 0.00153095-0.00923847j 0.000219865-0.00479002j -0.00324615+0.00272586j -0.000993095+0.00840612j -0.000284851+0.000762849j -0.000227666+0.00180207j -0.00305279+0.0060383j 0.000626659+0.00578867j 0.00369433+0.0150186j 0.00541538+0.00584117j 0.00384908+0.00365009j 0.00493836-0.00918695j -0.000839374-0.00213116j 0.000916293+0.0118391j -0.00208536-0.00784278j -6.11689e-05+0.0268616j 0.00622205-0.0115418j 0.00281559+0.00481481j -0.00365252-0.0382807j 0.0200377-0.000706991j 0.0116264+0.0882713j 0.00374543-0.0572839j 0.00536233+0.0457729j -0.00565135+0.0342878j -0.00903238-0.0339803j 0.00190114+0.0257408j -0.00190245+0.00685266j -0.00396137-0.0177863j 0.00106865+0.00253423j -0.00206793-0.0111224j 0.00549302+0.0202675j 0.000307509+0.0965206j 0.0142742-0.0518051j 0.000523412+0.927853j 
0.00332148-0.00259936j 0.00383311+0.019871j 0.00352405+0.0120119j 0.00192859-0.00565506j 0.000962425+0.0121218j -0.00276921-0.00571768j 0.00274015-0.00356221j 0.0036424+0.0109152j 1.43794e-05-0.0122185j -0.00170775-0.00290628j -0.00349924-0.0284728j 0.00397941+0.00724492j 0.00231984+0.0102865j -0.00475149+0.0170807j -3.59638e-05-0.00592467j -0.00108679-0.0145379j -0.000225789+0.0038111j -0.000870686+0.00404718j 0.00129466+0.000573807j 0.00327176-0.0042549j 0.00235093+0.0102471j 0.0016968-0.00510435j 0.000957312-0.0102223j 0.00358074+0.00335492j -0.0015148-0.00386759j -0.00215082+0.00918223j 0.00300678+0.00236337j 0.00212462-0.000678099j -0.0030043+0.00112125j 0.00175667-0.00667741j -0.00114859-0.00637645j -0.00103388-0.00295566j 0.000885532-0.00490245j -0.00135932-0.00201707j 0.000826221-0.00618507j -6.54796e-05-0.00124011j 0.000738351-0.00221526j 0.000646472+0.014966j 0.00261548+0.00716759j -0.000683756-0.00514181j -0.000299792-0.000538461j -0.00243463+0.000270925j -0.0035097-0.00418733j -0.00114159-0.00765806j -0.000440758+0.00647503j 0.00237357+0.00325174j -0.000587688-0.00771169j 0.000844076-0.00885679j 0.00352014+0.0132912j 0.000690349+0.0098091j -0.00111319-0.0116371j 0.000869646-0.00661766j 0.001122+0.0101056j -0.00113+0.00555129j -0.00161903+0.000154289j -0.00273538-0.000296613j 0.00129403+0.00759679j -0.00428305+0.0104289j -0.00102847+0.000787106j -0.000451486-0.00273352j -0.000837648+0.0145277j 0.00118819+0.000348579j -0.00127901-0.004066j -0.000381088+0.00294137j 0.000685774+0.00614281j 0.00241747-0.00181408j 0.00289788-0.0135383j -0.00235823-0.00661391j 0.00364566-0.0140451j -8.20759e-05-0.0245303j -0.0008546-0.000775302j 0.00371063+0.0191307j 0.00284202+0.00926662j 0.0034687-0.00235772j -0.000922006-0.0175928j -0.00108729-0.0105406j -0.0106186+0.00350547j -0.0083684-0.0977188j 0.017393-0.0302407j -0.0144207-0.0426767j 0.00464427-0.00765368j 0.00544435+0.0438523j 0.000888841+0.0387451j 0.00607987+0.00913986j 0.00235135-0.00694738j 0.000694451-0.00566322j -0.00204901-0.033565j -0.0020176-0.0115952j -0.000132634+0.111602j -0.00462957-0.0324474j 0.000680571+0.923753j -0.014799+0.0509583j 
0.000392874-0.00485501j 0.00278552+0.0115788j -0.00134486+0.00279741j 0.000449452+0.0135221j -0.0011042+0.012315j -0.0032224-0.00609305j 1.69426e-05-0.00404315j -0.0037887-0.00824471j -0.00161532-0.0173886j -0.00414382+0.00827412j -0.000184249-0.0238829j 0.000401971-0.00958019j 0.00204844+0.00962362j 0.000402991+0.0204728j 0.00420432+0.00843266j 0.000802482-0.00858207j 0.00191011-0.00722675j -2.43194e-05-0.0126398j -0.0014978+0.00657413j -0.00278277-0.014749j 0.000934669-0.00992897j 0.00281135+0.00224074j -0.000236156-0.00606344j -0.00236224+0.00238714j 0.000211012-0.00507632j -0.00303988+0.00270972j -0.00203864+0.016073j 0.00150146+0.00279414j -0.000507953+0.0099928j 0.00271457+0.0031722j 0.000905323+0.00160072j -0.00176963-0.00796308j 0.00150661+0.00594515j 0.00124767+0.00196053j -0.00106551-0.00404032j -0.00286095-0.0192104j 0.00122114+0.02876j 0.000414598+0.0027821j 0.00163201+0.00485355j 0.00024009-0.0120091j 0.000517525-0.0145776j 0.000710941+0.00725468j 0.00161354+0.00654794j 0.0015403+0.00542471j -0.00145653+0.00484065j -0.000646531+0.0195483j 0.00207396-0.0379152j 0.00186917+0.00320625j -0.00101797+0.0119274j 0.00179055-0.00972432j 0.000713209-0.0152406j 0.000389592+0.0166589j -0.00219524+0.00847463j -0.00350675+0.00159156j -6.9779e-05-0.0142967j 0.00338803+0.0286743j -0.00357314-0.0144856j -0.00207568+0.0257235j -0.00268774-0.00145162j -0.00107981-0.0124753j -0.00187892+0.0274833j 0.000904963-0.0119909j -0.0028507-0.0169996j 0.000695746+0.0167532j 0.00282232-0.0135788j 0.0011464-0.0584362j 0.00554193-0.0262873j 0.00319726+0.130564j -0.00563188-0.0379051j -0.0108134-0.0152712j 0.0149465+0.0582187j -0.00386684+0.0423351j -0.0110103-0.0199589j 0.00886251+0.0483672j 0.00635914-0.0341404j -0.00545867-0.0350956j 0.00353772-0.0056797j 0.0113713-0.0226471j 0.00440835+0.0411241j -0.00215312-0.0694634j 0.00603928+0.0226635j 0.00198989+0.0941425j -0.00798848+0.0261929j -0.00271559-0.0162373j -1.38566e-05+0.137639j 0.000841231-0.0439801j 0.000496523-0.0678505j -0.00591883+0.0682595j 0.00723305+0.658549j -0.00844039+0.607063j 0.000453059-0.0524748j -0.00166317-0.0810804j 
0.00251828+0.0157827j -0.000339263+0.0115793j -0.000554157-0.0113318j -0.00299406-0.00368191j -0.00350488-0.0143215j -0.000247133-0.0162247j -0.000687849-0.000781266j -0.000223966-0.00447344j 0.0014031-0.0149577j -0.00251218-0.0352832j 0.00348075-0.00917753j -0.000117035+0.0116389j -0.000753945+0.0157834j -0.00124753+0.00905433j -0.00130486+0.00252948j -0.00203019-0.00156261j 0.000441031+0.00502579j -0.00157706-0.00947026j -0.000589866-0.0216362j 0.000927598-0.00567251j 5.00448e-05+0.00819849j -0.0010266+0.0294339j 0.00295684+0.00707028j -0.000227227-0.00718955j 0.000249158+0.0105065j 0.00150597-0.00546634j -0.000804927-0.00699103j -0.000226437+0.00755612j 0.000221659-0.000197557j -0.00229341+0.0167998j 0.00132611+0.0108519j -6.83643e-06-0.0181549j -0.000163905+0.0114821j -0.00353688-0.00684405j 0.000200727-0.00455263j 0.00160157-0.00870569j -0.00366612-0.012612j -0.000108734-0.00419138j -0.000133697-0.00536102j -0.000512611+0.010565j 0.00161296-0.00658994j -0.00088283+0.000450958j -0.00225108+0.00769914j -0.000970144+0.0159889j -0.00301592-0.00669068j -0.00189988-0.0166021j 0.00535425+0.0199856j 0.00028583+0.0107407j -0.00267387-0.0101323j 0.00121133+0.0209107j 0.00209785+0.00822443j -0.00451622+0.0115828j -0.000863876-0.00655692j -0.001092-0.0299023j 0.00307588+8.88019e-05j -0.00410196+0.0354726j 0.00275942-0.0244852j -0.00154531-0.00362978j -0.000895465-0.0394449j 0.0030042-0.000196137j 0.00092884+0.00711847j 0.00310004+0.0100361j 0.00684346-0.000515867j 0.00294481-0.000447999j 0.00441427+0.0318713j 0.00908195+0.0183077j 5.46487e-06+0.0251776j -0.0144692-0.035026j 0.00136913-0.00656925j -0.00240971-0.0688123j -0.000536833+0.0933091j -0.0100858-0.06608j 0.00287112-0.0714437j -0.00201416+0.0701571j 0.00189759+0.00747325j 0.0086418+0.0237859j 0.000142243-0.00107893j 0.00788919+0.0460353j -0.00963581+0.0617999j 0.0058834-0.00064874j -0.00244086+0.0796604j -0.00670596-0.0247802j 0.00113508-0.0338511j -0.0033966+0.034117j 0.00430998+0.0557767j -0.00450409-0.169531j 0.0018903-0.10503j 0.00341166+0.148936j 0.00791717-0.620732j 0.00675505+0.615707j 0.00109439+0.0949204j 0.00140215-0.0463994j 
0.000616895-0.00342902j 0.00166349+0.00569583j 0.000858944+0.00173684j 0.00195381+0.0127558j 0.00217796+0.0189001j -0.00105818+0.0408606j -0.00106282-0.0254491j 0.00152417+0.00295141j -0.00027199-0.0267608j -0.000995356-0.00478001j 0.000158583+0.000448089j 0.000127143+0.0206498j 0.00027108-0.00462224j 0.0010885+0.0242576j -0.00261941-0.0102431j 6.3596e-05-0.0374972j 0.000770871+0.0332454j 0.00288489-0.0386004j 0.00206659-0.00130846j 0.0014081+0.0367374j -0.000323965-0.0234192j 0.00294524-0.015107j 0.00315668-0.00115456j -0.000202351-0.00605518j -0.000127555-0.0246077j 0.00304986+0.00977261j 0.000356007+0.0165666j 0.00241192+0.015441j -0.00158713+0.0265298j -0.000968984+0.0022646j -0.00126645+0.0347711j 0.000154033-0.0400925j 0.000165526+0.0174268j -0.00175056-0.0101005j -0.000488236-0.0191288j -0.000675047-0.019762j -0.00110495-0.0121077j -0.00224708-0.00363335j -0.00211285-0.0164702j -0.00179289-0.0329209j -0.00200398+0.0103622j -0.000602444+0.0345603j -0.00109816+0.00384296j -0.000685774-0.0164093j -0.000865126+0.00551319j -0.000663452+0.00956139j 0.00160883-0.0257158j 0.00202011-0.0101694j 0.00188912-0.00603947j 0.000883054+0.0170307j -0.00176149-0.013565j 0.00263987+0.0147644j 0.008645+0.037425j -0.00255994+0.0096346j 0.000246702+0.00130009j -0.00586383-0.0101526j 0.00925947+0.023376j 9.7639e-05+0.0426797j -0.00877295-0.0220149j -0.000275756+0.019756j 0.0104155+0.0372255j 0.00178514+0.0112045j 0.00616541+0.0033636j 0.0035351+0.0344021j 0.00270816+0.0179405j 0.000505839-0.0540311j -0.0134336-0.0720036j -0.0153097+0.0619458j 0.00556428-0.0165703j -0.00215447-0.0111314j -5.7017e-05+0.0399104j -0.00447119-0.00142438j 0.00414158+0.00775039j 0.00238878+0.00571793j 0.00171703-0.0282846j 0.00596376-0.015921j -0.00602973-0.0540808j -0.00800859+0.0360677j 0.000236108+0.0356348j -0.00403819-0.0438736j 0.00322301+0.123734j 0.00325462+0.0720346j 0.00663021-0.100231j -0.00115995+0.0173513j 0.0076924+0.280132j -0.000580975-0.0571606j 0.00242715+0.326024j -0.00255781+0.777482j -0.000180316+0.0248408j 0.00156122-0.169481j -0.00454344+0.0071455j -0.00303346+0.0142506j 
0.00158446+0.0109002j -0.00150049+0.0034045j -0.0018856-0.0124634j -0.000183202+0.0129599j -0.00155251+0.0506338j -0.00303857-0.00318539j 0.00092776-0.0116863j -0.000164785+0.00193456j 0.0013768+0.0104229j -0.00045269-0.0153684j 0.000222097+0.0136304j -0.000662518+0.021989j -0.000101047-0.00753762j -0.00226937-0.00608866j 0.000316209-0.00237503j -0.000549749+0.0349976j -0.00542836-0.000171947j -0.00147726+0.0454554j -0.000940092+0.0171505j -0.000178594-0.00517536j 0.00180209+0.00844447j -4.07646e-05+0.0376333j -1.88032e-05+0.00617937j 0.00270071+0.00141507j -0.000173421+0.017058j -0.00050284-0.0011307j -0.000470385-0.00720787j -0.00199786+0.00942107j 8.75371e-05-0.0346162j -0.00250255-0.00237381j 0.000982475-0.0466065j 0.00148247+0.0387047j 0.00021563-0.0229513j -0.00362621+0.0203601j 0.00346257+0.0154078j 0.00321821+0.000533437j -0.00290015-0.0191993j -0.00165528-0.00934127j 0.0011191-0.0205049j 0.00332649+0.00780849j -0.00380073-0.0307387j -0.00417638-0.0278538j -0.00281423+0.00531064j 0.00264447+0.0160682j -0.00409254-0.000621047j -0.00163513-0.00950864j 0.00230642-0.00835689j -0.0008033+0.0560984j 0.00202392+0.0343663j -0.000214675-0.0167977j 0.00458405-0.00318007j -0.00174052+0.0554399j -0.00470035+0.0647584j -0.00127849+0.00340168j -0.000986518+0.00781674j 0.000435296-0.017271j -0.00295413-0.0158117j -0.00373096-0.0222227j -0.00150764-0.0509526j -0.00202212-0.0433019j 0.000673201+0.0529055j -0.00081887-0.0286461j 0.000585457-0.0251553j 0.000395297-0.00154064j -0.00140706-0.0335451j 0.00969307+0.0731852j 0.00908346-0.00541259j -0.00375803-0.0533624j 0.00320024+0.0331421j 3.86373e-06+0.0121702j -0.00339747+0.0510153j 0.000152187+0.0109153j 0.000686626-0.00862314j -0.000831646+0.0344175j 0.00170951+0.0421332j 0.00535707+0.0281024j -0.00351623+0.023988j 0.00440664+0.0569708j 0.00502622+0.0219437j -0.00449731+0.0184951j 0.00191504-0.120527j -0.000956782-0.0818747j -0.00305634-0.0912369j 0.00394967-0.0606976j 0.00114168-0.340067j 0.000121563+0.22757j 0.00300418-0.678998j 0.00543858+0.42869j 0.00392585+0.0607657j -0.000514661-0.0633022j 0.00387417-0.0234714j -0.00309077+0.0163254j 
0.00221674+0.00732121j 0.00147843+0.00824574j 0.00108915+0.00153838j -0.000604753-0.00304649j 0.000885831+0.0125727j -0.000529024+0.0042675j -0.00175001-0.0230603j 0.000299668+0.0144838j 0.00136321+0.00885671j -0.0022376-0.0393482j 0.00142076-0.0260991j -0.00063666+0.0168402j 0.00254547+0.00467292j -0.0016283+0.00683841j 0.00085365-0.0300436j 0.00150133+0.02344j 0.000887269+0.0660577j -0.000242953+0.0292881j 0.00316351-0.00923311j -0.00189046-0.0306004j -0.000564722-0.0175655j -0.000730975+0.0207896j -0.00205375-0.0350112j -0.000104969-0.0102541j -0.00113375+0.0206612j -0.00388814-0.0115863j 0.0012443-0.0113771j -4.46101e-05-0.0101331j -0.0035807-0.0175636j 0.000593761+0.0276456j -0.00166659-0.0341402j 0.000293861+0.00690957j -0.00303617-0.0179928j 0.00117407+0.0490047j 0.0011459-0.00852824j 0.000413733+0.00249021j 0.000327083+0.00380504j -0.00123454+0.0104535j 0.0024108-0.0220934j 0.000359714+0.0163357j -0.00120514+0.017626j -0.00482483-0.0148376j -0.00160302+0.0439941j -0.0022547-0.0233369j -7.49987e-05+0.0212694j 0.00272685-0.0179206j -0.0034061+0.043824j -0.000499133-0.00378344j 0.00664661+0.00819517j -0.00185896+0.02147j 0.0014362-0.0224193j 0.0036381+0.0246405j -0.00240894+0.0304022j -0.00165571+0.0303808j -0.00296724+0.0203693j -0.00104888+0.00941022j 0.00102166+0.0272645j 0.000746513+0.0471074j -0.00322557-0.015681j -0.00416532-0.0269949j -0.00502664-0.0708968j -0.000738188+0.0313583j -0.0185286-0.0655422j 0.000571611-0.0379472j 0.00483797+0.0949405j -0.000816509+0.0118149j 0.00921808+0.0338474j 0.00923627-0.122757j -0.000993306-0.0287045j -0.00180023-0.022094j -0.00173359-0.0620731j 0.00744452-0.0275528j -0.00216302-0.0168817j -0.00112293-0.0307894j 0.000761631+0.065583j -0.00671016+0.00682006j 0.00174077-0.0974593j -0.000149486-0.0155448j 0.000994797+0.0795239j -0.00457745-0.0155752j -0.00055351+0.0243847j -0.000242236-0.0974555j -0.00070757+0.000311523j 0.00437576+0.317657j -0.00122404-0.518407j -0.00549584+0.45296j 0.00274449+0.430091j -0.000391701+0.0973714j -0.00137844+0.0172562j -0.00200584+0.187585j -0.0020718+0.0150819j -0.00345766-0.0153546j 
0.000129158-0.00272032j 0.00164429+0.00972028j -0.00113376-0.020545j -0.00210521+0.00142294j -0.00103597-0.00647287j 0.000578927+0.000807815j -0.000506173+0.00433969j 0.00180404+0.0324662j -0.000329272-0.0369215j -0.00282868-0.0121582j 0.0024226-0.0125585j 0.000590761+0.00718385j 0.00102573-0.0132003j 0.000949174+0.0302581j -0.00277219-0.0363606j -0.001217-0.00566065j 0.00417871-0.0131115j -0.0026599+0.00269678j -0.00114389-0.0198902j -0.00125453+0.0536928j 0.000272628-0.0154777j 0.000865487+0.0439559j 0.000780513-0.000701177j -0.000802128-0.00590926j 0.000216451+0.0100617j 0.000218583+0.0359375j -0.00190631+0.00150019j 0.000888807+0.0226077j -0.00163802+0.017541j 0.0024089+0.0134941j 0.0003818+0.0309384j -0.002549-0.0669881j 0.00186474+0.0564427j -0.000690175-0.0291751j -0.00161011-0.0239118j -0.000850683-0.0175672j 0.00193053-0.0307717j 0.00125982-0.0329294j -0.000814004-0.0815015j -0.000257443+0.0284544j 0.00408486-0.0143487j 0.00173782+0.0343136j 0.000984891+0.023542j -0.000179128+0.0357814j 0.00196332+0.034807j -0.00198276-0.0508529j 0.00453496-6.31869e-05j -0.00381192-0.0276914j 0.000963899-0.0585426j 0.000384155+0.0141178j -0.00144728-0.0101898j -0.00166658+0.0578643j 0.000939646+0.0396568j 0.00211035-0.00600544j 0.00339706+0.0126157j -0.00415838+0.08308j 0.00910165+0.0041712j -0.00351101+0.0125301j 0.00187101-0.026167j -0.000568186+0.00738493j -0.0132918+0.0187689j 0.00409255-0.0481565j -0.000110397+0.0781741j -0.00351095-0.091089j 0.00742581+0.0328091j -0.00213148+0.0381523j 0.00528593+0.00457272j -0.00717204-0.0878798j -0.00116831+0.0746056j 0.00416338-0.0174452j -0.00696347-0.0546107j -0.00294575-0.0762471j 0.000362125-0.0306611j 0.000749139+0.0665365j -0.00434618-0.0491526j 0.000961197+0.0334721j -5.99815e-05+0.0706078j 0.000428774-0.0956003j -0.00134563-0.049839j -0.00165827-0.118997j -0.00283748+0.0575433j -0.000299278+0.173754j 0.00107761+0.0529203j 0.00194729+0.0230806j 0.00347084-0.53048j -0.00259715-0.655306j -0.00582041+0.0680253j -0.00088644+0.0781148j 0.00330171+0.078625j 0.00135121-0.0558962j -0.00151299-0.0326224j 0.00110281-0.013825j 
0.0014102+0.00237774j 0.000417566+0.00388056j 0.00147273+0.00556133j 0.000488834-0.00168013j -0.00036728+0.0262112j 0.00064803-0.00641528j 0.0023044+0.0319718j 0.000602892-0.00321605j -0.00120791-0.0195976j 0.00332252-0.0105955j -0.000601549+0.0335124j 0.00182005+0.00568998j 0.00461383+0.0312648j -0.00410261+0.034702j 0.000447895+0.0393747j -0.000390957-0.0127932j 0.00118445-0.0260115j -0.00344644-0.0265493j -0.00165198-0.00240179j 0.00150944+0.00236737j -0.00217313+0.0386356j -0.00213167-0.0202335j -0.00280171-0.00512692j -0.000571483-0.0268654j -0.00142438-0.0444095j -0.000461038-0.00887786j 0.000515122-0.0199876j -0.00373575-0.0172283j 0.00239997+0.0152729j -0.000248312-0.0450612j -0.00320188+0.0273219j 0.00261231-0.0201849j 0.00609585-0.00351741j 0.00148553-0.0197066j 0.00159641-0.00843211j -0.0024757-0.0186563j 0.00338077+0.0102319j 0.00280152+0.0116638j 0.00483148+0.0666093j -0.00539022+0.00824445j -0.00165049-0.014433j -0.0016613-0.0329873j -0.00250497-0.0698802j -0.00616301-0.00324599j 0.000188356-0.0363395j 0.00641318+0.0205287j -0.000792343-0.0259336j 0.00114147-0.0699684j -0.000670307+0.0220141j 0.000856454+0.0378451j -0.00392308-0.0106491j -0.00144352-0.0611111j 0.00073207+0.0238309j 0.000452533-0.0121211j -0.00293903-0.0633789j -0.00402415+0.0282763j -0.00522445+0.0102125j 0.002198+0.0481109j 0.00649482+0.017259j 0.006703+0.0206765j 0.000831984-0.0150817j 0.00464659-0.0372736j -0.00358342-0.000812036j 0.00551539-0.0308688j 0.00140931+0.00754118j 0.00308985-0.0865498j 0.00189671+0.0766648j 0.00108058+0.0623952j 0.00507637-0.0592864j -0.00121992-0.0290684j -0.00284798-0.0643739j -0.00052629-0.0662811j 0.000931402+0.12245j -0.00171524-0.0510041j -0.00175802+0.0488238j -0.000737097-0.0264977j -0.00357509+0.198922j -0.00423273+0.272819j -0.000685309+0.293498j -0.00327655-0.168259j 0.00095423+0.0734477j -0.000302427-0.0521494j 0.000644534+0.662572j -0.00345169-0.359847j -0.00319828-0.0951574j -0.00174041+0.0742062j -0.00146238+0.0483825j 0.00316176+0.0700066j -0.00188539-0.0339707j 0.00114672-0.000208473j -0.00150699+0.0026229j -0.00211935+0.0144528j 
0.000660259-0.00651362j -0.000812675+0.00382588j -0.00258654+0.00255686j 0.00196577+0.0196903j 0.0010037-0.0191966j 0.000336168-1.15784e-05j -0.000273249+0.0219201j 0.000614745-0.028068j -0.00331443+0.0190773j -0.00308185+0.0544938j 0.00173689+0.0138681j 0.000224983+0.0332297j -0.00210492+0.0122003j -0.00228627+0.0320768j -0.00208445-0.0126887j -0.000167578+0.00395107j -0.000417247-0.00704211j 0.0014791+0.0242525j 0.00260125+0.0182145j -0.000948542+0.00313824j -0.000604808+0.00171072j 0.0037123+0.0203091j -0.00195996-0.00538453j 0.000555596-0.0100539j 0.00553254+0.0394497j -0.00129982+0.0442893j -0.000845731+0.0081472j 0.00282433-0.027726j -0.0012734+0.0440875j 0.00733941+0.00848971j 0.000811383+0.000997693j -0.00044389-0.0103099j 0.00366674+0.0701737j -0.00416858-0.0056285j 0.000967742+0.0210792j 0.00407225-0.026651j 0.000231347+0.0864438j -0.003968+0.0380155j -0.00667147-0.00190059j 0.00231919+0.0223227j 0.00414741+0.0118448j -0.000575978-0.00384716j 0.00379931-0.0588032j -0.00331518-0.0139122j 0.000237323+0.0193972j 0.00252917+0.0605467j 0.00533988+0.0477083j 0.00188241+0.00441949j 0.00324913-0.0447321j 0.00609609+0.0116448j -0.00536867-0.065006j 0.00607868-0.0376291j 0.00242845+0.0574756j -0.00251336+0.011297j -0.00063838+0.00576056j 0.00192149-0.0513857j -0.00371753-0.0177613j -0.00705401+0.000513649j -0.00352291-0.0374628j 0.00172986+0.0804573j 0.00353645+0.120246j -0.00159417-0.103245j -0.00019068-0.00540648j -0.00433351-0.0609176j -0.00212402-0.0385806j 0.00184891+0.0346234j 0.00122703-0.0179934j -0.00418501-0.00985222j -0.000448868-0.0220746j -0.000208381-0.102261j -0.00175157+0.173748j 0.00102268-0.0329203j -0.00140815+0.11571j -1.2769e-05-0.101802j 0.00104118-0.060231j 0.000842696-0.0198964j 0.00152475+0.229788j 0.00188458+0.276117j 0.00287319+0.080339j -0.00514351+0.0630631j -0.00061189-0.367216j -0.00076666+0.196837j 0.00308224+0.201593j -0.00302063+0.630768j 0.00396242+0.101639j 0.00170151-0.066706j 0.00123526-0.0624383j -0.00127123+0.00922528j 0.00116753-0.00447253j -0.00145767-0.0338597j 0.00125075-0.00819198j -0.00116977+0.00674268j 
-0.000440739-0.000709554j 0.000384967+0.00382357j -0.00102807-0.0172233j 0.00194773+0.00385308j -0.000424234-0.00748978j -0.000384643+0.0157155j 0.00219752-0.0290206j -0.000486053+0.0127686j 1.94332e-05+0.0245822j 0.00146119+0.0399553j -0.00242646-0.102497j 0.00106698+0.0287462j 0.00141621-0.0248479j 0.000141722-0.0449651j -0.00127112-0.0816226j 0.00189871+0.0324829j -0.000312329+0.058716j 0.000752827-0.015254j -0.00127968-0.0629237j -0.00313831+0.065161j -1.73044e-05-0.048892j -0.000955516+0.0333255j 0.00262993-0.0452559j 0.00212884+0.0758934j -0.00171366-0.000209224j -0.00197395-0.0209202j 0.000750703+0.059279j -0.00368228+0.00779942j -0.000334543-0.0313067j -0.000466905+0.0387478j -0.00406715+0.00520678j -0.00305434-0.00560272j -0.00358977+0.0387929j 0.00109783+0.0456269j 0.000712682+0.0186551j -0.00418569-0.00682197j 0.000236759-0.0312242j 0.000855829-0.0154883j 0.00480371-0.0379692j 0.00495317+0.0241062j -0.00504395-0.0547548j -0.00365902-0.0364501j -0.00253529+0.0419722j 0.00313319+0.0246415j -0.00256602+0.00384657j 0.00130674-0.0132249j -0.00132925+0.00675882j 0.00150021+0.0645526j 0.00672232-0.0689359j -0.000898852-0.0193547j -4.31631e-06+0.0173648j 0.00434501+0.101058j -0.00336553-0.0676455j -0.00191774-0.0239582j -0.00639293-0.0885719j -0.00158983+0.16277j -0.00307915-0.0999575j 0.00494844+0.139759j 0.000642964-0.00040065j 0.000475591-0.0299699j 0.00974363+0.0521635j -0.00269226+0.0389473j -0.00820929+0.0319513j 0.00527918+0.00746487j -0.00164762+0.0447827j 0.000784962+0.001888j 0.000386882+0.0941694j -0.00136142+0.0558561j 0.00704076+0.0857824j -0.00268838+0.0763373j -0.0030821-0.108924j 0.00372259-0.136273j 0.000840611-0.30886j -0.00066328+0.23629j 0.00352528+0.00778702j -0.0007485-0.237764j -0.00223818-0.168545j -0.00117363-0.00803839j -0.000951984-0.181219j -0.00170942+0.0179989j 0.00224766+0.17837j 0.00314711-0.372346j -0.00059797+0.358809j 0.000270365+0.308989j 0.000520574+0.1214j -0.00154705-0.0511033j 0.002596-0.113214j 0.0011166+0.0148581j -0.00359482+0.0493932j -0.00152595-0.065716j 0.000111953-0.00817568j -0.000856413+0.0138459j 
