-0.0225281-0.00540259j -0.00415435+0.00445498j -0.0203904+0.00125789j -0.0146537-0.00483358j 0.00835396+0.00232171j 0.0241233+0.00310865j 0.0251827-0.00149512j 0.0183216-0.00351332j 0.00256151-0.000477921j 0.0106848-0.00280755j -0.00583429+0.000921756j 0.0206483+0.000759663j -0.00401692+0.00410027j 0.00627946+0.00314191j 0.00392927-0.000673264j -0.0103437-0.000493651j 0.0134301-0.000973373j 0.00770199-0.00074138j -0.0242545-0.00229461j -0.00258617+0.00209755j 0.00992404-0.00138594j 0.0121779-0.00181954j -0.00487546+0.000246533j -0.0169636+0.00111769j 0.00814384-3.83331e-05j -0.00337044+0.00250183j -0.0108203+0.000218823j 0.0263883-0.000925088j -0.0187486+0.00053577j 0.00558355-0.000989524j -0.00104826-0.00183271j -0.00173348+0.000420857j -0.0166162+0.00135002j 0.0220917+0.000988202j -0.0152058+0.000507722j -0.00832022+0.00157482j 0.0159097-0.00263211j -0.00331192+0.000240665j -0.00336444+0.000365617j -0.0174004+0.00176628j -0.00401237+0.00311574j 0.00180594+0.00153121j -0.00422302-0.00120436j -0.000227064+0.00225263j 0.0363219-0.00040428j -0.0126344+0.00679437j -0.0160255-0.000282301j -0.0162791+1.16752e-06j 0.00818747-0.000502149j 0.020574-0.0107287j 0.0511022-0.000670317j -0.0332537+0.00897372j -0.0331981-0.00976375j 0.0385347-0.0005971j 0.350974+0.0271297j 0.797514-0.0143095j 
-0.00414592+0.00445467j 0.0226052+0.00541891j 0.0148645+0.00478342j -0.0216895+0.00119862j 0.0160837-0.000371072j 0.0127041-0.0036148j -0.00836639-0.00450317j -0.0230045-0.00267464j -0.00488364-0.00013719j -0.0234086-0.000640925j 0.00352857-0.000344868j 0.0058014-0.0029893j 0.027431+7.92592e-05j 0.0242322-0.00158167j 0.000812456-1.00417e-06j -0.00540642+0.00180431j -0.00478257-0.00187082j 0.00149926-0.000810398j -0.0239992+0.00366432j 0.0192498-0.000719238j -0.00860988-0.000982719j -0.00885477-0.001209j -0.00433059+0.00102745j 0.00989204+0.00149955j 0.00984561-0.00216027j 0.0186155-0.000634773j 0.000890943+0.00062992j 0.00312941-0.00317885j -0.000438133+0.00180029j -0.00559745-0.000530698j -0.0153156+0.00133109j 0.00499078+0.00126428j -0.00142102+0.00199893j 0.022548-0.00268863j -0.00290603+0.00213809j 0.00651291-2.64445e-05j -0.0238957-0.000454075j -0.00253836-0.000268968j -0.00448854+0.000248862j 0.00282551+0.00218769j 0.009913-0.000586455j 0.0119551-0.00108868j -0.0113193+0.00187186j 0.0124898-0.000173862j 0.00531683-0.00552066j 0.0442364-0.000250093j -0.00011372+0.00144299j -0.0114476+0.00260443j -0.00281831-0.00137509j -0.0454175+0.000433525j 0.034699-0.0139574j 0.0216276-0.00103937j 0.0424784-0.00187585j 0.0383183+0.0102098j -0.797386+0.0142219j 0.350675+0.0270581j 
-0.0171069+0.00393074j 0.0193969+0.00592431j -0.0110493+0.000476071j -0.0148241+0.0020084j 0.00780069+0.0019032j 0.0492503+0.00052737j 0.0143428-0.00428903j 0.0185667+0.00213824j -0.0054335-0.000780647j 0.017508+0.000103616j -0.0375173-0.00346234j 0.0449085-0.00189641j -0.00500547-0.000182474j -0.00991446-0.00180146j 0.0143993+0.000479613j 0.000977734+0.00093469j 0.00105185-0.00269379j 0.000530455+0.000665953j -0.0071887+0.00115211j -0.0405009+0.00168371j 0.0154187-0.00130649j -0.0216653+0.00149963j -0.0130217+0.00106487j -0.00653492+0.0012604j -0.0269021+0.00100666j 0.0121588-0.000945553j -0.000961961-0.000967381j -0.00157959+0.00123932j -0.0131112-0.000296971j -0.000242418+0.00089988j -0.0122329+0.00219577j -0.00207046+0.00116726j 0.00413287-0.00144527j 0.0252269+0.00456329j -0.0180326+0.0010762j 0.00401014-0.00483623j 0.0296807+0.00188908j -0.0093817-0.00487764j 0.0184146-0.00173931j -0.000852048-0.00325868j 0.00917689-0.00397217j -0.021401-0.00297637j -0.009024+0.00696502j 0.00748743+0.000997442j 0.0652535-0.00866799j -0.0307999-0.000462769j -0.0390024-0.000929954j 0.0501492-0.0016982j 0.0147078+0.0189461j -0.0029511-0.000388866j 0.0347276+3.86887e-05j -0.0857646-0.00439627j -0.224495-0.0238714j 0.707324-0.0160125j -0.0240491-0.00135949j -0.0755042+0.002684j 
-0.020904-0.00593776j -0.0171762+0.00448293j -0.0166991+0.00256734j 0.0146486+0.000143996j -0.0387436-0.00197529j -0.0132229+0.00422545j 0.0281951-0.00110002j -0.00383688-0.00140003j 0.0176219-0.000707059j 0.0231372+0.00132144j 0.0115993-0.00363533j 0.0144127+0.00288916j -0.031441+0.0016923j -0.0127129-0.00241915j -0.0011217+0.000568807j 0.00434617+0.00167449j 0.0258219-0.00150935j -0.00615109-0.00199235j 0.0269048+0.00149295j -0.0399415-0.00226932j 0.0245613-0.000751554j 0.000214966-0.00369911j 0.00636005+0.000886122j -0.0133506+0.00119836j -0.0116143-0.00218875j -0.00721951+0.00252048j 0.00406675+0.000695825j -0.0144437-0.00136471j 0.00145835-0.00099411j -0.0105062-0.000244903j -0.00119027-0.000320963j -0.00226058-0.000573268j 0.00721096+0.00174991j -0.0543542+0.00290771j -0.0130595+0.000598417j 0.0377404-0.00092228j 0.0144902+0.0023853j 0.0421977-0.00187524j 0.0127176+0.00250322j 0.0199681+0.00190269j 0.00959594+0.00154628j 0.0340145-0.00563595j -0.0257223+0.00175304j -0.0329664-0.000122059j 0.00517927-0.002403j -0.0308818+0.00532963j 0.0472259-0.0111242j 0.0341722-0.00106219j 0.0793102-0.00379202j 0.0826533+0.0117018j -0.0559892-0.0034442j 0.073295+0.0201154j -0.686375+0.0125272j -0.204185-0.0190669j -0.0777517+0.00253391j 0.0302825+0.0014803j 
0.0107701-0.00286598j -0.0128631-0.00179916j 0.0304212+0.00148897j 0.0178587+0.00409982j -0.0169845-0.00535659j -0.0463144+0.00381578j -0.0118005+0.000451577j -0.0364811+0.00120613j -0.00971425-0.00190929j -0.0581212-8.22208e-06j 0.0262248-0.00272091j -0.00750234+0.00538231j 0.0118091-0.000940158j 0.00892927-0.00134879j 0.0109197-0.0014264j -0.00051224+0.000255737j 0.0073151-0.00225152j 0.0121271-0.00100417j 0.00891737+0.0026283j 0.0420806+0.000961912j 0.00512568+0.000872461j 0.0156294-0.00238909j -0.00416538-0.00211647j 0.0301627+0.00413841j 0.0334931+0.00247208j 0.0106719+0.00370874j 0.000187793+0.00139839j -0.00696782+0.00353873j 0.00859571-0.00244381j -0.0289046+0.00175738j -0.00578083-0.0024992j 0.0589012-0.00212256j -0.00814866-0.00195705j 0.00632625+0.00592663j 0.00979513-0.00352766j -0.0177681-0.00313525j -0.0576454+0.00777316j -0.0274255-0.00379786j -0.0413098+0.00560604j -0.0356666+0.00696608j -0.0270758-0.00278806j 0.0301875-0.0123461j 0.0362752-0.00429139j -0.0173499-0.0010434j -0.0461395-0.00639346j 0.0672016+0.0036642j -0.036328+0.000156563j -0.0274804-0.00340935j -0.124084-0.00864479j -0.138677-0.00356665j -0.0349781+0.0225186j 0.49833-0.0072536j -0.142595-0.00259789j 0.151489-0.0101953j 0.0555779+0.000399037j 0.0162658-0.0017325j 
-0.000680744-0.00370317j -0.0149952-0.000352443j -0.0176486-0.00393157j 0.0314062-0.00151445j -0.0262864+0.00374695j 0.000219046+0.00340217j -0.0166599-0.00166855j 0.0232565+0.00124871j -0.0043119+0.00118538j 0.0096538+0.00350274j 0.00526626+0.0021411j -0.00305073-0.00564377j -0.0336827+0.00365519j -0.0277503-0.000112286j -0.0257873-0.00401552j 0.00894203-0.00217625j -0.029238-0.00234846j -0.0175768-0.00339932j 0.0600257-0.00326505j -0.0132843+0.00230269j 0.00967876-0.00693494j -0.0203225-0.00391554j -0.0225758+0.00264112j 0.0399768-0.00189933j 0.0111243+0.00281399j 0.009684+0.00108297j 0.0367551+0.00260872j -0.0140988+0.000533823j 0.0231699+0.00300117j 0.0150443+0.00446389j -0.00391663+0.000517013j -0.0287643-0.00830917j 0.00388277-0.00379583j -0.0288182+0.00409103j -0.00988546+0.000685511j 0.0181625-0.000366877j -0.0200454-0.00198208j -0.00682973+0.0050115j 0.0134253+0.00216997j 0.0445815-0.00574916j -0.075107+0.00552222j -0.0371217-0.00496557j -0.0300057+0.00719232j -0.0348035+0.00489706j -0.0755559-0.0145654j -0.0438831+0.00278454j 0.0700427+0.00145171j 0.044738-0.0142083j 0.0149704+0.00388457j 0.0267235-0.0221228j -0.502609+0.00632562j 0.0104235+0.00217106j 0.113283-0.00289577j 0.154804+0.000647188j -0.00128037+0.00146731j 0.0836722+0.000770324j 
-0.00824832-0.00508115j -0.0193389+0.0036945j -0.00826275+0.00285506j 0.00302737-0.00204583j 0.0165256+0.000852078j -0.02612-0.000971131j -0.00826554-0.000727732j 0.0301781-0.00310052j -0.00549089+0.00109345j -0.011156+0.00199945j 0.0355388-0.00142742j -0.0250826-0.00189572j -0.00409378+0.00418631j -0.0167335-0.00169699j -0.0199539+0.00176066j -0.0330862-0.000433004j -0.0088285+0.00202719j -0.0155459-0.00128967j -0.00242345-0.00207709j 0.0344092-0.00185673j -0.0255016-0.00131283j 0.00103099+0.00138197j -0.0180301+0.00353282j -0.00263789-0.00429312j 0.0319758-0.00508533j -0.020114-0.000905899j 0.0200412-0.00339882j 0.0225038-0.0041564j 0.0284457+0.000516542j 0.0283264-0.00164454j -0.00293564+0.00209935j -0.0344516+0.00362801j -0.0333205+0.00222623j -0.00370087+0.00115293j 0.0073216+0.0044646j -0.0410631-0.00562878j -0.00889458+0.00564933j -0.00463433+0.00128079j -0.00304982-3.72238e-06j -0.038638+0.00114556j -0.0382758+0.0104944j -0.042279+0.00746774j 0.0203228+0.00824361j -0.00317885+0.00195816j -0.0488218-0.000540436j -0.0302619-0.00341785j 0.0118468+0.0105034j -0.124315-0.00138546j -0.171666-0.00215712j 0.339007-0.00607494j -0.0442024-0.0119863j -0.178681+0.00626082j -0.0614218+0.00159396j 0.0101804-0.00920039j -0.0605304-0.000893956j 0.00958432-0.000324618j 
-0.0180212+0.000540332j -0.00165605+0.00530065j -0.0113363+0.00338146j -0.00921401+0.000952709j -0.0088801-0.000730315j -0.0150937-0.00208931j 0.0291095+0.000825023j -0.00315626-0.00220703j 0.0263871+0.00120959j 0.0308574+0.000754872j 0.0283405-0.00235771j -0.0159956-0.00183487j -0.00142514+0.000998698j 0.00916009-0.00052855j -0.0190102+0.00298519j -0.0133083+0.00466604j 0.0325391+0.00302962j -0.0232728+0.000521917j -0.00789967+0.00162247j 0.00197651+0.00139192j -0.0107564+0.000317233j 0.0126589+0.00368408j 0.0324534+0.00486738j -0.0335499-0.00102024j 0.0207193-0.000755155j -0.00722482-0.000542341j -0.00307228-0.00312829j 0.0175508-0.00175367j -0.00322993-0.0024302j 0.00721995-0.00495273j 0.00366872+0.00268384j -0.0323607+0.00180461j -0.0101171+0.00176862j -0.0311493+0.00177567j 0.0055844+0.0041195j -0.0106146-0.003533j 0.0275695+0.000440182j 0.0306198-0.00243258j 0.0148574-0.00327288j -0.0653551-0.00185037j 0.0273282-0.00314933j -0.0133359+0.00267525j 0.023033-0.00019009j -0.0545602-0.0179747j 0.00662136-0.0067674j -0.0657937+0.00416609j 0.0301408+0.0110142j -0.0153596-0.0064763j 0.116768-0.0171978j 0.333874-0.00483821j 0.161344-0.000670533j 0.27286-0.0139522j 0.146861-0.0112498j 0.112766-0.00483659j -0.0358895+7.17777e-05j -0.0133463-0.000411288j 
0.011209-0.00173193j 0.0028195-0.00250475j -0.00360793+0.00431206j -0.0294262-0.00340685j 0.0349261-0.00424759j 0.00813691-0.00228674j 0.0123736+0.00393183j 0.0368825+0.00139962j 0.00317752+0.000305469j 0.0522224-0.000162282j -0.0452249+4.29637e-05j -0.0210076-0.000227364j -0.0233947+0.00149738j -0.0232878+0.00139258j 0.00586804-0.00316262j -0.00378188+0.000497293j -0.014843+0.00195058j -0.0136232-0.00331973j 0.0218288+0.00265747j -0.027723+0.00422266j -0.0430008-0.00201697j -0.0148223-0.00145178j 0.0214786-0.000224695j -0.00228703+0.00250389j -0.0227677+0.00464619j 0.00177609+0.00754324j -0.00559453-0.000294264j -0.0228454+0.00382651j 0.0295446-0.0047124j -0.00301219+0.000916084j -0.00783406-0.000330883j -0.0314299+0.00191585j -0.0322776-8.74884e-05j 0.0302464-0.0062378j -0.00219322-0.000877325j 0.00549208-0.00472516j 0.010289+0.00601856j 0.0395799-0.00334853j 0.00622339+0.00335516j 0.0369648+0.00694254j -0.0140808+0.00313989j -0.0191263-0.00332424j 0.00108227+0.00281245j 0.0296696+0.00995941j 0.0176993+0.00421353j -0.102053+0.000740148j 0.0177315+0.0193005j 0.0705583+0.00952897j -0.356625-0.00467372j 0.0021538+0.00111181j 0.0855542+0.0108198j 0.187231-0.00672585j -0.0197155+0.00742221j -0.0289806-0.00391122j -0.00605831-0.00283872j 0.0314979+0.000625052j 
-0.00938621+0.00181835j 0.00134622+0.00200103j -0.00161333-0.0015597j 0.00446395+0.00124321j 0.00869419+0.00288667j -0.0152249-0.00133455j -0.00242083+0.00307757j 0.0365242+0.000920629j -0.00254004+0.00112312j 0.0133259+0.00192736j -0.00349657-0.00330679j 0.000454595-0.00753046j -0.00506826+0.00429287j -0.0608205-0.00223476j -0.00479087+0.00138931j -0.0318172+0.00114925j -0.0140828+0.000119756j -0.0423542-0.00298887j 0.0401255-0.000911582j -0.0292714+0.00384071j -0.0101363-0.00458065j -0.0341858-0.000851144j -0.014347-0.00286518j 0.0159228+0.00198756j -0.036886+0.00283969j -0.00224052+0.00226895j 0.0347208+0.00220751j -0.0652989-0.00138555j 0.0660909+0.00108095j -0.0038578-0.00179935j -0.0285577-0.000465766j 0.000868118-0.00210446j 0.0131082-0.00571008j -0.0639684+0.00761778j 0.0225393+0.00150898j 0.0369415-0.00336643j -0.052377-0.0117509j 0.064043-0.00489919j 0.026353-0.00687904j 0.0607738-0.00379411j 0.0312772-0.0123391j 0.0124147-0.00338685j -0.0301808-0.000542946j -0.015954-0.00280135j -0.088281+0.0130916j 0.0660689+0.00776056j 0.139354-0.00671979j 0.0873706+0.00205854j 0.0739738+0.000186264j -0.0329722+0.0136245j 0.246197-0.00941449j -0.0945719-0.00514655j 0.00409787-0.00192744j 0.107516+0.00434253j 0.0558309+0.000990543j 0.016157+0.00449774j 
0.00308071-0.000363261j 0.00389334-0.00171341j 0.0077754+0.00112262j -0.00456598+0.00201784j -0.0132899-0.00434324j -0.00885268-0.000380591j -0.0235817-0.00207937j -0.0429149+0.00230444j 0.00809104+4.58361e-05j 0.00981935+0.00128694j 0.0209555-0.00312876j 0.00888338+0.00590733j 0.020406+0.0026133j 0.0264151-0.00295255j -0.0041679-0.00231675j -0.00501068-0.00399295j -0.00352233+0.000903458j 0.0108752-0.000106957j -0.0424484+0.00123652j -0.034976-0.00613877j -0.0292562+0.00245179j -0.0562421-0.000396668j -0.00625881-0.00295591j 0.00426503+0.00510536j 0.0102091+0.0029558j -0.00426039+0.00349582j 0.0302549+0.00117696j 0.0348601+0.000332426j -0.00786105-0.00140206j 0.0412448+0.00346031j -0.0167419-0.004003j 0.00733807+0.00213756j 0.0120556+0.000408493j 0.0277+0.00609098j 0.00487973-0.0053175j 0.0281835+0.000665333j -0.0456472+0.00151324j 0.0214183-0.00553884j 0.0236979+0.00557316j -0.00810677+0.0012555j 0.0397742-0.00714415j -0.0181689+7.17034e-05j -0.0891497+0.00522383j 0.063011-0.00162582j 0.0639525+0.00690951j 0.20307-0.00406161j 0.152327-0.000341437j -0.0391746-0.00769742j 0.00097066-0.00588427j 0.117972-0.00734137j -0.0751551-0.00162753j 0.0592633-0.00158086j -0.110391-0.00361838j -0.0127186+0.00289012j 0.060961+0.0071337j -0.0529493+0.00111753j 
