0.0840437-0.0502772j 0.0210897-0.017661j -0.0320204+0.0735871j -0.0223485+0.108496j 0.0544598-0.0486002j -0.0145391-0.0150506j 0.00653719+0.0363095j 0.015552-0.11224j 0.0212105+0.0445403j 0.00862094+0.0602578j -0.03057+0.051278j 0.00254258-0.0897405j -0.00275793+0.0434685j 0.027872-0.0235758j 0.00909053-0.0233887j -0.000200312-0.0325647j 0.00854931-0.0242929j 0.0229195-0.0290964j -0.0529243+0.0616892j -0.00908906-0.0025109j -0.00367428+0.019693j 0.00548236-0.0162564j -0.00126927-0.00564481j -0.0324969+0.0576968j 0.0247918-0.0159571j -0.0940628+0.0471662j 0.0335707-0.0014774j 0.005234-0.0461393j -0.0115903-0.0162192j 0.0184161-0.0185876j 0.0179308+0.00740275j 0.0680162-0.0589658j -0.044964+0.0115409j 0.0672729-0.015884j 0.0157457-0.0280699j 0.0309151-0.0340571j -0.124214+0.0758108j -0.0241077+0.0061543j -0.031906-0.00117006j -0.131562+0.150849j -0.0426345-0.181192j -0.00668178-0.00203718j -0.217563-0.0429516j 0.110625-0.206914j -0.0209868-0.0265999j -0.0815521+0.0175071j -0.138606+0.0691466j 0.0824339+0.0852514j 0.0594072-0.0983392j 0.0120171-0.0418555j 0.0991395+0.0646317j 0.047665-0.0508807j -0.0836766-0.0199381j -0.00925319+0.0606427j 0.00680127-0.0572902j -0.045796-0.0197975j 0.010074+0.00547018j -0.00473472+0.0199805j 0.0250271-0.0236821j 0.00481827-0.0233963j -0.00235266+0.006757j 0.0178055-0.00162556j -0.0457682-0.0135845j -0.00557317-0.0255877j 0.00382622-0.0050888j -0.00991185-0.0308977j 0.0129608+0.0116726j -0.0184464-0.0296281j -0.00941821+0.0138683j -0.0269208-0.0233974j -0.000874595+0.0143168j -0.0331741-0.00993916j 0.0231559+0.0059323j -0.00512731+0.00962524j 0.0220017+0.0265672j 0.0221985-0.0172743j -0.0173828-0.00377029j -0.0450834+0.00527615j 0.0247645+0.000114654j -0.00294361-0.0326829j -0.0163729+0.00707209j -0.00158902+0.00631011j -0.00891789+0.00179169j 0.0112355-0.0215306j -0.00739994+0.00381678j -0.0153203+0.0286399j 0.000100318-0.00109984j 0.01189-0.0132618j 0.00681726+0.0031577j -0.0536341-0.00481705j -0.0664507+0.0643477j -0.0524572-0.0481884j 0.0439908+0.0704692j -0.00774616+0.0273293j -0.123112+0.0783185j 0.0552984+0.0434984j -0.00101072-0.0161041j 0.0559496+0.0906831j 
0.0217592-0.0169894j -0.0847766+0.0502789j 0.0237978-0.100924j -0.0310743+0.0665884j 0.0136916+0.0989373j 0.0457511-0.0674783j -0.0157534+0.140539j 0.00343533+0.00278204j -0.0416924+0.0532712j -0.032649+0.03615j -0.0283227+0.0512949j -0.0193533+0.0532268j -0.0492224-0.0168027j -0.00525272-0.0252649j 0.00565798-0.0727088j -0.0271499-0.0172003j -0.00936313-0.0284447j -0.0451158+0.026495j -0.0278088+0.024717j 0.0217786+0.0458451j 0.00510679-0.0187729j -0.0427097+0.0349383j -0.00325393+0.0303233j -0.00649737-0.00794256j 0.0610135-0.0485492j 0.00917778+0.0102456j 0.0130823-0.0198861j -0.0131021+0.00978182j 0.0292047+0.00720392j -0.00985892-0.0125884j -0.0354104+0.0388278j 0.0210803-0.032957j -0.0531254+0.0400076j 0.00659167-0.0226988j -0.0676995+0.055003j -0.040163+0.0336551j 0.0158969+0.0706907j 0.00295861+0.00397276j -0.0243363+0.0476655j 0.165384+0.0195377j -0.139337+0.0573503j -0.0660732-0.0607969j -0.161467+0.291566j -0.133147-0.043675j -0.0629247+0.00971128j 0.0152438+0.0292424j 0.102622+0.0688043j 0.164209-0.0779503j 0.0013835-0.00103762j -0.0776306-0.111941j 0.0182664-0.0126008j -0.0325647-0.0281113j 0.039205+0.0243834j 0.0661957-0.0470998j -0.010723-0.0493479j 0.0528705+0.0532486j -0.0104146-0.0305099j 0.0327257+0.0154444j -0.0236713-0.0275816j -0.0144214-0.00841662j 0.0179367+0.0504129j 0.0337628-0.00650573j -0.0467369+0.0415925j 0.00706667+0.0146852j -0.0125382-0.0268818j -0.0144556-0.00445649j 0.023857-0.00979811j -0.0167265+0.0272653j 0.0347255-0.0137842j -0.0241488+0.0138291j 0.0128561+0.0143879j 0.000434255+0.0140806j 0.00435733-0.0248543j 0.0201249+0.00588056j 0.0115509-0.0179183j -9.02176e-05-0.00427782j -0.00694137-0.0246284j -0.00508489+0.0246446j -0.0223433+0.00103563j 0.000735104-0.0018347j -0.0137594+0.0177759j 0.0170332+0.00931306j 0.00234808+0.0175843j -0.0295776-0.00743586j -0.0049462+0.0124252j 0.0201291-0.00629167j -0.0316918+0.0384645j 0.0327692+0.00420689j 0.0260253-0.017738j -0.0297002+0.026874j 0.0472153+0.0448152j -0.021459+0.0877467j 0.0463076+0.0119984j 0.0829515+0.00684275j 0.054034+0.0518181j 0.110085-0.0790957j -0.0552955-0.0916592j -0.00153263-0.0170385j 
0.076712+0.0144752j -0.058312-0.00868981j 0.00503357-0.00879599j -0.0339828+0.00660907j 0.0738088-0.129904j 0.0516718-0.0273666j -0.053461-0.0727702j 0.0460381-0.00827184j 0.0240162-0.127339j -0.0406818-0.0293043j -0.0702924-0.00693763j 0.0327721-0.00448791j 0.00679984-0.033282j 0.0434805-0.00404169j -0.0164411-0.0156252j -0.0187808-0.03847j 0.0217697-0.0182067j 0.0229651-0.0357038j -0.025204+0.0134477j -0.0568506+0.0158383j -0.00449174+0.00383361j -0.0426037-0.0556549j 0.0297467+0.0178829j 0.00991545+0.00791634j 0.0503518+0.0284377j 0.0336182+0.0580595j -0.050431-0.00657564j 0.074203-0.020406j 0.0803105+0.040799j -0.00213967-0.0584867j -0.0598652-0.038982j 0.0861515+0.0181982j -0.0628724-0.0226897j 0.0943979-0.0866415j -0.0115-0.017406j 0.0387421+0.0106996j -0.203656+0.0857803j -0.0121501+0.0728617j -0.0853327+0.0314525j 0.0989365+0.237461j 0.087541-0.0159671j -0.0214439+0.0600764j 0.0905126-0.0636469j 0.0373766+0.147981j 0.00426327-0.0712652j -0.0269878+0.0442577j 0.0547516+0.0721247j 0.0576398-0.0542384j -0.0228112-0.000635967j -0.0203901-0.0384504j -0.0663011-0.093909j 0.0273641-0.0294358j 0.0757894+0.0879302j 0.0153655+0.0260728j 0.0078614+0.00900424j 0.018927+0.0785455j -0.0551656-0.00229153j -0.0198468+0.00458146j 0.00818776-0.0303664j -0.0124439+0.00161538j 0.00997872-0.00874827j -0.0361524+0.00747594j 0.00886754+0.0217693j 0.00935425+0.0238177j 0.000116247+0.003025j 0.0123606+0.0124577j -0.0176927+0.00578518j -0.0048486+0.0211134j -0.0224155+0.042157j 0.0327923+0.00960446j -0.00713372+0.00872767j 0.0635781+0.0170992j -0.0203902-0.00467708j 0.0209096-0.0015778j -0.0174871-0.0179206j 0.0144756-0.00157521j -0.00986612+0.0101907j -0.0100689+0.0241709j -0.00922059-0.0334097j 0.00236748+0.0418463j -0.00533296-0.00467016j -0.0230805+0.0424183j 0.0105844-0.024013j -0.00674124-0.00252146j 0.010833-0.0168221j 0.0268895+0.0393063j -0.0287843+0.00216281j -0.018173+0.0328242j -0.00726599-0.0362531j 0.0206931-0.0272226j -0.0808015+0.0202767j 0.0392261+0.0138393j -0.00514209-0.0704317j 0.0496653+0.064686j 0.0439733+0.00891409j -0.0300655-0.0107228j 0.0346628-0.0439379j -0.0337453-0.0582789j 
-0.0548147-0.01206j -0.0779995-0.0174889j 0.0222241-0.0134174j -0.00743472-0.0347215j -0.0264409+0.0364362j 0.0822449-0.0444432j 0.00602378+0.0356542j -0.0440073+0.0446299j 0.00228822+0.19985j -0.00212448+0.0653425j 0.0209996+0.0759568j -0.1086+0.042686j 0.0188904+0.138448j -0.0107761-0.0344699j 0.0847358-0.0513963j 0.00315134+0.00416935j 0.0181322+0.0178706j -0.0820079+0.00568986j -0.0213122+0.092736j 0.00141163-0.0106194j 0.00115133+0.0200997j -0.0551303+0.0181703j -0.0483697+0.0342116j -0.0229289+0.0716581j 0.0953363-0.0980462j 0.0251403+0.057121j 0.0596343-0.0197647j -0.0527797+0.00350821j 0.0089433-0.0578639j -0.00819574+0.0239493j -0.12242+0.0491787j 0.0331648-0.110939j -0.0392528+0.0620301j 0.0404089-0.186985j -0.0353009-0.030723j 0.0125958-0.0462827j -0.00242374+0.183562j 0.119193+0.0342662j 0.0971966+0.0550185j 0.168391-0.0350214j 0.022669+0.00661433j 0.153266+0.0661457j -0.00331396-0.0607245j 0.180789-0.0932092j 0.0268036+0.0410803j -0.040419+0.100417j 0.0275624-0.0128001j -0.0686904-0.101218j -0.045496+0.00580196j 0.0468259+0.133297j 0.00239286-0.0530527j 0.00385461-0.0023282j 0.0245793-0.017343j -0.000580341-0.00423408j -0.0223546+0.0419359j -0.0338128-0.024124j -0.00549934+0.0494683j -0.0272611-0.0132515j -0.00966208+0.0150409j -0.0148762+0.00600637j -0.0346586-0.0378977j -0.0219975+0.0142903j 0.0386455+0.00706066j 0.000568579-0.00718439j -0.00275206+0.0149461j 0.00861882+0.0145407j -0.0206133-0.00895083j -0.000334146+0.00249437j 0.0142921-0.00433427j 0.0147982+0.00365255j -0.00495923-0.0143465j 0.0283499-0.0237939j -0.00463298+0.0100357j -0.00570599-0.0195835j 0.00915256-0.00680824j -0.010806-0.0110483j 0.0106568+0.0246865j 0.00943344+0.0198436j -0.0123496+0.00660214j 0.0198214-0.000729578j 0.00558612+0.00535692j 0.0332312-0.0305499j -0.0464627-0.00150586j 0.0181874+0.0110216j -0.0252441+0.00877304j 0.0555112-0.0455851j -0.00240591+0.00895247j -0.00767081-0.00206032j -0.0609831+0.0103786j -0.0494434+0.0361675j -0.0265288+0.0643435j -0.0381085-0.03027j -0.0579407-0.0598693j 0.0276993-0.0748218j -0.0138414-0.00318307j -0.049683+0.0154686j 0.0302704+0.0590106j 0.0359063-0.0407653j 
-0.0254762-0.035946j -0.0270251-0.0126713j -0.0419314+0.0372678j -0.0494609-0.000760963j -0.0210966-0.0507017j 0.0688735+0.00467759j 0.041728-0.085774j -0.00283262-0.0101052j -0.0589921+0.00302709j -0.0307542-0.0506974j -0.0199546+0.0164625j -0.0301707-0.0302387j -0.0222385-0.00378843j 0.00721942-0.0148063j 0.0208281+0.0856572j 0.0125699+0.019533j -0.0147908+0.0391954j -0.00587407-0.0511765j -0.0420577-0.0669977j 0.0350355+0.0119785j -0.00249895-0.00938751j -0.000624752+0.0178643j -0.0217931-0.0399204j -0.00109429-0.0594656j 0.0369619+0.03278j -0.00629891-0.0334205j 0.0455523+0.0321937j -0.0817384+0.000544233j -0.0163703-0.037306j -0.0471666+0.0528765j -0.032207+0.00509838j 0.0581976-0.0359631j -0.0580866+0.0350607j -0.0483895-0.0187796j -0.08525-0.0221704j -0.067426-0.0492932j 0.137587+0.0193341j 0.0235597-0.00214312j 0.0269952-0.051996j -0.0598766-0.0948268j -0.0813415+0.0217152j -0.0589893+0.0172024j -0.129707-0.00199529j -0.138162-0.0861303j -0.0558104-0.00323898j 0.0852196+0.0526651j 0.0969436-0.0506551j 0.0669473-0.0298864j 0.053025+0.0029494j -0.020415+0.0608296j 0.0171101+0.00433781j -0.0391538-0.0229612j 0.019702-0.0348176j 0.0384024+0.00475156j 0.0178052+0.0142195j 0.0463818-0.018297j 0.0218461+0.0564675j 0.0260934+0.0158552j -0.0207994+0.00541826j 0.00440737+0.00434483j -0.000665327-0.0352381j 0.0584818+0.0163372j -0.0280578-0.0113461j 0.0230738-0.0189408j -0.0269012+0.0278472j -0.00706278+0.00561743j -0.00167011+0.0241502j 0.00510513-0.00172094j 0.00947022+0.03752j -0.0133077-0.0181719j 0.0033333-0.00925808j -0.0156469-0.0316206j 0.00736274+0.00896693j -0.00582209-0.00806393j 0.0101937+0.00980345j -0.0123566-0.0177698j 0.0130558+0.0219299j 0.0189212+0.0171089j -0.00431055-0.0178753j -0.0187759+0.00621719j 0.0214965-0.00570586j -0.00762249+0.0307522j 0.0148937-0.0218337j 0.000136218+0.00492004j 0.0183256-0.0326421j -0.00791646+0.00165362j -0.0179881-0.0409094j 0.0316736+0.0018008j 0.0439902+0.0359842j -0.0269744-0.0199815j 0.0862061-0.00629731j -0.0067753-0.0173665j 0.0143956+0.00542781j -0.0327368-0.0189926j 0.0313624-0.0305286j 0.0585395+0.0360115j -0.0309474+0.0190264j 0.00902377+0.00454159j 
0.0354763+0.0152337j 0.0209095-0.001477j -0.0396843+0.0193334j 0.0524439+0.00735558j 0.0721788-0.152042j 0.0598495-0.0598376j -0.00444435-0.153831j -0.0423694+0.0182833j 0.0190607-0.00850893j -0.00870895-0.115039j -0.00233748+0.00709942j -0.0132059+0.0389154j 0.00598267-0.102155j 0.0251797-0.0161912j -0.0378396+0.0678273j 0.00619654-0.0888299j -0.00572256+0.0212243j 0.0608357-0.0817608j 0.00862509-0.105075j -0.0314395+0.00768458j -0.00391008-0.073219j 0.027668-0.0471947j 0.0199942+0.00530065j 0.126506-0.180883j -0.0405271+0.123567j 0.0630297-0.0237324j -0.0860367+0.0779924j 0.0503551-0.00220969j -0.01801+0.0894623j -0.0327193-0.0214885j -0.0173689-0.116782j 0.0742847+0.148j 0.038207-0.120585j -0.00233347+0.0494877j -0.00576649-0.029318j -0.00340179+0.0675016j -0.0515897-0.0903264j 0.0693505+0.0425555j -0.0019241-0.0312243j 0.0478765-0.0800254j -0.0701402+0.136636j 0.0157956-0.0910223j -0.162275+0.0237073j 0.0496497-0.0409542j -0.089113-0.0739321j -0.0254307+0.0595962j 0.00528251+0.0149719j 0.13947+0.00926264j 0.0419355+0.121119j -0.067949-0.0590455j 0.00984644+0.102224j 0.0173035+0.0419929j 0.0514898-0.0133089j 0.0167002-0.0554186j -0.0216066-0.0281597j 0.0594138+0.0334439j -0.0178129-0.0275026j 0.0155931+0.01315j -0.000908624-0.000312559j 0.00138135-0.0196712j 0.00981433+0.0276201j 0.0137838+0.0534366j -0.0168191+0.00120183j 0.016807+0.0100225j -0.0138511-0.035801j 0.00730181+0.00947588j 0.0128837-0.00724954j -0.000356223+0.0059566j 0.0147264-0.00269208j -0.0205465-0.0111077j 0.00779888-8.84008e-06j 0.0113898-0.00418485j -0.00536006-0.00990878j 0.0138926+0.0105626j 0.0133351-0.00859495j 0.0127827-0.00404083j -0.0191405-0.0280949j -0.0254107+0.0102746j 0.00211242+0.0162195j 0.0225305+0.00423674j -0.0041491+0.0110329j -0.00988397-0.0126812j -0.0225989-0.0252575j -0.000321453+0.00632768j 0.0331944+0.00491015j 0.0160509-0.0189709j 0.00868491-0.0209586j 0.0149938+0.0246135j 0.00114537+0.0261437j -0.0365517-0.0527103j -0.0138284+0.00576286j -0.0408539+0.0391046j -0.0100764+0.000285938j 0.0426055-0.0357713j -0.0246484-0.0401728j 0.0486865+0.00131642j -0.00340794-0.0231466j 0.0183255+0.00461819j 
0.0515517+0.0280707j -0.00519668+0.014808j 0.00147538+0.00709366j -0.0467796+0.0436897j -0.0971122-0.047069j -0.0861758-0.0467827j 0.0630739-0.123046j -0.0275877-0.0312984j -0.0192125-0.070827j 0.140078-0.00640488j 0.0416266+0.0734773j -0.0659187-0.0619421j 0.0800281-0.0413421j 0.00754938+0.00546758j 0.0219461+0.160072j 0.0329321+0.0433021j -0.0567211+0.0291874j -0.0220226-0.0296132j 0.0422935-0.0342877j -0.0233858+0.0234356j -0.0124255+0.0364404j -0.0164148+0.00458438j 0.00575414-0.114245j -0.00591726-0.034269j 0.0386016+0.0679205j 0.0549323+0.00987437j -0.0568432-0.0097348j -0.0131339-0.00150242j 0.0324754-0.0373893j -0.0483418-0.00540063j -0.0245758-0.136935j 0.0270044+0.0641652j -0.0599311+0.0275886j 0.00666641-0.0631652j -0.0141457-0.0614372j 0.00705903-0.0911137j -0.0191467-0.0328305j -0.0359951+0.0992761j 0.0246582-0.0351853j 0.113407+0.106539j 0.00234945+0.0493559j -0.0175168+0.119641j 0.0666143-0.0521607j -0.154078+0.135436j 0.0848176+0.0157678j 0.114956+0.0738283j 0.13159+0.0336786j -0.0336066+0.0712253j -0.0415274+0.150157j 0.0827098+0.0072239j -0.100644-0.0860525j -0.0124394+0.00448123j 0.0293432+0.103013j 0.0423342-0.01531j 0.0314351+0.0479624j -0.00424143+0.0897855j 0.0092253+0.00555335j -0.0245826+0.030793j -0.00360431+0.00849698j -0.00540973+0.0222981j -0.0251728+0.00360761j -0.0228157+0.0205485j 0.0129039-0.0164269j 0.0173482+0.038364j 0.0193827-0.00563951j -0.0046009+0.021032j -0.0203998+0.00433677j 0.0081697+0.0290541j 0.00254577+0.0147895j 0.0274678+0.0081631j -0.0120982-0.0161057j 0.0255258+0.0112733j -0.00189496-0.0260515j -0.0130031-0.00500138j -0.00302752-0.00961656j 0.00584402+0.00663361j 0.00754847-0.00640369j 0.0237139+0.00665959j -0.0298271-0.0324204j -0.0082256+0.00738442j 0.0127914+0.00247157j -0.00462902+0.0235637j -0.00506577+0.0184985j 0.032889+0.0201436j 0.00609256-0.00386001j 0.010389+0.00571886j -0.0302041-0.000408056j 0.00148576+0.0110975j 0.00494999+0.0176404j 0.0136886+0.014927j 0.0176741-0.0168379j -0.00919917+0.0083776j -0.000658535-0.0235035j -0.00159446+0.0182737j 0.0443243+0.000637753j 0.0140614+0.0130871j 0.00470429-0.0216638j -0.012537-0.031698j 
0.0209924+0.0431698j -0.0441822-0.0456102j 0.0206564-0.0478538j 0.0611349+0.0215519j 0.0759977-0.0397478j 0.0370164-0.0582069j -0.0354745-0.0384591j 0.00276422-0.0189499j 0.0503939-0.034886j -0.040194+0.0971724j -0.0736777+0.0128576j 0.0312408-0.0917655j -0.0229105+0.0431492j 0.0344027+0.0205967j -0.0152053+0.104298j 0.0188317+0.0249918j 0.0730071-0.0120561j 0.097301-0.0209532j -0.0971151-0.0664676j 0.057106-0.0267317j -0.0520937+0.0126921j 0.0622809+0.00529205j 0.0989613-0.0340369j -0.000368772-0.0369337j -0.0669126+0.0312012j -0.112875-0.0356441j 0.0638491+0.0381367j 0.0246971-0.0180465j -0.0154065-0.0502338j 0.0150256+0.0265621j 0.0475773-0.00345928j 0.0906875-0.00152405j -0.0668599-0.0794696j 0.0476814-0.0910303j 0.0499927-0.0996413j 0.127157-0.0313795j 0.0178416+0.0696207j 0.0631148+0.0751894j 0.0619117+0.067403j -0.0445605-0.0711541j 0.0263774-0.0349146j 0.0855982-0.0167494j 0.146086-0.106666j 0.0160847-0.0282848j 0.0417554+0.083121j -0.0865418+0.0539084j -0.0535775+0.0300196j -0.0112971-0.0158405j -0.0556466+0.0257681j -0.0310423+0.123008j 0.103191-0.0337077j 0.00188444+0.00673442j -0.053885-0.023954j 0.0184214+0.0286238j -0.0441465+0.055546j -0.0391847-0.0207293j -0.00612196+0.0429846j -0.014457-0.0275389j -0.010049-0.00428865j -0.013461-0.0104606j 0.00449863-0.0459588j -0.0159895+0.0221137j -0.00249769-0.0192474j 0.00993148+0.0159163j -0.0425606+0.0205147j -0.00308237+0.00267832j -0.0211948-0.0129768j -0.0137225-0.00106509j -0.00919576-0.0128849j -0.000692749+0.0139024j 0.000623639-0.00868107j 0.0199676-0.00888347j 0.0057406+0.0187381j 0.0162821-0.0284338j 0.024892+0.00225146j -0.0046608-0.00155534j -0.00115102+0.0207295j -0.0343541+0.0256487j 0.0150195+0.000339246j -0.0141-0.0119056j 0.00895109+0.0117967j -0.00879941-0.0127988j 0.0160029+0.010063j 0.0286537+0.00935379j 0.00629091-0.000600061j -0.016829+0.00976688j 0.00751199-0.0430054j -0.00554676+0.0230302j -0.0145294+0.0119647j -0.0340342-0.0390881j 0.016948-0.00235073j -0.0164034-0.00869035j 0.0218567-0.0295482j -0.00943738-0.0452324j 0.0147952-0.04375j 0.0181308+0.0156249j -0.00287103+0.0234818j 0.0329054-0.0122631j 
0.00515857-0.00146683j -0.00839127+0.00515207j 0.0289112+0.0380584j -0.0117915+0.0189614j -0.0310405-0.0750105j -0.0738052+0.00903903j 0.00710297-0.0929178j 0.0177041-0.0292764j 0.0084274-0.14198j 0.0333076-0.0241048j 0.0109766-0.0326913j -0.00452956-0.0180087j 0.00138158-0.0434116j -0.00686792-0.0178224j 0.0241669+0.0424777j -0.0187892+0.0526845j -0.00795324-0.000926738j -0.0244178-0.0633254j -0.00201546-0.00908578j -0.00104513+0.0609031j -0.024827+0.0563975j 0.0129133-0.0648091j 0.00597379-0.0604624j -0.0789834-0.0061278j -0.0294988+0.109388j -0.0309743-0.0217427j -0.000610259+0.03252j 0.0374235-0.0157172j 0.00744646+0.0289122j 0.043421-0.00864831j 0.0307487-0.06009j -0.135872+0.144163j 0.058404-0.0713249j -0.0230574+0.0964773j 0.0814834+0.0208848j 0.0602075+0.039063j 0.0630898-0.144077j 0.00313998-0.0412644j 0.0898999+0.00215677j 0.270486-0.167137j -0.0573716+0.0642078j 0.131141+0.02299j -0.104642+0.212502j 0.207737-0.0899132j 0.00555022+0.0868267j -0.0767001+0.0477221j -0.0843592+0.048513j -0.0862118-0.00606136j -0.0421623-0.0281119j 0.0443343+0.0337146j 0.00511741-0.0849772j 0.015958-0.00544421j -0.0227535+0.043838j -0.0152887+0.00496241j -0.00635329+0.0154406j -0.0412458-0.00499956j 0.00544858-0.00909036j -0.0168791-0.012721j 0.0058458+0.00694423j -0.0109924+0.0159974j -0.0202089-0.00131534j -0.0251314-0.0487096j 0.014971+0.0266817j -0.0148529-0.00157726j 0.0266356+0.00602715j 0.00527414+0.00261367j 0.0063469-0.0198082j -0.0042151+0.00129201j 0.0232731-0.0193857j 0.00552447+0.0257478j -0.00672962-0.00762399j 0.00474998+0.02205j -0.00515268-0.00925931j -0.00525507-0.00712962j -0.00469057-0.00723701j 0.0126384-0.0184091j -0.0213306+0.044233j -0.00950178+0.0263846j -0.00521513-0.0344122j 0.0290497-0.00484695j -0.0266305+0.00204033j 0.0263136-0.0173319j -0.0391531+0.018439j 0.00607286-0.0125499j -0.0376192+0.00806459j -0.000415432+0.0206934j 0.0432552-0.0325243j -0.0244333+0.0298848j -0.0807967+0.00695225j 0.0235883+0.00251531j -0.000975374-0.0497287j -0.0557805+0.037093j -0.0425835+0.012559j 0.0504643-0.00562258j -0.0339117+0.0296066j -0.025728-0.0322922j 0.0131612+0.00509433j 0.00496467-0.0181189j 
-0.00311771-0.00737841j -0.0211259-0.0341375j 0.0206587+0.0556441j 0.0554428+0.0755414j -0.00650434-0.184216j -0.0972944-0.0449479j -0.0360065-0.228267j 0.0245015-0.0801062j -0.0143963-0.235893j 0.0229003+0.00423149j 0.0871378-0.101719j -0.0139146+0.00229704j -0.0339783-0.0673988j -0.0701443-0.0801886j -0.00286515+0.0760327j -0.0624994+0.0710592j 0.0666362-0.0604608j -0.0227414-0.125219j 0.133705-0.0391889j 0.0569926+0.0640568j 0.00689477+0.0555152j -0.0437417-0.0325591j 0.0518934-0.0760374j 0.0193515-0.0926255j -0.0730899+0.118462j 0.0654878-0.0737879j 0.0942539+0.0698863j -0.0197563-0.0668417j 0.0537479-0.0500174j -0.0355714+0.0636722j -0.00327437+0.0389608j 0.0230806-0.051309j -0.0859435-0.0567593j -0.101039+0.110267j -0.133286-0.0492779j -0.0122724-0.0239913j 0.173087-0.0640776j 0.043709+0.0105076j -0.0380214+0.0444851j 0.0719033-0.0562973j 0.00476388-0.115094j -0.0480164+0.0394532j -0.00868464-0.0465905j -0.136535-0.00835962j -0.0880745+0.0625224j 0.0109688-0.0265076j -0.00361659-0.0482086j 0.00893647+0.0263869j -0.00264559-0.0803943j -0.0795357+0.111506j 0.0433-0.0104661j -0.0333167+0.0282922j -0.0060169-0.0395226j 0.00801773+0.0111575j -0.0280601+0.0426697j 0.0167883-0.0831541j 0.00209428+0.0117077j 0.022317-0.0204212j -0.00983174+0.00658042j -0.019074+0.000832179j 0.0393524-0.0429994j 0.0141226-0.0297939j -0.00187622-0.0153018j -0.0162913-0.0117622j -0.0338813+0.0227359j 0.000260674+0.00805318j 0.009898+0.00361484j -0.01172-0.00700701j -0.00194189-0.000857687j -0.0213541+0.0145206j 0.0144472-0.00323675j -0.0202876-0.00359072j -0.00122403+0.0242558j 0.00863851-0.00671876j 0.00918386+0.0168339j -0.0278695-0.00243536j 0.00421551+0.012996j 0.0227973-0.0215999j -0.00313566+0.00798922j -0.0100452-0.00320202j 0.01386-0.0166837j 0.011811-0.00784327j -0.00032915+0.00515525j -0.0259835+0.00981516j -0.00779321-0.00689994j 0.0139462-0.0123338j -0.0106013+0.00162512j 0.00265001-0.0132302j 0.0171704-0.0246776j -0.0202601-0.0018773j 0.0211795+0.0246923j 0.0198487-0.0274707j 0.0119863-0.0096536j -0.0123837-0.00741361j 0.0155056+0.000991821j 0.00119267+0.00650275j -0.0199786+0.0333797j 0.0218904+0.000604609j 
-0.00194014+0.0116202j 0.00415328+0.0396078j 0.0331234+0.0126953j -0.00924171+0.0105778j 0.0547565+0.067124j -0.0209056-0.0359864j -0.0674614+0.12728j 0.0246557+0.019587j -0.0913582+0.0390007j -0.0183386+0.114351j 0.108327-0.011594j -0.0277356+0.0438152j -0.0460112-0.0428637j -0.0211459-0.0530672j 0.0242255-0.00258945j 0.0234065-0.0254598j 0.109226-0.129143j 0.00489529-0.0229216j 0.0435686+0.0790179j 0.0564893-0.0745547j 0.0372587-0.0410578j -0.0450624+0.0313329j 0.0489592-0.010164j 0.0374448-0.0237739j 0.0110206-0.0486903j 0.0156904+0.0807581j 0.0256481-0.0580339j 0.108639-0.0589594j -0.00316456-0.0074979j 0.0683594-0.0834175j 0.10533-0.00157374j 0.0726815-0.154494j 0.0907712+0.0111779j 0.050353+0.0684738j 0.0779185-0.0188198j 0.0370552+0.0129544j 0.0810808-0.0380633j -0.0254213-0.0189786j 0.0294646-0.0728261j 0.0433998+0.0476502j 0.0494929-0.0265614j 0.0545461-0.0520078j 0.122617-0.0016248j -0.101902-0.0134896j -0.00816901-0.0362901j 0.0355289-0.0763945j 0.0343608-0.0332123j 0.0393556-0.00592279j 0.00158014-0.0950051j -0.0745282-0.0448889j -0.0796881+0.05711j -0.0428356+0.0388638j 0.030509-0.0364525j -0.00851478+0.00907951j -0.00846172-0.0164707j 0.0165064+0.00785102j 0.00316808-0.0160565j 0.0114071+0.024742j 0.000739644-0.0298631j 0.0200907-0.00873714j 0.0126449+0.01838j -0.0408977-0.0159216j 0.00275823+0.00607728j 0.0148432-0.0322447j 0.00948672-0.00218379j 0.009666-0.0164253j 0.0254086+0.0171186j 0.0301832-0.00435723j 0.00180699+0.0227532j -0.0190427-0.00246855j -0.0010191+0.0267682j 0.0101341-0.0342911j -0.0258746+0.0309414j 0.00350436+0.00954709j 0.0309082+0.00351745j -0.000306613-0.0189517j -0.0205918+0.00516936j -0.00245705-0.0199495j -0.0292386+0.0231324j 0.0229837-0.016915j 0.0131027-0.00366628j -0.00303157+0.00970325j -0.0185355+0.0132317j 0.0176721+0.00570535j 0.0324307+0.00823985j -0.0264173+0.020488j 0.0375501+8.04492e-06j -0.0167261-0.0129982j 0.0103504+0.00400711j 0.0356027-0.0327462j -0.00130571+0.00537925j -0.00020814+0.0141242j 0.000655385-0.00429379j -0.000958717-0.0209992j -0.00538674+0.00296051j 0.0011783-0.023746j -0.0302859+0.0113841j -0.00177093+0.0351963j 
