-0.00392355-0j -0.000653925-0j -0.000400445-0j -8.17406e-05-0j -4.81661e-06-0j -0.00354347-0j -0.000571825-0j -0.000466893-0j -6.73902e-05-0j -5.83616e-05-0j -6.87798e-06-0j -3.13935e-07-0j -0.00228586-0j -0.00230955-0j -0.000361426-0j -0.000365172-0j -0.000285733-0j -0.000190488-0j -4.1242e-05-0j -0.000288694-0j -0.000192463-0j -4.16694e-05-0j -4.76221e-05-0j -1.6837e-05-0j -3.96851e-06-0j -4.81156e-05-0j -4.20924e-06-0j -1.70114e-05-0j -4.00964e-06-0j -4.25286e-06-0j -3.5077e-07-0j -1.30724e-08-0j -3.54405e-07-0j -1.32079e-08-0j 
0.00061169-0j -0.00479465-0j 6.24304e-05-0j -0.00121141-0j -0.000143517-0j 0.000552435-0j -0.00419268-0j 7.27897e-05-0j -0.000998731-0j -0.000427914-0j -0.000153435-0j -1.17048e-05-0j -0.102666-0j -0.10373-0j -0.00265002-0j -0.00267748-0j 4.45464e-05-0j 2.96976e-05-0j -0.000611211-0j 4.5008e-05-0j 3.00054e-05-0j -0.000617545-0j -0.000349171-0j 2.62492e-06-0j -8.85301e-05-0j -0.000352789-0j -6.23815e-05-0j 2.65212e-06-0j -8.94476e-05-0j -6.3028e-05-0j -1.04516e-05-0j -5.85281e-07-0j -1.05599e-05-0j -5.91347e-07-0j 
0.000473813-0j 7.89689e-05-0j -0.00924812-0j -0.000938947-0j 5.81661e-07-0j -0.102595-0j 6.90544e-05-0j -0.00536316-0j 8.13814e-06-0j -0.00134784-0j -7.90068e-05-0j 3.79113e-08-0j 0.000276044-0j 0.000278905-0j -0.0104644-0j -0.0105729-0j -0.00328219-0j 2.30037e-05-0j 4.98044e-06-0j -0.0033162-0j 2.32421e-05-0j 5.03205e-06-0j -0.000547031-0j -0.000584281-0j 4.79243e-07-0j -0.0005527-0j -9.72107e-05-0j -0.000590336-0j 4.8421e-07-0j -9.82181e-05-0j -4.02927e-06-0j 1.57865e-09-0j -4.07102e-06-0j 1.59501e-09-0j 
-6.83891e-05-0j 0.00108351-0j -6.97993e-06-0j -0.0063013-0j -0.00229195-0j 0.0148083-0j 0.00094748-0j -8.13814e-06-0j -0.00519504-0j 9.67018e-05-0j -0.00162496-0j -0.000249845-0j -3.98435e-05-0j -4.02564e-05-0j -0.14358-0j -0.145068-0j -4.98044e-06-0j -3.32029e-06-0j -0.0031793-0j -5.03205e-06-0j -3.3547e-06-0j -0.00321225-0j 7.89071e-05-0j -2.93475e-07-0j -0.000937582-0j 7.97248e-05-0j -0.000324486-0j -2.96517e-07-0j -0.000947298-0j -0.000327849-0j -0.000166911-0j -1.56382e-05-0j -0.000168641-0j -1.58003e-05-0j 
-0.0828223-0j -0.0103282-0j 4.4145e-05-0j 9.01105e-06-0j 5.30981e-07-0j 0.000390631-0j -0.0120707-0j -0.00737421-0j -0.00106438-0j 6.43376e-06-0j 7.58226e-07-0j 3.46081e-08-0j 0.000251993-0j 0.000254604-0j 3.98435e-05-0j 4.02564e-05-0j -0.00603154-0j -0.00603823-0j -0.000870578-0j -0.00609405-0j -0.00610081-0j -0.0008796-0j -0.000752154-0j 1.8561e-06-0j -6.26795e-05-0j -0.000759949-0j 4.64025e-07-0j 1.87534e-06-0j -6.33291e-05-0j 4.68834e-07-0j 3.86688e-08-0j 1.4411e-09-0j 3.90695e-08-0j 1.45603e-09-0j 
0.0146411-0j 0.000599331-0j 0.00149241-0j -0.0144037-0j 1.79396e-05-0j -6.90544e-05-0j -0.100354-0j 0.000865476-0j 0.000124841-0j -0.0102294-0j -0.00182436-0j 1.4631e-06-0j -4.45464e-05-0j -4.5008e-05-0j 0.000331253-0j 0.000334685-0j -0.101421-0j -3.7122e-06-0j -0.0146296-0j -0.102472-0j -3.75067e-06-0j -0.0147812-0j -0.00415167-0j 9.42879e-05-0j 1.10663e-05-0j -0.0041947-0j -0.00149124-0j 9.5265e-05-0j 1.11809e-05-0j -0.00150669-0j -0.000124271-0j 7.31602e-08-0j -0.000125558-0j 7.39183e-08-0j 
-5.09742e-05-0j -0.114889-0j -5.20253e-06-0j 0.000100951-0j 1.19597e-05-0j -4.60363e-05-0j 0.00034939-0j 0.00174418-0j -0.0239316-0j 3.56595e-05-0j 1.27863e-05-0j 9.75402e-07-0j -2.96976e-05-0j -3.00054e-05-0j 0.000220835-0j 0.000223124-0j -3.7122e-06-0j -0.101597-0j 5.09343e-05-0j -3.75067e-06-0j -0.10265-0j 5.14621e-05-0j -0.00836682-0j -2.18744e-07-0j -0.00212135-0j -0.00845352-0j 5.19846e-06-0j -2.2101e-07-0j -0.00214334-0j 5.25233e-06-0j 8.70967e-07-0j 4.87735e-08-0j 8.79993e-07-0j 4.92789e-08-0j 
-0.00122009-0j -0.000151957-0j 6.50317e-07-0j 0.00179926-0j -0.0201555-0j 5.75453e-06-0j 0.025444-0j 7.58226e-07-0j 0.00148338-0j -1.35619e-05-0j -0.00696668-0j -0.00331914-0j 3.7122e-06-0j 3.75067e-06-0j -8.39871e-05-0j -8.48574e-05-0j -8.8853e-05-0j 3.0935e-07-0j -0.17383-0j -8.97738e-05-0j 3.12556e-07-0j -0.175632-0j -1.10663e-05-0j 2.73429e-08-0j -0.00401969-0j -1.11809e-05-0j 9.26529e-05-0j 2.76263e-08-0j -0.00406135-0j 9.36131e-05-0j -0.00146783-0j -0.000277878-0j -0.00148304-0j -0.000280758-0j 
-4.4145e-05-0j 0.00105412-0j -0.081527-0j 0.000175882-0j -5.41931e-08-0j -3.98686e-05-0j -6.43376e-06-0j -0.143933-0j 0.000108632-0j -0.0118819-0j 1.47994e-05-0j -3.53218e-09-0j -2.57189e-05-0j -2.59854e-05-0j -4.06651e-06-0j -4.10865e-06-0j 0.000614815-0j 0.000616275-0j -4.64025e-07-0j 0.000621186-0j 0.000622661-0j -4.68834e-07-0j -0.0146809-0j -0.0103924-0j 6.3972e-06-0j -0.0148331-0j -0.000856963-0j -0.0105001-0j 6.4635e-06-0j -0.000865844-0j 7.54756e-07-0j -1.47082e-10-0j 7.62578e-07-0j -1.48606e-10-0j 
9.01105e-06-0j 0.0204543-0j -0.000175882-0j -0.0789758-0j 0.00030199-0j 8.13814e-06-0j -0.000124841-0j 0.0146133-0j -0.0980705-0j 0.00243672-0j -0.020366-0j 3.292e-05-0j 5.24985e-06-0j 5.30425e-06-0j -7.89071e-05-0j -7.97248e-05-0j -6.24211e-05-0j -0.000125797-0j 0.00041891-0j -6.3068e-05-0j -0.0001271-0j 0.000423251-0j -0.14169-0j -1.11119e-05-0j -0.0176994-0j -0.143159-0j -0.00817649-0j -1.12271e-05-0j -0.0178828-0j -0.00826123-0j -0.00209194-0j 2.06052e-06-0j -0.00211362-0j 2.08187e-06-0j 
4.50553e-06-0j -3.53159e-05-0j 0.0252267-0j 0.00256409-0j -1.0571e-06-0j 4.06907e-06-0j -3.0882e-05-0j -0.000154068-0j -7.35635e-06-0j -0.172911-0j 0.000324764-0j -8.62142e-08-0j 2.62492e-06-0j 2.65212e-06-0j -1.95192e-05-0j -1.97215e-05-0j -9.42879e-05-0j 2.18744e-07-0j -4.502e-06-0j -9.5265e-05-0j 2.2101e-07-0j -4.54865e-06-0j 0.000739063-0j -0.0998239-0j -6.52086e-07-0j 0.000746722-0j -0.025207-0j -0.100858-0j -6.58844e-07-0j -0.0254682-0j 2.21221e-05-0j -4.31101e-09-0j 2.23513e-05-0j -4.35568e-09-0j 
-5.30981e-07-0j -0.00242324-0j -5.41931e-08-0j -0.00030199-0j -0.0764291-0j -4.79544e-07-0j 1.47901e-05-0j 9.0527e-06-0j 0.0356708-0j 1.50951e-06-0j 0.00239846-0j -0.0260137-0j -3.0935e-07-0j -3.12556e-07-0j 9.3482e-06-0j 9.44507e-06-0j -3.86688e-08-0j 7.41263e-06-0j -0.000152368-0j -3.90695e-08-0j 7.48945e-06-0j -0.000153947-0j -0.000176473-0j -2.27858e-09-0j -0.198271-0j -0.000178301-0j -1.5551e-05-0j -2.30219e-09-0j -0.200326-0j -1.57122e-05-0j -0.00556595-0j -0.00329599-0j -0.00562363-0j -0.00333014-0j 
-6.50317e-07-0j 1.5509e-05-0j -0.00120101-0j 0.0351188-0j 0.00205711-0j -5.87319e-07-0j 1.35619e-05-0j 1.47994e-05-0j -0.000151397-0j 0.0250461-0j -0.135979-0j 0.000338759-0j -3.78875e-07-0j -3.82801e-07-0j 8.57189e-06-0j 8.66072e-06-0j 9.05707e-06-0j -3.15729e-08-0j -9.26529e-05-0j 9.15093e-06-0j -3.19001e-08-0j -9.36131e-05-0j -0.000215997-0j -0.000153095-0j 0.000410258-0j -0.000218235-0j -0.171112-0j -0.000154681-0j 0.000414509-0j -0.172885-0j -0.0286498-0j 2.83609e-05-0j -0.0289467-0j 2.86548e-05-0j 
4.19778e-08-0j -1.67317e-06-0j -8.19343e-07-0j -0.00379818-0j 0.0315532-0j 3.79113e-08-0j -1.4631e-06-0j -4.75152e-07-0j 3.292e-05-0j 2.85576e-05-0j 0.0455701-0j -0.0925196-0j 2.44563e-08-0j 2.47097e-08-0j -9.24767e-07-0j -9.3435e-07-0j -2.90787e-07-0j 2.03802e-09-0j 2.01466e-05-0j -2.93801e-07-0j 2.05914e-09-0j 2.03554e-05-0j 1.15903e-05-0j -5.17647e-08-0j -0.000276421-0j 1.17104e-05-0j -0.000393232-0j -5.23011e-08-0j -0.000279286-0j -0.000397307-0j -0.218575-0j -0.0244182-0j -0.22084-0j -0.0246713-0j 
-1.32218e-09-0j 7.3868e-08-0j -1.34944e-10-0j -2.65036e-06-0j -0.00710571-0j -1.19409e-09-0j 6.45939e-08-0j -1.57336e-10-0j -2.18506e-06-0j 6.59259e-09-0j 5.32589e-05-0j 0.065803-0j -7.703e-10-0j -7.78283e-10-0j 4.08271e-08-0j 4.12502e-08-0j -9.62875e-11-0j -6.41917e-11-0j -1.33723e-06-0j -9.72854e-11-0j -6.48569e-11-0j -1.35109e-06-0j 5.37944e-09-0j -5.6738e-12-0j 3.07297e-05-0j 5.43519e-09-0j -1.36481e-07-0j -5.73259e-12-0j 3.10482e-05-0j -1.37895e-07-0j -0.000517474-0j -0.25584-0j -0.000522836-0j -0.258492-0j 
