-0.221902-0j 0.756529-0j -0.204667-0j -0.206788-0j -0.179083-0j -0.147736-0j -0.0472024-0j -0.029055-0j -0.032158-0j 0.0767293-0j -0.0169487-0j 0.0775245-0j -0.0296603-0j -0.0104865-0j -0.0173018-0j -0.0183514-0j -0.010705-0j -0.00279265-0j -0.0189018-0j -0.00272824-0j -0.0206279-0j -0.00297737-0j -0.0159783-0j -0.00230626-0j -0.0161439-0j 0.0440222-0j -0.00233016-0j 0.00635406-0j 0.0544747-0j -0.0120329-0j 0.00786275-0j 0.0317769-0j -0.0104208-0j -0.0017368-0j 0.0045866-0j -0.00150411-0j -0.01489-0j -0.00744499-0j -0.00214918-0j -0.0061418-0j -0.00752214-0j -0.00107459-0j -0.000886493-0j -0.00108573-0j -0.00339886-0j -0.000490584-0j -0.000749379-0j -0.000108164-0j 
0.258885-0j 0.00416257-0j -0.476289-0j 0.467526-0j 0.00297388-0j -0.337358-0j -0.216359-0j 0.0338975-0j 0.000534019-0j 0.0296603-0j -0.0986578-0j -0.0291145-0j -0.000982473-0j 0.0122342-0j 0.0788084-0j -0.0208004-0j -0.0367563-0j -0.0160122-0j 0.0220521-0j 0.00318295-0j 0.000342549-0j 4.94427e-05-0j 0.0186413-0j 0.00269064-0j -0.0182983-0j -0.033944-0j -0.00264114-0j -0.00489939-0j 0.00029973-0j -0.000996981-0j 4.32624e-05-0j -0.0240427-0j -0.0242507-0j -0.000143902-0j -0.00347026-0j -0.00350029-0j 0.0336647-0j 0.000123632-0j 0.00485908-0j 0.0420648-0j -0.0171769-0j 1.78448e-05-0j 0.00607153-0j -0.00247927-0j -0.0155792-0j -0.00224866-0j -0.00515854-0j -0.000744572-0j 
0.158534-0j 0.179083-0j -0.433972-0j 0.147736-0j 0.1198-0j -0.313257-0j 0.0337231-0j 0.0207579-0j 0.0229748-0j -0.0539067-0j 0.0121088-0j 0.0183514-0j -0.0628912-0j 0.0952432-0j 0.012361-0j 0.0122763-0j -0.0226986-0j 0.00199517-0j 0.0135041-0j 0.00194915-0j 0.0147373-0j 0.00212714-0j -0.03388-0j -0.00489016-0j 0.0115337-0j 0.0104208-0j 0.00166475-0j 0.00150411-0j -0.0382716-0j 0.00859673-0j -0.00552403-0j 0.00752214-0j 0.00697111-0j 0.00124083-0j 0.00108573-0j 0.00100619-0j -0.0315724-0j 0.0676188-0j -0.00455709-0j 0.00438791-0j 0.00503202-0j 0.00975994-0j 0.000633341-0j 0.000726309-0j -0.00720689-0j -0.00104023-0j 0.000535382-0j 7.72758e-05-0j 
-0.226525-0j 0.248602-0j 0.205579-0j 0.21101-0j -0.527132-0j 0.135902-0j -0.509663-0j -0.0296603-0j 0.0318934-0j 0.0255364-0j -0.0173018-0j 0.0262111-0j -0.0289444-0j 0.0530097-0j -0.0161753-0j -0.0555775-0j 0.0513407-0j -0.0522354-0j -0.0192956-0j -0.00278508-0j 0.0204581-0j 0.00295288-0j 0.0160495-0j 0.00231655-0j 0.0164735-0j -0.01489-0j 0.00237775-0j -0.00214918-0j -0.0176137-0j 0.0119339-0j -0.00254232-0j -0.00984329-0j 0.0315724-0j 0.00172251-0j -0.00142076-0j 0.00455709-0j -0.0149503-0j -0.0365633-0j -0.00215789-0j -0.0299361-0j 0.0208716-0j -0.00527746-0j -0.00432091-0j 0.00301255-0j 0.0361102-0j 0.00521206-0j -0.021429-0j -0.00309302-0j 
0.0934366-0j -0.310634-0j 0.0861795-0j 0.415744-0j -0.221928-0j 0.0723837-0j -0.37151-0j 0.0122342-0j -0.0398515-0j 0.010705-0j 0.00713664-0j 0.0516426-0j -0.0367563-0j 0.00441557-0j 0.00847707-0j 0.0368952-0j -0.063573-0j 0.0380959-0j 0.00795903-0j 0.00114879-0j -0.0255629-0j -0.00368969-0j 0.00672801-0j 0.000971104-0j 0.032457-0j 0.0061418-0j 0.00468477-0j 0.000886493-0j -0.0223676-0j -0.0149117-0j -0.00322848-0j 0.00515861-0j 0.00438791-0j -0.00215232-0j 0.000744581-0j 0.000633341-0j 0.0299361-0j -0.00922615-0j 0.00432091-0j -0.036474-0j 0.00368549-0j -0.00133168-0j -0.00526456-0j 0.000531954-0j -0.026751-0j -0.00386117-0j 0.0652614-0j 0.00941967-0j 
-0.115417-0j 0.032158-0j 0.0262569-0j 0.026529-0j 0.0229748-0j 0.0189532-0j 0.00605564-0j -0.17632-0j 0.791192-0j -0.15428-0j -0.102853-0j -0.155878-0j -0.179993-0j -0.0636371-0j -0.104996-0j -0.111365-0j -0.0649629-0j -0.0169472-0j 0.00242493-0j -0.0334626-0j 0.00264637-0j -0.0365183-0j -0.00831072-0j 0.114683-0j -0.00839684-0j 0.00187126-0j 0.115871-0j -0.0258223-0j 0.00231557-0j 0.00154371-0j -0.0319535-0j 0.00135075-0j 0.00133689-0j -0.0213023-0j -0.0186395-0j -0.0184484-0j 0.00191025-0j 0.000955124-0j -0.0263603-0j 0.000787937-0j 0.000965022-0j -0.0131801-0j -0.0108731-0j -0.0133167-0j 0.000436043-0j -0.00601714-0j 9.61385e-05-0j -0.00132665-0j 
-0.032158-0j 0.00156054-0j -0.0296603-0j 0.0291145-0j -0.000369407-0j 0.0419056-0j 0.0268755-0j 0.199174-0j 0.00313778-0j -0.525986-0j 0.116185-0j 0.516308-0j 0.00289407-0j 0.0718858-0j -0.232146-0j -0.122219-0j -0.215972-0j -0.0940844-0j -0.00273925-0j 0.0378-0j -4.25504e-05-0j 0.000587171-0j -0.00231557-0j 0.0319535-0j 0.00227296-0j 0.0063797-0j -0.0313655-0j -0.088036-0j 0.000112369-0j -2.48211e-05-0j -0.00155062-0j -0.00901357-0j -0.00151018-0j 0.000342516-0j 0.124382-0j 0.0208396-0j 0.00209642-0j -1.53573e-05-0j -0.0289294-0j 0.00261953-0j 0.00213367-0j 0.000211921-0j -0.036148-0j -0.0294433-0j 0.0019352-0j -0.0267046-0j 0.000640779-0j -0.00884237-0j 
-0.0262569-0j -0.0296603-0j -0.0475317-0j 0.0488072-0j 0.0628912-0j 0.0172007-0j -0.00558531-0j 0.162625-0j 0.179993-0j -0.140014-0j -0.473317-0j 0.143772-0j 0.325834-0j -0.290648-0j -0.193168-0j -0.304851-0j -0.0589561-0j 0.0156309-0j -0.00223659-0j 0.0308636-0j -0.00244082-0j 0.0336819-0j 0.00186033-0j -0.0256714-0j -0.00191025-0j 0.00344269-0j 0.0263603-0j -0.0475071-0j 0.00210146-0j 0.00710397-0j -0.0289989-0j -0.00124584-0j -0.00729982-0j -0.0980305-0j 0.0171918-0j 0.100733-0j -0.00345804-0j 0.00436231-0j 0.0477189-0j 0.00144962-0j 0.00264165-0j -0.0601972-0j -0.0200039-0j -0.0364532-0j 0.000395725-0j -0.00546077-0j -8.86715e-05-0j 0.00122361-0j 
0.026529-0j -0.0291145-0j -0.0488072-0j 0.049293-0j -0.0208004-0j 0.0161753-0j 0.0596882-0j -0.16431-0j 0.176681-0j -0.143772-0j 0.478222-0j 0.145203-0j -0.325052-0j -0.0593027-0j 0.178739-0j 0.103738-0j -0.289051-0j -0.289371-0j 0.00225976-0j -0.0311834-0j -0.00239591-0j 0.0330622-0j 0.00191025-0j -0.0263603-0j -0.00192926-0j -0.00347837-0j 0.0266227-0j 0.0479994-0j -0.00209642-0j 0.00697326-0j 0.0289294-0j 0.00115278-0j -0.00248507-0j -0.0962268-0j -0.0159076-0j 0.0342924-0j 0.0035494-0j -0.000864731-0j -0.0489795-0j -0.00699322-0j 0.000823584-0j 0.0119328-0j 0.0965023-0j -0.011365-0j 0.00429791-0j -0.0593087-0j 0.00250962-0j -0.0346312-0j 
0.0229748-0j 0.000369407-0j -0.0628912-0j -0.0208004-0j 0.000247119-0j 0.0888559-0j -0.0192008-0j -0.142297-0j -0.00224174-0j 0.369535-0j -0.0830065-0j 0.122219-0j 0.00613654-0j -0.6529-0j 0.165853-0j 0.0817596-0j -0.457943-0j 0.0672171-0j 0.00195701-0j -0.0270056-0j 3.03995e-05-0j -0.000419495-0j -0.00490989-0j 0.0677536-0j -0.00162388-0j 0.00151018-0j 0.0224086-0j -0.0208396-0j -7.89453e-05-0j 1.7733e-05-0j 0.0010894-0j -0.00213367-0j 0.00101025-0j -0.000244705-0j 0.0294433-0j -0.0139409-0j 0.00444522-0j 0.000139482-0j -0.0613414-0j -0.00187148-0j -0.00142734-0j -0.00192477-0j 0.0258254-0j 0.0196964-0j 0.00410336-0j -0.0566239-0j -0.000457795-0j 0.0063173-0j 
-0.0189532-0j 0.0419056-0j 0.0172007-0j -0.0161753-0j -0.0888559-0j 0.0480742-0j 0.052237-0j 0.117389-0j -0.254303-0j -0.101068-0j 0.0684769-0j 0.0950428-0j 0.23079-0j -0.209801-0j 0.27066-0j -0.201527-0j -0.0495183-0j -0.499114-0j -0.00161445-0j 0.0222785-0j 0.00344853-0j -0.0475876-0j 0.00134285-0j -0.0185306-0j -0.0012628-0j -0.00124584-0j 0.0174259-0j 0.0171918-0j -0.00296906-0j 0.00201164-0j 0.0409712-0j -0.00348198-0j 0.00264165-0j -0.0277594-0j 0.0480493-0j -0.0364532-0j 0.00114604-0j -0.0061633-0j -0.0158147-0j -0.0006104-0j 0.00738314-0j 0.0850498-0j 0.00842316-0j -0.101883-0j -0.00370104-0j 0.0510722-0j 0.00629966-0j -0.0869315-0j 
