1.00719-0j 0.102152-0j 0.103211-0j 0.0586083-0j 0.00845938-0j 0.0725241-0j 0.010468-0j 0.0423057-0j 0.00610631-0j 0.0411828-0j 0.00728015-0j 0.0480466-0j 0.000606679-0j 0.0294224-0j 0.00849351-0j 0.0420407-0j 0.00520119-0j 0.000707793-0j 0.0173409-0j 0.000433433-0j 0.00743182-0j 0.000619319-0j 0.00306547-0j 0.000255456-0j 0.0317002-0j 0.00528337-0j 0.0358092-0j 0.00323539-0j 0.000660421-0j 0.0292381-0j 3.89157e-05-0j 0.0295411-0j 0.0059682-0j 0.00365476-0j 0.0255833-0j 0.00487302-0j 0.000746025-0j 0.0211052-0j 0.0029841-0j 0.00492352-0j 4.396e-05-0j 0.00674321-0j 0.000609127-0j 0.00426389-0j 0.00301503-0j 0.00261109-0j 0.00061544-0j 3.58932e-05-0j 0.00351753-0j 0.000532986-0j 0.00215404-0j 0.00112387-0j 3.62651e-05-0j 0.000688226-0j 0.000439691-0j 3.14065e-05-0j 2.59091e-05-0j 0.000140483-0j 8.27807e-06-0j 
0.0020776-0j -0.700263-0j 0.687378-0j 0.00849351-0j -0.117205-0j 0.0001496-0j -0.00206439-0j -0.0120001-0j 0.165594-0j 0.0059682-0j -0.049906-0j 9.91088e-05-0j -0.0126523-0j 0.00426389-0j -0.000828746-0j -0.0059191-0j -0.0356546-0j -0.000210107-0j -0.00739605-0j -0.00903927-0j 0.0494954-0j 0.0125483-0j 0.0618457-0j 0.0156793-0j 0.00459399-0j -0.0362179-0j 7.3866e-05-0j 0.000468873-0j -0.00915019-0j 0.00423718-0j -0.001084-0j -0.00415922-0j -0.000582342-0j 7.53892e-06-0j 5.27724e-05-0j -0.0334049-0j -0.000147124-0j -0.00598652-0j 0.000432456-0j 0.0327903-0j -1.74294e-05-0j -0.00383935-0j -0.00843951-0j -0.000416045-0j -0.000424499-0j 5.38606e-06-0j 0.00828422-0j -0.000999807-0j 0.0471962-0j -0.000105111-0j -0.000610996-0j 0.0302685-0j 0.000981411-0j -0.000391852-0j 0.0119238-0j -1.24522e-05-0j 0.00141258-0j 0.00764711-0j 0.000905934-0j 
0.0725241-0j -0.00723761-0j 0.00743182-0j -0.406038-0j 0.000609127-0j 0.494387-0j -0.000741665-0j -0.293094-0j 0.000439691-0j 0.00296541-0j -0.0504369-0j 0.00345965-0j 4.36846e-05-0j -0.00628781-0j -0.058843-0j -0.00297863-0j 0.106945-0j 5.09654e-05-0j 0.00124865-0j -9.26281e-05-0j 0.0506617-0j -4.38794e-05-0j -0.0212376-0j 1.83944e-05-0j 0.00228261-0j 0.000380435-0j 0.00257848-0j -0.0450625-0j -0.0045754-0j -0.00207155-0j 2.80217e-06-0j 0.00212714-0j 0.000429747-0j -0.0509035-0j -0.00546737-0j -0.000345258-0j -0.00516846-0j -0.00149532-0j 0.0408958-0j 0.000354523-0j 3.16539e-06-0j 0.000485552-0j 0.00415234-0j -0.000911228-0j -0.0419933-0j 0.107935-0j -0.00426376-0j -2.54307e-06-0j -0.000249221-0j 0.0109591-0j 0.0295202-0j 8.09253e-05-0j 2.61131e-06-0j -0.0095856-0j 0.00299731-0j -6.71183e-06-0j -1.83568e-06-0j -0.000973269-0j 5.96071e-07-0j 
-0.010468-0j -0.0998747-0j 0.102555-0j -0.000609127-0j -0.393359-0j 0.000741665-0j 0.478949-0j -0.000439691-0j -0.283942-0j -0.00042802-0j 0.00723386-0j -0.000499357-0j -0.0864461-0j 0.000907567-0j 0.00843951-0j 0.000429928-0j -0.0153386-0j -0.100854-0j -0.000180227-0j 0.183299-0j -0.00726611-0j 0.0868315-0j 0.00304598-0j -0.0364001-0j -0.000329466-0j 0.00524978-0j -0.000372172-0j -3.3626e-05-0j -0.0307094-0j 0.000299003-0j -0.011168-0j -0.000307026-0j 0.00593025-0j -3.79846e-05-0j 0.000789147-0j -0.00476436-0j -0.03469-0j 0.000215831-0j 3.05168e-05-0j 0.00489221-0j -0.0126156-0j -7.00834e-05-0j 0.0278699-0j -0.0125744-0j -3.13357e-05-0j 8.0542e-05-0j -0.0286178-0j 0.0101353-0j -0.0034391-0j 0.0735561-0j 2.20282e-05-0j 0.00111672-0j -0.0104073-0j -7.15286e-06-0j 0.0201176-0j 0.0267499-0j 0.00731608-0j -0.00653245-0j -0.00237563-0j 
0.0711897-0j -0.00743182-0j 0.0075058-0j 0.410246-0j -0.00061544-0j -0.493202-0j 0.000739888-0j 0.271201-0j -0.000406848-0j -0.00299614-0j 0.0509595-0j 0.00339599-0j -4.41373e-05-0j -0.00214055-0j -0.0577603-0j 0.00305732-0j 0.0364073-0j 5.00276e-05-0j -0.00602371-0j -3.15332e-05-0j -0.0520001-0j 4.50386e-05-0j 0.102454-0j -8.87376e-05-0j -0.00230626-0j -0.000384377-0j 0.00253104-0j 0.0455295-0j 0.00462281-0j -0.00212714-0j -2.83121e-06-0j 0.00214831-0j 0.00042184-0j -0.0499669-0j 0.00180826-0j -0.000354523-0j -0.00507336-0j -0.00140618-0j 0.0419933-0j 0.000358052-0j 3.10714e-06-0j -0.00518892-0j 0.00426376-0j 0.000301377-0j -0.0424112-0j -0.0356981-0j -0.0043062-0j -2.61131e-06-0j -0.000234364-0j -0.00362458-0j 0.0277604-0j -0.000864821-0j 2.6373e-06-0j 0.102438-0j 0.00281864-0j 2.21985e-06-0j -1.72625e-06-0j 0.010401-0j -6.37e-06-0j 
-0.0102753-0j -0.102555-0j 0.103576-0j 0.00061544-0j 0.397436-0j -0.000739888-0j -0.477801-0j 0.000406848-0j 0.262732-0j 0.000432456-0j -0.00730883-0j -0.000490169-0j 0.0873419-0j 0.000308961-0j 0.00828422-0j -0.000441286-0j -0.00522168-0j -0.0989981-0j 0.000869448-0j 0.0624001-0j 0.00745807-0j -0.0891254-0j -0.0146943-0j 0.1756-0j 0.000332881-0j -0.00530418-0j -0.000365324-0j 3.39745e-05-0j 0.0310277-0j 0.000307026-0j 0.0112837-0j -0.000310082-0j 0.00582114-0j -3.72857e-05-0j -0.000261-0j -0.00489221-0j -0.0340517-0j 0.000202965-0j 3.13357e-05-0j 0.0049409-0j -0.0123835-0j 0.000748957-0j 0.0286178-0j 0.00415882-0j -3.16476e-05-0j -2.66382e-05-0j -0.0289026-0j 0.0104073-0j -0.00323409-0j -0.0243277-0j 2.07151e-05-0j -0.011934-0j -0.0105109-0j 7.64401e-05-0j 0.0189183-0j -0.00884717-0j 0.00687995-0j 0.0698099-0j 0.0253875-0j 
0.0480466-0j 0.00487302-0j 0.00492352-0j -0.0055768-0j -0.000804942-0j 0.00345965-0j 0.000499357-0j 0.00201813-0j 0.000291291-0j -0.286315-0j 0.000347288-0j 0.666296-0j 2.89407e-05-0j -0.204553-0j -0.00080819-0j -0.29228-0j 0.000248115-0j -6.73491e-05-0j -0.120559-0j 2.06762e-05-0j 0.000354523-0j 2.95436e-05-0j 0.000146233-0j 1.21861e-05-0j 0.00151221-0j -0.0367316-0j 0.00170822-0j 0.000154339-0j 3.15043e-05-0j -0.00278212-0j 1.85641e-06-0j -0.00281095-0j -0.0414927-0j 0.000174345-0j 0.00122041-0j 0.0675776-0j 3.55879e-05-0j 0.00100679-0j -0.000283948-0j 0.0682779-0j 2.09704e-06-0j 0.000321674-0j -5.79607e-05-0j -0.0296438-0j -0.000286891-0j 0.000124558-0j -5.85614e-05-0j -3.41537e-06-0j -0.0244549-0j 2.54253e-05-0j 0.000102755-0j -0.00781346-0j -3.45076e-06-0j 3.28307e-05-0j 2.09748e-05-0j 1.4982e-06-0j 1.23595e-06-0j 6.70154e-06-0j 3.94892e-07-0j 
-0.00849351-0j 0.0407481-0j 0.0411704-0j -0.0948524-0j -0.0136041-0j 0.058843-0j 0.00843951-0j 0.0343251-0j 0.00492305-0j -0.000347288-0j -0.279407-0j 0.00080819-0j 0.000736237-0j -0.000248115-0j 0.650221-0j -0.000354523-0j -0.199618-0j -0.00171333-0j -0.000146233-0j 0.000525993-0j -0.285228-0j 0.000751575-0j -0.117651-0j 0.000310009-0j -0.000267323-0j 0.00210751-0j -0.000301974-0j 0.0052774-0j -0.0512289-0j 0.000491813-0j 6.30777e-05-0j 0.00049691-0j 0.00238069-0j 0.00596146-0j -0.00021574-0j -0.00387734-0j -0.0578691-0j -0.000177977-0j -0.00970921-0j -0.00391752-0j 7.12538e-05-0j -5.68644e-05-0j 0.0942493-0j 0.00170085-0j -0.00980982-0j 0.00425907-0j 0.095226-0j -0.000116048-0j 0.00140313-0j -0.0413437-0j 0.00351356-0j 0.000448305-0j -0.000117251-0j 0.0011226-0j -0.0341068-0j 5.09062e-05-0j 4.19955e-05-0j -0.0108973-0j 1.34177e-05-0j 
-0.000846266-0j 0.00593332-0j 0.0059191-0j -0.00345965-0j -0.000499357-0j 5.99589e-05-0j 8.65432e-06-0j 0.00488797-0j 0.000705518-0j 0.354297-0j -0.000429747-0j 0.0058835-0j -3.58123e-05-0j -0.751244-0j -7.13644e-06-0j 0.345745-0j 0.000911228-0j -5.94703e-07-0j -0.439059-0j 7.59357e-05-0j -0.000419374-0j -3.49479e-05-0j 0.000532561-0j 4.43801e-05-0j -0.00187126-0j 0.045453-0j -3.00877e-05-0j -0.000190985-0j -3.89846e-05-0j 0.00169824-0j -2.29719e-06-0j 0.00169417-0j 0.000730831-0j -3.07081e-06-0j 6.37974e-05-0j -0.0412502-0j -6.26827e-07-0j -0.00239936-0j 0.000173326-0j -0.0411513-0j -3.69361e-08-0j 0.00156388-0j 3.538e-05-0j -0.00154964-0j 0.00017291-0j 6.5113e-06-0j 3.52951e-05-0j 2.08478e-06-0j 0.0582805-0j 1.32911e-06-0j -0.000244884-0j -0.0379866-0j 2.07979e-06-0j 0.000159612-0j -4.99867e-05-0j 7.83187e-08-0j -2.94549e-06-0j 3.25807e-05-0j 1.91984e-06-0j 
0.000707793-0j -0.0103306-0j -0.0104377-0j -8.2154e-05-0j -0.162572-0j 5.09654e-05-0j 0.100854-0j 2.97298e-05-0j 0.0588314-0j 2.89407e-05-0j -0.000736237-0j -6.73491e-05-0j -0.27056-0j 2.06762e-05-0j 0.00171333-0j 2.95436e-05-0j -0.000525993-0j 0.629632-0j 1.21861e-05-0j -0.193297-0j -0.000751575-0j -0.276196-0j -0.000310009-0j -0.113925-0j 2.22769e-05-0j -0.000534304-0j 2.51645e-05-0j 2.27363e-06-0j 0.00636285-0j -4.09844e-05-0j -0.071686-0j -4.14091e-05-0j -0.00060356-0j 2.56834e-06-0j 1.79784e-05-0j 0.000982995-0j 0.0071876-0j 1.48314e-05-0j -4.18296e-06-0j 0.000993182-0j -0.080978-0j 4.7387e-06-0j -0.0117062-0j -0.000431204-0j -4.2263e-06-0j 1.83491e-06-0j -0.0118275-0j 0.131886-0j -0.000355725-0j 0.00513507-0j 1.51372e-06-0j -0.000113656-0j 0.133252-0j 4.83642e-07-0j 0.00423622-0j -0.0578535-0j -0.0477267-0j 0.00135349-0j -0.0152489-0j 
-0.0678827-0j 0.00351753-0j 0.00325478-0j 0.00201813-0j 0.000291291-0j -0.00488797-0j -0.000705518-0j 0.00564045-0j 0.000814129-0j -0.206673-0j 0.000250686-0j 0.471941-0j 2.08905e-05-0j -0.147654-0j -0.000572445-0j -0.193217-0j 0.000179099-0j -4.77037e-05-0j -0.10126-0j 1.49249e-05-0j 0.000234364-0j 1.95303e-05-0j 0.000122824-0j 1.02353e-05-0j 0.00109157-0j -0.0265142-0j -0.00241347-0j 0.000111408-0j 2.2741e-05-0j 0.00100679-0j 1.34003e-06-0j 0.000931585-0j 0.0586231-0j -0.000246323-0j -0.00172426-0j -0.0244549-0j -5.02805e-05-0j 0.00281387-0j 0.000102755-0j -0.0226282-0j -2.96281e-06-0j -0.00300848-0j 2.09748e-05-0j 0.0418824-0j 9.50795e-05-0j -0.000175982-0j 1.9408e-05-0j 1.23595e-06-0j -0.0683489-0j -3.59221e-05-0j 0.000287189-0j 0.073076-0j 1.14363e-06-0j -0.000307051-0j 5.86223e-05-0j -2.11673e-06-0j 3.45435e-06-0j -6.26766e-05-0j -3.69325e-06-0j 
