-0.0110775+0.0134442j -0.0269304-0.00341547j -0.024572+0.000556378j -0.0192534+0.0105026j -0.00906875+0.00230602j -0.0117522+0.00626663j -0.035663+0.00707442j -0.0155473+0.00179095j 0.0186253-0.00126393j -0.012186+0.00109588j 0.0200328-0.000695429j 0.0389197-0.00384166j 0.0394959-0.0030868j -0.0120442-0.00129675j -0.0366075+0.00185617j 0.00715291+0.000759954j -0.0336829+0.000393095j -0.0511644+0.00333599j 0.000592029-0.00353431j 0.0400324-0.00138182j -0.031605+4.03122e-05j 0.0711226+0.00014821j -0.0127943+0.000305448j -0.0446185+0.000991014j -0.0412793-0.00211375j 0.0627646-0.00205465j 0.00419764-0.00223702j -0.0204762-0.000510126j -0.0071876-8.53037e-05j -0.0244132+0.00157077j 0.02221+0.00259874j -0.00317144-0.000345844j 0.00419284-0.0007152j 0.0698535-0.00297518j -0.0295749-0.000189794j 0.0128926+0.00138277j 0.0112928-0.00326035j 0.0265713-0.00306297j -0.11158-0.00480638j 0.0674836-0.00186917j -0.0543085+7.50265e-05j 0.119678+0.00626339j 0.0524005+0.00116306j 0.11042+0.0033533j -0.207565+0.00898617j -0.270291-0.00612401j -0.241334-0.00469757j 0.0749305+0.00509226j -0.195004-0.00380269j 0.122928-0.00737016j 0.374743+0.00107417j -0.0275022+0.000543992j 0.22687+0.00142546j 0.0510483+0.00118029j -0.203238+0.00080101j 0.140453-0.0030803j 0.0164453+0.000444472j -0.0162028-0.00202001j 0.00960765+5.41065e-05j -0.0650169+3.34192e-05j 0.0732252+0.00566567j 0.00379377+0.00540991j 0.0104523-0.00346227j 0.0847726-0.00182001j 0.0539574+0.00371001j 0.0597978+6.89294e-05j -0.00942154-0.00328157j 0.0649764-0.00156106j 0.0175866-0.00102366j 0.0686912+0.00308873j -0.0416851-0.00382214j 0.0829042+0.00310804j -0.0443894+0.000295458j -0.0281028-0.00310261j -0.0474277+0.00208528j -0.0097574+0.00186528j 0.0515872+0.0050557j -0.0424981+0.000264142j -0.0471704+0.00299204j 0.0335522-0.00369373j 0.00801339+0.00220893j 0.0268386+0.000982907j -0.0275276+0.00479913j 0.0213316+0.00463878j -0.0041217+0.00452006j 0.0138318-0.00410855j -0.0465962-0.00734227j 0.015211-0.0115982j -0.00118343+0.00112553j -0.0307945-0.00941514j -0.0249328-0.00340409j -0.0168597+0.0419379j 0.0769064-0.000635726j 0.0372839-0.0349729j -0.0139308+0.0506486j -0.0760741-0.0174423j -0.00911052-0.0689865j -0.230126+0.0201107j 
-0.0269468-0.00343715j 0.0112492-0.0135406j 0.0170002-0.0101696j -0.0246262+1.85634e-05j -0.0180629+0.0064787j -0.00637954+0.0014476j -0.00249015-0.00182022j 0.0217455-0.00603567j -0.0328542+0.00396837j 0.0325573-0.00328438j -0.041089+0.00430291j 0.0536471-0.00317347j 0.0399873-0.00198098j 0.0385227-0.0018249j 0.0116378-0.000572995j 0.00499955+0.00047353j 0.0202724-0.000811378j -0.0440815-0.0018327j 0.0506582-0.00278222j -0.021798-0.000231028j -0.00833688-0.000100746j -0.0210659+0.00193568j -0.0206649-0.00146582j -0.0360032-0.000425862j 0.0496484-0.00177272j -0.00230783+0.0045162j -0.0236279+0.00114545j -0.044087-0.00111685j 0.0652985-0.00110031j 0.0158566-0.00238056j -0.0408583-0.000815299j -0.0784533-0.000287093j -0.0241489-0.00198299j 0.0196725+0.00225525j 0.00960037+0.00205797j -0.0194243-0.00106433j 0.0376415+0.000211591j 0.0882631+0.00130718j 0.0937111-0.00404353j 0.010949+0.000338451j -0.0927779-0.00634235j -0.036662+0.000432119j -0.0240665+0.000704095j -0.096194+0.0024649j -0.321599-0.010719j 0.106238-0.00813262j 0.0369676-0.00687241j -0.169922-0.00132042j 0.311572-0.00357774j 0.39972+0.00243833j 0.0880055+0.00391479j -0.00481298-0.000701864j -0.0561196-0.00133687j 0.113915-0.000910939j -0.0403529+0.00242016j -0.216505-0.00201411j 0.0657438+0.000225475j -0.103172-0.000636549j 0.0465848-0.000969906j 0.019209+0.001925j 0.13429-0.00258125j 0.0855338+0.000346666j -0.0332923-0.00137513j -0.0694391-0.00302869j 0.0781571-0.00210969j -0.00606987-0.00477771j -0.0441192-0.00154351j -0.0628874-0.00269785j -0.0643638-0.00370116j 0.0312191-0.0026281j -0.0289908+0.00206205j 0.0116735-0.00544147j 0.0392415+0.00194016j -0.0182278-0.0012194j 0.00257665+0.0033769j 0.0210301+0.000319513j 0.0799609-0.00267827j 0.0134257+0.00309042j 0.039038+0.00485539j -0.0284966-0.0036882j 0.00579911+0.000186119j 0.0190502-0.00644223j 0.0131551+0.000344516j 0.0208774-0.000355827j 0.0318436+0.000696786j -0.00736598-0.00134418j -0.0211104+0.0111712j -0.0528617-0.00920913j 0.0240848+0.00633391j 0.000329056+0.00329388j -0.0057952+0.00428026j 0.0688814+0.00215833j 0.0297945-0.0555863j -0.0427907+0.00625084j -0.0810381-0.0131151j 0.00940563-0.0515044j 0.230039-0.0196041j -0.0087748-0.0686015j 
0.00847526+0.00662376j -0.011675+0.00944122j -0.0290987+0.00131802j -0.00752924+0.00561183j 0.0289345+0.00011236j 0.00408434-0.00178842j 0.00216635+0.00415071j -0.0419745+0.00457496j -0.00562789+0.0011796j -0.0129628-0.00299975j 0.0265181-0.000952349j -0.0702871-0.000419617j -0.0105407-0.00617619j -0.03135+0.00149054j 0.00476407+0.000256061j -0.00805029+0.000135917j -0.0245423+0.0014687j 0.058936+0.0022802j -0.0214534-0.00267956j 0.00966864-0.0028011j 0.0104974+0.00086792j -0.00697714-0.00331866j 0.0350371+0.000397667j 0.0400288+0.00251172j -0.00131647+0.000422816j -0.0528184-0.0050387j -0.00425814-0.0021954j 0.0314974+6.5176e-05j -0.00415869+0.000486381j 0.0162999+0.0010672j -0.00454415-0.00104407j 0.0109123+0.00120058j -0.00471006+0.00305294j -0.0152161+0.0044203j 0.0511738-0.00512477j -0.0496572+0.00450108j -0.00440655-0.0114576j -0.0539895-0.00447442j -0.00323244-0.000334593j -0.062095-0.00325147j 0.177161-0.00250712j 0.131023+0.00431226j -0.346378-0.000691498j 0.263003-0.00680009j -0.103277+0.00433874j 0.00456251-0.00270658j 0.0275214+0.00213093j -0.193143+0.00582712j -0.0273942-0.00896634j 0.00484313-7.54855e-05j 0.0766871-0.00121324j -0.0174334-0.00658069j 0.0313224+0.0070892j -0.0821727-0.00854781j -0.00752148+0.0011342j 0.0195822+0.0013803j -0.0227022-0.00428292j -0.0177296-0.000195917j -0.00214001+0.0109019j -0.0130884+0.00235108j -0.013219+0.000718043j 0.0362472-0.00521657j -0.056528-0.00608786j 0.0279813-0.00824736j -0.00900079+0.000703488j 0.0249423+0.0104671j -0.0267747+0.00414517j 0.0421585-0.00160242j -0.0120717-0.00331123j 0.0405948+0.000551667j -0.00798551-0.000954586j 0.0276137+0.00284252j -0.025545+0.00623408j -0.0116143+0.0076811j -0.0280014-0.00896909j -0.00289114+0.00054652j 0.00195755+0.00120195j -0.018407+0.00834915j -0.00159044+0.0241759j 0.016114+0.00739801j 0.0137172-0.00129471j -0.00288787-0.000452785j -0.00786858+0.00740038j 0.032953-0.00694751j -0.00408689+0.0305626j 0.017239+0.0239659j 0.0219376-0.0305067j -0.00364287-0.00480112j 0.0499046+0.0041107j -0.0499537+0.00393852j -0.0425404+0.0777647j -0.051855-0.0402223j 0.0137929-0.00335744j -0.0405078-0.0283427j 0.00369122-0.0748838j 0.1014-0.0223841j -0.0100928-0.00467697j -0.0483511+0.00837452j 
0.0141605-0.00974438j 0.00769349+0.00890223j -0.00882685+0.00724147j 0.0346012+0.000698729j 0.0185085+0.00136754j 0.0351279-0.00318327j 0.0558729-0.00114303j 0.012855+0.00206689j -0.0107199-0.00601172j 0.0474557+0.000704273j -0.0593539+0.000857884j -0.021451+0.00474379j -0.0094519-0.000613087j 0.0294821+0.00235403j 0.0304908-0.000537479j -0.00933111+0.00145888j 0.0400266-0.00048975j 0.0217039-0.00131756j 0.0826797-0.00107177j -0.00993206-0.00303973j 0.0126726+0.00274432j -0.0269005-0.00411971j 0.019018+0.000629207j -0.00359148+0.00200583j 0.0409249+0.00384643j 0.0591402-0.0037096j 0.0620161-0.00330004j 0.0131312-0.00171656j -0.033202+0.00171557j -0.0414037-0.00105091j -0.0113921-0.000610335j -0.00468843+0.00357119j -0.0197973+0.0037911j 0.0193594+0.00171873j -0.00234099-0.000928502j 0.0340897-0.00089697j -0.0960422-0.00283084j -0.0329019+0.00381265j 0.0934648+0.0107528j 0.214219+0.00918235j 0.0533262+0.0035633j 0.0129385-0.000261129j -0.29217+0.0077272j -0.23526+0.000567721j 0.0499159+0.00211876j -0.0940401+0.00390381j -0.184487-0.000172756j -0.00831716-0.00711643j 0.0612891-7.77996e-05j -0.12199-0.00930649j 0.0280326-0.00420798j 0.0662404-0.00157821j 0.0611036-0.0099388j 0.00931727-0.00567346j 0.0677732-0.00390438j 0.0501622-0.00624831j -0.0313263-0.00467603j 0.0215612-0.0132736j -0.0385896-0.00841212j 0.0241913+0.0024526j -0.0434878-0.000953672j 0.0208785+0.00728533j -0.0388213-0.00124967j 0.00371196+0.0132396j -0.0267546+0.00479953j -0.0114741-0.00236038j -0.0105964-0.00263584j 0.00903711+0.00722294j 0.00791243+0.000212404j 0.00960988+0.0102252j 0.0146187+0.00726552j 0.0232499+0.00373654j -0.0253419+0.00175672j 0.0163563-0.00791134j -0.00687186+0.000603173j 0.0147927-0.00860914j -0.0146443-0.00510087j -0.0350958-0.000511144j -0.0250959+0.00593558j -0.00714117-0.00727507j 0.0137585+0.0083629j -0.0161652+0.00999563j -0.0042079-0.0145744j -0.0138908+0.0213823j -0.0172801-0.00345556j -0.0354203-0.00346165j 0.0256461-0.0167144j 0.00654365+0.0376936j -0.00323773+0.0434727j -0.0605358+0.0207537j 0.0725885+0.0246953j -0.0205243+0.0527059j 0.00390585-0.0208035j 0.00826947+0.0610548j -0.100691+0.00346559j 0.0233848-0.0662997j -0.0509074+0.00701181j 0.00890869+0.00500101j 
0.0026544+0.00227305j -0.00348645+0.00316952j -0.00750289+0.000111687j 0.00332658+0.00221197j -0.00620797-0.000522237j 0.0228286-0.00132001j 0.00793674+0.00222768j 0.00454843-0.000781376j -0.00207461+0.00427118j 0.0510591-0.000455352j -0.0350422+0.000722524j 0.0235156+0.00164928j 0.0217238-0.00335716j 0.0055268+0.00194285j -0.0331676+0.000954576j -0.0170373+0.000442677j -0.00766992-0.000938938j -0.00415931+0.00174575j 0.0391497-0.000794754j 0.0190923+0.00055331j -0.00955221-3.01348e-05j 0.00641796-0.00161618j -0.00959236-0.000536492j -0.0045388+0.000140099j 0.00427787+0.00127398j 0.0279329+0.000214849j 0.016189-0.000602509j 0.00769429+0.00130531j 0.00939311-0.000510951j -0.00295009+0.00101516j 0.0404465+0.0032477j -0.020904+0.00178937j -0.00772122+0.00157235j 0.0656549+0.00569432j -0.0327209-0.00805186j 0.0197958+0.00733501j -0.0280263-0.00385293j 0.0260012+0.00178167j -0.0132157-0.00471225j 0.10597-0.0066061j 0.0906463+0.0134726j 0.0829651-0.0130809j -0.0258148-0.0119361j 0.297949-0.0105294j 0.0119795-0.0121342j 0.0870872-0.00234539j 0.0951463-0.0135795j -0.129934-0.00469452j 0.0145674+0.0016093j 0.0107705-0.0142456j 0.00168751-0.000964377j -0.0125337+0.00643485j -0.00593763-0.0156516j -0.0414974+0.0137784j 0.0134181-0.0186433j -0.00582073-0.0116332j -0.00595856+0.0027991j -0.0114612-0.0137138j 0.000560054-0.0133698j 0.00202908-0.003586j -0.00261203+0.00705997j 0.011159+0.00493288j -0.0296834+0.016473j -0.00118271+0.0265565j -0.00314344+0.0054552j 0.0124516-0.0145057j -0.00417089-0.000271436j 0.00962717+0.010792j 0.00346333+0.019878j 0.00538672+0.00414689j 0.0042732-0.0029832j -0.00449537-0.00262419j 0.00270468+0.010309j -0.000586957-0.0255147j -0.0134915+0.0338583j 0.000496288-0.0206219j 0.00457956-0.0222328j 0.000538808+0.0120321j 0.00960255-0.0141252j 0.021868-0.00635273j -0.00294521+0.00340489j -0.0278933-0.0203539j 0.0170912+0.0214593j 0.0115799+0.042251j 0.023036-0.000833808j -0.00018796-0.0321751j 0.00522624-0.0413296j 1.47899e-06+0.00184639j 0.039518-0.0209422j -0.00232352+0.0427022j -0.0346603-0.015421j -0.0203411-0.0501118j 0.0114359-0.0230856j -0.00733854-0.0301871j 0.0258865-0.0336564j 0.0599125-0.00179416j 0.00767556-0.00325951j 0.00483399+0.00203301j 
-0.00334094-0.00525073j 0.00886042-0.00506319j 0.0130685-0.00251074j -0.00463279+0.00336722j -0.0168401+0.0118186j -0.0392327-0.00254867j -0.0189068+2.00999e-05j 0.0162111+0.00240401j -0.00411707+0.00168479j -0.0532704-0.000682448j 0.00602496+0.00679856j 0.0356707+0.00545232j 0.0242489+3.02732e-05j 0.0209331-0.005119j -0.000623351-0.00828173j 0.00839305-0.0058532j -0.0282158-0.000198901j -0.0543939+0.0028009j -0.0118306-0.00790185j 0.0103354-0.0032761j 0.00964849+0.00176619j 0.041083-0.00537781j 0.0320021-0.00388356j -0.000556277-0.004396j -0.0292175+0.000955164j 0.0713044+0.00391369j 0.0405877+8.32573e-05j 0.0304908-0.00399197j -0.0618188+0.00549012j -0.021787-0.0059021j 0.0129293+0.00184738j 0.0217086+0.0102478j 0.0129332+0.00435601j 0.0281455+0.00270805j 0.0155594+0.00321756j -0.0404708-0.00936583j 0.131768+0.00389984j 0.00976169-0.00295114j -0.0490824-0.00556337j 0.294887+0.00610729j 0.101795-0.015453j -0.136173-0.00630086j -0.104472-0.0057739j 0.0376582-0.0066749j 0.0484376+0.003565j 0.0745356-0.00640774j -0.0541032+0.00145863j -0.0176193+0.0066122j 0.112833+0.00194622j -0.0174103+0.017352j 0.0196087+0.00587724j 0.0173339-0.0041764j 0.0355214+0.00431788j 0.0293771-0.0117613j 0.0329754+0.013466j -0.0226436-0.000591833j -0.0328731+0.0102308j -0.0192003+0.0210099j -0.00486572+0.0153881j 0.0214824-0.00680036j 0.00152662+0.0163206j 0.0276654+0.0043638j -0.0235432-0.0207266j -0.0279533+0.00165291j 0.00823206-0.0107344j -0.00682107+0.0306008j -0.00725995+0.00381833j -0.0226739+0.0139296j -0.0173128+0.0132149j 0.0099034-0.0137015j 0.00844304-0.00853553j 0.032339-0.0161313j 0.00106231-0.0102436j 0.0248941+0.0316849j -0.00856959+0.00728472j -0.0016062+0.0284243j 0.000353707-0.0206554j 0.0147223+0.00300326j 0.0115456+0.0221059j 0.00030918+0.00567184j -0.0114267+0.0154674j -0.0134024+0.0324748j 0.0148139+0.0392967j -0.0303065+0.0421006j 0.0359792-0.027186j -0.0304698+0.0298215j -0.0116242-0.0128203j 0.00296942+0.015472j 0.0207786+0.0157388j -0.00660888-0.00697593j 0.00968115-0.0131554j -0.0256173+0.0101062j -0.00187687-0.064181j 0.0345184-0.00953247j -0.0474617+0.00692619j 0.0134491-0.0202786j 0.0277708-0.00163769j 0.0190843+0.0031661j 
0.00185787+0.00231199j -0.00469533+0.00369251j -0.0111518+0.00690301j 0.00169355+0.00679314j -0.00128516+0.00307531j 0.0106796+0.00550119j -0.0114735-0.000110389j -0.0290746+0.000719291j 0.0505139-0.00837303j -0.0253407-0.0030481j 0.0273661-0.0039621j -0.0519381-0.00136209j -0.0427183-0.00468863j -0.0265227-0.000907001j 0.0299905-0.00361845j 0.0308707+0.00438022j 0.0657439-0.00206773j 0.00164011-0.000531237j 0.017368-0.00304044j -0.000853461-0.00284069j 0.0188889+0.00550147j 0.0232437-0.00186425j 0.0131989+0.00217036j 0.0256665+0.0030161j -0.0392558+0.00365844j -0.0043225+0.000132834j 0.0228651-0.00421991j -0.0572049-5.78233e-05j -0.0350501-2.93931e-05j -0.0680693-0.00190955j -0.0534622+0.00619548j 0.0296187-0.000334475j 0.0203878+0.00276561j -0.0884088-0.00281694j 0.041753-0.0024013j 0.0190004+0.00167798j -0.0353243-0.00260026j -0.151891-0.0064606j -0.0515366-0.00573939j 0.126002-0.00404153j -0.192905-0.0044051j -0.0817763-0.00140717j -0.0752239-2.9696e-05j 0.11977-0.00997741j -0.0381968+0.0069088j 0.0851838-0.00598722j -0.00341948-0.00104389j 0.0237095+0.00108661j 0.0321451-0.00244087j -0.0136877+0.00971553j 0.0408762+0.00140185j 0.024088-0.00556104j 0.0280775+0.0125712j 0.0215151-0.0153199j -0.0221603+0.0127249j 0.0172025+0.0171286j -0.0115507-0.00781222j 0.00296475-0.0188201j -0.0164509-0.0200881j -0.00822253+0.00786628j -0.00896751-0.000741464j 0.0217605-0.000562421j 0.0016283+0.0054141j 0.0174438-0.0150333j 0.00901946+0.0196773j -0.00573637+0.0138541j -0.00204152-0.00495569j 0.00810643-0.0287868j 0.00350975+0.00371555j 0.0184989-0.00113744j -0.00170505+0.0389806j 0.0214812+0.000588104j -0.00903837-0.0115519j 0.00109019-0.00384971j -0.011614-0.0273887j -0.00654039-0.0216555j 0.0057804+0.0183377j -0.00549547+0.000789105j -0.0101596+0.0372756j -0.00457617+0.0132112j 0.00758996-0.032439j -0.0221237+0.0232612j -0.0258469-0.000497957j 0.0160881+0.0102445j 0.026375-0.024696j -0.017061-0.0854665j -0.00796369+0.0295282j 0.0304911+0.0174605j 0.0451489-0.02979j -0.00551072-0.0316485j -0.00955595-0.0648962j 0.00676575+0.0265769j -0.0288687-0.00758688j 0.0227486-0.030674j -0.013004-0.00704558j 0.0111129-0.0100887j 0.000223461+0.0026441j -0.0264167+0.00234832j 
0.0105058-0.011993j 0.00971383+0.00383158j 0.0120531+0.00361467j 0.0205688-0.00598794j -0.0111673-0.000587269j -0.0125342-0.00435534j 0.0329111+0.00138864j 0.0343713+0.00378234j 0.0263517-0.00223369j -0.0454913-6.48626e-05j -0.0166514+0.0042412j 0.00805965+0.00315605j -0.0463288+0.000714612j 0.0416659-0.00196396j 0.0383768+0.00330801j -0.0160841+0.00556427j 0.0356827+0.00996624j 0.00198209-0.00449597j -0.0413196+0.00297902j -0.0471143+0.000852594j 0.0151925+0.0024489j -0.0623062-0.000729989j -0.037341+0.000560842j -0.0179716-0.00461005j 0.0240511+0.00304942j -0.0305376-0.00284577j -0.0525891+0.000744718j -0.0266831-0.0125532j 0.0245869+0.00164206j 0.0392338-0.010889j -0.00124661-0.00635j 0.00631949+0.00479826j 0.00246153+0.0143114j -0.102665+0.000931924j -0.0290349-0.00856262j 0.0410674+0.00376907j 0.0539781+0.0045869j 0.0615311+0.00409099j 0.130383-0.00300708j 0.144324+0.00331654j 0.00580413-0.0023692j 0.233463-0.00517329j -0.00400086-0.00177307j 0.0592755-0.000783834j 0.0214601+0.0106465j 0.0166395+0.00255023j -0.0116504+0.00682268j 0.0113152-0.000694528j -0.000112374+0.00720521j -0.0549156+0.00535367j -0.0435962+0.00461137j 0.0129734-0.0017378j 0.0235805+0.000395946j -0.0101791-0.00424526j 0.050563+0.0113543j 0.00745531+0.00412518j -0.0233314+0.00290394j 0.019917+0.0171034j -0.0112322+0.00673687j 0.00897603-0.0040212j -0.0169995-0.00566695j 0.0135025+0.00310663j -0.0171697-0.00137925j 0.011657-0.00822856j -0.0353942+0.0121244j -0.00423248-0.0114953j -0.0145937+0.02055j 0.00588756+0.0122667j 0.0223565-0.0113066j -0.00809831-0.00488266j -0.00103418-0.00910926j 0.0133876+0.00295788j -0.0190743-0.0189376j 0.0212501-0.00596797j 0.0135075-0.00734403j 0.0115245-0.000919845j -0.0257464+0.0115346j -0.00180474+0.0222055j -0.0208158+0.0129587j 0.00556196-0.0161627j 0.0115735+0.0247854j -0.0234547-0.00105439j 0.0317181-0.0562234j -0.00167121+0.00952831j -0.0152888+0.0173528j -0.0506919-0.00371382j 0.0103506-0.018062j 0.00673182-0.0406728j -0.0113126-0.0879821j -0.00463131+0.00274564j -0.0164191-0.0297649j 0.00867595-0.0495448j 0.0152456-0.00807099j 0.0114708-0.00505317j -0.0204439+0.00201455j 0.015874-0.0222747j -0.0363063-0.00112676j 0.0261621-0.00425535j 
0.00620862-0.00323257j 0.00166414+0.00523629j -0.0020989+0.00448315j 0.0112639-0.00511012j 0.0107414-0.0046438j -0.0031933+0.00171713j 0.0457478+0.00419331j 0.0281522-0.000593677j -0.0208066-0.000230573j 0.0125962-0.00188992j -0.0195013+0.00369054j 0.0369803+0.00480472j 0.0176277-0.00330954j 0.0365058-0.00365327j 0.0115988+0.00148253j -0.0374344+1.69566e-05j -0.0141179+0.00504223j -0.0108515-0.00279185j 0.00304633-0.00322854j 0.0810282+0.0031469j -0.00965948+0.00457573j -0.00377098-0.00141264j -0.000173065-0.000560746j -0.0529522+0.00140243j -0.00839107+0.00320404j 0.0298471-0.00695985j 0.0304412+0.00787202j 0.0350133+0.00415459j -0.0201289+0.00204109j 0.0426418+0.0021733j -0.0471812+0.00366265j 0.0163358+0.0014546j 0.0524173-0.00360004j -0.0737691+0.00380693j -0.0729589+0.00198398j 0.0820695+0.0094068j 0.0321628+0.00408473j -0.176229+0.0035199j -0.0116937+0.00587436j -0.0650347+0.00137493j -0.077877+0.00152367j 0.0537534-0.00345229j -0.111657-0.00269553j 0.0142919-0.00226047j -0.0440819-0.00595498j 0.0306977+0.000332685j 0.025868-0.00909748j -0.00264123+0.000393577j 0.00100652+0.00120478j -0.0115431-0.0155118j -0.00897026+0.005056j 0.0246547-0.000383597j -0.0016322-0.0186592j -0.0116245+0.0134224j 0.0152162-0.00408265j -0.00577512-0.0173994j -0.00912226+0.00587059j 0.0189735+0.00355999j -0.00607759+6.44363e-05j -0.00254315-0.0241357j -0.0152718+0.00707117j 0.0156088+0.0164457j -0.00282936+0.0220212j 0.00689723+0.0101977j -0.00902098-0.00814606j -0.0147982-0.00279697j -0.00983703+0.00720478j 0.000276773+0.0409794j 0.00102822+0.0024398j -0.000535572-0.005817j -0.00660369-0.00161972j 0.00473702-0.00651257j -0.0115271-0.0261476j 0.00826275-0.00182294j -0.0019089+0.0223223j 0.00958333-0.00524567j 0.00178961+0.0144744j 0.0140163+0.0349264j -0.00230652-0.00879591j -0.0168836+0.0230706j 0.0133783-0.0218528j -0.0100023+0.00782236j -0.0195831+0.0231071j 0.0253824-0.0174623j -0.0021056+0.0622587j -0.00779763+0.0149849j 0.0125211+0.0624969j 0.00992677+0.0181393j 0.0116135-0.0357483j -0.0161238-0.0258063j -0.0137422-0.00787852j 0.0121909+0.0124456j -0.018178+0.0263943j -0.0084039-0.0162451j -0.00633034-0.00217336j 0.0194065-0.00844096j -0.00560719-0.00235488j 0.00843088+0.00185161j 
0.00621239-0.00231349j -0.001661+0.00692854j -0.00861181+0.00441619j 0.00632425+0.00258314j 0.00167837+0.000954286j -0.00895266+7.53214e-06j 0.0122109+0.00662872j 0.00345362+0.00561228j 0.0178035-0.00659902j -0.0277774+0.000944253j -0.024341+0.00407936j -0.0164441+0.000627832j 0.0076398-0.000430847j 0.0174975-0.000429987j 0.0126768-0.00229253j -0.0356384-0.000120493j -0.012626+0.00483437j 0.0287221-0.00202561j -0.0114794-0.0116758j -0.00799532-0.00177923j -0.0231116+0.00339984j 0.0170608-0.00593862j -0.0191967-0.00306756j -0.0402961+0.0124268j -0.000788531+0.000790085j 0.0721063-0.00641254j 0.0158811+0.00255945j 0.0322654+0.000356931j -0.0935409-0.00472953j -0.081985+3.4605e-05j 0.0057091+0.00756043j 0.186317-0.00141014j -0.0263536+6.30272e-05j 0.0225747+0.00357238j -0.0284256+0.000934657j 0.0873241-0.00120844j -0.143274-0.000780617j 0.038179+0.0017055j 0.0274281-0.001226j -0.0437533+0.00340512j -0.0706142-0.00694475j 0.0113927-0.00268492j -0.0806998-0.00283585j 0.0147516-0.0127621j -0.0525313+0.00620912j 0.0312369-0.00958749j -0.00737593-0.00253363j -0.0387644+0.00455584j 0.0216519-0.00114516j 0.000854794+0.00108262j 0.00987998+0.00661408j 0.0277153-0.00691502j 0.0406863-0.00141797j 0.0108503-0.00438188j 0.011095-0.00650828j 0.0251173-0.00958359j 0.00102438+0.0015338j 0.0111921+0.0143437j -0.0124628+0.010287j -0.00446579-0.00131371j -0.000168873-0.00587228j 0.00376005+0.0183177j -0.0135108-0.0237579j 0.0194253+0.00781798j -0.00969312-0.00343478j -0.00331638-0.0113232j -0.016282+0.0107995j 0.0108977-0.00301077j -0.00699429+0.0120936j 0.00683121-0.00327683j -0.00899784-0.0391628j 0.0245428+0.00316792j -0.0227051+0.0166432j 1.28487e-05-0.00247265j -0.0138331-0.0335733j 0.0087774-0.00988034j 0.0290599-0.0290686j -0.015648+0.0420133j -0.00554609-0.00793873j 0.0156838+0.0272288j 0.0317783+0.0356341j -0.0313817+0.00269221j -0.0128769+0.0223681j 0.0328362-0.0372755j 0.0111897-0.00947395j -0.0035935-0.0135232j 0.0125766+0.0187604j 0.00824434-0.0243925j 0.0186895+0.0358824j -0.00950819+0.0172127j 0.00157981-0.0284228j 0.0126232-0.00153567j -0.00280783+0.0205025j -0.00411517+0.000264352j -0.0229094-0.0104663j 0.0290818-0.0105309j 0.0014237+0.00498193j -0.0218775+0.00344174j 
0.00232539-0.00576279j 0.00706225+7.69844e-06j 0.0125841-0.0100974j -0.00371085-0.00514497j -0.00970852+0.00206197j -0.000524201-0.0114671j 0.0104688+0.00487756j 0.00593631+0.00448542j -0.0412684+0.0101515j -0.00936762+0.00176001j -0.0130628+0.00442614j 0.0292517+0.00391295j 0.0570138+0.00186004j 0.00429649-0.00193988j 0.00305292+0.000412339j 0.0254944+0.00403218j 0.013829+0.00201351j -0.0522874-0.00127555j 0.0375272+0.00125436j -0.00393321+0.00809937j 0.00482931+0.00104037j 0.0301184-0.00655511j 0.047908-0.0108924j 0.00110799+0.00441145j 0.0214835-0.00336214j -0.0468345-0.000805533j 0.030543-0.00188414j -0.0127578-0.00012666j 0.00774382-0.00426873j -0.0541301-0.00642479j 0.00622149-0.0106198j 0.0337405-0.00288242j 0.113145+0.00685228j 0.0808654+0.00451439j -0.0326689-0.00499318j -0.0369571-0.00721059j -0.0810105-0.00791532j 0.0484236+0.0192066j 0.109897-0.00769691j -0.0839794+0.00693287j 0.111751+0.00442828j 0.0964231-0.00830714j -0.021458-0.0118079j -0.013017+0.000364967j 0.0137868+0.00129955j -0.0360848-0.000638449j -0.00337036+0.00454538j -0.0714614+0.0131795j 0.00436514+0.00176611j 0.00653166+0.0185787j -0.0376112-0.00397618j 0.00040347+0.00840443j -0.0174756-0.00898313j -0.0187371-0.0111477j 0.0264946+0.010533j -0.0187979+0.0106654j 0.00904974+0.00861618j -0.0112138+0.0106177j -0.00843738-0.0087794j 0.0227857-0.0312011j 0.00875756-0.00618764j -0.00690652+0.0108737j -0.0209262+0.00341601j -0.00600719-0.0110389j -0.0264042+0.0140599j 0.00454305+0.0323004j -0.0202491-0.0269367j -0.00827289-0.0404836j -0.00388414+0.0226241j 0.00397309-0.0193914j 0.00570749-0.0223848j -0.0142079-0.00595995j 0.0186264-0.061783j -0.00490859-0.0301797j 0.0121906+0.0124521j 0.0156279-0.041995j -0.000346436-0.0187337j -0.0141972-0.00212312j 0.00183541+0.0219009j 0.00871843+0.000226876j -0.00644544-0.0540861j -0.00940844-0.00401982j 0.0319982-0.0166862j 0.0100699+0.0413147j -0.0184025-0.0345884j 0.00865465-0.0214479j 0.0135022+0.00170343j -0.0132314-0.0174676j -0.00835333+0.0151169j -0.00196206+0.0382841j 0.00941865+0.0177567j -0.00573526-0.0176221j 0.0253841+0.0100307j -0.0215624+0.0148237j -0.00288047+0.000225572j 0.0231581-0.00151816j 0.00632481-0.00536976j 0.0269243+0.00339393j 
