0.0313147-1.37043e-16j -0.0113114+0.000122222j 0.0151114-0.000571098j 0.0497096-0.00054795j 0.00401169+0.000340362j -0.0283434+0.00062906j -0.0193582+0.000406717j 0.0205312-3.79971e-05j -0.00954468+0.000623082j -0.0259862+1.19272e-05j -0.0345144-0.000357359j -0.00148365-2.22844e-05j 0.0142959-0.000271615j -0.0214468-0.00021945j -0.000825799-7.17988e-05j 0.000445603-9.33612e-05j -0.00990144-0.000259528j -0.00959142-8.46243e-05j 0.00460919-1.77903e-05j -0.0147542-0.000187997j -0.0259471+0.000382273j -0.0400273+0.000367442j 0.0589412+0.000675411j 0.00520149-0.000161761j -0.0379303+0.000408054j 0.0793281-0.00096273j -0.022943-9.6559e-05j -0.0307869+0.000253102j 0.000252294-0.000273221j -0.00642495+0.000124803j -0.0730826+0.000600329j -0.0288028+9.57406e-05j -0.00432147+9.01526e-05j -0.0421185+0.000125201j 0.0635985+0.000114407j -0.0654511+0.000263041j 0.0128752-0.000595543j -0.0393653-0.000122442j -0.00480035+8.16954e-06j 0.0156718+0.000377805j 0.0377771-0.000379702j -0.0300486+0.000497352j 0.00634919-0.000402323j -0.0218544-5.40542e-05j 0.0151793-0.000191953j -0.0628246+0.00041821j -0.0406362-0.00127229j -0.0335507-0.000227295j -0.0735604+0.0057066j -0.266124-0.000144105j 0.0549606+0.00202445j 0.822792-0.00461346j 
-0.0113114-0.000122222j -0.0397463+5.76796e-17j 0.0265675-0.00030571j 0.0145182+0.000762467j 0.00108553-0.000316317j 0.00926166-8.49851e-06j 0.0174953+0.000359959j -0.017413-0.000704217j -0.0178432-8.25003e-05j 0.0071337+7.01879e-05j -0.00554785+4.73755e-05j 0.00344922-0.000377712j 0.000633778+0.000424648j -0.00515119-0.00015775j 0.0126376-0.000144645j -0.0261873-0.000482136j 0.0318178-3.98494e-05j 0.00414177-0.000190491j 0.028068-9.84059e-05j -0.00233955-0.000125242j -0.00616858+0.000261822j 0.0133729-8.54535e-05j -0.0050763+5.9427e-05j -0.0171005+3.69215e-05j 0.0287704+0.00018733j 0.0265848+0.000114372j 0.00589782+0.000682709j 0.0414728+9.92688e-05j -0.0232833+0.00019881j -0.00514978+0.000342045j 0.0400502+0.00029035j 0.0144267+0.000253336j 0.0143924+6.08822e-05j 0.00757552+0.00071263j 0.0525228-0.00103499j -0.00439064+0.000571537j -0.0997262+0.000676503j -0.00626884+0.000142439j 0.0210043-0.000597792j 0.0331337-0.000692517j -0.00569226-0.000776183j 0.0412221-0.000563087j 0.00696626-0.000686834j -0.00578664+0.00104669j 0.0444947-0.000255462j 0.0321274+0.00227051j -0.0365275+0.00120134j -0.00611036+0.00112846j 0.336916+0.00013278j -0.108815+0.00525704j -0.801741+0.00463883j 0.0515606+0.00180489j 
0.0151114+0.000571098j 0.0265675+0.00030571j 0.00464378-8.67362e-19j 0.0942442-0.000137385j 0.0399183-8.97918e-05j -0.156755+0.000333865j -0.179529+0.000299422j 0.153303-0.000522192j 0.0182213-0.000296323j -0.0756083-0.000356294j 0.00964406-0.000125659j 0.104346-0.000539389j 0.0345359+0.00071143j 0.0167502+0.000295273j 0.0138073-0.000361594j 0.0900804-0.0010256j -0.0503926-0.000143575j -0.00274064-6.55297e-05j -0.0435113-0.000621566j -0.0413838-0.000171204j 0.0652518+8.21655e-05j -0.0106653+0.000930484j -0.0110131+0.000171795j -0.0111085+0.000617662j 0.0570314-0.00163834j 0.0153929-0.000316531j -0.104444+0.000299966j -0.0338663+0.000167343j -0.0170017+0.000333031j -0.0564913+0.000896952j 0.0138586+0.000255615j -0.144759+0.00044887j 0.00825665+0.000160834j -0.189248+0.000747986j 0.171407-0.00111429j -0.162588+0.000753476j 0.174427-0.000444364j 0.0468135-0.000636456j 0.0516026-0.000664146j -0.0590067-0.000153844j 0.141495-0.00225545j -0.0796465-0.000674762j -0.00816183+0.0001756j -0.186883+0.0029989j 0.20324-0.00216637j -0.175441-0.00141909j -0.194466-0.000120849j -0.186378+0.000680175j -0.412744-0.00142353j -0.342087+0.00627651j -0.126494+0.00387429j -0.200222-0.000352069j 
0.0497096+0.00054795j 0.0145182-0.000762467j 0.0942442+0.000137385j -0.0201568-3.33934e-17j 0.0934949-0.000514979j 0.0333991-0.000175267j 0.00380647+0.000170522j 0.0299072-0.000320883j -0.0543313-0.000831441j -0.00253587-0.000146392j -0.0984312+0.000449193j 0.0654532-0.00110575j -0.0208418+0.000327549j 0.0246074-0.000514292j -0.0146934-0.000229795j 0.0307563-2.37632e-05j -0.0962629+0.00107231j -0.0521308-0.000171162j 0.0414569+0.000863484j -0.0862268+0.000230499j -0.00954948-0.000408024j 0.0378046-0.0001248j 0.0448045+0.000202857j 0.0877192-0.000341909j -0.0434718-0.000994579j 0.00053795+0.0018763j 0.0618314-0.000299379j 0.0299924-0.00024492j -0.0312743+0.000701949j 0.0591694+7.63046e-05j 0.0231481-0.00104198j -0.00812897+0.000957035j 0.0438579-0.000250187j -0.0341069+0.00150825j 0.100441-0.00147046j -0.053531+0.00125025j -0.190417-0.000692087j -0.108989-0.00114371j 0.0232719-0.000875101j 0.12665+0.000444632j 0.0415171-0.000637925j 0.0784545+0.000733626j 0.0165481-0.000644161j -0.0171448+0.00269632j 0.0185933-0.00396293j -0.327202+0.000623635j -0.178838+0.00425032j -0.253626+0.00121292j 0.547046-0.00632316j -0.274175-0.00303418j 0.25176+0.000473705j -0.100098+0.00435814j 
0.00401169-0.000340362j 0.00108553+0.000316317j 0.0399183+8.97918e-05j 0.0934949+0.000514979j 0.133415-2.89265e-15j -0.142068+1.79662e-05j -0.189102+0.000915233j 0.165038+4.47666e-05j 0.0178993-9.49987e-05j -0.0770123-6.3437e-05j -0.0453966+0.00061345j 0.177827-0.000369578j -0.00798127+0.000523923j 0.0382252-0.00044741j 0.0493194-0.000424872j 0.152401-0.000874858j -0.128422+0.000273872j 0.0259297-0.000119678j -0.0644286-7.11179e-05j -0.0142718+0.000297485j 0.055985-0.000435284j -0.0446591+0.000998486j -0.0771548-2.31738e-05j 0.0422731-0.000540187j 0.141352-0.000934822j 0.136028-0.000394557j 0.038274-0.000612099j -0.134393+0.00105736j 0.0242456+0.000146472j -0.0513653+0.000897822j -0.241551+0.000914454j -0.00137497+0.000300132j -0.0343423-0.000100614j 0.0521451+0.000690777j 0.0798038-0.000709316j -0.0841062+0.001116j -0.0392289+0.000537089j 0.111423+0.00120467j -0.0338702-0.000391449j -0.0190098-0.00124576j 0.193024-0.00206084j -0.0724436+0.00166173j 0.00529203+0.00117437j -0.00153446+0.00158732j 0.21085+0.000228405j 0.0452845+0.00211653j -0.289962+0.00605539j 0.42922-0.000272065j 0.190986-0.00353832j 0.288432-0.0035418j 0.0410436-0.00288175j 0.0419042+0.000478815j 
-0.0283434-0.00062906j 0.00926166+8.49851e-06j -0.156755-0.000333865j 0.0333991+0.000175267j -0.142068-1.79662e-05j -0.298945+7.64913e-15j -0.0704367-0.000191303j 0.0554069+0.000624751j 0.150664-0.000319115j -0.0968922+0.000110484j 0.170924-0.000497845j -0.0327126+0.000743599j 0.0500792-0.000132523j -0.155768-0.000594014j 0.0871058+0.000292574j 0.0199393-0.000582848j 0.0281138+0.000208191j 0.0320429-8.66892e-05j -0.0986973-0.000793824j 0.0192703-0.000643866j 0.0199709-0.000717157j -0.163762-0.00070822j -0.0165891+0.000987554j 0.113304-0.000933074j 0.249206+0.000575617j -0.0688612+0.000608947j -0.0287637+0.000628063j 0.0127492-7.99153e-05j -0.0735822-0.000350347j -0.0208131-0.000223112j 0.179329-0.000348716j -0.10337+0.000399675j 0.0499741+0.000232091j 0.00764003+0.000535002j -0.0504509-0.00175065j -0.00577595+0.000495762j 0.198401+0.000687668j -0.034638+0.000779746j -0.0225686+6.95057e-05j -0.0637078+0.000103228j 0.113361+0.00107801j -0.0355695+0.00137477j -0.0943143+0.000591666j -0.202779+0.00161703j 0.15571-0.000702184j -0.138537+0.00321151j 0.475164-6.3778e-05j 0.0205027+0.000644147j 0.265634+0.000483082j 0.0283356-6.30239e-06j 0.0559857-0.000859497j 0.0283589+0.00124911j 
-0.0193582-0.000406717j 0.0174953-0.000359959j -0.179529-0.000299422j 0.00380647-0.000170522j -0.189102-0.000915233j -0.0704367+0.000191303j -0.144522+2.75821e-16j -0.0268846-0.000165539j 0.180358-0.000481173j 0.0580835+0.000615709j 0.1827-0.000273328j 0.00130131+0.000321264j 0.00614866-0.000275952j -0.00192558-4.69019e-05j 0.0835532-0.000150795j 0.0254101+0.000154854j 0.0921837+0.00118663j 0.137776-0.000323975j -0.0686475+0.000621955j 0.173281+3.26766e-05j 0.0607476-0.0011912j -0.121326+0.000121013j -0.120851-6.46779e-05j -0.0816678-0.000559131j -0.0936848-0.000421896j -0.269283+0.00129114j -0.099335-2.87048e-05j 0.0609549+0.000128963j 0.0718284+0.000443557j -0.058665-0.000269497j 0.0800951-0.000110771j -0.00465997+0.000701723j 0.00353954+2.60598e-05j -0.0499087+0.000617926j 0.174205-0.00174831j 0.0204093+0.000667779j 0.0183499+0.000422653j -0.0388764+0.000555941j 0.0249931-0.000187644j 0.00547705+9.9158e-05j -0.00722273+6.10491e-05j 0.0231921+5.41146e-05j 0.150463+0.000755867j -0.197175+0.00204375j -0.140352-0.00203379j 0.222965+0.000443222j -0.380963+0.00476768j -0.300975+0.00266744j 0.117247-0.003624j 0.195759-0.00423505j 0.0261425-0.00191917j 0.0854515+0.000312312j 
0.0205312+3.79971e-05j -0.017413+0.000704217j 0.153303+0.000522192j 0.0299072+0.000320883j 0.165038-4.47666e-05j 0.0554069-0.000624751j -0.0268846+0.000165539j 0.120505-3.38488e-16j -0.0892678-0.000351659j -0.0421038-7.95878e-05j -0.163762+0.000643119j 0.171577-0.000504944j -0.0437392+0.000968257j 0.000225352-0.000749545j 0.00119723-8.51472e-05j 0.0384753-0.000159991j -0.0594312+0.000139394j -0.0795366-0.00015837j 0.182601-0.000277397j -0.0983119+0.00082691j -0.0813898+0.00115493j -0.0135188+0.00122611j 0.163334-0.000142429j 0.0971813+0.000598654j -0.067836+0.000100145j -0.156212-0.000267827j 0.359393-0.00165002j -0.11531+0.00056937j 0.0487726-0.000641078j 0.0621457+0.000808995j 0.115877-0.000196676j -0.051707-0.000425875j 0.0682565-0.000695441j -0.204043+0.000797572j -0.00848051+4.3137e-05j -0.0596322+7.94767e-05j 0.170475-7.96697e-05j -0.000635494+0.00116094j -0.00504416+0.000546065j -0.00850511-0.00127939j 0.0611073+0.000677591j -0.0135401+0.000363532j 0.184451-0.000997333j -0.253718+0.00199522j -0.222903+0.00062392j -0.125799+0.00183662j 0.115859+0.000827345j -0.133174-0.000154435j -0.052001-0.00134983j 0.345574-0.00240229j -0.0951618-0.00128222j 0.0517197-0.00164604j 
-0.00954468-0.000623082j -0.0178432+8.25003e-05j 0.0182213+0.000296323j -0.0543313+0.000831441j 0.0178993+9.49987e-05j 0.150664+0.000319115j 0.180358+0.000481173j -0.0892678+0.000351659j -0.0875773+4.38072e-15j 0.074133+0.000252659j -0.00515433+0.000499093j -0.141075+0.000171681j -0.00878257-0.000224675j 0.0275884+0.000133899j -0.0884932+0.000409043j -0.128791+7.51866e-06j 0.0346739+0.000989495j -0.0351775+0.000572445j 0.0465269+8.16463e-06j 0.0835365+6.95824e-05j -0.0535292-0.000665647j 0.0595351-0.000383343j -0.0502069+0.000622741j -0.215997+0.000367383j 0.196467-0.000438904j -0.15247+0.00133557j 0.312092-0.000454567j -0.0616479+6.35063e-05j -0.0985235+0.00101002j -0.123651+0.00044232j -0.132835-0.000634921j 0.0880329-5.49227e-05j -0.0875336-0.00047202j -0.206108+0.00102013j 0.168094-0.000479603j -0.0844066+0.000245727j -0.0315536+0.0002576j 0.274412-7.5929e-05j 0.125909-0.000132365j 0.014149-0.00125531j -0.00851861-0.000196822j 0.0386665-0.000296455j 0.0457889+0.00154146j -0.229095+0.00155453j 0.409219-0.0015439j 0.218791+0.00197656j 0.084918+0.00241999j -0.0613773+0.00258432j 0.022519-2.69964e-05j -0.0473965+0.000793941j 0.0881387-0.000540721j 0.0151366+0.00107273j 
-0.0259862-1.19272e-05j 0.0071337-7.01879e-05j -0.0756083+0.000356294j -0.00253587+0.000146392j -0.0770123+6.3437e-05j -0.0968922-0.000110484j 0.0580835-0.000615709j -0.0421038+7.95878e-05j 0.074133-0.000252659j -0.0283724+1.92511e-15j 0.142286-0.000314033j -0.0869826+0.000622658j 0.0177104-0.000358936j -0.0484447+0.000583339j -0.0175787-0.00108963j -0.0264499+0.00103872j 0.0792935-0.000680573j 0.0555508-0.000835802j -0.136003+0.00175202j -0.0365038-0.000697518j -0.0318627-0.000222659j 0.034453+0.00183401j -0.297692+0.000216093j 0.236015-0.00139679j -0.219044+0.000194446j -0.217289+0.00134785j 0.210643-0.000742926j -0.191412+0.00127597j 0.159334-0.000658952j 0.0620962+0.000235148j -0.29455+0.00221407j 0.0358456-0.000265794j -0.0758524-0.000312356j 0.00554136-0.00105679j 0.20308+0.000257008j -0.0225138-0.00108874j -0.186387+0.000835402j -0.0574061+0.00140463j -0.123021-0.000174676j 0.0861866-0.00021532j -0.0226631-0.000949663j -0.201527+0.000299064j 0.288557-0.00304373j 0.093627+0.000789201j 0.00402522+0.0012763j -0.222854+0.00115662j 0.136252-0.00348262j 0.0548073-0.00206379j -0.0621766+0.000354777j -0.0572359+0.00172497j -0.0478809+0.0015578j -0.0489453-0.000828161j 
-0.0345144+0.000357359j -0.00554785-4.73755e-05j 0.00964406+0.000125659j -0.0984312-0.000449193j -0.0453966-0.00061345j 0.170924+0.000497845j 0.1827+0.000273328j -0.163762-0.000643119j -0.00515433-0.000499093j 0.142286+0.000314033j -0.0596579+4.18556e-16j -0.0960467-6.27054e-05j -0.0774052-0.000454892j 0.0635996+0.000489591j -0.0176026-0.000501045j -0.0774958+0.000870706j -0.0617562-0.000598113j 0.0371239+0.000278492j 0.0744083+0.000588694j 0.129407-0.000369137j -0.273725+0.000143981j 0.156211+0.000655451j -0.313213-0.00104514j 0.348329+0.000800855j 0.112535-0.000186406j 0.0654145-0.00120977j -0.19205-0.000793633j 0.021501+0.000325169j -0.017425+0.000611045j -0.0246655+0.000390833j 0.258368+0.000351432j -0.0821018+0.000219416j 0.00437305-0.000539772j -0.0390243+0.000335606j -0.061182-0.000413471j -0.00691223+0.000190078j 0.098681-0.00105082j 0.0675759+0.00125597j 0.15857-2.45659e-05j -0.0699841-0.000167291j 0.020706+5.14473e-05j -0.209062+0.00100884j 0.001302-8.48634e-05j -0.150276+0.00210579j 0.0704185-0.00111813j -0.251809+0.000815983j -0.180479+0.000977705j 0.122673-4.29421e-05j -0.00624903-0.00348821j 0.0856821-0.00116481j -0.00646233-0.00115561j 0.0642473-0.000412289j 
