0.541789-1.27676e-15j -0.156076-0.677903j 0.19816+0.0825731j 0.127409-0.220414j 0.0082135+0.140382j 0.0271689-0.0590975j 0.125991+0.034646j 0.0270641-0.0820719j -0.01108+0.056041j 0.151169-0.14927j 0.171483-0.00530044j -0.0677347-0.109043j -0.0363239+0.0418966j -0.0933934+0.160227j -0.11016-0.00391743j 0.0139112+0.00762789j 0.0274296-0.0353093j 0.0171027+0.0225499j -0.0399089+0.0221831j -0.0452826-0.103479j 0.0323238-0.0695256j -0.107031+0.0248675j 0.0213104-0.115406j -0.0631729+0.0970571j 0.00418379-0.028626j 0.0439123+0.0870283j 0.140462-0.035177j -0.050337+0.00754135j -0.0454497+0.0619623j -0.0475105-0.0490484j -0.0789445+0.101761j -0.00359791+0.0099164j 0.0877568+0.0330125j 0.0717889+0.00465809j -0.0581069-0.0404859j 0.000915676+0.0340933j 
-0.156076+0.677903j 0.545396-1.55431e-15j 0.00461028-0.141371j -0.129953-0.21612j 0.195868-0.0859657j -0.110891+0.00688966j -0.0964599-0.159067j -0.0366344-0.0415623j 0.0600091-0.10967j 0.172645+0.00232576j 0.149774+0.1504j 0.00763631+0.0517178j 0.0266852+0.0827529j 0.125479-0.0374627j 0.0292312+0.0578433j -0.000273564-0.0337802j -0.0590233+0.0421825j 0.0710502-0.00503985j 0.0886291-0.0338064j 0.00532442+0.0133058j -0.0780199-0.0995619j 0.0439007-0.0549493j -0.0483979-0.0565356j -0.0507281-0.00944601j 0.140774+0.03802j -0.0465702+0.0851749j 0.00173477+0.0318585j -0.0616883-0.0976608j 0.0142361+0.111751j 0.108375+0.0354038j 0.031641+0.0662256j 0.0458368-0.103067j -0.0408724-0.0233571j 0.016256-0.02235j 0.02865+0.0355248j 0.0133342-0.00886147j 
0.19816-0.0825731j 0.00461028+0.141371j -0.198426-8.9484e-14j -0.308448-0.104807j 0.128918-0.671414j 0.0524974+0.0759052j -0.107043-0.125558j 0.136076+0.0813607j 0.0517642+0.181908j -0.0143029+0.0925479j 0.0932862-0.0420766j -0.0539263+0.271839j 0.120579-0.208693j -0.103848+0.164178j -0.00516925+0.0375714j -0.0293933+0.0142116j -0.033953+0.0624058j -0.0515603+0.00917208j 0.00275832+0.0417354j 0.0767321+0.0176159j 0.0223059-0.0212106j 0.101642+0.026493j 0.0326685+0.0979687j 0.0574327+0.0446406j 0.101549-0.0675075j 0.0590699+0.00434975j 0.0068308-0.0995102j 0.0223029+0.0234125j -0.0774376+0.0895057j 0.0551277+0.00884549j -0.0416518+0.0502344j 0.039935+0.0915092j 0.0446539+0.0575829j -0.051392-0.0211373j 0.0600355-0.0939445j -0.0800415-0.0716759j 
0.127409+0.220414j -0.129953+0.21612j -0.308448+0.104807j 0.432874+1.57911e-13j 0.314207+0.109984j 0.272916-0.033274j 0.0208412+0.0598j -0.191417-0.154174j -0.166393-0.169597j -0.21533+0.102271j 0.209289+0.110352j -0.175117+0.160269j 0.186777-0.152999j -0.0143967+0.05472j -0.272119-0.0299809j 0.0433559+0.113121j 0.122875-0.0635508j -0.00486376+0.0340544j -0.0174443-0.0411849j 0.0250019-0.0074601j -0.0759446+0.00309403j 0.0438253+0.0109947j 0.00399509+0.00581497j -0.0290239-0.0735549j 0.00496751-0.0428489j 0.014018-0.000839478j -0.00587205-0.0418914j 0.0283584-0.0739218j -0.0090114+0.00935189j 0.043109-0.0119997j 0.0765538+0.00189566j 0.0229207+0.00610495j 0.015988-0.0401014j 0.00670034+0.0356149j -0.122868-0.0588178j -0.0380108+0.11473j 
0.0082135-0.140382j 0.195868+0.0859657j 0.128918+0.671414j 0.314207-0.109984j -0.194481+1.09079e-13j -0.00135211-0.040165j -0.104461-0.167123j 0.118111+0.203414j 0.0492866+0.266783j 0.093604+0.0531797j -0.0147792-0.0852569j -0.0502127+0.189315j 0.137898-0.0862285j -0.104606+0.124877j 0.0476262-0.0757229j -0.0792802+0.0748799j 0.0647142+0.0922088j -0.0492582+0.0246255j 0.0446722-0.0560031j -0.0405001+0.0929426j -0.0432265-0.0487555j -0.0601877+0.000727003j -0.0714126-0.0896724j 0.0207595-0.0250049j 0.00738701+0.098756j -0.0585941+0.000983767j 0.101682+0.0647065j 0.0584378-0.0454992j 0.0389526-0.099672j -0.0984934+0.0196519j 0.0234591+0.0209333j -0.0769598+0.0173015j 0.00203749-0.0406876j -0.0511828-0.00747297j -0.0367328-0.0618214j -0.0292824-0.0113903j 
0.0271689+0.0590975j -0.110891-0.00688966j 0.0524974-0.0759052j 0.272916+0.033274j -0.00135211+0.040165j 0.021744+7.61058e-14j -0.0882139-0.0203898j 0.0424168+0.0190345j 0.15975+0.0640484j -0.0733233+0.0209969j 0.0424376-0.141357j -0.0387645+0.0630298j 0.122437-0.0586529j -0.0959819-0.0751868j 0.182949-0.502685j -0.0130808+0.00445715j 0.0297581+0.0512428j 0.021397-0.00552988j 0.035001+0.137609j -0.0220385-0.0174293j 0.0100688-0.00585335j 0.0864997-0.0724701j -0.0259377+0.165942j -0.00884532+0.0158438j -0.0286851-0.0574159j 0.0690253+0.175552j 0.0852712+0.00225427j 0.0819442-0.0026331j -0.0654164+0.0381294j -0.0759848+0.218267j 0.0441046+0.0211038j -0.118983-0.00601334j -0.105774+0.239704j -0.0591565+0.156506j -0.178985+0.205234j 0.0928721-0.172464j 
0.125991-0.034646j -0.0964599+0.159067j -0.107043+0.125558j 0.0208412-0.0598j -0.104461+0.167123j -0.0882139+0.0203898j 0.13801+4.53304e-13j -0.107241-0.0720251j 0.102141+0.0276064j -0.00347669-0.159898j -0.0299246-0.11813j 0.19821+0.123573j 0.284297-0.211933j 0.118344-0.495485j -0.100806-0.0795477j -0.0625288-0.0424166j -0.121311-0.0605325j -0.0157745+0.0410355j -0.0742627-0.0638269j -0.0571775+0.0794656j -0.0237521+0.0318624j -0.0611313-0.0779717j 0.0694673-0.00159429j -0.0619063+0.0273071j -0.0467212+0.0906018j 0.0926303+0.0955248j 0.0209584-0.063268j -0.019793-0.175315j 0.0760923-0.204571j 0.134236+0.0761644j 0.0120074-0.10257j -0.0130155+0.0783308j 0.167903-0.1958j 0.0942132-0.0256982j 0.0634511+0.0928581j -0.15009-0.0310142j 
0.0270641+0.0820719j -0.0366344+0.0415623j 0.136076-0.0813607j -0.191417+0.154174j 0.118111-0.203414j 0.0424168-0.0190345j -0.107241+0.0720251j -0.202095+2.17604e-14j 0.19426-0.0522349j -0.012563-0.0899175j 0.252324+0.0321701j -0.0359108-0.0203946j 0.0709515-0.37865j 0.287158-0.216542j 0.126494-0.0552324j 0.0657526+0.0377117j 0.0882446+0.00389242j -0.0317961-0.0859027j 0.119003-0.0278574j 0.092265+0.0997794j 0.0257698-0.0276121j -0.0577664-0.0219582j -0.0785387-0.0812349j 0.080153+0.0606157j -0.0121191+0.0601528j -0.131698-0.181876j 0.0667346-0.00937334j 0.0800977-0.102317j 0.0202002+0.0668283j -0.0691843-0.144075j 0.0507399-0.0228561j -0.127121+0.0805921j -0.0449027-4.80608e-05j -0.0658334-0.0117352j -0.134011+0.0264283j 0.15208+0.0623159j 
-0.01108-0.056041j 0.0600091+0.10967j 0.0517642-0.181908j -0.166393+0.169597j 0.0492866-0.266783j 0.15975-0.0640484j 0.102141-0.0276064j 0.19426+0.0522349j -0.12673-1.94229e-12j -0.137629-0.258824j -0.158983+0.0538019j 0.214985+0.221272j 0.0304562+0.012222j -0.199725-0.129219j 0.0367178-0.0621876j 0.135027+0.0297058j 0.103134+0.0223441j 0.115369+0.0373183j -0.0575692-0.0152197j 0.0407687+0.0777996j 0.0309231+0.0454789j -0.0932209-0.145333j -0.0971316-0.0993932j -0.0433217+0.0267279j 0.0958599+0.00564714j -0.00111645-0.187574j -0.0431084-0.0505748j -0.0600895+0.033928j -0.165044+0.0455332j -0.00709627+0.0835708j -0.0723289-0.00369478j -0.0326737-0.011754j -0.103705+0.00682985j -0.0644276-0.00513078j 0.106674+0.0304768j 0.07038-0.0121347j 
0.151169+0.14927j 0.172645-0.00232576j -0.0143029-0.0925479j -0.21533-0.102271j 0.093604-0.0531797j -0.0733233-0.0209969j -0.00347669+0.159898j -0.012563+0.0899175j -0.137629+0.258824j -0.00811278-1.09127e-12j -0.359796+0.125388j 0.182744-0.0514711j 0.257445+0.0321562j -0.0387157-0.118797j 0.0429713-0.145834j -0.0195444-0.0709465j -0.039206-0.0151718j -0.0945444+0.0549455j -0.0861881+0.0515009j -0.0556155-0.0225602j -0.0777283+0.0116904j 0.0160711+0.0133997j 0.0499125+0.0977831j -0.0809145-0.0191647j -0.0678302+0.0170956j 0.0623831+0.0351142j 0.0325768-0.0574638j 0.0103866-0.0687925j -0.0181891+0.0515304j 0.0532178+0.0160596j 0.0636145-0.0407982j -0.0874474+0.0680675j 0.0362825+0.0206106j 0.140045+0.0217221j 0.0779286+0.0460008j -0.0260663-0.0969248j 
0.171483+0.00530044j 0.149774-0.1504j 0.0932862+0.0420766j 0.209289-0.110352j -0.0147792+0.0852569j 0.0424376+0.141357j -0.0299246+0.11813j 0.252324-0.0321701j -0.158983-0.0538019j -0.359796-0.125388j 0.00608458-8.18776e-13j 0.132758+0.25499j -0.0224293-0.0899359j -0.00575814-0.167321j -0.0802798+0.0186147j -0.0269783+0.0970382j 0.0739423-0.0488792j 0.144152-0.0239472j 0.0410368-0.0200008j 0.0889667+0.0689883j 0.0698881+0.0410162j -0.0524524+0.00840807j -0.0067136-0.0498525j 0.0145415+0.0721814j 0.0325481+0.0561422j -0.0624169+0.0401672j -0.0717469-0.017902j -0.0765887+0.0181128j 0.0549463-0.103316j -0.0175166+0.0103343j -0.0767832-0.00985602j 0.0566895-0.0251137j -0.0825846-0.0493447j -0.0996198-0.0525973j -0.0445497+0.0172589j -0.0226742+0.0717106j 
