-0.148246-1.83586e-14j -0.0372463-6.8484e-05j -0.040082-0.000483622j 0.0938809-0.00170195j -0.0302766-0.00049188j -0.0243453-0.00111041j 0.0965064-0.00242149j -0.0330263+0.00133691j -0.0141287-0.000928684j -0.12185+0.002493j -0.0792675+0.00102544j -0.0272952+0.00305745j 0.304826-0.00223887j -0.244753-0.00421331j 0.658957-0.00617106j -0.150661+0.00383784j 0.0155827+0.00631408j 0.0185091+0.00485603j -0.0684328+0.00266413j -0.0201143-0.00536863j 0.0392321+0.00171285j 0.0542559-0.00382828j 0.0343121-0.00286303j 0.000826875+0.000941319j 0.03941-0.00368502j 0.00719218+0.00834022j 0.0291217-0.000901042j -0.0327503-0.00131712j 0.0449211+0.000399866j 0.0178524-0.00305885j -0.0334085+0.00227723j 0.047774-0.00155532j 0.00245736-0.00838346j -0.110484+0.00175621j -0.0671431-0.00266272j 0.11907-0.00237762j -0.0486621-0.0240866j 0.0267126+0.000554115j -0.0369643+0.00383946j -0.00900922-0.00737132j -0.0242258+0.000410128j -0.037351+0.00269813j -0.0146071-0.0019356j -0.00140455+0.00884234j -0.00717228+0.000132247j -0.00338854-0.000268753j -0.028607+0.00308563j 0.0180452+0.00411464j -0.00979617+0.0060818j 0.0171636-0.00287777j -0.00696098-0.00160087j 0.00242515+0.00434752j -0.00432069+0.00557917j 0.0172618+0.0016779j -0.00347835-0.00152426j -0.00761337-0.0065042j 0.0150769-0.00481686j -0.00593872-0.00220514j 0.00641454+0.00432504j -0.00483663-0.00170062j -0.000966739-0.00115819j 0.00771297+0.00574384j 0.0153048-0.00187619j -0.0105664-0.00496016j -0.00215528+0.00161925j 0.00626724-0.000296038j 0.00879958-0.0010064j -0.0144798-0.00466357j 0.00660549+0.00688801j -0.0150262+0.00262976j -6.40289e-05-0.00471705j 0.0143455+0.00164947j 0.00146958+0.00179629j 0.00583042+0.00602441j -0.000607578+0.000119214j -0.000465318+0.00651871j 0.0114298+0.0110729j 0.0139543+0.00679387j 0.00184516-0.0105733j -0.0149566-0.00934829j 0.0282631+0.00430406j 0.023583-0.0113815j 0.0194487+0.00419574j 0.0232296+0.004833j -0.0157743+0.00735135j -0.00250627-0.0270826j -0.00749991-0.00749807j -0.00695144-0.0075798j -0.00919997-0.0426323j -0.0599484+0.0774436j -0.0128761-0.142693j 0.0115754+0.0140287j 0.00363174+0.0555225j -0.0179643-0.0747738j -0.122636-0.0327492j 
-0.0372463+6.8484e-05j 0.155399+4.37827e-14j 0.0939857-0.00136167j 0.0954767-0.000311819j 0.0261728-0.000418304j 0.095939-0.000948108j 0.0570601+0.000956512j -0.00380515-0.000492694j 0.0531324-0.000244888j -0.0926608-0.00157637j -0.0122278-0.00127324j -0.125821-0.000477753j -0.0167832+0.00558656j 0.725332-0.00730353j 0.23935+0.00416941j -0.0236615-0.00661284j -0.156662+0.00396588j -0.0799865+0.00212783j -0.0456472-0.00503881j 0.00920037-0.00251561j -0.0313323+0.00636403j 0.048883+0.00109034j 0.0251988+0.00216209j -0.00929982+0.00137882j -0.00291581+0.00401261j -0.024056+0.00042223j 0.0136448+0.000498136j 0.0115244-0.00272158j 0.0146391-0.00210527j 0.0289701+0.00149172j -0.0102752-0.00409566j -0.0554666+0.0101392j 0.00244398-0.000845234j -0.0493335+0.00548354j 0.111273-0.00120419j 0.0543671+0.0234904j 0.117487-0.0012821j -0.0354369+0.00287791j -0.0299355-0.000503968j 0.0296407-0.00246351j -0.00785732-0.00786256j -0.0148865-0.00370924j 0.0373612-0.00347257j -0.010067+0.00269144j 0.00599571-0.000735334j -0.00675135-0.0074588j -0.0229802-0.00501891j -0.0122131+0.000797198j 0.00289759-0.00130015j 0.0161325+0.00464704j -0.00340935-0.000476726j -0.0139099-0.00406958j -0.0255402-0.00334547j 0.00442817+0.00355501j 0.00402318-0.00124067j -0.00907454+0.00336156j 0.000707104+0.00140383j -0.00831393-0.00355515j 0.00418577-0.000317171j -7.48913e-05+0.00186781j 0.00859803+0.00372931j -0.0178774-0.00552303j 0.00152583+0.00429626j 0.005621+0.00175368j 0.0104484-0.000362571j 0.000507344+0.000706876j -0.00357719+0.00260224j -0.00407046-0.000153423j 0.00422204+0.00365345j 0.0211059-0.000137553j 0.0139554-0.0107222j 0.00777556-0.00584834j -0.0136932+0.0118775j 0.00927541+0.00406025j -0.000589133-0.00329261j -0.00806247-0.00628432j 0.000885162+6.69249e-05j 0.00509204+0.00260054j -0.0214704-0.00702745j -0.0333317+0.00589862j -0.00118504-0.0186368j -0.0211835-0.00208272j -0.000562356-0.00211907j -0.0145488+0.00334959j -0.013942-0.0217332j 0.0159607-0.0110524j -0.0144116-0.00951964j 0.0153571+0.0333362j 0.00110118+0.00324888j -0.0143599-0.133288j 0.062342-0.0815357j 0.00220888+0.0467316j -0.00468039-0.0432909j 0.115905+0.0308413j -0.0177209-0.0753848j 
-0.040082+0.000483622j 0.0939857+0.00136167j 0.0259218+5.6205e-16j 0.0768169-0.00076344j 0.027541-0.000264375j 0.0339946+0.00141822j 0.122187-0.00189826j -0.0550884+0.00150754j 0.0453135-0.000334915j -0.135447-0.00110852j -0.0510568+0.000856839j -0.385332+0.00392256j 0.618619-0.00538096j 0.00601818+0.00742673j -0.474224+0.00290696j -0.0274507-0.00306888j -0.0958893+0.00348404j -0.0275172+0.00301121j -0.0480637+0.000630771j -0.0280503-0.000961907j -0.00173547+0.00386042j 0.0606244-0.00281698j 0.0273359-0.00571735j -0.0118757-0.00272366j -0.00555034-0.000180741j 0.0351154+0.0064693j 0.0382826+0.00125927j -0.0219666-0.0025062j 0.120583-0.00728862j 0.0242704+0.00106492j -0.0433314-0.000923558j -0.00112075-0.00709267j -0.0760352+0.000491493j -0.101467-0.00642135j -0.10383-0.0224266j -0.0619945-0.00511197j -0.0108016-0.00706489j -0.0212336+0.000828905j -0.0211284+0.00160434j 0.0175604-0.00257411j -0.00299435-0.00447439j -0.0163767-0.00251096j 0.0215198-0.00110083j -0.00760319+0.000294945j 0.000986244+0.000689885j -0.00480666-0.00359071j -0.0129402+0.000667691j 0.00779136+0.00209074j 0.00429024+0.0118656j -0.000581828+0.00266167j 0.00278891+0.00128972j -0.00619817+0.00444351j -0.000271326-0.00689044j 0.0129608+0.00207454j -0.0139531+0.00427421j -0.0149287-0.00425528j 0.00934502-0.00226064j -0.0136417-0.00144454j -0.00138709+0.00510454j -0.0208785+0.00337544j -0.00993443+0.00111205j 0.01097-0.00176874j 0.00210863-0.00546506j -0.00468253-0.000239086j -0.00877231+0.00338421j 0.0132815-0.00151238j 0.0168556-0.0047449j -0.0109476-0.00480322j 0.00762252+0.0101812j -0.021408+0.0102948j -0.000611722-0.00563076j 0.0244016+0.0021595j -0.000848248+0.000162672j 0.00802441+0.0140575j -0.00525867-0.00666725j 0.00475316-0.00324413j -0.0124686+0.01924j 0.0045724+0.0131888j -0.0343165-0.00818815j 0.0111367+0.000120106j -0.0235001-0.00144643j -0.000596773+0.00616059j -0.00430926+0.00841993j 0.0240256+0.041801j 0.0181344+0.00872566j 0.00171956-0.0375144j -0.0017366+0.0701077j -0.0103251+0.0169864j 0.00505391-0.039577j -0.0169674-0.0143191j 0.0102995-0.00302488j 0.00399068-0.0718984j 0.0404207+0.0341292j 0.0021919-0.0116259j -0.0177219-0.0147692j 
0.0938809+0.00170195j 0.0954767+0.000311819j 0.0768169+0.00076344j 0.0930135-9.93129e-16j 0.076578+0.00059293j 0.0324414+0.00194648j 0.107558-6.20913e-05j -0.136938-0.00052971j 0.0884821+9.34208e-05j 0.032875-0.000731258j -0.0306745+0.00103007j -0.668797-0.001366j -0.485003+0.000392837j -0.310129+0.00241101j 0.103226-0.00430375j 0.0937716-0.00524728j -0.0734026-0.00234341j -0.0521923+0.00379747j -0.052584+0.000764043j -0.0623032+0.00136403j -0.00821296+0.0010916j 0.0389126+0.00194593j 0.0373661-0.00622657j 0.0119271-0.00737865j -0.0537654+0.00438207j 0.0418872+0.000281435j 0.0246677+0.00405829j 0.0113054-0.00165358j 0.0269269-0.00112757j 0.049894-0.00199862j -0.0460856+4.3763e-05j -0.1187+0.00792701j -0.0340644+0.00551868j -0.0392783-0.0072913j 0.0471277-0.00342278j 0.0193479+0.00855815j -0.041079-0.00153753j -0.0332253+0.00187664j 0.0142225+0.000282618j 0.0142826+0.00220317j 0.0186703-0.00392863j 0.00799452-0.00342889j 0.0350548+0.00471548j -0.0104351-0.00384963j -0.00258882-0.00258146j -0.00501525+0.00234629j -0.0161282+0.00567291j 0.00473253+0.00167562j 0.00601706+0.0108674j -0.00106909+9.57379e-06j 0.0202734+0.00431576j -0.00713612+0.00617207j 0.00213781-0.0124156j 0.000781172-0.00171555j -0.00757366+0.00283278j -0.012493+0.00362435j 0.00527485+0.00493103j -0.0174972-0.00257046j -0.0106792-0.00241896j -0.0287566+0.000969255j -0.00744935-0.00396717j 0.00690703-0.00456317j -0.0116779+0.000525421j 0.00127608+0.00401623j -0.00393687+0.000636944j 0.008615+0.00123678j 0.0132419-0.00546872j -0.0112525+0.00433816j 0.00559425-0.00332958j 0.0175818-0.00255732j -0.00247818-0.0190011j 0.000190224+0.00538413j 0.00501518+0.00302714j 0.0196952+0.00589271j -0.0203485-0.01049j -0.00878145-0.0147114j -0.0135051-0.0059414j 0.00158296-0.00123346j 0.0278363+0.00104559j 0.00576206+0.00493411j 0.00556473-0.00984533j 0.0149923-0.00999482j -0.0216328+0.0369515j -0.00978009+0.0236993j -0.00436714-0.0547163j -0.00360215-0.0227591j -0.00821616-0.00145969j -0.00181807-0.0385762j -0.00953713+0.0332954j 0.00639004-0.0199516j 0.015488+0.00756651j 0.0255116+0.00374918j 0.0158773+0.0535282j 0.0194752+0.00829525j 0.00159419-0.00874239j 
-0.0302766+0.00049188j 0.0261728+0.000418304j 0.027541+0.000264375j 0.076578-0.00059293j -0.0238545-1.19761e-14j -0.000728157-0.000373234j 0.0553905+0.000369533j -0.0549467+0.000613963j 0.0832656-0.000767795j -0.19351+0.00231315j -0.879394+0.00161546j 0.183448-0.00112468j -0.16544-0.0013568j -0.00666553-0.000849903j -0.125902-0.00109531j -0.0205297-0.000581803j -0.0285531+0.00202857j -0.027571+0.00322062j -0.0321097-0.00156541j -0.000756159-0.00568522j 0.0202796+0.000627189j 0.0033566-0.00092271j 0.02983-0.00017627j 0.00694912+0.000242579j 0.0114279-6.80867e-05j -0.0152555+0.00362031j 0.0676993-0.00879848j -0.0302962+0.00884758j -0.00699973+0.00670957j 0.029919+0.00169841j -0.0820696+0.00371447j 0.0840199+0.00528815j -0.0978573-0.0064925j 0.0517823-0.00168019j 0.00420244-0.00320173j -0.0225144-0.00268136j -0.00408003-0.00215424j -0.00470352-4.00618e-05j -0.00849812+0.000170672j 0.00335008-0.00209002j -0.0050316-0.00244755j -0.00697264+0.000412378j 0.00944511+0.00158112j -0.000930421+0.00593428j -0.00134554+0.00104778j -0.00129005+0.000365181j -0.0164841-0.00047601j -0.00227879+0.000640728j -0.00521806-0.0014836j 0.015411+0.000564078j -0.00294999+0.00548443j 0.00604262-0.00274935j -0.0020525-0.000278375j -0.00451783+0.00304207j 0.00651291-0.00692544j 0.00170096+0.00334978j 0.00349653-0.00957405j 0.0080805-0.014704j 0.00383046+0.00722566j -0.0102774-0.00207306j 0.00302844+0.00997374j -0.00809812+0.00111537j 0.0107812+0.00190484j -0.0254912+0.00135211j -0.0028191+0.0100069j 0.00437659+0.00129277j -0.00306964-0.00936532j -0.00938129+0.000870042j -0.0405514+0.0191882j 0.0233472-0.00728113j -0.0419208+0.00229462j -0.00662274+0.0325537j -0.0197506+0.0170139j 0.039926+0.00990687j 0.031608+0.0232686j 0.00617911+0.032546j 0.0287921-0.00843241j -0.0214291-0.0381264j 0.0221164+0.0135255j -0.00991627-0.0359227j 0.0161133-0.0130565j 0.0129475-0.00231397j -0.00277874+0.0510032j -0.00221197-0.0418539j 0.00273-0.00896843j 0.00380334-0.0224314j 0.0012568-0.0439002j 0.0107207-0.00124549j -0.00379056-0.0169901j -0.00769976+0.00483251j 0.000430014-0.00889492j 0.00299814-0.00126914j 0.00149081+0.00501571j -0.00027852-0.00295508j -0.00918953-0.00528728j 
-0.0243453+0.00111041j 0.095939+0.000948108j 0.0339946-0.00141822j 0.0324414-0.00194648j -0.000728157+0.000373234j 0.195139+1.8369e-14j 0.0809407-0.000723745j 0.0309526+0.00205225j 0.119437-0.000224988j -0.77573+0.000322751j 0.314452+0.00011356j 0.175554-0.000251692j -0.215608+0.00156131j -0.153063-0.000159216j -0.106717+0.000885458j -0.00198612-0.00435613j -0.0810212+0.00303096j -0.0246872-0.000976788j 0.00181745-0.00349554j 0.0553457-0.00156527j -0.0288853+0.0116683j 0.0636782-0.00613807j 0.0555555+0.00272759j 0.0110441+0.0031607j 0.0922161-0.00897419j -0.0526508+0.00260928j 0.0561865-0.00560946j -0.0328943+0.00225686j 0.105081+0.00220716j 0.0124742+0.00263031j -0.0110402-0.0100507j 0.07132+0.00799178j 0.0715375-0.00535975j 0.0488729+0.00496247j -0.00679368-0.00388643j -0.0138549+0.000305714j -0.0279596-0.00488842j -0.0208719+0.000764403j -0.00882329+0.0012971j 0.0193339+0.000299822j -0.00439713-0.00352591j -0.003882-0.00132906j 0.0152573-0.0037401j 0.00217196+0.00096748j 0.00978356+0.00647582j -0.00522989-0.0179282j 0.00367784-0.0036283j -0.0089357-0.00432999j 0.0017345-0.00174699j 0.00450573+0.00426373j -0.0220706+0.00871435j -0.0120619-0.00362685j -0.0234344+0.00848159j 0.0132543+0.00910282j 0.00347004-0.00156471j -0.00161285-0.0153045j -0.0068803-0.0160232j 0.00129209-0.0124174j 0.0231431+0.00776941j -0.00157861+0.00275409j -0.00714632+0.00929586j 0.00440515-0.00670503j 0.0320965+0.00619047j -0.0177429+0.000916818j 0.027436+0.00434276j -0.000524513+0.000458815j -0.033086+0.0239072j 0.0153101-0.00462561j 0.0174915+0.008663j -0.00964966-0.00742868j 0.00572895+0.00609088j -0.0224426-0.0344653j 0.0052133+0.00494702j 0.0192855-0.00181733j -0.00146426+0.0144052j 0.0263963-0.00286991j -0.00162726+0.0121617j 0.0143718-0.00206256j 0.000548703+0.0155497j -0.012338-0.00121332j 0.00341511-0.0153279j -0.00704353-0.048304j -0.000277638-0.00804701j -0.00174641+0.00677859j -0.00184604-0.00243052j -0.000931267-0.0111935j 0.00845128-0.0166755j 0.00582057+0.0484508j 0.00983058+0.0069946j -0.011999-0.00642803j 0.0105654-0.0170259j -0.000881987-0.00942232j 0.00688504+0.000895693j 0.00868838-0.00150657j -0.0120521-0.00982441j 
0.0965064+0.00242149j 0.0570601-0.000956512j 0.122187+0.00189826j 0.107558+6.20913e-05j 0.0553905-0.000369533j 0.0809407+0.000723745j 0.146497-1.89134e-14j -0.335263-0.00123509j 0.720409-0.000175184j 0.264008+0.00147162j 0.120835-0.00087492j 0.311657-0.000590901j 0.0956319-0.00205478j -0.0705689+0.000163151j 0.0223682-0.000504542j 0.0842026-0.00390107j -0.032308-0.00332958j -0.0770458+0.00647853j -0.0435897-0.0018902j -0.0308575-0.00192094j 0.00200419+0.00081688j 0.0364932-0.002859j 0.0591724-0.00352441j 0.00934011-0.00274696j -0.0878475+0.00717784j 0.0456676-0.0033991j 0.120745+0.000456447j 0.0900704+0.00111755j -0.00902384+0.00683148j 0.0399969+0.00615878j -0.0104874+0.00896929j 0.0130505+0.00670473j 0.0181747+0.00179632j 0.017895-0.00698951j -0.0262389-0.00392609j 0.0062594+0.00176443j -0.00836952-0.000407949j -0.0185946+0.00127079j 0.01863-9.32743e-05j 0.00237172+0.00152647j 0.0138156-0.00455139j 0.0145404+0.00062868j 0.0303573+0.00599697j -0.00657162-8.62435e-05j -0.000269994+0.00256336j -0.0067495-0.000146642j -0.0231249+0.00333827j -0.00555824+0.00231467j 0.00392783+0.002598j 0.0114423+0.0029047j 0.00569525+0.0109178j 0.000550265+0.00542256j -0.00286985-0.0153646j 0.00242923-0.00302536j 0.00411236-0.00510682j -0.00702495+0.020781j 0.00187969-0.00268398j -0.00322948-0.0151352j -0.00683425+0.00343861j -0.0295644-0.00965965j -0.00283431+0.00440489j -0.0219242+0.000623704j -0.0195105+0.000656201j -0.0265131+0.00293067j -0.00747429+0.00741677j 0.0201686-0.00626231j -0.0302532+0.00989754j 0.0112984-0.0209209j 0.0287236+0.00566095j -0.017148-0.0191249j -0.0201489+0.000832662j -0.00710465-0.0302606j -0.0144059-0.024282j -0.0365106+0.00798288j 0.0251631-0.030809j -0.0163621+0.0164584j 0.0143727+0.015722j -0.00334889-0.044741j -0.00694073-0.0397477j 0.00167853+0.00450844j 0.00498567+0.00599796j 0.000758227+0.0306562j 0.00180742-0.00205339j -0.000805544-0.0293726j 0.00329084-0.00645572j 0.0111128-0.00438271j 0.00577841+0.00129687j 0.0048687+0.0154766j -0.00735679-0.00780642j 0.0034967-0.00995026j 0.00849424+0.000501867j 0.01059+0.00360481j 0.00470575+0.0192461j 0.00998979+0.00576872j 0.000263462-0.00478682j 
-0.0330263-0.00133691j -0.00380515+0.000492694j -0.0550884-0.00150754j -0.136938+0.00052971j -0.0549467-0.000613963j 0.0309526-0.00205225j -0.335263+0.00123509j 0.650926+9.96148e-14j 0.53815-0.00113504j -0.0249709-0.000387306j -0.0721605+0.000466469j -0.213944+0.000113071j 0.0454357+0.00222531j -0.0450985-0.00177539j 0.0606794+0.00128001j -0.0273315+0.000443078j -0.00039388+0.00133236j 0.042087-0.00829906j 0.0646522-0.00150878j 0.0676892+0.0034876j -0.025109+5.94347e-05j -0.0608926-0.00219958j -0.0579396+0.00279637j -0.0628635+0.00734793j 0.00947786+0.00439812j -0.123388+0.00236319j -0.00634748-0.000632889j 0.0518645+0.00298731j -0.042482-0.00876318j 0.0638979+0.0126041j -0.0444124+0.00194495j -0.000174024+0.000242185j -0.00962185-0.00676087j -0.029103+0.00674739j -0.00432844+0.00504834j 0.0132226+0.00169016j -0.0090134+0.00200217j 0.00352106-0.000772557j -0.00809208+0.000284165j 0.00473351+0.00140034j -0.00471287+0.00218271j -0.00108374-0.000668385j -0.0154345-0.00836722j 0.00775428-0.00239489j 0.00789232+0.000723881j 0.0063617-0.00118391j 0.0313644-0.00546846j -0.00641747-0.00188147j 0.00356582-0.00595008j -0.0114766+0.00455465j -0.0136394-0.00121092j 0.0071218-0.0103286j 0.00238452+0.0116937j -0.00848113+0.00340315j -0.00240724-0.0219375j 0.00367726+0.0214005j 0.00099527-0.0176019j 0.0252967-0.00363754j 0.0116829+0.0113344j 0.013479-0.00182771j 0.0185155+0.0218957j -0.0458106+0.00866792j 0.00668649-0.0185085j -0.0298771-0.00889041j -0.00818553+0.0123529j 0.0121158-0.00446111j -0.0172033-0.00477464j 0.00348695-0.0208767j 0.027357-0.00700682j -0.00765986+0.00845451j 0.00778116+0.0118968j 0.00752847-0.0329578j -0.0349275-0.0169301j 0.00736226-0.0129076j -0.00630033-0.00930655j -0.00849994+0.00400622j 0.000964045+0.00574841j -0.00845596+0.00433487j 0.0013994-0.00080015j -0.00512039-0.0353334j -0.00129055-0.04012j 0.000591402+0.021698j -0.00328011+0.00325059j 0.0085504+0.00328366j -0.00225362+0.00846856j -0.00845779+0.00532109j -0.00205037-0.00741608j 0.00272126+0.00149629j 0.00661236-0.00145352j 0.00312366-0.0012891j -0.000745204+0.00241014j -0.00772593+0.00162438j -0.00576609-0.0162902j -0.00086715-0.000266324j 0.00627488+0.00316087j 
-0.0141287+0.000928684j 0.0531324+0.000244888j 0.0453135+0.000334915j 0.0884821-9.34208e-05j 0.0832656+0.000767795j 0.119437+0.000224988j 0.720409+0.000175184j 0.53815+0.00113504j -0.0803566-1.42206e-14j 0.220735-0.000330595j 0.00618496+0.000221466j 0.112248+0.00190403j -0.0646177-0.000566409j -0.0622208+0.000133109j -0.0524134-0.00040827j -0.00490248-0.00234478j -0.0385465+0.00138229j -0.0229799+0.00178966j -0.0286949-0.00133865j -0.0205387+0.000578038j -0.0328288+0.0048394j 0.0992907+0.00166659j -0.0223004-0.00658372j -0.0948205+0.0140567j 0.0861728-0.00309432j 0.0487469-0.000603261j 0.0606292+0.00128519j -0.0335684-0.00502487j -0.0598581+0.00398553j -0.00900488+0.00119807j 0.0258991-0.000951596j 0.00869466+0.00123109j 0.00416058-0.000115672j 0.0281032+0.000694606j -0.00365766-0.00197226j -0.00871891+0.00115779j -0.0111181-0.00228384j -0.00753603+1.61342e-05j -0.00486515+8.57706e-05j 0.00921431-0.00134655j 0.000838231-0.00191244j -0.00439175-0.000487939j 0.00923448+0.00118568j -0.00615802-0.00198079j 0.0036489-0.00176777j -0.00649868-0.00778792j -0.0105118+0.00301162j -7.48092e-05-0.0018043j 0.00191824+0.0184993j 0.00354136+0.0115951j 0.00313415-0.0256822j -0.0193563-0.0173793j -0.00979922+0.0154682j 0.0157576-0.0225928j -0.0247896+0.0302206j -0.014112-0.000497546j 0.0300494+0.0211177j -0.0264486-0.0202519j -0.020983+0.00510377j 0.0530708-0.0248121j 0.000423189+0.0357252j 0.00668541+0.0192113j -0.0245266+0.00726555j -0.0440859-0.0112538j 0.00349401-0.0331211j -0.0417923-0.0108232j 0.0133246+0.0118785j 0.0169954+0.0141485j 0.0213825-0.00311688j -0.0126313+0.00828572j 0.0242772+0.0110084j 0.00381974-0.0177542j 0.0117508-0.0141625j -0.00567096-0.00497342j -0.00424838-0.0191629j -0.00509858-0.0270282j 0.00119192+0.00514019j 0.000774894+0.0315044j 0.0050124-0.00900075j 0.00226728+0.0125695j -0.00445438+0.00539182j 0.000502801-0.00190368j 0.00252907+0.00473182j -0.0027808-0.00691529j -0.000818588-0.000209633j 0.00128625-0.00578163j 0.000363667+0.00634698j 0.000210734-0.00295944j -0.00107896+0.00161821j -0.00575591-0.00501077j 0.00675958-0.00800628j 0.00332708-0.00276226j 0.00426008+0.00413842j 0.00600232-0.000147649j -0.0062203-0.00517571j 
-0.12185-0.002493j -0.0926608+0.00157637j -0.135447+0.00110852j 0.032875+0.000731258j -0.19351-0.00231315j -0.77573-0.000322751j 0.264008-0.00147162j -0.0249709+0.000387306j 0.220735+0.000330595j -0.180311+1.52005e-16j 0.0976779-0.000872411j -0.05643+0.00195722j -0.116944-0.00133092j 0.145639+0.000590442j -0.07693-0.000976593j -0.103526+0.00616732j 0.0470687+0.00428943j 0.0703572+7.32852e-05j -0.029102+0.00393524j -0.0908566-0.00628359j 0.126078-0.0154024j -0.0857063+0.0063759j -0.0972294-0.0046353j -0.0463508-0.000592861j 0.00364103+0.000126584j 0.0659225+0.00976768j 0.0129621-0.00553814j -0.01053-0.00462296j 0.00861285+0.00236047j 0.0215098+0.000134866j -0.00373148+0.00846116j -0.0286119-0.00880315j 0.00431645+0.00366213j 0.0108809-0.00192302j 0.0363807+0.00127305j -0.0191752-0.00375432j 0.0218254-0.000497846j 0.0231661-0.00178409j -0.0227135-0.000922745j -0.0095176-0.00512699j -0.0131988+0.00414582j -0.0240615-0.00123163j -0.0287562+0.00165853j -0.00297152+0.00803031j -0.0117137-0.0040052j 0.0137937+0.030692j -0.0107182-0.00469264j 0.0194251+0.00942498j -0.0176168+0.0157139j 0.00252566-0.00304885j 0.0194801-0.0291476j 0.029193+0.0101315j 0.0463123-0.00528297j -0.00426195-0.0276606j -0.0100884-0.00939475j 0.00171623+0.0014436j 0.0421911-0.00493419j -0.011501-0.019553j -0.0475196-0.000813196j -0.00417535-0.0102207j 0.0177979-0.013258j -0.00396264-0.00438489j 0.00179838+0.00180707j 0.00090255-0.0117048j 0.00903553+0.00722843j 0.0181603+0.0209929j -0.00858649+0.0140907j 0.0172394-0.0130967j -0.00353035-0.00275797j -0.0166895-0.00895915j -0.00396249+0.0179563j 0.000705518+0.00445568j -0.00511677-0.0159897j -0.00705691-0.0012234j -0.000835136+0.00409016j 0.000128848+0.0234835j 0.00388598+0.0257312j 0.00619186+0.00651194j -0.00500938-0.00590197j -0.00287385+0.0108529j -0.00329151+0.0111585j -0.000279015+0.0145554j -0.00700973-0.00029842j 0.00115586+0.00830523j 0.000580838+0.00305474j -0.00163794+0.00256325j -0.00859848-0.00111991j -0.00276104-0.0223037j -0.00351085-0.00233862j -0.00708271+0.0182539j -0.0138321-0.00170196j -0.00318891-0.00186236j -0.00191208-0.0062736j -0.0146698-0.00827854j -0.00545663+0.00366827j 
-0.0792675-0.00102544j -0.0122278+0.00127324j -0.0510568-0.000856839j -0.0306745-0.00103007j -0.879394-0.00161546j 0.314452-0.00011356j 0.120835+0.00087492j -0.0721605-0.000466469j 0.00618496-0.000221466j 0.0976779+0.000872411j 0.0220819+3.07951e-15j -0.0775134-0.000102277j -0.0533647+7.79087e-05j 0.00975046-0.000498312j -0.0467808+0.000296878j -0.0543818+0.00143136j -0.0034023+0.00365394j 0.0167325-0.00296671j 0.0122826-0.00182587j 0.135411-0.00774877j 0.145594-0.00575294j -0.00658282-0.0079434j 0.0416185+0.00705308j 0.0200184-0.00339368j -0.000660578+0.00633304j 0.027736+0.00590387j -0.0229969-0.00594139j 0.0185928+0.00849212j 0.000808415+0.000801294j 0.00492354+0.0011826j -0.00394493-0.00111673j -0.0224475-0.00108067j -0.00515-0.00350448j 0.00383436+0.00254595j 0.0100587+0.00161296j -0.00923495-0.000781319j -0.000878488-0.000956935j 0.00469169-0.000746768j -0.0136896+0.000358777j 0.000530755-0.000934159j -0.0106808+0.000275101j -0.0109993+4.47173e-05j -0.00764886-0.00400614j 0.0167086+0.0128636j 0.0109802+0.028343j 0.0150913-0.00296693j 0.00283467-0.0210852j 0.000341433+0.0110541j -0.00606331-0.0228445j 0.0158198-0.038925j -0.0437381-0.00029347j 0.0314433+0.0173624j 0.00799238-0.0272372j 0.0338953-0.017449j 0.0542363-0.018094j 0.00862043+0.0348792j -0.0136776-0.0183221j 0.0152094-0.0162061j -0.0440883+0.0130491j -0.0247646-0.0235184j 9.19142e-05+0.0409333j -0.0414613-0.00118499j -0.0093192+0.00204096j -0.0357092-0.02238j 0.00109503+0.00438269j -0.00318867-0.0175229j 0.0020144-0.00579718j -0.0132982-0.00958498j -0.00454279+0.00121343j -0.000958444-0.00263763j -0.00399634-0.00439733j -0.00186374+0.01045j -0.00204981+0.00153461j 0.000861288+0.00562469j 0.00378437+0.0074954j 0.00196307+0.0103314j -0.000577111-0.000446943j 0.00034508-0.00574385j -0.0018863-0.00180409j 0.00128401-0.00435964j -0.00103992+0.0014218j 1.25267e-05+0.0003128j -0.0036678-0.00366876j 0.000511035+0.000855173j -8.26557e-05+0.0054065j -0.00559541+0.00360636j -0.000762268-0.00350312j 0.00116898+0.00171541j 0.00260935-0.00292375j -0.00573045+0.00542616j -0.00257873-0.00552762j -0.00330879-0.000697065j -0.00199721-0.00726927j -0.0036419-0.00341454j -0.00419363-0.000528286j 
