0.161657+4.57967e-16j 0.12035+0.0124229j -0.0972652-0.0988605j 0.0590215+0.0987247j -0.0373736+0.0189011j -0.0172252-0.0258526j -0.0252048-0.0922009j 0.0210116+0.102455j 0.0199135-0.0712403j -0.0235284+0.0184822j -0.00693092-0.0408497j 0.0170945-0.0185128j 2.62799e-05+0.0622799j 0.00224832+0.0144641j 0.0280304+0.0198945j -0.00274152-0.0217027j 0.085017-0.0133755j -0.0143661-0.011029j -0.0531787+0.0314956j 0.00942916+0.0549587j 0.103594+0.00798246j -0.0469504+0.021364j 0.0769514-0.0652761j -0.222232-0.0833147j 0.0545651-0.237876j -0.0767288+0.102038j 0.0755182+0.0988686j 0.0537082+0.0219948j -0.134174-0.10716j 0.0925491+0.026721j -0.0635128-0.0135895j 0.0363357+0.0537802j 0.0209943+0.0535597j 0.0114239-0.0411624j -0.00199455-0.00193581j 0.0191066+0.0451919j -0.00532219-0.0190714j -0.00699749+0.00232908j 0.0121686-0.0385971j -0.0174874-0.00589058j -0.00426751-0.0319617j 0.00619191+0.00692821j 0.020031-0.0165222j -0.00994344+0.0267514j 0.00586984-0.0349104j 0.0161106-0.00585822j 0.00693912-0.0176491j -0.0146086-0.0019894j 0.00524079+0.0207569j 0.044376+0.00655389j -0.0105818+0.0219464j 0.0108576-0.0207137j -0.0155904-0.0147645j 0.0105892+0.00377551j -0.0137982+0.0173148j -0.00590669+0.0246396j -0.00741399+0.00800931j -0.00560872+0.00287015j 0.0231585-0.0304886j 0.0125317+0.015624j 0.00419947-0.0573241j 0.0453453-0.111994j -0.048809-0.108543j -0.238598-0.0529464j -0.0201993+0.128857j 0.0239957-0.132471j 0.027108+0.0177738j -0.0230299-0.00625142j 0.136432+0.049552j 
0.12035-0.0124229j -0.147037+3.4972e-15j 0.0910327+0.0754884j 0.0561805+0.0799396j 0.0054699+0.075759j 0.0363871+0.0678207j -0.000356969-0.0772695j -0.0182298+0.0454268j 0.0361493-0.0793388j 0.0243332-0.0195487j -0.0342066-0.0447511j -0.0142376+0.0488879j -0.0376711+0.0495253j -0.00865969-0.000661094j -0.000762061+0.0134063j 0.00621058+0.00573321j -0.0704135+0.0636097j 0.0377439-0.00390643j 0.0518958-0.0277141j 0.0510094-0.0128437j -0.087681+0.101375j -0.0258309-0.0453539j 0.142782+0.125779j 0.00538485-0.188884j 0.154172+0.109716j -0.0108887-0.0888328j -0.159614+0.1599j 0.14935+0.0689611j 0.0331212+0.0493836j -0.0742079-0.022458j -0.10096-0.0302548j 0.0349775+0.0712677j -0.0220226-0.0477929j -0.00447892-0.000947473j 0.0312773+0.0171671j 0.0104159-0.0138471j 0.00587053-0.0611519j 0.0184553-0.00829657j 0.0269093-0.011463j -0.00311043+0.0098441j -0.00952618-0.0348082j -0.00618377+0.0146356j 0.00300178+0.0220351j 0.016555+0.00222315j -0.0077547-0.0180082j 0.00685566+0.00820755j 0.000305161-0.000564097j 0.0178501-0.00632261j -0.00282429+0.0169217j -0.0155736-0.0195148j -0.0303141-0.00438266j 0.00118111+0.0112604j -0.0148819-0.0208441j -0.0477231-0.00353605j 0.0192925-0.0261374j 0.00292749-0.00408923j 0.00205589+0.00817226j 0.0454735-0.0490383j -0.0189292-0.0330712j -0.0610434+0.0391659j -0.00375116-0.0138553j 0.0640374+0.00571639j 0.184939-0.0221807j -0.0360445-0.198232j -0.0975191-0.0934064j 0.00837129-0.00236828j 0.0332712-0.0802314j -0.136333-0.0193649j -0.00286256-0.0177983j 
-0.0972652+0.0988605j 0.0910327-0.0754884j -0.105526-9.99201e-16j 0.0415472+0.0458204j 0.0844133+0.0944255j -0.0339-0.00747611j -0.0279097-0.0666693j 0.138707-0.00829744j -0.0224804-0.00360167j 0.0677005-0.0257736j -0.0113318+0.0435311j -0.00583549+0.117989j 0.0403174-0.0486901j 0.0379258-0.0442191j -0.00346509+0.08676j -0.0351792-0.0183944j 0.0186309-0.05648j 0.00216658+0.0741575j -0.0833729-0.0922859j 0.0597343-0.217269j 0.113009+0.0685168j 0.102295-0.243386j 0.113658+0.127471j -0.00416551+0.0393177j -0.143649-0.0712281j 0.0546833-0.125311j -0.0674077+0.116607j -0.102678+0.131461j -0.078787+0.117351j 0.0959074-0.0661145j 0.047337-0.0533359j 0.0194243+0.0149412j 0.0307222+0.00319407j -0.00620712-0.022946j -0.0273632-0.0107428j 0.0102776-0.0106732j 0.00196611-0.0603233j -0.0187703-0.00704929j -0.0235132-0.0363694j 0.0187534+0.0170021j -0.00244675-0.00811236j 0.0119156-0.0162295j 0.00561049-0.0222291j 0.0191332+0.00538272j 0.0103973-0.00826376j -0.0248179+0.0438532j -0.00107727-0.0180114j -0.00511262-0.0211048j 0.00961453+0.00215646j 0.000531068+0.0645838j 0.00407224+0.0160415j -0.00336748-0.0135427j -0.00437755-0.0107917j 0.0181889-0.0254168j 0.00487067+0.0399352j 0.0147665+0.0166578j 0.0276694+0.0160114j -0.066962-0.0139074j 0.0494313-0.0379267j 0.071812+0.0297143j -0.0157516-0.0143462j -0.0500634+0.142006j -0.0112495+0.00185614j -0.0496868-0.0191056j 0.0157521-0.00413778j -0.00939285-0.0280284j 0.0173182-0.0293839j 0.0245017-0.0117983j -0.0219454-0.00223367j 
0.0590215-0.0987247j 0.0561805-0.0799396j 0.0415472-0.0458204j 0.0200086+8.18789e-16j -0.0108607+0.0217593j -0.0701424-0.0278849j -0.0458522-0.0497883j -0.00848774-0.0266822j 0.0205179-0.0972689j -0.0474435-0.0866602j -0.0122509+0.0591666j -0.021338+0.0805532j 0.0249415+0.0551654j 0.00375645+0.0181382j 0.0442359-0.0427593j -0.00103569+0.0359939j 0.0387383-0.0161339j 0.0967532-0.012004j 0.00365255-0.06395j 0.184546-0.0570919j -0.0554426+0.126901j 0.08579+0.121807j -0.161037+0.275905j -0.149485+0.0788039j 0.19065-0.0399856j -0.0239911-0.0255352j 0.0952395-0.245087j 0.0487472-0.160494j 0.0400113+0.111983j 0.0305709-0.0314858j -0.070087+0.0525443j 0.0307098+0.00374637j -0.0298251-0.0132799j 0.0339664+0.0245271j 0.00892755+0.00421231j 0.00592437-0.0124802j -0.0185544+0.00756887j 0.0036315+0.0230421j 0.0027363+0.00431381j 0.00343444-0.0174982j -0.0237004+0.00420643j 0.0107266-0.0164252j 0.0198677-0.00635106j 0.0217449-0.0184207j -0.00700461-0.0154815j -0.0155291+0.014126j 0.00841355-0.0107615j 0.0128949+0.00590534j 0.0160075-0.00705082j -0.03398+0.0551121j -0.020306+0.0127713j 0.00477068+0.0055385j -0.0313959+0.0138226j -0.0251913+0.00080969j -0.0355247+0.0137915j -0.00285869-0.0272403j -0.0151213+0.0168233j 0.0595033-0.0570732j 0.0435792+0.0544086j -0.0316595+0.111296j -0.00356033+0.046161j -0.0429425-0.00080632j 0.0174774+0.0599573j -0.0469151+0.0270693j -0.0184708-0.0306014j 0.0424893+0.027771j 0.0117673+0.00247381j -0.00297269+0.00634714j 0.0128054-0.0479005j 
-0.0373736-0.0189011j 0.0054699-0.075759j 0.0844133-0.0944255j -0.0108607-0.0217593j 0.0437422+7.85483e-15j -0.150795-0.0220702j -0.022877-0.0528624j -0.078155-0.0390932j 0.0334678-0.071826j -0.108132-0.0485243j 0.0491057+0.00831895j -0.0303298-0.00164142j 0.0327868+0.00102358j 0.0437736+0.0151462j -0.0268567-0.11676j 0.0932779+0.119777j 0.00735855-0.0656557j -0.133548+0.184813j 0.0876328-0.0247446j 0.100011+0.0218101j 0.00977747-0.100686j 0.262366+0.0352837j 0.106248-0.146041j -0.109537-0.0458481j 0.0414535+0.108826j -0.0427988+0.190177j -0.322047+0.0173791j 0.081302+0.0334514j -0.0313736+0.274091j 0.0477045-0.0814718j -0.0242614+0.00231881j -0.00241463+0.00103823j -0.0340775-0.00660085j 0.0600886+0.0145222j 0.00597085+0.0221392j 0.00813005-0.00146132j 0.019507+0.0265317j 0.0218662+0.0317273j 0.0249642+0.00285122j -0.0194291+0.0101124j -0.000991101-0.00907263j -0.00650399-0.00073099j 0.0184236-0.00880154j -0.00700595-0.00390885j 0.00400659-0.0113533j 0.00318168-0.0171161j 0.00940716-0.0137331j -0.00580146+0.0286612j 0.00385234-0.000492052j -0.015837-0.0318359j 0.0146241-0.0115022j 0.012234+0.0051678j 0.00463578+0.0292563j -0.0110559+0.0031115j -0.0224079+0.069072j -0.0640937-0.0319116j 0.000250687+0.0278682j 0.0046978+0.0329889j -0.00563326+0.0106696j 0.00742522-0.0159383j 0.0479863+0.0363028j -0.0405737-0.0220653j 0.0407163-0.0214188j -0.0085177+0.0283729j -0.0277546-0.0071059j 0.00262517+0.018691j -0.00872778-0.00116847j -0.0452422-0.028419j 0.0153251-0.0599456j 
-0.0172252+0.0258526j 0.0363871-0.0678207j -0.0339+0.00747611j -0.0701424+0.0278849j -0.150795+0.0220702j 0.0338745+5.02376e-15j -0.071324-0.014949j 0.0521974+0.00285867j -0.136264-0.103346j 0.0292127-0.0629795j -0.0108456+0.0214091j -0.100227-0.0402208j 0.107675+0.0315858j -0.0562627-0.0286424j 0.0842992-0.00667308j -0.0955832+0.10344j 0.0175309+0.140955j -0.0238029+0.092345j 0.0130034+0.161592j 0.0604839+0.0122516j -0.0689343-0.0115386j -0.0831628+0.154746j 0.139699-0.157039j 0.034617+0.194248j -0.0514393+0.121006j 0.143607+0.160797j -0.0381638+0.0602957j -0.300657-0.228851j 0.161399-0.171583j -0.0205905-0.00569749j 0.0380553+0.0825078j -0.0249323-0.0303535j 0.0194324+0.0185509j -0.0126987+0.000844891j 0.00788401+0.0113399j -0.00970681+0.0141623j 0.0172145+0.0437399j -0.0011029-0.0151435j -0.00602174-0.00935939j 0.00246823+0.0027445j 0.0258468-0.0149094j -0.00217148+0.0285614j -0.00822714-0.0286798j 0.00682473-0.0108961j 0.0198333-0.0135834j -0.0225708-0.0305053j 0.0136807+0.0118432j 0.0126738+0.00847325j -0.0300246+0.011407j -0.00152751-0.0164178j 0.0337382+0.0206028j -0.0438151-0.028323j -0.0187688-0.0241876j 0.0394915+0.0218336j 0.000651614-0.0196335j 0.0280847-0.058677j -0.0145384-0.022185j -0.0326023+0.0266103j 0.0149018+0.00471879j -0.0102818-0.00563845j -0.015593+0.0254984j 0.00132802-0.0369366j 0.0134634-0.0246279j 0.0112743+0.0330504j -0.0173903-0.00368047j -0.000369707+0.0127858j -0.00433587+0.0181025j 0.0327267+0.0945946j -0.0930006+0.00811544j 
-0.0252048+0.0922009j -0.000356969+0.0772695j -0.0279097+0.0666693j -0.0458522+0.0497883j -0.022877+0.0528624j -0.071324+0.014949j -0.0147671+4.78784e-15j -0.0561927-0.0825199j -0.0210318-0.0161493j 0.00441891-0.0575363j -0.00934259+0.00749465j 0.0024543-0.0347557j 0.0359874-0.00330384j -0.0336547-0.0925408j -0.0147326+0.0690292j 0.0900881+0.0220745j -0.0379594-0.197616j 0.0435161-0.106144j 0.00164086-0.112896j -0.117129+0.0390641j -0.1672-0.0701724j -0.0733603+0.0578126j -0.16339+0.164866j -0.125509+0.0905799j 0.0266002-0.00399429j 0.144742-0.213973j 0.0919955-0.152671j 0.134438-0.213798j 0.283241+0.110957j -0.0664011-0.0369561j -0.0185476-0.0176244j -0.0051658-0.0379119j 0.000991422-0.0230093j -0.0164798+0.014268j 0.0184064-0.00767834j 4.17865e-05+0.000828251j -0.000814792+0.00748759j 0.00469913+0.0060778j -0.0140968-0.00412044j 0.0298737-0.0164694j 0.00487586+0.0179201j -0.0112596-0.00983911j -0.00973899-0.00241506j 0.0311213-0.0152235j -0.000247976+0.0162479j -0.0099616+0.00957086j -0.0160959+0.0120821j 0.0203331-0.0271137j 0.0257272-0.0300664j -0.00359313+0.0203311j 0.000540936+0.00503122j -0.014086+0.0173j 0.0230689-0.00456669j 0.0362005-0.0493385j 0.0171044-0.00270751j -0.0418539-0.0546455j -0.0166396+0.0601805j -0.00379913-0.0241956j -0.0235211-0.00220855j -0.030885-0.0132276j 0.0311494-0.0125957j 0.0120459+0.0187573j -0.00868479+0.026895j -0.00618912+0.0115815j -0.0103347+0.00179961j -0.0284729+0.0136785j 0.0105488-0.0349784j -0.0581675+0.0235344j -0.0378896-0.064274j 
0.0210116-0.102455j -0.0182298-0.0454268j 0.138707+0.00829744j -0.00848774+0.0266822j -0.078155+0.0390932j 0.0521974-0.00285867j -0.0561927+0.0825199j 0.0628749-1.79103e-13j -0.0184147+0.0195828j 0.0869705-0.0320234j 0.0513504+0.14284j 0.0128471+0.0681416j -0.104398+0.0832515j -0.158832-0.0343604j 0.00168219-0.0918128j 0.0822045-0.107735j 0.0224655-0.103652j -0.201931+0.0559832j -0.0743557+0.0261296j -0.117716+0.263136j -0.133267+0.12341j -0.013715-0.0782007j 0.0398276+0.0837319j 0.0380467-0.0353991j -0.321179-0.200487j 0.0989578-0.171602j -0.0486573+0.225829j 0.0461733+0.0641572j -0.114744+0.161884j -0.0211697+0.00984795j -0.0223237+0.0619384j -0.0413725+0.0251303j 0.0137708-0.0158087j -0.0261444+0.0227711j 0.0170521-0.0263768j -0.022158-0.00861024j -0.0221914+0.00327208j -0.0184208-0.00466196j -0.0042313+0.00393519j 0.00691376-0.0225349j 0.0220031+0.00487885j -0.00637848-0.00718343j -0.00787823+0.00497059j -0.0098291+0.0298843j -0.000524741-0.00950226j 0.00736952-0.0162037j -0.0140151+0.0287681j 0.000407649-0.0204725j -0.0321122-0.00750584j 0.0198638+0.0191482j -0.0012922-0.00122971j -0.0137782-0.0145314j -0.000438724+0.035149j -0.00691113-0.0193311j -0.0211351-0.001557j -0.0169961+0.0190147j -0.0273876-0.00714206j -0.0168664-0.0171421j -0.0163048+0.00764223j -0.0179495+0.0452475j -0.0388786+0.00169518j -0.010121-0.00824627j -0.00102653-0.0229912j 0.033814-0.0257038j 0.0288721-0.002296j -0.0318205+0.00223113j 0.00645818-0.0411969j 0.0060609-0.0112741j 0.0135411-0.00684417j 
0.0199135+0.0712403j 0.0361493+0.0793388j -0.0224804+0.00360167j 0.0205179+0.0972689j 0.0334678+0.071826j -0.136264+0.103346j -0.0210318+0.0161493j -0.0184147-0.0195828j 0.0307581+2.59515e-15j 0.0181461+0.0428044j -0.0893343+0.00896821j -0.0062547-0.0884435j -0.0598443-0.0248773j 0.0349247-0.00815977j 0.0646475-0.125519j -0.0310003+0.0431982j -0.0698136+0.124182j 0.0689628+0.0684212j -0.0554341+0.0967489j -0.0934022+0.0317232j -0.0908515-0.199185j -0.0511237+0.0164784j 0.0700539+0.00290761j 0.0895763-0.00723715j 0.034997+0.108948j 0.071571+0.192748j -0.266803+0.177999j 0.0250169-0.0529384j 0.112218-0.0831279j -0.0413247-0.0253038j -0.0528574-0.0363895j -0.00954062-0.000832881j -0.00777827-0.0143038j 0.0025851-0.00290645j 0.0378905-0.0177991j 0.0115795+0.00922828j 0.00567156-0.00948606j 0.0243195-0.00717666j 0.0030778-0.0376917j 0.0253838+0.0141657j 0.00540664-0.0148987j -0.0164732+0.0106279j -0.00894505+0.0148976j 0.0133697+0.00587512j -0.0164797-0.00467665j 0.0172981-0.0196177j -0.00736616+0.0209148j -0.0230763+0.00274352j 0.00737386+0.0516265j -0.00621178+0.00478894j 0.0180288-0.0162263j -0.0121967-0.00297723j -0.00764902+0.000199335j -0.0265349+0.0186742j -0.0154087-0.00240129j -0.0155714-0.000690475j 0.00188873+0.000648401j 0.00550699+0.0480706j 0.0340202-0.00430374j -0.00229274+0.00376632j -0.0131646+0.000829366j 0.00856173-0.0138139j 0.0216458+0.010684j 0.00115942+0.0123341j 0.00833509+0.00497104j 0.00834575-0.0320052j 0.0327361+0.00531369j -0.0306082+0.0268426j -0.0273553-0.00907341j 
-0.0235284-0.0184822j 0.0243332+0.0195487j 0.0677005+0.0257736j -0.0474435+0.0866602j -0.108132+0.0485243j 0.0292127+0.0629795j 0.00441891+0.0575363j 0.0869705+0.0320234j 0.0181461-0.0428044j 0.0477689-6.44207e-14j -0.00408778+0.127208j -0.0239708+0.118123j -0.0157254+0.127111j 0.0889657+0.0644772j 0.0658776+0.127601j -0.174333+0.0709076j 0.0965159-0.0821031j -0.024565-0.0778601j 0.24531+0.0420813j -0.105158-0.237636j -0.0849074-0.18625j -0.157376+0.292623j 0.200286+0.0270624j 0.0307102-0.116016j 0.010094+0.0076745j 0.153188-0.104185j -0.046823+0.0872528j 0.0201824-0.0310377j -0.00975188+0.121159j -0.0252864+0.00144592j -0.00667408+0.034109j -0.0451626-0.00251532j 0.0233728-0.0228274j -0.0306697+0.0217804j 0.00802332-0.020361j -0.0125485-0.00294978j -0.0193995+0.0149348j -0.0148421-0.0152315j -0.00338208+0.0175248j 0.00603973-0.0240997j 0.00636644+0.00548043j -0.00656253-0.00574465j -0.00870249+0.02447j -0.000698391+0.0111447j -0.00552004+0.00444728j 0.000325525-0.0098745j 0.0156372-0.0120352j 0.0347541-0.00754017j -0.0129498+0.00544144j 0.0123966+0.00715475j 0.00387761+0.0543458j -0.00619126+0.0236293j 0.0165189+0.010389j 0.00226408-0.00846772j -0.0152245+0.00212627j 0.00424941-0.0123128j 0.00769993+0.0104844j -0.0171788-0.00389746j -0.00771066-0.000969843j -0.00160921+0.0147674j -0.015151-0.00884225j -0.00676958+0.00634548j 0.000455043-0.0124582j 0.00518417+0.0144748j 0.00537467+9.83163e-05j -0.0234053+0.000532426j 0.00781751-0.0210761j 0.00578392+0.0140281j -0.010858-0.0148592j 
-0.00693092+0.0408497j -0.0342066+0.0447511j -0.0113318-0.0435311j -0.0122509-0.0591666j 0.0491057-0.00831895j -0.0108456-0.0214091j -0.00934259-0.00749465j 0.0513504-0.14284j -0.0893343-0.00896821j -0.00408778-0.127208j 0.282447-1.44884e-14j -0.00823372-0.106814j -0.127127-0.164329j -0.0222749+0.0179346j 0.0836547-0.0110098j 0.240372+0.209189j 0.110082-0.247611j 0.073309-0.109383j -0.10923+0.196955j -0.151533-0.0262749j 0.0420441+0.0702822j 0.0356219-0.076842j 0.0259074-0.121048j -0.0991571-0.0082747j 0.104255-0.0989981j 0.113256+0.0255667j 0.00198448+0.00848988j 0.052888+0.0180676j 0.0579709-0.0396151j -0.0392928-0.0170828j 0.0029532-0.0295495j 0.00792966-0.0185906j -0.0241351+0.0069767j 0.0218517+0.00869562j 0.000671433+0.0210725j -0.00858373+0.0128855j 0.0213845+0.0326191j -0.00723147-0.0132475j 0.00511642-0.00971793j -0.0082627-0.00224006j 0.0159705-0.0100497j -0.00461972+0.00694947j -0.0131638-0.0312871j 0.0127751-0.0168516j -0.00365424-0.0252542j 0.000484686-0.00136757j 0.00582554+0.00255138j 0.0313042+0.00138238j -0.0087345+0.0270579j 0.00786946-0.025904j 0.0103772+0.0157095j -0.0226099+0.0190591j 0.0136306-2.20708e-06j -0.0179905-0.0177225j 0.02022+0.00752091j -0.0233893+0.00651306j 0.00612315+0.00212312j 0.0234744+0.0344261j 0.0188421-0.0174356j -0.00357245+0.00624087j -0.0122107-0.00642511j 0.00558917-0.0095618j 0.0095675+0.0148503j -0.00217154+0.0244375j -0.000869004-0.0108848j -0.00611556-0.00798628j 0.0126238+0.00622552j -0.00142559+0.00406506j -0.0173568-0.00121184j 
