-0.0157038+3.77892e-14j 0.0102437+0.000287026j 0.0368842+0.00624356j 0.0465822+0.0107249j -0.0327907+0.0447852j -0.16734-0.0463995j -0.676104+0.123182j 0.00195498+0.0126001j 0.0166649+0.0121672j 0.0163875-0.0155993j -0.0311076+0.0355766j 0.00950091-0.01696j 0.0467786-0.0474561j -0.00524077-0.0306731j 0.0921282-0.130273j -0.0601297+0.07076j -0.350545+0.049663j 0.423312+0.152256j 
0.0102437-0.000287026j 0.0801741-5.72459e-15j -0.0777669-0.03073j -0.159873+0.00979516j 0.187192+0.0602453j 0.5351-0.0847893j 0.136915+0.0508709j -0.0175621-0.0150371j -0.000235715+0.0397605j 0.0201191+0.0723222j -0.041604-0.0833342j 0.0117363-0.00882023j 0.0232528-0.0353398j -0.0725468+0.0457801j 0.137025-0.125214j 0.388075-0.00562696j -0.379004-0.142434j -0.204347+0.0854191j 
0.0368842-0.00624356j -0.0777669+0.03073j -0.221303+2.08271e-14j -0.0403504+0.0196951j -0.53522+0.0297328j -0.177762-0.0599401j -0.0304019+0.0476473j -0.00899876-0.0249913j -0.0591119-0.0338515j 0.0183178+0.0723314j -0.0253653-0.0168619j 0.0312182+0.0882054j 0.240584-0.0763304j 0.351729-0.00189088j -0.269866+0.00436372j 0.33233+0.085107j 0.0756605-0.075276j -0.0524173-0.0135406j 
0.0465822-0.0107249j -0.159873-0.00979516j -0.0403504-0.0196951j 0.614676+5.69648e-14j 0.0527612-0.0183212j -0.145824+0.00917122j -0.0337484-0.0115236j -0.0161571-0.0272658j -0.0760034-0.0623265j -0.0470589+0.00400053j 0.287896-0.113623j 0.00625281-0.101753j 0.315053-0.000509321j 0.00540777+0.103921j 0.296036+0.109219j 0.0530922+0.000482594j 0.0701684-0.0665796j 0.00729609-0.0256441j 
-0.0327907-0.0447852j 0.187192-0.0602453j -0.53522-0.0297328j 0.0527612+0.0183212j -0.21242-2.12851e-15j 0.0773996+0.0322908j 0.0303805+0.00492133j -0.0483157+0.0170477j 0.0875322+0.0708047j 0.319053-0.087713j 0.274477+0.00707419j -0.357303-0.0024597j -0.242965-0.0734532j -0.0351171+0.0893459j 0.0313661-0.0158544j 0.00814811-0.0713235j -0.058001+0.0378227j -0.00319551+0.0242355j 
-0.16734+0.0463995j 0.5351+0.0847893j -0.177762+0.0599401j -0.145824-0.00917122j 0.0773996-0.0322908j 0.0662888+8.18096e-15j -0.017235-0.000376618j 0.22488+0.076537j 0.355512-0.148011j -0.401758-0.00459256j 0.134626+0.11776j -0.0656659-0.0486884j 0.035771+0.0339021j 0.0157321+0.00859651j -0.0375206+0.0893001j -0.0182558+0.0751104j 0.00660861+0.0366611j 0.0195003-0.0177578j 
-0.676104-0.123182j 0.136915-0.0508709j -0.0304019-0.0476473j -0.0337484+0.0115236j 0.0303805-0.00492133j -0.017235+0.000376618j -0.0158414-1.77844e-14j 0.410881-0.15474j -0.371438-0.0424097j -0.0430081-0.0692391j -0.0945581-0.136016j 0.0076245-0.0277387j -0.0454942-0.0491652j -0.00810976-0.015537j 0.0328998+0.0332165j 0.0174906+0.0123137j 0.0171131-0.0143809j 0.00104659-0.0121606j 
0.00195498-0.0126001j -0.0175621+0.0150371j -0.00899876+0.0249913j -0.0161571+0.0272658j -0.0483157-0.0170477j 0.22488-0.076537j 0.410881+0.15474j -0.00103063-7.9433e-15j -0.00695292-0.000204328j -0.00261829-0.000561947j -0.000443479-0.00219493j 0.00424858+0.00183305j 0.0117385+0.00388222j 0.00502559+0.00152935j 0.00623515+0.00352402j 0.0213663-0.0105775j 0.030281+0.00914512j 0.145794-0.0286941j 
0.0166649-0.0121672j -0.000235715-0.0397605j -0.0591119+0.0338515j -0.0760034+0.0623265j 0.0875322-0.0708047j 0.355512+0.148011j -0.371438+0.0424097j -0.00695292+0.000204328j 0.00071937-2.52229e-15j 0.0166764+0.00159662j -0.0157705-0.00315332j 0.00127469+0.00221408j 0.00522095+0.00708603j -0.00212288+0.00573067j 0.0292965-0.00709416j 0.048828+0.0186404j 0.114717-0.0246973j 0.0226889+0.0115016j 
0.0163875+0.0155993j 0.0201191-0.0723222j 0.0183178-0.0723314j -0.0470589-0.00400053j 0.319053+0.087713j -0.401758+0.00459256j -0.0430081+0.0692391j -0.00261829+0.000561947j 0.0166764-0.00159662j 0.011375-6.22072e-15j -0.00507978+0.0079192j -0.018565-0.00629298j -0.053234-0.00297408j -0.0279739-0.00646138j 0.00522863+0.00680549j 0.104922-0.0172463j 0.0443135+0.0192628j 0.0185395-0.0109512j 
-0.0311076-0.0355766j -0.041604+0.0833342j -0.0253653+0.0168619j 0.287896+0.113623j 0.274477-0.00707419j 0.134626-0.11776j -0.0945581+0.136016j -0.000443479+0.00219493j -0.0157705+0.00315332j -0.00507978-0.0079192j 0.0314728-4.20996e-13j -0.011537-0.00541589j 0.0108625+0.00734905j -0.0175907+0.005616j -0.134606+0.0050554j -0.00302457-0.00677765j -0.0258398+0.00617094j -0.00419296-0.00381765j 
0.00950091+0.01696j 0.0117363+0.00882023j 0.0312182-0.0882054j 0.00625281+0.101753j -0.357303+0.0024597j -0.0656659+0.0486884j 0.0076245+0.0277387j 0.00424858-0.00183305j 0.00127469-0.00221408j -0.018565+0.00629298j -0.011537+0.00541589j -0.00463971+2.8315e-14j 0.0301927-0.00281109j -0.1471+0.00513174j -0.0144072+0.0053057j 0.0255697+0.00661067j 0.00156186-0.00598944j -0.00475393-0.00112794j 
0.0467786+0.0474561j 0.0232528+0.0353398j 0.240584+0.0763304j 0.315053+0.000509321j -0.242965+0.0734532j 0.035771-0.0339021j -0.0454942+0.0491652j 0.0117385-0.00388222j 0.00522095-0.00708603j -0.053234+0.00297408j 0.0108625-0.00734905j 0.0301927+0.00281109j -0.11858-1.31682e-12j 0.0283815-0.00279257j 0.0100296+0.00741457j 0.0494947+0.0031408j -0.00603775-0.00751473j -0.0105243-0.00382125j 
-0.00524077+0.0306731j -0.0725468-0.0457801j 0.351729+0.00189088j 0.00540777-0.103921j -0.0351171-0.0893459j 0.0157321-0.00859651j -0.00810976+0.015537j 0.00502559-0.00152935j -0.00212288-0.00573067j -0.0279739+0.00646138j -0.0175907-0.005616j -0.1471-0.00513174j 0.0283815+0.00279257j -0.00320988-2.81637e-14j -0.00959515-0.00528874j 0.0171917+0.00609109j -0.00143069-0.00228285j -0.0037378-0.00167389j 
0.0921282+0.130273j 0.137025+0.125214j -0.269866-0.00436372j 0.296036-0.109219j 0.0313661+0.0158544j -0.0375206-0.0893001j 0.0328998-0.0332165j 0.00623515-0.00352402j 0.0292965+0.00709416j 0.00522863-0.00680549j -0.134606-0.0050554j -0.0144072-0.0053057j 0.0100296-0.00741457j -0.00959515+0.00528874j 0.0280924+7.16305e-13j 0.00382394-0.00766299j 0.0134001+0.00327364j -0.000490393+0.00189956j 
-0.0601297-0.07076j 0.388075+0.00562696j 0.33233-0.085107j 0.0530922-0.000482594j 0.00814811+0.0713235j -0.0182558-0.0751104j 0.0174906-0.0123137j 0.0213663+0.0105775j 0.048828-0.0186404j 0.104922+0.0172463j -0.00302457+0.00677765j 0.0255697-0.00661067j 0.0494947-0.0031408j 0.0171917-0.00609109j 0.00382394+0.00766299j 0.0115795+9.33281e-16j 0.0140669+0.00148949j -0.00333453-0.000744636j 
-0.350545-0.049663j -0.379004+0.142434j 0.0756605+0.075276j 0.0701684+0.0665796j -0.058001-0.0378227j 0.00660861-0.0366611j 0.0171131+0.0143809j 0.030281-0.00914512j 0.114717+0.0246973j 0.0443135-0.0192628j -0.0258398-0.00617094j 0.00156186+0.00598944j -0.00603775+0.00751473j -0.00143069+0.00228285j 0.0134001-0.00327364j 0.0140669-0.00148949j -0.000792808+1.65493e-15j -0.00632753-0.000203752j 
0.423312-0.152256j -0.204347-0.0854191j -0.0524173+0.0135406j 0.00729609+0.0256441j -0.00319551-0.0242355j 0.0195003+0.0177578j 0.00104659+0.0121606j 0.145794+0.0286941j 0.0226889-0.0115016j 0.0185395+0.0109512j -0.00419296+0.00381765j -0.00475393+0.00112794j -0.0105243+0.00382125j -0.0037378+0.00167389j -0.000490393-0.00189956j -0.00333453+0.000744636j -0.00632753+0.000203752j -0.000567371-6.26929e-15j 
