-0.02396+0.0376121j -0.0231823+0.0130172j -0.066639+0.0400774j 0.0733008-0.00469802j -0.0344898-0.032148j 0.0789913+0.0791065j -0.0329717-0.0381853j -0.0804794+0.0430552j 0.198018-0.0791521j -0.106436+0.0558527j 0.144144-0.141805j 0.060292-2.498e-15j 0.0857185+0.00448581j 0.0175603+0.0102499j -0.0725578-0.139544j -0.00240518-0.00988771j -0.0570897-0.141522j -0.0475104-0.0047484j 0.00137416-0.104417j 0.109192+0.0468521j -0.188571+0.0204211j -0.0846462+0.153955j -0.0354868+0.115175j 0.304522-0.140988j -0.14913+0.0794976j 0.162043-0.299945j 
-0.0188401+0.00782395j 0.0574921-0.0758759j -0.116553+0.0218773j 0.0494163-0.0371233j 0.0388924-0.00925535j -0.0798705+0.0580992j 0.0613949-0.0430702j -0.0463442+0.0615563j 0.00800127+0.154556j 0.0465417+0.0784909j -0.175788+0.198348j 0.0857185-0.00448581j -0.0994012+6.92502e-15j 0.174843+0.0735974j -0.0678189-0.0702785j 0.0790166-0.00995977j 0.0281762-0.0504199j -0.00841227-0.067671j -0.127502+0.165575j -0.0130353+0.0726727j -0.014187-0.130587j -0.137475-0.288288j -0.244238+0.211815j 0.134002-0.0467327j 0.014818+0.13405j 0.15059-0.0642842j 
0.0052696+0.0434562j -0.0244011+0.109278j -0.00687485+0.0343274j 0.00210586+0.0406476j -0.0478018-0.0213625j 0.0737961-0.00332068j -0.019426-0.054098j 0.038329+0.131938j 0.164348+0.0924354j -0.0624318+0.178044j 0.0123359-0.00771388j 0.0175603-0.0102499j 0.174843-0.0735974j -0.0803066+1.57652e-14j -0.0723486-0.120672j -0.0994791-0.0195446j -0.144836+0.000617988j 0.0056023+0.0173764j 0.00947668+0.0160153j 0.161367-0.0185881j 0.0495774-0.312087j -0.120954-0.0663304j 0.0509246+0.204544j -0.142807+0.155927j 0.147686-0.0497616j -0.299231+0.140452j 
-0.0394591-0.0935679j 0.0156501-0.057838j 0.0320986-0.126618j 0.0601088+0.000372232j -0.0729395-0.0183012j 0.0671196-0.121936j -0.129163+0.00853755j 0.0991894+0.0182832j -0.00848895+0.0928114j 0.0676158-0.10167j -0.0629836-0.0318555j -0.0725578+0.139544j -0.0678189+0.0702785j -0.0723486+0.120672j -0.0724922-5.75651e-14j 0.0525918-0.014579j -0.0880174-0.000969461j 0.0485534+0.223078j -0.0469127+0.0457371j 0.0130226-0.0716084j -0.104551-0.206642j 0.292634+0.115445j 0.13894+0.159132j 0.0567747+0.20586j -0.241983+0.222741j 0.0197427-0.102284j 
-0.010125+0.0156755j -0.0474144+0.0291361j 0.0140234-0.0538887j -0.0224333-0.0640105j 0.107201-0.0195178j 0.109384+0.0251184j -0.0453703-0.0784454j -0.0905425+0.0498103j -0.0917305-0.0492459j 0.212617+0.0864169j -0.00604299+0.235327j -0.00240518+0.00988771j 0.0790166+0.00995977j -0.0994791+0.0195446j 0.0525918+0.014579j 0.117627-3.33539e-13j -0.186026-0.0137475j -0.0839563-0.155397j -0.0704014+0.0673593j 3.50232e-05+0.060875j -0.062106-0.023668j -0.129202+0.238493j 0.296423+0.122363j -0.109702-0.0562762j -0.146477-0.280902j 0.0807197-0.168543j 
-0.0700759-0.0556912j -0.0144747-0.00329089j 0.110206+0.0429814j -0.0264528+0.0786883j -0.0764118+0.0281751j 0.101862-0.0771837j 0.00478697+0.0095041j 0.164396+0.00774156j 0.0237091+0.20218j 0.0223067+0.0763027j -0.154413+0.00974584j -0.0570897+0.141522j 0.0281762+0.0504199j -0.144836-0.000617988j -0.0880174+0.000969461j -0.186026+0.0137475j -0.0476318+9.33507e-14j -0.0106901-0.133353j -0.0527029-0.203728j 0.181504-0.196514j 0.0193159+0.018841j -0.0634772-0.016531j -0.106379-0.198014j 0.0504787-0.316827j -0.0188298-0.135758j 0.185666-0.0249991j 
-0.00498941-0.0377627j -0.0463787+0.00972982j -0.0421476+0.0532871j 0.0235133+0.21203j 0.0876946-0.0234604j -0.0644051-0.226917j -0.0246959-0.124285j -0.0656546-0.0024433j 0.154392-0.0444219j -0.00334193+0.0457026j -0.043325-0.0552621j -0.0475104+0.0047484j -0.00841227+0.067671j 0.0056023-0.0173764j 0.0485534-0.223078j -0.0839563+0.155397j -0.0106901+0.133353j 0.051787-1.40407e-12j -0.273229+0.0701708j -0.323778-0.17496j -0.179851+0.196997j 0.00208739-0.0548864j -0.00176844+0.0702557j -0.163976+0.0225246j 0.00386444-0.0760442j 0.11132+0.0437349j 
-0.071513-0.0688866j 0.162397+0.0936586j 0.0116651+0.0865859j -0.114726+0.0989336j 0.109589+0.0111025j 0.064126+0.00311513j 0.109655-0.0124525j -0.115987-0.0983947j 0.00496996-0.0866587j 0.160213-0.0872034j 0.078073-0.0711105j 0.00137416+0.104417j -0.127502-0.165575j 0.00947668-0.0160153j -0.0469127-0.0457371j -0.0704014-0.0673593j -0.0527029+0.203728j -0.273229-0.0701708j -0.121598-4.18247e-13j 0.273571-0.0653199j -0.051121-0.202808j -0.0753722+0.0661093j -0.0474435+0.0488119j 0.00733399+0.0115169j -0.126376+0.158278j -0.00731509+0.113857j 
-0.0443423+0.0589355j 0.0118394+0.045018j -0.158376-0.0410038j 0.0623632-0.00911613j 0.0270811-0.122634j 0.0634878-0.226129j -0.0857989-0.0208753j -0.0237605+0.211977j 0.0405676+0.0520955j 0.0519128+0.00483797j -0.00255184+0.0406364j 0.109192-0.0468521j -0.0130353-0.0726727j 0.161367+0.0185881j 0.0130226+0.0716084j 3.50232e-05-0.060875j 0.181504+0.196514j -0.323778+0.17496j 0.273571+0.0653199j 0.0573221-1.58609e-13j 0.00727108+0.13303j 0.0865905+0.160954j -0.0494494-0.221788j -0.00947088-0.0207623j 0.00820973+0.0676345j -0.0451362-0.00317841j 
0.157683+0.00628864j 0.0190552-0.0725885j 0.0207692-0.207461j 0.165365-0.0090035j 0.00332586-0.00790272j 0.100404+0.0747498j -0.0773094-0.0276263j -0.0237575-0.0766632j 0.109119-0.0404819j -0.0116696+0.00848306j 0.0681222-0.0551328j -0.188571-0.0204211j -0.014187+0.130587j 0.0495774+0.312087j -0.104551+0.206642j -0.062106+0.023668j 0.0193159-0.018841j -0.179851-0.196997j -0.051121+0.202808j 0.00727108-0.13303j -0.0442327+3.39763e-14j -0.185382-0.00956277j -0.086534-0.0061918j -0.14911-0.00122856j 0.0217728-0.0598869j 0.0621794+0.141336j 
0.0128308+0.233996j 0.215109-0.0992123j -0.0861823+0.0490209j -0.0951462-0.0503702j -0.0416164+0.0785125j 0.108709-0.0211802j 0.109414+0.0198419j -0.0241583+0.0580731j 0.0131219+0.0539325j -0.0453663-0.0321746j 0.00810584+0.0156624j -0.0846462-0.153955j -0.137475+0.288288j -0.120954+0.0663304j 0.292634-0.115445j -0.129202-0.238493j -0.0634772+0.016531j 0.00208739+0.0548864j -0.0753722-0.0661093j 0.0865905-0.160954j -0.185382+0.00956277j 0.114419+1.70822e-13j 0.0583155-0.0138277j -0.0996321-0.0174144j 0.0764426-0.00941012j 0.00656813+0.00758623j 
0.0653852-0.0250622j 0.0695183+0.108522j -0.014189-0.0865613j 0.0938443-0.0186994j -0.127626-0.00701785j 0.064713+0.118085j -0.0689765+0.0192263j 0.0623278+0.00211105j 0.0306937+0.12637j 0.0139266+0.067016j 0.039633-0.0887232j -0.0354868-0.115175j -0.244238-0.211815j 0.0509246-0.204544j 0.13894-0.159132j 0.296423-0.122363j -0.106379+0.198014j -0.00176844-0.0702557j -0.0474435-0.0488119j -0.0494494+0.221788j -0.086534+0.0061918j 0.0583155+0.0138277j -0.0654109+8.35859e-14j -0.0734292-0.12106j -0.0718346-0.0818649j 0.0703371+0.137434j 
-0.0170247-0.0188108j -0.0645922-0.174132j 0.158978-0.0926653j 0.0436724-0.12585j -0.0237481+0.0528522j 0.0767642+0.00555233j -0.049571+0.0207121j 0.00028135-0.0448031j 0.000626788-0.0294419j -0.0224382-0.110547j -0.00605778+0.0360944j 0.304522+0.140988j 0.134002+0.0467327j -0.142807-0.155927j 0.0567747-0.20586j -0.109702+0.0562762j 0.0504787+0.316827j -0.163976-0.0225246j 0.00733399-0.0115169j -0.00947088+0.0207623j -0.14911+0.00122856j -0.0996321+0.0174144j -0.0734292+0.12106j -0.0910723-3.76088e-15j 0.174368+0.0728736j -0.00638612-0.00375316j 
0.172668+0.18994j 0.033768-0.0850812j 0.0200583-0.15099j -0.049443-0.0647519j 0.0574466+0.0471638j -0.0724302-0.0633913j 0.0353681+0.0116555j 0.0521734+0.0373157j -0.1185-0.0271741j 0.0490583+0.0719356j 0.0208883+0.0131405j -0.14913-0.0794976j 0.014818-0.13405j 0.147686+0.0497616j -0.241983-0.222741j -0.146477+0.280902j -0.0188298+0.135758j 0.00386444+0.0760442j -0.126376-0.158278j 0.00820973-0.0676345j 0.0217728+0.0598869j 0.0764426+0.00941012j -0.0718346+0.0818649j 0.174368-0.0728736j -0.0862316-8.67362e-15j -0.0944837-0.00507694j 
0.15156+0.143981j 0.106015+0.0490871j -0.191929-0.0846872j 0.0751369+0.0380609j 0.0363882-0.0348731j -0.0850085+0.0751245j 0.03572-0.030475j -0.0671685-0.00355374j 0.0557064+0.0408133j 0.0283444+0.0189552j -0.0215375-0.0371292j 0.162043+0.299945j 0.15059+0.0642842j -0.299231-0.140452j 0.0197427+0.102284j 0.0807197+0.168543j 0.185666+0.0249991j 0.11132-0.0437349j -0.00731509-0.113857j -0.0451362+0.00317841j 0.0621794-0.141336j 0.00656813-0.00758623j 0.0703371-0.137434j -0.00638612+0.00375316j -0.0944837+0.00507694j 0.0549709-2.85882e-15j 
