-0.105899-1.73472e-17j 0.0702231-0.00977762j 0.074414+0.104624j -0.0072063+0.0490179j 0.0104582-0.0426858j 0.0172776-0.0227782j 0.00173276-0.0487933j 0.0350932+0.0266511j 0.0322562+0.011302j -0.0120086-0.0377487j -0.0375902-0.0484674j -0.00660327+0.0325807j 0.0251499-0.00978581j 0.0247433-0.0186178j 5.88079e-05+0.00300607j -0.0212071-0.0416919j 0.0238068+0.0322002j -0.0511373-0.0290905j 0.0124156+0.0157875j 0.00516589+0.0210056j -0.0299017+0.016639j -0.0155491-0.0163345j 0.0330233+0.0234896j -0.0223368-0.00356061j 0.0562634+0.0250918j -0.0375556+0.00378947j -0.0114402+0.0161964j -0.000192031-0.00436444j -0.0317282-0.0142062j -0.0188463+0.008685j -0.0269862+0.0229852j 0.0258368+0.0296854j -0.0104779-0.0234713j 0.0138284+0.0235952j -0.0454269-0.00426742j 0.0260389+0.00688078j 0.00507552+0.000190281j 0.0277501-0.0184294j 0.0118483+0.0139836j -0.0163643-0.0399924j 0.00604129-0.0432622j -0.00501093-0.0232169j -0.00445935+0.0182094j 0.0379486-0.0265506j -0.0427866+0.0177073j 0.0263253-0.00725754j 0.0352177-0.00898172j 0.0102546-0.00446086j -0.0190103-0.0400228j -0.0367669-0.0239143j 0.00767251+0.0314973j 0.0738037-0.0495558j -0.00329064+0.0371525j -0.0170324+0.00104072j -0.0218695+0.0297007j -0.0950204+0.0347714j -0.0388645+0.120447j 0.0128631-0.0624791j -0.0111196+0.0394239j 0.0283622-0.0526972j 0.0189039-0.0518382j -0.0132476+0.0345583j 0.0309235-0.119968j -0.0228457-0.291696j -0.272949-0.176735j -0.360368-0.0316333j -0.00996354-0.100054j 0.270348-0.00954874j -0.0444073-0.0298692j 0.10462-0.0269406j 
0.0702231+0.00977762j 0.145375+5.55112e-17j -0.0267268-0.0504384j 0.120296+0.106757j -0.0166883-0.0232144j 0.0242213-0.0653837j -0.0157584-0.0349111j -0.0685152-0.0530767j -0.0542836-0.0340966j -0.0127347+0.0349294j 0.0190797+0.0177696j -0.0128166+0.0308459j 0.034296+0.0568854j -0.0317038+0.0260579j -0.0582046-0.0101261j -0.0418705-0.0248392j 0.0287008-0.0445249j 0.0405898+0.0125456j -0.0336183-0.00710307j 0.0186977-0.0312371j 0.00201019+0.0203098j -0.0137155-0.00483181j 0.0242421-0.0337599j 0.0552207-0.00717341j -0.0467229+0.0159682j 0.0413755+0.0130294j -0.00281892+0.0251744j -0.00147531+0.0158488j -0.00612184-0.0129081j 0.0564394-0.0871898j -0.00272856-0.0165157j 0.00714309-0.0140459j -0.00937951-0.0224553j 0.01586-0.0488323j -0.00401313-0.0316677j 0.0111764-0.0230284j -0.0245741+0.000562477j 0.00119811-0.0456653j -0.00396769+0.00826025j 0.0605913-0.0301796j 0.0941269+0.0746134j -0.0104718-0.00623463j 0.0203102+0.0546693j 0.0216027+0.0239944j -0.0411703+0.0383831j 0.0413694+0.0225157j 0.0180503-0.0466956j -0.00364069+0.0560264j -0.0528964-0.0648229j -0.026958+0.0349379j 0.0359788+0.0418697j -0.0724874-0.0890565j 0.0545289-0.0416926j -0.0851062-0.0578724j 0.0406176-0.0461216j 0.0479877-0.0230208j -0.0773544-0.0439666j 0.129083+0.113915j 0.031637-0.00518967j -0.0220676-0.00126099j 0.00395349+0.0245301j 0.0106874-0.0056904j 0.0747929+0.0597462j 0.44593+0.0110337j 0.184421-0.126636j 0.05648-0.347309j -0.0796905-0.0091299j -0.219198+0.0380123j -0.0384135+0.0659551j 0.0343228+0.0390534j 
0.074414-0.104624j -0.0267268+0.0504384j 0.0383982-4.85723e-17j -0.0919009-0.0423736j -0.0281403-0.0395309j -0.0711551-0.0263929j 0.0422719+0.00952107j 0.0668826+0.0662697j -0.0270733+0.026149j -0.00604722-0.125522j 0.0253026-0.000464572j 0.0309479-0.0291604j -0.0142418-0.0256273j 0.0221926+0.0200368j 0.0100552-0.00335907j 0.0715981-0.00402375j 0.0205755+0.0434791j -0.0357448+0.0280308j -0.0158602-0.00881843j -0.0242855-0.0241306j -0.0432982+0.00692544j -0.0178875+0.00507575j 0.0353247-0.0441825j -0.0426337+0.0420768j 0.0159915+0.0633947j -0.0579617+0.00162789j 0.0113241-0.018269j -0.026152-0.0189282j 0.00663827+0.0175299j -0.00246634-0.0549908j 0.0200672-0.0299408j -0.00342422-0.0386445j -0.0225178+0.0537859j -0.0624456+0.00876241j -0.0530514+0.00811799j -0.0149272-0.0674016j -0.00128217-0.0911946j 0.0362886-0.00782871j 0.0738479+0.0741157j 0.0745683-0.0334163j -0.0778744+0.0477606j 0.0140841-0.12371j -0.0455492-0.0305676j 5.13706e-05-0.114201j -0.0289614-0.0385326j -0.0414954-0.0188623j 0.060657+0.00107822j 0.000879987+0.119309j -0.00641657-0.0272992j -0.0480527+0.0493409j 0.0466722-0.0517003j 0.0340486+0.0519099j 0.0712662+0.00123365j -0.146629+0.0415199j -0.0281004+0.0824303j -0.103197+0.196987j 0.0699641+0.085421j -0.121462+0.276621j -0.150377+0.12101j -0.000391474-0.094192j -0.0900783+0.0123842j 0.0342673-0.0126387j 0.075799+0.0450465j -0.164447-0.0382482j -0.0481145-0.0740367j 0.0381424-0.00762862j -0.00465971-0.0614795j 0.0765022+0.000125445j -0.00328657+0.00331293j -0.00731281+0.13545j 
-0.0072063-0.0490179j 0.120296-0.106757j -0.0919009+0.0423736j 0.10886-1.7087e-16j -0.0123642-0.0243659j 0.108849+0.0752682j 0.0112649+0.0520528j -0.185388-0.0601014j -0.0835827-0.0127572j 0.0604763-0.0516528j 0.0633127+0.00223992j -0.0406203+0.0307114j 0.0668273-0.0622983j -0.00217624-0.0699623j -0.111364-0.0101327j -0.0956351-0.0269972j -0.000543775+0.0469473j 0.0834409+0.0795383j -0.0638512-0.0560542j 0.014939+0.0269222j 0.0401756-0.0108181j -0.0318279-0.030495j -0.0129671+0.0352884j 0.104708+0.0116767j -0.0808355-0.0447023j 0.0924645+0.0366579j 0.00457338-0.0129726j 0.0270045+0.00901347j 0.0296728+0.0202972j 0.00159688+0.0517732j -0.050797-0.0325129j -0.0418349+0.0107562j -0.0605035+0.0349074j 0.0188145+0.00371899j -0.0173784+0.0718038j 0.016947+0.0793713j -0.049423+0.0212327j -0.0234777-0.0303505j 0.0335451-0.0970788j -0.00758907-0.169497j 0.133511+0.0644422j -0.126123+0.0323096j -0.0258023-0.00781006j -0.0275911-0.0972163j 0.00760192+0.0394726j 0.025663+0.0595742j 0.00361687-0.12157j 0.0299826-0.107665j -0.0023186-0.0407939j 0.0784871-0.0159839j -0.0696933-0.121453j -0.114966+0.0378742j -0.0437729+0.0848558j 0.04703+0.170566j 0.229468-0.0416453j 0.192257-0.0175289j -0.062218-0.0511025j 0.433566-0.0319282j 0.321588+0.077358j -0.0551712-0.0451616j 0.0652721+0.0249606j 0.029928+0.0308295j 0.0279978-0.193598j 0.260261-0.0120845j 0.0907556+0.000884438j 0.369206+0.0025593j -0.086109+0.0606417j -0.374247+0.030941j 0.128523+0.0889905j 0.142084-0.0554584j 
0.0104582+0.0426858j -0.0166883+0.0232144j -0.0281403+0.0395309j -0.0123642+0.0243659j -0.0368182-0j 0.10691+0.0137137j -0.0525045-0.0123889j -0.0696432-0.0427649j -0.0073114+0.0390762j -0.0419102-0.0330526j 0.0422108+0.0334572j -0.0263838-0.0544597j 0.00056401-0.0316095j -0.0846335-0.062718j -0.0515394-0.0630802j 0.038933+0.0938956j -0.0223983-0.0432j -0.0298887-0.0505192j -0.0360334+0.0790736j 0.0555483-0.020218j -0.000256034+0.0350449j 0.0384348-0.029493j 0.00398756-0.0713681j 0.0853434-0.0116645j -0.0480024+0.0674446j 0.0366109-0.000981523j 0.0196179+0.046384j 0.016337-0.02693j 0.0476225+0.00496445j 0.051816+0.0340377j -0.0186206+0.018007j 0.0104859+0.0240037j 0.0166394-0.122708j 0.03313+0.0357985j -0.029662+0.0117868j 0.121363-0.032268j 0.0257425+0.028455j 0.0597816-0.156618j -0.0209019-0.00325092j 0.0377444+0.038447j 0.0367488+0.0172096j -0.00588469-0.0890051j -7.60779e-05-0.0067287j -0.16745+0.00692329j 0.0807309+0.0452678j -0.0253054-0.102546j -0.121264-0.176408j -0.0209369+0.0978663j 0.103644+0.0501122j 0.01779+0.147316j -0.138342-0.000110656j -0.00747066+0.137112j 0.0363786-0.0533485j -0.0554696-0.0215866j 0.0660314+0.138979j -0.00296398+0.00250906j -0.0957041+0.00486364j 0.0714981-0.0651049j 0.0276778+0.0887124j -0.0209068-0.0479697j 0.0176912+0.0495953j 0.0257739+0.0316803j 0.0123287-0.119439j 0.0861338-0.0896026j 0.0930324+0.0994989j 0.14072+0.0621248j -0.0355837+0.0193495j -0.0730171-0.00768167j -0.0896268+0.128707j -0.249472-0.117433j 
0.0172776+0.0227782j 0.0242213+0.0653837j -0.0711551+0.0263929j 0.108849-0.0752682j 0.10691-0.0137137j 0.0505889+8.32667e-17j -0.0707085-0.0186878j -0.0564148-0.0333571j -0.0300102-0.00773463j 0.0100247-0.0224474j -0.00272829+0.00814439j -0.0160859+0.0508989j 0.00143936-0.0463281j -0.0146764+0.0226833j 0.00109162-0.0198942j 0.0623317-0.00601059j -0.0351672+0.0775j -0.0124351-0.104467j -0.00282544-0.021869j -0.00297825+0.0351272j 0.000328844-0.0237748j 0.0381064-0.0345743j -0.0342653-0.0251897j 0.0226361+0.0126746j -0.0314249+0.0424804j 0.0454309-0.0160705j -0.011701-0.0350396j 0.0311562+0.0192014j 0.0888143-0.0241022j 0.0512164+0.0334275j 0.0070571-0.0447295j 0.0117852+0.0158178j -0.147935+0.0827374j 0.0606858+0.0457483j 0.00693636+0.0884929j 0.0502312-0.156338j 0.0262586-0.0349257j -0.133433+0.000220246j -0.0697601-0.047859j -0.00778598+0.067883j 0.0427406+0.0096521j -0.0603104+0.0625486j 0.017629+0.0232467j -0.033548+0.102668j -0.00125895-0.11756j -0.0299947+0.0142281j 0.0127602+0.0331051j -0.100482+0.0435246j -0.0581451-0.0948678j 0.0818216-0.00536228j 0.077046+0.147174j 0.0818217+0.0177636j 0.0277913-0.144845j -0.0686921+0.069891j 0.0790668-0.0702825j -0.0752442+0.056103j -0.193949+0.110568j -0.00863029-0.139898j 0.0349076+0.0360263j -0.0426424-0.037872j 0.0249408+0.00566371j 0.12253-0.0923868j -0.0575929-0.03174j 0.155206+0.0798663j 0.0176463+0.0466218j 0.0967786+0.0228325j 0.0537105-0.0163221j -0.0755196+0.0588555j -0.165396-0.0894302j 0.0935927-0.0886971j 
0.00173276+0.0487933j -0.0157584+0.0349111j 0.0422719-0.00952107j 0.0112649-0.0520528j -0.0525045+0.0123889j -0.0707085+0.0186878j 0.0161002-2.42861e-16j -0.0439083-0.0493432j 0.0574997-0.0048255j 0.0467995-0.0130269j -0.00563428+0.00159616j 0.0186382-0.0152655j -0.00363481+0.0826255j -0.0538782-0.00514231j 0.0157249-0.0169185j -0.00255163-0.0442544j -0.0443238-0.00870553j 0.00744288-0.0250127j -0.00335954-0.0577832j 0.0202488-0.00907352j 0.00264134+0.0236046j 0.037753-0.00172016j -0.0244921-0.0254797j -0.0848484-0.0566843j -0.00208185+0.00483536j -0.000119899-0.0150824j 0.0844643+0.0731304j -0.0333243+0.00355413j 0.0664111-0.0860456j -0.00809871+0.0305881j 0.0648023+0.0284003j -0.0939429+0.0822012j 0.00428529+0.0437982j -0.032705+0.0923769j -0.00758709-0.0143191j 0.0610719-0.0173518j -0.0229682-0.0542482j -0.0378976+0.151492j 0.0193388-0.0202676j -0.0448533+0.0481549j 0.02576-0.0727059j -0.0729072-0.0140149j 0.00868382-0.0028339j 0.0151654-0.0137061j 0.00339905-0.0433442j -0.0664807+0.0460039j 0.0280955-0.099979j 0.0767324+0.0986848j 0.02929+0.00365158j -0.0171905+0.00401638j -0.0569996-0.0789556j -0.146742+0.0015282j 0.10044-0.0680883j -0.030081+0.0869058j 0.139672-0.0465609j 0.106178-0.0761417j -0.113826+0.112294j -0.132939-0.0031233j -0.0576831+0.0701142j -0.0484819-0.0375632j -0.049021-0.000240134j 0.00938753-0.0807016j 0.0490982-0.0592128j -0.0445267+0.00788384j -0.149622+0.0196658j -0.043175+0.0783061j 0.0980005-0.00869534j 0.0246211+0.188467j 0.279096+0.128525j -0.15224+0.19134j 
0.0350932-0.0266511j -0.0685152+0.0530767j 0.0668826-0.0662697j -0.185388+0.0601014j -0.0696432+0.0427649j -0.0564148+0.0333571j -0.0439083+0.0493432j 0.251225+2.15106e-15j 0.0685562-0.0381956j -0.0277841+0.0368865j 0.0485067-0.0700267j 0.0117216+0.047144j -0.0507246-0.065212j 0.076054-0.0333809j 0.0496132+0.0524019j 0.134528+0.0177963j 0.0262956+0.0672776j -0.144366-0.0541598j 0.197538-0.00806741j -0.0871713+0.00120132j -0.0103528+0.00491211j -0.0583355+0.0294214j 0.063483-0.0326282j -0.118782-0.00179218j 0.03175-0.0588428j -0.13358-0.0591629j -0.00139765-0.0202772j 0.00354057-0.0505866j -0.0139518-0.0854396j -0.0976326-0.00874002j 0.00790281+0.0206419j 0.0293944-0.0756558j -0.0237107-0.0249471j 0.0210845-0.0495367j -0.108926+0.0104139j 0.0258012+0.0775616j 0.0943415+0.0169038j 0.131166+0.118517j 0.0807364-0.0943323j 0.165459+0.0179168j -0.127596+0.0461181j 0.0301248+0.108058j -0.0326622+0.0742219j -0.00228101+0.0141553j -0.0439128-0.00843451j -0.014982+0.0263808j 0.0239095-0.109796j 0.0314438-0.144829j 0.0798772-0.0743411j -0.0393345+0.0168085j -0.0684839+0.0273785j 0.236832-0.0111633j 0.0766864-0.00396478j -0.0487886-0.00390023j -0.322705-0.0147868j 0.0042943-0.00280129j 0.290164+0.0233443j -0.223281+0.0362505j -0.366416-0.0571112j 0.0435195+0.0554712j -0.0697581+0.00671155j -0.137904-0.107289j 0.0674881+0.00894161j -0.389708+0.0534735j -0.0982979-0.0875365j -0.366655+0.0109956j -0.00589968+0.0722191j 0.547877-0.0858419j -0.244595+0.244809j -0.399555-0.0550194j 
0.0322562-0.011302j -0.0542836+0.0340966j -0.0270733-0.026149j -0.0835827+0.0127572j -0.0073114-0.0390762j -0.0300102+0.00773463j 0.0574997+0.0048255j 0.0685562+0.0381956j 0.0262442-1.35308e-15j 0.0460306+0.0571006j -0.0961177-0.0327031j -0.0582767+0.00354564j -0.0171772+0.0443043j -0.00145247-0.0470764j -0.0146984+0.0767978j 0.0739654-0.0677269j -0.0385856-0.0139299j -0.0442416-0.018002j 0.0580487-0.0318992j 0.0294739+0.0837411j -0.0117865+0.0149524j -0.043839+0.0260579j 0.130656-0.00646594j -0.0834002+0.0687953j 0.0215604-0.0335282j 0.0249849+0.026726j 0.0507017+0.0860379j 0.0190783-0.0415023j -0.0234881-0.11437j -0.0103206-0.0517905j -0.0166471+0.0828742j 0.0292363-0.0218898j 0.0579633+0.102262j -0.0157269+0.0580456j 0.0779823-0.0216007j 0.0531578+0.0485699j 0.0139335+0.0703214j 0.0284925-0.0405417j -0.00398211-0.0324792j 0.119962+0.128133j 0.0721097+0.058401j 0.0711306+0.0874179j 0.0602214+0.0554235j 0.00968372+0.050865j -0.0190525+0.140006j -0.102042+0.186345j -0.0800542-0.0666304j 0.0392514-0.148179j -0.0449182-0.0255835j -0.115136-0.0417249j -0.102072+0.0470166j 0.130662+0.00550376j 0.0463273-0.175803j -0.10603-0.100008j -0.0429901-0.0605813j -0.0909602-0.045138j 0.0231576+0.069738j -0.0826315+0.0899491j -0.0077185-0.0354853j 0.0586191+0.111125j -0.136066+0.0184815j -0.000742827+0.0218956j -0.0317176-0.0198152j -0.146735+0.0417728j 0.0142263-0.0648161j -0.260041+0.0591546j -0.0164684+0.261628j 0.0138027-0.0843793j -0.135838-0.0531494j -0.0969777-0.0648723j 
-0.0120086+0.0377487j -0.0127347-0.0349294j -0.00604722+0.125522j 0.0604763+0.0516528j -0.0419102+0.0330526j 0.0100247+0.0224474j 0.0467995+0.0130269j -0.0277841-0.0368865j 0.0460306-0.0571006j 0.0747615-2.11636e-16j 0.0414878+0.0310033j -0.0435873-0.0257864j 0.102175+0.083355j -0.00868509-0.0695656j 0.0282905+0.0146699j -0.116874-0.0744108j 0.0568545+0.0216309j 0.0490908+0.0600031j 0.0193126+0.0483759j -0.0224529-0.0539003j -0.0103328+0.00690694j -0.00907237+0.120314j 0.0384383-0.0547129j 0.0323755+0.0820695j -0.0405064+0.0286615j -0.00144087+0.0828116j -0.000368807+0.00503181j 0.0563104+0.0365091j -0.000494356-0.117742j -0.0124059+0.108287j -0.0193523+0.0593322j -0.121864+0.0722046j 0.0203803-0.0384432j 0.0297604+0.064505j 0.00323012+0.040286j 0.199915+0.0869696j -0.0143513+0.000419037j 0.0626975-0.079748j -0.0361218-0.00457521j -0.0637287-0.139724j 0.0319201-0.131438j 0.0193822-0.00754791j 0.0437314+0.017519j -0.0289481+0.0261401j -0.0654538-0.103706j 0.0373663+0.00186422j 0.0793944+0.0245551j -0.169502+0.0171465j 0.0309762+0.0852487j -0.0381127+0.0768623j -0.031023+0.0632076j -0.0375705-0.151892j 0.052163-0.0529815j -0.077028-0.0624489j 0.0881893-0.0965044j -0.0771658-0.00516197j -0.0829208+0.0377247j 0.112449-0.113708j -0.101722+0.0157815j 0.0664411+0.074713j -0.0386781+0.0137779j 0.0396991-0.0805358j 0.000952304+0.025026j 0.0184495-0.0111814j -0.0844645-0.0531713j 0.222242-0.0998461j -0.138308-0.199065j -0.0924869-0.212331j 0.0610709-0.0986511j 0.0707953-0.00146317j 
-0.0375902+0.0484674j 0.0190797-0.0177696j 0.0253026+0.000464572j 0.0633127-0.00223992j 0.0422108-0.0334572j -0.00272829-0.00814439j -0.00563428-0.00159616j 0.0485067+0.0700267j -0.0961177+0.0327031j 0.0414878-0.0310033j 0.0294387-1.83187e-15j 0.00164877-0.0641024j -0.0134635+0.034246j -0.0533115-0.0653832j -0.0265781+0.0652919j -0.0726248+0.00956816j -0.0122833-0.0230525j 0.0474634-0.0848746j 0.00348528-0.0356275j -0.039575-0.0332845j -0.0472883+0.051323j 0.0427696-0.179277j -0.0358364-0.00352128j 0.0565697+0.102204j -0.0444152+0.0541021j -0.0559458+0.0268115j -0.047345+0.0353539j 0.00796553-0.087563j 0.0688915-0.00656655j 0.114456+0.0178137j -0.0316397+0.085198j 0.108227-0.104245j 0.0729516-0.116167j -0.178611+0.0280321j 0.0856472+0.0813764j 0.0412642-0.0010027j 0.0455765-0.0564309j -0.132503+0.0454195j -0.0850642-0.025337j -0.117467+0.0228506j 0.0979191+0.143632j 0.0241256+0.0773226j -0.0694982+0.11503j 0.000744849+0.0893893j 0.0144159+0.0207633j 0.0333657+0.0413515j -0.0195635+0.113185j 0.0054673+0.108885j -0.0389688-0.0646678j -0.0884966+0.00861866j -0.0795171-0.055526j -0.0615681-0.0219471j 0.125758-0.0490523j 0.0296376+0.0434743j 0.166253-0.0807141j 0.10119-0.0348413j -0.0938168-0.0611072j 0.15618-0.0530157j 0.0891823+0.00887605j -0.00780063-0.00272436j 0.0127806-0.00893672j -0.00281878-0.0594273j 0.115118+0.0732171j 0.0842636+0.0120013j -0.0239891-0.054798j 0.0523197+0.0636068j 0.0672743-0.0560958j -0.172292+0.0773544j 0.091159-0.0446443j 0.104047-0.0519146j 
