-0.000895436-0j 0.241622-0j 0.127068-0j -0.502015-0j 0.00100846-0j -0.00297763-0j -0.00180977-0j 0.125495-0j 0.232728-0j 0.16151-0j -0.348391-0j -0.287428-0j -0.104568-0j -0.148128-0j 0.0333661-0j 
0.381623-0j -0.100456-0j -0.110044-0j -0.211347-0j 0.138561-0j 0.0799985-0j -0.248661-0j 0.107329-0j -0.303908-0j -0.214895-0j -0.149445-0j 0.0399993-0j -0.0224626-0j 0.128283-0j 0.00478082-0j 
-0.000956705-0j -0.125495-0j -0.564712-0j 0.087634-0j -0.00110471-0j -0.000637803-0j -0.000390573-0j 0.571831-0j 0.123933-0j -0.176925-0j -0.125105-0j -0.153062-0j -0.111723-0j 0.162267-0j -0.0365507-0j 
-0.376902-0j 0.09797-0j -0.107329-0j -0.0692807-0j 0.140308-0j 0.081007-0j 0.0496064-0j 0.107321-0j 0.303908-0j 0.223073-0j -0.0508532-0j -0.204049-0j -0.245153-0j -0.128283-0j -0.140761-0j 
0.262109-0j 0.21133-0j -0.231519-0j 0.0540075-0j -0.0992129-0j -0.0572806-0j -0.472105-0j -0.0758872-0j 0.0692807-0j 0.0508532-0j 0.0396424-0j 0.144285-0j -0.528818-0j 0.0907098-0j 0.0995332-0j 
-0.16151-0j -0.139479-0j 0.0715528-0j -0.0950109-0j -0.186495-0j 0.550659-0j -0.0659361-0j 0.0742759-0j -0.134366-0j 0.187369-0j 0.13249-0j -0.0506268-0j -0.211454-0j 0.085522-0j -0.33955-0j 
-0.15195-0j 0.20921-0j 0.0449252-0j 0.0862819-0j 0.171129-0j 0.0988012-0j -0.307106-0j -0.223525-0j -0.0399993-0j -0.0261039-0j 0.0563083-0j 0.251578-0j -0.175348-0j -0.0523713-0j -0.455552-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.248661-0j 0.203031-0j 0.222409-0j -0.380673-0j -0.0565675-0j -0.0326593-0j -0.135213-0j -0.043817-0j -0.0399993-0j -0.0282837-0j -0.269177-0j -0.0163296-0j 0.0453991-0j -0.0523713-0j -0.00195176-0j 
-0.0637227-0j 0.199364-0j 0.0113135-0j 0.00730283-0j -0.0735807-0j -0.0424818-0j -0.0260147-0j 0.218393-0j 0.0103278-0j -0.352425-0j -0.249202-0j 0.165084-0j 0.357037-0j 0.0135222-0j -0.570187-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.0799985-0j -0.33405-0j 0.0715528-0j -0.236209-0j 0.0923743-0j 0.39803-0j 0.0326593-0j 0.0715528-0j -0.33405-0j 0.0461872-0j 0.0326593-0j -0.136375-0j 0.0146057-0j 0.085522-0j 0.00318722-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.138561-0j -0.113135-0j -0.123933-0j -0.0799985-0j 0.836866-0j -0.0923743-0j -0.0565675-0j -0.123933-0j -0.113135-0j -0.0799985-0j -0.0565675-0j -0.0461872-0j -0.0252977-0j -0.148128-0j -0.00552042-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
