0.0109631+0.000666771j 0.000702687-0.0109632j -0.0037252-0.0107217j 0.0108544-0.00390892j -0.000544413-0.00672329j 0.00525723-0.00422498j -0.00895001+0.000161229j 0.000529153+0.0101734j 0.00186751+0.00195998j 0.00192413+0.00355355j -0.0053026+0.000813811j 0.00452364+0.00149011j 0.00109533-0.00596814j 0.00252362+0.00417153j -0.000971617-1.74289e-05j -0.00446067+0.000261567j 0.00336678+0.000954134j 0.00329993-0.00206331j -0.00279743-0.00069596j 0.0016196+0.00390045j 0.00416467+0.00454562j -0.00569194+0.00435068j -0.00164058-0.00111363j -0.00149124+0.00288548j -0.00238982+0.00245247j -0.00206102-6.81045e-05j -0.000642293-0.00234843j 0.0024725+0.00358751j 0.0029768-0.00381718j 0.00541474-0.000456733j -0.00155218-0.000138682j 0.00623057-0.00714346j -0.00407728-0.0011583j -0.000534612+0.00275909j 0.00015525+0.00115399j 0.00282591-0.000433364j -0.000718092+0.00345755j -0.00882201-0.00491453j 0.0048441+0.00384357j 0.00231973-0.00144105j 0.00143827+0.00223881j 0.00168608-2.72438e-05j 0.00467823-0.00245553j 0.00239029+0.00356222j 0.000390666+0.000295619j 0.000962523+0.00106845j 0.000434361+0.00334858j 0.00232139-0.00197773j 0.00126985-0.00885424j -0.000246866+0.00122684j 0.00153769+3.07164e-05j 5.29338e-05+0.00441137j 0.000734402-0.000220452j -0.000814-0.000640777j -0.00106874+0.00342118j 0.00650353-0.00473335j 0.000756033+0.00433927j 0.0061448-0.00204838j -0.00414371+0.000118845j 0.00428277-0.000496825j -0.00554408+0.00120292j 0.00324611+0.000277934j -0.00695943+0.000454484j -0.00533966+0.00868035j -0.00179772-0.00288659j -0.00567596+0.00216614j 0.00970904+0.00502774j 0.00641032-0.0123461j 0.0111647-0.00532007j 0.00401103-0.00095077j 0.0071997-0.00871475j -0.00842249-0.00411589j -0.00223335-0.00250515j -0.00955593+0.0118085j 0.00981954+0.00999855j 0.0101747+0.0207169j -0.0208526+0.0111798j 
-0.00249768+0.0104318j 0.0107565+0.00238071j 0.00651319-0.00191093j 0.00192186+0.00706578j 0.00460061-0.00619582j 0.00826897+0.00418449j -0.000870666-0.00714282j -0.00398919+0.00335988j 0.00493019-0.000135329j -0.0056743-0.00156281j -0.00252229-0.00873879j -0.0058741+0.00777494j 0.0110625+0.000616763j -0.000513851-0.00015184j -0.0035215-0.00458107j -0.000260093-0.00372441j -0.00129175-0.000655281j 0.000293659-0.000575524j -0.00228216-0.000721856j -0.00110643-0.00262929j -0.0063119+0.00244038j 0.001739-0.0084757j 0.00144079-0.00312706j 0.00112227-0.00287197j 0.00260425-0.00418195j -0.00038293-0.000663313j 0.00499279+0.00328623j -0.00450679+0.00544563j 0.00274233+0.000960168j 0.000398844-0.000870836j 0.00152065-0.00154331j 0.0047411-0.000456781j 0.00188776-0.00216612j -0.00300566+0.00114395j -0.00349148+5.972e-06j -0.00286598-0.000191469j -0.00326986-0.00105034j 0.00201391-0.00185051j -0.00514954+0.00143593j 0.00339538+0.00234624j -3.67673e-05-5.37209e-06j 0.00379084+0.00257982j 0.00577697+0.00444491j -0.00101495-0.000459728j 0.00159193+0.00878885j 0.000881988+0.00200494j 0.000193453-0.000271868j 0.000586519-0.00418466j 0.0029818+0.000977577j 1.74648e-05+0.00597393j -0.00119091-0.00156621j 0.00483271-0.0019583j 0.00148782+0.00628709j -0.00130428+0.00539299j -0.000299988+0.00298153j 0.0022102-0.00337528j 0.000811013+0.000674011j 0.000150319+0.00363214j 0.00832908+0.00296209j -0.00380282+0.00310051j 0.00284111-0.00255798j 0.00316264-0.000960532j -0.00753982+0.00574573j 0.00625081+0.00164376j 0.000904764-0.00119038j -0.00676487-0.00361831j -0.00682255+0.0113941j 0.0129342+0.00303191j -0.00974127+0.00455332j -0.00679277-0.00382022j 0.00163357+0.00668423j 0.00340341-0.0126434j 0.0167372-0.000586553j -0.00860161-0.00445962j -0.00361627+0.00908922j -0.0220006+0.00956637j -0.00858137-0.0220676j 
-0.00230718+0.0096788j 0.0104441+0.00348211j -0.00131146+0.0065609j -0.00586781+0.000616888j -0.00521361-0.00447218j 0.0067839-0.00267417j 0.00253592-0.00378592j 0.0017543-0.00956908j -0.00706215-0.00553077j -0.00600269+0.00713082j -0.00691762-7.07892e-05j -0.000943876+0.00486249j -0.00244734+0.00362731j -0.00662065-0.00225264j 0.00142396+0.00866528j -0.000500471+0.00405251j -0.00018628+0.00209008j -0.0015271+0.00100984j -0.00325278-0.00146561j -0.00325583+0.00999649j -0.00654427-0.000125646j -0.00169429-0.000551441j -0.00446533+0.00524607j -0.000274741+0.00237942j -0.000506303+0.000607451j -0.00327733+0.00224118j -0.00403815+0.00544582j 0.00352008+0.00340918j 0.00510869-0.00151447j 0.00510537-0.0010065j -0.00512083-0.000901618j -0.00116412+0.00254017j 0.00280793+0.0014204j -0.00171823-0.000639746j 0.00321084+0.000876325j -0.000191738+0.00102971j 0.00616254+0.00200914j -0.00295212-0.0064038j 0.00169044+0.00146549j 1.66831e-05+0.00136204j 0.00241052-0.00240538j -0.00391313+0.00541775j -0.00259112-0.00506969j 0.0032827+0.00216647j 0.00214961+0.00320717j 0.0029368+0.00147775j 0.000268709+0.00129929j 0.00359418-0.00285083j -0.00803442-0.00835947j 0.00110911-0.0068063j 0.0021658-0.00010971j -0.0015673+0.00610865j 0.00504119-0.00535664j 0.000497106-0.0016585j -0.00372057-0.000642616j -0.00399904-0.00294839j -0.00383564+0.00217944j -0.000578721-0.00114045j -0.00791155+0.00359752j -0.00173764+0.00316163j -0.00432749-0.0077909j 0.00721016-0.00341228j -0.0060043-0.00251234j -0.00123148+0.00151463j 0.0060572-0.00407346j -0.00520421-0.00646893j 0.00217636+0.00740947j -0.00347776+0.00165892j -0.00327143-0.009689j -0.0135187+0.0140668j 0.00892335+0.00648578j -0.00467345-0.00219781j -0.00274272-0.0083511j 0.0130403+0.0112432j 0.0144696-0.0155888j -0.00817823+0.00580031j -0.00423562-0.0122393j 
0.00925411+0.003276j 0.000394487-0.00974558j -0.00435441-0.000334105j -0.000805869-0.0016137j -0.00560113-0.00150802j 0.00179066-0.00817103j -0.00387163-0.00199001j -0.00320103-0.000136634j -0.00627883+0.00354326j 0.00384375+0.00696011j -0.00397667+0.00529742j 0.00257143+0.00037991j -0.00273436-0.000411835j -0.00194663+0.00478129j 0.00293705+0.00154005j -0.001135+0.000363909j 0.00374797+0.00165517j -0.000850754-0.00210927j -0.00180938-0.00111015j 0.00168059+0.00277632j 0.00112044+0.00241084j -0.00335546+0.00297179j 0.00497013+0.00641906j 0.00168021-0.000916388j 0.00389207+0.00197109j 2.29449e-05-0.00109393j 0.00652777-0.00126746j 0.00175857-0.00185773j -0.00133135-0.00407789j 0.000260233-0.000414944j 0.0028135+0.00407462j -0.00394219-0.00129713j -0.00190869+0.00179444j 0.00282861+0.00145182j -0.0013537-0.00369351j 0.00448689+0.00645933j 0.00283709-0.00283564j 0.00199998+0.00515131j 0.000633498+0.00438407j -0.00209762+0.000891441j 0.000533293+0.000491764j -0.00618999-0.00335j -0.000842356-0.00141834j 0.000172944-0.00284781j 0.00256254-0.011452j -0.00132864+0.00232806j 0.00224079-0.00388493j -0.00150718+0.00939817j -0.00698156+0.00281033j -0.00106208+0.00444561j 0.00155647+0.00411983j -0.00772955+0.00264373j -0.00674808+0.00185009j -0.00245005-0.000198125j 0.000126407-0.00675018j 0.00550247-0.00125739j -0.00855942+0.00588786j -0.0131098+0.00263573j -0.000561652-0.00336722j -0.00195464+0.00432386j -0.0016043+0.00286977j 0.00164383-0.00891443j 0.00594024+0.0130702j -0.00348339+0.00445188j 0.00164701-0.0102191j -0.00185824+0.0048364j 0.000684489-9.23368e-06j -0.00981313-0.0116359j -0.0179242+0.002151j 0.0133905+0.00512401j -0.0036776-0.00977863j 0.00494203+0.00175876j 0.00503465+0.00693616j 0.0161559+0.00320617j 0.00103689-0.0157698j 0.00467994+0.00739944j -0.00292279+0.00707788j 
0.00461583+0.00415286j 0.0021755-0.0019693j -0.000777144-0.0101044j 0.00877603+0.00305363j 0.00352848-0.00309145j 0.00271011+0.00573544j -0.00273025-0.000405669j 0.00255782+0.00752815j 0.00432379+0.00115646j 0.000487279+0.000342157j -0.00141293-0.000302981j -0.00030475-0.0012412j -0.00126132-0.00662233j 0.00252498-0.00128001j -0.00147174-8.44782e-05j -0.00361118+0.0014945j -0.000655512+0.00124243j 0.000522189-0.00188806j -0.00283967+2.15401e-05j -0.00254723+0.00216139j 0.00459648+0.00359755j -0.00267297-0.000148161j -0.00371937-0.00602606j -0.00116695+0.00424581j -0.00277323+0.00229123j -0.00142387+0.00134266j -0.00338796-0.00305729j 0.00300701+0.00856682j 0.000141821-0.00390986j 0.00664569+0.00472294j -0.00423703-0.00698066j 0.00577187+0.000476039j -0.00341264+0.000919957j 0.00141825-0.00108458j 0.00012789+0.00587977j 0.0034961-0.00179937j -0.000158259+0.00734575j 0.00144358-0.0019101j 0.000400703+0.000470671j 0.00135501-0.00232809j -0.00223777+0.00036793j 0.00383317+0.00245571j 0.00430623+0.00182426j 0.00355435+0.00409866j -0.00440252+0.00141609j -0.000490486-0.00367536j -0.000285406+0.0041947j 0.00582222-0.00138511j 0.00428398+0.000511915j -0.00119223-0.00254174j 0.00227768+0.00402934j 0.00133975+0.00148749j 0.00353996+0.00044071j 0.00370275+0.00281628j 0.00334606+0.0055534j -0.00897248-0.00455724j 0.00463539+0.00486219j -0.0055868+0.000566315j -0.00588509-0.00883278j 0.000565436+0.00762502j 0.00750281-0.00617237j -0.00430762-8.44099e-05j 0.0075784+0.00369241j 0.00514167-0.00605391j -0.00317338-0.00142741j -0.00071561-0.000618392j 0.00567843+0.0154212j -0.0161716-0.0125857j 0.00216079+0.0113709j -0.00571722-0.00331009j -0.00654604+0.00484314j -0.00360322-0.00357074j 0.00444466-0.0161162j -0.0102251+0.0115814j 0.0117749+0.0117676j 0.00938884+0.0122285j -0.00643018+0.00615618j 
-0.0013687-0.00228037j -0.00670456-0.0015123j -0.00372599-0.00123406j -0.000809023-0.00244227j -0.00164445+0.00305781j -0.00429105-0.00100608j 0.00577922+0.00715454j 0.00747379-0.00429572j -0.00166073-0.00586174j -0.00165187+0.00154715j -0.000816965+0.00482459j 0.00157357-0.00481712j -0.00799715-0.00546646j 0.00178334-0.00253642j 0.00142471+0.00800721j -0.00189803+0.000969406j -0.000632524+0.00310317j -0.00174208+0.000362052j 0.00209309+0.00265977j -0.00611008+0.00170364j 0.0025374-0.000905931j -0.00156686+0.00195626j -0.00243171+0.00221345j -0.00558695+0.000801733j -0.00338116+0.00228609j -0.00218268-1.05597e-05j -0.00579733+0.00255321j 0.00357685+0.000723489j -0.00281154-0.00241705j 0.00372548+0.00331551j -0.00214329+0.000554134j -0.000322573+0.0002185j 0.00175989+0.00319574j -0.00198699-0.00419081j 0.00262341+0.00102212j 0.00171381-0.000272069j 0.00330748+0.00228253j 0.00313403+0.000667631j 0.00236861-0.00166906j -0.00169702-0.00268789j -0.00107201-0.000835712j -0.00270062-0.00269379j -0.00159542+0.0029071j -9.65317e-05-0.000980614j 0.00315397+0.00615738j 0.00020362-0.0006616j -0.00271414+0.000957569j 0.00181082-0.000961319j -0.00191936-0.0087375j -0.00129344-0.00632835j 0.00324648-0.00142792j 0.00031255+0.000567461j 0.00276156-0.00140862j 0.00134599+0.00426453j -0.00459123+0.000220763j -0.00295039-0.00981432j 0.000647869+0.00157042j -0.00222211-0.0148378j 0.00866501-0.001821j -0.00849392-0.00978826j 0.00833693+0.00610334j 0.0032098-0.00540635j -0.00793344+0.00310881j 0.00620842+0.00399693j 0.00208983-0.000236327j 0.00832031-0.00103317j -0.00836101-0.0070242j 0.00239761-0.0209269j -0.0064063-0.0226974j -0.00976419+0.00118361j -0.00626063-0.00383281j -0.00360362+0.0136492j -0.0029395+0.00546826j -0.00140921+0.0110819j 0.00849274+0.00305112j 0.00820245-0.0110861j 0.0110501+0.0150663j 
-0.00125528+0.00541014j 0.00711792+0.00275774j 6.96709e-05-0.00495828j 0.00369502-0.00167937j 0.00778321-0.00196972j -0.0018638+0.00918595j 0.00318684+0.00783298j 0.00616956+0.00222172j 0.00185516+0.00183317j 0.00608724+0.00696262j -0.00757489-0.000728108j -0.00203181+0.000342645j 0.00197328+0.00110837j 0.00201034-0.00639632j 0.00167525+0.000236924j -0.00228324+0.00322964j -0.000476064+0.000908541j 0.0108172+0.00138198j -0.00532855+0.00645632j 0.00197253+0.00812023j -0.00359183-0.00523j 0.00546995-0.00483144j -0.00331569-0.00268226j -0.00270318+0.00316114j -0.00145723+0.00393813j -0.00369335-0.00423341j -0.00267167+0.0072803j -0.00104245+0.000486987j -0.00427259-0.00603953j 0.00051357-0.00139583j -0.00158153-0.000333214j 0.0052805+0.000363752j 0.00180966+0.00476671j -0.00224629-0.00567443j 0.00257506+0.00224604j 0.00989419-0.00785129j -0.0014573-0.00542052j 0.00326208+0.0127023j 0.00699269+0.00607106j -0.00417137-8.72512e-05j -3.02106e-05+0.000869652j -0.00288184+0.0012256j -0.00324286+0.00452254j 0.00737676-0.0062826j 0.002373+0.00174631j -0.0056173+0.000534443j 0.0014192+9.60773e-05j 0.00366425-0.00764511j -0.0114757+1.7149e-05j -0.00676789-0.00496639j 0.00658279+0.00809116j -0.0118919+0.000459116j -0.00100236+0.00139266j -0.00222674-0.00415388j 0.00495021-0.00504489j -0.00172311-0.000383131j 0.000165876+0.00196523j -0.00504333+0.0029597j 0.00850317-0.00117184j 0.00261787-0.00606828j 0.000794753-0.000915564j 0.00121125+0.011013j 0.00203068-0.00170709j -0.0146724+0.00408163j 0.00549592-0.00522383j -0.00788113+0.00306527j 0.0133155+6.44141e-05j -0.00420647+0.00180404j -0.00498829-0.0110533j 0.0026574+0.00192813j -0.00821506+0.00453172j 0.00726747+0.021551j -0.020689+0.00931382j 0.000704218-0.000869185j -0.0020107+1.85744e-05j -0.00327551-0.00312808j -0.000378891-0.00425829j 
-0.006519-0.00314235j -0.000164126+0.00889965j -0.00252836-0.00075026j -0.00125973-0.00573524j -0.00586485-0.00758715j 0.00700077-0.00241591j 0.000542975-0.00539963j 0.00115895-0.00224541j -0.000423486-0.0119739j -0.0122215-0.00483289j 0.00564028-0.00583688j 0.00106919+0.000852184j 0.00210121-0.00233263j -0.00303319+0.00303794j 0.00232336+0.00383334j -0.000872105-0.00255839j -0.000611715+0.00239123j -2.23528e-05+0.000906976j 0.00262415-0.011227j 0.00337243+0.00277201j -0.00269104+0.00233481j -0.00221975+0.00344075j -0.00278387-0.00644967j 0.00163453+0.00962054j -0.000821813+0.00125378j -0.006763+0.00478765j -0.00492379-0.00019399j -0.00372809-0.00480032j 0.0101954+0.000569021j 0.00269696-0.000344527j -0.00361882+0.00320458j 0.00234741-0.00281569j 0.000961138+0.00420944j -0.000885988-0.000351769j 0.0014897-0.0045214j -0.00511521-0.00218218j 0.00364964+0.00634429j -0.00540659+0.00563575j 0.00408811-2.65335e-05j 0.00982796+0.013789j 0.00579728-0.00535136j -0.00249719+0.00909462j 0.00158333+0.00231577j 0.00103246-0.00761342j 0.00559942+0.00888158j 0.00420183+0.00700503j 0.00299561-0.0107102j -0.00127643-0.00470539j -0.00364841+0.00303265j 0.00261268-0.0102471j 0.00490579-0.000261375j -0.000906329+0.00245471j 0.0083336+0.00127915j -0.000205209-0.00713621j -0.00205349-0.00401446j -0.0104265-0.00305624j -0.000344597-0.00635364j -0.0099883-0.00483256j -0.00369323-0.00642488j -0.0097739+0.00890009j -0.00218012-0.00526141j -0.00923962+0.0043205j -0.00654981-0.000287551j -0.00468652+0.00597674j 0.0101934+0.0101345j -0.000590746-0.00436462j 0.00269777+0.00123619j -0.000503541+0.00208396j -0.0146987-0.00698744j 0.00919934+0.012322j 0.0148326-0.0122265j -0.0038859-0.00573912j 0.00168605+0.00143291j -0.00296065+0.00556432j 0.00251657+0.00516552j -0.00276597-0.00200462j -0.000660553+0.0041013j 
0.00479639-0.000935046j 0.00171506-0.000593656j -0.00164195-0.001353j -0.000680677-0.00818064j -0.001859-0.00200352j -0.000248356-0.00434279j -0.00543192-0.00337017j -0.00569892-0.00468312j -0.00260834-0.00154542j 0.00533141+0.00921834j 0.00100618+0.00369971j 0.00430029-0.000573079j -0.00207685+0.000586992j -0.00307071+0.00335304j 0.00417477+0.00567594j -0.000433519-0.000779508j 0.00107158+0.00527763j 0.00246415+0.0074292j -0.00113828-0.00806178j 0.00379869+0.00895307j -0.00101974-0.00229409j -0.00209782+0.00248134j 0.000112443+0.00176661j -0.000218549+8.73804e-05j 0.00142332+0.00386099j -0.00342239-0.00870871j -0.00160829-0.00396593j -0.00294785-0.00900737j 0.0022786+0.00294634j -0.00232414-0.00512486j 0.00265516+0.00328059j -0.000753768+0.00659925j -0.00145247+0.00681864j -0.000172294-0.010619j 0.00149579+0.00335379j 0.000546917+0.00220453j 0.00181922-0.00491393j -0.000769676-0.00558127j 0.00454453+0.00947151j 0.00126035+0.00671837j 0.000555156+0.00625413j -0.00345378-0.00597247j -0.00115835+0.00754244j -0.00333647-0.0116503j -0.00320215+0.0109461j -0.00167569+0.00703706j -0.00169755-0.00413276j -0.00571087-0.00359889j -0.00145442-0.0024455j -0.000689114-0.00576159j -0.00344851-0.00250393j 0.0064426-0.00774432j -0.00318969+0.00399625j 0.0094772+0.00524559j -0.00484051-0.00554813j 0.0047887-0.00328253j 0.00027056+0.00317172j 0.00704642+0.00105178j 0.00633144-0.00690882j -0.000950716-0.00261835j -0.00142538+0.00134421j -0.00587685-0.0138794j 0.00174002+0.00718107j -0.00227672-0.00490407j -0.00508819-0.000964119j -0.000251789-0.00332226j 0.00234284+0.00334799j -0.0045842-0.00207669j 0.000597064+0.0135701j 0.00839358+0.00318285j 0.00608144-0.00257813j 0.00114585-0.00212769j -0.00540827-0.00231307j 0.0079836-0.0128183j -0.00954279-0.00953982j 0.00193507+0.00700997j -0.0047845-0.0063981j 
-0.00301925+0.00447844j 0.0017961+0.00290956j 0.0034706-5.12995e-05j -0.00258025+0.00668681j -0.00180022-0.00102937j 0.0014714+0.000259098j -0.00409355-0.00498221j -0.00486823+0.00358929j 0.00189969+0.00408255j 0.00175244-0.00221829j 0.00225027+0.00322305j -0.00400894-0.00455072j 0.000605232-0.00284387j 0.0080391+0.000466329j 0.00330475-0.00298528j 0.00465725+0.0133638j 0.00728554-0.0022847j -0.000673834+0.00235655j -0.0102328-0.00145151j 0.00042415-0.00157571j 0.000635578+0.00641252j -0.00370237+0.00293289j -0.00439206-0.00320912j 0.0084036+0.00724605j -0.00393067+0.00152063j 0.00741065+0.00651331j 0.000988606+0.00420297j -0.00153016-0.00062952j -0.00101445-0.00515746j -0.00229294-0.000270342j -0.00310411-0.00837222j -0.000867728+0.00442755j -0.00269846+0.00268887j 0.00111394-0.00441572j 0.00635009+0.00493133j -0.00278359+0.0039697j 0.000815243+0.00142556j -0.00557532+0.015168j -0.0012665-0.000555294j -0.000465943+0.0033415j -0.00669777+0.000217529j 0.00908707+0.0011245j 0.00820544+0.00425457j 0.00682999-4.14823e-05j -0.00167407+0.00018074j -0.000414924+0.00323685j 0.0035916+0.00292948j 7.04278e-05+0.00912946j -0.00224678-0.00375233j -0.000956392-0.00030046j -0.00217897+0.00755327j 0.000562777-0.000177192j -0.00203537+0.000587204j 0.00361853+0.00131206j 0.0027622-0.00323691j -0.00711791+4.10324e-05j -0.00497936+0.00303468j -0.00295645-0.00319706j 0.00303316+0.015301j -0.00622947-0.00208429j 0.000127623+0.0112956j -0.0052207-1.92636e-05j 0.00169041-0.00157812j 0.00617901+0.000846566j 0.00529966-0.0157114j -0.0122386+0.00170049j 1.5532e-05-0.0141415j -0.00811358+0.00652726j 0.00900253-0.0135599j 0.0041545-0.0075169j 0.000837186-0.0152969j -0.0138755-0.00316718j 0.00224814+0.000975356j 0.00392847+0.000889413j 0.00478378-0.00816298j 0.00249018-0.00577362j -0.000935671+0.00349736j 
0.000421154-0.00740284j -0.00586186-0.00582982j 0.00672974+0.00141226j 0.00616529+0.00949017j -8.33837e-06+0.00704277j -0.00738426-0.00608972j 0.000551322+0.00808265j 0.00262373+0.00591661j -0.00093243-0.00347532j -0.000505738-0.00148742j 0.00029449-8.81425e-05j 0.00524853+0.00884902j 0.00237044-0.000701283j 0.00133572+0.000604069j -0.00018045+0.00612378j 0.00347014+0.00306664j 0.000915308+0.0037165j -0.000637932+0.015314j 0.00354398+0.0087299j -0.00197597+0.00696002j -0.000576357+0.00302578j -0.00224479+0.0008614j 0.000826485-0.0023063j -0.00650703+0.00395643j -0.0113335-0.00883423j 0.00492732+0.00724652j -0.00600753-0.00402765j -0.00227084-0.0142685j -0.00494193-0.00243049j 0.00347061+0.0113791j -0.000249602+0.00549562j 0.00325751-0.000612626j 0.00366561-0.0120494j -0.00621384+0.00122851j 0.00300054-0.00376526j -0.00377607-0.00640121j -0.000914056-0.00118441j -0.00646838+0.00998394j 0.00682616+0.0143547j -0.00224113-0.00879498j -0.00148195+0.0027358j 0.00236493-0.00172356j -0.00556472+0.00562738j -0.00252473+0.00362998j 0.00747727+0.00268149j 0.00387065+0.00157933j -0.00297288-0.00661919j -0.00123934+0.00290995j 0.00902425-0.0174918j 0.000219774+0.00261263j 0.00486454+0.00137733j -0.007875+0.00808648j 0.00023417+0.00678048j -0.00446082-0.00522919j 0.00341485-0.00128424j -0.0083678-0.00179944j 0.00448499+0.000374885j -0.00361566+0.00855336j 0.00342133-0.00127709j -0.00533933+0.00744789j 0.00237733+0.00206689j -0.00536229+0.00238268j -0.00596392-0.00665008j -0.00756118+0.00182649j -0.00226911+0.00156363j 0.00152113-0.00109079j 0.00154516+0.00654611j -0.00799567-0.00170875j -0.00753163+0.00454294j -0.00185384+0.0101087j -0.000990831+0.00290015j -0.00159209+0.00232212j -0.00249366-0.00825362j -0.00149055-0.00333422j -0.00583124+0.00268891j -0.00155018+0.000542558j 0.00295493-0.00680858j 
