0.0349428+0.0132731j 0.0360171-0.0185709j -0.0141476+0.028441j 0.0579846+0.00869186j -0.0443871+0.000454681j 0.0397963-0.00964551j 0.0162176-0.0144907j 0.0270308-0.0398685j -0.000741348+0.0276849j -0.0496867+0.0113881j 0.0307607-0.0155812j 0.000667915+0.00820446j -0.000820624+0.0121411j 0.0101684+0.0224673j 0.00476304+0.0138371j 0.0124119+0.0297459j 0.00343339-0.0287073j -0.0322686-0.090817j 0.0408039-0.0599485j 0.125328-0.0412292j -0.0126274+0.0453925j -0.0129639-0.0263176j 0.0198583-0.0331413j -0.0426588-0.0189053j 0.0115009-0.00923854j -0.0194479+0.01339j 0.0305048+0.011263j -0.00623048+0.0142478j 0.0627223-0.00755063j 0.00558047-0.00316754j 0.0320825-0.0284433j 0.0183651-0.0140218j -0.0597874-0.0114858j 0.0101041+0.031895j 0.100992-0.0388697j 0.0490371-0.0477515j 0.1406+0.069509j -0.090896+0.10933j 0.0380837+0.0169491j -0.0088397-0.0918476j 0.0583525-0.0123057j -0.0437487+0.0107991j -0.00215799+0.00562056j 0.0698035+0.00763918j 0.0121641-0.00583185j 0.0213209-0.0104236j -0.0152928-0.00612217j 0.0395216-0.0130296j 0.0233838-0.0068011j -0.00844346-0.0175323j 0.040263-0.00981562j -0.0088092+0.0161979j -0.00247848-0.00148386j 0.0467749-0.0209722j 0.0648134+0.0036239j 0.0114322-0.00131119j -0.00721148+0.00612316j -0.016564-0.00886417j 0.025032-0.00936895j -0.0242267-0.0135467j -0.0145441+0.025429j 0.00250028+0.0154805j -0.00773518-0.026155j 0.0246134-0.00120359j -0.00413546+0.00105014j -0.0108309-0.00041942j 0.0126133+3.78863e-05j 0.0123385-0.00218349j 0.000282346-0.00378828j -0.00692217+0.00199968j -0.0148634-0.0015499j -0.00199133+0.000198429j 0.00167363-0.00531035j -0.000837614+0.000595168j 0.0192176-0.00158028j 0.00619364+0.000332181j 0.00222367-0.00200944j -0.0194885-0.0025109j 0.00734624+0.00528433j -0.012648-0.00142031j 0.00351861+0.00343063j 0.00629662+0.00615166j 0.00039407-0.0035875j -0.00885672-0.00269752j -0.0203396-0.00325067j 0.0189042+0.000456088j 0.00176325-0.00992794j 0.00226671-0.0107974j 0.00585941-0.00802919j -0.0276442+0.0356207j 0.0255763+0.0248492j -0.0156845-0.0195395j -0.012183-0.00721819j 0.134842-0.0259605j 0.137888+0.0121542j 
0.0409412-0.0394845j -0.01216-0.0196235j 0.0136363+0.00349612j 0.0125789-0.0716508j -0.0203055+0.0284225j -0.0312223-0.0190437j -0.0126604-0.000181532j -0.0394873-0.00777911j 0.0192026-0.00470043j 0.0134822+0.0353434j -0.0194029-0.0209618j 0.00516575-0.0078387j 0.020214+0.0206502j 0.0160377-0.00583913j 0.0154195-0.02118j 0.023836-0.0142267j 0.00341568+0.0188942j -0.101531+0.046338j -0.0743556-0.0205797j -0.0261502-0.10905j 0.0486442-0.00111179j -0.0374498+0.0100439j -0.0295413-0.00626792j -0.0366444+0.0615842j 0.0150158-0.00900019j 0.020203+0.0200035j 0.0122252-0.0363997j 9.61844e-05-0.00975738j 0.0143734-0.04388j -0.000170064+0.00645907j -0.040992-0.0254182j -0.0285216-0.0247461j -0.0252432+0.0411952j 0.052132-0.0118767j -0.020432-0.061758j -0.0765384-0.0284031j 0.135172-0.106688j 0.13067+0.0374049j 0.0384038-0.0269408j -0.139505+0.0124079j -0.00813528-0.024983j 0.0116805+0.0242549j 0.0113469+0.0124218j 0.0127921-0.0461463j -0.00633187-0.015447j -0.0247607-0.0140942j -0.0261431+0.0209401j -0.0179858-0.0257999j -0.00225612-0.0196387j -0.0313491+0.0112774j -0.0127967-0.0294044j 0.016178-0.000738582j 0.0181064-0.00405125j -0.0144369-0.0309066j 0.00595488-0.0406387j -0.00205036-0.0117218j 0.00256124+0.015068j -0.0282336+0.0182752j 0.00447332-0.00120703j -0.0158926+0.00979801j 0.0376589+0.00946052j 0.0133793-0.00360821j -0.0498405-0.0048286j 0.00662895-0.0177098j 0.0016829+0.00429101j 0.00594843+0.00556619j -0.0126257-0.0220682j -0.00134168-0.0119598j -0.00121474-0.00100839j 0.000536818+0.00575066j -0.00976812-0.00892478j 0.0135706+0.00797122j -0.00326532+0.00702548j -0.000216912-0.000387395j -0.016161-0.0111601j -0.0059734+0.000360175j 0.00366512-0.0148326j -0.0090301-0.00928387j 0.0136506+0.00200512j 0.0149248+0.00370494j -0.00366544+0.00431985j -0.0141504-0.0100907j -0.00915315+0.0047166j -0.0151172-0.00318037j 0.00275254+0.0162345j -0.011958-0.00451609j 0.0139804+0.0152571j -0.00682535-0.000405782j -0.00105489-0.00301803j 0.012503+0.00529987j 0.0403541-0.00469284j 0.000777094-0.0228023j -0.0154764+0.0382589j -0.131546-0.0151372j 0.134093-0.0234353j 
-0.00536964+0.0115174j -0.00466696-0.00382556j -0.0301333-0.00427593j -0.0423164-0.0192374j 0.00495209-0.00216433j -0.00231393-0.00683751j 0.0319334-0.0224154j 0.00864335-0.033267j -0.0154681+0.00506011j 0.00437615+0.0123419j 0.00201708-0.0188228j 0.0308916+0.0057124j -0.00310869+0.00287753j 0.0414582-0.00731105j 0.0243456+0.000413849j 0.0331149-0.0179692j 0.045134+0.0312301j 0.0356514+0.0166451j 0.0108854+0.0115654j 0.0154502-0.0104502j -0.0135679+0.0172201j 0.00227034-0.0107162j -0.00536864-0.00267689j -0.0151516+0.000702977j 0.0062766-0.0103967j -0.0143344+0.00272081j 0.0169381+0.0039845j 0.000954064-0.0119385j 0.0125784+0.00190604j -0.00532438+0.00269381j 0.0170333+0.00141579j 0.0166731-0.00708448j -0.00622973-0.0120711j -0.0202466-0.000191298j 0.0320264+0.00389076j 0.0253545-0.00951072j 0.00656996+0.0239931j -0.0525989+0.0154936j 0.0110323-0.000501691j 0.0354581-0.0304186j 0.0151216+0.00192615j -0.00589344+0.0114469j 0.00143049+0.0204143j 0.00856145+0.000283844j -0.00264173-0.00772575j -0.00278521+0.00243805j 0.00408732+0.00247163j 0.0148062-0.00606625j 0.0148693+0.000813245j 0.00809343-0.0149773j 0.0156258+0.000307564j -0.022195-0.0142998j 0.000115384-0.00183117j 0.00647534+0.011907j 0.0300912-0.00553018j 0.00604769-0.00174566j -0.00829271-0.00367452j -0.00214491+0.0117194j -0.00279678+0.0116161j -0.000204248+0.00503284j -0.0124857+0.0076489j -0.00845147+0.000217622j -0.00200401-0.012221j 0.00445727+0.00633422j -0.00386316+0.000686691j 0.00148603-0.00329289j -0.00428664-0.00152836j 0.00671194-0.00308353j -0.000958379-0.00180073j -0.00167735+0.000546726j -0.00593133-0.00268634j 0.0031445+0.00121895j -0.00110476+0.00412268j -0.00120009+0.000605484j 0.012845+0.00262669j 0.00911763+0.000712252j 0.00273916-0.00654721j -0.00282204-0.00245839j -0.00172952+0.00042273j -0.00938608+0.00315924j 9.71578e-05+0.00464109j 0.00836937+0.0012111j 0.00781364+0.000466686j -0.00639523-0.00389434j -0.00412542-0.000738807j -0.00116617-0.000214239j 0.00271013+0.00398j 0.00433715-0.000832301j 0.00420851+0.00197473j -0.0145496+0.0112133j -0.00426728+1.52351e-05j 0.000776035-0.00176862j 0.00707343+0.00133017j 0.0694573-0.00467034j 0.00307779-0.00197098j 
0.00506532-0.00800493j 0.00996993+0.0105485j 0.0297976-0.0106819j 0.0431349-0.00341174j 0.0042962-0.0202746j -0.00706682+0.0227013j 0.0286802-0.0199461j 0.00299727-0.0192058j 0.00483989+0.00767632j 0.00428089-0.0146425j -0.00457868+0.00703785j 0.0323147+0.0179007j -0.0236545+0.0261174j 0.0338322+0.029131j 0.0219767+0.00290654j 0.00509492+0.027531j 0.0428441+0.00205017j -0.000492738-0.00582672j -0.0147777-0.00714115j -0.0341413+0.00578801j -0.000912905-0.00241935j -0.00793717+0.00474829j -0.000140112+0.0242015j 0.0240115-0.00851031j 0.00769544-0.0108131j 0.00295814-0.0107476j -0.00240186+0.0086611j 0.0114529-0.00518551j -0.0030904+0.00965731j -0.00120843+0.00170841j -0.00496582-0.00107454j 0.00627582+0.00216256j 0.0293391-0.000802333j 0.00269185-0.000308101j -0.0275372+0.00061788j -0.00611861+0.0268919j -0.0367049+0.0110108j 0.0152968-0.021249j 0.00354777+0.00192932j 0.01111+0.00897155j -0.0190573+0.00133044j 0.0118694-0.00400008j 0.00629019+0.00983395j -0.0184284+0.0117723j -0.00681283+0.00465311j 0.00850906+0.00576091j 0.0140485+0.0152714j -0.0116045+0.0151145j -0.000855592+0.00678309j 0.000166408-0.00126497j 0.00597158-0.00198896j 0.00369107-0.0106202j -0.00745624+0.0248683j -0.00860657-0.00261545j -0.0105327-0.00203768j 0.0179772+0.00616629j 0.0114614-0.00534585j 0.00998489-0.00561391j -0.00496655-0.000450978j 0.00291719+0.000370942j 0.00189066-0.000923381j -0.000127343-0.000983808j -0.00236068-0.00110435j -0.00848095+0.0010087j 0.00091699+0.000114356j 0.00108197+0.00119841j -0.00429467+0.00360861j -0.00342988+0.00663021j 0.00181213+0.00417468j 0.00682521-0.00175224j 0.00554519+0.00842621j -4.62944e-05+0.000460192j 0.00103763+0.00285697j 0.00931329+0.00272243j -0.00654472-0.000590964j -0.000994591+0.000511427j -0.00212552-0.00147147j 0.00410189+0.00468159j -0.00138314-0.00224126j 0.00426281+2.65823e-05j -0.0036547-0.00290446j -0.0012192+0.0063558j -0.00160544-0.00252612j 0.0026294+0.00400506j 0.0115085-0.00535789j 0.000152331-0.000904627j -0.00174729-0.00246742j -0.00085145+0.00147283j -0.00240886+0.00255185j 0.00688468-0.00510547j -0.0043841+0.0076925j -0.00371805+0.0029854j 0.00179682-0.00520217j -0.0308968+0.0022294j -0.0413315+0.00563545j 
-0.00636884+0.0178174j 0.0167456-0.0134407j 0.0189418+0.034869j 0.0472981-0.0632305j 0.00346683-0.0287994j 0.0141484+0.0236872j -0.007459+0.0111365j 0.00280463+0.0245943j 0.0227966+0.0230135j -0.00527145-0.00925043j -0.00425367-0.0251717j 0.00542064-0.0259594j -0.0275449+0.0381649j 0.00232971-0.00619371j 0.000382953-0.0320869j 0.0201647+0.0711591j -0.0349491+0.0564559j -0.01471-0.0374716j 0.0195258+0.0990797j 0.0120574-0.064289j 0.0168904-0.0123195j -0.00444341-0.00740723j 0.00981243-0.019677j -0.00981464+0.015224j -0.0450777-0.0036868j -0.0174014+0.019978j 0.0225972-0.000917985j 0.0461154-0.0339648j 0.00363764+0.0561905j -0.0125872+0.026419j 0.0292383-0.000275389j 0.0533312+0.00362732j -0.000327127-0.0334009j 0.0182713-0.0133795j -0.0253306-0.00572694j 0.0145741+0.0209992j -0.021498+0.024295j 0.014752-0.0355462j -0.0118873-0.00994923j 0.0106868-0.0104994j -0.0135861+0.00114724j 0.00475961-0.00780457j -0.017778+0.00588792j -0.0155728+0.00502217j 0.00399699-0.00949044j 0.0115541-0.00332378j -0.00449966+0.0185427j -0.0110036-0.00570272j 0.013109-0.0104999j -0.0225171+0.0252708j -0.00422728-0.0114815j 0.00401802-0.0114499j 0.0077732-0.017781j 0.022898-0.0177716j -0.00811983+0.0262047j 0.023044+0.00580074j -0.0017947-0.00347889j 0.00391104+0.00441358j -0.0317572-0.00227894j 0.0209389+0.00308092j -0.0082936+0.00362362j -0.0113835-0.00539789j 0.00771712-0.000661465j 0.00236582-0.00836053j -0.000478013+0.000628766j -7.81028e-05-0.0120504j 0.0111268-0.00160101j 0.00732422-0.00373503j 0.0114855-0.000858252j 0.0121584+0.00669032j 0.0140292+0.00565322j -0.00231884-0.00293328j -0.00211927-0.00137194j 0.00565316+0.00195252j -0.011638+0.00336678j 0.0123956+0.00667843j 0.00931677-0.00898795j 0.00477591+0.0101883j -0.00166339-0.014569j -0.00382066-0.00777753j -0.0165528+0.00610067j 0.00386255+0.0127252j -0.0274742-0.00231055j -0.000340879+0.0168857j 0.0097124-0.00584447j -0.00522576+0.0211662j 0.00019408+0.00254342j 0.00529598-5.60363e-05j 0.00838903+0.00399782j 0.00406634-0.0027999j -0.0144292+0.00128793j 0.0139184-0.000511149j -0.0419679-0.00786487j 0.00634741+0.00846378j -0.0295379+0.00273894j 
0.0189796-0.00608759j 0.00934255+0.00536567j 0.00706261-0.0128774j 0.0295224+0.070149j -0.0028756+0.0164673j -0.000244732+0.00139808j 0.000439927+0.00744548j -0.0107897+0.0106368j 0.0215151+0.0177677j 0.008735-0.00358567j -0.0134294-0.00903117j 0.0287247-0.00957837j 0.000664071+0.00421225j 0.0223109-0.0101739j 0.0230737-0.0266278j 0.0137473-0.032885j -0.0398451+0.0139016j -0.00508233-0.0115104j 0.0339436+0.0342001j 0.0117692+0.00760453j 0.0122518-0.00212359j -0.0118206+0.00667648j -0.0111787+0.0039609j -0.0227358+0.0140628j 0.0028236-0.00251429j 0.00667111+0.00206845j 0.0115326+0.00691491j -0.00430565+0.00270982j -0.00965545+0.010527j -0.0100246+0.0122985j -0.00491656+0.00395108j 0.00576561+0.00918494j -0.0151659+0.0175714j 0.0224366+0.00227461j 0.0317817-0.00829033j -0.0272749-0.0058119j 0.0712043-0.033469j 0.0307364+0.016445j 0.0155291-0.0248131j -0.0636605+0.0201492j 0.0104977-0.00697606j 0.00783657+0.00606231j -0.0137844+0.00871647j 0.0206484-0.0161599j 0.0140541+0.0119997j 0.00115714+0.0182866j -0.0165155+0.00230202j 0.00636063+0.00548207j 0.00484951+0.00715151j -0.0156954+0.00777458j -0.00451477-0.0107095j 0.00255154-0.00418616j 0.00731399-0.00240457j 0.00437651-0.00539069j 0.00853572-0.00585643j 0.01051+0.0038671j -0.00563407-0.00770221j -0.0187078+0.00446749j 0.000744679-0.00728779j -0.00538511-0.00877221j 0.00815195-0.00217617j 0.0101377+0.00783105j 0.000488904+0.0171259j 0.00403074+0.0121252j -0.00623316-0.0048817j 0.00131434-0.00176534j -0.00421261+0.00954551j -0.00676105+0.00512928j -0.0169644-0.00331956j -0.0187074-0.00782694j -0.0110631+0.00501418j -0.00659776-0.000954714j -0.00905679-0.00447682j -0.00306519-0.00482831j 0.0117676+0.000458181j -0.0259588+0.00170995j -0.0171596+0.00817094j 0.00655056+0.00255546j -0.0033368+0.0101662j 0.00315589+0.0185811j -0.00210192-0.00144269j 0.00768693+0.00612898j 0.00612294+0.000688642j -0.0093566+0.00356632j -0.0059119+0.0280679j 0.00320801+0.00102157j 0.00691614-0.00296845j -0.00315276+0.00119181j 0.00326945-0.00137762j 0.0147336-0.00638762j 0.0142757-0.0180169j 0.00116621-0.00982172j -0.0113073+0.00660414j -0.0287657+0.00909048j 0.0923708-0.0116572j 
0.00419849-0.00835679j 0.0164049-0.00535278j 0.00583257-0.0293889j 0.020157-0.0274044j -0.00214091+0.00194793j 0.00852232-0.0165134j -0.0155518-0.0323562j 0.00674134-0.0101252j 0.00945657-0.0321242j -0.000665575-0.0238788j -0.00287602+0.0171228j 0.00850556+0.0311045j 0.0187024-0.0348653j 0.00239557+0.0147102j 0.0159503+0.038301j -0.0130871-0.00226916j -0.0105125-0.00727752j 0.00574433+0.0240814j 0.0201454+0.0313873j 0.0487281+0.0307633j 0.00769922+0.0140328j -0.00871364-0.000988354j -0.00274251+0.0215223j -0.0141649-0.000370826j -0.0149379+0.0186305j -0.0140487-0.0222555j 0.0133324-0.0136772j 0.00635241-0.00803125j 0.00291197+0.0177287j -0.00280615+0.00467987j 0.00760174+0.015619j 0.00971379+0.00631795j -0.00364864-0.00213321j 0.0245982-0.00153513j 0.0328719-0.0196791j -0.0162693+0.0169803j 0.0455515-0.0196706j 0.0106298+0.00362477j 0.0227761+0.0116826j -0.0256965+0.0165092j 0.0142902+0.00108833j -0.0116606-0.000889674j 0.021443-0.0119733j 0.0142397-0.0152874j 0.00188181+0.00641422j -0.000973326+0.000122949j -0.0131597-0.00926253j 0.00468898+0.0094831j 0.00730101+0.00252194j -0.00386496+0.00221622j 0.00324994-0.0065639j 0.0167655+0.00113285j 0.00763287-0.00451731j 0.00589677-0.00106254j 0.0256896-0.0206562j 0.00357269-0.00268582j -0.000266515-0.00391633j 0.00428516+0.00730726j -0.00998737-0.00783141j 0.00639775+0.00159533j -0.00603885-0.00949011j 0.0093612-0.010093j -0.0104074+0.00228332j 0.00699435-0.0110334j 0.00293683-0.00268949j 0.00125495+0.00988023j 0.000302928+0.00338942j 0.00629735-0.00567269j -0.00201259-0.00363286j -0.00392165+0.00421374j 0.000130791+0.00249382j 0.00422698-0.00757072j -0.00498002-0.000844261j 0.00410581+0.00989649j -0.00330423-0.00369032j -0.00253628+0.0091827j 0.00110278-0.0118402j -0.0143776+1.42587e-05j 0.00312708+0.0128817j -0.00456216+0.000639756j -0.0142064+0.0010552j 0.00242296+0.00840692j 0.00766256-0.00242151j 0.00926338+0.00617534j -0.00593472-0.0015489j 0.00721058+0.0101276j 0.0109419-0.0091168j 0.000199748+0.00384864j 0.00550067+0.000609278j 0.00526517-0.0097106j 0.00331276-0.0193377j 0.00712521-0.00835552j -0.018046-0.00421993j 0.0103148+0.0124287j 0.063107-0.0036981j 
0.00497502-0.00850518j 8.42967e-06+0.00358563j 0.00328899-0.0308124j 0.007912+0.0148032j 0.00589398+0.0210557j -0.00267354-0.0146988j -0.00684973-0.0208405j -0.00885714-0.0219846j -0.00482714-0.0423755j -0.0172502-0.041849j -0.0207081-0.00835798j -0.0279733+0.0216119j -0.0146388-0.0491914j 0.00899056+0.00403608j -0.0321424-0.0278117j 0.0227381+0.0330084j 0.0130827-0.0123562j 0.00687786+0.00885524j -0.00369325-0.00928964j 0.00743307+0.0110426j 6.7281e-05+0.0058261j -0.0021746+0.00984925j -0.00085842+0.00743339j -0.0082971+0.00463212j 0.00710118-0.0102249j 0.00404919+0.00810212j -0.00435317+0.000552385j 0.00817837+0.000430449j -0.00462449+0.00453264j 0.00598279-0.0170108j -0.00855424-0.0167146j -0.00559096+0.0297826j 0.000304308-0.0148376j 0.00818357+0.00982697j 0.0130228-0.0146722j -0.0133571+0.0156468j 0.013524-0.0146265j 0.0105981+0.0043191j 0.00545511+0.0238999j -0.0146765-0.00909949j 0.00499374-0.021505j -0.0145018+0.0102084j 0.0109027-0.0110385j -0.00156994-0.00830399j 0.00624965-0.00734509j -0.011524-0.0105927j 0.00837034+0.0169731j 0.00537354-0.0137407j 0.0140561-0.0112666j -0.0135389+0.00912717j -0.00191613-0.00496326j 0.0115568+0.00643166j -0.000278444+0.0120233j 0.00111013+0.0232221j 0.00601964+0.00405521j -0.00283041+0.00292401j 0.00232675+1.11809e-05j -0.00206093+0.000898536j 0.00180322-0.00231569j -0.00661286-0.0051664j 0.0113318-0.00621455j -0.00697825+0.00161331j 0.00636724+0.0143534j -0.000965014+0.00726921j 0.000517439+0.014862j -0.00268656-0.015244j -0.0144104+0.00828658j 0.00539012+0.00501013j -0.0045243-0.00578933j 0.000707154+0.00190428j -0.0091649+0.00455593j -0.0096195+0.0209229j -0.00134878-0.00314491j -0.00261467-0.00723314j 0.0139502+0.0018415j -0.00339649-0.015162j -0.00100003+0.00876324j 0.00301275-0.0119658j 0.00127573-0.00346951j 0.0064888+0.00746854j -0.00119939+0.00533449j -0.00163038+0.0136187j -0.0131974-0.000225707j -0.00314101+0.00403547j -0.00384135+0.00615998j 0.00800486-0.00650733j 0.0152225-0.00204524j 0.00052665-0.000364985j 0.00259571-0.00097808j -0.00113873+3.97657e-05j 0.00367122-0.00311566j -0.00197535-0.00183795j 0.00688646+0.0019752j -0.0122784+0.00180097j 0.0216471-0.00344897j 
-0.00231701+0.00285793j -0.00877811+0.00479957j 0.000223546-0.00801378j 0.00718315+0.012526j 0.00911363+0.0153216j -0.00811678+0.00323064j 0.0147357-0.00800965j 0.000826116-0.0212564j -0.0016211-0.033478j -0.0013465-0.0456703j -0.00391077-0.0262134j 0.0263415+0.00371618j 0.0257792-0.0374831j -0.0320427-0.00168171j 0.00812871-0.0468174j -0.0351336+0.0476124j -0.00298883-0.0018147j -0.000134494-0.00881494j -0.029938-0.0125159j -0.000428968-0.011706j 0.00697177+0.015154j 0.00389593-0.00744085j 0.0018614+0.00900601j 0.00345255+0.00398476j 0.0041487+0.00217448j 0.00497782-0.0104031j -0.000474685+0.00410201j 0.00149885+0.012386j -0.00902811-0.00345155j -0.00420153+0.00765455j -0.00703567-0.00757429j 0.000865353+0.0069419j 0.00618041-0.00971479j 0.000987254+0.00356486j -0.01597-0.00571114j -0.0083259+0.00581177j -0.0253331+0.0139137j 0.0161054-0.00680686j -0.00308605+0.00569661j 0.0101684-0.0113436j -0.0105568+0.00541451j -0.00939164+0.00672233j 0.00457668-0.00126179j -0.0115177-0.0206893j 0.0104767+0.0147075j 0.00187933+0.0225294j 0.0122862-0.0182085j -0.00808955+0.00657649j 0.00972057+0.0368371j -0.0173999+0.0213457j -0.0142305+0.00561647j 0.00291481-0.0104795j -0.00510926-0.016167j 0.00096171-0.0234919j -0.00264326-0.0087963j -0.000185991-0.00759997j 0.00495957+0.000866877j -0.000906244-0.00141316j 0.00070539+0.0041219j 0.000889423+0.00166159j -0.00652531+0.00736903j 0.00712769-0.00807756j 0.000470696+0.000628971j -0.00681352-0.00267502j -0.0005125+0.00140391j -0.00551039+0.00293681j -0.00687894+0.00367328j 0.000893719+0.00540177j -0.0103705-0.00316691j -0.0128983-0.00760665j 0.0031187-0.00871204j 0.0103608-0.0157697j -0.0059675-0.0039809j 0.00283331+0.00557488j -0.0109546-0.00934289j -0.000447262+0.00930736j -0.00936602+0.00340486j 0.00391624+0.00253553j -0.00645549+0.00578838j -0.0026802-0.000996727j 0.0045138-0.00436884j -0.0076473-0.0119991j 0.00167635+0.00611165j 0.00575286-0.00226211j -0.000870843-0.0041248j -0.00696863-0.00500122j -0.00787206-0.00085106j 0.00198868-0.00257203j 0.000983431+0.000508213j -0.00391832-0.000750674j -0.00749653+0.00619517j 0.00503655+0.00629282j -0.00144117-0.000851499j -0.020822-0.00220136j -0.0288148+0.0031091j 
-0.00185982+0.00322212j -0.002987+0.0020097j 0.00265775+0.00407783j 0.00777642+0.0129766j -0.00055115+0.0047483j -0.00630444+0.00527051j -0.01124-0.00818233j -0.00186478-0.00276911j 0.0135421-0.00775518j 0.0317408-0.0211037j 0.0299495-0.00356736j -0.0363008+0.00181688j -0.0083066-0.020256j 0.0339678-0.00185384j 0.0225132-0.00694384j -0.031556+0.0163629j 0.000294486-0.00223858j -0.000124428-0.00617641j -0.0141564-0.00392817j 0.006644-0.00331098j 0.0157996+0.0180964j -0.00578147-0.0168842j 0.00250531+0.0157645j -0.00276072+0.000756817j 0.00355941+0.0146844j 0.00147379-0.0257715j -0.00588004-0.000185422j 0.0145127+0.0216801j -0.00625311+0.00199563j 0.000480647+0.0220202j -0.00428103+0.00820913j 0.000730561-0.00765212j 0.00415216+0.00283746j 0.009258+0.000111235j -0.00667086-0.00552704j -0.0149218+0.00406935j -0.00574612+0.0015905j 0.0246602-0.00642041j 0.00106439-0.0107111j -0.0114375-0.00166094j -0.0105116-0.0111812j -0.00361984+0.00208859j 0.000652497-0.00224373j -0.00466888+0.0063106j 0.00642035-0.0188935j 0.00275511-0.0269616j 0.00785852+0.0292531j -0.012995-0.00982991j 0.000516004-0.0233754j -0.00924949-0.000773829j -0.0140695+0.00438394j 0.00250104+0.00688718j -0.00162342+0.0103109j 0.000841346+0.0270764j 0.000578044+0.0184285j -0.00697351+0.00577674j -0.000377802+0.0029732j -0.00377743+0.00389471j -0.00085742+0.00196966j 0.0103665-0.00380145j -0.0101793-0.00159908j 0.0134725+0.000945634j -0.00583449+0.00386757j -0.00841564+0.00884587j 0.00616106-0.0150065j 0.00651045+0.0132667j -0.00886701+0.0171791j -0.00524888+0.00282993j 0.00996078-0.000667462j 0.00670141+0.0047625j -0.00263526+0.0110258j -0.0100719+0.0198871j 0.00668363+0.00270496j 0.00841032-0.0121285j 0.00841235+0.0125069j 0.0027139-0.00950676j 0.0102293-0.00897371j -0.00657067+0.00929674j 0.00180182+0.00722373j 0.015281+0.004922j -0.0044381-0.00821673j 0.00132533-0.00800691j 0.00686691+0.00396646j 0.00245531-0.000151172j 0.00500103-0.000522961j -0.00599062-0.00275987j -0.00877866-0.00384912j 0.000267908-0.000180924j 0.000445697+0.000126312j 0.0031652-0.00405j -0.00227961+0.00113164j 0.00348153+0.00338242j -0.00702135-0.00179332j -0.0287125+0.00231732j -0.00453657+0.00154499j 
-0.00203223-0.0153237j 0.0141157-0.00448157j -0.0143594-0.0709539j -0.00611015-0.0267349j -0.022115+0.0169946j 0.015718-0.00829733j -0.000797558+0.038617j 0.0194811-0.0140014j -0.000519117-0.0105231j -0.0187576+0.0290058j 0.0305282-0.023938j -0.0163768-0.0163938j 0.00646226+0.0459296j -0.0152152+0.00799598j 0.006534-0.0221839j 0.012322+0.00458715j 0.00867215+0.0112822j 0.0323136+0.0100838j 0.0039354+0.0116991j 0.00504996-0.0169049j -0.023809-0.0165239j -0.00569994+0.0170234j 0.00557079-0.0288172j 0.00114018-0.00739348j 0.00654995+0.012905j -0.0081107+0.00549795j -0.00304655-0.0110706j -0.0179117-0.0138158j 0.0211651-0.033488j 0.00458819-0.000654056j 0.020388+0.0113004j 0.00543414-0.0186872j -0.0096683+0.00904138j -0.0355043-0.00793516j 0.0039946+0.034216j 0.0565366-0.016844j -0.0180015+0.0167209j -0.0890783+0.0033234j -0.00295786+0.00133508j 0.0548293-0.0193065j 0.0246457+0.0154081j -0.0176847-0.0108253j 0.0013914+0.00208915j 0.00356022-0.0121479j -0.00568413+0.00936392j -0.00434081-0.0107251j -0.0086341-0.00199638j -0.00750118+0.00516026j 0.0138487-0.0042326j 0.0066682+0.00579648j 0.0170948-0.0130696j -0.0186301-0.00121678j -0.00336069+0.00806586j -0.000908872+0.00150666j 0.00602078+0.00496855j 0.0048369+0.00249777j -0.00732012+0.0132874j -0.00219246-0.00393328j -0.00108076+0.00510196j -0.0063816-0.0034873j -0.0199859+0.000673934j -0.00832937+0.00471967j 0.0174447+0.00184949j -0.0115235+0.00611436j -0.00926534-0.00807976j -0.0012199-0.00841376j -0.002738+0.00398007j -0.00217546-0.00411626j -0.00816706-0.00476311j -0.0152137-0.00448634j -0.00613215+0.00117852j -0.00296843+0.00829413j -0.00129299-0.00597235j -0.00461024-0.00540559j 0.020174+0.00618943j -0.00833043-0.000117276j -0.0119614+0.00819952j 0.00522143-0.00985689j 0.000171971+0.0112789j 0.000234716+0.00907629j 0.00747868-0.0159293j 0.0100406-0.00237985j 0.000541856+0.00112536j 0.00138303-0.0149881j -0.00267969+0.00186718j -0.00456004+0.00217711j -0.00271056+0.00522494j 0.00181578-0.00274677j 0.000443852+7.23304e-05j -0.00905977+0.0110896j 0.00356411+0.00741142j -0.000246861-0.00325483j 0.00919226+0.00103498j 0.0981202-0.0133233j -0.0175091-0.00124122j 
