-0.24266+0.073717j -0.144133-0.417784j 0.0971268-0.1106j -0.301039+0.159671j -0.137334+0.0385267j 0.168427+0.179816j -0.0909589-0.112319j 0.230409+0.00091245j -0.0945602+0.111153j 0.171739-0.175655j 0.137904+0.0400106j -0.300284-0.159363j 0.0943336+0.111515j 0.143658-0.41745j 0.242381+0.0735548j 
-0.00386036+0.0331942j -0.0247009-0.009407j -0.0610986-0.0223987j -0.0119656-0.0192518j 0.00339727+0.00156152j 0.0221605-0.0656174j -0.00707135+0.0242546j -0.0251853+0.0168579j -0.0193239+0.012473j -0.0326966-0.0145676j 0.000950334+0.0247964j 0.0109416-0.0052629j 0.0106612+0.00557845j 0.0576351-0.01094j 0.0151423+0.0503861j 
0.0105996-0.0482928j 0.0530023-6.54114e-05j -0.0128769+0.0012361j -0.0205149-0.00149016j -0.00260376-0.0234653j 0.0398504-0.0152126j 0.0155958+0.0111664j 0.0296442+0.0180516j 0.0039689+0.0280645j -0.0207415-0.0713099j 0.00663593+0.000655471j 0.00509511-0.0225598j 0.0627238-0.0182325j -0.0166286-0.0021846j 0.00406757-0.0256929j 
-0.00231478+0.013348j -0.00179787-0.00626124j -0.0198793+0.00328813j -0.00417357-0.00786258j -0.00110447-0.000350364j -0.00614565+0.00199485j -0.00289168-0.000739732j 0.00529031-0.00597974j -0.00714442+0.0168719j 0.010894+0.00398246j 0.00870444+0.00618781j -0.00733732-0.00398809j -0.00258274+0.00497421j -0.00352491+0.00588359j -0.0170096-0.00788041j 
0.00312803-0.0142586j -0.00868893+0.00618954j 0.0429287+0.00565675j 0.00231706+0.0140285j 0.00285896+0.00815399j 0.010697+0.000210987j 0.00161001+0.00749069j -0.020927+0.00881319j 0.0326907-0.0287185j -0.0165924-0.0123692j -0.00974063-0.0231879j 0.0128895+0.00769037j 0.0111253-0.00786141j 0.0212015-0.0104522j 0.030251+0.033125j 
-0.00646997+0.0154793j -0.000156219-0.00183705j 0.00207767-0.00941359j -0.00566736-0.0163456j 0.0129716+0.0202638j -0.0055851+0.00971763j -0.010659+0.0109565j -0.000184016+0.0121675j 0.0226114-0.00389615j 0.00653418+0.000823247j 0.000234925-0.0267412j 0.00127105-0.0203215j 0.00846575-0.0154284j 0.00289531-0.000735213j -0.00215429-0.0111872j 
0.00606088-0.0144044j -0.00567493+0.00227747j 0.00814389+0.0200149j 0.00688947+0.0263009j -0.00446846-0.0379541j 0.00470943-0.00305184j 0.02996-0.00210359j -0.00256768-0.0190148j -0.0237132-0.0123363j -0.00584785-0.00395601j -0.013976+0.0325433j -0.00697303+0.0255236j -0.00558201+0.0151853j -0.00317281+0.00118208j 0.00204543+0.0150772j 
-0.029408+0.0269332j -0.0135332-0.00592745j 0.011313+0.0100703j 0.0140051-0.0075866j 0.00862425-0.0237056j -0.013258+0.0117081j 0.0343019+0.0234949j -0.0169088-0.00669529j 0.00236968-0.00459007j 0.00941483-0.00627903j -0.0017799+0.00755103j 0.00372355-0.0125113j 0.0411002-0.00716281j 0.00220564+0.00714304j -0.00291935-0.0151249j 
-0.0243917+0.014969j -0.0103981-0.00932261j 0.00189812+0.00605347j 0.00781931-0.00263917j 0.010561-0.0107201j -0.0109204+0.00416424j 0.0140642+0.0215579j -0.00893571-0.00771265j 0.0017766-0.00269955j 0.0079131+0.0010537j -0.00273519+0.0040936j 0.00239538-0.00796638j 0.0230046+0.00416217j 0.00316723+0.00341211j 0.000563011-0.00752718j 
-6.01673e-05+0.00387651j 0.00122092-0.00165341j -0.00283271+0.00351535j 0.000328023-0.00134444j -0.00037822+0.00039091j 0.00487477+0.00165345j 0.00143709-0.000282247j -0.00138222-0.00139776j 0.00641519-0.000736402j 0.00184257-0.00138625j -0.00183557+0.00213513j 0.00227191-0.000399829j -0.00449279-0.00202025j 0.00114625+0.00190761j 0.00654628-0.00108251j 
-0.00248329+0.00832454j 0.00915832-0.00513651j -0.0164311+0.0062461j 0.00461351-0.00258055j -0.00283841-0.00218469j 0.0127287+0.0148672j 0.00113531-0.000507369j -0.00058928-0.00964896j 0.0149588+0.00955731j 0.0079344+0.00279156j -0.0113249+0.00851202j 0.0102939+0.00164274j -0.00965915-0.0147394j -0.00110609+0.00936006j 0.0270611-0.00291755j 
0.00326341-0.00461718j -0.00125627-0.000468853j -0.00287533+0.00150053j 0.00242436-4.68817e-05j -0.00711767-0.00425038j 0.00438208+0.00214945j -0.00608186+0.00742695j -0.00423737-0.00177655j 0.00424522+0.00876218j 0.00475032+0.00430406j -0.00587849+0.00475518j 0.00120933-0.00292188j -0.00443997-0.00613548j 0.00337105-0.000230482j 4.64161e-05-0.00831975j 
0.00113579+0.0015132j 0.000879959-0.000529618j 0.00419667+0.00587135j -0.00124823-0.0033269j 0.00806335+0.0126037j -0.000897656+0.0102962j -0.00620979+0.00458049j 0.00211185-0.00295039j -0.00564923+0.00265765j -0.00599704-0.00319867j -0.000952245+0.0180084j 0.00222819+0.00519711j 0.00102408-0.0108639j 0.000693303+0.0015352j 0.00406927+0.00213622j 
0.000674151-0.00508016j -0.00748394+0.00424519j 0.0169153-0.00308826j -0.00408109-0.00262137j 0.00402983+0.00691518j -0.0111631-0.0164604j 0.000266172+0.00209584j 0.00104313+0.0108358j -0.0123624-0.0116795j -0.00651731-0.00551924j 0.0155896-0.00161287j -0.00956174-0.00517789j 0.00566857+0.0165136j -0.00144106-0.00822968j -0.0294575-0.00757942j 
-0.00634267+0.0110796j 0.0116994-0.00066533j -0.00838504-0.00656303j -0.00438292-0.00287899j 0.0113227+0.0139768j -0.00721225-0.000270703j 0.0214371-0.0135116j 0.0115575-0.00154978j 0.00115404-0.0171421j -0.00524234-0.00511572j 0.0157271-0.00581941j 0.00106174+0.00858628j 0.00876517+0.0128435j -0.013482+0.00832821j 0.00477118+0.0158185j 
-0.00752561+0.00866811j 0.00651489+0.00751021j 0.0103689-0.00287657j 0.00289909-0.00513692j -0.0129571-0.0054939j 0.000954499+0.000195087j 0.00052545+0.012236j 0.00608857+0.00430441j 0.015943+0.0102682j -0.00241499-0.00472026j -0.00927081+0.0135609j -0.00403273+0.000928371j -0.0139345+0.00554338j -0.00716803-0.00542554j 0.00363086+0.00577247j 
0.00144268+0.00106379j -0.000817499+0.000280652j 0.00983947+0.0179099j -0.00104231-0.00927897j 0.00987282+0.0369936j -0.0106937+0.0144622j -0.016898+0.00452582j 0.00541078-2.47609e-05j -0.0176773-0.00430674j -0.0113082-0.0152337j -0.00970137+0.0376434j -0.000914672+0.00949848j 0.0109219-0.0178438j 0.00106589+0.000472146j -0.00139691+0.00130165j 
