0.0464104+0.0477243j 0.111823-0.0286399j 0.00105712-0.00965351j -0.0605741+0.10583j -0.00904251-0.00390757j 0.0612849+0.12334j 0.0811843-0.00885202j -0.143171-0.0776357j -0.166425+0.340195j 0.0287504-0.023388j 0.299635+0.248049j 0.234952+0.278482j 0.00390084+0.0204286j -0.0860539+0.091544j 0.494967-0.226216j 0.0320462-0.0339285j 0.0818917+0.401878j -0.179552+0.0283957j 
0.0178805-0.00161727j -0.0150344-0.0104495j 0.0114416-0.0123811j -0.00851304-0.0223044j 0.0152999+0.00599802j -0.00236916+0.0221219j 0.0207462-0.0133039j 0.030402-0.0484218j -0.0694668-0.03722j -0.000291899-0.0280453j 4.65893e-05+0.0256663j -0.00203823+0.0413527j 0.0483887-0.00212091j 0.00351307+0.0202599j 0.000268016-0.0334305j -0.00126796-0.0311104j 0.0612778-0.0372265j 0.0302258+0.0430955j 
0.0487921-0.00992334j -0.00455301-0.0485961j 0.016597-0.014259j 5.79763e-05-0.00845403j 0.0144774+0.0148869j -0.00511135+0.0444316j 0.0421861+0.0122541j -0.0326773+0.0189873j 0.0435454+0.038783j -0.00156563+0.0250981j 0.0060494-0.0189193j 0.00800279-0.0318701j -0.0452624-0.00450718j -1.42744e-06-0.016339j 0.00143555+0.0244036j -0.00465124+0.0274435j -0.0513974+0.0306851j -0.022686-0.0365493j 
0.00743899-0.000452024j -0.00187008+0.00334673j -0.00294911-0.00930577j -0.00528902+0.00257143j 0.000407399-0.00501674j 0.00242439-0.0058177j -0.00701479+0.00342076j 0.0196378-0.0225335j -0.00388114-0.00631689j -0.0230377-0.0225587j 0.00773306-0.0154657j 0.00998166-0.0118069j 0.00340728-0.0208281j -0.0045707+0.00170428j -0.0116802-0.000284037j -0.00136806+0.00771324j -0.0102366+0.02511j -0.0340205-0.00923558j 
0.00869592+0.00388187j -0.00498741-2.66966e-05j -0.00398746+0.0104321j -0.00827205-0.00414745j -0.0136227-0.0137679j 0.00131775+0.000916295j -0.00643015-0.00233971j 0.0243986-0.010934j -0.0120866-0.00830731j 0.0167934+0.0222986j 0.0169518-0.000168204j 0.00049974+0.0060342j -0.0402971+0.0020533j 0.0118373-0.00096466j -0.0059757-0.0168413j -0.00505712+0.0410488j 0.000924522-0.000598293j -0.00498935-0.00831803j 
-0.0219462+0.0018033j -0.00363885-0.00734028j -0.011916+0.0447788j 0.0174082-0.00790918j -0.0162898-0.00734062j -0.00248689+0.0125524j 0.0309714-0.015594j -0.0148379+0.00229303j -0.00655094+0.00230203j 0.00371713+0.0139999j -0.00247373+0.00633599j -0.00388325+0.00448919j -0.00912813+0.00434773j 0.00271014+0.00124905j 0.00401642-0.00138422j -0.00179685+0.00497584j 0.00699874-0.00628658j 0.0113206+0.00465853j 
-0.0323926-0.0163863j 0.00174318+0.0114666j 0.0210472-0.0180892j 0.019474+0.0106825j 0.0184225+0.046312j 0.00104492-0.00803917j 0.0139165+0.00636402j -0.00888122-0.00218777j -0.00151077-0.000119477j 0.00117692+0.00460223j -9.65313e-05+0.000545274j -0.00344152+4.77768e-06j -0.00740863+0.00114096j 0.00348022+0.000628357j -0.000234025+0.000722421j -0.00216723+0.00349446j 0.000565641-0.00307794j 0.00583506+0.00146633j 
0.0123247+0.00101568j 0.00273612+0.00605817j 0.014205-0.0214753j -0.0141535+0.00149738j 0.00551781+0.00650473j 0.000776368-0.00638467j -0.0269206+0.00604235j -0.000337115+0.00977837j -0.00201056-0.00144087j 0.0082107+0.0424772j -0.00255796+0.0134733j -0.0139985+0.00946053j -0.0307773+0.00171197j 0.010971+0.00534452j 0.0129815-0.00461346j -0.00853848+0.00977562j 0.0197417-0.0142525j 0.020152+0.0183215j 
-0.0189441-0.0121022j -0.00847557+0.00445553j 0.00448595+0.00314607j 0.012358+0.00459999j -0.00274681+0.0181273j 0.00461565-0.00274673j 0.0170037+0.00112976j 0.0291109-0.00807703j -0.00824975-0.0186262j -0.00140843-0.00198926j 0.0191435+0.00267409j 0.00343526+0.00163176j -0.017119-0.0215546j 0.00445037+0.00521746j -0.00300731-0.0192288j -0.0239588+0.0287803j -0.00754881+0.00973625j -0.0119651-0.0193854j 
0.00103095+0.000242978j 0.000489817+0.0016977j -0.00208107+0.00161004j 0.0010762-0.00088965j -0.00055159+0.00298934j -0.000875422-0.000142471j 0.00154471-0.00361565j 0.003283-0.0032129j 0.00704346+0.00101729j -0.00937205+0.00351002j 0.0012337-0.00356749j -0.00152304+0.000231157j -0.00562463+0.00843299j -0.00251556+0.00940005j 0.00850618+0.000612781j 0.00820818-0.000588023j -0.000343278-0.00105559j 0.0170547-0.00735862j 
0.00422849+0.00205248j -0.00102835+0.00628849j -0.00337349-0.00172488j 0.0024022-0.000242428j -0.00307762+0.00387769j -0.00215037-0.00416933j 0.00749556-0.00714128j 0.0112706-0.00303887j 0.0068707+0.00646751j 1.43869e-05-0.000888987j -0.000176825-0.0132191j 0.00301049+0.00509543j -0.00627377+0.00167785j 0.00958321+1.51357e-05j 0.012122+0.00790272j 0.00135534-0.00923912j -0.00221103+0.00442415j 0.0172142+0.00225006j 
