-0.0248984+0.102921j -0.166477-0.00281573j -0.033543+0.0433964j 0.15206+0.0547749j -0.0218535+0.108785j 0.0528577-0.0706589j -0.00858405-0.115417j -0.0663768+0.0999693j -0.156332-0.0656971j -0.0613586+0.0221373j -0.0527086-0.00508256j 0.00698216-0.120035j 0.157175-0.00906573j -0.0939503+0.0898523j -0.0266701+0.0250342j 0.178136+0.0254248j 0.0152938+0.0766917j 0.0506587-0.0179102j -0.115906-0.10671j -0.140142+0.0604512j 0.0194711-0.00385763j -0.100858+0.0754784j -0.024435-0.216028j 0.177535-0.00290664j 0.146968-0.0521005j 0.0554737-0.0506215j 0.0211333-0.0213784j 0.0988058+0.0613013j -0.0204918-0.317785j 0.0118702-0.147331j 0.0240019+0.164924j 0.0623425-0.0549798j 0.0632873+0.149151j -0.0331962+0.202764j 0.0201569+0.058972j 0.232065+0.061453j 0.0489809-0.0151334j -0.0461807-0.141436j -0.122365-0.0471327j 0.104732-0.0233285j 0.150846-0.141826j 0.0532679+0.00686781j 0.00464057+0.086003j 0.115093+0.00853068j 0.0261805+0.0918805j 0.0234601-0.131513j -0.106239+0.0288811j -0.0485603-0.0197837j 0.0057774+0.0271161j -0.0295224+0.00885091j 0.015973-0.000512298j 0.0324887-0.014221j 0.0305413+0.0201733j 0.0103253+0.0121809j 0.00212396+0.0127977j 0.00616889-0.00095568j 0.00193284+0.0259737j -0.0047754+0.000828042j 0.00559145-0.042224j 0.00584043+0.00634835j 0.0267334-0.0280526j -0.0205164+0.0170089j 0.0407935-0.00716045j 0.0124552+0.0373389j -0.0149532+0.00794184j -0.00271946-0.0120159j -0.0366166+0.0250017j -0.0131962-0.0333233j -0.0294769+0.00290595j 
0.00479612-0.0394016j 0.0764042-0.0180342j -0.0372036-0.0450175j 0.0285423-0.0716957j -0.0986156+0.0202914j -0.056431+0.0309266j 0.0200444-0.0517409j -0.0365207-0.00106627j -0.0131502+0.015424j -0.00858682-0.0619835j 0.0123091-0.030923j -0.0387619-0.0319438j 0.0719646-0.00560037j 0.0196102+0.0472236j -0.0615587+0.0037859j 0.0402475-0.0436225j -0.00607128-0.0187256j -0.192451-0.0763533j 0.161813+0.136616j 0.108119-0.198999j -0.0354832+0.0427649j -0.0263819-0.0266755j 0.0684747+0.104573j 0.00137207+0.0406895j 0.0504232-0.0659974j 0.0607899-0.0127202j -0.0253665-0.0343151j 0.12587+0.00989024j -0.0301473-0.146348j -0.0096344-0.0631695j 0.0481171+0.0396753j -0.0524033-0.0253054j -0.0629206-0.0222159j 0.0138284-0.0694052j -0.0355247-0.0766934j 0.0908814+0.012573j -0.0179727+0.0197277j -0.000365499-0.10628j 0.0362964+0.00955887j 0.142493-0.111968j 0.078498+0.0330151j 0.0976525-0.00728713j 0.00432432+0.137367j -0.00389673+0.0830336j 0.124657+0.0750325j -0.0936391-0.12591j 0.0650266+0.0162652j 0.101576+0.0780355j 0.0401791-0.0411834j 0.164382-0.0549306j 0.0426327-0.0109776j 0.0848961+0.0409655j -0.0813949-0.0885419j -0.209897-0.00400833j -0.0731756-0.0997398j 0.0372769-0.0170174j 0.0213921-0.0374729j 0.0610424+0.0476388j -0.00599751+0.12561j 0.12175-0.184423j -0.0696551+0.171187j 0.133097-0.178968j -0.0585474+0.0824545j -0.0228468-0.120744j 0.0342488-0.0301349j 0.04168+0.0362944j 0.156692-0.105905j 0.00920686+0.140943j 0.116807+0.0430288j 
0.128996-0.0377044j 0.0156638+0.0646226j -0.0334319-0.157555j 0.146222+0.0345544j -0.0557128-0.0283839j 0.172933-0.15137j 0.00314639+0.0746332j -0.0762925+0.112488j 0.00545796-0.0784264j 0.169593+0.159271j -0.0415232-0.126468j 0.0897667-0.0476397j -0.0601715+0.076388j -0.0214209-0.117942j 0.0203639+0.102997j -0.203995+0.0938502j 0.0283157-0.121177j -0.0919257-0.066343j -0.102814-0.016274j -0.124512+0.0342572j -0.0479833+0.0268232j -0.0467794+0.0237018j -0.0939858-0.106237j -0.0265817-0.0703837j -0.0938289+0.145698j 0.0322815-0.0676398j -0.0845589+0.0156038j 0.0217389-0.0369167j 0.0464842+0.0143336j -0.0182991-0.0179495j 0.0344068+0.00689796j -0.00786543+0.00642803j -0.0628576-0.167888j 0.0324686+0.0333426j 0.109868+0.0639651j 0.017954+0.0187838j 0.0140659+0.0678475j -0.0249111-0.0537525j 0.119297+0.0606767j 0.133128-0.0855172j 0.0553326-0.0334366j 0.0211097-0.0724936j 0.0550401-0.0479812j -0.0259008-0.205414j -0.221094-0.00658482j -0.140209+0.0167154j -0.0467349-0.0164156j -0.0313877-0.00352922j -0.013314-0.014193j 0.118021+0.0330542j -0.0543112-0.038234j -0.00478248+0.0621688j 0.00511651-0.0939891j 0.0154776+0.084089j -0.0540456-0.0566904j 0.00229213-0.126475j -0.0223581-0.0870546j -0.021323-0.0392421j -0.117175+0.000348231j -0.0496167+0.00674065j 0.133214-0.0260955j -0.00675681-0.174276j 0.0439747+0.0363023j -0.044392-0.0962873j -0.0246307-0.0531382j -0.00668248+0.000413584j 0.0365397+0.00573618j -0.135754+0.0211229j 0.00686892+0.133567j 
-0.0669661-0.0260431j 0.048985-0.0438949j 0.176086+0.0153839j 0.0798328+0.160426j 0.276346+0.136708j 0.0357398+0.0392231j 0.0950018+0.0925814j 0.103877+0.106853j -0.0935089+0.209363j -0.195767+0.00447723j -0.19424+0.257286j -0.0942736+0.00900451j -0.1708+0.0935307j -0.216711+0.00543072j -0.0169959-0.0597666j -0.112933+0.0203191j 0.0252113+0.0558772j -0.133569-0.0852362j 0.0104789-0.0443957j 0.0681386+0.0129518j 0.0493294-0.0400023j 0.0128459-0.00369751j 0.0529553+0.0191528j 0.0102104+0.00959875j -0.0768648+0.132421j -0.0944421+0.00981082j -0.0257612-0.00322248j 0.0254917+0.0333671j 0.00110941+0.00543462j 0.266129-0.0354413j 0.0933966+0.0176253j 0.0371845+0.0721926j -0.0559157-0.129529j 0.0201647+0.0238419j -0.0310882+0.0432577j 0.103663+0.0675605j 0.0708094+0.141953j -0.00355364+0.102047j -0.0477664+0.0254491j 0.0159438-0.107623j 0.0118072-0.0989108j -0.00801133+0.043328j -0.0146045+0.03364j -0.0261628+0.057964j -0.0337355+0.0170168j -0.00392885-0.016394j 0.0122404-0.0301492j -0.000873628-0.00590149j -0.0283807-0.0182344j -0.00968895-0.0499504j 0.00039812+0.0370091j 0.00243367+0.273708j -0.00137137+0.209319j -0.00751238-0.0202192j -0.0134512-0.0498919j 0.0173761-0.0188538j 0.0148311-0.0321714j -0.00388619-0.0257888j -0.0119371-0.0404473j 0.0163644+0.0210591j 0.000913072+0.0450421j 0.00200354-0.0396879j 0.00725667+0.0179025j -0.0147985-0.00382857j 0.00462598-0.0039533j 0.00416938+0.00295189j 0.00633588-0.00506185j -0.0115514+0.00360906j 0.00228532+0.0143601j 
-0.0870576-0.0590455j 0.101338-0.0807083j 0.00504658-0.13223j 0.12783+0.0327421j 0.0467422-0.0276419j 0.0448831-0.0604523j -0.0337795+0.0543501j -0.065539+0.0433832j 0.0049414-0.000619654j 0.114102+0.0551126j -0.0621209-0.0201223j 0.00975802+0.0267833j -0.0591036+0.03427j 0.00862652-0.136557j -0.0325892+0.0695638j -0.0799397-0.0953521j 0.039624+0.127307j 0.127473-0.0254581j -0.0282855-0.0752542j -0.126389-0.0286886j 0.0902619-0.0358998j 0.0226186+0.11639j -0.0466988+0.0341637j 0.107161-0.0667707j 0.0332085-0.00745108j -0.00269691+0.0381444j -0.0265392+0.00738415j -0.128318+0.0160955j 0.0410794-0.0298235j 0.0104439-0.0173389j -0.02881+0.0313147j 0.116882-0.0391938j 0.0250677-0.0059827j 0.00177522+0.104287j 0.0134356-0.0178427j 0.0336222-0.00848361j -0.019733+0.001586j -0.00722409+0.0896863j 0.175457+0.0757159j 0.0105522-0.198272j -0.0364226+0.187752j 0.10311+0.0593438j 0.323792-0.0807656j -0.0852365-0.102438j -0.0126801+0.0535053j 0.00867698-0.0803128j 0.0145081+0.114669j 0.0579931+0.0600683j -0.000217677+0.0541304j -0.141959-0.0931274j 0.0962708+0.0285313j 0.0405425-0.0714397j -0.0353431+0.0984702j -0.0942113-0.0944208j 0.054252+0.275785j 0.00365966+0.0395737j 0.0139195+0.043992j 0.0224343+0.104006j 0.148949+0.0364626j 0.0876827+0.0645491j -0.19432+0.0906358j 0.018408+0.102285j -0.0378+0.133938j -0.0284122+0.0517162j 0.0362363+0.0416442j 0.0217937+0.0156587j 0.0290004-0.0575822j 0.0354394+0.040647j 0.0666053-0.0230696j 
-0.00752614-0.0532044j 0.051176-0.0183878j -0.0385001+0.0128787j 0.0461507-0.0131824j -0.0125986+0.00173758j -0.0596257-0.0664276j 0.0545686-0.00676477j 0.0272396-0.0541497j -0.0443121+0.0172378j -0.0397859-0.0148552j 0.0177871+0.0291738j 0.0048187-0.0313645j 0.019056-0.0280229j -0.00427903+0.113461j 0.076626+0.139956j -0.0238636+0.0194695j 0.1134+0.00296728j 0.0510016-0.187715j -0.0350458-0.0557172j 0.0159045-0.015784j -0.0541334+0.112903j 0.0035978-0.0438687j 0.0225941+0.0374561j 0.00969146-0.0114324j -0.0658612+0.00830741j -0.025016+0.0307625j -0.218584-0.0480953j -0.109913+0.0283599j -0.0187058-0.0167445j 0.00721018-0.00946104j -0.150112-0.0125386j 0.0123066+0.0659119j 1.53359e-05-0.0326031j -0.0431742-0.0421071j 0.031165-0.0449143j 0.0796477+0.018191j -0.0330262-0.0357515j -0.0273577+0.0324044j 0.0550308+0.0164223j 0.0677145+0.148787j -0.0888609-0.00938405j -0.0823714-0.126551j -0.100705+0.0689273j 0.141827+0.0423621j 0.237465-0.0407069j 0.103-0.000578632j 0.104764+0.0225219j -0.018751+0.0723751j 0.0117104+0.0564818j -0.0238595-0.119869j 0.0449107-0.0501755j 0.00447847-0.0801632j -0.0117824+0.0692457j -0.0609488+0.0823621j 0.03348-0.0890831j 0.0023418-0.00607416j -0.100306+0.0349849j -0.0247741+0.0720408j 0.0394395+0.00512915j 0.00727559+0.023453j -0.00858998-0.0107597j -0.0541673+0.18279j -0.00287179+0.142522j -0.136785+0.129635j 0.0145903-0.0139289j -0.061817-0.0125299j -0.0978565-0.167777j -0.20381-0.00832582j 0.0522179+0.195069j 
-0.00992443+0.0018267j -0.0117711+0.0471271j 0.0464372+0.0781979j -0.0231142-0.0172417j 0.0772205-0.0343144j -0.0728606-0.0818586j 0.000800012+0.0498979j -0.0388605-0.0367643j 0.00266635-0.00148815j 0.0668082+0.0461179j -0.00132487+0.00200339j -0.00948243+0.0431677j -0.0921708-0.0194735j 0.0061276-0.0110949j 0.0683439-0.100227j 0.17494+0.0536233j 0.164341+0.0607193j 0.00477685-0.113212j 0.0904352-0.107749j -0.0761554-0.0937514j -0.0536252+0.0114412j -0.154402-0.0916159j -0.0198943-0.0264994j -0.132559-0.0470933j -0.0550371-0.0686705j -0.0335813+0.0256098j 0.0820506+0.0378765j -0.00849632-0.0427988j 0.0269047+0.0225519j -0.0245048-0.00720668j 0.0596444-0.0240258j 0.0141839-0.0624547j -0.0927782-0.0661356j 0.0226567-0.0461508j -0.0645624+0.12089j 0.0103875+0.0459419j 0.0408944-0.0876785j 0.0347786+0.00187222j 0.0327517-0.16511j 0.0886037-0.0856031j 0.0726195+0.0197734j -0.0460197+0.045487j 0.0948009-0.0165158j -0.0642054-0.00425592j 0.0680315+0.0490512j 0.0283619-0.0650012j -0.0723737+0.0269037j 0.0219413+0.122067j 0.080569-0.0763187j 0.00834552-0.230411j 0.170277-0.186107j -0.0440486+0.0204112j 0.0569224-0.0288682j 0.0517784+0.107999j 0.107094+0.0224809j 0.0826016+0.0177154j -0.167445-0.154786j -0.136428+0.0411214j -0.0345214-0.122906j -0.140005-0.0439817j -0.00313213-0.0360824j -0.030962+0.179884j 0.00730685-0.0860592j 0.112021-0.197212j -0.0603458-0.00624129j -0.255769+0.0196965j 0.0801821+0.0556566j 0.0388915-0.000219365j -0.00746376-0.0374702j 
-0.0730896+0.0743257j -0.0438551-0.0683191j 0.128864-0.0786383j 0.0823703-0.0116529j -0.0200699+0.0459516j -0.186194+0.0640557j -0.0533312+0.059532j -0.0408233+0.0201331j 0.00367985+0.0120677j 0.0758908-0.0197768j -0.035356+0.000418869j 0.0390509+0.0193914j 0.00950975-9.1136e-05j 0.0365858-0.000273341j 0.0680221+0.0776784j 0.0074182-0.0197515j -0.147634+0.0341173j -0.0899008+0.00898773j -0.0128794+0.0830382j 0.0696412+0.028962j 0.0409064+0.23705j -0.0263413-0.0452444j -0.0443181-0.0203607j 0.0929348-0.124324j 0.00122005-0.055684j -0.0207681+0.125274j -0.0766871-0.00703166j 0.0176825+0.00696034j -0.00188293+0.00052516j 0.00640717-0.023563j -0.0132301+0.00859861j 0.038931-0.0430119j 0.0319667-0.12808j -0.05693-0.0238788j 0.0150306+0.00683109j -0.0687718+0.0674904j 0.0876131-0.122355j -0.0747997+0.0162295j 0.00834149-0.0305664j -0.0558184+0.0371558j -0.0831882-0.0433416j -0.0214211+0.136586j -0.0615285-0.0170108j 0.0462513-0.0297965j -0.135657+0.053577j 0.0460882-8.21407e-05j -0.0892598-0.0483518j 0.0224777-0.238664j 0.07893-0.0171823j 0.0412843-0.0525885j 0.0890762-0.0945225j -0.0307593+0.00107499j 0.0381617+0.0145133j -0.230245-0.170428j 0.128652+0.0243902j 0.190007+0.0770862j -0.15258-0.0384847j -0.0178197+0.24693j -0.0347785-0.040429j -0.172495-0.158511j 0.0629316-0.110329j 0.0265262-0.148973j 0.0622896+0.00425817j -0.0291244+0.0759604j -0.0411463+0.0340797j 0.19036+0.00461102j -0.0448686+0.0337443j 0.000294334-0.0249724j -0.00783664+0.00974705j 
0.0103878-0.0131222j 0.0316181+0.00749242j -0.000619175-0.014981j 0.00695538-0.0104005j -0.00883941-0.0105866j -0.0126646+0.00220344j 0.00370279+0.00623668j -0.0146481+0.00154468j 0.00423534+0.00161649j 0.015341-0.00344727j -0.00232536-0.0154367j -0.00689352+0.00314776j -0.0135006+0.00857091j 0.00421464-0.0107778j -0.00676907-0.01546j 0.01836-0.0124472j 0.0197396-0.000437461j -0.0317945-0.0330345j 0.0358737+0.0242185j 0.0133107-0.0469303j -0.0116507-0.0289354j -0.0222323-0.0146457j 0.0137125+0.0374324j -0.0187308-0.00208808j 0.00370811-0.0131708j 0.00858534-0.00874216j 0.0103873-0.015189j 0.0320599-0.00633164j 0.0103061-0.0346633j 0.000436856-0.0147083j 0.0111788+0.0194813j -0.000693446-0.0162103j -0.0415961-0.00906008j 0.0279786-0.014609j -0.0347101-0.00883987j 0.0167938+0.00767174j 0.00104762+0.00373954j -0.00905058+0.0144966j 0.0611658-0.00565644j 0.0522642-0.0297938j 0.0146167+0.037903j 0.0282265-0.0120287j 0.031761+0.0218887j -0.00236512+0.00112653j 0.0424675+0.0140727j -0.018605-0.0224166j 0.0491621+0.00978906j 0.0453062+0.0532472j 0.00661455+0.0155044j 0.0485232-0.0408976j 0.013449-0.0200144j 0.00465053+0.0376797j 0.00737338-0.0388632j 0.00477909+0.0152681j -0.00366483+0.00834762j 0.00313296-0.0014328j 0.017969-0.00091264j 0.00774298+0.0222046j -0.0346871+0.0265831j -0.0157256-0.0201438j 0.0105993+0.0316097j 0.0038406-0.00800912j -0.0138505-0.0100485j -0.0156904-0.0436382j 0.015181-0.0136886j -0.0487009+0.015699j 0.0273437-0.0200122j 0.00818449+0.021305j 0.0262878-0.00463537j 
0.0189939-0.0196115j 0.0102303+0.00461687j -0.0278293-0.00284534j 0.0299271+0.00352363j -0.00704482-0.00785773j 0.0206169-0.0554217j 0.0255882+0.00714582j 0.0128787-0.00569622j -0.0225849-0.00480373j -0.00305517+0.0190687j 0.00988084-0.00571122j 0.010671-0.0149043j -0.00430322-0.00779895j -0.017628+0.0360147j 0.0418658+0.0754549j -0.0451037+0.027871j 0.0632446-0.0269223j 0.0237954-0.0790784j -0.0346767-0.0623632j -0.0258493+0.0167575j -0.0537755+0.0350531j -0.00908659-0.00756398j -0.000178183-0.00445605j 0.00714995-0.00892532j -0.0550455+0.0206868j -0.0171339+0.0121845j -0.0812601-0.00705912j -0.0278254+0.0180347j 0.0087306+0.012449j 0.00626714+0.00465638j -0.05659-0.0195427j -0.0110496+0.032969j -0.00497283-0.0320961j -0.00739625-0.0105746j 0.0280094+0.00357768j 0.0380843+0.0101437j -0.0132454-0.0216886j -0.0178469-0.00540293j 0.035647+0.0047723j 0.042923+0.0495907j -0.0230833-0.0228151j -0.023766-0.0544437j -0.0456486+0.0381035j 0.051147-0.0225101j 0.0813671-0.00720698j -0.00125487+0.029276j 0.0399899-0.00984522j -0.0288173+0.00638495j -0.0103786+0.0152285j 0.0241324-0.0560114j 0.0259828-0.0446528j -0.02256+0.0070772j 0.0176451-0.0116717j -0.0372247+0.0458625j 0.00514941-0.0218951j -0.00336219-0.0153849j -0.0411659+0.0163321j -0.00258744+0.0378865j 0.00908768-0.0293309j 0.0153333+0.0305016j 0.0234285-0.0675399j -0.0139294+0.0790555j 0.0162551+0.0557042j -0.0482423+0.0419602j -0.00876436-0.0315803j -0.0669856-0.00100693j -0.0274244-0.0442411j -0.0978252+0.00175166j 0.0171749+0.0861703j 
0.00418285-0.009225j 0.00535475-0.000790263j -0.00372951+0.00759568j -0.00617671-0.00296386j 0.00123802+0.00828796j -0.0103435-0.00102356j 0.000951895+0.00532932j 0.0091322-0.00801819j 0.022951-0.00434172j -0.00771647+0.000212742j -0.00909102-0.0060716j -0.00192445-0.00249613j -0.00757058+0.00820634j 0.0108821-0.0162037j -0.00567762+0.000548042j -0.00231712+0.0130499j 0.00939529-0.00125939j -0.00786926-0.0107142j 0.00801774-0.0112661j 0.00780619-0.0102769j -0.0006048+0.00937917j -0.0050461+0.0119416j 0.00168833+0.00618783j -0.0225406+0.0123585j -7.83883e-05-0.0194828j 0.00634176+0.00258627j 0.00709832+0.0111663j -0.0171403+0.0101571j -0.0190356+0.00971801j -0.0029085-0.00175189j 0.000554133+0.0028731j 0.00528821-0.0180025j -0.00289195+0.016538j -0.00889928-0.0112402j -0.0110568-0.00955577j -0.00782026-0.00349559j -0.00461993+0.00516377j 0.0107775-0.00720045j -0.0242276-0.0096949j 0.00122952-0.010843j -0.011059-0.0153563j 0.0128669+0.00328668j 0.0065188+0.00255908j -0.00639988-0.00156444j 0.000194358+0.0178249j -0.00613438-0.00618689j -0.00119994-0.00112848j 0.00616658+0.0053049j -0.00363823-0.0158041j 0.00431434-0.00632j 0.00923945-0.00745772j 0.00195778-0.0188468j 0.0079019+0.00993254j -0.0254375-0.00829953j -0.00389006-0.0133336j -0.000742391-0.000935299j -0.00685064-0.000552278j -0.00628791-0.0241075j 0.0153691-0.0136688j 0.0168279-0.00929602j 0.000388405-0.0136569j 0.0117802-0.00516091j -0.0127765+0.000182448j 0.00603578-0.0126364j 0.00114819-0.00426503j -0.00720237-0.00462581j 0.0192188+0.00389627j -0.000579609+0.0155623j -0.000351738+0.00425057j 
