-0.00217718+0.0147145j 0.00553767-0.0536652j -0.016524+0.0105014j 0.0450923-0.0251956j 0.0175899+0.00139013j -0.0144618+0.0131959j -0.048421-0.00416806j -0.00178071+0.00377857j -0.029843-0.010326j 0.00471619+0.00504773j 0.015467+0.017481j 0.0381925+0.0109139j 0.00649784+0.0091057j 0.00735393+0.0254631j 0.00273582-0.00166594j 0.00365513+0.0189212j 0.00406022-0.000377264j 0.00905021+0.01309j -0.0165531-0.0162716j 0.00595274+0.0118365j -0.0132475-0.00886132j -0.0078882-0.0166811j 0.00576654+0.00681999j -0.00452107+0.0256227j 0.0126399+0.00930478j -0.00432196-0.0223662j -0.00961608+0.00970066j 0.00239982+0.00908662j 0.00962043+0.00589202j -0.0128282-0.00849438j 0.00274796+0.0161109j -0.00834489+0.00769978j 0.00411754-0.0123366j 0.00618675+0.00405712j 0.0111844+0.0306291j 0.0136376+0.0137717j -0.0209477+0.0265349j 0.00409198+0.00635508j 0.00292171-0.0142097j 0.00159912-0.0176017j -0.00991165-0.0118474j 0.00138551+0.00928749j -0.00327404+0.0261478j 0.0120138+0.00690111j 0.00411739+0.0349657j -0.0196587+0.0379136j -0.00771919+0.00017821j -0.00841892-0.0122856j -0.00424558+0.00309697j 0.00943209-0.00646378j -0.00332028-0.00773924j 0.00639213-0.00954676j 0.0168473+0.0016862j -0.00537077-0.0302863j 0.0115105-0.0225656j 0.0112999-0.0136634j 0.0126522-0.0219198j 0.00201536+0.00887583j -0.0533944+0.0279674j -0.0230345-0.000551643j 0.0155873+0.0126334j 0.0505151-0.00827761j -0.00667668+0.051509j 0.0228067-0.0344757j 0.0386426-0.0567981j -0.01827+0.0375873j 0.0748411+0.0740067j 0.0512639-0.0285785j -0.0282125-0.0723197j 0.0714616+0.00296276j 0.0167002+0.0551917j -0.0813575-0.0625189j 0.0162538+0.0332612j 0.0150744+0.0565662j 0.109031+0.0798918j -0.110776+0.144113j -0.0389612+0.0394862j 
0.00505065-0.0551055j 0.000482819-0.0153676j -0.0380926+0.0265602j -0.0194165+0.0172412j 0.0164081-0.00233254j -0.0271909-0.000741396j 0.00683152-0.00793164j 0.0456895+0.0138104j -0.013676-0.00833104j -0.00192613-0.00499227j -0.0184602+0.003328j 0.024458+0.0173028j -0.0354534-0.0356535j -0.00991118-0.0226753j -0.0142595-0.0269902j -0.00748641+0.0175848j -0.0149068-0.0181247j 0.0216868+0.00918295j 0.00294755-0.0105037j -0.00783475-0.014405j -0.00323138+0.000130252j 0.00682003+0.00782641j -0.00966759-0.030411j 0.015805-0.00635113j -0.0176329-0.00510011j -0.0140425-0.00362756j -0.0080068-0.00931569j -0.00473475-0.0218788j -0.00776328+0.000536902j 0.00541775+0.0368002j 0.00346042-0.006392j 0.0018646-0.00598412j -0.00224915-0.00598355j -0.0075603-0.00116794j 0.00906122-0.0106479j -0.00379575-0.0220254j 0.0073823+0.00721508j 0.00744728-0.00762592j -0.011849-0.0132157j -0.000250962+0.00102514j -0.0013782-0.00555851j 0.00994686-0.0149714j 0.00174538+0.0158183j 0.0110703+0.00360254j 0.00132136-0.0122369j 0.00166997-0.0126777j 0.00267969-0.00258834j 0.000656654+0.0120197j 0.00885063-0.00156354j 0.0126183-0.00714966j 0.00176362-0.0254952j -0.00221775-0.0215892j 0.0132913+0.00415401j 0.0116664-0.0158778j 0.0335971-0.026379j 0.00816204+0.0131401j 0.0158972+0.00172488j -0.00739161+0.031338j -0.00406817-0.0303049j 0.00406132-0.0232436j -0.034103+0.0248887j 0.000127345+0.0546988j -0.0555197-0.00869372j 0.01958+0.00316241j 0.0637025+0.0216678j -0.0857024-0.0283084j -0.0526338+0.0376581j 0.017608+0.0746448j 0.0640066-0.0542746j -0.0167128+0.0430919j -0.0972368-0.0314402j -0.0203513-0.0548768j -0.0273235-0.0675482j 0.0947082+0.0746147j -0.0212636-0.0355457j 0.0449738-0.034914j -0.116645+0.150523j 
-0.0193047-0.0200048j -0.00510137-0.0334719j -0.0101638+0.00950067j 0.0127561+0.00708983j -0.0153222+0.0298041j -0.0438141+0.0145094j -0.014409+0.00272526j -0.00900111+0.000619052j 0.0170009-0.0412619j -0.00813093+0.00244646j -0.00121122-0.01565j 0.0454777+0.00555298j -0.0381547-0.0151544j 0.0341068-0.0111961j 0.0105105-0.0269654j -0.0191873+0.00144881j -0.00436992-0.00350602j -0.0126151-0.0115275j -0.0252746+0.00402631j 0.0294034-0.0183885j 0.0163465+0.0206192j 0.0368671+0.0185176j -0.0262728-0.0278427j 0.00625505-0.0175805j -0.0156973-0.015483j -0.0239283+0.000713689j 0.00222964-0.0138591j -0.0114621+0.000706105j -0.0145258-0.0097712j 0.0123658-0.00523104j 0.00128831-0.0290805j 0.00103189+0.0066739j 0.0152085+0.000912204j -0.00853347-0.0308783j 0.0224609+0.0147558j 0.00372269-0.020153j -0.0135173-0.0467049j -0.0120524+0.00687617j -0.00664345-0.00928107j 0.0129074+0.0234502j 0.00916066+0.0062437j -0.00475074-0.0120276j 0.00233768+0.00857723j 0.0106433+0.0224834j -0.0300147-0.0221098j -0.0014032-0.0129794j 0.023268+0.00512638j -0.0143698+0.00367274j 0.00747142+0.0294273j -0.0478704+0.028436j 0.0209541+0.0173062j -0.0290461+0.020722j -0.00898238+0.0453202j -0.0080718+0.0210993j 0.0212074+0.0250951j 0.0264463+0.0427679j 0.0163486-0.0278764j 0.0323944+0.0122347j 0.0121253-0.0141573j -0.0660154-0.0225768j 0.0189092-0.0207289j 0.0160001+0.033018j 0.0517037+0.0271922j 0.0459099+0.0424364j 0.0279534+0.00618169j -0.0902226-0.00466873j -0.010011-0.00604844j -0.00781362-0.147186j 0.0340998+0.0443775j -0.000495651-0.105599j -0.102665+0.00939701j 0.00401039+0.0561739j 0.0227261+0.133112j -0.039558+0.0218775j -0.0225586-0.102052j -0.126832+0.197962j -0.120593-0.0667508j 
0.00326652-0.0295717j 0.0302018+0.0190164j -0.0226672+0.00853449j -0.0310746-0.0119452j 0.0195278-0.0372174j -0.000102612+0.0213533j 0.0436753-0.0267784j -0.00683969+0.0057128j 0.00904809+0.00780199j -0.00334015-0.00769421j -0.0632361+0.0169198j -0.0172112+0.00614855j 0.0437447+0.00645353j 0.00543051-0.00122576j 0.0230258+0.0168651j 0.000681179+7.53675e-05j -0.00595921-0.00769745j -0.0216776+0.00467078j -0.000769565+0.0274286j -0.0166856-0.00591498j -0.00523919-0.0263343j -0.0232569-0.0138072j 0.000176175-0.0232791j 0.0253916+0.0129229j 0.00493323-0.00377806j -0.00267438+0.0015467j 0.0141251+0.0193943j 0.00440146+0.0216571j 0.0121042-0.00560012j 0.00608745-0.000867096j 0.0128636+0.00890173j 0.0396454-0.000702348j -0.0454499+0.00812025j -0.0231631+0.00383524j 0.0135084-0.0110099j 0.00123994-0.00416649j 0.00247768+0.00722413j -0.00714417-0.0309558j 0.011956-5.33598e-05j -0.0134685-0.000132624j 0.00131429+0.019858j -0.0345179+0.00656238j 0.00546302+0.00772504j -0.0167037+0.00817196j 0.02346+0.012343j 0.011915+0.0187662j 0.00986517+0.0207413j 0.001107-0.00868847j -0.0208874-0.000530129j 0.00691074-0.00731104j 0.0181126+0.0250434j 0.00281831+0.0056604j -0.0475904+0.00151933j -0.00865337+0.0240378j -0.0225802+0.0131289j -0.0528033+0.0335549j 0.0539902+0.00592264j -0.00101528+0.0626873j -0.0205999+0.00524334j 0.0206555-0.0343017j 0.048565-0.0156191j -0.0307202+0.0278518j -0.0375307+0.0118103j -0.0745108+0.0619412j -0.0347753+0.0227346j 0.00608732-0.0726933j 0.017008+0.0117769j 0.12475-0.0290307j -0.0176584-0.0595174j -0.0305568-0.0690542j 0.00583862+0.0562365j 0.043325-0.0848233j -0.0214466+0.007912j 0.0373022-0.0508833j 0.100554-0.0808726j 0.110215+0.0568955j -0.118338+0.199727j 
-0.00823222+0.0122156j 0.0197055-0.0348781j -0.0204136+0.00314819j -0.0112942-0.0397149j -0.00708759-0.0148356j -0.00495767+0.0544738j 0.0148001-0.0390381j -0.0388917+0.00250706j 0.0176186-0.00505091j -0.0354867+0.0153791j -0.0245845+0.0250038j 0.0103097+0.0192493j 0.0474154-0.00188096j 0.0224026+0.0164158j 0.0295793+0.0149649j 0.0262281-0.00141677j -0.0108255-0.0238955j -0.000243058-0.012422j -0.0280358-0.00153548j 0.00898902+0.00816319j -0.00820793-0.0180358j -0.0142192-0.00767661j 0.0130547-0.0299039j 0.0195532-0.0173866j 0.0250477-0.00156102j -0.0246401+0.00407642j 0.00630803+0.0261462j -0.0269018+0.00244325j 0.0407674-0.0041464j 0.00660286+0.00771042j -0.0157752+0.0188286j 0.00976567-0.016962j -0.0160658+0.00921565j 0.00498195-0.00366259j -0.0117383+0.0248638j -0.00884226+0.0129201j 0.00733107-0.0248455j -0.0201641-0.0214332j -0.0043368+0.00858781j -0.0232214-0.0280838j -0.0365091-0.00296037j -0.0151801+0.00521394j -0.043252-0.00447748j -0.00495837+0.0125329j 0.0196217-0.006053j 0.00160126-0.0134553j 0.0101132-0.00571159j 0.00676191-0.0185606j -0.0265912+0.0104138j 0.041351-0.00476225j 0.0145418+0.00876314j -0.0190689-0.0112599j 0.00931426+0.0507681j -0.0456359-0.0535478j 0.00945716+0.0136549j 0.00727471+0.0104558j 0.0448116-0.0458798j 0.0397633-0.0454385j -0.00671484+0.00190395j -0.00141044+0.0118802j -0.0384812-0.0419731j 0.0128364+0.06688j -0.0138171-0.0358617j 0.0437534+0.0138534j -0.0904669-0.00349365j -0.0379629+0.0295282j 0.0511513+0.0323894j -0.0068427+0.044498j -0.12026+0.0612795j -0.0235476+0.0285646j 0.100714+0.0292039j -0.00213661-0.109433j 0.0478269-0.118018j -0.148369+0.0968605j 0.0789215+0.0932597j -0.0327588+0.0999592j 0.00138755-0.0183775j 
-0.00192796-0.034681j -0.0139254-0.0410901j -0.0104717+0.038087j 0.0164002-0.00507928j 0.0247855-0.0326383j -0.00966491-0.0304452j -0.0210087-0.0120113j 0.0199432-0.00719477j -0.00932101-0.0104975j -0.0114071+0.0258289j -0.0291895+0.00912295j 0.0104598+0.0223715j 0.0386863+0.0012461j -0.0366911+0.0182544j -0.00744666+0.0168526j -0.0301912+0.0262992j -0.0173642-0.00831034j 0.000682553+0.0256524j 0.0198721-0.038721j 0.0317267-0.0268253j -0.00318039-0.0300942j -0.0202074-0.0322405j 0.0547967-0.00360636j 0.0233858+0.0323345j -0.0303963-0.00803494j -0.000199708-0.0112958j -0.00752211+0.00957822j 0.0314206-0.00193195j -0.0255547+0.00825817j -0.00605628+0.04915j -0.0131571+0.00473179j -0.0254462+0.0152464j 0.000536823-0.0264375j -0.0227147+0.0222464j 0.0386731+0.00416527j 0.0026615+0.0110673j 0.0567983+0.0306769j 0.00816268-0.018163j 0.00817756+7.31922e-05j 0.004286+0.0156727j 0.000406911-0.0186662j 0.0272784-0.0101354j 0.0164956-0.00378357j -0.00368659+0.0314163j 0.00744197+0.0337337j -0.0421842-0.0339733j -0.00537329-0.00674764j 0.0369212-0.00696701j -0.0175731-0.0693103j -0.015908-0.011743j -0.0105517+0.00605497j -0.0297005-0.0484492j -0.0320891+0.0193059j 0.0508222-0.0314024j 0.0734246+0.00561922j 0.00805457+0.0388642j 0.0274828+0.0695142j 0.0227219+0.00985907j 0.0281764+0.0357048j -0.0253116-0.0536192j 0.022395+0.050545j -0.0157317-0.0309762j 0.0958944-0.0508802j -0.0261307-0.0183214j -0.00186454-0.0781534j -0.0453778+0.0608865j -0.0587454+0.0268923j 0.0232332-0.0517741j -0.0288394-0.0405436j 0.0297102+0.0506816j 0.0909466-0.059157j -0.0743607+0.0355129j 0.0784575-0.0669708j 0.0461245+0.097596j 0.07569+0.0524484j -0.0551434+0.0537656j -0.0126427+0.059544j 
-0.0242901-0.043755j 0.0266714+0.0255701j -0.0375127-0.004858j -0.0265614+0.0116504j 0.0140562+0.00226688j -0.008544+0.0131173j 0.0358188+0.0232129j 0.0408036+0.00213077j 0.0318754-0.0239124j 0.0202523-0.0288031j -0.0204939+0.00683908j -0.0318966-0.021147j -0.00902753-0.0220274j -0.00747421-0.00919523j -2.09686e-05+0.0212946j -0.00581125-0.0194982j 0.0150495+0.000773356j -0.0329438+0.0167883j -0.0178885+0.0441217j -0.0128802+0.00475694j 0.0131514+0.00184094j -0.032141+0.00995877j 0.0258021+0.0085166j -0.00831679-0.000790383j 0.00328179-0.00985597j 0.0263866+0.0138657j -0.043238+0.018934j 0.0104943+0.013178j -0.0272011+0.0062769j -0.0139315+0.0107448j 0.0127774+0.00639849j 0.0291972-0.00306607j -0.0148552-0.0173749j -0.0128153+0.0165736j 0.00202263+0.0185175j 0.00278691-0.0102577j -0.00909022+0.031846j 0.069199+0.0531632j -0.0249774-0.00489882j -0.0281633+0.0229975j 0.00241611+0.0224469j 0.0371077+0.0115344j 0.00694113+0.00729183j -0.0426701-0.00759254j -0.00878004-0.0155208j 0.0585539-0.0245057j 0.0309286+0.00787989j 0.0216431+0.0295935j 0.0371606+0.0311157j 0.0274603-0.016012j 0.0350352-0.0584653j 0.0184002-0.0206577j -0.0431042-0.00195016j -0.0123201+0.0216422j -0.0102269+0.0740769j -0.0344002-0.00112185j -0.0557531+0.0124495j -0.00749251-0.0341807j -0.0326312+0.0730347j 0.0191651-0.00818754j -0.0527563+0.0400173j 0.0290914+0.0790571j 0.0248354+0.08761j 0.0296911+0.0199302j -0.005479-0.0557946j -0.034834-0.0121519j -0.0570354+0.0643839j -0.0222861+0.0368361j 0.00950555-0.0131828j 0.0393047+0.0111992j -0.0194907+0.0120584j -0.128199+0.0325815j -0.0246754-0.0352451j 0.00603035+0.12336j 0.00688313-0.078946j 0.00562237-0.0143012j -0.059086+0.0633444j 
-0.0169862+0.0213071j -0.00866385-0.0249597j -0.0348624+0.012381j -0.00896819+0.00435963j -0.0136702+0.0331512j 0.0124521+0.0247291j 0.00026803-0.01522j -0.0025563-0.0238377j 0.0105998-0.0137612j -0.0265346+0.0387981j 0.0328499+0.00717666j 0.0159506+0.0447098j 0.0246204-0.0389745j 0.00383397+0.00994829j -0.00827332+0.0245728j 0.0257092-0.0182199j -0.00707968-0.063123j 0.0374785-0.00737513j -0.0295435-0.0204027j -0.0209211+0.00322568j -0.00376947-0.0149335j -0.0204938-0.0101417j 0.0137077-0.0239361j 0.0154963-0.0163001j -0.00436831-0.0195379j -0.0182906+0.00446002j -0.0120161+0.0229792j -0.0082603+0.00223974j 0.000570397-0.010412j -0.0291698+0.0194621j -0.0334629+0.0211475j -0.00966763-0.0233393j 0.0355329-0.0038948j 0.0179135+0.0238824j -0.0235867+0.00583202j -0.0167115-0.0169347j 0.0132076+0.0133044j -0.00187365+0.00128704j -0.00821012-0.0272558j 0.00403545+0.0408351j -0.0165513+0.0196125j 0.0202901+0.039612j 0.00720604-0.00452575j -0.0382605-0.00600866j -0.019768+0.00498258j -0.0351801-0.0313452j -0.00444727-0.0358084j -0.0123372+0.0229534j 0.0200682+0.00709132j 0.0280807+0.000574618j -0.00846309-0.0246317j 0.0203151+0.0103223j 0.055045+0.0505076j -0.00982085+0.026613j 0.0197358-0.0154674j -0.019696-0.0277012j -0.0408023+0.0134825j -0.0695094-0.00607663j 0.0410601-0.00543305j -0.0250508-0.0590257j -0.0217421+0.0649835j 0.116669+0.000218861j 0.0192058-0.0301279j -0.0564211-0.0308146j -0.0204371+0.0116757j 0.00439321+0.0502355j 0.044259+0.00544094j 0.0481955+0.0434068j -0.00896695+0.0679281j -0.0431064-0.0177304j 0.0880765+0.0880672j 0.0518283-0.0750414j -0.044707+0.0208102j -0.00427474+0.0266398j -0.0554965+0.156026j -0.0216852+0.00432777j -0.00644145-0.0301589j 
-0.0186691+0.0167537j 0.0224771+0.00681585j -0.0240431-0.0234154j -0.0373875+0.000327786j -0.0173125+0.017316j -0.0189429+0.0294794j 0.0735924-0.00246115j 0.00392537-0.0110858j 0.0640784-0.0471881j -0.040932+0.0617296j -0.0448213+0.00574005j -0.0566291-0.0538172j 0.0118679-0.00816597j -0.00693557+0.0110694j 0.00473475+0.00907268j -0.00844747+0.0114599j -0.0176906+0.0298294j -0.0374975+0.0112992j 0.00240848+0.00557295j 0.0311908-0.019948j -0.00169395+0.0334006j -0.021324+0.0317476j 0.0223891+0.00415354j -0.00293497-0.0249624j 0.00536284-0.00190991j 0.00072655+0.012009j -0.0086894+0.0127153j 0.000527511-0.0128056j 0.000713861+0.022245j 0.00993682+0.0110966j 0.0303275-0.0172282j 0.00520069-0.0255656j 0.00262133+0.00873023j 0.0407948-0.0279385j -0.0103328-0.0203332j 0.0031883-0.0182047j 0.0131946-0.0332867j -0.0120573-0.00873542j -0.00781179+0.0282415j -0.0330524+0.00303366j -0.0168744-0.0491284j 0.00257802+0.0189223j 0.00858171+0.0134368j 0.0607053+0.0118723j 0.0271098-0.0586697j 0.0199582-0.00895256j 0.074979-0.0256603j 0.033359+0.0191846j 0.048913-0.0324406j -0.0973435+0.0112587j -0.0338194-0.0367359j -0.0402562+0.0121343j -0.0538314-0.00485553j 0.0144746+0.0318621j -0.00119764-0.026922j 0.019302-0.0134316j 0.0162264+0.00687034j -0.000245647-0.142967j 0.110075+0.036005j 0.0469077+0.0115576j -0.0321681+0.0225844j 0.0110419-0.00681719j -0.0473465+0.0136253j 0.0600225-0.0299875j 0.00102461+0.0438103j 0.0544502-0.0557066j -0.0624191+0.0442173j -0.0648793-0.0279819j 0.0787389-0.0506409j -0.0424281+0.0209674j 0.0885033-0.0774553j 0.0428481+0.00235598j -0.00256669+0.0493461j -0.051737+0.0559238j -0.0488284-0.0346757j 0.0808453-0.0627491j 0.0565454-0.0469546j 
0.00222575-0.0376161j 0.00453264+0.0253157j -0.0104858+0.0240862j -0.0272166+0.040066j 0.0025016+0.00160313j -0.0155323-0.0139709j -0.00567757-0.0250653j 0.0523012+0.0246194j -0.0262845+0.0412447j 0.0013266+0.0354899j 0.00977087-0.0425972j 0.024977+0.018299j -0.0398393-0.0480571j -0.00481901-0.0407558j -0.013258-0.0512507j 0.0484209-0.0106588j -0.0190062-0.00542051j 0.0781059+0.0253224j -0.00309432-0.0162142j -0.00473205-0.0285979j -0.01667-0.0008019j 0.00312026+0.0178038j -0.0135948-0.0222378j 0.0151759-0.0115387j 0.0365732-0.0152654j -0.034836+0.000478425j 0.0132412-0.0137224j -0.0251434-0.0730593j 0.03682-0.00121184j 0.0120337+0.0431511j -0.0355652+0.0320059j -0.0112192-0.000265221j -0.0083472-0.0217576j -0.0104812-0.0355278j 0.0137334-0.0546602j -0.0308583-0.00617366j 0.0291646+0.0617352j -0.00326806+0.00395535j 0.00426247+0.00502867j -0.0367026-0.0179876j -0.0565898+0.00136854j 0.041109-0.0202507j 0.0241969+0.0191918j 0.0650546-0.0757596j 0.0318762-0.0486971j 0.0225028-0.0271325j 0.0279466-0.0308371j 0.0231948-0.0129904j -0.0308279-0.0436209j 0.0454949+0.0634575j 0.0214831+0.00511583j -0.0097354+0.00163005j 0.00289843-0.0276902j 0.0119896-0.0344087j -0.00814296-0.0112596j 0.0214649+0.00214028j 0.0307125-0.0191026j -0.108179+0.00623597j -0.00844868-0.0152161j 0.0153337-0.020592j -0.0427112+0.0173607j 0.0042647+0.0703901j -0.0496953-0.0403722j -0.0653355-0.045929j 0.0501753+0.0134927j -0.124712+0.0501602j -0.149293+0.0757004j 0.0814734+0.0385173j 0.0367007-0.0351537j -0.0183657+0.0963331j -0.0447695-0.0126805j 0.0335403-0.0617294j -0.0170932-0.141875j 0.0585773+0.0639767j -0.031484-0.00344372j 0.116634-0.0814633j -0.116306+0.13903j 
-0.0430733-0.0505498j 0.00603249-0.0236789j -0.0592923+0.028961j 0.0172466+0.0085207j 0.0291414+0.018755j -0.0432822+0.00444929j -0.0109117+0.0200373j 0.0429227+0.0174367j -0.0114207-0.0173521j 0.0283876-0.00831971j -0.00780103-0.013715j 0.0271114+0.00694626j -0.0343526-0.0394484j 0.0288195-0.0274227j 0.0167858+0.0132544j -0.013895-0.0260357j 0.0197114-0.0100759j -0.0190214+0.030336j 0.00381368+0.0323766j -0.0124408+0.0156156j 0.00669595+0.0017707j 0.00477049+0.0300441j -0.0207131-0.00258139j 0.00160035+0.0387986j 0.0508871-0.0182217j -0.0308376-0.0108165j -0.00481457-0.0394108j 0.0055506+0.0238122j -0.0262007-0.0172621j -0.053464-0.00466622j 0.0411+0.024717j 0.0479941-0.00463028j 0.0143453-0.00406146j 0.00348037-0.073842j 0.017012+0.0099217j 0.0399075-0.0327375j -0.00388923+0.0214129j 0.00836267+0.00443052j 0.038374-0.0470122j -0.0199743+0.00818837j -0.0481901+0.0240702j 0.00935513-0.0119981j 0.0202787+0.00655823j -0.0102148+0.0128152j 0.0193109+0.0493433j -0.00662494+0.054722j 0.00808961-0.005966j 0.0239191-0.0351993j -0.00508864-0.0449156j 0.0179999+0.00797652j 0.0207894-0.0598996j 0.0150464+0.00373719j -0.013727+0.0281553j 0.0761151+0.00238614j 0.0364355-0.0624778j 0.0135942-0.0206224j 0.0277426-0.0016008j 0.0181197-0.0128908j -0.0698842-0.0485194j -0.0308743+0.0321259j 0.0519941-0.0171086j 0.0312234-0.0451631j 0.005065+0.0513868j 0.0972811-0.0265793j 0.113308+0.00379177j -0.113648-0.0287416j 0.191433+0.1293j 0.123138+0.0450417j -0.0339039-0.0752515j -0.0132543-0.0172569j -0.0721194-0.0366924j -0.023735-0.0238169j 0.0160797+0.0861933j 0.0475744+0.0727127j 0.028445-0.0281183j -0.0613261+0.126964j -0.153692+0.11666j 
