-0.0181025+0.0168699j 0.00221738+0.095709j -0.0469042+0.0533314j 0.0238801-0.0258494j -0.000683866-0.0111552j -0.0030494+0.0195621j 0.0311254-0.0391994j -0.0268707-0.0100426j 0.0890772+0.0267863j 0.0329717-0.0174674j 0.00473271+0.0144947j -0.00273092+0.00652939j 0.0132858+0.047449j 0.000144746+0.00903044j 0.0229865+0.0350236j -0.0274866-0.00708959j -0.046473-0.0202998j -0.000431969-0.0322346j -0.0394968+0.0163057j 0.0477881+0.0321399j 0.0290814+0.00345015j -0.0241052-0.013447j 0.00156164-0.00445053j -0.00446095+0.00732243j -0.0283244+0.00604827j 0.0187807-0.00494616j 0.0137604-0.0133007j 0.0136742+0.00360743j 0.0163611+0.00656097j 0.0011669+0.00532963j 0.00926439-0.0131319j -0.00796167-0.0152128j -0.00754108-0.0201066j -0.0152782-0.0180449j -0.00885458+0.00891384j -0.006924-0.0025259j -0.00530641-0.0142275j -0.032597-0.0190136j -0.0195739-0.0226097j 0.00282181+0.00135788j 0.0151555+0.00519724j 0.017836-0.00692388j -0.00171954-0.00415829j -0.00706973-0.0172678j 0.0124012-0.00726492j 0.00921741+0.00182397j -0.0125002-0.00520099j 0.00453424+0.0106365j -0.0166918+0.0061443j 0.032598+0.017938j -0.00249228-0.00748533j -0.0189325+0.00391359j 0.00149341-0.00717019j -0.00453159+0.0177068j -0.0038999+0.00893927j 0.0169744-0.00954413j -0.00468312-0.00302609j -0.0114875+0.0262492j 0.0130727+0.000838173j -0.00820047-0.0127427j -0.000747833-0.00210451j 0.00902027-0.0116475j -0.00397205-0.0069747j 0.00518519+0.00131171j -0.00142273+0.036851j -0.0259404-0.0252587j -0.00219527-0.0197892j 0.0162233+0.0165723j 0.0106704+8.06858e-05j -0.0115959-0.0160781j -0.0074178-0.0192572j 0.00669811+0.033692j -0.0210077-0.0355032j 0.0648889-0.0181771j -0.00816557+0.0264417j 0.00174347-0.0148561j 0.055094+0.0639171j -0.00227653-0.00968662j 0.0139826-0.02666j -0.0104623+0.0489578j -0.0340604-0.0715722j 0.0774408+0.0497705j -0.0199187-0.0213178j -0.0092349+0.0865618j 0.0901987+0.0220093j 0.0882283+0.0194662j -0.0961783-0.0252247j 0.0482118+0.0131077j 0.0402298+0.0553264j 0.107977+0.115592j 0.0381611+0.0722046j 0.0217117-0.019179j 0.0341846+0.0339209j -0.0202778-0.0477905j 0.105115+0.128903j -0.201996+0.233576j -0.114925+0.0417132j 
0.0162273+0.0877951j 0.0083217-0.0344097j -0.0426852+0.0339485j -0.0678173+0.0409841j -0.0199572+0.00315244j 0.00227164-0.0282006j 0.0382513-0.0139198j 0.0574027-0.0120586j -0.0520146+0.00874197j 0.0188423+0.0138361j 0.0240084+0.0186434j -0.0361488-0.0246201j -0.0256886-0.007716j 0.0276819-0.0228094j 0.017639+0.035559j 0.0170248-0.00373076j 0.0301576-0.011468j 0.0113381-0.0214058j -0.0122598-0.011319j 0.0231908+0.0116114j -0.0403389+0.0290621j -0.0114455+0.00022721j 0.00746112+0.00125666j -0.00107632-0.00341719j -0.000539954+0.00165762j 0.00425206-0.0039635j 0.0167492+0.0139693j -0.0174197-0.000369989j -0.0120499+0.010649j -0.00971381-0.00934721j 0.0158288+0.00999572j 0.0116203-0.00680944j 0.022164-0.0073805j 0.0045073+0.0038441j -0.00992157+0.00476922j 0.00808937-0.013311j 0.0103287+0.000133757j -0.0208209+0.00815045j 0.0133621-0.0128661j -0.00172576+0.000204416j 0.0120003-0.0177264j 0.0064243+0.00391691j 0.000838818-0.000102682j 0.011583-0.00951778j 0.000737634+0.00759821j 0.0177133-0.0191123j -0.0159382+0.00304104j -0.0120349-0.0235715j -0.00707045-0.0116008j -0.0165735+0.0169881j -0.00448508-0.00176003j -0.0135104-0.00126796j 0.00823444+0.00546138j -0.0111304+0.00652878j -0.0143304+9.13657e-05j 0.0123321+0.00941383j 0.0114225+0.00520844j -0.0172789+0.00987364j -0.00619324-0.0126317j -0.00220014+0.0092222j -0.0036814+0.0121384j 0.0229851+0.0204139j -0.0236656-0.0333199j -0.0244086-0.0028692j -0.0238993-0.00702212j 0.0313375-0.0183745j -0.00938986-0.0100651j -0.0177632+0.0197846j -0.0262296-0.00835491j 0.0451198-0.0229873j 0.0386382+0.00970831j -0.00164625+0.0245088j 0.0146863-0.0272686j 0.0369673+0.0501718j -0.0529394-0.0339861j -0.0010304-0.00529702j -0.025259+0.0376748j 0.00323637-0.0291533j 0.0670232+0.0563827j -0.061662-0.025815j 0.055365+0.0112104j -0.037536+0.0936832j 0.0170298+0.00890737j -0.0800922-0.00858671j -0.0563333+0.104866j -0.0362666+0.0586001j -0.00480068-0.0842078j 0.00460452+0.011546j -0.0560838-0.0190609j -0.0630081+0.127438j -0.0179493+0.00227666j -0.00452838+0.0165251j -0.0243866+0.0439441j -0.0610676-0.14076j 0.00158697-0.0317381j 0.151079-0.0376053j -0.209581+0.267312j 
0.0395367+0.0691978j 0.013286+0.0200706j -0.0420572+0.0309742j -0.00157589-0.010709j -0.0350311+0.0177221j -0.0217937-0.0367783j 0.0361455-0.0018542j 0.0676364-0.0659989j -0.0278702-0.0112919j -0.00426195+0.0400887j -0.0126428+0.0107557j -0.011962-0.031498j 0.00923066-0.00320512j -0.0400064-0.00123188j -0.0121594-0.0126477j 0.0446183-0.0401657j -0.00655093+0.0056649j 0.00853029-0.0427586j -0.02226-0.0121089j -0.0411138-0.0272339j -0.0288756+0.00423168j -1.42566e-05+0.0123068j 0.0218302-0.014014j 0.0162013-0.0116564j 0.0517171-0.00420352j -0.0292604+0.00656798j 0.0163543-0.00221481j -0.0243066-0.0100995j -0.0181528+0.0149631j -0.0235691+0.0183935j 0.00526158+0.00549244j 0.0125949+0.00501562j 0.0282691-0.00626044j 0.0106803-0.00546329j -0.00473119+0.0065927j 0.00463608-0.0087088j 0.0154573+0.00553157j -0.0225837-0.0141039j -0.0100017-0.00495091j 0.000553264-0.0278168j -0.00216561+0.00465875j -0.0102827+0.00183344j 0.00630052+0.0198983j 0.0146609+0.0111896j -0.00257004+0.00824016j 0.00971525+0.0157005j -0.0257896+3.77684e-05j 0.00746742+0.0121676j -0.0175889+0.00478559j -0.0318706+0.0103456j 0.0118313+0.00465387j -0.0196183+0.00438484j 0.00777497-0.00881573j 0.000352691-0.014553j 0.00724759+0.00216393j 0.0182289-0.00659972j 0.0095015-0.0177547j -0.0295527-0.0356169j -0.0229899+0.0299643j -0.0366518+0.0194331j -0.0325931-0.0114398j -0.0160728+0.00171585j 0.0134335+0.0294928j -0.00670022+0.0268214j -0.00220547-0.0435552j 0.0136278+0.026129j 0.00591328+0.0201828j -0.0565976-0.0603938j -0.00851257+0.00541776j 0.0213313+0.0240617j -0.0490679-0.0492846j 0.0242846+0.0398161j 0.00658138-0.0251743j 0.00620256-0.00654408j -0.0292369+0.0430964j 0.08219+0.00243363j 0.000117525+0.00625535j 0.0259867-0.00746938j 0.044962-0.00601328j -0.0685515+0.0460769j 0.0356627-0.0212064j -0.00454459-0.0404683j 0.0312807+0.0476338j 0.0175484+0.0997242j 0.0621426+0.0400674j 0.0314132-0.0315866j -0.0251813+0.0502661j -0.0118244-0.0129854j -0.130448-0.0266595j -0.0130247-0.171535j -0.0759647+0.0913809j 0.0422895-0.0578017j -0.000486252-0.0295564j 0.0357214-0.0309719j -0.0081198-0.115071j -0.111104+0.223645j -0.159014+0.0113692j 
-0.00130707+0.0405095j -0.0198091-0.0720317j 0.0282922+0.000966152j -0.0374574+0.0642048j 0.0311559+0.0290957j 0.00656113+0.0480028j 0.00791436-0.0201759j -0.000297692+0.0750604j 0.000179896+0.0260425j -0.0043436-0.0163221j 0.0401767-0.0137528j 0.0499296-0.0154043j -0.053385-0.0187976j 0.0217477-0.0137049j 0.00391378+0.0147444j -0.00327555+0.0377894j -0.000238396-0.0289114j 0.00533104+0.0208583j 0.0374486-0.0275879j 0.0490385-0.00365982j -0.0120274+0.0225711j 0.0174894-0.0257707j -0.00329607+0.0344503j -0.0221984+0.0374216j 0.0143135+0.0166688j 0.0280772-0.0162287j -0.0184286+0.0249344j 0.0321408+0.0268035j -0.0246549-0.0110705j -0.0106564-0.0168104j 0.0156371+0.0316687j -0.0229965+0.00684072j -0.00482464+0.0144107j -0.00887241-0.000900555j -0.0133993-0.016747j 0.012169+0.0125985j -0.0158403+0.0191275j -0.0296491-0.00147339j -0.0164872+0.0053071j -0.00836478-0.00363624j 0.00415692+0.00813142j -0.000501849-0.00444193j -0.0053869+0.0090125j -0.0223894-0.0132597j -0.0108393+0.000496274j 0.0125221-0.00661407j -0.00167032-0.0202664j -0.0138442-0.00110804j 0.00287033+0.0141028j 0.021638-0.000528741j -0.00583382+0.0101114j 0.0167264+0.0147621j 0.0175111-0.0047668j -0.00549217-0.0184017j 0.0132835+0.0138382j -0.0169836+0.00877126j 0.00511033+0.0196211j 0.0499951-0.00517787j 0.0144868-0.00714153j -0.00907561-0.0172617j 0.0611936-0.014423j -0.034201-0.0183484j -0.0191798-0.00126674j -0.0246474-0.00719471j 0.00212207-0.0288228j -0.0188555+0.0137648j -0.0321941-0.0110768j 0.0470456-0.0784456j -0.00964823+0.0356873j 0.00449097+0.0024113j 0.0341838-0.0111672j -0.0193946+0.0524015j 0.0595425-0.00674352j 0.0049351+0.038601j 0.000532982-0.04976j 0.0350169+0.0561319j -0.0292863-0.0373471j -0.00648507-0.0426442j 0.0218312+0.0289191j -0.0417151-0.0714359j -0.0180967+0.0216595j 0.00448023+0.0076653j -0.0531251-0.00134395j -0.0948469-0.0305406j -0.0678054+0.0715922j 0.0212417+0.00922036j -0.0407813+0.0341756j 0.04325+0.0179859j 0.0232939-0.0260051j 0.0326925-0.00850569j -0.0130262-0.0580776j 0.137801-0.0850881j 0.000255497-0.0797338j -0.0552347+0.049284j 0.108906-0.118104j 0.13141-0.0629198j -0.06387+0.17073j 
0.0134473-0.015397j -0.00247508-0.0141742j -0.00150199-0.0334114j 0.00567485+0.0105164j 0.0120074-0.0411407j 0.00740053+0.0433444j -0.0253749+0.0488744j 0.0344268-0.0452691j -0.0630874+0.00140304j 0.0181016-0.0263482j -0.031131+0.000872967j -0.00752338-0.00564655j 0.0256138-0.0144115j -0.0237535+0.0184786j -0.0444861-0.0153186j 0.00531001-0.0151885j 0.028185-0.00485377j 0.0345698+0.00156069j 0.0181623+0.00408582j -0.0199504+0.0189646j 0.0280485-0.00972443j 0.0339105+0.0497461j -0.0230553-0.00123164j 0.00629625-0.011059j 0.0325015-0.00536354j -0.0108685-0.0233292j -0.0313962-0.000781404j 0.00635797+0.00407323j -0.0156234+0.0148317j 0.0317889-0.0283591j -0.0017353+0.00469506j -0.0230207+0.00641326j 0.0222698-0.0281425j 0.00561459-0.00608984j 0.0162455+0.0137188j 0.00334183+0.017657j -0.0168126-0.00494179j 0.0346896-0.0294314j 0.0103898-0.00486242j -0.0174343-0.00287147j -0.01465+0.0236138j -0.0123839+0.0412368j -0.0102436-0.0286183j -0.0165807-0.00399645j -0.0165996+0.00419546j -0.00164749+0.0108556j -0.0265332+0.00128344j 0.00435388+0.0240321j 0.018112-0.0273709j 0.0154777+0.0396083j 0.0101367-0.0310566j -0.00305677-0.00596383j 0.0131003-0.0202169j -0.0128613-0.00307212j -0.0108765-0.0269382j -0.025348+0.000151515j 0.0166945-0.00231017j 0.0042144-0.0195799j 0.0529771+0.016283j -0.0209927+0.0201012j -0.0155051+0.0480148j -0.0212407-0.0120106j 0.00197532-0.0301498j -0.0217303-0.000554912j 0.0121067-0.0144808j -0.00544686-0.0285729j 0.0264421-0.0248798j 0.0125296+0.0360007j -0.044358-0.0226543j -0.0628731-0.071363j -0.0237537-0.0110179j -0.04643+0.0282949j 0.036478+0.0676929j -0.039791+0.0591048j 0.0163284+0.0286135j -0.00394526+0.0285501j 0.0391792-0.131644j 0.0184241-0.0167694j 0.0115941+0.0372638j 0.0690243+0.026865j -0.00735504-0.0741857j 0.00882623+0.00950378j -0.000664969+0.0257526j 0.104364-0.069033j 0.0150636-0.00995642j -0.0260905-0.0853511j 0.0240998-0.0044919j 0.0028631+0.0808571j -0.0388897+0.0355246j 0.0619468-0.0618685j 0.00899937-0.0377798j 0.0979475-0.166267j -0.164767+0.102911j -0.0100092+0.0369356j -0.0374938-0.0134942j -0.0426507-0.0244592j 0.0824743-0.0988922j 
0.00128733-0.00448715j 0.0201666+0.0307664j -0.00799103+0.0236273j -0.00676014+0.0263193j 0.00300297+0.0583698j -0.0194556+0.0169553j -0.0167019+0.035217j 0.00238214-0.0431122j -0.0199216+0.0221138j 0.00427998+0.0111671j 0.0404841-0.0433862j 0.0133567-0.0171775j 0.0208427+0.0207136j -0.00790124-0.00209307j 0.0272289+0.0193376j -0.0376415-0.0280089j -0.0379414-0.0211909j 0.0183031-0.0245572j 0.0216499-0.0152555j 0.0142064+0.0345443j 0.0289999+0.014471j 0.0271137+0.0270565j 0.00579174+0.0162813j -0.00481255+0.00889648j 0.0108123+0.00626085j -0.0071324-0.0122058j 0.0218417+0.0184486j 0.00902502+0.0243741j 0.0227715-0.000188357j 0.00312872-0.013124j 0.00274093+0.0284691j 0.0135361+0.00674474j 0.00501328-0.0240778j -0.00382027-0.0144128j 0.019298+0.00976758j -0.000409086-0.00194538j -0.00611415+0.010464j -0.0121526-0.00445048j -0.00916677-0.0235683j -0.0258912-0.00385128j -0.035593+0.000984706j 0.0199194+0.0273874j -0.0153478+0.011342j 0.00775033+0.00513159j 0.0321608+0.00917926j -0.00648801-0.0112135j -0.0103951+0.0194115j -0.0243429-0.0113981j 0.00268988-0.0297762j -0.00435678+0.00325296j 0.00763137-0.00559333j 0.0105364-0.0061239j -0.0135174+0.00993662j 0.0413386+0.0201341j -0.00148994+0.00502925j 0.021273+0.0352028j -0.0246941-0.00681456j -0.00798551+0.0157629j -0.00853986-0.0410246j 0.0140439+0.0352774j 0.0366517+0.0241445j 0.0571928+0.0235913j -0.044468-0.0270159j 0.0423046+0.0101958j -0.0368964-0.0121262j 0.017132-0.0704296j -0.0408891-0.0231355j -0.0333326-0.0387815j -0.019335+0.0492909j -0.0524129+0.0200615j -0.0277062-0.0092177j 0.0764263+0.00532439j 0.0594435+0.0164691j 0.055291+0.0620047j 0.0751176-0.015732j 0.0161045-0.0269349j -0.0361956-0.0243272j -0.0300427-0.0428133j 0.0589744+0.0637211j 0.0153037+0.0110366j -0.0372362+0.0197617j 0.017911-0.0158785j 0.0289217+0.00303796j -0.047097-0.0812324j -0.0250621-0.0245494j -0.0643133+0.0185088j 0.0733489+0.0570893j 0.00483612+0.0811347j 0.032986+0.00588789j -0.0851724+0.00226849j 0.0390365+0.0363642j 0.105097-0.0454951j 0.147781-0.146806j -0.0247259-0.0367993j -0.0503871+0.0310115j 0.0147985-0.0581013j 0.0720181-0.0580532j 
-0.0127023-0.0640083j -0.0458507-0.0591159j -0.00392509-0.0303412j -0.0369777+0.0260281j 0.0176969+0.0081723j 0.0102412+0.00441565j -0.0194437+0.0509118j 0.00589655-0.0672951j -0.0818867-0.0207051j -0.011991+0.00574196j -0.0414181+0.00667751j 0.0354594-0.0254199j 0.0621463-0.00596979j 0.0753343+0.00594008j 0.0277826-0.0485984j -0.0448069-0.045278j 0.0164225-0.0238433j -0.00245308+0.013612j 0.0040262+0.0277523j -0.02115+0.0498263j -0.033831-0.026218j 0.0293707+0.0214397j -0.00594186-0.0170797j 0.0162619-0.0191033j 0.00971289-0.0182307j -0.0671701-0.0336865j 0.00418278-0.00506336j 0.00954479+0.0298151j 0.0346273+0.035954j 0.0012665-0.0184367j -0.0170113-0.0137733j 0.00967232-0.0127774j -0.00550187+0.0258284j 0.0169793+0.00169443j 0.0338905+0.0147758j 0.0395754+0.0212617j 0.00145356+0.00440746j -0.0121541-0.00402418j -0.0293252+0.00726689j -0.0346949-0.0241643j 0.00218277-0.00819901j 0.00653455+0.017066j -0.000847239+0.0146595j -0.0203447-0.0277957j -0.00157497+0.0216321j 0.0121545+0.0174159j 0.0330321-0.0248373j 0.0371862-0.00226267j 0.0352775+0.0185602j -0.0140277+0.0348736j 0.0137818-0.0125877j -0.00247872+0.0375898j -0.0175324-0.00806461j 0.0214147+0.000710973j -0.0155924-0.00574637j -0.0214141-0.0380877j 0.00542934+0.0496756j 0.0241668+0.0169888j -0.0124524+0.00363562j 0.0330327+0.0093128j -9.46935e-05+0.0103548j 0.0440835+0.00172098j -0.0112291+0.0294137j 0.0135895+0.000978393j 0.0247797+0.0181819j -0.0246278-0.00777464j -0.015526-0.0202666j 0.0473399+0.0752705j -0.0199587+0.000733423j 0.019037+0.0136613j 0.0770342+0.0242597j 0.0418228-0.0190209j 0.0544559-0.00866773j 0.0199356-0.0228179j 0.0396854-0.0578655j 0.00472899-0.0157291j 0.0425072+0.0410285j 0.0330114-0.00222329j 0.0532054-0.00792641j 0.00135482-0.0537365j -0.0409078+0.0594603j 0.0493375+0.0246336j -0.00883427-0.00505228j 0.0393507-0.0190489j -0.0941034+0.070593j -0.0427833+0.032306j -0.00359473-0.0231188j 0.0126578-0.0403486j -0.128405+0.0548239j -0.0288561-0.117671j -0.0629946+0.0985449j 0.0306096-0.0415547j -0.0145778-0.0208094j -0.0266186+0.0589639j -0.0594371-0.105076j 0.099472-0.101215j 0.00103686-0.0102233j 
0.0183583+0.0360855j -0.0195341+0.00792249j -0.0114283+0.00752193j -0.0312728-0.0213417j 0.0291527+0.0563266j -0.0013872+0.0181756j 0.0140697-0.0196443j 0.0478568-0.0546689j -0.0437853-0.0023121j -0.0644268+0.0459688j -0.0277618+0.0275074j 0.0433469-0.0521632j -0.00617149+0.0192888j 0.00254151+0.0267058j -0.0438739-0.00961684j 0.0125984+0.0050323j -0.0442572-0.0146474j -0.0121383-0.0321405j 0.0437776-0.0135357j -0.0400292-0.0527004j -0.0132642+0.032323j 0.0262663-0.0140159j -0.011795+0.000287178j 0.0247373+0.0177395j 0.0447267+0.0282878j -0.00458573-0.0245618j -0.0343497+0.028176j 0.0421578+0.00317978j 0.0168754-0.014142j 0.0185252+0.0402212j -0.0207016-0.0117411j -0.000506555+0.0387593j 0.007333+0.00397273j 0.0215128-0.0195197j 0.0137891+0.0131994j 0.0305018+0.03948j -0.0142232-0.00940683j -0.00458974-0.0162864j -0.00270255+0.0209976j 0.0279814+0.00874543j 0.0171171-0.0103159j -0.00531293+0.0079502j 0.0166665-0.00150907j -0.00387022-0.00589168j -0.0302937+0.0298221j 0.0335419+0.0183531j -0.0251886-0.0244694j -0.00127775+0.0233149j 0.0117419+0.00811016j 0.0141081-0.00710554j -0.00813366+0.050696j 0.00739695+0.011155j -0.00719366-0.030213j -0.0416402+0.0360862j 0.00643501-0.0491874j -0.0145019+0.010859j -0.0208174+0.015306j 0.0060936-0.0158484j -0.0173952+0.0468103j -0.0317053+0.0434831j -0.0463991-0.0586714j -0.0366723+0.0160892j -0.00102641-0.0273914j 0.0296613+0.040565j 0.0323299-0.0458397j -0.00836333+0.0291854j -0.0354536-0.0120624j -0.0267677-0.0434509j 0.00205864-0.0416244j -0.0280708-0.0358407j -0.0061455-0.0335681j 0.057387-0.0135085j -0.00915304-0.0677911j 0.00225008+0.0211067j 0.0238186+0.00852327j 0.0541529-0.0297567j -0.00435283+0.0542743j 0.0311739-0.0174664j -0.0338718+0.0549446j -0.0143131-0.00353381j -0.0346503+0.0143428j 0.0413477+0.0138955j 0.00524892-0.000618481j 0.0203518+0.0267921j 0.0520043+0.0739396j 0.000448757-0.00873384j 0.021305+0.0199106j -0.0561796+0.0102245j 0.0272452-0.0061491j 0.00949426+0.0471972j -0.0352282+0.0292347j 0.0511275+0.0336047j 0.0757968-0.0878518j 0.103406-0.0920825j 0.0179514-0.0454674j 0.00338796+0.0419364j -0.00817698+0.0200251j 
-0.0346749-0.0520402j -0.00747701+0.000754353j 0.0463953-0.015173j 0.019069-0.0204554j 0.0116163+0.0359359j -0.0155956-0.0226484j -0.0337677-0.0186956j -0.0299565+0.0291243j 0.0199856+0.020083j -0.0345158+0.00973658j -0.0232286-0.0268164j 0.0310668+0.0139265j 0.0329927+0.0129006j -0.0197301+0.0163314j 0.0132273-0.0222586j -0.0085055+0.020937j -0.0199052+0.00436898j 0.0042619-0.0174958j 0.0025273+0.0398835j 0.00364302+0.0186659j 0.00706547-0.0230076j 0.0237164-0.00355023j 0.000182347-0.00447482j -0.0015763+0.0139281j 0.0759286+0.0297647j -0.0498034-0.00593754j 0.0479728-0.0247896j -0.0406338+0.0269794j 0.00512203+0.00448299j -0.00713308-0.0248854j 0.0344472+0.00130185j 0.0303449+0.0149809j -0.03597+0.0188213j 0.0255326+0.0126562j 0.054621+0.0185778j -0.0330771+0.0281566j 0.00373408+0.0212021j 0.00540893+0.00236149j -0.0338923-0.00116136j -0.00239685+0.0114033j 0.0232066+0.0166127j 0.00403208+0.0204058j -0.00245782-0.0301494j 0.0410852-0.0198312j -0.00115692+0.0321218j -0.00156875-0.0044979j -0.000896179+0.024948j 0.00387807+0.00622646j -0.0311432+0.00732223j -0.00649009+0.0112571j 0.0228464+0.00739148j -0.000569589-0.0329935j -0.048621+0.00485872j 0.0258703-0.00760239j -0.00584594-0.0456224j 0.0159986+0.0205996j -0.0329276+0.00351696j 0.0281125+0.00271279j -0.0513014+0.0629746j -0.0403496+0.0289178j 0.018561-0.00960251j -0.0221102+0.0269999j -0.0116576+0.00596667j 0.0109525+0.0500773j 0.0107234-0.040769j -0.0358012+0.0379132j 0.00444033+0.0132749j -0.0868979+0.0204506j 0.0084245-0.0269419j -0.0229643-0.0207638j -0.0536331-0.0425849j 0.0209346-0.0253786j 0.0359133+0.0563921j -0.00100111+0.00904912j 0.00864981-0.0194363j 0.0353155+0.0609017j -0.0172515+0.00784015j -0.0118891-0.0668589j 0.0252515-0.0278624j 0.0456547+0.0054958j -0.0344126-0.0566071j -0.0848479+0.047263j -0.0134572+0.0775235j 0.107531+0.0186169j -0.00980819+0.0277761j -0.02757+0.0439479j 0.00805989+0.0334471j 0.0429943+0.0133215j -0.0742626-0.062444j 0.0423967-0.0448496j -0.083361-0.0356833j -0.0701836+0.0934951j 0.0290816+0.0461243j 0.0483423+0.0547204j 0.0223143-0.0468077j 0.0236088-0.0327442j 0.0618614-0.0340022j 
0.0302228+0.0349916j -0.023667-0.0385595j -0.00552751+0.0289772j -0.0316382+0.0474096j 0.0242427+0.0351364j -0.0234422-0.0488045j 0.0055495+0.0370747j -0.0031985+0.000499261j 0.0170272-0.0181872j -0.0206914+0.0431212j -0.0142081+0.0230379j 0.0120123-0.00218464j -0.0010559-0.0229144j 0.017221-0.0132038j 0.045071-0.0132211j -0.0571372+0.0264884j -0.0453959-0.0135772j 0.0152646-0.0110523j -0.0227748-0.0308841j 0.00549086+0.0264692j -0.00144775+0.024076j 0.0325605-0.00271803j -0.0156225+0.0161699j 0.00989376-0.00725394j -0.0176958+0.00685297j 0.009678+0.0106327j 0.000747051+0.0147013j 0.021974-0.0258799j 0.0161845-0.0306543j -0.0344411+0.032131j 0.0303353-9.99338e-05j 0.0150027+0.00288807j -0.00299846+0.00420879j -0.0107329-0.00204916j 0.00153826-0.0351412j 0.0201304-0.0140606j 0.00439125+0.00144698j -0.0366455+0.00413193j 0.0233217-0.00258894j -0.010426+0.0313498j 0.0116225-0.00767692j 0.0437177-0.0031192j 0.0123127-0.0300386j 0.0058483+0.00468858j 0.0275554+0.00372206j 0.0324376-0.000550123j -0.00334456+0.0117511j 0.0298393+0.0070681j -0.00297268-0.0385607j 0.014486+0.0155276j -0.0123305-0.01926j -0.010695+0.0288882j -0.0552742+0.018273j -0.0162828-0.00176071j -0.0302735+0.0253023j 0.0259985+0.0105226j 0.0569287-0.00976756j 0.0135043+0.00761181j 0.0198394+0.0134093j -0.0272429+0.00614294j -0.0710845+0.0158721j 0.0155693-0.0124041j -0.0504685-0.0107596j 0.0471895-0.0169011j 0.0591442-0.047179j 0.0165753+0.0711403j -0.0380875+0.0503251j 0.00407805-0.0362582j 0.024103-0.0403451j 0.00930142+0.0261271j 0.0109751-0.0425964j -0.0270112-0.0400324j 0.00442862-0.00312343j 0.0260307-0.00407248j -0.11323-0.0277229j 0.0516099+0.0294947j 0.0492042+0.00682599j -0.0135282-0.0849487j -0.0196022+0.00820077j -0.0764508+0.0251095j -0.0227987+0.000356683j -0.0739345-0.0361591j 0.0149148+0.0023736j -0.0441453-0.0215058j 0.0490287-0.0194741j 0.0345085+0.0373497j -0.0744583-0.0470598j 0.00544805+0.0717502j -0.0147307-0.0730348j 0.122535-0.118654j -0.0482887-0.0145786j -0.0546834+0.103218j 0.0456036+0.0186515j -0.0216635-0.0475512j -0.00228452-0.0466909j -0.00365526-0.0119203j -0.066449+0.0687455j 
0.00138841-0.0112978j 0.0093881+0.0210229j -0.0418399-0.00542688j -0.035376-0.0236007j -0.0179563-0.0291972j -0.00195797-0.0599192j 0.0138639+0.00821966j 0.0309783-0.0712731j -0.0358985-0.00742915j -0.0128288+0.0179056j -0.00142996+0.0195912j -0.0356709-0.00723015j 0.0419004+0.0179659j 0.0337385-0.0080062j 0.032069+0.0441229j -0.0250019+0.0483077j 0.0205862-0.0175889j -0.0271537-0.0288187j 0.0204322-0.025407j 0.0144284-0.00404359j 0.05084+0.032334j -0.0385591+0.0157322j -0.00384187-0.0270399j 0.0163386-0.0375516j 0.0171389-0.00175456j 0.0432292+0.00118667j 0.00783678+0.0445671j 0.0118076-0.0203333j -0.00435254+0.00236209j 0.0707191+0.0101875j -0.0131234-0.0309614j 0.0270477-0.0280495j -0.0300872-0.0127915j 0.0243619-0.00288063j 0.0329268-0.043452j 0.0420088+0.0124999j -0.00386077+0.00692467j -0.0205769-0.0260163j 0.00539493-0.0170834j 0.0163204-0.0124784j 0.0174496-0.0240056j 0.014848-0.0199618j -0.0021139-0.00137958j 6.32785e-05+0.0156649j 0.011865-0.000767633j -0.0182339-0.00452301j 0.00149296+0.0135199j 0.0347689+0.00572905j 0.034606+0.0369364j -0.028526+0.00505032j -0.00603118+0.0189653j 0.0138249-0.0500585j -0.0296571-0.0362949j -0.00803695+0.0105069j -0.0360626+0.0125948j 0.00552491+0.0509411j -0.042294+0.0945337j -0.0246754+0.00371861j -0.0449992-0.051885j 0.0136003+0.0611234j -0.0449486+0.0256506j 0.0792154+0.0466583j -0.0615673-0.0129358j -0.0123884-0.0203922j -0.0579364-0.00355598j 0.0134108-0.0203658j 0.0544477+0.0405922j -0.0193526+0.0672139j -0.0735229-0.032268j -0.0486144+0.070984j 0.0626838+0.0542833j -0.0297177-0.00954054j -0.0276235+0.0454335j -0.0083328+0.0549661j 0.00297927+0.0238199j -0.0920723-0.0164963j 0.0637405+0.0638436j -0.0360848+0.0486935j -0.0118118+0.0903906j -0.0216965+0.0237926j 0.00294012+0.0624123j 0.0159378+0.0636622j -0.0604723-0.0495246j -0.110956+0.0216942j 0.029005-0.0361357j -0.0391845-0.00685999j -0.0197296+0.0269171j 0.0371686-0.0384209j 0.0459614+0.0929081j -0.0584781+0.0777423j 0.00712657+0.0718436j -0.077327+0.0273455j -0.0644016+0.13489j -0.0273813-0.0558956j -0.0370767+0.0604146j 0.0672544-0.00531265j -0.0525027+0.0421821j 
