0.218778+0.00633472j -0.00630302+0.219031j 0.263856-0.0249071j 0.026309+0.270934j -0.171288+0.0855263j -0.103485-0.12032j 0.0926545+0.0546003j -0.0140369-0.197369j -0.167677+0.0938929j 0.109775+0.0537947j -0.0774789-0.070564j -0.017046-0.0715107j -0.0119317-0.119724j 0.0305082+0.0717764j -0.0555557+0.12856j -0.050339+0.00276623j 0.0382777-0.0417372j -0.0387178+0.0635038j -0.00575681-0.0442786j 0.105643-0.0392484j -0.0133229+0.0244328j -0.0758966-0.0120934j 0.0466049+0.0182664j -0.0342225+0.0144421j 0.0303231-0.016742j -0.02355-0.00116455j -0.0748137+0.0186044j -0.032858+0.0451686j 0.0732588-0.0356289j 0.0285109-0.00287931j 0.0386175+0.00800981j -0.0980128-0.000831474j -0.00286033+0.00407262j -0.00695361+0.00584061j 0.0270827+0.0343042j 0.00132678+0.00551303j -0.00399507-0.017079j -0.0140144+0.0708305j -0.00782248+0.0398391j 0.0055877-0.0145813j 0.0118496-0.00706525j 0.00691799-0.00966287j 0.0532828-0.0163037j 0.0151635+0.00783687j 0.102804+0.0404216j 0.0161798+0.00350549j -0.029566-0.00578701j 0.029727+0.018924j 0.0734087+0.0824972j 0.00484438+0.0193292j -0.0417928-0.00554724j 0.0233061+0.0099458j -0.0178595-0.0244718j 0.00865767+0.0223436j -0.0583508-0.00197136j -0.0806352-0.0293015j -0.00912948+0.0229956j 0.0809951+0.0698912j 0.0198848-0.0593572j 0.0271012+0.0782041j -0.0293873-0.0335395j 0.0392791+0.0134532j 0.00862307+0.135457j -0.058093+0.0855905j 0.0304727-0.102508j -0.0260608+0.0606352j 0.0900841-0.0586066j 0.114117-0.0360415j -0.162232-0.102962j -0.0210657+0.193805j 0.0896981-0.0541242j -0.106914+0.112196j -0.167025-0.0887057j -0.0296082+0.265832j 0.258471+0.0279811j 0.00447048+0.21619j 0.215958-0.00449626j 
-0.0362515+0.0216702j -0.0217002-0.036218j -0.00640559+0.0136026j -0.0138602-0.00590929j -0.00799951-0.00933636j 0.012897-0.00426651j 0.0126566-0.0117109j -0.00928595-0.023563j -0.0237554+0.00491514j -0.00480688+0.0113929j -0.00633689+0.00685273j 0.00286787-0.00124733j -0.0169148-0.00929212j 0.00867505+0.027283j -0.0114615+0.0262559j 0.0111563+0.000638878j 0.00845911+0.00302416j -0.00982006+0.00724584j 0.0107454-0.00335855j 0.00683497-0.00763599j -0.000722361-0.0059598j -0.00362866+0.00963311j 0.00407257-0.00889146j -0.0115872+0.00483072j 0.00923725-0.00648653j -0.00893504-0.00499562j -0.0241537+0.0102646j -0.0086589-0.00616508j 0.0145759+0.000156361j 0.00392766+0.00313425j 0.00925429-0.00334453j -0.00686156+0.000675008j -0.00113575-0.00142788j -0.00574936+0.00228909j 0.00269611-0.00277988j -0.00165658-0.00483123j -0.00538238-0.00193939j -0.0010562-0.00179588j 0.00100183-0.0101176j -0.000524226+0.00207841j 0.00620525-0.00106687j -0.00200018+0.00435204j 0.00251011+0.00408429j 0.00611228+0.00406003j 0.0101878+0.00494144j 0.000572714+0.000620064j -0.00775454-0.00531862j 0.00593795-0.00177964j 0.0232663+0.00847876j 0.00651335+0.000684307j -0.0113439-0.0165763j 0.0109426-0.00157208j -0.00696581-0.00927528j 0.00724608+0.00545962j -0.00203134-0.0112033j -0.00264737-0.0115575j 0.00245752-0.00627084j 0.00226024+0.008324j -0.0120112-0.00763592j 0.00603725+0.00867745j -0.00450086+0.00358831j -0.0122666+0.000512317j 0.00282871+0.0272911j -0.0153402+0.0257886j 0.0170146-0.00195392j 0.00289947-0.000967923j 0.0061284+0.00675741j -0.00440835-0.0111842j -0.0230989-0.00491753j -0.00943394+0.0222755j 0.0118663+0.0121659j 0.0129732+0.00390439j -0.00776526+0.00914428j 0.0136681-0.00639244j -0.00695889-0.0136133j 0.0227149-0.0374973j -0.037544-0.0227418j 
-0.00769263-0.00265407j 0.00270826-0.00759804j -0.00310833+0.00154873j -0.00154336-0.00281408j 0.000390034-0.00315298j 0.00383093+0.0010561j 0.00295952-0.00224795j -0.00107977-0.00348898j -0.00224363-0.00076631j -0.00317683+0.00132989j -0.00105664+0.00173134j 0.0014083-0.00162059j -0.00201089+0.00021816j 0.00239594+0.00490711j -0.00031917+0.00233114j 0.0049649-0.000784283j 0.001341+0.000755856j -0.000170835+0.00140238j 0.00286787-0.000612487j -0.000905915-0.00214642j -0.00081278+4.34901e-05j 0.000221544+0.00218138j -0.00213802-0.000918949j -0.00271276+0.000684878j 0.00135832-0.0014304j -0.00203258-0.00213557j -0.00152408+0.00176896j -0.00259716-0.00170284j 0.00236303-0.000288385j 0.000241697+0.000539054j -0.000172349-0.00097875j 0.000128882+0.00224898j -0.000252212+0.000459591j -0.000619793-5.47227e-05j -0.00142781-0.00236544j -0.00103073-0.00226131j 0.000544449-0.000131032j -0.000509761-0.000104426j -0.000832094-0.00282838j 0.000790856+0.00145375j 0.0019044+0.000141494j 0.000189772+0.00187188j 0.00160345+0.00188346j 0.000511735+0.0014089j 0.00150941-0.00157407j -0.000110107+7.67104e-05j -0.000693842-0.00121451j 0.000938593-0.00180732j 0.00166202-0.00205756j 0.000535113+5.25969e-05j -0.000958557-0.0026209j 0.00119204-0.00180671j -0.000168423-4.3696e-05j 0.00162231-0.00141845j 0.000121583-0.00277725j -0.00167281-0.000370826j 0.00122257-0.00288396j 0.000854302+0.00067882j -0.00343428+0.000647015j 0.000181024+0.000811209j -0.000252995+0.000264941j -0.00315003+0.000768027j 0.000129888+0.00145091j -0.000468983+0.00340924j 0.00125481+0.00328885j 0.00355434-0.000961413j -0.000417633+0.00111983j -0.00162362-0.000448987j -0.00118373-0.000379572j -0.00181303-0.000747727j -0.00182931+0.00305188j 0.00376828+0.000617043j 0.000640972+0.00276546j 0.00201024-0.00541711j -0.00532812-0.00164333j -0.00371335-0.00073317j -0.000746668+0.00380543j 
-0.0193654-0.0084293j 0.00846725-0.0193154j 0.00280139+0.00655966j -0.0066872+0.00324971j -0.00411746-0.00378461j 0.00248843-0.00226222j 0.00488031+0.000774633j 0.000434922-0.00759483j -0.00519061+0.00151673j -0.00106172+0.00354688j -0.00128721+0.00399593j -0.00306506-0.00712595j 0.00262446+0.000276725j 0.0117479+0.000399362j 0.00303187+0.00135333j 0.00319622-0.0121016j -7.54408e-05-5.32915e-05j 0.00344768+0.00284981j -0.000750402-0.00947342j -0.00504594-0.00246544j -0.000377832+0.00499746j 0.0031816+0.00466456j -0.00702706+0.00546774j -0.00541263+0.00680789j -0.000309348-0.00321344j -0.00620808+0.00182365j 0.00293958+0.00295826j -0.00705461+0.00321437j 0.00311572-0.00626571j 0.0019381-0.00276145j -0.00445103-0.00108469j 0.00299522+0.00543225j 0.000690547+0.0011787j 0.00119381+0.000163411j -0.00999918-0.00132741j -0.0057979-0.0021651j 0.00327581+0.000405401j 0.000563205-0.000873929j -0.00603125-0.00157794j 0.00633235+0.000957897j 0.00298369-0.000413424j 0.00700835+0.00031757j 0.0103331+0.000984472j 0.00338065+0.000812226j 0.00412864-0.00587028j -9.87035e-05-1.77607e-05j -0.00387994-0.000795895j -0.000782556-0.00461462j -0.000863962-0.00833982j -0.00129302-0.00108733j -0.00540544-0.00230407j -0.0055531-0.00415766j -0.000369498+0.00296808j -0.00368099-0.00885068j -0.00471551-0.00661808j -0.0043283+0.00514359j 0.000491852-0.00569802j 0.0054694+0.00086173j -0.00453339+0.0102277j 0.00441904+0.000670922j 0.000328733-0.00280262j 0.000764014+0.0120388j 0.00300065+0.000564947j 0.0114257+0.000130404j 0.00479837-0.000299899j 0.0038774-0.00659077j -0.00301287-0.0038271j -0.000758662+0.00341914j 0.00635824+0.00130683j -0.00125927-0.0078883j -0.00453746+0.00158227j -0.000967837-0.00310469j 0.00539198-0.00273109j -0.00700316-0.0044682j -0.00437565+0.0071061j 0.0090453+0.0230739j 0.0229862-0.00895887j 
0.0165717+0.0118207j -0.0118934+0.0165616j -0.00901442+0.00297665j -0.00320465-0.00947665j 0.00582549+0.00591643j -0.010521+0.00141224j -0.0102615+0.0130656j 0.0108642+0.0133924j 0.00708603-0.00195011j 0.00474168-0.00303583j 0.00327285-0.00537685j -0.003879+0.0059253j 0.000184625-0.00727218j -0.0107509-0.00587034j -0.00560684+0.00272555j -0.00934851+0.0112434j -0.00382665-0.000940413j -0.00796736-0.00520026j -0.000687959+0.00218268j 0.00503797+0.00139148j -0.00153752-0.00132399j -0.00194228-0.00111982j 0.00785151-0.0060084j 0.00490169-0.00427503j 0.00296065+0.00471401j 0.00705074+0.00521448j -0.00713241-0.00404068j 0.00552298-0.00287492j 0.0028342+0.00520078j 0.00213216-0.000936401j 0.00685981+0.00116262j -0.00592899-0.00660335j -0.000537877+0.000563554j -0.00148651-0.000356569j 0.00711441+0.0018279j 0.00571004+0.00560468j -0.00340994+0.00254464j 0.00267794-0.00561022j 0.00451503+0.0028321j -0.00528838-0.00125064j -0.00483211+0.00243726j -0.00321622-0.00133014j -0.00870102-0.0024784j -0.0023681-0.000145479j -1.49364e-05+0.00794967j 0.00162796-0.000142384j 0.00158363-0.00176216j 0.000129729+0.00945714j 0.00448134+0.0115033j 0.0014007-0.000534466j 0.00201269+0.000344993j -0.00171833+0.00637869j -0.00243677-0.00328085j 0.00224828+0.00752482j 0.00449307+0.00401263j 0.00767422-0.00616649j -0.0016664+0.00805833j -0.00369508-3.55526e-05j 0.00950187-0.0109328j 0.00115373+0.000726835j 0.00322523+0.00478994j 0.00292498-0.0046793j -0.003295+0.00351922j -0.00716253-0.00375508j -0.000796852-0.00719638j -0.00867816+0.00188282j 0.00186989+0.000705636j 0.00319735-0.000688816j -0.00423537+0.00166233j 0.0141497+0.00976013j 0.00959874-0.0154334j -0.00511961-0.00306052j -0.00126246+0.00305371j 0.0181631+0.00523008j 0.0049862-0.0179128j -0.00432585-0.0163453j -0.0163187+0.0042464j 
-0.00954149+0.0058726j -0.00585052-0.00950802j -0.00165714+0.0227651j -0.0232383-0.00150576j 0.00292785+0.000931006j -0.012926+0.00419932j 0.0038475+0.0268236j 0.0231934-0.00191386j 0.00084698-0.00222664j 0.00645134-0.000955601j 0.00118352-0.00233289j -0.0138158+0.00149864j -0.000155888-0.0126229j 0.000950018-0.0102977j -0.000129725+0.00775712j -0.00959129-0.0013784j -0.00690196+0.00176165j -0.00700841+0.000398655j -0.00849651-0.0136744j -0.00271172-0.00163439j -0.000296103+0.00854756j 0.00618955+0.00473734j -0.00125962+0.00133603j -0.000347085+0.00678552j 0.00505064-0.000205794j 0.00453056+0.0107272j -0.00608098+0.0020369j -0.00341526+0.00296071j 0.00838613-0.0079855j 0.00369018-0.00977763j 0.00195744-0.00142463j -0.00359551+0.0018391j 0.00154231+0.00322062j 0.000320379-0.000351159j -0.00753475+0.00329717j 0.000168949+0.00489675j 0.0030467+0.00518781j 0.000829328-0.0114664j -0.00316547+0.00309949j 0.0035773-0.00131044j -0.000522312+0.00502455j 0.00677166-0.00514055j 0.00437364-0.00359656j 0.00240476+0.000275069j 0.00833601-0.00133262j 0.00185315-0.00133443j -0.00618275-0.0022527j 0.00164454+0.00659541j 0.00663662+0.000436666j -0.00221049-0.00232327j -0.00885026-0.000940619j -0.0117778+0.00763268j -0.00472137+0.00271088j -0.00485026-0.00278096j -0.00351301-0.00574119j 0.00380378-0.00152576j 0.000591404+0.00281623j 0.00452312+0.000467277j 0.00629962-0.00196088j 0.010533-0.00158293j 0.00733647-0.000345768j 0.0115276+0.0125557j 0.00311615+0.0068661j 0.0072541-0.00930439j 0.00350929-0.0152389j -0.0110625-0.00608983j -0.00390015-0.00576575j 0.00723156+0.00362553j 0.00760276+0.00346051j 0.0216995-0.0104171j -0.00573769-0.0259499j -0.0160159-0.00451958j 0.00759285-0.00471295j 0.0156869-0.010133j -0.00988276-0.0152504j 0.0148979+0.00790974j 0.00787087-0.0148488j 
0.00341658-0.00346267j 0.00345636+0.00336538j 0.00144637-0.000117188j 0.000171056+0.00132602j 0.000105547-5.67186e-05j -0.000133498-2.72963e-05j -0.000520007+0.000683891j 0.00118996+0.000468143j 0.000130767-0.0011111j 0.000100747-0.000367123j -0.00102019-0.0008234j 0.00157134-0.000638985j 0.000517145+0.00141784j 2.24794e-05+0.00142806j 0.000715261-0.000620654j 0.00205258-0.000501138j -0.000344983-0.000344909j 0.000289375+0.00121697j 0.00118194-0.000528653j 0.000162904-0.000339166j -0.000333012+0.00038772j -0.000781467+0.000235819j -0.00172442-0.00054473j -0.00116092-0.00113266j -0.000359364-1.92009e-05j -0.00053284-0.0010087j 0.00079593+0.000503044j -0.000245213-0.000200089j -2.91717e-05-0.000328054j 0.000544565+0.0001248j -0.000737276-0.000888662j -0.000530566+0.000885876j 3.33891e-05-0.000597416j 0.000541417+0.000380278j -0.000353446-0.00154308j 0.000509857-0.00101019j 2.31654e-05+0.000467247j -0.00013915+0.000929306j 8.21909e-05-0.000299099j 0.000251633+0.00096801j -0.00046448+0.000501112j 0.000807617+0.000698418j 0.000429067+0.00205125j 2.25311e-05-6.40752e-05j 0.000622656+0.000657641j -0.000247926-0.000284777j 0.000132079-4.86995e-05j 0.000653382-0.000706173j 0.000660396-0.000764224j -0.000444138-0.000457313j 0.000611561-0.000152933j 0.000621087-0.00134117j -0.000382186+0.000367295j 0.000684952-0.00146944j 0.000811061-0.000361609j -0.00170487+0.000235149j 0.000969402+0.000964389j -0.000407246+0.000883394j -0.00197678+0.000188966j -0.000266003+0.000380428j 0.000574622-0.000706795j -0.00154263+0.000562515j 0.00050078-0.000527899j 0.00152135+0.00148684j -0.000550184+0.000372631j 0.00056447+0.00107012j 0.00114529-0.00113954j -0.000591267+0.000538027j 0.00121483+0.00206922j 0.00166152-0.00175777j -0.000694608-0.00138375j -0.00128409-0.00104256j 0.00140129-0.00112228j -0.00355198+0.00108139j 0.00115575+0.00332757j 0.000195477+0.00394194j 0.0039419-0.000249938j 
0.00148836+0.00785551j -0.00802873+0.00140669j -0.00012713-0.00388493j 0.00358484-0.000348442j 0.000674271+0.00227637j -0.000794168+0.000285293j -0.00171167-0.00219465j -0.00239342+0.00181522j 0.00126312+0.00141707j 0.00140321-0.00157833j 0.00179142+0.00018023j -0.00104322+0.00485946j -0.000901382-0.00207674j -0.00448342-0.00255287j -0.00147908+0.000250229j -0.00462625+0.00437701j 0.00044794+0.000229443j -0.00144318-0.00232174j -0.00229673+0.00441466j 0.00167769+0.00171663j 0.000385484-0.00171036j -0.00172413-0.00154958j 0.00455717-0.00171963j 0.00406923-0.000716615j -0.000196594+0.000269249j 0.00269932+0.000888228j 8.41754e-05-0.000571387j 0.00262084-0.000582599j -0.00058044+0.00216147j -0.00131525+0.00163737j 0.00197111+0.000781147j -0.00125806-0.00372958j 0.00174405+0.000103381j -0.00113431+9.14328e-05j 0.00340658+0.0020734j 0.00203094+0.00286802j 0.000394183-0.00046401j 0.000622521-0.00177704j 0.00300154+0.00025152j -0.00212283-0.00117579j -0.000104231-0.00169404j -0.00244526+0.000798889j -0.00309355-0.00156717j -0.000328279+0.00013102j -0.00115085+0.00218403j 0.000885706+0.000924072j 0.00054246+0.000488057j 0.000603351+0.00218532j 0.00102193+0.00297447j 0.00185621-0.000594581j 0.00198553+0.00276394j 0.00174465+0.00232165j 0.000630635-0.000379758j 0.000640388+0.00175755j 0.000665148+0.00202509j 0.00358671-0.00231978j -0.00192833+0.00155996j -0.000806243-0.000833257j 0.000677594-0.00239583j 8.51966e-05-0.000692296j -0.00069904-0.000328469j 0.00131614-0.00293234j 0.000374392+0.000253213j -0.00203947-0.00177083j -0.000712625-0.00290911j -0.00273423+0.000967459j -0.00216087+0.000170817j -0.000627956-0.0029814j -0.00128253-0.000489247j -0.00156327+0.00234058j 0.00213226+0.00239589j 0.00286515+0.000808865j -0.00155721+0.00218785j 0.000201299-0.00129036j -0.0017168-0.000405784j -0.00067073-0.000185017j -0.000281992+0.000506609j 
0.00204583+0.00754667j -0.00773265+0.00210565j -0.00093136-0.00671295j 0.00644964-0.000800561j 0.000569606+0.00194354j -0.000940514-0.000589843j -0.00296733+0.00061213j 0.000982767+0.00239984j 0.00125292-0.00126617j -2.8252e-05-0.00151168j 0.00156891-0.00139895j 0.000602908+0.00335346j -0.000324224-0.00310515j -0.00505217-0.000118972j -0.00175804+0.000376228j -0.000398299+0.00449536j 0.000619379-0.00133182j -0.0022592-0.00110285j 0.00290836+0.00377606j 0.00138546-6.66596e-05j -0.00220441+0.00133055j -0.00251435+0.000949582j 0.000593946-0.00431245j 0.00245537-0.00347482j -0.00025586+0.000176687j 0.000502784-0.0019872j 0.00263764-0.000262485j -0.000430613-0.00230726j 0.00381336+0.000864808j 0.000964664+0.00291338j 0.000272451-0.00116886j -0.00466444-0.000176414j 0.0026721-0.00121315j -0.000330571+0.00126518j 0.00213106-0.00218422j 0.00429437+0.000254066j 0.0021269+0.000581023j 0.000255263-0.00169137j 0.00208371-0.00420224j -0.000821298+0.00106538j -0.00212121-0.00158623j 0.00153847+0.00372993j -0.000892391+0.0024968j -0.000158666+0.000624585j 0.00257711+0.0029162j 0.00239458+0.00208437j 0.00101526-0.000212889j 0.00251738-0.000395306j 0.00334199+0.000993161j -8.63923e-05-0.00324286j 0.00434161+0.00136202j 0.0026405-0.0017451j -1.61181e-05+0.00079399j 0.00092973-0.00324421j 0.00223133-0.00140199j -0.000392345-0.00342777j -0.000694601+0.00376559j -0.000496582+0.00102982j -0.00415701+0.000652207j 0.000764082+0.000869098j -0.000178322-0.00192194j -0.00181938+0.000822039j 0.00140085+0.000385489j 0.00344936+0.000918966j 0.00121269-0.00349744j -0.000953817-0.000764537j -0.00100429-0.00206572j -0.00168787+0.000109365j 0.000626915+0.00307823j 0.00239934+0.000572405j 0.00132695-0.000821188j 0.00151663-0.000925922j 0.000973975+0.000987497j -0.00746063-0.00297551j -0.00342982+0.00730179j 0.00686979+0.00432966j 0.00412428-0.00695849j 
0.00778164+0.00271781j -0.0027826+0.00778142j 0.0063106-0.00114937j 0.000904651+0.0062191j 0.00141008-0.00429734j 0.00579454+0.00213086j 0.00048195-0.00286499j 0.0007846+0.00155214j 0.00305034-0.00292845j -0.00153244-0.00302873j -0.00147916-0.000222247j 0.00101787-0.00373466j 0.0071302+0.00175934j -0.000380594-0.00212154j 9.23173e-05-0.00591351j 0.00205117-0.0034187j 0.00248968-0.00201115j 0.00342734+0.000952581j 0.00178307+0.00238551j 0.00117992+0.000934153j 0.00278289+0.00257675j -0.00370973+0.00300912j -0.00130766-1.36509e-06j -0.000491598-0.00318549j -0.00399616+0.000112594j -0.00401223-0.00237344j 0.00321133-0.0018661j 8.90059e-05-0.00131783j 0.000214854-0.00145483j 0.00169108+0.000306215j -0.000387216+0.000309469j -0.0024715-0.00154423j 0.0014252-0.00190306j -0.000887829-0.00172121j -6.07893e-05-0.00145347j 0.00135722-0.00387966j -0.00219533-0.00219736j 0.00349912+0.00159395j 0.00119668+0.000520988j 0.00147274+0.00124141j -0.00289599-0.00195468j 0.003432-0.00115892j 0.000411458+0.00437591j 0.00105322-0.000936045j 0.000324938+0.0025538j -0.000147966+0.000948521j 0.000480838+0.00049429j 0.00106899-0.00278847j 0.000872773+0.00286125j -0.00273621-0.000193463j 0.00135049+0.000678642j -0.0015043-0.00373049j 0.00186204-0.00348637j -0.00332451-0.00197462j 0.00063359-0.00154586j -0.00439375+0.00208453j 0.00204561+0.00209331j -0.00327443+0.00168622j -0.0038003+0.00218964j -0.00128151+0.000599839j 0.000872989-0.00384246j -0.00141751+0.00468106j -0.00145948+0.00126662j 0.00214048+0.00580147j 0.00336023+0.000377291j 0.00192359+0.00146534j 0.00623292-0.00107318j -0.00113174+0.00304258j -0.00134343+0.00109541j 0.00145679+0.00215654j -0.000322155-0.00406265j -0.00557406+0.00313553j -0.002848-0.00418307j 0.000862634-0.0021792j -0.00236768-0.00122131j 0.00789954+0.000997104j 0.000963499-0.0079537j 
-0.000127706-0.0132807j 0.0133259-0.000249374j 0.00868459+0.00901177j -0.00916428+0.00848644j -0.00116695-0.0044768j 0.0049416+0.0009624j 0.00273516-0.005106j -0.00404639-0.00122288j -0.000148193+0.00233157j -0.000897097+0.00229108j 0.00071665+0.00545443j -0.00452296-0.00599384j 0.00669803+0.00206695j 0.00818075-0.00532867j -0.00092467-0.00438882j -0.00320677-0.00837051j -9.51234e-05+0.00212666j 0.00412765-0.00184424j -0.00516764-0.00291031j 0.000864075+0.00193657j 0.00391619-0.00560212j 0.00253019+0.0014832j 0.00237699+0.00677219j -0.0026275+0.0045503j -0.00210744+0.00276678j -0.0015642+0.00402071j -0.00371171-0.000924258j 0.00320302+0.000771457j -0.00796791+0.00209548j -0.00170797-0.00376429j 0.00157253+0.00259263j 0.00418552-0.00423671j -0.00266398+0.00228576j -0.00191488-0.00104288j -0.00216123+0.0050636j -0.00721653+0.000207948j -0.00677255+1.03544e-05j 0.00350437+0.00224864j 0.00229498+0.00687706j 0.0016698-0.00207457j 0.0010172-4.42527e-06j -0.00425788-0.00650724j 0.00117526-0.0031515j -0.000995907-0.00187289j -0.00555641-0.000653761j -0.00510327-0.00215757j -0.000649056+0.00085562j -0.0039591+0.00133203j -0.00323641+0.00248692j 0.000713355+0.00580147j -0.00566755-0.000593665j -0.00601576+0.00278009j -0.00188002-0.00512099j -0.00216713+0.00786664j -0.00238663+0.00327125j 0.00258355+0.00746263j 0.00158478-0.0045742j -0.00110825+0.000718951j 0.00669548-0.00200279j -0.00184806+0.000574566j -0.000917265+0.00265004j 0.00223656+0.00110876j -0.00508984+0.00319036j -0.00542178+0.00191724j 0.00363361+0.00641848j 0.00434589+0.000479684j 0.00446487-1.76428e-05j 0.00413436+0.000369021j -0.00518076-0.0062031j -0.0020546+0.00471527j 6.43491e-05-0.00163094j -0.00309797+0.00492795j -0.00483511-0.000414886j 0.0139593-0.00782835j -0.00746843-0.0137634j -0.0113679-0.00578094j -0.00560325+0.0113709j 
