-0.00644478-0j -0.000930224-0j -0.00528337-0j -0.000933977-0j -7.78314e-05-0j -0.00321513-0j -0.00324844-0j -0.000535854-0j -0.000328142-0j -0.000541407-0j -6.69818e-05-0j -0.000331543-0j -6.76759e-05-0j -3.94694e-06-0j -3.98784e-06-0j 0.575528-0j 0.71218-0j 0.415438-0j -0.000376533-0j -0.000307438-0j -0.000465936-0j -4.43748e-05-0j -0.000271796-0j -0.000380435-0j -3.84297e-05-0j -0.00022192-0j -5.49111e-05-0j -4.52899e-06-0j -4.75544e-05-0j -3.20315e-05-0j -2.06719e-07-0j -2.77401e-05-0j -5.60434e-06-0j -2.55802e-07-0j -3.2692e-06-0j -1.49218e-07-0j -0.00183307-0j -0.00213859-0j -0.00130961-0j 0.0714904-0j -0.00187126-0j -0.000771856-0j -0.000229134-0j 0.0834055-0j -0.000152756-0j -3.30727e-05-0j 0.0510752-0j 0.0729798-0j -3.8189e-05-0j -0.000267323-0j 0.0301026-0j -0.000178215-0j -0.000163701-0j -1.35019e-05-0j -3.18242e-06-0j -3.85848e-05-0j -0.000109134-0j -2.36283e-05-0j -0.000233908-0j -3.37547e-06-0j -0.000155939-0j -4.45539e-05-0j -9.64821e-05-0j -3.37617e-05-0j -2.81289e-07-0j -1.57522e-05-0j -2.72836e-05-0j -3.71282e-06-0j -6.43214e-05-0j -1.3926e-05-0j -1.0483e-08-0j -9.6462e-06-0j -3.93804e-06-0j -3.89846e-05-0j -2.27363e-06-0j -1.37832e-05-0j -2.41155e-06-0j -3.24872e-06-0j -1.60803e-05-0j -3.2817e-07-0j -3.44579e-06-0j -5.68526e-06-0j -2.00962e-07-0j -1.34003e-06-0j -1.22302e-08-0j -7.48943e-09-0j -2.87149e-07-0j -1.42131e-06-0j -1.18443e-07-0j -1.07014e-08-0j -4.41411e-09-0j 
0.00104002-0j -0.0143517-0j 0.0008526-0j -0.00712943-0j -0.00180748-0j -0.101634-0j -0.102687-0j -0.0040904-0j 5.29538e-05-0j -0.00413279-0j -0.00103341-0j 5.35025e-05-0j -0.00104412-0j -0.000122425-0j -0.000123694-0j 0.000376533-0j 0.000465936-0j 0.000271796-0j 0.563024-0j 4.96126e-05-0j 0.696706-0j -0.000684624-0j 0.406412-0j 6.13924e-05-0j -0.00029335-0j 3.58123e-05-0j -0.000847179-0j -0.000105177-0j -0.000363002-0j -0.000494188-0j -8.0233e-06-0j -0.000211751-0j -0.000130149-0j -9.92833e-06-0j -7.59205e-05-0j -5.79152e-06-0j 0.000295811-0j 0.000345113-0j 0.000211338-0j -0.00221243-0j 0.000301974-0j 0.000124558-0j -0.00724318-0j -0.00258116-0j 2.46509e-05-0j 0.0999515-0j -0.00158063-0j -0.00225852-0j -0.000291513-0j -0.00845037-0j -0.000931591-0j 2.87594e-05-0j -0.00517478-0j 2.17885e-06-0j -7.39053e-05-0j 0.11661-0j 1.76115e-05-0j 0.0714088-0j -0.00739408-0j -5.20774e-05-0j 2.51645e-05-0j -0.000340098-0j -0.0030499-0j 0.102034-0j -8.72496e-06-0j 2.542e-06-0j -0.000208267-0j -8.62229e-05-0j 1.03798e-05-0j 0.0420868-0j -4.88586e-07-0j 1.55665e-06-0j -6.07569e-05-0j -0.000297586-0j -5.28005e-05-0j 2.22425e-06-0j -3.72059e-05-0j -7.5445e-05-0j -0.000122748-0j -1.01791e-05-0j -5.31623e-05-0j 9.17455e-07-0j -6.23341e-06-0j -3.11195e-05-0j -5.70017e-07-0j -3.49062e-07-0j -8.90672e-06-0j -2.19283e-05-0j -3.67384e-06-0j -4.98765e-07-0j -2.0573e-07-0j 
-0.0817025-0j 0.000122568-0j -0.101456-0j -0.0118403-0j 1.02552e-05-0j 0.00042363-0j 0.00042802-0j -0.01029-0j -0.00836316-0j -0.0103966-0j -0.000849149-0j -0.00844983-0j -0.000857948-0j 5.20055e-07-0j 5.25444e-07-0j 0.000307438-0j 0.000380435-0j 0.00022192-0j 4.96126e-05-0j 0.56802-0j 6.13924e-05-0j -0.000852127-0j 3.58123e-05-0j 0.702888-0j -0.000979435-0j 0.410018-0j -0.00105445-0j -5.74154e-05-0j -0.00121199-0j -0.000615098-0j 2.72376e-08-0j -0.000706993-0j -7.10479e-05-0j 3.37048e-08-0j -4.14446e-05-0j 1.96612e-08-0j 0.000241529-0j 0.000281783-0j 0.000172556-0j 3.8189e-05-0j 0.000246561-0j 0.000101701-0j -0.0029048-0j 4.45539e-05-0j -0.00588686-0j 4.35771e-06-0j 2.72836e-05-0j 3.89846e-05-0j 0.0705577-0j -0.00338894-0j 1.60803e-05-0j -0.00686801-0j -0.00207529-0j -0.00051706-0j -6.11118e-05-0j 5.08399e-06-0j -0.00420578-0j 3.1133e-06-0j -0.00296532-0j -8.60284e-05-0j -0.0060095-0j 0.0823174-0j -0.00122313-0j 4.44849e-06-0j -3.56598e-06-0j -0.000603236-0j 0.0504089-0j -7.12971e-05-0j -0.00247879-0j 1.83491e-06-0j 1.38126e-09-0j -0.000369405-0j -0.000100366-0j 0.0720277-0j -4.36604e-05-0j -0.000527832-0j -6.14616e-05-0j -6.2385e-05-0j 0.0297099-0j -4.16031e-06-0j -8.78206e-05-0j -0.00021772-0j -2.54766e-06-0j -2.57325e-05-0j 1.61147e-09-0j 9.86819e-10-0j -3.64028e-06-0j -3.62242e-05-0j -1.50154e-06-0j 1.41003e-09-0j 5.8161e-10-0j 
-0.000122568-0j -0.0791512-0j 0.014644-0j 0.00169819-0j -0.0202937-0j -6.11457e-05-0j -6.17794e-05-0j -0.141996-0j -6.24066e-06-0j -0.143467-0j -0.00569937-0j -6.30533e-06-0j -0.00575843-0j -0.00207267-0j -0.00209415-0j -4.43748e-05-0j -5.49111e-05-0j -3.20315e-05-0j 0.000684624-0j 0.000852127-0j 0.000847179-0j 0.550283-0j 0.000494188-0j 0.00105445-0j 6.98742e-05-0j 0.000615098-0j 0.68094-0j -0.00118088-0j 8.64649e-05-0j 0.397215-0j -0.000181555-0j 5.04378e-05-0j -0.00146127-0j -0.000224663-0j -0.000852406-0j -0.000131054-0j -3.48617e-05-0j -4.06719e-05-0j -2.49064e-05-0j 0.000526986-0j -3.55879e-05-0j -1.46793e-05-0j -4.35771e-06-0j 0.000614817-0j 0.000849695-0j -0.0028141-0j 0.000376497-0j 0.000537965-0j -0.0101197-0j -5.08399e-06-0j 0.000221899-0j 0.000991311-0j -3.1133e-06-0j -2.5678e-07-0j 0.120932-0j -0.00328312-0j 0.000607052-0j -0.00201049-0j -4.44849e-06-0j -0.000287213-0j 0.000867397-0j -0.0118063-0j -1.83491e-06-0j -0.00287273-0j -0.000147714-0j -2.99577e-07-0j -0.00722985-0j 0.141088-0j 0.000357783-0j -0.00118494-0j -1.38392e-05-0j -1.83453e-07-0j -0.000335082-0j -0.0103305-0j 0.0863981-0j -2.6213e-07-0j -0.000205195-0j 0.123452-0j -0.00426112-0j -0.000172333-0j -0.000293196-0j -1.08123e-07-0j -0.000105532-0j 0.0509212-0j -1.61457e-05-0j -9.88719e-06-0j -0.000150791-0j -0.000120937-0j -6.21983e-05-0j -1.41275e-05-0j -5.8273e-06-0j 
0.0205318-0j 0.00146476-0j -8.70182e-05-0j -0.140747-0j 0.000184475-0j -5.29538e-05-0j -5.35025e-05-0j 0.000417475-0j -0.100056-0j 0.000421801-0j -0.0204012-0j -0.101093-0j -0.0206126-0j 1.2495e-05-0j 1.26245e-05-0j -3.84297e-05-0j -4.75544e-05-0j -2.77401e-05-0j 0.00029335-0j 0.000979435-0j 0.000363002-0j 6.98742e-05-0j 0.000211751-0j 0.00121199-0j 0.554286-0j 0.000706993-0j 8.64649e-05-0j -0.00207636-0j 0.685893-0j 5.04378e-05-0j 8.18875e-07-0j 0.400105-0j -0.00256937-0j 1.01331e-06-0j -0.0014988-0j 5.91095e-07-0j -3.01911e-05-0j -3.52229e-05-0j -2.15696e-05-0j 0.000225805-0j -3.08201e-05-0j -1.27126e-05-0j 0.000729975-0j 0.000263439-0j -2.51592e-06-0j 5.20774e-05-0j 0.000161323-0j 0.000230509-0j -0.00575495-0j 0.000851637-0j 9.50801e-05-0j -2.93524e-06-0j 0.000521519-0j -0.0124801-0j 7.54293e-06-0j 6.07569e-05-0j -1.79746e-06-0j 3.72059e-05-0j 0.000745183-0j 0.0984003-0j -2.56834e-06-0j -0.0067141-0j 0.000307372-0j 5.31623e-05-0j -0.000172245-0j -0.0145601-0j -0.00411153-0j 8.80008e-06-0j -1.05939e-06-0j 2.19283e-05-0j 4.98661e-08-0j -0.00891622-0j 0.1148-0j -0.00587484-0j 5.38893e-06-0j -0.0127401-0j 0.0703006-0j 7.70007e-06-0j -0.00242325-0j -0.000200953-0j 0.10045-0j -0.00525503-0j -0.000123058-0j 3.17612e-06-0j 5.81771e-08-0j 3.5626e-08-0j -0.000175834-0j 0.0414336-0j -7.25276e-05-0j 5.09049e-08-0j 2.09972e-08-0j 
-0.00120359-0j 0.0247547-0j 1.02552e-05-0j 0.025101-0j -0.0958734-0j 6.24066e-06-0j 6.30533e-06-0j -0.00014968-0j -0.000123201-0j -0.000151231-0j -0.1715-0j -0.000124478-0j -0.173278-0j -0.0200821-0j -0.0202902-0j 4.52899e-06-0j 5.60434e-06-0j 3.2692e-06-0j -0.000105177-0j -5.74154e-05-0j -0.000130149-0j 0.00118088-0j -7.59205e-05-0j -7.10479e-05-0j 0.00207636-0j -4.14446e-05-0j 0.00146127-0j 0.536763-0j 0.00256937-0j 0.000852406-0j -0.00265727-0j 0.0014988-0j 0.66421-0j -0.00328821-0j 0.387456-0j -0.00191812-0j 3.55805e-06-0j 4.15106e-06-0j 2.542e-06-0j -8.09592e-05-0j 3.63218e-06-0j 1.4982e-06-0j -4.27918e-05-0j -9.44524e-05-0j 2.96504e-07-0j 0.000880115-0j -5.78401e-05-0j -8.26459e-05-0j 0.00102634-0j -4.99238e-05-0j -3.40897e-05-0j 3.45922e-07-0j -3.05719e-05-0j -7.61701e-06-0j -0.00392013-0j 0.0010268-0j 2.11833e-07-0j 0.000628784-0j -4.36833e-05-0j -0.0173749-0j 3.02682e-07-0j 0.0011974-0j -1.80184e-05-0j 0.00089845-0j 0.137702-0j -8.88651e-06-0j 0.000733256-0j -0.00457349-0j 1.2485e-07-0j 0.000370592-0j -0.000270921-0j -5.44185e-06-0j -0.0202707-0j 0.00104773-0j -0.00280068-0j -7.7757e-06-0j -0.0124132-0j -0.0040018-0j 0.000432165-0j 0.160652-0j -0.0177369-0j -3.20731e-06-0j 0.0983789-0j -0.00165066-0j -0.000316074-0j -0.000193555-0j 0.140571-0j -0.0073161-0j 0.0579824-0j -0.000276565-0j -0.000114077-0j 
-5.70979e-07-0j -0.00380592-0j -4.68083e-07-0j 1.99015e-05-0j 0.0456657-0j -2.84846e-07-0j -2.87798e-07-0j 1.14182e-05-0j -2.9072e-08-0j 1.15365e-05-0j -0.00027405-0j -2.93732e-08-0j -0.00027689-0j -0.219059-0j -0.22133-0j -2.06719e-07-0j -2.55802e-07-0j -1.49218e-07-0j 8.0233e-06-0j -2.72376e-08-0j 9.92833e-06-0j -0.000181555-0j 5.79152e-06-0j -3.37048e-08-0j 8.18875e-07-0j -1.96612e-08-0j -0.000224663-0j 0.00265727-0j 1.01331e-06-0j -0.000131054-0j 0.519274-0j 5.91095e-07-0j 0.00328821-0j 0.642569-0j 0.00191812-0j 0.374832-0j -1.62402e-07-0j -1.89469e-07-0j -1.16026e-07-0j 6.17589e-06-0j -1.65786e-07-0j -6.8383e-08-0j -2.03003e-08-0j 7.20521e-06-0j -1.35335e-08-0j -0.000135314-0j 4.41227e-06-0j 6.30456e-06-0j 8.13746e-07-0j -2.36836e-08-0j 2.6005e-06-0j -1.57891e-08-0j -1.45032e-08-0j -1.1962e-09-0j 0.00186721-0j -0.000157866-0j -9.66881e-09-0j -9.66727e-05-0j -2.07232e-08-0j -1.38104e-05-0j -1.38155e-08-0j 9.4937e-07-0j -8.54788e-09-0j -0.000138133-0j -0.0156118-0j -1.39557e-09-0j 5.81368e-07-0j 0.00217841-0j -5.69859e-09-0j -5.69768e-05-0j 0.16685-0j -8.5461e-10-0j -1.61121e-05-0j 8.30699e-07-0j 0.001334-0j -1.22113e-09-0j -9.86662e-06-0j 0.00190611-0j 3.42646e-07-0j -0.0182138-0j -1.40981e-05-0j -5.03689e-10-0j -0.0111536-0j 0.000786229-0j 0.194658-0j 0.119203-0j -0.0159371-0j -5.81517e-06-0j -0.00657371-0j 0.170326-0j 0.0702558-0j 
0.00590699-0j 0.0008526-0j 6.89273e-05-0j 1.21847e-05-0j 1.01539e-06-0j 0.00294684-0j -0.00289262-0j 0.000491139-0j 0.00030076-0j -0.000482103-0j 6.13924e-05-0j -0.000295226-0j -6.02628e-05-0j 3.61758e-06-0j -3.55102e-06-0j 0.00213859-0j 3.76679e-05-0j -0.00302151-0j 0.000345113-0j 0.000281783-0j 6.07863e-06-0j 4.06719e-05-0j -0.000487594-0j 4.96318e-06-0j 3.52229e-05-0j -0.000398119-0j 7.16374e-07-0j 4.15106e-06-0j 6.20398e-07-0j -5.74635e-05-0j 1.89469e-07-0j -4.97648e-05-0j 7.31146e-08-0j 3.33721e-09-0j -5.86484e-06-0j -2.67692e-07-0j -0.500782-0j -0.00831605-0j -0.357776-0j 0.000265649-0j 0.496661-0j 0.62059-0j 0.000210014-0j 4.4114e-06-0j 0.000140009-0j 3.03129e-05-0j 0.000189789-0j -0.000263463-0j 3.50023e-05-0j 3.48752e-06-0j -0.000329203-0j 2.32501e-06-0j 0.000150041-0j 1.23752e-05-0j 2.91686e-06-0j 5.0338e-07-0j 0.000100027-0j 2.16566e-05-0j -0.000208286-0j 3.0938e-06-0j -0.000138857-0j 5.81253e-07-0j -0.000260258-0j -3.00635e-05-0j 2.57816e-07-0j 2.05504e-07-0j 2.50069e-05-0j 4.84378e-08-0j -0.000173505-0j -3.7565e-05-0j 9.60825e-09-0j 8.84126e-06-0j 5.1376e-08-0j -3.47143e-05-0j 2.0839e-06-0j -1.22734e-05-0j 2.21031e-06-0j -2.89286e-06-0j -4.33764e-05-0j 4.28133e-09-0j -3.06834e-06-0j -1.53359e-05-0j 1.84193e-07-0j -3.6147e-06-0j 1.59556e-10-0j 6.86446e-09-0j -2.55695e-07-0j -3.83397e-06-0j -3.19497e-07-0j -9.5292e-09-0j -1.1907e-08-0j 
-0.000933977-0j 0.0128883-0j -1.08984e-05-0j 9.11319e-05-0j 2.31041e-05-0j -0.000465936-0j 0.000457363-0j 0.00367332-0j -4.75544e-05-0j -0.00360574-0j 0.000928038-0j 4.66794e-05-0j -0.000910963-0j 0.000109942-0j -0.000107919-0j 0.0834055-0j 0.00146906-0j -0.11784-0j 0.00258116-0j -4.45539e-05-0j 4.54632e-05-0j 0.000614817-0j -0.0036468-0j -7.84748e-07-0j 0.000263439-0j 6.29481e-05-0j 1.08291e-05-0j 9.44524e-05-0j 4.64007e-06-0j -0.000868646-0j 7.20521e-06-0j -0.0003722-0j 1.66363e-06-0j 1.26909e-07-0j -0.000133447-0j -1.01799e-05-0j -0.000265649-0j -4.4114e-06-0j -0.000189789-0j -0.490072-0j 0.000263463-0j 0.000329203-0j -3.32061e-05-0j -0.00813821-0j -2.21374e-05-0j 0.000458225-0j -0.350125-0j 0.48604-0j 0.000261789-0j -5.51425e-07-0j 0.607319-0j -3.67617e-07-0j -2.37236e-05-0j -1.95669e-06-0j 6.63696e-05-0j 7.60934e-06-0j -1.58157e-05-0j 0.000327371-0j 3.29329e-05-0j 4.67673e-05-0j 2.19553e-05-0j 4.3473e-06-0j 4.11504e-05-0j -0.000454455-0j 7.83532e-06-0j -3.2493e-08-0j 0.000187031-0j 1.10214e-06-0j 2.74336e-05-0j -0.000567852-0j 4.38767e-07-0j -1.39793e-06-0j 7.76625e-07-0j -0.000259635-0j 4.74167e-05-0j 1.94059e-06-0j 3.34122e-05-0j -6.58236e-05-0j -0.00032442-0j 1.30114e-07-0j -4.63826e-05-0j 2.42481e-06-0j 5.59782e-06-0j -8.22481e-05-0j 7.28623e-09-0j 3.13471e-07-0j -7.77086e-06-0j -5.79561e-05-0j -9.70987e-06-0j -4.35158e-07-0j -5.43739e-07-0j 
0.0710419-0j -0.000106575-0j -8.61591e-06-0j 0.000146543-0j -1.26924e-07-0j 0.0721557-0j -0.0708281-0j -6.13924e-05-0j 0.00727193-0j 6.02628e-05-0j 0.000738351-0j -0.00713813-0j -0.000724766-0j -4.52198e-07-0j 4.43878e-07-0j -0.000267323-0j -4.70849e-06-0j 0.000377688-0j 0.00845037-0j 0.00338894-0j 0.00014884-0j -5.08399e-06-0j -0.0119391-0j 5.96909e-05-0j 0.000851637-0j -0.00478807-0j -8.95467e-08-0j 4.99238e-05-0j 1.50003e-05-0j 7.18293e-06-0j -2.36836e-08-0j -0.00120324-0j 8.79331e-07-0j -4.17151e-10-0j -7.05349e-05-0j 3.34615e-08-0j -0.000210014-0j -3.48752e-06-0j -0.000150041-0j -3.32061e-05-0j 0.000208286-0j 0.000260258-0j -0.494767-0j -5.51425e-07-0j -1.75012e-05-0j 0.000742236-0j -2.37236e-05-0j 3.29329e-05-0j 0.000420964-0j -0.00821617-0j 4.11504e-05-0j -2.90627e-07-0j -0.353479-0j 0.000449594-0j -3.64607e-07-0j 1.23257e-05-0j -1.25034e-05-0j 0.000530279-0j 0.490697-0j 7.48033e-05-0j 1.73572e-05-0j 6.99058e-06-0j 0.613137-0j -0.00073613-0j 3.10069e-06-0j 7.46601e-06-0j 0.000300751-0j -6.05472e-09-0j 2.16882e-05-0j -0.000919811-0j -1.20103e-09-0j 0.000321205-0j 1.24219e-06-0j -0.000417501-0j -2.60488e-07-0j -0.000445895-0j 5.34421e-05-0j 3.61608e-07-0j -0.000521677-0j 5.14905e-08-0j -7.41879e-05-0j -0.000557156-0j 2.21524e-06-0j 4.51837e-07-0j -1.99445e-11-0j -8.58058e-10-0j -3.07518e-06-0j -9.26995e-05-0j -3.84251e-06-0j 1.19115e-09-0j 1.48837e-09-0j 
-0.000492249-0j -7.105e-05-0j 0.00167999-0j -1.01539e-06-0j -8.46162e-08-0j -0.00024557-0j 0.000241051-0j 0.0119707-0j -2.50634e-05-0j -0.0117505-0j -5.11604e-06-0j 2.46022e-05-0j 5.0219e-06-0j -3.01465e-07-0j 2.95918e-07-0j -0.000178215-0j -3.13899e-06-0j 0.000251792-0j -2.87594e-05-0j 0.00686801-0j -5.06553e-07-0j 0.000991311-0j 4.06328e-05-0j 0.000120969-0j -2.93524e-06-0j -0.00970348-0j 1.74604e-05-0j -3.45922e-07-0j -5.16998e-08-0j -0.00140058-0j -1.57891e-08-0j 4.14707e-06-0j -6.09288e-09-0j -2.78101e-10-0j 4.88737e-07-0j 2.23077e-08-0j -0.000140009-0j -2.32501e-06-0j -0.000100027-0j -2.21374e-05-0j 0.000138857-0j 0.000173505-0j -1.75012e-05-0j -3.67617e-07-0j -0.495625-0j -2.52607e-06-0j -1.58157e-05-0j 2.19553e-05-0j 0.000853123-0j -2.90627e-07-0j 2.74336e-05-0j -0.00823042-0j -1.25034e-05-0j -1.03127e-06-0j 7.10936e-05-0j -4.19483e-08-0j -0.354092-0j -1.80471e-06-0j 1.73572e-05-0j -2.57816e-07-0j 0.491547-0j 1.41671e-05-0j 2.16882e-05-0j 2.50529e-06-0j -2.14847e-08-0j -1.71253e-08-0j 0.000609501-0j 1.18059e-06-0j 0.6142-0j 3.13042e-06-0j -8.00687e-10-0j -7.36772e-07-0j -4.28133e-09-0j -0.000846104-0j 5.07917e-05-0j 1.02278e-06-0j -1.84193e-07-0j -7.05087e-05-0j -0.00105723-0j -3.56778e-10-0j 2.55695e-07-0j 1.27799e-06-0j -1.53494e-08-0j -8.81023e-05-0j -1.32963e-11-0j -5.72039e-10-0j 2.13079e-08-0j 3.19497e-07-0j 2.66248e-08-0j 7.941e-10-0j 9.92246e-10-0j 
