-0.315794-0j -0.356728-0j 0.286595-0j -0.294285-0j 0.756399-0j 0.206875-0j -0.0671751-0j -0.0413489-0j -0.0457649-0j 0.0355999-0j -0.0241202-0j -0.0365552-0j 0.0415333-0j 0.0738999-0j -0.0246227-0j 0.0775111-0j 0.0149901-0j -0.0039743-0j -0.0268997-0j -0.00388263-0j -0.0293561-0j -0.00423718-0j 0.0223744-0j -0.0229748-0j 0.00322946-0j -0.0207579-0j -0.00331612-0j -0.00299614-0j 0.0252745-0j -0.0171244-0j -0.0149838-0j 0.00364806-0j 0.0440146-0j -0.00247169-0j -0.00216273-0j 0.00635297-0j 0.0208504-0j 0.0524659-0j 0.0030095-0j -0.00874057-0j 0.00757281-0j 0.0317714-0j -0.00126159-0j 0.00475943-0j 0.00458581-0j 0.000686964-0j -0.00106646-0j -0.000153931-0j 
0.319067-0j -0.350164-0j 0.294285-0j -0.297214-0j -0.250169-0j 0.194543-0j 0.717876-0j 0.0417774-0j -0.0449228-0j 0.0365552-0j 0.0243702-0j -0.0369191-0j -0.0414337-0j 0.0150783-0j 0.0227835-0j -0.0263763-0j 0.0734939-0j 0.0735752-0j 0.0271784-0j 0.00392287-0j -0.0288159-0j -0.00415922-0j 0.0229748-0j -0.0232034-0j 0.00331612-0j 0.020973-0j -0.00334913-0j 0.00302719-0j -0.0252139-0j -0.0168093-0j 0.0138646-0j -0.00363932-0j 0.0149838-0j -0.00242621-0j 0.00200118-0j 0.00216273-0j -0.0214012-0j -0.0104002-0j -0.003089-0j 0.042166-0j -0.00150114-0j 0.00990534-0j 0.00608613-0j 0.0516915-0j 0.00142971-0j 0.00746102-0j 0.0301835-0j 0.00435661-0j 
0.0369836-0j 0.0417774-0j -0.0680413-0j -0.0687464-0j 0.0298472-0j 0.0246227-0j 0.00786707-0j -0.229062-0j -0.253526-0j -0.20043-0j 0.666681-0j -0.202507-0j 0.466429-0j -0.082673-0j 0.272083-0j -0.144678-0j -0.0843953-0j -0.0220166-0j 0.0031503-0j -0.0434723-0j 0.00343798-0j -0.047442-0j 0.00266305-0j 0.00269064-0j -0.0367484-0j -0.00484914-0j -0.0371293-0j 0.0669152-0j 0.00300823-0j -0.0100062-0j 0.0017548-0j -0.0415118-0j -0.00346439-0j 0.138079-0j -0.0242152-0j 0.0478065-0j -0.00495016-0j 0.00124083-0j 0.0683093-0j -0.00204184-0j -0.0171227-0j 0.00125369-0j 0.0281761-0j 0.000566477-0j -0.0173002-0j -0.00781705-0j 0.000124897-0j -0.0017235-0j 
-0.0457649-0j -0.000735845-0j 0.0415333-0j 0.0414337-0j 0.00156027-0j -0.0586804-0j 0.0382472-0j 0.28345-0j 0.00446546-0j -0.24404-0j 0.165346-0j -0.243455-0j -0.00405257-0j -0.50659-0j -0.330374-0j 0.516219-0j 0.302425-0j -0.133894-0j -0.0038983-0j 0.0537942-0j -6.05547e-05-0j 0.000835619-0j 0.00324249-0j 0.00323472-0j -0.0447444-0j -0.00300823-0j -0.0446372-0j 0.0415118-0j 5.21354e-05-0j -3.53236e-05-0j 0.00425019-0j -0.000719437-0j 0.0063786-0j 0.000487444-0j -0.05865-0j -0.0880209-0j -0.00293562-0j 0.000108225-0j 0.0405098-0j 0.00372793-0j -0.00149344-0j -0.00901202-0j -0.0514432-0j -0.00270985-0j 0.124361-0j 0.0373944-0j 0.00091191-0j -0.0125838-0j 
0.0266962-0j -0.0590253-0j 0.0246227-0j 0.0227835-0j -0.0421697-0j 0.0688179-0j -0.0735774-0j -0.165346-0j 0.358194-0j -0.144678-0j -0.0964518-0j -0.133871-0j 0.330374-0j -0.0596765-0j -0.381233-0j -0.0956419-0j -0.0708851-0j 0.703018-0j 0.00227401-0j -0.03138-0j -0.00485735-0j 0.0670286-0j 0.00192229-0j 0.0017787-0j -0.0265264-0j 0.0017548-0j -0.024545-0j -0.0242152-0j -0.00425019-0j -0.00283346-0j 0.00490448-0j 0.05865-0j 0.00125369-0j 0.0391-0j -0.0676789-0j -0.0173002-0j 0.00164055-0j -0.00175311-0j -0.0226386-0j 0.000859768-0j 0.0241919-0j 0.00350393-0j -0.0118643-0j -0.00529802-0j -0.0483522-0j 0.0731095-0j -0.00887326-0j 0.122446-0j 
0.0225059-0j -0.0767293-0j 0.0207579-0j 0.020973-0j 0.0181631-0j 0.0149838-0j 0.0047874-0j 0.00294684-0j 0.00326155-0j -0.0077821-0j 0.00171899-0j -0.00786275-0j 0.00300823-0j 0.00106357-0j 0.0017548-0j 0.00186125-0j 0.00108573-0j 0.000283239-0j -0.184449-0j 0.000276706-0j -0.201293-0j 0.000301974-0j -0.155921-0j -0.157536-0j 0.000233908-0j 0.429582-0j 0.000236332-0j -0.000644447-0j 0.53158-0j -0.117421-0j 0.310088-0j -0.000797462-0j -0.101689-0j 0.000176151-0j -0.000465186-0j 0.000152552-0j -0.145301-0j -0.0726504-0j 0.000217976-0j -0.0599335-0j 0.000108988-0j -0.0734032-0j 8.99106e-05-0j -0.0331671-0j 0.000110118-0j 4.97564e-05-0j -0.00731266-0j 1.09703e-05-0j 
-0.00324844-0j 0.0110749-0j -0.00299614-0j -0.00302719-0j -0.00262162-0j -0.00216273-0j -0.000691002-0j 0.0406646-0j 0.0450075-0j -0.107388-0j 0.023721-0j -0.108501-0j 0.0415118-0j 0.0146766-0j 0.0242152-0j 0.0256841-0j 0.0149824-0j 0.00390853-0j -0.000276706-0j -0.17869-0j -0.000301974-0j -0.195007-0j -0.000233908-0j -0.000236332-0j -0.151052-0j 0.000644447-0j -0.152617-0j 0.416168-0j 0.000797462-0j -0.000176151-0j 0.000465186-0j 0.514981-0j -0.000152552-0j -0.113754-0j 0.300406-0j -0.098514-0j -0.000217976-0j -0.000108988-0j -0.140764-0j -8.99106e-05-0j -0.0703818-0j -0.000110118-0j -0.058062-0j -4.97564e-05-0j -0.0711111-0j -0.0321314-0j -1.09703e-05-0j -0.00708432-0j 
-0.0262569-0j -0.000422179-0j 0.0483066-0j -0.0474178-0j -0.00030162-0j 0.0342158-0j 0.0219437-0j -0.00343798-0j -5.41617e-05-0j -0.00300823-0j 0.0100062-0j 0.00295288-0j 9.96451e-05-0j -0.00124083-0j -0.00799297-0j 0.00210964-0j 0.00372793-0j 0.001624-0j 0.215191-0j -0.000322823-0j 0.00334269-0j -5.01462e-06-0j 0.181907-0j -0.17856-0j -0.000272892-0j -0.331235-0j 0.000267871-0j 0.00049691-0j 0.00292486-0j -0.00972883-0j -0.234615-0j -4.38779e-06-0j -0.236646-0j 1.45949e-05-0j 0.000351964-0j 0.000355009-0j 0.32851-0j 0.00120644-0j -0.000492822-0j 0.410481-0j -1.80987e-06-0j -0.167617-0j -0.000615792-0j -0.152026-0j 0.000251455-0j 0.000228065-0j -0.0503386-0j 7.55166e-05-0j 
-0.016079-0j -0.0181631-0j 0.0440146-0j -0.0149838-0j -0.0121504-0j 0.0317714-0j -0.00342029-0j -0.00210532-0j -0.00233016-0j 0.00546737-0j -0.0012281-0j -0.00186125-0j 0.0063786-0j -0.00965983-0j -0.00125369-0j -0.0012451-0j 0.00230216-0j -0.000202355-0j 0.131777-0j -0.000197688-0j 0.14381-0j -0.00021574-0j -0.330611-0j 0.112549-0j 0.000495974-0j 0.101689-0j -0.000168844-0j -0.000152552-0j -0.373465-0j 0.0838894-0j 0.0734032-0j 0.000560262-0j 0.0680262-0j -0.000125849-0j -0.000110118-0j -0.000102051-0j -0.308093-0j 0.659844-0j 0.000462193-0j 0.0428186-0j -0.00098988-0j 0.0491039-0j -6.42352e-05-0j -0.070327-0j -7.36643e-05-0j 0.000105503-0j 0.00522442-0j -7.83753e-06-0j 
0.00378985-0j 6.09364e-05-0j -0.00697245-0j 0.00684416-0j 4.3535e-05-0j -0.00493862-0j -0.0031673-0j -0.047442-0j -0.0007474-0j -0.0415118-0j 0.138079-0j 0.040748-0j 0.00137504-0j -0.0171227-0j -0.110298-0j 0.0291118-0j 0.0514432-0j 0.0224103-0j 0.000322823-0j 0.208471-0j 5.01462e-06-0j 0.00323831-0j 0.000272892-0j -0.000267871-0j 0.176227-0j -0.00049691-0j -0.172985-0j -0.320892-0j 4.38779e-06-0j -1.45949e-05-0j -0.000351964-0j 0.00283352-0j -0.000355009-0j -0.00942504-0j -0.227289-0j -0.229256-0j 0.000492822-0j 1.80987e-06-0j 0.318252-0j 0.000615792-0j 0.00116877-0j -0.000251455-0j 0.397663-0j -0.000228065-0j -0.162383-0j -0.147279-0j -7.55166e-05-0j -0.0487667-0j 
0.0229748-0j -0.0252139-0j -0.0208504-0j -0.0214012-0j 0.0534632-0j -0.0137836-0j 0.0516915-0j 0.00300823-0j -0.00323472-0j -0.00258998-0j 0.0017548-0j -0.0026584-0j 0.00293562-0j -0.00537639-0j 0.00164055-0j 0.00563683-0j -0.00520712-0j 0.00529786-0j -0.188292-0j 0.000282471-0j 0.199637-0j -0.000299489-0j 0.156616-0j 0.160753-0j -0.000234951-0j -0.145301-0j -0.000241158-0j 0.000217976-0j -0.17188-0j 0.116455-0j -0.0960537-0j 0.000257849-0j 0.308093-0j -0.000174702-0j 0.000144097-0j -0.000462193-0j -0.145889-0j -0.356796-0j 0.000218859-0j -0.292126-0j 0.000535255-0j 0.203671-0j 0.000438239-0j 0.352374-0j -0.000305541-0j -0.000528621-0j -0.209111-0j 0.000313702-0j 
0.0023208-0j 0.00262162-0j -0.00635297-0j 0.00216273-0j 0.00175376-0j -0.00458581-0j 0.000493676-0j -0.0290522-0j -0.0321549-0j 0.0754464-0j -0.0169471-0j -0.0256841-0j 0.0880209-0j -0.1333-0j -0.0173002-0j -0.0171817-0j 0.0317684-0j -0.00279239-0j 0.000197688-0j 0.127662-0j 0.00021574-0j 0.13932-0j -0.000495974-0j 0.000168844-0j -0.320288-0j 0.000152552-0j 0.109035-0j 0.098514-0j -0.000560262-0j 0.000125849-0j 0.000110118-0j -0.361803-0j 0.000102051-0j 0.0812699-0j 0.0711111-0j 0.065902-0j -0.000462193-0j 0.00098988-0j -0.298473-0j 6.42352e-05-0j 0.63924-0j 7.36643e-05-0j 0.0414815-0j -0.000105503-0j 0.0475706-0j -0.0681309-0j 7.83753e-06-0j 0.00506128-0j 
-0.00331612-0j 0.00363932-0j 0.0030095-0j 0.003089-0j -0.00771675-0j 0.00198948-0j -0.00746102-0j 0.0415118-0j -0.0446372-0j -0.0357401-0j 0.0242152-0j -0.0366843-0j 0.0405098-0j -0.074191-0j 0.0226386-0j 0.0777849-0j -0.0718552-0j 0.0731073-0j -0.000282471-0j -0.182412-0j 0.000299489-0j 0.193403-0j 0.000234951-0j 0.000241158-0j 0.151725-0j -0.000217976-0j 0.155734-0j -0.140764-0j -0.000257849-0j 0.000174702-0j -0.000144097-0j -0.166513-0j 0.000462193-0j 0.112818-0j -0.0930544-0j 0.298473-0j -0.000218859-0j -0.000535255-0j -0.141334-0j -0.000438239-0j -0.345654-0j 0.000305541-0j -0.283004-0j 0.000528621-0j 0.197311-0j 0.34137-0j -0.000313702-0j -0.202581-0j 
