-0.233905-0j -0.258885-0j -0.204667-0j 0.680775-0j -0.206788-0j 0.476289-0j -0.0844207-0j 0.277835-0j -0.147736-0j -0.0861795-0j -0.022482-0j -0.0310611-0j -0.0338975-0j -0.0262569-0j -0.026529-0j 0.0478111-0j -0.0296603-0j 0.0986578-0j -0.0173018-0j 0.0341579-0j 0.0488072-0j -0.0122342-0j 0.0201319-0j -0.012361-0j -0.00558531-0j -0.00123144-0j -0.0204163-0j -0.00294684-0j -0.0220521-0j -0.00318295-0j -0.0168426-0j -0.0170171-0j -0.00243102-0j -0.00245621-0j 0.030049-0j -0.0103139-0j 0.0043372-0j -0.00148869-0j -0.0186413-0j -0.0108741-0j -0.00269064-0j 0.033944-0j -0.00156954-0j -0.0104208-0j 0.00489939-0j 0.0490199-0j -0.01489-0j -0.00150411-0j 0.00707542-0j 0.0495279-0j -0.00214918-0j -0.0061418-0j 0.0242507-0j 0.00714874-0j -0.000886493-0j -0.0030394-0j 0.00350029-0j 0.0200058-0j -0.0061418-0j -0.0004387-0j 0.00639196-0j 0.00288759-0j -0.000886493-0j -0.00438791-0j 0.0009226-0j -0.000633341-0j -0.00161884-0j -0.00023366-0j -0.000309103-0j -4.46152e-05-0j 
0.289442-0j 0.00455987-0j -0.2492-0j 0.168841-0j -0.248602-0j -0.00413824-0j -0.517299-0j -0.337358-0j 0.527132-0j 0.308819-0j -0.136725-0j 0.0384361-0j 0.000597052-0j -0.03197-0j -0.0318934-0j 0.0296603-0j -0.00051404-0j 0.00034828-0j -0.0419056-0j -0.0628912-0j 0.0289444-0j -0.00106707-0j -0.0367563-0j 0.0888559-0j 0.0267184-0j -0.00899118-0j 0.0252639-0j 0.00364652-0j 0.000388414-0j 5.60627e-05-0j -0.0205073-0j -0.0204581-0j -0.00295997-0j -0.00295288-0j 0.0186413-0j 0.0127628-0j 0.00269064-0j 0.00184216-0j -0.000323071-0j -0.0263374-0j -4.66313e-05-0j 0.00029973-0j -0.00380148-0j -0.0382716-0j 4.32624e-05-0j -0.0119626-0j 0.0176137-0j -0.00552403-0j -0.00172665-0j -0.0119339-0j 0.00254232-0j -0.0223676-0j -0.000635543-0j -0.00172251-0j -0.00322848-0j -0.0260862-0j -9.17327e-05-0j 0.0239022-0j 0.0365633-0j -0.00376521-0j -0.0155792-0j 0.00344998-0j 0.00527746-0j 0.0474278-0j -0.00224866-0j 0.00684561-0j 0.00968708-0j 0.00139821-0j -0.00263391-0j -0.000380173-0j 
-0.168841-0j 0.365767-0j -0.147736-0j -0.0984908-0j -0.136701-0j 0.337358-0j -0.0609381-0j -0.389293-0j -0.0976638-0j -0.0723837-0j 0.71788-0j -0.0224211-0j 0.0478921-0j -0.0189532-0j -0.0175375-0j -0.0173018-0j 0.0419056-0j 0.0279371-0j -0.0483568-0j -0.012361-0j -0.0161753-0j 0.0172852-0j -0.00847707-0j -0.0345478-0j 0.052237-0j 0.0874878-0j -0.0147373-0j -0.00212714-0j 0.0311564-0j 0.00449704-0j -0.0121576-0j -0.0112495-0j -0.0017548-0j -0.00162372-0j -0.0108741-0j -0.00744499-0j -0.00156954-0j -0.00107459-0j 0.0263374-0j -0.030392-0j 0.00380148-0j 0.0240427-0j -0.0043867-0j -0.00752214-0j 0.00347026-0j -0.00709194-0j -0.00984329-0j -0.00108573-0j -0.00102363-0j -0.0065622-0j -0.00142076-0j -0.00515861-0j 0.0171769-0j -0.000947171-0j -0.000744581-0j -0.00219396-0j 0.00247927-0j -0.0280314-0j -0.00406015-0j -0.00031667-0j 0.0299701-0j -0.00404599-0j -0.000586032-0j -0.00368549-0j 0.00432581-0j -0.000531954-0j 0.0516918-0j 0.00746106-0j 0.0404437-0j 0.00583755-0j 
0.029055-0j 0.032158-0j -0.0767293-0j 0.0169487-0j -0.0775245-0j 0.0296603-0j 0.0104865-0j 0.0173018-0j 0.0183514-0j 0.010705-0j 0.00279265-0j -0.182508-0j -0.199174-0j -0.15428-0j -0.155878-0j 0.425061-0j 0.525986-0j -0.116185-0j 0.306825-0j -0.100619-0j -0.143772-0j -0.0718858-0j -0.0593027-0j -0.0726307-0j -0.032818-0j -0.0072357-0j 0.00253605-0j -0.034996-0j 0.00273925-0j -0.0378-0j 0.00209214-0j 0.00211382-0j -0.0288702-0j -0.0291694-0j 0.00187126-0j -0.00901453-0j -0.0258223-0j 0.124395-0j 0.00231557-0j 0.00135075-0j -0.0319535-0j -0.0063797-0j -0.0186395-0j -0.00390675-0j 0.088036-0j 0.00122041-0j -0.00558223-0j 0.0539108-0j -0.016841-0j 0.00123306-0j 0.0770315-0j -0.00230255-0j 0.00151018-0j -0.0170155-0j 0.0317739-0j 0.000377546-0j -0.0208396-0j 0.00124584-0j 0.000762917-0j -0.00520991-0j 0.000398051-0j -0.0171918-0j -0.0105278-0j 0.000545054-0j -0.00549287-0j -0.00752142-0j 0.000201088-0j -0.0027749-0j 3.83959e-05-0j -0.00052984-0j 
-0.0338975-0j -0.000534019-0j -0.0296603-0j 0.0986578-0j 0.0291145-0j 0.000982473-0j -0.0122342-0j -0.0788084-0j 0.0208004-0j 0.0367563-0j 0.0160122-0j 0.212926-0j 0.00330751-0j 0.179993-0j -0.176681-0j -0.327749-0j 0.00289407-0j -0.00962644-0j -0.232146-0j -0.234155-0j 0.325052-0j 0.00119374-0j 0.406161-0j -0.165853-0j -0.150426-0j -0.0498088-0j -0.00295873-0j 0.0408287-0j -4.54883e-05-0j 0.000627712-0j -0.00244082-0j 0.00239591-0j 0.0336819-0j -0.0330622-0j 0.0043547-0j -0.00149469-0j -0.0600923-0j 0.0206259-0j -3.84527e-05-0j 0.00308446-0j 0.000530624-0j 7.00184e-05-0j -0.0425636-0j -0.00151018-0j -0.000966213-0j 0.00710397-0j 0.00209642-0j 0.0208396-0j -0.0980305-0j -0.00697326-0j -0.0289294-0j 0.00261953-0j 5.00236e-05-0j 0.0962268-0j -0.036148-0j -0.00044047-0j -0.000690296-0j -0.00567469-0j 0.000864731-0j 0.00607823-0j -0.00363936-0j 0.0783073-0j -0.0119328-0j 0.00187148-0j 0.0502211-0j -0.0258254-0j 0.00115298-0j -0.0159104-0j 0.000308466-0j -0.00425664-0j 
-0.0207579-0j -0.0229748-0j 0.0539067-0j -0.0121088-0j -0.0183514-0j 0.0628912-0j -0.0952432-0j -0.012361-0j -0.0122763-0j 0.0226986-0j -0.00199517-0j 0.13039-0j 0.142297-0j -0.327132-0j 0.111365-0j 0.100619-0j -0.369535-0j 0.0830065-0j 0.0726307-0j 0.0673102-0j -0.304851-0j 0.6529-0j 0.0423679-0j 0.0485871-0j -0.0695868-0j 0.00516943-0j -0.00181184-0j 0.0250023-0j -0.00195701-0j 0.0270056-0j 0.00443613-0j -0.00151018-0j -0.0612159-0j 0.0208396-0j -0.00133689-0j -0.000915309-0j 0.0184484-0j 0.0126307-0j 0.00490989-0j -0.000965022-0j -0.0677536-0j -0.00151018-0j 0.0133167-0j -0.000865931-0j 0.0208396-0j 0.00258774-0j 0.00392184-0j 0.0119493-0j -0.0357093-0j -0.00088094-0j -0.054119-0j -0.000545054-0j -0.00101025-0j 0.0121565-0j 0.00752142-0j -0.00872891-0j 0.0139409-0j 0.00264165-0j -0.00692916-0j 0.120454-0j -0.000284381-0j -0.0364532-0j 0.0956183-0j -0.00036462-0j 0.00392429-0j 0.00503153-0j 0.000426384-0j -0.00588384-0j -2.74313e-05-0j 0.000378536-0j 
0.0296603-0j -0.0318934-0j -0.0255364-0j 0.0173018-0j -0.0262111-0j 0.0289444-0j -0.0530097-0j 0.0161753-0j 0.0555775-0j -0.0513407-0j 0.0522354-0j -0.18631-0j 0.197535-0j 0.154967-0j 0.159061-0j -0.143772-0j -0.170071-0j 0.115229-0j -0.0950428-0j 0.304851-0j -0.144354-0j -0.353041-0j -0.289051-0j 0.201527-0j 0.348665-0j -0.20691-0j 0.00258889-0j -0.0357251-0j -0.00271671-0j 0.037489-0j -0.00210146-0j -0.00215698-0j 0.0289989-0j 0.029765-0j 0.00191025-0j 0.00130786-0j -0.0263603-0j -0.0180476-0j 0.00225968-0j 0.0012628-0j -0.0311822-0j -0.00209642-0j -0.0174259-0j -0.00392184-0j 0.0289294-0j -0.00122585-0j 0.00185708-0j 0.054119-0j 0.016916-0j -0.00125824-0j -0.0256266-0j 0.00371858-0j 0.00444522-0j 0.0173629-0j -0.0513142-0j -0.00267315-0j -0.0613414-0j -0.00114604-0j 0.00385501-0j 0.0368879-0j 0.00429791-0j 0.0158147-0j -0.0531969-0j -0.00788481-0j -0.0593087-0j 0.108806-0j -0.00370093-0j 0.0510707-0j 0.00155391-0j -0.0214431-0j 
-0.0122342-0j 0.0398515-0j -0.010705-0j -0.00713664-0j -0.0516426-0j 0.0367563-0j -0.00441557-0j -0.00847707-0j -0.0368952-0j 0.063573-0j -0.0380959-0j 0.0768491-0j -0.246825-0j 0.0649629-0j 0.313392-0j 0.0593027-0j -0.215972-0j -0.143981-0j 0.0498094-0j 0.0423679-0j 0.289051-0j -0.0890839-0j -0.352178-0j 0.0355856-0j -0.258296-0j 0.630137-0j -0.00106786-0j 0.0147358-0j 0.00339459-0j -0.0468434-0j -0.00088094-0j -0.0042498-0j 0.0121565-0j 0.0586448-0j -0.000787937-0j -0.000539463-0j 0.0108731-0j 0.00744428-0j 0.00286955-0j -0.000661802-0j -0.0395981-0j 0.00261953-0j 0.00913247-0j -0.000545054-0j -0.036148-0j -0.000513882-0j -0.00371858-0j 0.00752142-0j 0.00709126-0j -0.00247905-0j 0.0513142-0j 0.00453069-0j 0.00187148-0j 0.0342095-0j -0.0625208-0j -0.000158974-0j -0.0258254-0j -0.0006104-0j -0.00153384-0j 0.00219375-0j 0.00313288-0j 0.00842316-0j 0.021166-0j 0.00323688-0j -0.0432319-0j -0.044667-0j -0.00274314-0j 0.0378537-0j -0.00961814-0j 0.132725-0j 
0.0182609-0j -0.0819413-0j 0.0159783-0j 0.0106522-0j 0.0161439-0j 0.0186413-0j 0.0065907-0j 0.0108741-0j 0.0115337-0j 0.00672801-0j 0.00175517-0j 0.00242493-0j 0.00264637-0j -0.00831072-0j -0.00839684-0j 0.00187126-0j 0.00231557-0j 0.00154371-0j 0.00135075-0j 0.00133689-0j 0.00191025-0j 0.000955124-0j 0.000787937-0j 0.000965022-0j 0.000436043-0j 9.61385e-05-0j -0.153355-0j 0.000230059-0j -0.165642-0j 0.000248492-0j -0.126511-0j -0.127822-0j 0.000189789-0j 0.000191755-0j 0.458762-0j -0.077472-0j -0.000688222-0j 0.000116221-0j 0.567689-0j 0.331152-0j -0.000851631-0j -0.127822-0j -0.000496785-0j -0.0782749-0j 0.000191755-0j -0.0737982-0j -0.111845-0j 0.000117426-0j 0.00011071-0j -0.074563-0j 0.000167786-0j -0.0461335-0j -0.0913207-0j 0.000111857-0j 6.92082e-05-0j -0.0228302-0j 0.000136997-0j -0.0753357-0j -0.0461335-0j 3.42492e-05-0j -0.0240701-0j 0.000113017-0j 6.92082e-05-0j -0.0329594-0j 3.61093e-05-0j 4.94447e-05-0j -0.0121598-0j 1.82418e-05-0j -0.0023218-0j 3.48309e-06-0j 
-0.00263573-0j 0.0118272-0j -0.00230626-0j -0.00153751-0j -0.00233016-0j -0.00269064-0j -0.000951286-0j -0.00156954-0j -0.00166475-0j -0.000971104-0j -0.000253336-0j 0.0334626-0j 0.0365183-0j -0.114683-0j -0.115871-0j 0.0258223-0j 0.0319535-0j 0.0213023-0j 0.0186395-0j 0.0184484-0j 0.0263603-0j 0.0131801-0j 0.0108731-0j 0.0133167-0j 0.00601714-0j 0.00132665-0j -0.000230059-0j -0.148566-0j -0.000248492-0j -0.16047-0j -0.000189789-0j -0.000191755-0j -0.122561-0j -0.123831-0j 0.000688222-0j -0.000116221-0j 0.444437-0j -0.0750529-0j 0.000851631-0j 0.000496785-0j 0.549962-0j -0.000191755-0j 0.320811-0j -0.000117426-0j -0.123831-0j -0.00011071-0j -0.000167786-0j -0.0758306-0j -0.0714938-0j -0.000111857-0j -0.108352-0j -6.92082e-05-0j -0.000136997-0j -0.0722347-0j -0.0446929-0j -3.42492e-05-0j -0.0884691-0j -0.000113017-0j -6.92082e-05-0j -0.0221173-0j -3.61093e-05-0j -0.0729833-0j -0.0446929-0j -4.94447e-05-0j -0.0233185-0j -0.0319302-0j -1.82418e-05-0j -0.0117801-0j -3.48309e-06-0j -0.0022493-0j 
