-0.416099-0j 0.495149-0j -0.300356-0j -0.0519797-0j -0.060643-0j 0.10856-0j 0.0510276-0j -0.0218872-0j -0.0328542-0j -0.0047421-0j -0.0371128-0j -0.00535677-0j 0.0291403-0j -0.0306165-0j 0.00420604-0j 0.0775102-0j -0.00441911-0j 0.0111876-0j 0.0210346-0j -0.00698868-0j 0.00303608-0j -0.00100873-0j 
0.420411-0j -0.499639-0j 0.268144-0j 0.0525184-0j -0.0588461-0j 0.037521-0j -0.0535705-0j 0.103671-0j 0.0331947-0j 0.00479124-0j -0.0360131-0j -0.00519804-0j 0.0306165-0j -0.0309095-0j 0.00441911-0j -0.025729-0j -0.00446141-0j -0.00371366-0j 0.0195276-0j 0.0735348-0j 0.00281857-0j 0.0106138-0j 
-0.0952853-0j 0.060643-0j 0.0353751-0j -0.28792-0j 0.65311-0j -0.2057-0j -0.293918-0j -0.121235-0j 0.00386948-0j -0.0530922-0j 0.00437104-0j -0.059974-0j -0.00693916-0j -0.00701107-0j 0.0952106-0j 0.00312282-0j 0.0961973-0j -0.0428475-0j 0.0025762-0j 0.000823107-0j -0.0353474-0j -0.0112937-0j 
-0.060643-0j 0.0014283-0j 0.0849497-0j 0.356283-0j 0.008227-0j -0.744097-0j 0.335911-0j -0.438185-0j -0.00478823-0j 0.0656983-0j -0.000107055-0j 0.00146888-0j 0.00424696-0j 0.00428547-0j -0.0582715-0j 0.000223585-0j -0.0588-0j -0.00306776-0j -0.0059492-0j 0.00397337-0j 0.0816277-0j -0.0545178-0j 
0.0353751-0j -0.0849497-0j 0.097593-0j -0.207832-0j 0.470543-0j -0.148482-0j -0.187465-0j -0.107079-0j 0.00279314-0j -0.038324-0j -0.00612302-0j 0.0840126-0j 0.0025762-0j 0.0022999-0j -0.0353474-0j -0.0043745-0j -0.0315565-0j 0.0600215-0j 0.00710722-0j -0.00746378-0j -0.0975165-0j 0.102409-0j 
0.0299917-0j 0.0371128-0j 0.0216491-0j -0.0109709-0j 0.00437104-0j 0.0026767-0j 0.00382466-0j 0.00157759-0j -0.225253-0j 0.000341802-0j 0.745088-0j -0.00113061-0j -0.207758-0j -0.209911-0j 0.000315254-0j -0.181788-0j 0.000318521-0j 0.000275848-0j -0.149967-0j -0.0479153-0j 0.000227563-0j 7.27074e-05-0j 
-0.00432892-0j -0.00535677-0j -0.00312478-0j -0.150529-0j 0.059974-0j 0.0367265-0j 0.0524773-0j 0.0216458-0j -0.000341802-0j -0.218192-0j 0.00113061-0j 0.721732-0j -0.000315254-0j -0.000318521-0j -0.201245-0j -0.000275848-0j -0.203331-0j -0.176089-0j -0.000227563-0j -7.27074e-05-0j -0.145266-0j -0.0464133-0j 
0.0680323-0j -0.00085698-0j 0.0490149-0j -0.00437104-0j 0.000196245-0j -0.00312282-0j 0.00428547-0j 0.00537585-0j 0.262795-0j -0.000398769-0j 0.00587556-0j -8.91566e-06-0j -0.471272-0j 0.457307-0j 0.000715115-0j 0.0041977-0j -0.000693924-0j -6.36966e-06-0j -0.339535-0j -0.218073-0j 0.000515215-0j 0.000330906-0j 
-0.0214271-0j 0.0775102-0j -0.0154669-0j -0.0026767-0j -0.00312282-0j -0.00162458-0j 0.00798781-0j -0.00112709-0j 0.160928-0j -0.000244195-0j 0.181788-0j -0.000275848-0j -0.433902-0j 0.149967-0j 0.000658409-0j 0.110333-0j -0.000227563-0j -0.000167421-0j -0.313207-0j 0.0342323-0j 0.000475265-0j -5.19446e-05-0j 
-0.00981962-0j 0.000123694-0j -0.0070747-0j -0.059974-0j 0.00269264-0j -0.0428475-0j 0.0588-0j 0.0737609-0j 0.000398769-0j 0.254557-0j 8.91566e-06-0j 0.00569138-0j -0.000715115-0j 0.000693924-0j -0.456499-0j 6.36966e-06-0j 0.442972-0j 0.00406612-0j -0.000515215-0j -0.000330906-0j -0.328892-0j -0.211237-0j 
0.00309273-0j -0.0111876-0j 0.00223245-0j -0.0367265-0j -0.0428475-0j -0.0222905-0j 0.109599-0j -0.0154645-0j 0.000244195-0j 0.155884-0j 0.000275848-0j 0.176089-0j -0.000658409-0j 0.000227563-0j -0.420301-0j 0.000167421-0j 0.145266-0j 0.106875-0j -0.000475265-0j 5.19446e-05-0j -0.303389-0j 0.0331593-0j 
