0.034708+0.233536j 0.313024-0.0354945j 0.205721+0.409787j 0.141641+0.0773545j 0.372739-0.373437j -0.168261+0.173767j -0.388794-0.234704j -0.056679+0.198812j 0.0881435-0.0658563j 0.077846+0.0111024j 0.054785+0.0329803j -0.0852527-0.00176089j -0.0352878+0.0737862j 0.0468829-0.0472943j 0.102009+0.0828439j -0.0122229+0.0836886j -0.00891367-0.0280299j -0.0295046+0.0268j -0.034333+0.0415828j -0.026477+0.0133997j -0.00529005-0.0138551j 0.0347372-0.00332666j -1.27258e-05+0.0298231j -0.0239502-0.0147428j 0.0248084+0.00155655j -0.0240785+0.0136346j 0.0264066-0.0132358j -0.0239409-0.00599032j 0.0168182+0.00193938j 0.0411268+0.0365594j -0.0209866+0.0437826j 0.024563+0.0105527j -0.0322409-0.0194196j -0.0187127+0.0361224j 
-0.156716-0.134055j -0.153395+0.14717j 0.0922037+0.0586854j -0.00924135-0.0556068j 0.0754256-0.187049j -0.0153388+0.0230889j -0.14861-0.00645405j -0.137496-0.0947574j -0.224951+0.0134041j -0.0620593+0.289344j 0.31632-0.09563j 0.0147052+0.106336j 0.131601+0.175367j 0.106057+0.258259j -0.180413+0.0246936j -0.0312672-0.119009j 0.125696+0.110326j 0.133079-0.00714893j 0.0103744+0.0225648j 0.0542119-0.0649687j 0.0356249-0.017338j 0.0150456-0.113807j 0.0476143-0.11151j -0.00723911+0.070421j 0.00334024-0.0677712j 0.0348605-0.115847j 0.00515696+0.0335446j 0.0258356+0.0321596j -0.00954133+0.0262494j 0.0294336+0.0207324j -0.0253161-0.0632016j -0.172431+0.0940481j 0.0965728+0.13467j 0.139778-0.130166j 
0.00347119+0.0719909j 0.0737467-0.0219227j -0.00799995-0.0516186j 0.01247-0.000108443j -0.0736794-0.0186423j -0.00802482-0.00906308j 0.0111897-0.0285152j -0.136598+0.0486298j 0.143925+0.102507j 0.0548478-0.146919j -0.182071+0.228526j -0.00460898-0.145694j -0.0765837-0.161253j -0.0892295-0.177949j 0.0983889-0.0880503j -0.0458656+0.0488863j -0.372753-0.121861j 0.06385+0.0962438j 0.13646-0.00243335j 0.00843955-0.0828806j 0.000713257-0.064067j 0.12714-0.090121j -0.0266746+0.0925324j 0.00513027-0.0463586j -0.0504031+0.050036j -0.052109-0.0285324j -0.02779+0.104564j -0.00483354+0.078262j 0.035244+0.025849j 0.0832455-0.0178531j -0.00847568+0.0232024j -0.146185+0.157047j 0.0324256+0.101761j 0.13679-0.0985433j 
0.023117-0.0874213j -0.066767-0.0528495j 0.0735691+0.026812j -0.0122278+0.0502664j 0.00604082+0.010941j -0.0251137+0.0251078j 0.061756-0.023615j -0.140856+0.0377376j -0.0571797+0.10032j -0.0454298+0.0314956j 0.076312-0.0635182j 0.0067465+0.0555225j 0.0426997+0.11131j 0.0259181+0.00588645j 0.0720187-0.0926792j -0.0631438+0.120068j -0.12338-0.0813919j -0.178769-0.0253364j -0.0720351-0.211295j 0.091465-0.0988707j 0.0214511+0.100161j -0.0510382-0.0322822j -0.00188364+0.00674965j 0.0415735-0.126601j 0.0134857-0.0169045j -0.0829805-0.0153934j -0.126394+0.192349j -0.0470462-0.147586j -0.174485-0.138055j -0.0248595-0.0677715j -0.0512679+0.15082j 0.253633+0.0508627j -0.0720339+0.133355j 0.0732126+0.0649465j 
-0.104624-0.0439304j -0.00334251+0.0736125j 0.0521922+0.00654797j -0.0642657-0.0437625j -0.0390373-0.123871j 0.0530069-0.0970519j -0.0528498+0.0616412j -0.0302117-0.0641458j -0.0116073-0.00100056j -0.0803428-0.0194581j -0.0194722+0.131932j 0.00947891-0.0890251j -0.143656+0.0401573j 0.018102+0.0347104j -0.11011-0.0127101j -0.0573479+0.0228667j -0.0378329+0.0438772j -0.356052-0.163029j -0.0554337-0.0483902j 0.0175107-0.0850941j -0.167449-0.0316923j -0.15308+0.296644j 0.00687545-0.0508122j 0.0394447-0.167559j 0.0256494-0.0574827j -0.00777587+0.0687188j 0.0317086-0.120197j 0.197503-0.0239048j -0.0854465+0.268446j 0.283219+0.0190509j 0.0735653+0.297683j -0.170523-0.00888489j 0.00768441-0.0595175j -0.0517953+0.0175568j 
-0.0993894-0.0454344j -0.00194729+0.121828j -0.0579214+0.0200474j 0.06956+0.0202519j -0.026944-0.0375781j 0.0428264-0.0127373j -0.0256448+0.0505704j 0.00735267-0.0455605j 0.0446216-0.0619718j -0.0235476-0.00347783j 0.0108113+0.0169888j -0.0742555-0.0513884j -0.0428288+0.155002j 0.118513-0.159833j 0.174283-0.0800377j 0.154415+0.130238j 0.0256349-0.011301j 0.0482034-0.199199j 0.0718435+0.241204j -0.134042+0.0141739j 0.109407+0.193894j 0.0732499-0.102054j 0.0132423+0.0761421j -0.165933+0.0768514j 0.0455212+0.359453j -0.244431-0.160437j -0.257207+0.0900884j 0.26996-0.0417015j -0.231031+0.0785379j -0.145027-0.0932612j 0.0566696-0.0514698j -0.0655952-0.10316j 0.0341055-0.00578034j -0.0226211-0.0196781j 
-0.061448+0.0473497j 0.0361789+0.0647113j -0.0566657-0.0517748j 0.038263-0.0436122j 0.00265622-0.0157105j 0.0393717+0.0141164j -0.0563045-0.0188801j 0.129976+0.0477404j 0.0828329-0.0329796j 0.0203423-0.033218j -0.117149-0.00986519j 0.0125361-0.048824j 0.00999077-0.0942038j -0.0165966-0.0104811j -0.0969461+0.0335506j 0.121306-0.0335808j 0.0720519+0.163484j 0.0586956+0.113473j -0.0406333+0.186105j -0.0857443-0.0260756j 0.0827759-0.0928614j 0.0223425+0.0194668j -0.0542151-0.0324232j -0.07801+0.0945664j -0.0553184-0.0135206j 0.0471329+0.0522552j 0.209429-0.0443284j 0.00156911+0.113811j 0.027344+0.114736j 0.0155415+0.0331911j 0.0846505-0.125082j -0.208021-0.110776j 0.0482544-0.0592768j -0.0352351-0.105495j 
-0.0546439-0.0116668j -0.0352486+0.026509j 0.0298534-0.0317334j -0.00887051-0.034361j -0.0270582-0.0775679j -0.0132231+0.0107956j -0.0305876-0.0304426j -0.17538-0.0217287j -0.011803+0.108851j 0.0304493-0.00355j -0.0217731+0.147948j 0.0178249-0.0469959j 0.0664131-0.0437194j -0.0330214+0.0198419j -0.0078801-0.0459341j -0.094927-0.0662717j -0.236308-0.0787615j 0.14937+0.136995j 0.074305-0.00386331j 0.0661646-0.0640801j 0.0331247-0.0792459j 0.0654282-0.095606j 0.027272+0.0120142j -0.0309311-0.00314933j 0.0514348-0.0464343j 0.110536-0.0559443j -0.0116436+0.0945854j 0.0318097+0.13092j 0.093379+0.0376635j 0.0889291+0.0210783j -0.0255565-0.0289694j -0.0781138+0.170474j 0.13658+0.181465j 0.0810219-0.121847j 
0.0509566+0.0253712j 0.0141202-0.0537885j -0.0231005+0.00249016j 0.0011333+0.00816204j -0.00120986+0.08029j -0.0165878+0.0503028j 0.030546-0.0324667j 0.0145231+0.0762353j 0.00427506+0.00340799j 0.0124833-0.00272696j 0.0553758-0.0957685j -0.0152437+0.0664632j 0.0532728-0.0473634j -0.00817096+0.00821896j -0.0198473+0.0318951j 0.0148043-0.00289411j 0.0223072+0.0101572j 0.0944586+0.0864415j 0.048217-0.0585404j -0.0369738+0.0936547j 0.0327935+0.0326736j 0.0255682-0.0829964j -0.0647848+0.00385037j 0.0282143+0.0524745j -0.0191176-0.00570174j 0.0481309+0.0349219j -0.0454574-0.0282345j -0.149136+0.0224619j 0.0688653-0.0979094j -0.0677942+0.0275869j -0.0792241-0.0882723j 0.0714876-0.0956924j -0.0125399-0.0247422j 0.0258908+0.0262326j 
-0.0526588-0.0297241j -0.0619093+0.072872j 0.0104317-0.0182968j 0.0466853-0.0203569j -0.0212902-0.0206265j 0.0101167+0.000220515j -0.0308353+0.0105224j -0.0475587-0.0469416j -0.0362935+0.0448998j -0.035806+0.0328257j 0.0540883+0.051144j 0.012863-0.0161804j 0.0150384+0.0317879j 0.0231548-0.00937317j 0.0113602-0.0254356j 0.0134255-0.0201911j -0.0137794-0.0261411j 0.118145-0.00565309j 0.0535777+0.0492311j 0.00169066-0.0861507j 0.0320775+0.0343593j 0.0219305-0.0515177j -0.00680227+0.0206386j -0.085858+0.0154812j -0.0347385+0.0222765j -0.0404346-0.0118601j -0.0335669+0.0654133j 0.0724481-0.0107623j -0.0436373+0.0457115j -0.0232477-0.00819489j -0.0274169-0.0117637j -0.0793287+0.0724474j 0.0603695+0.055771j 0.0675767-0.0434677j 
0.0276464-0.00114123j 0.0129674+0.000559048j 0.0133759-0.00486411j -0.0406708-0.0143114j 0.0220485+0.0338982j 0.017937-0.00898044j -0.0232497+0.00210559j -0.00206865-0.00123742j -0.0392943-0.00514116j 0.0111001-0.0429975j 0.0232524+0.0214825j -0.0221625-0.0315754j 0.00180643+0.0158161j 0.0280643-0.00221015j 0.0107078+0.00817808j 0.00606729-0.0016542j 0.0132662-0.00821177j 0.0237211+0.0149583j 0.0132397+0.00661202j 0.00713998+0.00277408j 0.000345635-0.0258334j 0.0173455+0.0202979j 0.00854979-0.0623838j 0.0511219-0.0309568j -0.00642382+0.000100851j -0.0395249+0.0389055j -0.0149736+0.000313731j 0.0415762+0.0265585j 0.0119665-0.00779569j -0.00706515+0.00639617j -0.0131245-0.0260786j 0.00197879+0.00910654j -0.00160727-0.00962173j -0.0101384+0.00074977j 
