0.00429453-0.0163855j -0.00443609+0.0331755j -0.00449042+0.00814272j -0.0475491+0.0115786j -0.00951524+0.0167751j 0.00329125+0.0160793j -0.00429936-0.0460446j 0.0106593+0.0481575j -0.0446409+0.0417555j -0.0307718-0.0882176j 0.0633362+0.0123258j -0.043536-0.0364719j -0.105593+0.0238833j 0.0349602-0.0481831j 0.0519452+0.0538208j -0.00405541-0.0316177j -0.00491598+0.00419523j -0.0378105-0.0544133j 0.0314741-0.108653j -0.036023-0.0516579j 0.06989+0.0540488j -0.0776973-0.0691346j -0.00563709+0.0887091j -0.00647815+0.0514379j 0.0339619-0.0207306j -0.0145599-0.0475676j 0.016166+0.039183j 0.0434896-0.00340591j 0.0708415-0.0661963j 0.181142-0.0388418j -0.0394623+0.0106995j -0.126949+0.0382562j 0.00456809-0.10905j 0.0467429+0.0303634j -0.0357082+0.0632585j 0.0860464+0.0016304j -0.0442716-0.231352j 0.0562638+0.0255231j 0.0180875-0.218005j -0.267133-0.0401051j 
-0.0129642-0.0129027j -0.0502991+0.0341384j -0.0500115-0.00312124j -0.0276441-0.0447809j -0.0357025+0.027889j -0.0173747+0.0327773j -0.013357-0.0742602j 0.0358101+0.0266149j -0.0435956+0.0900917j -0.0246879-0.0472185j 0.00298511-0.020135j -0.0119404+0.0341523j -0.0275766+0.0149051j -0.0435439-0.0232665j -0.00065407-0.00950521j -0.0247624-0.0524571j 0.00652916+0.0341727j -0.0385285-0.0466253j 0.0374968+0.0353738j -0.0348339+0.0357337j -0.0429477+0.0741531j 0.0289742-0.0252181j 0.0344133-0.0510271j -0.0103548+0.0652697j 0.0315175-0.0498823j -0.0473539+0.140921j -0.0202081-0.12942j 0.00642763+0.0174349j 0.0643499-0.0277657j 0.0479224-0.0229075j -0.0188566+0.0338404j 0.153726+0.115196j -0.0129827-0.0256926j -0.0668452+0.103831j 0.109447+0.083314j -0.166135+0.0371832j -0.166551+0.0766111j 0.01041+0.273962j 0.165006+0.0285188j 0.0478444-0.0339167j 
-0.0603407-0.0059433j 0.0520167-0.0267352j 0.0980249-0.0252976j 0.0417433+0.0737853j 0.0236351-0.094756j -0.0269887-0.0197612j 0.00528975+0.109576j -0.0365747-0.0386803j 0.0612376-0.117625j 0.00372497+0.0406416j 0.0121687-0.00118451j -0.0274411-0.00218399j 0.0868016+0.0248803j 0.0195112-0.0400693j 0.00840613-0.0345209j -0.02721+0.0590877j 0.00716782-0.0452401j 0.0412954-0.0288768j 0.0508428-0.0577839j 0.0635977-0.0544337j 0.127097-0.0189684j -0.119582-0.0232337j -0.0997671+0.149053j 0.0277694-0.130038j -0.0456647+0.0982108j -0.196945+0.113542j -0.0559805-0.312001j 0.0842437-0.0204897j 0.00276753-0.0104382j 0.316946+0.0981457j -0.237029-0.137885j 0.169985+0.234267j -0.152435+0.124597j 0.0603005+0.0509922j 0.0376232+0.220156j -0.198812+0.23107j -0.0373641+0.157343j 0.0341955+0.0660878j 0.0777194+0.0906366j 0.0963896-0.0538202j 
-0.0208505+0.000280586j 0.00869008+0.03229j 0.02011-0.0561046j 0.0601802+0.0414366j 0.0413197+0.0523461j 0.0538844-0.0741113j -0.0518861-0.0307712j -0.0277636-0.00721243j -0.0203418-0.0181713j -0.0163203-0.0458529j -0.0572482+0.0315021j -0.0141227+0.0562761j 0.0458406+0.0314047j -0.0591466+0.00117937j 0.0549363-0.0172881j -0.0180455-0.065851j 0.00799883-0.0132788j 0.0187976-0.0550552j 0.04973-0.148702j -0.0390272-0.199881j 0.0708855-0.0574335j 0.160366+0.0739991j -0.0772556-0.146126j 0.0886131+0.302318j 0.306887-0.144452j -0.0625933+0.0168397j -0.0217212-0.105949j 0.000630969+0.0903693j -0.345048+0.0632545j 0.0595099+0.062566j 0.247453+0.179003j 0.103916+0.222445j 0.261063+0.0233498j -0.0181272+0.217447j 0.140617-0.145333j -0.0657344-0.0895298j -0.0228256+0.0998964j -0.0321815+0.0888791j 0.0556205+0.0627599j 0.0504495-0.0567978j 
-0.0325398+0.00191922j 0.0523039-0.0217245j 0.0573403+0.0193768j 0.0463642+0.105997j 0.0507344-0.00837989j 0.0386701-0.0801499j -0.016965+0.0334292j -0.0384068-0.0143161j 0.0203096-0.0984005j 0.00754757+0.0177001j 0.0450493+0.00939006j -0.0352269-0.0489815j 0.00791007+0.0474473j 0.108139-0.0452412j 0.0212472+0.0238311j 0.0169663+0.0196631j 0.0286394-0.0840823j 0.0609914+0.0725491j -0.0105951-0.193218j 0.0744484-0.204801j 0.177966-0.0958237j -0.0458485+0.00908473j -0.214752+0.129135j 0.023661+0.0449253j 0.103471-0.00705121j 0.00843998-0.214588j -0.109152+0.0389055j 0.0668069+0.0240994j -0.116927+0.0249683j 0.227171+0.0719913j 0.0342588+0.0193436j -0.187091+0.0251148j 0.0953284-0.00384175j 0.129212-0.0113535j -0.0666845-0.0828686j 0.201435+0.0905128j 0.0474142-0.20293j 0.00332927-0.115944j -0.107068-0.053969j -0.0309256+0.124111j 
-0.0428719+0.0383799j -0.128564-0.087951j -0.157503+0.019178j 0.0605115-0.166637j -0.0106731+0.0695884j 0.0177022-0.0150936j 0.081797-0.127055j 0.0742107-0.00464022j -0.0341322+0.109238j 0.0535993+0.0929778j 0.0618498-0.0888201j 0.0475445-0.0365843j -0.0183077+0.026111j 0.0291881-0.0466264j 0.0300277+0.00483729j 0.0241418-0.148085j 0.0311264+0.0678912j 0.0126445+0.214956j -0.196363-0.141279j 0.197022-0.13975j -0.112833+0.0702574j -0.127343+0.0367302j -0.226339+0.133798j -0.044904+0.131451j 0.0200754-0.0105277j -0.117751-0.179599j -0.173041-0.199146j 0.0200565-0.00959035j 0.194656-0.0895103j 0.0915731-0.0589967j -0.0389531-0.00624058j 0.00789471-0.0240011j -0.0183158-0.109441j -0.0950965+0.0541951j 0.020753+0.0646308j -0.0611787-0.0321993j -0.104796-0.0346143j 0.0671088+0.203058j 0.0450467-0.157936j -0.132455-0.014381j 
-0.00677242+0.0224299j -0.0285998-0.0969227j -0.0275199-0.0244441j 0.131429-0.0378648j 0.0421341+0.0169826j 0.00963256-0.0808597j 0.0431266+0.0335207j -0.00231558-0.0956956j 0.113049-0.0506607j 0.0564339+0.219779j -0.0376904-0.0988731j 0.0739287+7.86306e-05j 0.133378-0.00403992j -0.00772344+0.0221071j -0.0622719-0.0492838j -0.0373905-0.00814487j 0.0969676+0.00190123j 0.011355+0.268839j -0.2522+0.0186852j 0.18043-0.0633916j -0.0613479-0.0338114j -0.0336242+0.192613j -0.13108-0.0279705j 0.0308293-0.0162141j -0.0308711+0.0156162j -0.0317493-0.14954j -0.144825-0.115312j -0.0504386-0.0025179j -0.0704079+0.0336741j -0.21727-0.0231998j 0.0482688+0.0275945j 0.00271265-0.12252j -0.0714045+0.0672489j 0.00866806-0.0481358j -0.0282524-0.063382j -0.0529832-0.0608718j 0.0832027+0.0718896j -0.0914291-0.135119j 0.0399874+0.197667j 0.138299-0.0743346j 
-0.0336366+0.025653j 0.0547934+0.0186967j 0.0633616+0.036439j -0.00816804+0.0844274j 0.00997463-0.0676952j 0.0214452-0.0245172j -0.0652392+0.0697982j -0.0118783-0.0345125j 0.045899-0.0460754j -0.0185913+0.0205187j -0.00828292+0.0171059j -0.00458519+0.00841808j 0.0767205+0.00682029j 0.0451471-0.00793038j 0.0415578-0.00625916j -0.0686694+0.0611955j 0.0423605-0.0756141j 0.00933676+0.00510925j 0.0511123-0.0136431j -0.0122581-0.00072754j 0.119951-0.00156032j -0.0292591-0.00825684j -0.0350699+0.0412728j 0.00643743-0.0944028j -0.03926-0.0180811j -0.0294005+9.88149e-05j 0.00255405-0.00544388j 0.0317551+0.032037j -0.0361342+0.0143175j 0.0903464+0.011072j -0.0634181-0.00897267j 0.0195366+0.0798572j -0.0526323+0.0698659j 0.0759953-0.0181528j -0.0114222+0.0683683j 0.0685563+0.101908j 0.0397445-0.0379487j -0.0899237-0.097925j 0.00617198+0.0729111j 0.00867146-0.0566369j 
-0.0199358+0.030618j 0.0188257+0.00338707j 0.0211671-0.00689882j -0.0310935+0.0195768j 0.00809203+0.01357j 0.0114975-0.015161j -0.0164183-0.0055332j -0.0215705-0.0133865j -0.0291105-0.00131346j -0.0120603-0.0189615j 0.0231117-0.0493783j -0.0171869+0.00626666j -0.0373294-0.0113369j 0.0071101-0.0189683j -0.0478184+0.0154553j 0.0560214-0.000538636j 0.0488293-0.000608514j 0.014456-0.00119331j 0.0242985-0.0161057j 0.0389436-0.0425209j 0.0533142+0.0060365j 0.00902211+0.0359507j -0.00044194-0.0170478j -0.035136+0.00137934j 0.0434251-0.00169728j -0.0200193-0.0128066j -0.0230702-0.00940951j 0.00717526-0.0582886j -0.0339015+0.0142252j 0.0204115+0.00269735j 0.0258075-0.0206333j 0.00860343+0.0376519j 0.0341567-0.0381143j 0.0848918-0.0112352j -0.0320612-0.0254461j -0.00265826-0.0105719j -0.0149937-0.0384665j 0.0159626-0.0334282j 0.0177654-0.0276902j -0.00694551+0.00527033j 
0.0051045-0.0181035j -0.0240419+0.0136141j -0.0329564+0.028553j -0.0269694+0.0206678j 0.0317379+0.0222841j -0.0151006+0.00676492j 0.00499306-0.0244719j 0.036607-0.0453307j 0.0106565+0.0378304j -0.0114388-0.0105166j -0.0102895+0.0323139j -0.0398784+0.00664279j -0.0237218-0.0165018j -0.00106709-0.00907981j -0.0245235-0.00682881j -0.0565002-0.0187019j -0.0043214-0.0145879j 0.00150626+0.000906109j 0.0330803+0.00256713j 0.00643081+0.020822j -0.00490316+0.0290817j 0.0238276+0.000440194j -0.0134804-0.00480786j -0.0385244-0.00416206j 0.00870783-0.058323j -0.042141+0.026131j 0.028558-0.0290121j 0.00361307+0.0217706j -0.00699348+0.0140421j -0.0100625-0.0115691j 0.0115479+0.00378075j 0.0506653+0.0335758j 0.0521566-0.000945153j 0.00166112-0.0170066j 0.0424083+0.0220011j 0.0490724-0.02204j 0.00458858+0.0057624j -0.0217394-0.0200228j 0.0160106-0.0119539j -0.00446149-0.0117844j 
-0.000922936+0.0354562j -0.0109938+0.0138339j 0.000338948-0.0308102j 0.00928848-0.0213835j -0.0133052-0.0116304j 0.00275433-0.00110867j 0.02164+0.0194513j -0.0210124+0.0144091j -0.00379725+0.0137504j 0.0191095-0.00481455j -0.0204068+0.0247896j 0.0341153+0.0111938j 0.012241+0.0122257j -0.0263448-0.00402669j 0.0267891-0.0104863j -0.00297162-0.0091729j -0.0188393+0.0251919j -0.0198609-0.0228322j -0.00830926+0.0124322j -0.00790594+0.00178948j -0.0187385-0.0133427j -0.00201163+0.00482954j 0.0265626-0.00668297j 0.00566008+0.0183169j 0.00549401+0.021324j -0.0606965+0.0429796j 0.0292838-0.0660561j -0.00610295+0.00284782j 0.0141236-0.00139123j -0.00236045+0.0211388j -0.00843005-0.0128148j 0.00983207+0.00937648j 0.0103747-0.00941535j -0.0188648+0.0079593j 0.0367904+0.0236715j -0.0463985-0.0188737j 0.0342057+0.0496009j 0.0566715+0.0249781j 0.0239518-0.0207543j 0.0231652+0.0139466j 
