-0.00322239-0j -0.000537065-0j -0.000328884-0j -6.71331e-05-0j -3.95586e-06-0j -0.00290293-0j -0.000468458-0j -0.000382494-0j -5.52083e-05-0j -4.78118e-05-0j -5.63467e-06-0j -2.57186e-07-0j -0.00186795-0j -0.00188731-0j -0.000295349-0j -0.00029841-0j -0.000233494-0j -0.000155663-0j -0.000235914-0j -3.3702e-05-0j -0.000157276-0j -3.40512e-05-0j -3.89157e-05-0j -1.37588e-05-0j -3.9319e-05-0j -3.24298e-06-0j -1.39014e-05-0j -3.4397e-06-0j -3.27658e-06-0j -3.47534e-06-0j -2.86641e-07-0j -2.89612e-07-0j -1.06825e-08-0j -1.07932e-08-0j -0.00140761-0j -0.00174183-0j -0.00101607-0j -0.00021945-0j -0.000271555-0j -0.000158407-0j -0.000169985-0j -2.45353e-05-0j -0.000155175-0j -0.000210346-0j -0.000122702-0j -3.03608e-05-0j -2.74312e-05-0j -0.000192019-0j -1.77105e-05-0j -1.82875e-05-0j -0.000112011-0j -2.28594e-06-0j -1.58374e-05-0j -3.39444e-05-0j -2.26296e-05-0j -3.2328e-06-0j -2.8287e-06-0j -1.98009e-05-0j -1.95978e-05-0j -1.6164e-06-0j -1.32006e-05-0j -1.90495e-07-0j -1.65008e-06-0j -1.14321e-05-0j -4.00039e-06-0j -2.33307e-07-0j -2.0002e-06-0j -2.33356e-06-0j -2.35725e-07-0j -1.50599e-08-0j -1.16678e-06-0j -2.88703e-07-0j -1.37506e-07-0j -4.74343e-10-0j -1.86357e-08-0j -1.6841e-07-0j -5.8697e-10-0j -1.08708e-08-0j -3.42399e-10-0j 
0.000490271-0j -0.0038528-0j 5.00381e-05-0j -0.000973413-0j -0.00011532-0j 0.000441666-0j -0.00336062-0j 5.81946e-05-0j -0.000800506-0j -0.000342992-0j -0.000122981-0j -9.38154e-06-0j 0.0002842-0j 0.000287145-0j -0.00211878-0j -0.00214074-0j 3.5525e-05-0j 2.36833e-05-0j 3.58932e-05-0j -0.00048867-0j 2.39288e-05-0j -0.000493734-0j -0.000279174-0j 2.09333e-06-0j -0.000282067-0j -7.07802e-05-0j 2.11502e-06-0j -4.98747e-05-0j -7.15137e-05-0j -5.03916e-05-0j -8.35606e-06-0j -8.44266e-06-0j -4.67931e-07-0j -4.7278e-07-0j 0.000214161-0j 0.000265011-0j 0.00015459-0j -0.00157429-0j -0.00194809-0j -0.00113638-0j 2.58624e-05-0j -0.000355755-0j 2.36091e-05-0j 3.20031e-05-0j 1.86685e-05-0j -0.000440224-0j -0.000196786-0j 2.92147e-05-0j -0.000256798-0j -0.000131191-0j 1.70419e-05-0j -4.98922e-05-0j 2.40959e-06-0j -0.000243511-0j -0.00016234-0j -4.68748e-05-0j -6.17384e-05-0j -0.000142048-0j 2.98171e-06-0j -1.15957e-05-0j -9.46986e-05-0j -5.55324e-06-0j -3.60141e-05-0j 1.73933e-06-0j -5.80047e-05-0j -5.0921e-06-0j -1.4349e-05-0j -3.3836e-05-0j -6.87178e-06-0j -5.4935e-07-0j -8.37025e-06-0j -6.30115e-06-0j -4.00854e-06-0j -2.42529e-08-0j -6.79786e-07-0j -3.67567e-06-0j -3.00115e-08-0j -3.96542e-07-0j -1.75067e-08-0j 
0.000367703-0j 6.12839e-05-0j -0.00721337-0j -0.000732381-0j 4.51398e-07-0j 0.00033125-0j 5.34552e-05-0j -0.00417278-0j 6.29976e-06-0j -0.00104865-0j -6.14708e-05-0j 2.93473e-08-0j 0.00021315-0j 0.000215359-0j 3.3702e-05-0j 3.40512e-05-0j -0.00254728-0j 1.77625e-05-0j -0.00257368-0j 3.8457e-06-0j 1.79466e-05-0j 3.88555e-06-0j -0.000424547-0j -0.00045344-0j -0.000428946-0j 3.70052e-07-0j -0.000458139-0j -7.54424e-05-0j 3.73887e-07-0j -7.62242e-05-0j -3.12708e-06-0j -3.15949e-06-0j 1.21897e-09-0j 1.2316e-09-0j 0.000160621-0j 0.000198758-0j 0.000115942-0j 2.50412e-05-0j 3.09869e-05-0j 1.80757e-05-0j -0.00185443-0j 2.79969e-06-0j 1.77068e-05-0j -0.00229475-0j -0.0013386-0j 3.46444e-06-0j -0.000299258-0j 2.1911e-05-0j 2.02092e-06-0j 2.08677e-06-0j 1.27814e-05-0j 2.60846e-07-0j -0.000347361-0j -0.000370313-0j 2.58224e-06-0j -3.52679e-05-0j 3.2278e-07-0j -0.000216016-0j -0.000429837-0j -5.32708e-05-0j 1.50631e-06-0j 2.17371e-08-0j 1.88288e-07-0j -0.000250738-0j -4.36418e-05-0j -5.11711e-06-0j -6.59192e-05-0j -2.54577e-05-0j 2.68983e-08-0j -1.64295e-07-0j -3.84529e-05-0j -6.3321e-06-0j 1.56907e-08-0j 5.41268e-11-0j -2.03304e-07-0j -3.69372e-06-0j 6.69785e-11-0j -1.18594e-07-0j 3.90708e-11-0j 
-5.30734e-05-0j 0.000843001-0j -5.41678e-06-0j -0.0049153-0j -0.00178769-0j -4.78118e-05-0j 0.000735312-0j -6.29976e-06-0j -0.0040422-0j 7.50475e-05-0j -0.00126429-0j -0.000194386-0j -3.07656e-05-0j -3.10844e-05-0j 0.000463593-0j 0.000468398-0j -3.8457e-06-0j -2.5638e-06-0j -3.88555e-06-0j -0.00246757-0j -2.59037e-06-0j -0.00249314-0j 6.10838e-05-0j -2.2661e-07-0j 6.17168e-05-0j -0.00072765-0j -2.28958e-07-0j -0.000251845-0j -0.00073519-0j -0.000254455-0j -0.000129536-0j -0.000130878-0j -1.21363e-05-0j -1.22621e-05-0j -2.31836e-05-0j -2.86883e-05-0j -1.67348e-05-0j 0.000344458-0j 0.000426245-0j 0.000248643-0j -2.79969e-06-0j -0.0017964-0j -2.55576e-06-0j -3.46444e-06-0j -2.02092e-06-0j -0.00222294-0j 4.30573e-05-0j -3.16259e-06-0j -0.00129671-0j 2.87049e-05-0j -1.84484e-06-0j -0.000512912-0j -2.60846e-07-0j 5.32807e-05-0j 3.55204e-05-0j -0.000236697-0j -0.000634696-0j 3.10804e-05-0j -3.2278e-07-0j 2.53717e-06-0j 2.07203e-05-0j -8.60865e-05-0j -0.00037024-0j -1.88288e-07-0j -0.000292898-0j -5.23489e-05-0j 3.13959e-06-0j -0.000170857-0j -0.000106527-0j -1.13825e-05-0j 1.83143e-06-0j -6.47784e-05-0j -6.21405e-05-0j -7.55509e-07-0j -1.40852e-05-0j -3.77874e-05-0j -9.34895e-07-0j -8.21635e-06-0j -5.45355e-07-0j 
0.000320958-0j -0.00772244-0j 3.27576e-05-0j 6.68662e-06-0j 3.94013e-07-0j 0.000289138-0j 4.66595e-05-0j -0.00549987-0j -0.000793838-0j 4.76217e-06-0j 5.61227e-07-0j 2.56164e-08-0j 0.000186053-0j 0.000187981-0j 2.94175e-05-0j 2.97224e-05-0j 2.32566e-05-0j -0.00449204-0j 2.34976e-05-0j 3.3568e-06-0j -0.00453859-0j 3.39159e-06-0j -0.000559567-0j 1.37041e-06-0j -0.000565366-0j -4.66306e-05-0j 1.38461e-06-0j 3.42602e-07-0j -4.71138e-05-0j 3.46152e-07-0j 2.85502e-08-0j 2.8846e-08-0j 1.064e-09-0j 1.07503e-09-0j -0.0480149-0j -0.0594154-0j -0.034659-0j 2.18577e-05-0j 2.70476e-05-0j 1.57778e-05-0j 1.69309e-05-0j 2.44377e-06-0j -0.00223125-0j 2.0951e-05-0j 1.22214e-05-0j 3.02401e-06-0j 2.73222e-06-0j -0.00276103-0j 1.76401e-06-0j -0.000527732-0j -0.0016106-0j 2.27685e-07-0j -0.000227726-0j 3.38095e-06-0j -0.000653035-0j -4.64843e-05-0j 2.81746e-07-0j 1.97222e-06-0j -0.000281796-0j 1.60997e-07-0j -0.000380937-0j -2.73912e-06-0j 1.64352e-07-0j -0.000164381-0j -5.75214e-05-0j 2.3238e-08-0j 1.99224e-07-0j -3.35542e-05-0j -3.38948e-06-0j 1.50001e-09-0j 1.16214e-07-0j 2.87555e-08-0j -1.9772e-06-0j 4.72457e-11-0j 1.85616e-09-0j 1.67741e-08-0j 5.84636e-11-0j 1.08276e-09-0j 3.41038e-11-0j 
-5.67379e-05-0j 0.000445875-0j 0.00111305-0j -0.01077-0j 1.33457e-05-0j -5.11129e-05-0j 0.000388917-0j 0.000643874-0j 9.26406e-05-0j -0.00762952-0j -0.00136067-0j 1.0857e-06-0j -3.28898e-05-0j -3.32306e-05-0j 0.000245201-0j 0.000247742-0j 0.000393054-0j -2.74081e-06-0j 0.000397127-0j 5.65526e-05-0j -2.76922e-06-0j 5.71387e-05-0j -0.00308881-0j 6.99673e-05-0j -0.00312082-0j 8.19122e-06-0j 7.06923e-05-0j -0.00110941-0j 8.2761e-06-0j -0.00112091-0j -9.24526e-05-0j -9.34107e-05-0j 5.41525e-08-0j 5.47136e-08-0j 0.00848792-0j 0.0105033-0j 0.0061269-0j 0.000182189-0j 0.000225447-0j 0.000131511-0j 0.000286145-0j 4.11706e-05-0j -2.73222e-06-0j 0.000354087-0j 0.000206551-0j 5.09461e-05-0j -0.00217727-0j -3.38095e-06-0j 2.97185e-05-0j 1.51824e-05-0j -1.97222e-06-0j 5.7739e-06-0j 5.35989e-05-0j -0.00269424-0j 1.87873e-05-0j -0.00051863-0j 7.14483e-06-0j -0.00157164-0j 6.63253e-05-0j -0.000387575-0j 1.09592e-05-0j 6.42662e-07-0j 4.16782e-06-0j 3.86897e-05-0j -0.000641771-0j -0.000113269-0j -0.000479599-0j -0.000374367-0j 7.95254e-07-0j -6.07809e-06-0j -0.000279766-0j -0.000140163-0j 4.63898e-07-0j 2.80673e-09-0j -7.52125e-06-0j -8.17616e-05-0j 3.47315e-09-0j -4.38739e-06-0j 2.02601e-09-0j 
-0.0580726-0j 5.00381e-05-0j 3.06419e-05-0j 6.25476e-06-0j 3.68565e-07-0j 0.000270464-0j -0.00844235-0j 3.56368e-05-0j 5.14373e-06-0j 4.4546e-06-0j 5.2498e-07-0j 2.39619e-08-0j -0.0509022-0j -0.0514297-0j 2.75176e-05-0j 2.78027e-05-0j -0.00420794-0j 1.4503e-05-0j -0.00425154-0j -0.000607363-0j 1.46533e-05-0j -0.000613657-0j 3.62576e-06-0j 1.2819e-06-0j 3.66333e-06-0j 3.02146e-07-0j 1.29518e-06-0j 3.20475e-07-0j 3.05278e-07-0j 3.23796e-07-0j 2.67062e-08-0j 2.6983e-08-0j 9.95282e-10-0j 1.0056e-09-0j 0.000131146-0j 0.000162285-0j 9.46665e-05-0j -0.00598006-0j -0.00739995-0j -0.00431664-0j 1.58374e-05-0j 2.28594e-06-0j -0.00279649-0j 1.95978e-05-0j 1.14321e-05-0j 2.8287e-06-0j -0.000494355-0j -0.00346048-0j 1.65008e-06-0j 1.70384e-06-0j -0.00201861-0j -4.11962e-05-0j 1.47557e-06-0j -0.000611733-0j 2.10839e-06-0j 3.01199e-07-0j -5.09777e-05-0j -0.000356844-0j 1.82592e-06-0j 1.50599e-07-0j 1.22989e-06-0j 1.77483e-08-0j -2.9737e-05-0j 1.06512e-06-0j 3.72714e-07-0j 2.17371e-08-0j 1.86357e-07-0j 2.17417e-07-0j 2.19624e-08-0j 1.40313e-09-0j 1.08708e-07-0j 2.68983e-08-0j 1.28114e-08-0j 4.41943e-11-0j 1.73628e-09-0j 1.56907e-08-0j 5.46877e-11-0j 1.01283e-09-0j 3.19012e-11-0j 
4.72815e-06-0j -0.000113045-0j 4.82565e-07-0j 0.00134193-0j -0.0150707-0j 4.25941e-06-0j -9.86039e-05-0j 5.61227e-07-0j 0.00110356-0j -1.00637e-05-0j -0.0051965-0j -0.0024755-0j 2.74081e-06-0j 2.76922e-06-0j -6.2167e-05-0j -6.28112e-05-0j 3.42602e-07-0j 2.28401e-07-0j 3.46152e-07-0j 0.000673673-0j 2.30768e-07-0j 0.000680654-0j -8.19122e-06-0j 2.0188e-08-0j -8.2761e-06-0j -0.00299079-0j 2.03972e-08-0j 6.87564e-05-0j -0.00302179-0j 6.9469e-05-0j -0.00109202-0j -0.00110334-0j -0.000206726-0j -0.000208868-0j -0.000707326-0j -0.000875272-0j -0.000510575-0j -4.61912e-05-0j -5.71587e-05-0j -3.33426e-05-0j 2.49416e-07-0j 0.000490438-0j 2.27685e-07-0j 3.08637e-07-0j 1.80038e-07-0j 0.000606886-0j -5.7739e-06-0j 2.81746e-07-0j 0.000354017-0j -3.84926e-06-0j 1.64352e-07-0j -0.00210818-0j 2.3238e-08-0j -7.14483e-06-0j -4.76322e-06-0j 6.46209e-05-0j -0.00260873-0j -4.16782e-06-0j 2.87555e-08-0j -3.4023e-07-0j -2.77855e-06-0j -0.000725733-0j -0.00152176-0j 1.67741e-08-0j 7.99642e-05-0j -0.000215165-0j -4.21013e-07-0j 4.66458e-05-0j -0.000898049-0j -0.000144957-0j -2.45591e-07-0j -0.000266253-0j -0.000523862-0j -1.61145e-05-0j -0.000179375-0j -0.000155314-0j -1.99406e-05-0j -0.000104635-0j -1.1632e-05-0j 
0.000208004-0j 3.46674e-05-0j 2.12294e-05-0j 4.33342e-06-0j 2.5535e-07-0j -0.0911805-0j 3.02388e-05-0j 2.46899e-05-0j 3.56368e-06-0j 3.08624e-06-0j 3.63717e-07-0j 1.66013e-08-0j 0.000120576-0j 0.000121825-0j -0.00927688-0j -0.00937302-0j 1.5072e-05-0j 1.0048e-05-0j 1.52282e-05-0j 2.17545e-06-0j 1.01521e-05-0j 2.198e-06-0j 2.512e-06-0j 8.88125e-07-0j 2.53803e-06-0j 2.09333e-07-0j 8.97329e-07-0j 2.22031e-07-0j 2.11502e-07-0j 2.24332e-07-0j 1.85026e-08-0j 1.86944e-08-0j 6.89552e-10-0j 6.96698e-10-0j 9.08609e-05-0j 0.000112435-0j 6.55869e-05-0j 1.41654e-05-0j 1.75288e-05-0j 1.02252e-05-0j -0.00533921-0j -0.000770649-0j 1.00165e-05-0j -0.00660694-0j -0.00385405-0j -0.000953629-0j 1.77068e-06-0j 1.23948e-05-0j -0.000556284-0j 1.18045e-06-0j 7.23027e-06-0j 1.47557e-07-0j 1.0223e-06-0j 2.1911e-06-0j 1.46074e-06-0j 2.08677e-07-0j 1.82592e-07-0j 1.27814e-06-0j 1.26503e-06-0j 1.04338e-07-0j 8.52096e-07-0j 1.22964e-08-0j 1.06512e-07-0j 7.37937e-07-0j 2.58224e-07-0j 1.50599e-08-0j 1.29112e-07-0j 1.50631e-07-0j 1.5216e-08-0j 9.72115e-10-0j 7.53154e-08-0j 1.86357e-08-0j 8.876e-09-0j 3.06187e-11-0j 1.20293e-09-0j 1.08708e-08-0j 3.78887e-11-0j 7.01709e-10-0j 2.21018e-11-0j 
-5.00381e-05-0j -0.0567673-0j -5.10699e-06-0j 9.93486e-05-0j 1.17698e-05-0j -4.50774e-05-0j 0.000342992-0j 0.000857443-0j -0.0117947-0j 3.50065e-05-0j 1.25517e-05-0j 9.575e-07-0j 0.0084837-0j 0.00857161-0j 0.000216247-0j 0.000218488-0j -3.62576e-06-0j 0.00070032-0j -3.66333e-06-0j 4.98747e-05-0j 0.000707578-0j 5.03916e-05-0j -0.00411336-0j -2.1365e-07-0j -0.00415598-0j -0.00104288-0j -2.15864e-07-0j 5.09032e-06-0j -0.00105369-0j 5.14307e-06-0j 8.52837e-07-0j 8.61675e-07-0j 4.7758e-08-0j 4.82529e-08-0j -2.18577e-05-0j -2.70476e-05-0j -1.57778e-05-0j -0.0469944-0j -0.0581525-0j -0.0339223-0j -2.63957e-06-0j 3.63091e-05-0j 0.000347857-0j -3.2663e-06-0j -1.90534e-06-0j 4.49302e-05-0j 2.00844e-05-0j 0.000430451-0j 2.62093e-05-0j -0.00387933-0j 0.000251096-0j 5.0921e-06-0j 3.5503e-05-0j 2.48532e-05-0j -0.00480043-0j -0.000690656-0j 6.30115e-06-0j 1.44977e-05-0j 4.39327e-05-0j 1.18349e-06-0j -0.00280025-0j -8.18216e-05-0j 3.67567e-06-0j 2.56274e-05-0j -0.000854643-0j 5.1971e-07-0j 1.46449e-06-0j -0.000498542-0j -0.000101249-0j 5.60678e-08-0j 8.54285e-07-0j 6.43108e-07-0j -5.9062e-05-0j 2.4753e-09-0j 6.93804e-08-0j 3.75147e-07-0j 3.06303e-09-0j 4.04719e-08-0j 1.78677e-09-0j 
-3.06419e-05-0j -5.10699e-06-0j -0.0571675-0j 0.000122702-0j -3.76165e-08-0j -2.76041e-05-0j -4.4546e-06-0j 0.0006991-0j -5.2498e-07-0j -0.00831077-0j 1.02987e-05-0j -2.4456e-09-0j 0.00519518-0j 0.00524902-0j -2.8085e-06-0j -2.8376e-06-0j 0.000426767-0j -1.48021e-06-0j 0.000431189-0j -3.20475e-07-0j -1.49555e-06-0j -3.23796e-07-0j 7.11278e-05-0j -0.00725034-0j 7.18649e-05-0j -3.08377e-08-0j -0.00732547-0j -0.000597897-0j -3.11573e-08-0j -0.000604093-0j 5.23906e-07-0j 5.29335e-07-0j -1.01581e-10-0j -1.02633e-10-0j -1.33851e-05-0j -1.65632e-05-0j -9.66186e-06-0j 0.000610338-0j 0.000755254-0j 0.000440565-0j 0.000310689-0j -2.33307e-07-0j -1.47557e-06-0j 0.000384458-0j 0.000224267-0j -2.88703e-07-0j 5.01372e-05-0j -1.82592e-06-0j -1.6841e-07-0j -1.73897e-07-0j -1.06512e-06-0j -2.17371e-08-0j -0.00275291-0j 6.20416e-05-0j -2.15187e-07-0j 5.90873e-06-0j -2.68983e-08-0j 3.61909e-05-0j -0.00340655-0j -0.00085178-0j -1.25526e-07-0j -1.81143e-09-0j -1.56907e-08-0j -0.00198715-0j 7.31167e-06-0j -4.05541e-05-0j -0.00105402-0j 4.26514e-06-0j -2.24153e-09-0j 2.75257e-08-0j -0.000614847-0j -5.01832e-05-0j -1.30756e-09-0j -4.51057e-12-0j 3.40613e-08-0j -2.92735e-05-0j -5.58154e-12-0j 1.98691e-08-0j -3.2559e-12-0j 
