-0.189729+0.298926j 0.303495+0.117877j 0.0438586+0.25063j -0.300327-0.0910127j -0.218865+0.289458j -0.216918-0.0248903j -0.244548+0.22229j -0.316069-0.317691j 0.0378808-0.285408j -0.131794-0.099136j 0.0345361+0.0400669j -0.0555176+0.0356608j 0.0642588-0.114604j 0.0151913+0.00832149j -0.0237841+0.0114947j 0.0717154-0.0107657j -0.0743125+0.00265362j 0.00576469+0.0895994j 
-0.00677843-0.0650461j -0.0520807-0.0222354j -0.21807+0.0256767j -0.0362017-0.108987j 0.018199+0.00318915j 0.0210752-0.0321284j 0.00937971+0.187643j -0.0507967+0.0605825j 0.0546996-0.124127j -0.4486-0.201405j 0.199012-0.273741j 0.0995025-0.0654805j -0.000777201+0.0322083j 0.0466854-0.22455j -0.0387361+0.0102517j -0.177174+0.218935j 0.25631-0.0012986j 0.0281844-0.335893j 
0.108243+0.160866j 0.144191-0.117897j -0.0346103+0.0516063j 0.0587452-0.067563j -0.00859838-0.0502279j 0.055596+0.0671043j 0.102073-0.27227j 0.0287388-0.0728331j 0.20531+0.022032j -0.0469597-0.00966527j 0.0373867-0.25839j 0.156528+0.234238j 0.0470007+0.0444885j 0.217836-0.131401j 0.16063+0.401263j 0.501096-0.0425891j 0.0606023+0.146176j 0.0870889-0.033955j 
0.0195295-0.0472514j -0.0425347-0.0222661j -0.101644-0.00735995j 0.0151659-0.0455424j 0.023111-0.00832291j 0.0247332+4.06016e-05j 0.0223116+0.0713155j 0.012546+0.0540239j 0.061746-0.0189527j -0.198846-0.107757j 0.0517627-0.0727625j 0.0909238+0.00723288j -0.132891+0.0201497j 0.04434-0.114756j -0.0666799-0.0428564j -0.0126777+0.0582306j 0.0980046+0.014471j -0.079512-0.141526j 
-0.0163578-0.0505433j -0.0513154+0.00987135j -0.00351696-0.0354798j -0.00729739-0.00627615j 0.029743+0.0182859j -0.00844044+0.00365344j -0.0551336+0.101281j -0.00237309+0.0482946j -0.0172056+0.00974183j 0.0205606-0.0481488j -0.00293442+0.012119j 0.0214526-0.115187j -0.015761-0.00432611j -0.114128-0.0202685j -0.0176334-0.0428986j -0.109516+0.110003j -0.0192362-0.00468666j -0.0315172-0.0679094j 
0.0134473-0.00781443j -0.0300558-0.00728424j 0.00324334+0.011549j 0.00654295-0.0451169j 0.0637215-0.0130883j 0.0221781+0.0134135j 0.0357168+0.00241061j 0.0410351-0.0240578j -0.00281735-0.00760878j -0.025073-0.00303065j 0.0135754-0.0444205j -0.0215924+0.0152651j 0.0251723-0.0182589j 0.0190896+0.00846786j 0.0187105+0.0143922j -0.0229578-0.00461004j 0.0460585+0.00703806j 0.0175859-0.0128573j 
-0.0315373+0.0128904j -0.0114006-0.0287939j -0.0146455+0.0175559j -0.00117694-0.00382007j 0.0012817+0.00918796j -0.0181738+0.0260242j -0.019915-0.00731417j 0.0400057+0.00557876j 0.0147157-0.0178055j -0.0214163+0.049572j 0.0208934-0.0375158j -0.0467572+0.0507213j -0.00981342-0.00978979j 0.062888+0.0178695j -0.0079593-0.0173285j -0.0271554-0.0481393j 0.0102621-0.00423623j -0.00171577-0.00827236j 
-0.00034145+0.0268758j -0.0105471+0.0201663j -0.0283298+0.012483j 0.023741+0.0418645j -0.0312333+0.0298969j 0.0208516-0.0148523j 0.0289508+0.0366381j 0.0169523+0.0118316j -0.0217448-0.0126611j 0.000649013-0.0302529j -0.0278497+0.0263191j 0.0285466+0.00428762j 0.0804358+0.00903051j 0.0132818-0.0253357j 0.00498825-0.0256267j 0.010409+0.0141509j 0.0158365+0.00425386j 0.00199174+0.00399298j 
-0.0493232-0.0243393j 0.000424303-0.00196735j 0.0072111-0.0399864j -0.0314299-0.0102077j 0.0204019-0.0121529j -0.016745+0.0304908j 0.0386911+0.044618j 0.022456+0.0203736j -0.0269943+0.0329363j -0.0324039-0.0202953j -0.0379502+0.0894662j 0.0591724-0.00186082j 0.127892+0.00978097j 0.00978364-0.0457876j -0.00844279-0.0709999j -0.0064161+0.0208283j 0.00655177-0.00549606j -0.00104983-0.0015486j 
0.00540929+0.012789j 0.00420985-0.00483284j 0.00850873+0.00203747j -0.00722572-0.00693595j 0.00376968-0.0066003j 0.00551272+0.00142533j -0.0125252-0.0132612j -0.0125929-0.00999075j -0.007579-0.0037049j 0.0299126+0.00298838j 0.0209496-0.059818j -0.0258652-0.0292327j 0.0663401-0.00978443j -0.0442294+0.012582j 0.026236+0.0677767j -0.0147466+0.0162641j 0.00264574+0.0234341j 0.0353884-0.00567311j 
-0.00542958-0.0326969j -0.0206314+0.000530835j -0.035149+0.0103846j 0.00705977+0.0165451j -0.00741718-0.0034553j 0.0123482-0.034981j 0.0195805-0.00983047j 0.00264905+0.0333654j -0.0454273+0.00349938j -0.0730708-0.0303679j 0.00600235-0.0493024j -0.0274074+0.00191958j 0.0374257+0.000419529j 0.0248201+0.0170876j -0.0153181-0.0159907j -0.0670782-0.0122716j 0.0526705+0.00530704j -0.00393612-0.03481j 
0.0150774-0.0116653j -0.0125404-0.027467j -0.0210166-0.0107818j 0.00680192-0.00589416j -0.0113085-0.0117248j 0.0414051+0.00239914j -0.00776568+0.0125445j -0.0131569+0.0257475j 0.0472785+0.0276247j -0.0204919-0.00824044j 0.0143096-0.0274259j 0.0110916-0.0190236j -0.0162144-0.0115037j -0.0474559-0.00480202j 0.0120862+0.0616679j -0.0037948+0.025826j 0.0492393+0.0105214j 0.010862+0.00916892j 
