-0.0183001+0.0175842j -0.000553936+0.0245345j 0.0332931-0.0659436j 0.022486-0.00210454j 0.0109218+0.0158511j -0.00162044+0.00139233j -0.00198802-0.0363817j 0.0645597+0.00661252j -0.028629-0.00292076j 0.0114446+0.0018582j -0.00178426+0.0256861j 0.0262482-0.0136497j -0.00603974+0.0213802j -0.0401069+0.0267292j -0.000168533-0.0180426j -0.0140123-0.0101541j 0.016294-0.0162003j 0.0150977+0.0213386j 0.00285891+0.0124339j 0.00561896-0.014938j -0.00475118+0.00590199j 0.0193321-0.0173942j -0.00834985-0.00920823j -0.0149066-0.0166663j 0.0241925+0.0346144j 0.0583575-0.0115005j 0.0131942-0.0110736j 0.0259188-0.00839656j 0.00479807+0.0202389j 0.00203579-0.00780187j -0.0100238+0.0129398j 0.0049608-0.00117723j 0.0163565+0.00398224j -0.0155713+0.013385j 0.0157191-0.00819418j -0.00220582+0.0107446j -0.0132931-0.0122582j 0.00256687+0.0101227j -0.00339784-0.00228228j 0.0181589+0.0135894j 0.00159018+0.0114655j -0.000388728-0.00583888j -0.0112671-0.00928871j -0.0246819+0.000966697j -0.0106691+0.0194755j 0.00963104-0.0135284j -0.00778451-0.00449465j -0.0178683+0.00452357j -0.00383628-0.00261544j -0.000765765+0.0113115j -0.00577146+0.00352039j 0.0161192+1.09926e-05j -0.012324-0.0157876j 0.00611669+0.0209875j -0.00256375+0.00613635j 0.0183675-0.0048722j -0.0127224-0.00816958j -0.00875547-0.0089893j 0.00270888-0.00188007j 0.0146221-0.0316068j -0.0196721+0.00384854j 0.000818824+0.00463129j 0.0222881-0.00903723j 0.0132688-0.0105079j -0.0213303+0.0163612j -0.0115756-0.014343j 0.00752637-0.0217557j 0.0213392-0.0245334j -0.0106268+0.00491527j 0.0182374+0.0467959j 0.027894+0.0140389j 0.0298259-0.00376768j -0.0221944-0.0095912j 0.0167845-0.000485815j -0.0310881-0.00783838j 0.010559-0.0133255j -0.020871+0.0172908j 0.00602944+0.0314406j 0.00989853+0.0210424j 0.000992918+0.0269902j -0.0146802+0.0277578j 0.0380826-0.0160423j -0.015766-0.0620376j 0.0607391+0.0182606j -0.0158465-0.00499734j -0.0198155-0.0508219j 0.0319068+0.0331775j 0.0407384-0.0279973j 0.0804379+0.0112441j -0.00559052+0.0117701j 0.0136538+0.011634j -0.0130699-0.0864679j 0.142055-0.00460542j 0.000972778+0.016178j 0.0227496-0.0155537j 
-0.00342679+0.0255364j 0.0198881-0.00795898j 0.0421003-0.00437304j -0.00427474+0.0515161j 0.00104576+0.00874428j -0.0101818-0.0130861j 0.0504016-0.0175396j 0.00450145+0.0174588j -0.0144193+0.00208259j 0.00196392-0.015613j -0.00904965+0.00986233j 0.017331+0.00419218j -0.0086188+0.00980505j -0.021731-0.0363028j -0.0269265-0.0188919j -0.00873267+0.00922046j -0.00165027-0.00447785j -0.00501841-0.01447j -0.0226226-0.021196j 0.01588+0.00937009j 0.0285245-0.0120696j 0.0126837-0.00318908j -0.00978117-0.00181593j -0.01403+0.0166214j -0.00654546-0.0107692j -0.0117535-0.0334679j 0.0130782-0.00567812j -0.0310664-0.0126694j 0.00793338-0.00114116j 0.00380541-0.00161516j 0.0210007+0.0103708j 0.00119868-0.0112215j 0.00643702+0.00934061j 0.00475145+0.00378282j -0.00397716+0.0156817j 0.00739841+0.0270155j 0.00572589+0.0136523j -0.00612044+0.00814359j -0.00453307+0.0080118j -0.00985103-0.0101158j 0.0131244+0.000556721j -0.0158644+0.0124479j -0.00441245+0.0312423j -0.00498397+0.00587303j 0.0151633+0.0010318j -0.0129049-0.00447333j -0.0103898+0.00115348j -0.0068237-0.00221228j 0.00077445+0.000115855j 0.00176706+0.005919j 0.0131971+0.0236397j 0.00681188-0.0152571j -0.00933676+0.00478702j 0.00793287-0.00559206j 0.0158918-0.0209645j 0.0242897-0.0104116j 0.0271232+0.0230809j 0.0114574+0.00740615j -0.0214611+0.0160182j 0.0021195-0.010944j -0.00560406-0.00740503j 0.00362064+0.00432685j -0.0137261+0.000123911j -0.0335636+0.0111968j 0.026808+0.00639519j -0.000912514-0.0102949j -0.0152601-0.00211409j -0.0317679+0.00614298j -0.00241561-0.0175374j 0.0450619+0.00639564j 0.0143354-0.0266167j 0.00848367-0.0392052j -0.027007+0.00467295j 0.0107197+0.0243672j 0.00627432+0.0055087j -0.03004+0.00672917j -0.00929022-0.0126562j -0.0183033-0.0243689j 0.00671676+0.00152605j -0.0122256+0.0137022j 0.0199662-0.0138635j 0.043591+0.0153346j 0.0230452+0.015177j -0.0247235+0.0480689j 0.00452876-0.0158023j 0.0539037-0.00927379j -0.0253926+0.0196495j 0.0116841-0.0347614j 0.00752298+0.0794598j -0.023445-0.00422814j -0.00783864+0.0114664j 0.108799-0.00844847j 0.0178917+0.102082j -0.0121022+0.021734j 2.48107e-05+0.0292845j 
-0.00148337-0.00556616j -0.00562179+0.00747361j -0.063493-0.0124263j 0.0240422-0.0265049j 0.00682413-0.0090916j -0.00229805+0.00449591j -0.0442647+0.00606683j -0.0160653-0.00545499j -0.0116682+0.000626331j -0.0186881+0.0120791j 0.0214359-0.0284779j -0.0494576+0.00804731j 0.0197248-0.0346973j -0.00227967+0.0153159j 0.0326833+0.0341436j 0.0143506-0.00714426j -0.0212413+0.00120295j -0.0110094+0.0189715j 0.00238047-0.0047051j -0.0238326-0.0115152j -0.00697042-0.0052295j 0.00745817+0.00145955j 0.000786494+0.00177982j 0.0249485+0.00304685j -0.00361117+0.000433222j -0.0146124+0.0163801j -0.0143143+0.00739421j 0.0301243+0.00244783j -0.00708501-0.0330996j -0.015256+0.00343654j -0.0273952-0.0222515j 0.0124903+0.0188041j -0.0289556-0.00123158j -0.000101865+0.0113976j -0.0146216+0.00296783j -0.0224428+0.000639156j -0.0180932-0.0115907j 0.0194932+0.00116214j 0.028395+0.00260686j 0.00167805+0.0183868j -0.00644132+0.0067073j 0.00789433-0.0121176j 0.00623729-0.0127699j 0.00916226-0.00170789j -0.00327374-0.0121767j 0.0135973-0.0181383j 0.0165739+0.0121593j 0.0185425-0.0237465j 0.00239619+0.00745139j -0.0327508-0.0149327j -0.0245036-0.00189884j -0.0140784+0.00536198j 0.00836293-0.00370359j 0.00626117+0.00263071j 0.0170201+0.00728417j -0.0184648+0.0146549j -0.027944-0.00492344j -0.022316+0.0070552j 0.013563+0.000842934j 0.0100582+0.0164919j 0.0337747+0.0143974j -0.0226143-0.00575654j -0.0316868-0.0011043j -0.01809+0.00322053j 0.00971222+0.00855586j 0.00996831-0.00888539j -0.0105761-0.000832416j 0.0181973+0.0157969j 0.0122365-0.0238319j -0.0242554-0.0138501j -0.0517249+0.0141786j 0.00541996+0.00248887j 0.00175676-0.0368505j -0.0106148+0.000233398j -0.000284704-0.0036587j -0.0143168+0.00353359j 0.00247772+0.0204209j -0.0360461+0.00196484j 0.000788441-0.0209463j -0.00278915+0.0232192j 0.00685781-0.0182551j -0.087995-0.0370327j 0.0185099-0.00157005j -9.74931e-05+0.0131681j -0.010978-0.0230047j 0.0456838-0.0352259j 0.00290161+0.044846j -0.0887221-0.0163492j -0.00742208-0.0392933j 0.008648+0.0157371j 0.0151015-0.00614565j 0.00489504-0.0312254j -0.0238174-0.0278789j -0.0210067-0.00264401j -0.0146636+0.00201666j 
0.0155255-0.0101844j -0.00187436-0.0103016j -0.0336857+0.0343574j -0.0269783-0.0110933j 0.00686246-0.00174806j 0.0175241-0.00928977j -0.0141331+0.0251901j -0.0267105-0.0264507j 0.0119853+0.0160538j 0.0142702-0.0121651j -0.0284869+0.0183025j -0.00352179+0.00931297j -0.01758-0.0141457j 0.0418424-0.00351468j -0.00192001+0.00638473j -0.0185198+0.0067297j 0.0023166+0.0289856j 0.0059365+0.00101931j 0.00830511+0.00686451j 0.0107359-0.0106263j -0.000886637+0.00417302j -0.0122258-0.00527287j 0.0182734+0.00749846j 0.00977938+0.0132911j -0.0306032-0.0184257j -0.0130145+0.0203326j 0.0143225+0.00328313j -0.0147359-0.00337627j -0.00116003+0.00157324j -0.00193213+0.0243368j 0.000579173+0.0013838j -0.00363495+0.00793114j 0.00589306-0.00526018j -0.00905677-0.00981293j 0.00304132-0.0154721j 0.0184879-0.0365233j 0.012862+0.0146767j -0.022378-0.00273066j 0.0164821+0.00231651j -0.0213242-0.014131j -0.0114127-0.0281504j 0.01834-0.0100798j 0.00386126-0.00542406j 0.0240076+0.00213637j 0.00262752-0.0155046j 0.000346709+0.0243245j 0.00294018-0.0137874j 0.0266806+0.00764311j -0.00724431-0.00519027j 0.0310447-0.0145984j 0.0159276-0.00345341j -0.0117397+0.00620484j 0.00247765+0.0327995j -0.018478-0.0168202j -0.0170081+0.0147008j -0.0290094+0.0152336j 0.0325318-0.0058106j -0.00146487-0.00609716j 0.00334745+0.00685542j 0.0017957+0.0313884j 0.0010653-0.0270601j 0.0271913+0.00143364j -0.00459691-0.00505065j 0.0111186+0.015635j 0.00106727+5.59222e-05j -0.00270304+0.0333062j 4.44949e-05+0.0111534j -0.0212126+0.00381056j -0.0113587+0.00685168j -0.00312924-0.0349728j -0.0316541-0.000238243j -0.0305327-0.021686j -0.0143846-0.00848351j -0.0350196-0.0124822j 0.0293543-0.00504383j 0.0236983+0.0379899j 0.0184492-0.0170097j -0.00500749-0.00566389j -0.0147667-0.00288714j -0.00607649+0.0105502j 0.0148064-0.0168154j -0.0181914+0.0375211j 0.0297354+0.0573157j -0.0204066-0.0388373j -0.0550732+0.0284578j -0.0377189+0.00636171j 0.0206802-0.00913014j -0.00360128+0.0434093j -0.0520332-0.0172099j 0.0196481-0.0177883j -0.011784-0.00831389j -0.00307282+0.0132254j -0.0497981+0.00541315j -0.0117641+0.031726j 0.0285945+0.0129257j 
-0.000294542+0.00440086j -0.00544884-0.00443685j 0.0401902-0.0140546j 0.00276193-0.00763652j 0.0046122-0.0083428j -0.00472303-0.00376692j 0.0221376-0.0362263j 0.0360458-0.00852185j 0.0386759-0.0119638j 0.028941-0.0130499j -0.023014-0.0036626j 0.0293885+0.0158966j -0.00243355-0.00912148j -0.0377872+0.0304491j 0.00385346-0.00379398j -0.00651233-0.0128862j -0.0140076+0.00896597j 0.0167263-0.00631576j -0.00708801+0.0139176j -0.0164598-0.0101049j 0.0168705+0.0242353j -0.0107402-0.00100331j -0.0270353+0.0030778j -0.000288802-0.0271039j 0.0339561+0.00525433j 0.0159623-0.01375j 0.0094765+0.00689654j 0.00668668-0.0169436j 0.0135398-0.0104751j 0.00871579+0.0131225j 0.0188511+0.0246481j -0.0172851+0.0142373j 0.00789266+0.00414943j -0.026177+0.00248028j 0.0351329-0.0120488j 0.0187818-0.00855346j 0.0021351+0.00480721j -0.0053639+0.00976418j 0.0387077-0.0192922j 0.00881438-0.00291137j -0.0301742-0.0143351j 0.0180799-0.00653443j -0.00303033-0.0205451j 0.000715686-0.0194418j -0.0254703-0.00263022j 0.0306558+0.000921919j -0.00873384+0.0141864j 0.00421182-0.00462299j -0.00336998+0.000971992j -0.0052508-0.0154449j 0.00439981+0.0153858j -0.00603389+0.0176228j 0.000450032-0.00385347j -0.00334804-0.00694097j -0.00122875+0.0190308j -0.0261351+0.0143414j 0.00227117-0.0258796j -0.0213208-0.0218475j 0.0245158-0.00631709j 0.0102122+0.0208194j -0.0151013-0.0105354j 0.0340153-0.0041207j 0.0298597-0.00312201j 0.00826212+0.00541809j -0.018018+0.0157175j -0.000589874+0.0198692j -0.0044229-0.00723324j 0.0157269-0.000930216j -0.0306429-0.00772973j 0.00291957-0.01005j -0.0296881-0.0154937j -0.0113458+0.00587417j 0.0125312+0.00266419j 0.000236498-0.00128575j 0.0152204-0.00632524j 0.027806+0.00536485j -0.0289068-0.00813078j 0.0304648+0.0246623j 0.00506693-0.0285736j -0.0196388-0.0237432j -0.00174513+0.0185105j -0.00522574+0.00813492j -0.0693287+0.000915914j 0.0306573-0.0573084j -0.0710965-0.0392013j -0.0303943+0.00741299j -0.0222985-0.0529356j 0.0394605+0.0126524j -0.0100494+0.0140409j 0.0126118-0.0103732j -0.0116304-0.0133322j -0.014473+0.0380007j -0.0162964+0.00673415j -0.018646-0.0139168j -0.00662561+0.0314578j 
0.00116998-0.0184935j -0.0164+0.000446325j 0.00804672+0.00262157j -0.02328-0.0197855j 0.000141358-0.00875108j 0.00235909+0.0120795j -0.0173705+0.00801009j 0.0224176-0.00204661j 0.00909169+0.030032j 0.032298+0.00015992j -0.0252921-0.0115945j 0.0173086+0.00554287j -0.0210742+0.0141689j 0.0167787+0.0290843j -0.00341947-0.00137122j 0.00962102+0.0056183j -0.00320914-0.00298779j -0.000106178-0.00400339j 0.00576973+0.0142749j 0.0211096+7.35168e-05j -0.0322396-0.0038013j -0.0185554-0.00989352j -0.00614123-0.0177492j 0.0234273-0.019916j -0.00718388+0.016713j 0.0234127+0.0208636j 0.00395266+0.0129697j -0.00144518+0.00641436j -0.00271107+0.0168724j 0.0023986-0.00333492j -0.00641576-0.0134652j 0.00615349+0.00601654j 0.0147592-0.0171917j -0.015619-0.0139918j -0.0114124-0.014086j -0.00586141+0.00294725j 0.008282+0.00132403j 0.0130484+0.00751704j -0.0198316+0.028043j -0.0115053+0.00486827j -0.000319455+0.00661567j 0.00808466-0.00774798j 0.0128641-0.0316879j -0.0152891+0.00406805j 0.00366879+0.0160177j 0.00957213-0.00917185j 0.0104301+0.00534389j 0.0147538-0.0112676j -0.0217857+0.00200635j -0.000343605-0.00168526j 0.00486002-0.0142595j 0.00924683-0.00220858j 0.015237-0.000236262j -0.00550489+0.00841916j -0.0151405+0.01827j 0.0147792+0.0106382j -0.00984811+0.0133138j -0.014634-0.010055j 0.00629342-0.040571j 0.0249848+0.0322924j -0.0390712+0.0130945j -0.0018912-0.0227255j 0.0296182-0.00515182j 0.00617061-0.0144788j -0.0371058+0.0058829j 0.0211467-0.0136608j 0.0119072-0.0220782j 0.0171664-0.00788169j 0.00766569-0.00102345j -0.0358025+0.0194359j 0.0459553+0.00215854j 0.0282396+0.0376842j 0.0160849-0.0100021j 0.0350639-0.0215608j 0.0107453+0.0214875j -0.0060632+0.0107096j 0.000926622-0.0166659j -0.00697209+0.0455203j -0.0283945-0.0212662j 0.0384124-0.00737172j -0.0213737+0.0566736j 0.00284859+0.0222225j -0.0229476-0.0603672j 0.0765717-0.0307266j 0.0368304-0.0372897j -0.025688-0.0170398j 0.0618147-0.0135307j 0.00585617+0.0666506j -0.0012744-0.0638098j 0.014438+0.0160771j 0.0175997-0.0202155j -0.0624963+0.0106789j 0.00779713-0.0464933j -0.0113532-0.022525j 0.00161364+0.00439279j 
0.00987668+0.00119278j -0.00366207-0.00137591j -0.0776645-0.00966531j 0.0259156-0.0148773j 0.0191826+0.000334351j 0.00189273-0.000182693j -0.0476396+0.00371524j -0.018171+0.0014065j -0.0260603+0.00369553j -0.016876+0.0103773j -0.0160952-0.0103152j -0.0428515-0.00429792j 0.00499719-0.0447275j 0.0336608-0.0100963j 0.0204555+0.0414164j -0.0236039-0.00158935j -0.00131111+0.0222365j 0.0003718+0.0421146j 0.00122338+0.00214953j 0.00657558-0.0196108j -0.0113265-0.0269333j -0.0149812-0.0185274j 0.00757424+0.0184782j 0.0303241+0.0140299j -0.0561367-0.000737246j 0.00473669+0.0284118j 0.00312627-0.0103878j 0.0130555+0.00301642j -0.0115582-0.0118452j -0.0151321+0.00473588j -0.0367283-0.0258592j 0.00939425+0.0162916j -0.0185346-0.00434575j -0.00178461+0.00983355j -0.0154223-0.00260401j -0.0178819-0.0105218j -0.00972446-0.0111087j 0.00125796-0.00163608j 0.0257955+0.00502469j -0.00992021+0.00528679j -0.000412318-0.0042772j -0.00210992-0.0296031j 0.00264153-0.0133281j 0.0246942+0.0119363j 0.0035139-0.0122388j 0.00435351+0.0114775j 0.0193273-0.00689183j 0.0161781-0.00651398j 0.00276457+0.00551158j -0.00122536-0.0192258j -0.00689932-0.0173164j -0.0163444-0.000991803j 0.00828039+0.003217j -0.00619964+0.000152891j -0.0115397+0.0135877j -0.00605646+0.00543125j 0.0197434+0.00353841j -0.0105854+1.54996e-05j 0.00116134+0.00376168j -0.000728441+0.00484603j -0.00349697+0.00774999j -0.0106401+0.000725406j -0.0211112-0.000335424j 0.00153724+0.000905315j 0.0143304-0.00704448j 0.0380067+0.0038763j -0.00101998+0.013658j 0.00145188-0.00637112j 0.0147359-0.031842j -0.0188976+0.00828503j -0.038732+0.0253653j 0.00609507+0.0257034j -0.0204762-0.053637j -0.0209533+0.00226687j -0.0336108-0.00442895j -0.0123891+0.00990363j 0.00384333+0.026741j 0.00187495-0.0127296j -0.00111559-0.04427j -0.0213656+0.0305962j 0.0137002-0.00847709j -0.037249-0.0278739j 0.00333186+0.0213909j -0.0158984+0.0184635j -0.00676012+0.00261058j 0.0161453-0.0268262j 0.00769847+0.0262158j -0.0410381-0.00514357j 0.00235361-0.0340204j -0.00791398+0.00701203j 0.000497764+0.00313133j 0.00227593-0.0239734j -0.0222763-0.0151715j -0.0117478+0.0109417j -0.00588112+0.0105903j 
0.00518949+0.00347384j 0.00714719-0.0085041j 0.0118927+0.0363579j -0.0207109+0.0280898j -0.00318277+3.52546e-05j 0.00754061-0.0189548j 0.0165295+0.0493243j -0.0040927+0.0065631j 0.0146087-0.0281839j 0.000450302-0.0279927j -0.0030677+0.0138601j 0.0165311+0.00319435j -0.00705345+0.0164753j 0.0114327-0.0389251j 0.00290455+0.016246j -0.0194-0.0487069j 0.011175+0.0210739j 0.021393-0.0137599j 0.00204718-0.0182868j -0.0027307-0.00345544j -0.00324212-0.0200143j -0.016355-0.00451413j 0.0144057+0.0615761j -0.0198689+0.0206805j -0.00874769-0.0269071j -0.0138848+0.000243598j -0.0166005-0.0286045j 0.00716702+0.0140872j 0.00518386+0.00327422j -0.00167474+0.00949209j 0.0375941+0.0237972j -0.014358-0.00851561j 0.00466441-0.0156238j 0.014876-0.0168522j 0.0408259+0.00947089j 0.0129093-0.0134606j 0.013811+0.0119664j -0.0389183-0.0169049j -0.0131344-0.00960272j 0.00947106-0.00449134j -0.00300869+0.0063919j -0.0065304-0.00123247j 0.0168494-0.00181387j -3.85546e-05-0.0140015j -0.00052089-0.0080481j -0.0285178+0.00767495j 0.00207212-0.0121075j 0.00065029+0.0164012j 0.0136681-0.0096227j 0.00883604+0.0139157j 0.000720398-0.00547935j 0.00916072+0.0166122j -3.35488e-05+0.012738j -0.00530799-0.0237548j -0.0449419-0.00825409j 0.018106-0.0058386j 0.0287278-0.0119415j 0.000834757+0.000398126j 0.0231953+0.00313404j -0.0175262+0.00107283j -0.0131287+0.00115377j 0.0113384+0.0069193j 0.000787367+0.00761044j 0.0197953-0.000186509j -0.0308844-0.0285007j 0.00068849+0.0123856j 0.0156789+0.00451875j -0.0248263+0.0316719j 0.00485538+0.0141372j -0.00264338-0.00968941j 0.00580757-0.0106601j -0.0306168+0.0126111j -0.0013735-0.0405679j -0.0228345+0.0145182j 0.0231553-0.0582341j 0.00613128+0.00910834j -0.00541521-0.00674758j 0.0293045-0.018347j -0.00629652+0.00518206j -0.000504217+0.0152153j 0.0196614-0.0527444j 0.0324625-0.0107278j -0.0258758+0.0361663j 0.000926231-0.0391981j 0.0017945+0.00792208j -0.0360863+0.0334927j -0.0278551-0.00937681j 0.0500786-0.029257j -0.0580558-0.0337972j 3.74742e-05+0.00409634j -0.00584642-0.00284474j 0.00599987+0.0288201j -0.0465503+0.00352972j -0.000321691+0.00366784j -0.00764274+0.0116123j 
-0.00603097-0.00283552j 0.00641817-0.00969674j 0.00336119+0.0187899j -0.0365545+0.0179168j 0.00276175-0.0126984j 0.00338921-0.0117054j 0.0155057+0.04615j 0.0365644-0.00166738j 0.0281985-0.007576j 0.0450933-0.0225023j -0.0243687-0.0375734j -0.00161864+0.0220651j 0.00561014+0.00485405j -0.0380204-0.0170321j 0.00881793+0.0344904j -0.0180254-0.0605871j -0.0214533-0.00266476j 0.0359028-0.0264301j -0.0146208-0.0337513j 0.0180226-0.0288861j 0.02734-0.032081j -0.0314634-0.00176667j -0.0218203+0.0431055j 0.0118318+0.0228376j -0.0138003-0.0255641j -0.0209436-0.0149088j -0.012698-0.0102632j 0.0216465-0.0161082j 0.0176811-0.0120592j -0.0154129+0.00697792j 0.0288804+0.00383899j -0.0317811+0.0213965j 0.00375299-0.0258768j -0.00848026+0.0083272j 0.0373408-0.0098548j -0.0030117+0.0112511j 0.00313727+0.00458927j -0.00831931+0.00935166j 0.0349108+0.01618j -0.00105029+0.030315j -0.0303835-0.0201892j 0.0112418-0.0195602j -0.000722821-0.0114624j -0.0118247-0.0168081j 0.0079871-0.0213599j 0.0201876-0.0106977j 0.0157276+0.0150617j 0.0142196-0.0386131j 0.00182476+0.0310424j -0.0189677-0.0237988j 0.00105908-9.73425e-05j -0.0086969+0.0132249j -0.00142163+0.0259094j -0.015616+0.00384082j -0.0268996-0.000985425j 0.0275168+0.0103243j -0.00269321-0.00105912j -0.0528309-0.0105564j 0.00318958+0.0004119j 0.00195138+0.0366081j -0.00354344-0.00158856j -0.00264869+0.00348149j -0.0180513-0.00515826j -0.0104435-0.00215747j 0.00697575-0.0143099j 0.0239996+0.00684566j 0.00639694-0.0110935j -0.0444936+0.0339585j -0.0235552-0.0152531j 0.0463846-0.0309599j -0.0316109-0.0181517j -0.00496758+0.00186409j 0.00727481-0.064047j -0.0109909+0.029226j 0.0107062-0.0125566j 0.00737253+0.0327023j 0.0241017-0.0112072j -0.0177446-0.0630836j 0.0268659-0.0393858j -0.0545338-0.00190213j -0.000265268-0.0333231j -0.0609039-0.00815812j -0.000102129+0.0226135j 0.0357339+0.0254426j -0.0209703-0.0357199j -0.00140975-0.0344239j 0.00804512+0.0299939j 0.00890482+0.0020736j -0.0586185-0.0405126j 0.0213011+0.00355684j -0.0276359-0.00360219j -0.00191123-0.0116412j -0.0573852-0.00867473j 0.00882055-0.00762664j -0.02118-0.0118587j 
0.00083526+0.00220442j -0.0015421-0.00103495j -0.00693413+0.00267341j -5.42768e-05-0.0221615j -0.0054914-0.00163778j 0.00352164+0.00773282j 0.00737514-0.0198409j -0.0271597-0.0363512j 0.0119012+0.00541927j 0.0025689+0.000450014j -0.00389448+0.00433654j 0.0113219-0.00225674j 0.0250906-0.00620691j 0.0134747+0.0221783j -0.0109333-0.0444376j 0.0149749+0.00986863j -0.0277859+0.021878j 0.000322008+0.00237318j 0.0150853+0.0173463j -0.00250193-0.0106078j 0.0143645+0.0466135j 0.0171675+0.0308513j -0.0104567-0.0161241j -0.0222945-0.00692166j -0.000301657+0.00983721j -0.018196-6.84232e-05j 0.0143615-0.00302744j 0.00515906-0.0213372j -0.00206337+0.0152064j -0.00590178-0.000652694j -0.0103853+0.0253511j 0.0116036-0.00969908j 0.00183778+0.0228988j -0.0134147-0.0152667j 0.00818328-0.015402j 0.0174373-0.0201408j -0.0018212+0.0135035j 0.0150861+0.0113994j 0.00561631-0.0174268j -0.00571291-0.0310549j -0.00304143-0.0182745j 0.00282858-0.00609306j 0.0178631-0.0140503j 0.017165-0.00782797j -0.0234519-0.0182158j 0.0239965+0.039561j 0.00470598+0.00681671j 0.00822462+0.0122306j -0.015436-0.0140332j 0.0309392-0.0127635j 0.00184455+0.0162843j -0.0136222+0.0154633j -0.00777768+0.0160138j -0.00647788-0.0184889j -0.00136633+0.0126293j -0.0259153+0.00555614j 0.0234315-0.0382315j 0.0313403-0.01216j 8.97604e-05+0.0179948j -0.00994826-0.00216519j 0.0316212-0.0198682j 0.0120162-0.00265836j 0.020626-0.00498991j -0.017471+0.0246138j 0.0304006-0.0116014j 0.00231568+0.00185866j -0.00842747-0.00132998j -0.00421778+0.000897538j -0.0235453+0.0147608j -0.0246289-0.00845624j -0.0356996-0.0127086j -0.0443946-0.0277456j 0.000605208+0.0698124j 0.0140725-0.014495j 0.0101745+0.0135393j 0.0293951-0.00831541j -0.0160066-0.0163398j 0.00066582+0.00293024j -0.0245593-0.0164292j 0.0195424-0.0495332j -0.004142+0.00474403j -0.032034+0.0199838j -0.0417012+0.0159083j -0.0377349-0.000580479j -0.0343547+0.00523078j -0.00222782+0.0212105j -0.00964043-0.0385249j -0.0144164+0.0132396j 0.00581137+0.0360889j -0.00600289-0.0132779j 0.000109031+0.00786149j 0.0143554+0.0235166j -0.00358121+0.0156465j -0.00539246-0.0200696j -0.0162278-0.0135598j 
-0.00445535+0.00544694j 0.000472399+0.00631784j 0.00759889-0.00749596j -0.00468751-0.00298245j 0.00599045-0.000201756j -0.00267057+2.24022e-05j 0.012266-0.0294682j 0.0103178-0.00643758j -0.0118682+0.00935424j -0.00324359-0.00489645j -0.0202849+0.0042742j -0.0193617+0.0193135j -0.00642782+0.00149506j -0.0145707+0.00962361j 0.00952211-0.0155034j -0.0081077+0.014908j -0.00599246-0.00683893j -0.0129439-0.016278j -0.0239619-0.0195882j -0.0119719+0.00978371j 0.0387607+0.0236346j 0.0250465+0.0167869j 0.0112232-0.00903375j -0.0155589+0.00670616j 0.0228009+0.00753977j -0.00166964+0.007256j 0.0206436+0.00268929j -0.0231558-0.0368963j 0.00588362-0.00964586j 0.0204093+0.0257858j -0.00396291+0.00593925j -0.00975864+0.00453409j -0.00504852-0.00388199j -0.0205749+0.0216694j -0.00448772-0.0126183j 0.0113234+0.00681316j -0.00754048-0.000127755j 0.00434584-0.00196416j 0.035769-0.00162042j -0.0147128+0.00367432j 0.00369014-0.00674773j -0.013317-0.00376499j -0.00740029-0.00254344j 0.0220348-0.00418954j 0.00119015-0.0213164j 0.00927084-0.00330472j -0.0170365+0.0221798j 0.00779105+0.00439527j 0.00123563+0.0144179j 0.0163163+0.00101698j 0.0122486+0.0244238j -0.00277991+0.0170444j -0.0182154-0.00382975j 0.0194773+0.02431j 0.0150656+0.0035758j -0.00370708-0.0155237j 0.00481505-0.0148489j 0.00207963-0.010646j -0.0145681+0.0444891j 0.0140302-0.0143448j 0.0299335-0.0290374j 0.00917481+0.0415777j -0.0420887-0.0298256j -0.00903306+0.0293054j 0.0504729+0.016832j -0.0423532+0.0203155j -0.00559159+0.0264517j 0.00519242-0.0207813j -0.0258898-0.037239j 0.0646504-0.0132072j -0.00596095-0.015029j -0.0117906-0.0624984j -0.0363039+0.0206244j -0.00759862+0.0124529j -0.0106902+0.0408896j -0.0354022-0.00248635j -0.00030072+0.0103341j -0.0314021-0.0472398j 0.0262005-0.0122891j -0.0263003+0.0380028j 0.0224742-0.0204954j -0.0640194+0.0168523j 0.0338292+0.0307883j -0.0325758+0.00877143j -0.0427668+0.000892887j 0.0369065-0.0017901j -0.0116977+0.0449273j -0.0276441-0.00891306j 0.0125345+0.0624789j -0.0132618-0.0162403j -0.00835179+0.0223524j 0.0353674-0.0319639j 0.0238979+0.040148j -0.025135-0.0106627j 0.002858+0.0183373j 
