0.000729497+0.0132119j -0.0232518+0.0245936j 0.00930301+0.00697906j 0.030064-0.00163395j -0.00341877+0.0556351j 0.0242272+0.00526206j 0.0280484+0.0121178j -0.0193412-0.0232533j 0.0341032-0.0293969j 0.00151157+0.0229917j -0.0105936-0.0301268j -0.00576444-0.0455741j 0.0187109-0.0187581j -0.0120227+0.0392939j -0.0307111-0.0410639j -0.0036127-0.0359585j 0.0125912-0.00735806j 0.00257591-0.0215067j 0.00522288-0.0303948j -0.00470523-0.00883703j -0.00385896+0.0322417j 0.0295154-0.0206571j -0.00844542+0.0251445j 0.0380563+0.0215431j 0.0150665-0.00813245j 0.0025667-0.0348817j 0.066668-0.0285023j -0.0601554-0.0350803j 0.0353235+0.0435653j -0.00526216+0.0176929j -0.00418294-0.00316896j 0.00860914+0.0618712j 0.00594746+0.0421688j -0.0222674+0.0337643j 0.0499527-0.0365605j 0.0276425+0.0399712j -0.0387096+0.0111112j -0.0220197-0.00332744j 0.0123021-0.00742424j 0.0217164-0.0365143j -0.0185172-0.0365222j -0.0135974+0.0753441j 0.017398+0.00222756j 0.0640169-0.0142006j -0.066988-0.0549972j 0.0158814-0.0380094j 0.0177902+0.0241725j -0.0174411+0.0241607j -0.00902588+0.0112148j -0.060708-0.0309212j -0.075038+0.00754207j -0.0778409-0.0152047j -0.022861+0.0372488j 0.00709665-0.0461793j 0.00485101-0.0451087j 0.0548303-0.0737181j 0.0641504+0.0504548j -0.0899982-0.0227436j 0.0179609+0.0288085j -0.040453+0.0881829j 0.042282+0.0651673j 0.012428+0.00644558j 0.0295089+0.0297845j 0.00583227-0.0325555j -0.0164042-0.0297059j -0.0200942-0.0389588j -0.0600022-0.0499244j -0.0992798+0.0504337j 0.0115079-0.0409002j 0.0170721-0.0277465j 
0.0192791-0.0308767j 0.00294284+0.0133716j 0.0488778-0.014147j -0.000775131-0.0136762j -0.0364316+0.0114075j -0.0285256+0.0134783j 0.0375056+0.0079854j -0.0139243-0.0103119j -0.0219406+0.0224296j -0.00714463+0.026444j -0.0291784-0.0161838j 0.0195854+0.0114812j 0.0289743+0.0291152j 0.0217845+0.00824456j -0.0409166-0.00863853j 0.0287708-0.00830769j -0.00553279-0.0228605j 0.000101989-0.00495447j 0.00641209-0.022723j 0.0364406+0.0116317j 0.04335-0.00191929j 0.00353104-0.00958955j -0.0241009-0.0673534j -0.0182509-0.0138207j 0.0338662+0.00797029j -0.0218268+0.0581872j -0.0215593-0.0434907j -0.0599481+0.0532937j 0.00483907+0.0581794j 0.020718-0.0159788j 0.00109706-0.0215835j 0.0137667-0.0214672j 0.0528873+0.0157299j 0.0147417+0.0518085j -0.0171473-0.0193388j -0.013026+0.000211473j -0.020095+0.0219893j -0.0121016-0.0247884j 0.0389499+0.0211165j 0.0241245+0.0255719j -0.0305272-0.0222485j 0.0112647+0.0251159j 0.0409109-0.0274859j 0.0390069-0.0576453j 0.045986-0.051529j 0.0115888+0.0175224j 0.0413451+0.0564219j -0.0108144-0.0286135j 0.0251215-0.0320453j 0.0470074-0.0238463j -0.01657+0.014224j 0.00449624+0.0259379j -0.0380444-0.046436j 0.00868097+0.0113214j 0.0733244-0.0205869j -0.0122662-0.0149427j -0.0485302+0.00355482j 0.0611447-0.0932915j -0.0705313+0.00719081j -0.060329-0.0805085j 0.00424828+0.0736793j 0.012684+0.0533574j -0.0225638-0.0292799j 0.0104474+0.0132078j -0.00535322-0.0124912j -0.00280508-0.00770754j 0.0733291-0.0406306j -0.0629245-0.0768641j 0.0326801-0.0301864j -0.0109708+0.0310817j 
0.0236523+0.00206003j -0.00624354-0.0119065j 0.0167584+0.0154249j -0.0445127+0.015497j 0.0362197+0.0927111j -0.030318-0.0441261j -0.0254768+0.0404103j 0.0352861-0.0168048j 0.0921091-0.0756766j -0.0386925+0.0297625j 0.0943035-0.0570636j -0.12586-0.0928001j -0.0077162-0.0332185j -0.0124287+0.100044j -0.0189133-0.0244842j 0.0152093-0.0753837j -0.0069062+0.0147923j -0.0436272-0.055504j 0.0758925-0.0906099j 0.0943283-0.0302001j -0.00585512-0.109506j 0.0233658+0.0110911j -0.110983+0.119755j 0.0309819+0.146046j 0.00211489-0.104234j -0.0267783-0.106544j 0.103435-0.0972974j -0.0642301-0.0392136j 0.111179-0.0309828j -0.0282937+0.0553091j 0.0639581-0.105055j 0.0195664+0.0610115j 0.0431708+0.108976j -0.111145+0.0101047j 0.0363505-0.128753j 0.0527507+0.114483j -0.102731-0.0775894j 0.0249934+0.0541547j -0.0346027-0.00238566j 0.114233-0.0295191j -0.0909779-0.0810844j -0.0993755+0.281318j 0.123583-0.141171j -0.00845391-0.0255034j -0.08706-0.0423722j -0.0451698-0.0328401j -0.064678+0.0677953j -0.108131+0.0292039j -0.00796735+0.00729105j -0.150292-0.0150026j -0.0194632-0.0809708j -0.241202-2.76673e-06j -0.192457-0.0123083j 0.0884884+0.00250053j -0.0010652-0.0301365j 0.235798+0.00612396j 0.0641476+0.0449325j -0.134941+0.017846j -0.0573078+0.111186j 0.0835967+0.0370565j 0.0393074+0.0660321j -0.00492591-0.00108734j 0.0514747+0.057073j -0.0450965-0.154533j 0.0156203-0.00361481j -0.027591-0.0509961j 7.55334e-05+0.00655266j 0.00777302-0.00517391j 0.00628622-0.0195388j -0.0386558-0.0174219j 
-0.0145748+0.0118879j -0.0314253-0.00112333j 0.0672992-0.0163598j 0.0381308-0.0417983j -0.133447+0.0319625j -0.019179+0.0701782j 0.0288535-0.00542222j -0.0670263-0.0274316j 0.0378028-0.0909115j -0.0804803+0.0808595j -0.049539-0.0151458j -0.0234278-0.135843j 0.0588543+0.180498j -0.0344608+0.0381629j -0.182428-0.0909674j 0.072463-0.0404826j 0.0783593-0.0489364j 0.157112+0.100439j -0.0287622-0.152587j 0.0578322-0.048688j 0.0972062+0.0760625j 0.0950059-0.133808j -0.0944586-0.0785094j 0.0590568-0.0495169j 0.0406564+0.156684j 0.122296+0.124845j -0.0136409-0.0498235j -0.0839122+0.103733j 0.0620108+0.0247087j -0.139733+0.00256582j -0.0956604-0.0772175j 0.108393+0.0661902j 0.0586393+0.111766j 0.0963829-0.0394099j 0.0164017+0.0375694j 0.145801+0.141889j -0.0766558+0.15115j -0.0437667-0.0408493j 0.107671-0.0198845j 0.00244205+0.0631161j 0.030152-0.165525j 0.0416332+0.0269083j -0.0572264-0.0383789j 0.0447319-0.0224553j 0.0528857-0.015515j 0.0381515+0.0042511j 0.0793227+0.041972j 0.130142-0.143192j 0.141223-0.108497j 0.123131-0.0150872j -0.173697+0.0299689j 0.0376819+0.0650073j 0.089197-0.0491766j 0.0089024-0.0246121j 0.1171-0.030313j -0.111745-0.059461j 0.0186035-0.0409256j -0.0577972-0.19436j -0.0438117+0.0241263j -0.0507598+0.0330893j 0.0677082+0.0843652j -0.00307164-0.0109728j -0.00985608-0.0514746j 0.0191743+0.0842266j -0.00797114-0.0944566j 0.00903611+0.0145294j 0.0093013+0.00997475j 0.0107432+0.035157j 0.00749915-0.0527577j -0.0377134+0.0075893j 
-0.00182681-0.00222284j -0.00373937-0.0313844j 0.0190433+0.0084553j 0.0026121-0.00872311j -0.0244583-0.0411781j 0.00799568+0.0234678j -0.0154159+0.0312002j -0.0114969+0.044851j -0.0670916+0.047054j -0.0301738-0.0131823j -0.0122267+0.021343j 0.028221+0.0430803j -0.0140671+0.0466399j 0.0203385-0.0337623j -0.0389589+0.00811042j 0.0649722+0.0308961j -0.00666214+0.0250678j 0.0545263+0.0372213j -0.0193956-0.00641321j 0.0256285+0.00784492j 0.0124694-0.0230784j -0.0308942+0.00718092j -0.0333532-0.0234833j 0.0106649-0.036502j -0.0211734+0.0192536j 0.00139315+0.0753511j -0.00978442-0.0267403j 0.069213+0.0560698j -0.037361+0.0133465j -0.0394995-0.0701682j 0.0124265-0.118189j 0.00242847-0.0232185j 0.0657605+0.0455275j 0.0755467-0.0675915j -0.0795386+0.0582181j 0.0211729-0.0367245j 0.102578+0.0379763j 0.0479969+0.0154108j 0.00122158-0.0251934j -0.078317-0.0167383j -0.0223134-0.0223199j -0.00103604-0.0131496j -0.0143903-0.0677618j -0.0489055-0.0750271j 0.154001-0.00842543j 0.034154-0.00218157j 0.0413829-0.035249j 0.0615418-0.0396268j -0.00674133+0.00915569j 0.0547195-0.00372386j 0.0283966-0.0518697j 0.0882265+0.0456251j -0.0410221-0.0144086j 0.00431918+0.0524805j 0.0442675+0.0271119j 0.00179126+0.0808838j 0.034792-0.0534414j 0.0577106+0.0216431j -0.049703+0.0207259j 0.040418-0.0942559j 0.0384913+0.000533714j 0.0129203-0.00329974j 0.00227082+0.0115456j 0.0269618+0.0441051j 0.0411809-0.0263308j 0.0166932-0.0294877j 0.0424178+0.0143925j 0.0372988-0.0708172j 0.0141945+0.0203207j -5.32244e-05+0.0176057j 
0.00399386-0.0157037j 0.0229506+0.00585099j 0.0165593+0.0235075j -0.049036+0.00719711j -0.0550747-0.0608818j 0.000667241-0.0380027j -0.0362207-0.02612j -0.0146061+0.0245132j -0.0348392-0.0263688j 0.00114357-0.0868301j 0.095974+0.00770554j -0.0357587+0.0328487j 0.0250506+0.0323341j 0.0390942+0.0724122j 0.0929344+0.00968877j -0.0123752+0.0476926j 0.0287874+0.0609864j -0.0118276+0.0671927j -0.0781728-0.0218108j 0.00353592-0.00530347j 0.0717831+0.0669055j -0.06152+0.00540197j -0.0448161+0.050988j -0.00395407+0.0533841j -0.0624559+0.110895j -0.0150918-0.0564137j -0.0284573-0.0150791j -0.00627759+0.0373758j -0.0305165-0.164361j 0.0118605+0.00283878j -0.114965+0.0542811j 0.0558827-0.0562913j -0.0612065-0.000205465j -0.048297+0.023822j -0.0501396-0.0156064j 0.0549729+0.0887835j -0.0812059-0.100904j -0.0776963+0.0562915j -0.0708312+0.0111807j 0.0678583+0.0622605j 0.0441748+0.0795149j 0.0131785-0.0516644j 0.00701272+0.0370408j -0.0390598+0.0332718j 0.116926-0.125882j 0.0116615+0.0532845j 0.0266692+0.00224175j 0.0403374-0.0180757j -0.00725556-0.00797691j -0.00583314+0.0497239j 0.101199-0.0143487j -0.0631186+0.0170683j 0.030065-0.0428868j -0.00952191+0.0624733j -0.0386572-0.0649121j -0.0122685+0.082843j -0.0233419-0.0559221j -0.0557692-0.0485029j 0.0231255-0.00384865j 0.134728+0.0152571j -0.00887346+0.0320166j -0.0218377+0.00252426j 0.022016+0.0144522j -0.0164041+0.00837606j 0.0496268-0.00122118j -0.0152978-0.0733077j 0.0347696-0.0237478j 0.15513+0.00420823j -0.0236303-0.0124521j -0.0396946-0.02811j 
-0.0515553+0.0190774j -0.0109459-0.0401906j -0.00933172+0.0228689j 0.0602166+0.00825512j -0.0260282+0.0147735j -0.000184085+0.0297378j 0.00698847-0.00987303j -0.0360976+0.0375649j -0.0316837+0.0518578j -0.0191783-0.0449304j 0.0261921+0.0609604j -0.0740928+0.0143371j -0.0461285+0.0185952j 0.000923654-0.0637075j -0.0162381-0.0603474j 0.023599+0.0209055j 0.0416253+0.13003j -0.0145512+0.0257302j -0.0836335-0.0157208j -0.048227-0.124392j 0.00595504+0.0480486j -0.0503701-0.0204983j -0.0149905+0.0390569j -0.00516242-0.00935066j -0.0361472+0.0583848j 0.118983-0.129885j 0.136714+0.0790087j 0.0782877+0.0271478j -0.0300521+0.0474098j -0.0187921-0.0840271j 0.0134566+0.0197471j -0.00643718+0.098173j -0.0196604-0.00418604j 0.084305-0.149787j 0.024711-0.0722905j 0.0559241+0.0190751j -0.0111513-0.0365875j 0.0505572+0.081314j -0.00499794+0.0757986j -0.0795505-0.0404256j -0.0194672-0.0130125j -0.0246234+0.0222164j -0.15469-0.0498956j -0.177735+0.031341j -0.0164617+0.0428611j -0.0169325-0.0102306j -0.164265+0.0295299j 0.0356113-0.0331042j -0.102812+0.0361916j -0.04959-0.0526627j -0.00680565-0.0775907j 0.043058-0.00210188j 0.0685253-0.0132065j -0.00374871-0.0507748j 0.096611+0.054j -0.0787523-0.059873j 0.135808-0.002789j -0.121092+0.00249676j 0.134964+0.0246591j 0.0480766+0.114371j 0.0979942-0.0714771j -0.0569879-0.0466213j 0.117994+0.155962j 0.064368-0.0100607j 0.131257-0.100915j 0.0243093+0.147272j -0.0256145+0.0212688j -0.00953568+0.059005j -0.0234926+0.0127843j 0.0334484-0.0133399j 
0.016957-0.0469498j 0.0232713+0.0183769j 0.0579944-0.0365183j -0.0207093+0.00310131j -0.0808286+0.0298417j -0.0710955-0.0115866j 0.0425951-0.0541501j 0.0584741-0.0405562j 0.0214186+0.0508578j 0.0601064+0.0277155j -0.0252038-0.0197798j -0.0553608-0.0443304j -3.00738e-05+0.00391192j -0.0136653+0.00948315j 0.000159978+0.031958j 0.0320102-0.01269j -0.0120827-0.0148201j -0.069236-0.0224211j -0.0206915-0.0293758j 0.0828145+0.0152387j 0.0428774-0.10249j 0.0281209+0.0734299j -0.0931612+0.00392735j -0.0080226+0.006322j 0.0285387-0.0630055j -0.0565472+0.0446225j -0.10686+0.00374355j -0.0846342-0.00702403j -0.0260059-0.00733538j 0.104537-0.0748997j 0.0573182+0.153116j 0.030943-0.0825839j 0.00683534+0.0254834j -0.0104446+0.0552408j -0.127786-0.0516825j -0.012521+0.0267336j -0.171202-0.0911076j -0.042352-0.0899642j -0.0585044+0.040277j 0.0902939+0.128811j -0.0523186+0.039326j 0.0241185+0.0659703j 0.0327938+0.0072626j 0.00296967-0.03327j 0.0258988-0.0530813j -0.129601+0.121267j -0.0633188+0.0816807j -0.037006-0.055076j 0.0992898-0.0548869j 0.0982951+0.00237951j 0.0912139+0.0362044j -0.00666888+0.00749606j -0.0334757-0.0277324j 0.0640602+0.0767793j 0.0808772-0.0358988j -0.00843551-0.0176602j -0.143056+0.0726894j 0.00841101-0.0990339j 0.0168345-0.0432628j -0.0494737-0.106132j -0.0173193+0.0702325j -0.044649+0.026809j -0.0222503-0.172258j -0.0150103+0.0117324j 0.0249682+0.103577j -0.0182533+0.0658372j 0.0642511-0.0465207j -0.0562886-0.0729654j 0.0249496-0.0191892j -0.0174928-0.000297987j 
-0.0132147+0.0275658j 0.00216714-0.0433197j -0.0130373+0.0120107j -0.0391169+0.00459782j 0.0457569-0.0730338j -0.0619354+0.010258j -0.0337056-0.0394911j 0.0750332-0.00311428j 0.0885141-0.128699j -0.0529992+0.0506333j 0.0776365-0.0270378j -0.101068-0.158631j -0.0473037+0.0280207j -0.00621332-0.0612329j -0.0816479+0.0654378j 0.00422478-0.0430832j 0.0703949-0.0337922j 0.054269-0.00958483j 0.0728226-0.0965907j 0.0907608-0.0718695j 0.0511178-0.196572j 0.0528485-0.0578421j 0.00968597+0.0536255j -0.00029637+0.0579013j -0.0228224-0.0712905j 0.0684093+0.0269967j -0.0651234+0.119631j 0.0985365-0.06013j 0.0365666-0.0838259j -0.122707+0.0483318j 0.0894787+0.0371967j 0.0419688+0.0733374j -0.047702+0.0435025j 0.000643231-0.157029j -0.0365937-0.0547649j 0.0197898+0.0615325j -0.0988573+0.0116018j 0.0692505-0.0324368j -0.00861929+0.0117493j 0.0445598+0.188903j 0.0953344-0.0174151j -0.0342162+0.0425491j -0.0558051-0.0785572j -0.0765567+0.0736296j -0.0646849+0.240459j -0.153092+0.111063j -0.118304-0.048503j -0.0469046-0.12827j 0.100154-0.067405j 0.0544871+0.0517725j 0.0115648-0.0111023j 0.07637+0.0406683j 0.0384216-0.0274908j 0.0772987+0.0380832j -0.00776071+0.100068j -0.0443002+0.0156849j -0.155127-0.0183965j -0.0751034+0.074772j 0.0411762+0.00971669j 0.0694769-0.0277213j -0.0460954-0.0767595j -0.032319-0.0680926j -0.0292677-0.068201j -0.067028-0.00975261j 0.0195021+0.0357084j 0.0318418+0.186782j 0.0299746+0.0986062j 0.0822477-0.017391j 0.00615522+0.00513432j -0.0440439-0.00958146j 
-0.0214047+0.010629j -0.0176321+0.0339246j 0.00296073+0.0142747j 0.0479464+0.0120549j -0.0862423-0.100519j 0.0764375+0.0351187j -0.0269809-0.0101216j 0.113641+0.03178j 0.0137077-0.0689333j -0.0337185+0.0277715j -0.00898123-0.0467449j -0.00110868-0.0783877j -0.0356426+0.0251976j 0.015762+0.0306762j 0.0473941+0.122804j 0.00726975+0.0982863j 0.0523503+0.00411828j 0.104209+0.0637709j -0.00975534-0.054534j 0.0416643-0.0121967j -0.010756+0.0527765j 0.0368125+0.0122071j -0.0938279+0.118692j 0.161531-0.0578397j -0.113234+0.0281005j -0.00752537-0.0404674j 0.0240111+0.0873564j 0.143376-0.0976287j -0.00324952-0.148211j -0.0907047-0.055991j 0.0424959-0.0299793j 0.0416881-0.130796j -0.0286794+0.110672j 0.108354-0.0761226j -0.0307503+0.0613447j 0.184941+0.217066j 0.0492216-0.0147404j 0.0448729-0.0196056j -0.0849929-0.0739736j 0.010391-0.0336383j 0.0423094+0.07129j -0.00908974-0.0613698j -0.0844724+0.123771j 0.0476534-0.0309275j 0.0337219-0.0757964j 0.0633638-0.0617723j 0.0658823-0.070849j 0.0879457+0.0684115j 0.0526959-0.0284956j -0.0471904+0.00482325j 0.0390584-0.141951j -0.039615-0.179096j 0.0144894+0.0894447j 0.12535+0.158564j -0.197997+0.0265574j 0.019338+0.0136724j -0.0246667+0.0876735j -0.0618054+0.111645j 0.18041-0.0520575j 0.0173348+0.0750657j -0.00790759+0.00780481j -0.0718983-0.0248981j -0.0162963-0.0722302j -0.0946868+0.0308782j -0.0238072+0.0677981j 0.0138107-0.125473j -0.0314934+0.0375731j 0.0195575+0.0357361j -0.00749002-0.0275561j -0.0201646-0.0237369j 
-0.00819666+0.00781961j 0.000705271+0.033896j -0.0213792-0.0205064j -0.0130995+0.00735224j 0.0147891-0.0038071j -0.0313358-0.0100293j -0.0224454+0.00656124j -0.0976943-0.106716j 0.03847-0.11478j -0.0164431-0.00165317j 0.0459298-0.0152944j 0.00683875-0.0527752j 0.100101-0.0187598j -0.0261177+0.0369825j -0.00973033-0.038607j -0.0595217-0.0473678j 0.0428594-0.0693507j 0.0138842-0.00480958j 0.00915456-0.0341498j -0.0386036-0.00107293j 0.120755+0.0630964j 0.0413598-0.0779483j 0.0562453+0.0182742j 0.00856629+0.122757j -0.0397384+0.0327074j 0.0392805+0.00138679j 0.00733442-0.0427057j -0.152526-0.0589921j 0.0152512-0.0253652j 0.0396544+0.0909334j -0.159994+0.177969j 0.00931214+0.077591j -0.177173-0.029236j -0.156498+0.0764947j 0.0946057+0.0277057j -0.0551463-0.0160483j -0.0644464-0.0410668j -0.0997621+0.027239j 0.0814406+0.0330446j 0.0523537+0.0680742j 0.103645+0.0658051j 0.0842509-0.0453089j -0.000622655+0.138263j 0.06927+0.0909639j -0.053713+0.013669j -0.0631721+0.0886098j 0.0463401-0.0334882j -0.00746582-0.0698784j 0.0205304-0.0127339j -0.0215467+0.102928j -0.0273586+0.204233j -0.0886095+0.115892j 0.0479093-0.0146229j -0.11091-0.139692j -0.0712851-0.0516291j -0.0282684-0.0246692j -0.0686598+0.0083774j -0.0723439+0.00390299j 0.0757121-0.0349795j -0.0193173+0.118378j 0.00876456+0.0152292j -0.0636028-0.0100639j 0.0153464+0.0566226j 0.00167148-0.0180515j -0.0122882-0.0486841j -0.0562275-0.0688572j -0.0332439-0.00505415j -0.0143549+0.0603408j -0.0187711-0.0173068j 0.00238861-0.0153835j 
