0.0563822-0.000323248j -0.00642949-0.0761996j -0.0990123-0.0117555j -0.0275585+0.0793032j -0.145884+0.061779j 0.0280863+0.149207j 0.0242079-0.0667369j -0.0223534-0.0533353j -0.0934175+0.0273748j 0.0204179+0.065355j 0.087456+0.00734755j 0.00784044+0.0210489j 0.0457605+0.0601664j -0.0620753+0.0184073j -0.0581886-0.0271553j -0.0115357+0.0228057j 0.025757+0.0168838j -0.0140298-0.0940261j 0.099196+0.0239241j 0.0113392-0.073292j 0.079803-0.0211923j 0.0773155+0.135546j 0.17248+0.0733388j 0.0305597-0.113077j -0.0265866+0.0688341j -0.023452+0.0705946j 0.0406529+0.0129032j -0.0107423+0.0221658j -0.00174973-0.0790979j 0.0952483+0.026684j -0.0486948+0.0533135j 0.112039+0.00245329j 0.00470118+0.0159168j -0.00111603+0.0453446j 0.0750872-0.0762066j -0.0452628-0.0881663j 0.077384+0.00938389j -0.0645653-0.0916009j 0.0942303+0.0376187j 0.0653018-0.0382552j 0.0853018+0.0113183j -0.045164-0.0163317j 0.0237383-0.0347642j 0.0208477+0.0190063j 0.0016072-0.00199101j -0.0365221+0.105431j 0.0588649-0.0409143j 0.0862476-0.0810781j -0.0397218-0.0422716j -0.0621675+0.0624921j -0.00326972-0.022137j -0.0207021-0.0380452j -0.000148093+0.00283362j -0.0722292+0.051789j -0.0085874+0.0296813j -0.0258935-0.0164422j 0.0167025-0.0240084j 0.0257785-0.0577887j -0.014505-0.0128723j 0.0371538+0.02174j -0.0187283+0.0479753j 0.037508-0.0155692j -0.0214595+0.0340925j 0.0235996+0.0149162j -0.0382306-0.0223156j 0.00608608+0.022533j -0.017473+0.0382796j 0.0253958+0.0345352j -0.0231395+0.0118352j 0.0121533+0.0323838j 0.00600059-0.0341629j 0.0414456+0.0293282j -0.0180898-0.0218017j 0.015413+0.0715907j 0.0122593-0.015707j 0.0506246+0.018059j 0.0265296-0.00365981j -0.00458539+0.0273363j -0.0184959+0.0160505j -0.0427676+0.0243085j 0.0211035+0.00319795j -0.0242033+0.00721501j -0.0194371-0.0234811j 0.0104478-0.0292715j 0.133655+0.0307946j 0.0375561-0.0206329j 0.102143+0.0346879j 0.010926+0.0172645j 0.0107004+0.0258043j -0.0293895+0.0116803j 0.0309115+0.00166734j -0.0215594-0.0250879j -0.052878-0.0981674j 0.0559805+0.0481855j -0.0198143+0.0681427j 
0.00587166+0.134291j 0.10975-0.0050931j 0.0525343+0.0416238j 0.0536226-0.0447502j 0.128888-0.00392605j 0.115357-0.0209685j 0.060468-0.00465938j 0.098267-7.36449e-05j -0.0177689+0.00495773j 0.0444959-0.0620819j -0.00788247-0.0321985j 0.0255245-0.0568271j 0.0940715-0.0256748j -0.00643496-0.0276406j 0.0403363+0.027871j 0.0297197+0.00361419j -0.0856104-0.0638162j 0.0411973+0.142452j -0.155769+0.0471985j -0.0322153-0.0187704j 0.0839513-0.0477087j 0.00695067+0.0515841j 0.141307+0.0166584j 0.0271146-0.0916446j -0.0667566+0.0134988j -0.0630529+0.0842349j 0.0773425+0.104513j -0.0464377-0.21321j -0.0777762+0.00518067j 0.0762794+0.0188234j -0.12752+0.225326j 0.0926892+0.0322965j 0.0272808+0.0058229j -0.0531386-0.000694297j 0.0206098+0.0225269j 0.0392846-0.118546j 0.0745717+0.0418569j 0.0395171-0.0189156j 0.0364998-0.00501675j 0.107691+0.0711908j -0.0376526-0.0561465j 0.0363091-0.00452655j 0.0312738-0.0190855j 0.0196608-0.0292466j -0.0292683-0.0243217j 0.0120536+0.0459161j 0.0308949-0.0368397j 0.109978-0.0566515j -0.0370663-0.022274j -0.0442677+0.017632j -0.0866712-0.0200081j -0.0463958-0.0422453j -0.0308929+0.0249465j 0.0420325+0.0810248j -0.0292172+0.059998j -0.0687202+0.0253237j -0.0136031+0.013835j -0.00222174+0.016244j -0.012689+0.0520079j -0.0544683+0.0313319j -0.00731313-0.0623926j 0.0410166-0.0531706j -0.0382671-0.054083j 0.000112951+0.0200881j 0.00578098-0.0504528j -0.0371462+0.0348314j 0.0192771-0.00610576j 0.0118886+0.0330626j -0.036624-0.0265614j 0.0291306+0.0661904j 0.0236185-0.0102554j 0.0350675+0.0423043j 0.00890673-0.0358733j -0.0338067+0.00190685j 0.00127685-0.0196437j 0.00386134-0.0124127j 0.0187149+0.0262382j 0.0365706+0.0025613j 0.0399441+0.0390921j -0.00222568-0.0412488j -0.0197588-0.00829476j 0.0126901+0.0378073j -0.0574841+0.0281339j -0.0550667-0.0187125j 0.0817966-0.0765191j -0.0189333-0.0185677j 0.0204421-0.0190999j -0.0150205-0.0120615j 0.00404516-0.0567647j 0.0129495-0.020525j -0.0275533-0.00399299j 0.00542922-0.0113125j -0.0358428+0.0927964j -0.0537633+0.0371731j -0.0287837-0.0786452j 
0.00107355+0.0590744j 0.0468046-0.00732884j -0.183683+0.132313j 0.169307+0.139394j -0.00872642+0.0185199j 0.113206+0.096613j 0.0442402-0.0285292j 0.0213684-0.169614j -0.162844-0.129716j -0.2827+0.166521j 0.253265+0.231095j -0.00699652-0.350704j 0.149585-0.231332j -0.0395174+0.113751j 0.184156-0.134252j -0.181022-0.09703j 0.138966-0.189397j 0.233667+0.119831j -0.0239032-0.0192444j 0.0399494-0.198279j -0.0495326-0.105702j -0.028556+0.0204146j -0.076121+0.00842764j -0.0444821+0.0327258j 0.0148725+0.049196j 0.0106192-0.0160069j 0.100019-0.0173836j 0.222053+0.0721569j -0.0583929+0.0124502j -0.0185265+0.00120613j 0.10455-0.0617576j 0.021301-0.00933758j 0.0287995+0.0486801j -0.0269712-0.0285139j -0.0684768+0.0136672j 0.0345027+0.0172098j 0.0208835-0.0278956j -0.00529886+0.0118961j -0.00291238-0.0113696j -0.00855878+0.00729081j -0.0257043+0.000596711j -0.0418603-0.00853447j 0.0440957+0.00890826j 0.00730032+0.00239492j 0.00978817+0.0259018j 0.00243055+0.000482387j -0.00233993+0.00692143j -0.00485892+0.0244385j -0.00106395+0.0120308j 0.0189181+0.0025674j 0.00449024+0.0231369j -0.0089776-0.0254789j 0.0202857-0.000655104j -0.00227498-0.0159134j -0.00166012+0.0168323j 0.000331082-0.000554011j -0.00618871-0.0126734j 0.0136888-0.0165816j -0.00716549-0.00195304j 0.00334035-0.00342608j 0.00453485-0.00841573j -0.00869525+0.0173956j -0.00179528+0.00346584j -0.0170401+0.0079227j 0.0162489+0.0188337j 0.00200282+0.0184431j -7.4327e-05+0.0100638j 0.00328336-0.0017914j 0.0214137-0.0206425j -0.00112356-0.0180154j 0.0220271-0.00901426j 0.000965875+0.000196778j -0.00690714+0.0117599j 0.00993778-0.00554464j 0.00601255+0.0043193j 0.00570657-0.000211903j -0.0218121-0.0111674j 0.0201388-0.00482243j -0.00187181+0.00716832j -0.0048452-0.00874634j 0.00559416-0.00561583j 0.00257769+0.0134957j 0.00393403-0.00282958j 0.00649301+0.00964621j -0.00470418-0.00294049j -0.0111453-0.00445918j -0.0124736+0.00344379j -0.00531902-0.0046222j -0.00118585-0.00238167j 0.00987359+0.00225013j -0.00403971+0.00103393j 0.00371291+0.00772212j 0.00134755+0.0144665j 0.0026017-0.00226022j 0.000401991+0.00283808j 
-0.0416767+0.029444j 0.0401448+0.0529984j 0.123235+0.201505j 0.173739-0.122196j 0.10621-0.0112513j 0.0539768-0.132117j -0.111043+0.0162061j 0.140078+0.0591654j 0.107126-0.132861j 0.104713-0.181042j -0.214549-0.0110439j -0.113423-0.142674j 0.104875+0.0305486j -0.0396136-0.144037j 0.121369+0.119217j -0.107637+0.0210444j -0.156598-0.101579j 0.120608+0.251893j -0.348875+0.153457j 0.16707+0.0371208j -0.0305596+0.0387644j 0.04328+0.0238711j -0.077218+0.00074841j 0.0381816+0.0673884j 0.0351206-0.12862j -0.018693+0.0518967j 0.00965182-0.126096j 0.0197078-0.214222j -0.0378573+0.0402895j -0.0361785-0.0246848j 0.0544614-0.0769644j 0.00883226-0.0974728j -0.0693075+0.0850192j 0.0203949-0.102832j -0.00633262+0.0344759j 0.0255636+0.109869j 0.0244394+0.0495896j -0.0571183-0.0987073j 0.00189551+0.0227295j -0.0647006-0.0669376j 0.0410482+0.0340868j 0.0373774+0.0282507j -0.00481685+0.00504594j -0.014578-0.0118944j 0.0320146-0.00133054j 0.00207446-0.015008j -0.000141636-0.0161283j 0.00389697-0.00823441j -0.000261484-0.00493919j 0.0151999+0.0138866j 0.0602397-0.0321745j 0.0318442+0.0226909j -0.00111001-0.0142533j 0.0167602-0.0282182j 0.0344032+0.00706892j 0.00391249-0.0116265j -0.0335703+0.0383878j -0.00243111+0.00469469j 0.0131548+0.0346156j 0.0128134-0.0154776j 0.00295444+0.0245188j 0.00912174+0.00897339j -0.0015395+0.0310984j 0.0196111+0.0110507j -0.0125003+0.0123625j -0.00307758+0.00143073j -0.0140847+0.0153311j -0.00779901-0.0125249j 0.0124721+0.0322903j -5.37672e-05-0.00392318j -0.00938386+0.00303858j 0.00192216-0.0234203j 0.00103458-0.0158494j 0.0208811+0.00222076j -0.00553595+0.00485648j 0.0200799+0.0140342j 0.0226263-0.0194502j -0.0015835-0.0178972j -0.0206903-0.0144236j -0.0090887+0.00607419j 0.00258978-0.00256917j 0.0138537-0.0150896j 0.0161782-0.0142246j 0.0231679-0.00105795j 0.0137282+0.0224082j -0.00178434+0.00152586j 0.028257+0.0197109j 0.00454636+0.00160954j 0.00832713+0.0273639j -0.0170312-0.0190787j 0.0270391-0.020043j -0.000132059-0.000968717j -0.00946403-0.0631619j 0.0150479+0.0178289j -0.0101263+0.0213437j 
0.0204963+0.0642677j 0.0656417-0.0176072j -0.00541612+0.0396485j 0.0324337+0.00218113j -0.0277963+0.0590986j 0.0706546+0.0835499j 0.0239853-0.0100196j 0.0117218-0.019614j -0.0425996-0.000238761j 0.0422391-0.000679683j -0.00218878+0.00104554j -0.000196546+0.00254357j 0.0999034+0.0384837j -0.0477825-0.0222659j -0.013166+0.022075j 0.030354+0.0280644j -0.035228-0.0313423j 0.0255217+0.0315726j -0.0679939+0.0604214j -0.0329328-0.0337742j 0.0658235-0.0446725j -0.00200571+0.113383j 0.132733+0.0942384j 0.0417386-0.0970771j -0.0454519-0.00383755j -0.0837589+0.127902j 0.0568325+0.0426802j -0.0555507-0.166748j -0.0736339-0.0934413j 0.146305+0.0204362j -0.088447+0.239998j 0.12164+0.0553985j 0.00828229-0.00153597j -0.00577554+0.0103537j 0.0719772-0.0393422j 0.00410468-0.19125j 0.0713031+0.0204619j -0.0165913-0.0245464j 0.110915-0.0482173j 0.162614+0.00310459j 0.0198533-0.0230688j 0.00768843+0.0178502j 0.0196366-0.0155941j 0.00353551+0.0195272j -0.00476076-0.0203039j 0.0613357+0.0880074j 0.00290939-0.0127837j 0.0761879-0.0493115j -0.0579872-0.00858851j -0.0724292+0.00939581j -0.156385+0.00386162j -0.0961702-0.100008j -0.065492+0.0299427j -0.0601859+0.131285j -0.0815247+0.00612278j -0.00557457+0.0656586j -0.0458606+0.0299041j 0.00511883-0.00440287j -0.0362389-0.0468357j 0.0171823-0.0512492j -0.0490372-0.0130471j -0.0638981+0.0402919j 0.058379+0.058833j -0.0230697-0.0323795j -0.0851919+0.0116692j 0.068517+0.000528095j -0.0184983+0.00724478j -0.00143425-0.0384616j 0.0563632+0.0181705j -0.00231085-0.00249585j -0.0115285+0.0158868j -0.0287037-0.025813j 0.00490148-0.000815514j 0.000143016-0.0112805j -0.0568607+0.035184j -0.0631129+0.0183156j -0.0487409+0.0183701j -0.0105133-0.0134349j -0.0120918-0.00495963j 0.00681068+0.0110747j 0.00996721+0.0131458j 0.0141032-0.0235675j -0.00624191-0.0231962j 0.0187592+0.0163837j -0.115321+0.0638423j 0.0187683+0.0239216j -0.0740277-0.00219158j -0.00446894-0.00798415j -0.0153217+0.0249013j 0.0124702+0.0473049j -0.00898176-0.0168604j 0.00129297+0.0267047j 0.0342906-0.0261434j 0.0166613-0.0284294j 0.0164379+0.0258046j 
0.0849754-0.00313099j 0.0153877-0.0624607j 0.0249267+0.00197926j 0.0152267+0.0316009j 0.0669192+0.135093j -0.00842284+0.0350035j -0.115779+0.0912133j -0.216689+0.0448385j 0.160894-0.0298093j -0.0714647+0.0670764j -0.0474857+0.0801391j -0.0243873-0.0146973j 0.127286+0.119195j -0.00759534-0.146119j -0.016729-0.0419154j 0.0484635+0.0385601j 0.145471-0.0344083j 0.0868014-0.0281254j -0.0584565+0.0155869j -0.172952-0.0223695j -0.0169254-0.0414754j -0.107589-0.163928j -0.0531251+0.14921j 0.17021+0.213272j -0.00278198-0.0963514j 0.213363+0.259363j 0.117201-0.140779j -0.0434318+0.0925423j -0.0660222+0.105251j 0.301096-0.16356j -0.0821785+0.129369j -0.134156+0.109038j -0.117752-0.175923j -0.0641726-0.0378604j -0.0412163+0.112034j -0.101815-0.0815143j 0.0234716-0.186828j -0.00783319+0.0557729j -0.0790571+0.0597914j -0.0159302-0.0853538j 0.035046+0.00654404j -0.0248284-0.00793184j 0.00407398+0.0259114j -0.0577462-0.0717773j 0.0457731-0.0279811j -0.0935395+0.101427j -0.00617638+0.046351j 0.00636114+0.0230982j 0.0379497-0.035996j 0.0191663-0.0591901j 0.0307172-0.0777395j 0.0592735+0.0186393j -0.0494808-0.0586613j -0.122293-0.0525146j -0.0704834+0.0347313j -0.0334828-0.0479853j 0.0191446+0.0012307j -0.0257114+0.000862993j 0.0140657+0.0163569j -0.00185199+0.0311991j 0.00560723+0.0337843j 0.00833787-0.033031j -0.036436+0.00890297j 0.0108032-0.00643334j 0.00559708+0.0154991j -0.00352275-0.0152091j -0.0098606+0.0171642j 0.0186526-0.00860432j 0.00383437-0.0199309j -0.028049+0.00981917j -0.00454586+0.0440464j -0.0313409+0.0126912j -0.0180308+0.0282806j 0.0496195-0.0301159j -0.0150695+0.00159023j -0.0179623+0.0168665j 0.00198342+0.00523388j -0.00153203-0.0144216j -0.000320644-0.0101587j -0.00113425-0.0191274j -0.00669788-0.00323257j 0.00283366-0.0109701j 0.0190984-0.00301453j -0.0289598+0.00137468j 0.00756841-0.00197537j -0.00731614+0.00104426j -0.00252741-0.0137716j 0.006208+0.0181966j 0.0198267+0.0710524j 0.0162771-0.0131391j -0.0137651+0.00725203j 0.0140272-0.0037173j 0.00955259+0.0206302j -0.000142402-0.00987658j 0.00218227-0.00171179j 
-0.0217058+0.054731j 0.050901+0.0356332j 0.0665038-0.0614003j -0.0225921-0.0243758j 0.246072-0.0161887j 0.0596017-0.0817416j 0.103966+0.0710886j 0.0473468-0.0028917j 0.00998905+0.0491944j -0.102076-0.0401789j 0.0588506-0.0349125j 0.106604+0.0207381j -0.0103741-0.149878j 0.0820212+0.112896j 0.0332918-0.017427j 0.147787-0.0207158j -0.00761743-0.0110664j -0.0200835+0.063897j 0.00429722-0.0895835j -0.226957+0.0100373j 0.0410928-0.0809321j -0.053447-0.189499j -0.0805451-0.00909326j -0.0878828-0.0199996j -0.0222074-0.0127408j -0.030974-0.0493546j 0.0120099+0.21034j -0.0255366-0.0600636j -0.0663698+0.0851548j -0.0694565-0.00128721j -0.0889018+0.0948088j -0.045245+0.170182j 0.0782195-0.063619j -0.0735783-0.0320359j -0.0882016+0.186541j 0.0603952-0.0416898j -0.072771+0.0329154j 0.152709+0.0878891j -0.00535624-0.0323105j 0.0449827+0.0984583j -0.186131-0.0226496j 0.0398992+0.0130602j -0.015546-0.0103974j -0.216689-0.0357569j 0.00227472+0.00516447j 0.0141499-0.120144j 0.0179607+0.059432j 0.0666068+0.0476753j -0.113174+0.0357854j 0.0589677-0.0233591j -0.0410926+0.0767971j 0.0151031-0.0190176j 0.0189398+0.0509008j 0.100155+0.04671j 0.08786+0.033877j -0.0235201+0.0645985j 0.00843519-0.0167693j -0.00187939+0.0328078j 0.00430903+0.125855j -0.0104606+0.209558j 0.0272177-0.0263307j 0.00533639-0.0592808j -0.0348921+0.094283j 0.01509+0.0556979j -0.00944498+0.051651j 0.00763165-0.0513421j -0.0345739+0.0602416j 0.0136697+0.00843457j -0.00939098-0.00963642j -0.0110075-0.0349064j 0.00169798+0.074562j -0.00671836-0.00770857j -0.0367897+0.00891274j 0.0106849-0.00714187j -0.0296358+0.0072747j -0.00995239+0.0480174j 0.00708591+0.00972287j -0.00302667-0.0417558j -0.00992268-0.0414476j -0.0213851-0.0279287j -0.0203324-0.0172277j 0.00491918-0.0180913j 0.0128318+0.02282j 0.00477101-0.0334949j -0.0100231-0.0101084j -0.0177324-0.0430364j 0.0123142+0.0410773j 0.00681224+0.00479305j 0.00552412+0.0447307j -0.0246891-0.0115998j -0.00676964-0.0506127j 0.00578523-0.0244792j -0.0233697-0.0448606j -0.010401+0.00611307j -0.0103035-0.0139714j 
0.00692429+0.00515959j 0.00944537-0.00696363j -0.000268228-0.00218617j 0.00163329-0.00706156j -0.00534089-0.00850358j 0.026731+0.0368596j 0.00665717-0.0210464j -0.00557127+0.0010431j -0.0310674-0.00210735j 0.00313456+0.00507613j 0.0152418+0.0172692j 0.00314701+0.0263343j 0.00353873+0.00487417j -0.02746+0.0117639j -0.0250787+0.00209935j -0.0264674-0.0238958j 0.00758586+0.0244061j 0.0114454-0.0032588j -0.0250871+0.000604247j -0.00689607-0.0441044j 0.00568914+0.00634409j 0.0154736+0.0203356j 0.0185819+0.0180214j 0.0311222-0.03083j -0.0272189-0.00900399j 0.0062624+0.0165906j 0.00302107+0.0249151j -0.00221898+0.0116061j -0.0130874-0.0179233j -0.00250447-0.00480303j -0.00333351-0.009873j 0.0123149+0.00439118j -0.00313885-0.0105421j -0.00756345+0.122848j 0.0190527-0.0117393j 0.0128474-0.00577887j 0.0403385-0.000433099j 0.0105676-0.0121892j 0.00939904+0.0149134j 0.0420128-0.0291571j -0.0119332+0.00122123j -0.0927221-0.0590253j -0.179611+0.151702j 0.0220955+0.0015114j -0.050608+0.0505925j -0.0862111+0.0425183j 0.11964-0.0849588j -0.0878162+0.0103124j 0.00107864-0.0668183j -0.0152648-0.0391286j -0.104858+0.0913513j 0.0574648+0.110068j 0.052364-0.0048211j 0.0305054+0.0732392j -0.033148-0.085829j 0.0346142-0.0505266j -0.0117811-0.0439774j -0.128596+0.158453j -0.0174154+0.0441689j 0.0945965+0.0142383j 0.0261356+0.0207559j 0.00750887+0.0376211j -0.074627-0.0996962j -0.0217154-0.133713j 0.140506-0.103373j -0.0714848-0.0283175j 0.10688+0.15409j -0.00947198-0.0981524j 0.0636276-0.065354j 0.139145-0.0131528j -0.125465-0.0853371j -0.0730245-0.123433j 0.166577-0.0492881j 0.0506169-0.108502j 0.13744-0.0136445j 0.0317979-0.0673492j -0.0308146+0.0451328j 0.108562-0.230854j 0.221905-0.069227j 0.239542-0.0636056j -0.107666-0.0233523j 0.191918+0.0214957j 0.0500501-0.0474202j -0.0140097+0.0616156j -0.02071+0.0691617j -0.102629+0.00131118j -0.0636684-0.0264161j -0.023696-0.139513j 0.0255491+0.0641657j -0.035511-0.126983j 0.059698-0.0540185j -0.0112363+0.0601429j 0.0143147-0.0751146j -0.00719386-0.0241737j 0.0222448+0.00718728j 
-0.0637588+0.0324124j 0.0130836+0.0603548j 0.0244144-0.0290448j 0.00517024-0.0264417j -0.0193876-0.010746j -0.0322955-0.0543796j -0.00575221+0.0124547j -0.00968948-0.00538907j -0.0263371+0.00988526j -0.00489909+0.0228901j 0.0163474+0.0147371j 0.0048453+0.000418256j -0.0237125-0.0326773j 0.0204404+0.0199552j -0.00300766-0.00198763j -0.0201895-0.0224377j 0.0303807+0.0255687j 0.0148528+0.00987719j 0.00093686-0.00526266j 0.0047832+0.0252858j 0.0307027+0.00264873j 0.0109474-0.00409422j -0.081689-0.0811664j 0.0487409+0.036597j -0.0298586+0.0912669j 0.0359281+0.00758636j 0.014234+0.0387892j -0.0249673-0.0043276j -0.0709946+0.034919j 0.0693224-0.0423109j -0.0221569+0.0537352j 0.0345009-0.00621949j -0.0962089-0.0139377j -0.0356317+0.00112778j -0.0211773+0.0358123j -0.0521323-0.0139696j -0.0623395-0.0707489j 0.0490173-0.00862747j -0.0661548+0.00836681j 0.0955241+0.0683625j -0.00673563+0.0163422j 0.0182709+0.0159882j 0.0140377+0.0332639j 0.0945999+0.0898991j 0.0215378+0.00321518j -0.0834162+0.118506j 0.00365622-0.104123j 0.0160322-0.0346421j 0.0381919-0.0404909j -0.0644246+0.0111788j 0.0168373-0.133875j 0.0474433+0.0808428j 0.0239756-0.0734948j -0.0896859-0.0590551j 0.110258+0.125577j 0.156801+0.0190014j -0.000204211-0.0416051j 0.0394542-0.0131413j -0.0219816-0.041906j -0.145954+0.0282441j 0.111099+0.0833744j 0.068283+0.151767j 0.0766126-0.14641j -0.0828693+0.0510528j -0.0448987-0.0624003j 0.0698271+0.0820002j -0.0688036-0.0819526j -0.107573+0.0105075j -0.0139225+0.0123738j 0.127197+0.0687259j 0.0370849+0.0773783j 0.0724149-0.00423682j 0.0863963+0.00725394j -0.0597106-0.0767054j -0.0210163-0.011761j 0.00737037-0.116807j -0.0459792+0.0538815j 0.00974999-0.0453977j -0.00531327+0.0231636j -0.00273641-0.0853717j 0.0170895+0.0397082j 0.00451319+0.152333j -0.0692614+0.126891j 0.0743846-0.230812j -0.0422451-0.153878j -0.0648012-0.0586142j 0.113113+0.0332567j -0.000151355-0.142392j -0.00138044-0.267499j 0.00319277+0.0277822j 0.0311544+0.000496296j -0.0463717+0.0885324j -0.0609531-0.0782922j -0.0516407+0.0418778j 0.0135692-0.0635315j 
-0.002415-0.0256282j -0.0300027-0.00348178j -0.0191483-0.026141j -0.00447995-0.017504j -0.0148912+0.000513289j 0.0322916-0.00943454j 0.0128686-0.0205194j 0.0135243+0.00586455j 0.0159532-0.00783535j -0.00332664-0.00873317j 0.0273563-0.0146492j 0.00253387+0.0225187j 0.0107766-0.0037468j 0.017635-0.0129466j 0.00581303-0.00417616j -0.0122379-0.00140457j 0.00478997+0.00309281j -0.0266201-0.000212808j -0.00443443+0.00315128j 0.01768-0.00240999j -0.00173698-0.00144798j -0.00751192+0.0190327j 0.0282039+0.00228131j -0.0192489-0.00702028j 0.039109-0.0135684j -0.0253427-0.0104616j -0.00481113+0.013635j 0.0338194+0.0021269j 0.0164656+0.0183533j -0.0197945+0.00579992j 0.0134599-0.0371707j 0.0136256-0.0284484j -0.00337246+0.096365j -0.136913-0.0496699j -0.0535533+0.0220826j 0.0409441-0.0819619j 0.0527556-0.0230594j -0.0518164-0.0223809j -0.0256674+0.00277447j 0.00173679+0.0194787j 0.00566645+0.0271975j 0.152013+0.128154j -0.0430843+0.0116325j -0.00368297-0.0370652j 0.0979092+0.0634666j 0.0192332+0.0394683j 0.026808-0.105749j -0.0441384+0.0545844j -0.0305181-0.0735916j -0.05758-0.104158j -0.00232912+0.0935186j -0.0032764+0.0464719j -0.067687-0.0156637j 0.0119593-0.00360183j 0.0191149-0.0251118j 0.0553364+0.0739082j 0.18063+0.146002j -0.143616-0.138744j -0.106938-0.133519j 0.106405+0.136208j 0.0478994+0.0421247j 0.00170641-0.0475503j 0.0282833-0.0793116j -0.0328221-0.108903j -0.132336+0.0657992j -0.0885924+0.0740145j -0.116294+0.0869719j 0.0899502+0.043114j -0.128521+0.0264467j -0.0161796+0.0667594j 0.163093+0.221015j -0.140315-0.0797654j -0.00717613-0.0517661j 0.0852212+0.0808161j -0.106445+0.076194j 0.0868558-0.0381061j -0.0678036+0.130311j -0.0258879-0.173909j -0.027566-0.185915j -0.197786+0.0195703j -0.0173866+0.101271j -0.042383+0.10201j 0.0115077-0.144756j -0.0060543+0.146194j 0.0931334-0.0329135j 0.027215+0.0396201j 0.0252607-0.0250004j -0.00878223-0.248154j 0.0137836+0.124693j 0.0891805-0.0715249j 0.0451708+0.0875768j -0.0405941+0.029711j 0.00884541-0.00127954j 0.018018-0.00869478j 0.00451544+0.000195816j 
-0.0419919-0.0377503j -0.0226153+0.0559571j 0.00290151+0.0283666j 0.0184005-0.00347099j -0.0714658+0.0209193j -0.0262853+0.0260754j -0.016338+0.0337313j -0.0221725-0.0189957j -0.00309381-0.0218579j -0.0193795+0.00323878j -0.0296424+0.0177043j -0.0220547+0.0235237j -0.0109355-0.0289688j -0.00526301+0.0247371j 0.00552521+0.0169859j 0.0149114+0.000391281j 0.0146233+0.00245278j 0.0071093-0.0262047j -0.00293298+0.00812504j -0.0221011+0.0241413j -0.0434626+0.00142794j -0.0440692-0.0127645j -0.128705+0.0131314j -0.00680129+0.0295101j 0.00586917-0.0255785j -0.055812-0.00850834j -0.0527336-0.0197154j -0.00155453-0.051427j -0.0241966-0.0855777j 0.0208222+0.0117075j 0.0741901+0.0787094j 0.0119469+0.0417257j -0.00832305+0.00027971j 0.0150379-0.0299745j 0.014148-0.0311535j 0.0221615-0.0279523j -0.0601313-0.0397322j -0.0102241+0.0497419j 0.075501-0.123685j 0.140176+0.0226678j -0.0436933+0.0127636j 0.0145805+0.0268813j 0.00685691+0.0109146j -0.0331903+0.0453731j 0.0121655-0.00960005j 0.0782319+0.0106352j -0.0636875-0.000180061j -0.034205+0.0202554j -0.0119927+0.0284833j 0.0222486-0.0760033j -0.0973231+0.0137771j -0.0195747-0.0774042j -0.124705+0.00925783j 0.00464296+0.0578865j -0.0346826-0.0557942j 0.128743+0.0980892j -0.100001+0.0515651j -0.0170996-0.0170805j -0.00379173+0.00722562j 0.02145-0.120039j 0.0308509-0.0053577j -0.0832977+0.170317j 0.157065+0.124266j -0.112328-0.0803811j -0.134681+0.0584962j 0.140743+0.0051413j -0.0147818-0.0594138j -0.00154772-0.081461j 0.0786534+0.0584602j -0.0276062-0.101809j -0.0157606+0.0775384j -0.0739426-0.0805603j 0.0211794+0.0833084j -0.00519012-0.121607j -0.106111+0.0732081j -0.134823-0.0122107j -0.0791659+0.0415276j -0.0102501-0.00331344j -0.0478159+0.0157805j 0.0322802+0.0330573j -0.0472341+0.0904914j -0.00246067+0.0327596j 0.110841+0.0290612j 0.0890301-0.00640203j -0.263031+0.133046j 0.0172779-0.0367337j -0.157914+0.00492929j 0.00191451-0.0331623j -0.0153737+0.0611828j -0.0233705+0.0298638j -0.0353326-0.0693636j -0.0169885-0.0609162j 0.0535975-0.0313531j 0.0253142-0.0959445j 0.0612114+0.0540107j 
