0.30463+0.372373j -0.278548+0.204088j -0.0447623-0.399087j -0.249088-0.0895816j 0.277409-0.328697j -0.438478-0.0172143j 0.0342448-0.23691j 0.0332586-0.146092j -0.035005-0.067816j 0.111474+0.0753538j 0.0200379+0.0224374j -0.00420594+0.102998j 
0.00294709-0.252005j -0.0268057-0.00758902j 0.035645-0.0890816j -0.0920931+0.0653706j -0.0240567-0.203596j -0.215203-0.349106j 0.133765-0.136489j -0.0498549-0.0770133j -0.156465+0.279537j -0.47391-0.320517j 0.0663659-0.14666j 0.0187468-0.260716j 
0.0595218-0.0787369j -0.0515981-0.109122j -0.163274+0.0420508j 0.0363586+0.0278461j 0.0287389+0.0448651j 0.00988677-0.106529j -0.227626-0.0636859j 0.587299-0.388333j 0.138251+0.194262j 0.257109+0.130527j -0.229551-0.0123422j 0.147863-0.351289j 
0.040701+0.0983758j -0.0464151+0.0305415j -0.00289262+0.020351j 0.00375184-0.0519835j 0.0612329+0.0264265j 0.0967443+0.0694992j -0.0839918-0.0348683j -0.117124+0.0468912j 0.0165795-0.0637214j 0.253994+0.189444j -0.0402919+0.0180296j -0.0497828+0.150738j 
-0.0271256-0.0573506j -0.00082704-0.0405715j -0.0183815-0.0173984j 0.0433853+0.0442476j 0.00811417-0.00270748j -0.0259296-0.0594796j -0.0475455+0.0396897j 0.0181481-0.0217359j -0.00832172+0.0844205j 0.0482208+0.0286271j -0.0462865+0.0107692j 0.0480476-0.0392105j 
0.0484453-0.0243402j 0.0117243-0.0506619j 0.0799349-0.0281858j 0.00977637-0.00997554j -0.0423149-0.0101062j 0.0429247+0.0234194j 0.0269368-0.022435j -0.0691525+0.039404j -0.00996044-0.0208601j -0.0304741-0.0231583j 0.0274229-0.0501897j -0.060586+0.0271934j 
0.0136453+0.00789558j 0.0265015-0.025944j -0.0245196-0.0333346j 0.0298628+0.063511j 0.0532969-0.02385j 0.000252264-0.023047j 0.0290804-0.0330359j -0.0432619+0.0125666j -0.0152454-0.000377831j -0.0254936-0.0189061j 0.0302324-0.0549195j -0.0556138-0.0193485j 
-0.00691145-0.0257325j 0.00515496+0.0105065j -0.0319293+0.0399687j -0.00080851+0.00337697j 0.0129665-0.0040709j 0.0329049-0.0362451j -0.0102608-0.035343j 0.0151363-0.0235943j -0.0320568-0.0512926j -0.104082-0.0480992j -0.0220788-0.0354048j -0.0439872+0.0319587j 
0.00679785+0.0466509j -0.0133514+0.0153936j 0.0179223-0.0357289j 0.00818196-0.0139512j -0.000322767-0.00254164j -0.0265694+0.0485337j -0.0107228+0.0709967j -0.0603268+0.018618j -0.0677025-0.130632j -0.0668242+0.0213628j -0.0225033+0.0563085j 0.00592268+0.181406j 
