-0.0387824-0.438457j -0.0210938+0.0633304j -0.214168-0.00841787j -0.149936-0.254284j -0.220277+0.235402j 0.403366-0.361764j 0.185557+0.0562994j 0.109029-0.197164j 0.217291-0.098863j 0.0431297-0.185733j 0.072371+0.0682474j 
-0.170417+0.183287j -0.0694704-0.186517j -0.395802+0.202127j 0.229081-0.412957j 0.105379+0.0237661j 0.0421033-0.0423823j 0.221325+0.0774983j 0.327454+0.263625j -0.275952-0.212462j -0.0199839+0.133617j -0.126471-0.274973j 
-0.0463724+0.0169897j -0.0460316-0.159089j -0.134507-0.15438j -0.211566-0.11608j -0.251129+0.0942972j -0.496251+0.35538j 0.174214+0.218086j 0.063672-0.376455j 0.29595+0.048903j 0.0675477+0.0134035j 0.077844-0.364869j 
-0.0172274-0.10278j -0.0657739-0.00841608j -0.010111-0.0287412j -0.050095-0.115587j -0.0821523+0.0378628j 0.149533-0.15262j 0.0927087+0.0784077j 0.0327095-0.104308j 0.115131-0.0299364j 0.0514072-0.0676648j 0.0340001+0.0423281j 
0.0278174+0.0610854j -0.012713+0.00516249j -0.101695-0.0309222j 0.124123-0.0711939j 0.00108604-0.0276973j -0.0492125+0.013251j 0.0751657+0.0139583j 0.0683376+0.0379107j -0.0568098-0.0659078j -0.0382876+0.0150324j 0.00982902-0.101783j 
0.0170061+0.0192986j -0.0110734+0.00170255j 0.00828328-0.0172289j -0.0679229-0.0802431j 0.00876151-0.0274605j 0.00743701-0.00508711j 0.00200675+0.0230643j -0.0713872+0.0877365j 0.00188124+0.0195594j -0.0128143+0.000330322j 0.0153329-0.0142536j 
0.0300909-0.0312702j -0.0416517+0.0207136j -0.019056+0.0126304j -0.0371214-0.0196847j -0.0143241+0.0381149j 0.0302519-0.00733086j 0.00983333+0.0513077j 0.0873538-0.0641006j 0.0360185+0.0638805j 0.0142369-0.0774551j 0.078983-0.00767249j 
0.0133369-0.0122193j -0.0239087+0.0353047j 0.0256449+0.00332734j -0.00805237+0.0245945j -0.0117302+0.0481203j 0.0337228-0.0374888j -0.0418327-0.0731444j -0.045355-0.0177269j -0.0584619-0.000715283j 0.0548558-0.0505053j 0.0110126+0.126931j 
