0.0314023+0.0494453j 0.116206-0.245374j 0.206286-0.195711j -0.214871-0.0939231j 0.102903+0.102705j -0.00833579+0.00830601j -0.0747711+0.25418j -0.20743-0.340296j 0.356896+0.258479j -0.0188274-0.332203j 0.254359-0.0615341j 0.111864+0.0230061j -0.0400054+0.158106j 0.000649291+0.14405j 0.00585854+0.0576589j 
-0.0815431-0.0314422j 0.0264645-0.0144196j 0.0507153-0.115916j 0.0230657-0.156473j 0.0862085-0.0978951j -0.141151-0.0702603j 0.0156698+0.000131515j 0.198711-0.162052j -0.189258-0.346886j 0.066388+0.154381j -0.232891-0.0227624j 0.623689-0.0464525j 0.0331931+0.258774j 0.0145714+0.290783j 0.041648+0.169499j 
-0.0494829+0.00273618j -0.0375628-0.0112546j -0.00345446+0.072763j 0.0276086+0.0861094j -0.0178023+0.0906755j 0.080229-0.0384673j -9.08132e-05+0.043046j -0.0112264+0.0324462j 0.0146793+0.0473801j 0.159897-0.219622j -0.436567-0.0983218j 0.107275-0.0210385j -0.420118+0.357273j 0.392853-0.164086j -0.139973-0.392787j 
0.0310304-0.00156605j -0.0449038-0.0799162j -0.0553453-0.0471949j -0.092983-0.0811774j 0.0662081+0.0568539j -0.00763633-0.0067685j 0.104106+0.13931j -0.022401-0.0728349j 0.0993389+0.0556235j 0.102984-0.160822j 0.120616+0.0441947j 0.095443+0.0060479j -0.0682113+0.0695281j -0.0416912+0.0728718j -0.0036563+0.0336662j 
0.0141225-0.0584726j 0.0248226+0.00308336j 0.0522977+0.0279503j 0.0503554+0.0215917j 0.0353308+0.00626649j 0.0537039+0.0457924j -0.11037+0.0051708j -0.0124557+0.0760187j 0.0896447+0.0764658j -0.00697989-0.0271417j -0.0188342-0.0201895j -0.0810193+0.0165188j 0.0385872-0.00685181j 0.125116-0.0844566j 0.0458204-0.0695105j 
-0.000822093-0.00326962j -0.00689311+0.0133687j -0.0185601+0.0182426j -0.0383248-0.0593687j 0.0734342-0.0300734j 0.0651937+0.0542124j 0.020158+0.0207373j -0.0609753-0.0164925j -0.0607014+0.0120133j -0.0250044-0.00567374j -0.0471662-9.33611e-05j -0.0222398+0.0149481j -0.0407966+0.00879883j -0.0608426+0.0224218j -0.0211565-0.00510141j 
0.0047766+0.0639024j 0.0136711-0.00527332j 0.0430035-0.00130754j 0.0150036-0.0411652j 0.0688946-0.014452j 0.0109689+0.0205183j -0.0730189+0.046269j 0.051755+0.0213472j 0.0742855-0.00828269j 0.0223909-0.040036j -0.0291487+0.00635435j 0.0876714+0.00454688j 0.0516242+0.047876j 0.0738937+0.0121566j 0.0993683+0.0087737j 
0.00386344+0.0127499j 0.0127463-0.00888809j -0.00559116-0.0120921j 0.0205084-0.00898878j -0.00190085-0.0128623j 0.0458807+0.0140785j 0.0326294-0.0361162j -0.0792972-0.010509j -0.0392196+0.0435288j 0.0580535+0.0371027j 0.0292795-0.0904255j -0.013901+0.00208919j -0.0605603+0.0370712j 0.0980234-0.0414648j -0.209392-0.0619375j 
