-0.0669592-4.14112e-14j -0.0141897-8.91216e-15j 0.134595+2.83815e-16j -0.0581453-3.90476e-16j -0.120131-1.2404e-15j -0.125277-4.63991e-15j -0.104708+4.27653e-16j -0.0748645-7.82261e-16j -0.201874+7.70493e-16j -0.161389-4.74848e-15j 0.217346-5.60312e-15j -0.0708899+1.81113e-15j 0.0805882+1.36984e-16j 0.308021+3.96201e-15j 0.295607-4.43672e-14j -0.063888+5.5776e-14j -0.0553386+2.38723e-14j 0.164882-1.12789e-13j 0.000252305-1.57418e-14j 0.129765+5.40473e-15j -0.104856-4.59407e-15j 0.0627572-1.01322e-14j -0.00666074+6.48166e-15j -0.0182288-1.20151e-15j 0.0953366-5.0695e-15j 0.159464+2.84701e-14j 0.108728+3.69404e-15j -0.376888-2.69711e-14j -0.00744132-9.954e-15j -0.0894862-2.33406e-14j -0.12348+3.6998e-14j 0.06439+1.23768e-14j 0.0152021-5.16837e-15j 0.0271911+4.82158e-15j -0.0779342+1.62156e-14j -0.113735-1.08938e-14j -0.132003-3.86304e-14j -0.103324-1.8523e-13j -0.141203-1.63219e-13j -0.0350735-3.17698e-14j -0.203836-9.25949e-14j 0.183633+6.17065e-13j -0.243476+4.33239e-16j 0.0922743-3.36886e-15j 0.104645-1.49497e-15j 0.156368+4.95869e-15j -0.116497+2.66992e-15j 0.137277+3.55473e-15j -0.0702878-4.54454e-16j -0.087528-3.80193e-16j -0.108728+4.55165e-15j -0.102479+1.2366e-15j 0.0543818-8.62517e-17j 0.119803-4.06088e-17j -0.013549+1.59807e-15j 0.0626664-7.23619e-15j 
-0.00046572-2.88026e-16j -9.86932e-05-6.19866e-17j 0.000936145+1.97401e-18j -0.000404417-2.71587e-18j -0.000835543-8.62735e-18j -0.000871338-3.22718e-17j -0.000728275+2.97445e-18j -0.000520703-5.44085e-18j -0.00140409+5.359e-18j -0.00112251-3.3027e-17j 0.0015117-3.89713e-17j -0.000493059+1.25969e-17j 0.000560514+9.52761e-19j 0.00214237+2.75569e-17j 0.00205603-3.08586e-16j -0.000444359+3.87937e-16j -0.000384895+1.66038e-16j 0.0011468-7.84482e-16j 1.75485e-06-1.09488e-16j 0.000902555+3.75914e-17j -0.000729301-3.1953e-17j 0.000436494-7.04722e-17j -4.63273e-05+4.50817e-17j -0.000126786-8.35682e-18j 0.000663093-3.52598e-17j 0.00110911+1.98018e-16j 0.000756237+2.56931e-17j -0.00262136-1.87592e-16j -5.17564e-05-6.92328e-17j -0.000622402-1.6234e-16j -0.000858837+2.57331e-16j 0.000447851+8.60843e-17j 0.000105735-3.59474e-17j 0.000189122+3.35354e-17j -0.000542054+1.12784e-16j -0.000791056-7.57697e-17j -0.000918119-2.68685e-16j -0.000718648-1.28833e-15j -0.000982105-1.13523e-15j -0.000243946-2.20968e-16j -0.00141774-6.44023e-16j 0.00127722+4.29186e-15j -0.00169344+3.01329e-18j 0.000641793-2.34313e-17j 0.000727838-1.03979e-17j 0.00108759+3.44891e-17j -0.000810268+1.857e-17j 0.000954796+2.47241e-17j -0.000488871-3.16086e-18j -0.000608781-2.64435e-18j -0.000756233+3.1658e-17j -0.000712772+8.60088e-18j 0.000378241-5.99904e-19j 0.000833264-2.82446e-19j -9.42368e-05+1.1115e-17j 0.000435862-5.03297e-17j 
0.000529929+3.27737e-16j 0.0001123+7.05326e-17j -0.00106521-2.24617e-18j 0.000460173+3.0903e-18j 0.00095074+9.8168e-18j 0.000991469+3.67212e-17j 0.000828683-3.38454e-18j 0.000592493+6.19097e-18j 0.00159767-6.09784e-18j 0.00127726+3.75804e-17j -0.00172012+4.43443e-17j 0.000561037-1.43336e-17j -0.000637792-1.08412e-18j -0.00243774-3.13562e-17j -0.00233949+3.51131e-16j 0.000505622-4.41422e-16j 0.000437961-1.8893e-16j -0.00130491+8.92639e-16j -1.99679e-06+1.24584e-16j -0.00102699-4.27741e-17j 0.00082985+3.63584e-17j -0.000496673+8.01882e-17j 5.27145e-05-5.12972e-17j 0.000144266+9.50897e-18j -0.000754514+4.0121e-17j -0.00126203-2.25318e-16j -0.000860499-2.92354e-17j 0.00298277+2.13455e-16j 5.88921e-05+7.8778e-17j 0.000708212+1.84722e-16j 0.000977245-2.92809e-16j -0.000509596-9.79527e-17j -0.000120313+4.09035e-17j -0.000215196-3.81589e-17j 0.000616787-1.28333e-16j 0.000900119+8.62161e-17j 0.0010447+3.05729e-16j 0.000817728+1.46595e-15j 0.00111751+1.29175e-15j 0.000277579+2.51433e-16j 0.0016132+7.32815e-16j -0.00145331-4.88358e-15j 0.00192692-3.42874e-18j -0.000730277+2.66618e-17j -0.000828184+1.18315e-17j -0.00123753-3.92441e-17j 0.00092198-2.11303e-17j -0.00108643-2.81328e-17j 0.000556272+3.59664e-18j 0.000692714+3.00892e-18j 0.000860495-3.60227e-17j 0.000811042-9.78668e-18j -0.000430389+6.82613e-19j -0.000948146+3.21387e-19j 0.000107229-1.26474e-17j -0.000495954+5.72687e-17j 
3.18374e-18+1.969e-30j 6.74684e-19+4.23751e-31j -6.39966e-18-1.34947e-32j 2.76467e-18+1.85662e-32j 5.71192e-18+5.89781e-32j 5.95662e-18+2.20616e-31j 4.97862e-18-2.03339e-32j 3.55962e-18+3.71946e-32j 9.59861e-18-3.66351e-32j 7.67365e-18+2.25779e-31j -1.03343e-17+2.66415e-31j 3.37064e-18-8.61147e-32j -3.83177e-18-6.51325e-33j -1.46456e-17-1.88384e-31j -1.40554e-17+2.10955e-30j 3.03772e-18-2.65201e-30j 2.63121e-18-1.13507e-30j -7.83976e-18+5.36286e-30j -1.19965e-20+7.48482e-31j -6.17003e-18-2.56982e-31j 4.98564e-18+2.18437e-31j -2.98395e-18+4.81761e-31j 3.16702e-19-3.08187e-31j 8.66734e-19+5.71287e-32j -4.53302e-18+2.41042e-31j -7.5821e-18-1.35368e-30j -5.16977e-18-1.75642e-31j 1.79201e-17+1.28241e-30j 3.53816e-19+4.73288e-31j 4.25485e-18+1.10979e-30j 5.87117e-18-1.75916e-30j -3.06159e-18-5.88488e-31j -7.22823e-19+2.45743e-31j -1.29287e-18-2.29254e-31j 3.70558e-18-7.71012e-31j 5.4078e-18+5.17976e-31j 6.27643e-18+1.83678e-30j 4.91281e-18+8.80725e-30j 6.71385e-18+7.76065e-30j 1.66766e-18+1.51058e-30j 9.69191e-18+4.40266e-30j -8.73132e-18-2.93399e-29j 1.15767e-17-2.05994e-32j -4.38741e-18+1.60181e-31j -4.97563e-18+7.1082e-32j -7.43494e-18-2.35774e-31j 5.53914e-18-1.26948e-31j -6.52716e-18-1.69018e-31j 3.34201e-18+2.16082e-32j 4.16174e-18+1.80772e-32j 5.16975e-18-2.1642e-31j 4.87264e-18-5.87972e-32j -2.58572e-18+4.10105e-33j -5.69634e-18+1.93085e-33j 6.44219e-19-7.59841e-32j -2.97963e-18+3.44063e-31j 
-0.000185443-1.14688e-16j -3.92982e-05-2.46822e-17j 0.00037276+7.86023e-19j -0.000161033-1.08142e-18j -0.000332701-3.43529e-18j -0.000346954-1.28502e-17j -0.000289989+1.18438e-18j -0.000207337-2.16647e-18j -0.000559088+2.13388e-18j -0.000446965-1.31509e-17j 0.000601938-1.55178e-17j -0.000196329+5.0159e-18j 0.000223188+3.79376e-19j 0.000853061+1.09728e-17j 0.000818681-1.22875e-16j -0.000176937+1.54471e-16j -0.00015326+6.61141e-17j 0.000456641-3.1237e-16j 6.98756e-07-4.35967e-17j 0.000359385+1.49684e-17j -0.000290397-1.27232e-17j 0.000173806-2.8061e-17j -1.84469e-05+1.79509e-17j -5.04845e-05-3.32757e-18j 0.000264034-1.40399e-17j 0.000441633+7.88478e-17j 0.000301123+1.02306e-17j -0.00104379-7.46963e-17j -2.06087e-05-2.75675e-17j -0.000247831-6.46417e-17j -0.000341977+1.02466e-16j 0.000178328+3.42775e-17j 4.21021e-05-1.43137e-17j 7.53056e-05+1.33533e-17j -0.000215838+4.4909e-17j -0.000314987-3.01704e-17j -0.000365582-1.06987e-16j -0.000286155-5.12994e-16j -0.00039106-4.52033e-16j -9.71358e-05-8.79862e-17j -0.000564523-2.56441e-16j 0.000508571+1.70896e-15j -0.000674304+1.19985e-18j 0.000255553-9.33002e-18j 0.000289814-4.1403e-18j 0.000433061+1.37331e-17j -0.000322637+7.39432e-18j 0.000380186+9.84478e-18j -0.000194662-1.25861e-18j -0.000242408-1.05294e-18j -0.000301121+1.26058e-17j -0.000283816+3.42475e-18j 0.00015061-2.38873e-19j 0.000331794-1.12466e-19j -3.75237e-05+4.42583e-18j 0.000173554-2.00406e-17j 
-2.19343e-05-1.35654e-17j -4.64822e-06-2.91942e-18j 4.40903e-05+9.29714e-20j -1.90471e-05-1.27911e-19j -3.93522e-05-4.06328e-19j -4.1038e-05-1.51993e-18j -3.43001e-05+1.4009e-19j -2.45239e-05-2.56251e-19j -6.61293e-05+2.52396e-19j -5.28674e-05-1.5555e-18j 7.11976e-05-1.83546e-18j -2.32219e-05+5.93285e-19j 2.63989e-05+4.48729e-20j 0.000100901+1.29787e-18j 9.68342e-05-1.45337e-17j -2.09283e-05+1.8271e-17j -1.81277e-05+7.82003e-18j 5.40118e-05-3.69473e-17j 8.26494e-08-5.15665e-18j 4.25083e-05+1.77047e-18j -3.43484e-05-1.50491e-18j 2.05579e-05-3.31908e-18j -2.18191e-06+2.12325e-18j -5.97134e-06-3.93587e-19j 3.12301e-05-1.66065e-18j 5.22367e-05+9.32618e-18j 3.5617e-05+1.21008e-18j -0.00012346-8.83513e-18j -2.43761e-06-3.26071e-18j -2.93137e-05-7.64586e-18j -4.04492e-05+1.21197e-17j 2.10927e-05+4.05437e-18j 4.97987e-06-1.69304e-18j 8.9072e-06+1.57944e-18j -2.55295e-05+5.31186e-18j -3.72569e-05-3.56858e-18j -4.32413e-05-1.26545e-17j -3.38467e-05-6.06773e-17j -4.62549e-05-5.34668e-17j -1.14893e-05-1.04071e-17j -6.67722e-05-3.0332e-17j 6.01542e-05+2.02137e-16j -7.97572e-05+1.41919e-19j 3.0227e-05-1.10356e-18j 3.42795e-05-4.89717e-19j 5.12228e-05+1.62436e-18j -3.81618e-05+8.74605e-19j 4.49687e-05+1.16445e-18j -2.30247e-05-1.48869e-19j -2.86722e-05-1.24543e-19j -3.56168e-05+1.49102e-18j -3.35699e-05+4.05082e-19j 1.78143e-05-2.82541e-20j 3.92448e-05-1.33025e-20j -4.43833e-06+5.2349e-19j 2.05281e-05-2.37041e-18j 
-0.000225369-1.3938e-16j -4.77591e-05-2.99962e-17j 0.000453015+9.55255e-19j -0.000195703-1.31425e-18j -0.000404332-4.17491e-18j -0.000421654-1.56168e-17j -0.000352424+1.43938e-18j -0.000251976-2.63291e-18j -0.00067946+2.5933e-18j -0.000543197-1.59823e-17j 0.000731536-1.88588e-17j -0.000238599+6.09583e-18j 0.000271241+4.61056e-19j 0.00103673+1.33352e-17j 0.000994944-1.4933e-16j -0.000215032+1.87729e-16j -0.000186257+8.03485e-17j 0.000554956-3.79623e-16j 8.49199e-07-5.29831e-17j 0.00043676+1.81911e-17j -0.00035292-1.54626e-17j 0.000211226-3.41026e-17j -2.24185e-05+2.18157e-17j -6.13538e-05-4.04399e-18j 0.000320881-1.70627e-17j 0.000536717+9.58238e-17j 0.000365954+1.24333e-17j -0.00126852-9.07785e-17j -2.50457e-05-3.35028e-17j -0.00030119-7.85591e-17j -0.000415604+1.24526e-16j 0.000216722+4.16575e-17j 5.11667e-05-1.73955e-17j 9.15189e-05+1.62283e-17j -0.000262308+5.45779e-17j -0.000382804-3.66661e-17j -0.000444292-1.30021e-16j -0.000347765-6.23442e-16j -0.000475256-5.49356e-16j -0.000118049-1.0693e-16j -0.000686065-3.11653e-16j 0.000618067+2.0769e-15j -0.000819483+1.45818e-18j 0.000310574-1.13388e-17j 0.000352212-5.03171e-18j 0.0005263+1.66898e-17j -0.000392101+8.98632e-18j 0.000462041+1.19644e-17j -0.000236572-1.52959e-18j -0.000294599-1.27964e-18j -0.000365953+1.53198e-17j -0.000344922+4.1621e-18j 0.000183037-2.90303e-19j 0.000403229-1.3668e-19j -4.56026e-05+5.37871e-18j 0.00021092-2.43553e-17j 
1.97143e-18+1.21924e-30j 4.17776e-19+2.62394e-31j -3.96278e-18-8.35615e-33j 1.71193e-18+1.14965e-32j 3.53692e-18+3.65203e-32j 3.68844e-18+1.36609e-31j 3.08285e-18-1.25911e-32j 2.20418e-18+2.30315e-32j 5.94362e-18-2.26851e-32j 4.75165e-18+1.39806e-31j -6.39915e-18+1.64969e-31j 2.08716e-18-5.33237e-32j -2.3727e-18-4.03311e-33j -9.06883e-18-1.16651e-31j -8.70334e-18+1.30627e-30j 1.88101e-18-1.64217e-30j 1.62929e-18-7.02854e-31j -4.85451e-18+3.32078e-30j -7.42842e-21+4.63473e-31j -3.82059e-18-1.59127e-31j 3.08719e-18+1.3526e-31j -1.84771e-18+2.98315e-31j 1.96107e-19-1.90835e-31j 5.36696e-19+3.53751e-32j -2.80693e-18+1.49257e-31j -4.69496e-18-8.38225e-31j -3.20121e-18-1.08761e-31j 1.10964e-17+7.9409e-31j 2.19089e-19+2.93068e-31j 2.63468e-18+6.872e-31j 3.63553e-18-1.0893e-30j -1.89579e-18-3.64402e-31j -4.47584e-19+1.52168e-31j -8.00568e-19-1.41958e-31j 2.29456e-18-4.77423e-31j 3.3486e-18+3.20739e-31j 3.88647e-18+1.13737e-30j 3.0421e-18+5.4536e-30j 4.15733e-18+4.80552e-30j 1.03264e-18+9.35374e-31j 6.00139e-18+2.7262e-30j -5.40658e-18-1.81678e-29j 7.16847e-18-1.27555e-32j -2.71676e-18+9.91867e-32j -3.08099e-18+4.40152e-32j -4.60384e-18-1.45995e-31j 3.42993e-18-7.86084e-32j -4.04173e-18-1.04659e-31j 2.06943e-18+1.33802e-32j 2.57702e-18+1.11937e-32j 3.2012e-18-1.34011e-31j 3.01722e-18-3.64082e-32j -1.60112e-18+2.53944e-33j -3.52727e-18+1.19562e-33j 3.98912e-19-4.70506e-32j -1.84504e-18+2.1305e-31j 
-5.22172e-05-3.22939e-17j -1.10656e-05-6.95002e-18j 0.000104962+2.21329e-19j -4.53438e-05-3.04507e-19j -9.36823e-05-9.67311e-19j -9.76956e-05-3.61837e-18j -8.16553e-05+3.335e-19j -5.8382e-05-6.10035e-19j -0.000157428+6.00858e-19j -0.000125857-3.70303e-18j 0.000169494-4.36952e-18j -5.52825e-05+1.41238e-18j 6.28456e-05+1.06825e-19j 0.000240206+3.08972e-18j 0.000230525-3.45991e-17j -4.98221e-05+4.34961e-17j -4.3155e-05+1.86165e-17j 0.000128581-8.79573e-17j 1.96756e-07-1.2276e-17j 0.000101196+4.2148e-18j -8.17703e-05-3.58262e-18j 4.89403e-05-7.90145e-18j -5.19429e-06+5.05463e-18j -1.42155e-05-9.36979e-19j 7.43469e-05-3.95338e-18j 0.000124355+2.2202e-17j 8.47903e-05+2.88074e-18j -0.000293911-2.1033e-17j -5.80301e-06-7.76249e-18j -6.97846e-05-1.82019e-17j -9.6294e-05+2.88523e-17j 5.02137e-05+9.6519e-18j 1.18551e-05-4.03048e-18j 2.12046e-05+3.76004e-18j -6.07759e-05+1.26455e-17j -8.86944e-05-8.49541e-18j -0.000102941-3.01254e-17j -8.05759e-05-1.44449e-16j -0.000110115-1.27284e-16j -2.73516e-05-2.47752e-17j -0.000158959-7.22088e-17j 0.000143204+4.81209e-16j -0.000189871+3.37855e-19j 7.19588e-05-2.62716e-18j 8.16062e-05-1.16583e-18j 0.000121942+3.86697e-18j -9.08484e-05+2.0821e-18j 0.000107053+2.7721e-18j -5.4813e-05-3.544e-19j -6.82575e-05-2.96488e-19j -8.479e-05+3.54954e-18j -7.99171e-05+9.64343e-19j 4.24089e-05-6.72621e-20j 9.34267e-05-3.16682e-20j -1.0566e-05+1.24623e-18j 4.88695e-05-5.64304e-18j 
-0.000387717-2.39785e-16j -8.21632e-05-5.16045e-17j 0.000779352+1.64339e-18j -0.000336682-2.26099e-18j -0.0006956-7.18237e-18j -0.000725399-2.68667e-17j -0.000606298+2.47626e-18j -0.000433492-4.52957e-18j -0.00116892+4.46143e-18j -0.000934499-2.74954e-17j 0.00125851-3.24441e-17j -0.000410477+1.04871e-17j 0.000466634+7.93185e-19j 0.00178355+2.29415e-17j 0.00171167-2.56902e-16j -0.000369934+3.22962e-16j -0.00032043+1.38229e-16j 0.000954728-6.53091e-16j 1.46093e-06-9.11504e-17j 0.000751388+3.12953e-17j -0.000607152-2.66013e-17j 0.000363386-5.86689e-17j -3.8568e-05+3.75311e-17j -0.000105551-6.95715e-18j 0.000552033-2.93542e-17j 0.00092335+1.64852e-16j 0.000629576+2.13898e-17j -0.00218231-1.56172e-16j -4.30878e-05-5.76371e-17j -0.000518157-1.3515e-16j -0.000714992+2.14231e-16j 0.000372841+7.16662e-17j 8.80255e-05-2.99267e-17j 0.000157446+2.79186e-17j -0.000451267+9.3894e-17j -0.000658564-6.30792e-17j -0.000764345-2.23684e-16j -0.000598283-1.07255e-15j -0.000817614-9.45093e-16j -0.000203088-1.83958e-16j -0.00118028-5.36157e-16j 0.0010633+3.57302e-15j -0.00140981+2.5086e-18j 0.0005343-1.95069e-17j 0.000605933-8.65638e-18j 0.000905428+2.87126e-17j -0.000674558+1.54598e-17j 0.000794879+2.05831e-17j -0.000406991-2.63145e-18j -0.000506818-2.20145e-18j -0.000629573+2.63557e-17j -0.000593391+7.16033e-18j 0.00031489-4.99427e-19j 0.000693702-2.35139e-19j -7.84532e-05+9.25336e-18j 0.00036286-4.19001e-17j 
1.18164e-17+7.3079e-30j 2.50408e-18+1.57274e-30j -2.37522e-17-5.00853e-32j 1.0261e-17+6.89079e-32j 2.11997e-17+2.18896e-31j 2.21079e-17+8.18812e-31j 1.8478e-17-7.54687e-32j 1.32115e-17+1.38047e-31j 3.5625e-17-1.3597e-31j 2.84806e-17+8.37972e-31j -3.83554e-17+9.88792e-31j 1.25101e-17-3.19613e-31j -1.42215e-17-2.41738e-32j -5.43569e-17-6.99183e-31j -5.21663e-17+7.82955e-30j 1.12744e-17-9.84287e-30j 9.76569e-18-4.21278e-30j -2.90971e-17+1.99041e-29j -4.45247e-20+2.77798e-30j -2.28999e-17-9.53782e-31j 1.85041e-17+8.10723e-31j -1.10749e-17+1.78804e-30j 1.17543e-18-1.14383e-30j 3.21686e-18+2.12032e-31j -1.68242e-17+8.94622e-31j -2.81408e-17-5.02417e-30j -1.91875e-17-6.51893e-31j 6.651e-17+4.75964e-30j 1.31318e-18+1.7566e-30j 1.57918e-17+4.11896e-30j 2.17907e-17-6.52909e-30j -1.1363e-17-2.18416e-30j -2.68274e-18+9.1207e-31j -4.79846e-18-8.50871e-31j 1.37532e-17-2.86159e-30j 2.00709e-17+1.92245e-30j 2.32948e-17+6.81717e-30j 1.82338e-17+3.26879e-29j 2.49183e-17+2.88035e-29j 6.18948e-18+5.60647e-30j 3.59713e-17+1.63404e-29j -3.24061e-17-1.08894e-28j 4.29666e-17-7.64543e-32j -1.62838e-17+5.94508e-31j -1.84669e-17+2.63819e-31j -2.75946e-17-8.75069e-31j 2.05584e-17-4.71165e-31j -2.42254e-17-6.27308e-31j 1.24038e-17+8.01983e-32j 1.54462e-17+6.70933e-32j 1.91874e-17-8.03238e-31j 1.80847e-17-2.18224e-31j -9.59685e-18+1.5221e-32j -2.11418e-17+7.16631e-33j 2.39101e-18-2.82013e-31j -1.10588e-17+1.27698e-30j 
