-0.11371+9.81583e-13j -0.0400016+2.16199e-13j -0.166559-1.84984e-15j 0.0958549+1.93537e-15j 0.0877726-3.8756e-16j 0.183694+1.96382e-14j 0.10159+3.09905e-15j 0.0581754-9.83115e-16j 0.0533614+4.49697e-16j 0.180864-4.91231e-15j -0.159273+3.72832e-15j -0.148764-9.31962e-16j -0.0660818+3.78731e-16j 0.015846+8.37204e-16j 0.0639748-9.1599e-15j -0.202566+3.16896e-14j -0.0790305-2.26982e-14j -0.0692294-5.64741e-14j -0.202159-3.40182e-14j -0.0542536+1.11519e-14j 0.125531+3.27595e-14j -0.120792-2.69603e-14j -0.206096+5.80774e-15j 0.097021-1.1332e-13j -0.0213004+9.11755e-15j -0.0994035+8.61781e-14j -0.0445649+2.98516e-15j 0.210523-4.09513e-14j 0.116544-4.16562e-14j -0.0514376+3.12478e-15j -0.0915169+4.97751e-15j -0.045047+1.32353e-14j -0.0232603+2.50883e-14j 0.0341073-1.01343e-13j -0.177252-3.27462e-15j -0.110614-1.91636e-14j -0.0584187+1.55572e-14j 0.117461+3.57579e-14j 0.221476-2.93594e-14j 0.100599-2.49464e-14j 0.0372094-2.35212e-14j -0.123328+1.60552e-14j 0.159272+3.89788e-15j 0.0495772-2.71523e-14j 0.0134457-9.02039e-15j -0.00341901+9.40616e-15j -0.0601218-8.31582e-16j 0.0818393-2.37263e-14j -0.176214-1.70561e-15j -0.0582859+2.32011e-14j 0.143934-3.38173e-14j -0.105788-6.18347e-14j 0.0294212+8.65733e-15j 0.108307-9.10233e-15j 0.164021+1.97094e-15j 0.0425026+4.27384e-15j 0.136583+1.51683e-14j -0.0226944+1.26519e-15j 0.19533-3.67783e-14j 0.0484739+7.81274e-14j -0.0326991+1.49498e-14j -0.144392-1.96644e-15j -0.0779243+8.941e-16j -0.0474371-2.1462e-15j 0.0804828+1.40537e-15j 0.132912-3.31009e-15j 0.146576+1.24225e-15j -0.15417-2.21156e-14j -0.0465075+3.52955e-15j -0.0560814+5.49442e-16j -0.0946577+3.97575e-15j -0.169037+1.23877e-14j -0.0802742-2.32785e-15j 0.0906984-2.12001e-15j 0.156161-2.05027e-15j -0.0386313-1.94093e-13j 0.109046+8.65814e-13j 
-0.0015859+1.36901e-14j -0.000557898+3.0153e-15j -0.00232299-2.57996e-17j 0.00133688+2.69924e-17j 0.00122416-5.40527e-18j 0.00256197+2.73892e-16j 0.00141687+4.32221e-17j 0.000811367-1.37114e-17j 0.000744227+6.27189e-18j 0.00252249-6.85116e-17j -0.00222137+5.19986e-17j -0.00207479-1.2998e-17j -0.000921638+5.28214e-18j 0.000221003+1.16764e-17j 0.000892251-1.27752e-16j -0.00282517+4.41972e-16j -0.00110223-3.16571e-16j -0.000965537-7.8764e-16j -0.00281949-4.74449e-16j -0.00075667+1.55534e-16j 0.00175077+4.56894e-16j -0.00168467-3.76014e-16j -0.0028744+8.10001e-17j 0.00135314-1.58047e-15j -0.000297075+1.27162e-16j -0.00138637+1.20192e-15j -0.000621543+4.16337e-17j 0.00293614-5.71145e-16j 0.00162543-5.80975e-16j -0.000717395+4.35811e-17j -0.00127638+6.94208e-17j -0.000628266+1.84591e-16j -0.000324409+3.49905e-16j 0.000475692-1.41342e-15j -0.00247212-4.56709e-17j -0.00154272-2.67273e-16j -0.00081476+2.16975e-16j 0.00163822+4.98713e-16j 0.0030889-4.09474e-16j 0.00140305-3.47925e-16j 0.000518957-3.28048e-16j -0.00172004+2.2392e-16j 0.00222135+5.43634e-17j 0.000691449-3.78691e-16j 0.000187526-1.25807e-16j -4.76846e-05+1.31187e-16j -0.000838513-1.1598e-17j 0.00114141-3.30908e-16j -0.00245764-2.37881e-17j -0.000812908+3.23583e-16j 0.00200743-4.71647e-16j -0.00147542-8.62404e-16j 0.000410335+1.20743e-16j 0.00151055-1.26949e-16j 0.00228759+2.74886e-17j 0.00059278+5.96069e-17j 0.00190491+2.11551e-16j -0.000316517+1.76455e-17j 0.00272425-5.12944e-16j 0.000676061+1.08964e-15j -0.000456052+2.08504e-16j -0.00201382-2.74258e-17j -0.0010868+1.24699e-17j -0.000661601-2.99328e-17j 0.00112249+1.96006e-17j 0.00185371-4.61655e-17j 0.00204428+1.73256e-17j -0.0021502-3.08445e-16j -0.000648636+4.92264e-17j -0.000782162+7.66302e-18j -0.00132018+5.54494e-17j -0.00235754+1.72771e-16j -0.00111958-3.24664e-17j 0.00126496-2.95676e-17j 0.00217796-2.8595e-17j -0.000538788-2.707e-15j 0.00152086+1.20754e-14j 
-0.000300011+2.58981e-15j -0.00010554+5.70418e-16j -0.000439449-4.88062e-18j 0.000252903+5.10627e-18j 0.000231579-1.02254e-18j 0.000484659+5.18133e-17j 0.000268034+8.17652e-18j 0.00015349-2.59385e-18j 0.000140789+1.18648e-18j 0.000477191-1.29606e-17j -0.000420227+9.83679e-18j -0.000392497-2.45888e-18j -0.00017435+9.99244e-19j 4.1808e-05+2.20888e-18j 0.000168791-2.41675e-17j -0.00053445+8.36098e-17j -0.000208514-5.9887e-17j -0.000182655-1.49001e-16j -0.000533375-8.97535e-17j -0.000143142+2.94231e-17j 0.000331201+8.64326e-17j -0.000318696-7.11321e-17j -0.000543762+1.53231e-17j 0.00025598-2.98984e-16j -5.6199e-05+2.40557e-17j -0.000262266+2.27372e-16j -0.00011758+7.87603e-18j 0.000555442-1.08046e-16j 0.000307489-1.09906e-16j -0.000135713+8.24442e-18j -0.000241458+1.31326e-17j -0.000118852+3.49199e-17j -6.13698e-05+6.6193e-17j 8.99887e-05-2.67383e-16j -0.000467662-8.63975e-18j -0.000291844-5.05611e-17j -0.000154132+4.1046e-17j 0.000309909+9.43437e-17j 0.000584341-7.74619e-17j 0.000265421-6.58185e-17j 9.81733e-05-6.20582e-17j -0.000325388+4.236e-17j 0.000420223+1.02842e-17j 0.000130804-7.16386e-17j 3.5475e-05-2.37994e-17j -9.02071e-06+2.48172e-17j -0.000158625-2.19404e-18j 0.000215925-6.25994e-17j -0.000464923-4.50009e-18j -0.000153781+6.12137e-17j 0.000379755-8.92234e-17j -0.000279111-1.63145e-16j 7.76248e-05+2.28415e-17j 0.000285758-2.40156e-17j 0.000432754+5.20013e-18j 0.000112139+1.12761e-17j 0.000360359+4.002e-17j -5.98769e-05+3.33807e-18j 0.000515359-9.70358e-17j 0.000127893+2.06131e-16j -8.62733e-05+3.94436e-17j -0.000380964-5.18825e-18j -0.000205595+2.35899e-18j -0.000125158-5.66252e-18j 0.000212346+3.70793e-18j 0.000350673-8.73333e-18j 0.000386725+3.27756e-18j -0.000406763-5.83498e-17j -0.000122705+9.31237e-18j -0.000147965+1.44965e-18j -0.000249745+1.04896e-17j -0.000445986+3.26838e-17j -0.000211795-6.1418e-18j 0.000239298-5.59343e-18j 0.000412014-5.40944e-18j -0.000101925-5.12095e-16j 0.000287708+2.28436e-15j 
-0.00143649+1.24003e-14j -0.000505337+2.73122e-15j -0.00210413-2.33689e-17j 0.00121093+2.44494e-17j 0.00110883-4.89603e-18j 0.0023206+2.48088e-16j 0.00128338+3.91501e-17j 0.000734926-1.24196e-17j 0.000674112+5.681e-18j 0.00228484-6.2057e-17j -0.00201209+4.70997e-17j -0.00187932-1.17734e-17j -0.000834808+4.78449e-18j 0.000200181+1.05763e-17j 0.00080819-1.15717e-16j -0.00255901+4.00333e-16j -0.000998387-2.86746e-16j -0.000874571-7.13434e-16j -0.00255386-4.2975e-16j -0.000685382+1.40881e-16j 0.00158583+4.13849e-16j -0.00152595-3.40588e-16j -0.00260359+7.33689e-17j 0.00122566-1.43157e-15j -0.000269087+1.15181e-16j -0.00125576+1.08868e-15j -0.000562986+3.77113e-17j 0.00265952-5.17336e-16j 0.00147229-5.2624e-16j -0.000649808+3.94752e-17j -0.00115613+6.28805e-17j -0.000569076+1.67201e-16j -0.000293846+3.1694e-16j 0.000430876-1.28026e-15j -0.00223922-4.13681e-17j -0.00139738-2.42092e-16j -0.000738+1.96533e-16j 0.00148388+4.51728e-16j 0.00279789-3.70896e-16j 0.00127087-3.15146e-16j 0.000470065-2.97142e-16j -0.00155799+2.02824e-16j 0.00201207+4.92417e-17j 0.000626306-3.43014e-16j 0.000169858-1.13954e-16j -4.31921e-05+1.18827e-16j -0.000759515-1.05053e-17j 0.00103387-2.99733e-16j -0.0022261-2.15469e-17j -0.000736322+2.93098e-16j 0.00181831-4.27212e-16j -0.00133641-7.81155e-16j 0.000371676+1.09368e-16j 0.00136824-1.14989e-16j 0.00207207+2.48988e-17j 0.000536933+5.39912e-17j 0.00172544+1.9162e-16j -0.000286697+1.59831e-17j 0.0024676-4.64618e-16j 0.000612367+9.86979e-16j -0.000413086+1.8886e-16j -0.0018241-2.48419e-17j -0.000984413+1.12951e-17j -0.00059927-2.71128e-17j 0.00101673+1.7754e-17j 0.00167906-4.18162e-17j 0.00185168+1.56933e-17j -0.00194763-2.79386e-16j -0.000587526+4.45887e-17j -0.000708473+6.94107e-18j -0.00119581+5.02254e-17j -0.00213543+1.56494e-16j -0.0010141-2.94076e-17j 0.00114579-2.6782e-17j 0.00197277-2.5901e-17j -0.000488028-2.45197e-15j 0.00137758+1.09378e-14j 
-0.000198034+1.7095e-15j -6.96657e-05+3.76526e-16j -0.000290075-3.22163e-18j 0.000166938+3.37058e-18j 0.000152862-6.74965e-19j 0.000319917+3.42013e-17j 0.000176926+5.39722e-18j 0.000101317-1.71217e-18j 9.29328e-05+7.83181e-19j 0.000314988-8.55516e-18j -0.000277386+6.49314e-18j -0.000259083-1.62308e-18j -0.000115086+6.59589e-19j 2.75969e-05+1.45805e-18j 0.000111417-1.59526e-17j -0.000352784+5.51898e-17j -0.000137637-3.95307e-17j -0.000120568-9.83538e-17j -0.000352074-5.92452e-17j -9.44866e-05+1.94218e-17j 0.000218622+5.70531e-17j -0.000210367-4.69534e-17j -0.000358931+1.01146e-17j 0.000168969-1.97355e-16j -3.70963e-05+1.58789e-17j -0.000173119+1.50086e-16j -7.76131e-05+5.19887e-18j 0.00036664-7.13197e-17j 0.000202969-7.25473e-17j -8.95823e-05+5.44204e-18j -0.000159383+8.66869e-18j -7.84526e-05+2.30502e-17j -4.05095e-05+4.36932e-17j 5.94004e-05-1.76496e-16j -0.000308698-5.70299e-18j -0.000192642-3.33747e-17j -0.00010174+2.7094e-17j 0.000204567+6.22751e-17j 0.000385716-5.11316e-17j 0.000175201-4.3446e-17j 6.4803e-05-4.09638e-17j -0.000214784+2.79613e-17j 0.000277384+6.78844e-18j 8.63424e-05-4.72878e-17j 2.34166e-05-1.57097e-17j -5.95446e-06+1.63815e-17j -0.000104706-1.44826e-18j 0.000142529-4.13211e-17j -0.00030689-2.97045e-18j -0.000101509+4.04064e-17j 0.000250672-5.88953e-17j -0.000184238-1.0769e-16j 5.12392e-05+1.50774e-17j 0.000188625-1.58524e-17j 0.000285655+3.43254e-18j 7.40213e-05+7.44321e-18j 0.000237869+2.64167e-17j -3.9524e-05+2.20342e-18j 0.000340182-6.40521e-17j 8.44208e-05+1.36065e-16j -5.6948e-05+2.60362e-17j -0.000251469-3.4247e-18j -0.000135711+1.55714e-18j -8.26151e-05-3.73776e-18j 0.000140167+2.44756e-18j 0.000231475-5.76476e-18j 0.000255272+2.16348e-18j -0.000268499-3.8516e-17j -8.09962e-05+6.14698e-18j -9.76698e-05+9.56893e-19j -0.000164853+6.92405e-18j -0.00029439+2.15741e-17j -0.000139803-4.05413e-18j 0.000157958-3.69215e-18j 0.000271965-3.5707e-18j -6.72793e-05-3.38027e-16j 0.000189912+1.50788e-15j 
-0.00058103+5.01566e-15j -0.000204399+1.10473e-15j -0.000851078-9.45226e-18j 0.000489796+9.88927e-18j 0.000448498-1.98034e-18j 0.000938636+1.00347e-16j 0.000519101+1.58354e-17j 0.000297263-5.02349e-18j 0.000272664+2.29785e-18j 0.000924172-2.51008e-17j -0.00081385+1.90509e-17j -0.000760147-4.76211e-18j -0.000337663+1.93523e-18j 8.09693e-05+4.27792e-18j 0.000326896-4.6805e-17j -0.00103507+1.61927e-16j -0.000403827-1.15983e-16j -0.000353746-2.8857e-16j -0.00103298-1.73825e-16j -0.000277223+5.69835e-17j 0.000641436+1.67394e-16j -0.000617217-1.37761e-16j -0.0010531+2.96762e-17j 0.000495755-5.7904e-16j -0.00010884+4.65885e-17j -0.000507929+4.4035e-16j -0.000227717+1.52535e-17j 0.00107572-2.09252e-16j 0.000595512-2.12853e-16j -0.000262834+1.59669e-17j -0.00046763+2.54339e-17j -0.00023018+6.76292e-17j -0.000118855+1.28196e-16j 0.000174281-5.1784e-16j -0.000905719-1.67326e-17j -0.000565212-9.79214e-17j -0.000298506+7.94936e-17j 0.000600199+1.82715e-16j 0.00113169-1.5002e-16j 0.00051404-1.2747e-16j 0.000190132-1.20188e-16j -0.000630176+8.20383e-17j 0.000813843+1.99173e-17j 0.000253328-1.38742e-16j 6.87043e-05-4.60921e-17j -1.74703e-05+4.80633e-17j -0.000307208-4.24919e-18j 0.00041818-1.21236e-16j -0.000900414-8.71529e-18j -0.000297827+1.18552e-16j 0.000735469-1.72798e-16j -0.000540552-3.15961e-16j 0.000150335+4.4237e-17j 0.000553426-4.65108e-17j 0.000838112+1.00711e-17j 0.000217178+2.18383e-17j 0.000697906+7.75066e-17j -0.000115963+6.46483e-18j 0.000998092-1.87929e-16j 0.00024769+3.99213e-16j -0.000167085+7.63901e-17j -0.00073781-1.0048e-17j -0.000398175+4.56864e-18j -0.000242392-1.09666e-17j 0.000411248+7.18112e-18j 0.000679147-1.69138e-17j 0.000748968+6.34763e-18j -0.000787776-1.13006e-16j -0.000237642+1.80352e-17j -0.000286563+2.80752e-18j -0.000483679+2.03151e-17j -0.000863739+6.32985e-17j -0.000410183-1.18948e-17j 0.000463448-1.08328e-17j 0.000797946-1.04764e-17j -0.000197397-9.91771e-16j 0.000557202+4.42411e-15j 
-0.000378867+3.27052e-15j -0.00013328+7.20348e-16j -0.000554955-6.16345e-18j 0.000319377+6.44841e-18j 0.000292448-1.2913e-18j 0.000612048+6.5432e-17j 0.000338485+1.03257e-17j 0.000193833-3.27562e-18j 0.000177794+1.49834e-18j 0.000602616-1.63672e-17j -0.00053068+1.24223e-17j -0.000495662-3.10518e-18j -0.000220177+1.26189e-18j 5.27969e-05+2.78946e-18j 0.000213156-3.05197e-17j -0.000674926+1.05586e-16j -0.00026332-7.56278e-17j -0.000230664-1.88165e-16j -0.000673568-1.13344e-16j -0.000180766+3.71567e-17j 0.000418255+1.09151e-16j -0.000402463-8.98286e-17j -0.000686686+1.93507e-17j 0.000323262-3.77569e-16j -7.09704e-05+3.03786e-17j -0.000331201+2.87135e-16j -0.000148485+9.94618e-18j 0.000701436-1.36445e-16j 0.00038831-1.38793e-16j -0.000171384+1.04114e-17j -0.000304923+1.65844e-17j -0.000150091+4.40984e-17j -7.75004e-05+8.35913e-17j 0.000113642-3.37663e-16j -0.000590584-1.09106e-17j -0.000368553-6.38507e-17j -0.000194644+5.18347e-17j 0.000391366+1.19141e-16j 0.000737931-9.78221e-17j 0.000335185-8.31184e-17j 0.000123977-7.83697e-17j -0.000410913+5.34939e-17j 0.000530675+1.29873e-17j 0.000165185-9.04682e-17j 4.47993e-05-3.00548e-17j -1.13917e-05+3.13402e-17j -0.000200318-2.77073e-18j 0.000272679-7.90531e-17j -0.000587124-5.6829e-18j -0.000194201+7.73032e-17j 0.000479571-1.12675e-16j -0.000352473-2.06026e-16j 9.80278e-05+2.88452e-17j 0.000360867-3.03279e-17j 0.0005465+6.56694e-18j 0.000141613+1.42399e-17j 0.000455077+5.0539e-17j -7.56151e-05+4.21546e-18j 0.000650817-1.22541e-16j 0.000161509+2.60311e-16j -0.00010895+4.9811e-17j -0.000481097-6.55194e-18j -0.000259634+2.97903e-18j -0.000158055-7.15087e-18j 0.000268159+4.68252e-18j 0.000442845-1.10288e-17j 0.000488372+4.13904e-18j -0.000513677-7.36866e-17j -0.000154957+1.176e-17j -0.000186856+1.83067e-18j -0.000315388+1.32467e-17j -0.00056321+4.12744e-17j -0.000267464-7.75612e-18j 0.000302196-7.06362e-18j 0.000520309-6.83127e-18j -0.000128715-6.46695e-16j 0.00036333+2.88479e-15j 
-6.80362e-05+5.87313e-16j -2.39343e-05+1.29359e-16j -9.96578e-05-1.10682e-18j 5.73531e-05+1.15799e-18j 5.25172e-05-2.3189e-19j 0.00010991+1.17502e-17j 6.07845e-05+1.85426e-18j 3.48082e-05-5.8823e-19j 3.19279e-05+2.69069e-19j 0.000108217-2.9392e-18j -9.52985e-05+2.23078e-18j -8.90101e-05-5.57623e-19j -3.95389e-05+2.26607e-19j 9.48117e-06+5.00926e-19j 3.82782e-05-5.48067e-18j -0.000121202+1.89609e-17j -4.72865e-05-1.35811e-17j -4.14222e-05-3.37903e-17j -0.000120958-2.03542e-17j -3.24617e-05+6.67254e-18j 7.51095e-05+1.96011e-17j -7.22735e-05-1.61313e-17j -0.000123314+3.47496e-18j 5.80509e-05-6.78032e-17j -1.27447e-05+5.45533e-18j -5.94764e-05+5.15632e-17j -2.66647e-05+1.78612e-18j 0.000125963-2.45025e-17j 6.9732e-05-2.49243e-17j -3.07768e-05+1.86966e-18j -5.47576e-05+2.9782e-18j -2.69531e-05+7.9191e-18j -1.39174e-05+1.50112e-17j 2.04075e-05-6.06369e-17j -0.000106056-1.95931e-18j -6.6184e-05-1.14662e-17j -3.49538e-05+9.30837e-18j 7.02809e-05+2.13952e-17j 0.000132516-1.75667e-17j 6.0192e-05-1.49263e-17j 2.22636e-05-1.40735e-17j -7.3791e-05+9.60634e-18j 9.52976e-05+2.33223e-18j 2.96637e-05-1.62461e-17j 8.04499e-06-5.39719e-18j -2.04571e-06+5.62801e-18j -3.59728e-05-4.97563e-19j 4.89672e-05-1.41962e-17j -0.000105435-1.02053e-18j -3.48743e-05+1.3882e-17j 8.61204e-05-2.0234e-17j -6.32964e-05-3.69978e-17j 1.76037e-05+5.17997e-18j 6.48039e-05-5.44622e-18j 9.81394e-05+1.17928e-18j 2.54307e-05+2.55718e-18j 8.17219e-05+9.0757e-18j -1.35788e-05+7.57005e-19j 0.000116873-2.20057e-17j 2.90035e-05+4.67462e-17j -1.9565e-05+8.94497e-18j -8.63945e-05-1.17659e-18j -4.66247e-05+5.34969e-19j -2.83831e-05-1.28414e-18j 4.81555e-05+8.40879e-19j 7.95253e-05-1.98054e-18j 8.7701e-05+7.43281e-19j -9.22453e-05-1.32325e-17j -2.7827e-05+2.11185e-18j -3.35553e-05+3.28749e-19j -5.66368e-05+2.37882e-18j -0.00010114+7.41199e-18j -4.80307e-05-1.39283e-18j 5.42678e-05-1.26847e-18j 9.34361e-05-1.22675e-18j -2.31144e-05-1.16132e-16j 6.52461e-05+5.18045e-16j 
0.000408331-3.52487e-15j 0.000143646-7.7637e-16j 0.000598114+6.64279e-18j -0.000344215-6.94991e-18j -0.000315192+1.39173e-18j -0.000659647-7.05207e-17j -0.000364809-1.11287e-17j -0.000208908+3.53037e-18j -0.000191621-1.61486e-18j -0.000649482+1.76401e-17j 0.000571951-1.33884e-17j 0.00053421+3.34668e-18j 0.0002373-1.36003e-18j -5.6903e-05-3.0064e-18j -0.000229734+3.28932e-17j 0.000727416-1.13798e-16j 0.000283799+8.15095e-17j 0.000248603+2.02799e-16j 0.000725952+1.22159e-16j 0.000194825-4.00464e-17j -0.000450783-1.17639e-16j 0.000433763+9.68147e-17j 0.00074009-2.08556e-17j -0.000348403+4.06933e-16j 7.64899e-05-3.27411e-17j 0.000356958-3.09466e-16j 0.000160033-1.07197e-17j -0.000755987+1.47056e-16j -0.000418509+1.49587e-16j 0.000184712-1.12211e-17j 0.000328637-1.78742e-17j 0.000161764-4.75279e-17j 8.35277e-05-9.00923e-17j -0.00012248+3.63923e-16j 0.000636514+1.17592e-17j 0.000397215+6.88164e-17j 0.000209782-5.58659e-17j -0.000421803-1.28407e-16j -0.00079532+1.0543e-16j -0.000361253+8.95826e-17j -0.000133619+8.44646e-17j 0.00044287-5.76542e-17j -0.000571946-1.39973e-17j -0.000178032+9.75041e-17j -4.82834e-05+3.23922e-17j 1.22777e-05-3.37775e-17j 0.000215897+2.98621e-18j -0.000293885+8.52011e-17j 0.000632786+6.12487e-18j 0.000209305-8.33152e-17j -0.000516867+1.21438e-16j 0.000379885+2.22049e-16j -0.000105652-3.10885e-17j -0.000388932+3.26865e-17j -0.000589002-7.07766e-18j -0.000152627-1.53474e-17j -0.000490469-5.44694e-17j 8.14958e-05-4.5433e-18j -0.000701432+1.32071e-16j -0.00017407-2.80556e-16j 0.000117423-5.36849e-17j 0.000518512+7.06149e-18j 0.000279826-3.21072e-18j 0.000170347+7.707e-18j -0.000289014-5.04669e-18j -0.000477286+1.18865e-17j -0.000526354-4.46094e-18j 0.000553627+7.94173e-17j 0.000167009-1.26746e-17j 0.000201388-1.97305e-18j 0.000339916-1.42769e-17j 0.000607011-4.44844e-17j 0.000288265+8.35933e-18j -0.000325698+7.61296e-18j -0.000560774+7.36254e-18j 0.000138725+6.96989e-16j -0.000391586-3.10914e-15j 
0.000692982-5.98208e-15j 0.000243782-1.31758e-15j 0.00101506+1.12735e-17j -0.00058417-1.17947e-17j -0.000534914+2.36191e-18j -0.00111949-1.19681e-16j -0.00061912-1.88866e-17j -0.000354539+5.99141e-18j -0.000325201-2.7406e-18j -0.00110224+2.99372e-17j 0.000970662-2.27216e-17j 0.000906611+5.67967e-18j 0.000402723-2.30811e-18j -9.65704e-05-5.10218e-18j -0.000389882+5.58233e-17j 0.0012345-1.93127e-16j 0.000481636+1.3833e-16j 0.000421906+3.44171e-16j 0.00123202+2.07317e-16j 0.000330638-6.79631e-17j -0.000765027-1.99647e-16j 0.000736142+1.64305e-16j 0.00125601-3.53942e-17j -0.000591277+6.90609e-16j 0.000129811-5.55652e-17j 0.000605796-5.25197e-16j 0.000271593-1.81925e-17j -0.00128299+2.4957e-16j -0.000710254+2.53866e-16j 0.000313477-1.90434e-17j 0.000557733-3.03345e-17j 0.00027453-8.066e-17j 0.000141755-1.52896e-16j -0.000207861+6.17617e-16j 0.00108023+1.99566e-17j 0.000674117+1.16789e-16j 0.000356022-9.48104e-17j -0.000715845-2.1792e-16j -0.00134974+1.78926e-16j -0.000613085+1.52031e-16j -0.000226766+1.43345e-16j 0.000751598-9.78453e-17j -0.000970653-2.37549e-17j -0.000302139+1.65475e-16j -8.19421e-05+5.49731e-17j 2.08365e-05-5.73241e-17j 0.000366401+5.06792e-18j -0.000498755+1.44595e-16j 0.0010739+1.03945e-17j 0.000355212-1.41395e-16j -0.000877179+2.06093e-16j 0.000644705+3.7684e-16j -0.000179302-5.27605e-17j -0.000660059+5.54725e-17j -0.000999598-1.20115e-17j -0.000259024-2.60461e-17j -0.000832378-9.24404e-17j 0.000138307-7.71046e-18j -0.0011904+2.24139e-16j -0.000295415-4.76133e-16j 0.000199279-9.11089e-17j 0.00087997+1.19841e-17j 0.000474895-5.44892e-18j 0.000289096+1.30796e-17j -0.000490487-8.56477e-18j -0.000810005+2.01727e-17j -0.000893278-7.57068e-18j 0.000939563+1.3478e-16j 0.000283431-2.15102e-17j 0.000341778-3.34847e-18j 0.000576874-2.42294e-17j 0.00103016-7.54947e-17j 0.000489216+1.41867e-17j -0.000552744+1.292e-17j -0.000951693+1.2495e-17j 0.000235432+1.18286e-15j -0.000664564-5.27654e-15j 
0.000635377-5.48481e-15j 0.000223517-1.20806e-15j 0.000930685+1.03364e-17j -0.00053561-1.08143e-17j -0.000490448+2.16558e-18j -0.00102643-1.09732e-16j -0.000567655-1.73166e-17j -0.000325067+5.49336e-18j -0.000298168-2.51278e-18j -0.00101062+2.74486e-17j 0.000889974-2.08328e-17j 0.000831248+5.20753e-18j 0.000369246-2.11624e-18j -8.85428e-05-4.67805e-18j -0.000357473+5.11829e-17j 0.00113188-1.77073e-16j 0.0004416+1.26831e-16j 0.000386834+3.15561e-16j 0.0011296+1.90084e-16j 0.000303153-6.23135e-17j -0.000701433-1.83051e-16j 0.000674949+1.50647e-16j 0.0011516-3.2452e-17j -0.000542126+6.33201e-16j 0.000119021-5.09462e-17j 0.000555439-4.81539e-16j 0.000249016-1.66802e-17j -0.00117634+2.28824e-16j -0.000651213+2.32763e-16j 0.000287418-1.74604e-17j 0.00051137-2.78129e-17j 0.00025171-7.3955e-17j 0.000129972-1.40186e-16j -0.000190582+5.66276e-16j 0.000990436+1.82976e-17j 0.00061808+1.07081e-16j 0.000326427-8.69291e-17j -0.000656339-1.99805e-16j -0.00123754+1.64052e-16j -0.000562121+1.39393e-16j -0.000207916+1.3143e-16j 0.00068912-8.97118e-17j -0.000889966-2.17802e-17j -0.000277023+1.51719e-16j -7.51306e-05+5.04034e-17j 1.91044e-05-5.25589e-17j 0.000335943+4.64664e-18j -0.000457295+1.32576e-16j 0.000984634+9.53049e-18j 0.000325685-1.29641e-16j -0.000804262+1.88961e-16j 0.000591113+3.45515e-16j -0.000164397-4.83747e-17j -0.000605191+5.08612e-17j -0.000916505-1.10131e-17j -0.000237492-2.3881e-17j -0.000763185-8.47562e-17j 0.00012681-7.06952e-18j -0.00109145+2.05507e-16j -0.000270858-4.36554e-16j 0.000182713-8.35353e-17j 0.000806822+1.09879e-17j 0.000435419-4.99597e-18j 0.000265065+1.19923e-17j -0.000449715-7.85281e-18j -0.000742672+1.84958e-17j -0.000819023-6.94136e-18j 0.000861461+1.23576e-16j 0.000259871-1.97221e-17j 0.000313367-3.07013e-18j 0.00052892-2.22153e-17j 0.000944529-6.92191e-17j 0.00044855+1.30074e-17j -0.000506797+1.1846e-17j -0.000872582+1.14563e-17j 0.000215861+1.08454e-15j -0.000609321-4.83792e-15j 
