0.0570445+0.0467764j -0.0163814+0.0226365j -0.190704-0.0610203j -0.0513572+0.134884j -0.0788388+0.0622725j 0.0272581-0.0365549j -0.271891-0.307273j -0.324662-0.0111657j -0.173454-0.0898485j 0.138077-0.0893947j -0.118285+0.125995j -0.0460937-0.0104278j -0.0155258+0.0591513j -0.0276644+0.0540364j 0.0107648+0.0727078j 0.0297086-0.0650494j -0.0264524+0.0361796j 0.0392014+0.0458772j 0.0348223-0.124357j 0.0132824+0.0288147j 0.0327047-0.0155989j -0.0226405-0.0486391j -0.0122217+0.0586965j 0.0151947-0.019406j 0.0300115+0.00173154j -0.0276593+0.0105911j -0.0119249+0.00654566j -0.00379378+0.0408263j 0.0362252+0.0140211j 0.0219842-0.0104955j 0.00829-0.00718377j 0.0200665-0.0247078j -0.0512202+0.0183641j 0.020585+0.0194194j 0.00143626+0.00160117j -0.0139858+0.00548652j -0.021574+0.0342396j 0.0278381+0.00590409j -0.00661116-0.0129918j -0.0490802-0.0239021j 
-0.0562766+0.0304083j -0.0121763+0.0276565j 0.198019-0.0172588j 0.0838813-0.0531167j 0.0729098-0.140081j 0.145261+0.148839j -0.00754264+0.125939j 0.0308854+0.0475448j 0.116599+0.088877j 0.0945144-0.119478j 0.0212038+0.111621j 0.159951-0.266211j -0.0186032-0.0242759j 0.00613326+0.00214455j -0.0430798+0.0986601j 0.040567-0.0913449j -0.0537825+0.05292j -0.0304283+0.0286215j -0.00499884-0.0392255j -0.0318229+0.0395242j -0.000436628+0.00328377j 0.0138616-0.0439091j -0.0199098-0.0294494j 0.00690107-0.0210893j -0.00016418-0.00207713j -0.0290264+0.00160136j -0.0228664-0.03066j -0.00547001-0.0821459j -0.00600643+0.0402264j 0.0383844-0.000507302j 0.0221782+0.0273202j 0.0256291-0.0313748j -0.0378126+0.0193651j 0.00801879-0.000747779j -0.00315649-0.00140299j -0.0199394+0.00106415j -0.0374054+0.0304907j -0.0810054-0.00174494j -0.0277366-0.0519804j 0.0369311+0.0604065j 
-0.0187453+0.00298908j -0.0157156+0.0143868j 0.0609284-0.0363529j 0.115919+0.0666501j 0.0670337+0.00267859j 0.174067+0.0507554j 0.314872-0.00235508j -0.176672+0.157993j 0.181195+0.0962272j -0.0272161+0.0362557j -0.0214658-0.0940838j -0.0249191+0.00583036j -0.0275062+0.036985j -0.062348+0.0714989j 0.0639822+0.147459j -0.0317591+0.0232215j -0.0116593+0.00895803j 0.0222479-0.0785378j -0.0416272-0.0693273j 0.00705819-0.0148934j -0.0467401-0.0261212j 0.00938981-0.00672961j -0.0483329+0.0510271j -0.0141757+0.00754046j 0.00171676-0.0087686j 0.00109798-0.0252687j -0.0064448-0.00030749j -0.0705351-0.0272239j 0.000238632-0.00657016j -0.00747624+0.00921609j 0.0183894+0.0226942j -0.0218579-0.00159091j 0.00901935-0.00939605j -0.00718938-0.0157438j -0.0138332-0.00167195j 0.00619342-0.0173587j -0.0219192+0.00834411j -0.00422059+0.0513035j 0.0398535+0.0335844j 0.0342349-0.00494672j 
0.106716+0.0734682j -0.00447665-0.0326805j -0.0285774-0.038697j 0.112217+0.175836j 0.160186+0.113933j -0.0058333-0.187115j -0.106272-0.267002j -0.0213935+0.184895j -0.0286218-0.215773j -0.0283539+0.151177j -0.0269609-0.146947j 0.0328717-0.034738j 0.023964-0.145339j 0.0459027-0.054598j -0.0570228-0.0378666j 0.0178046-0.0465738j 0.000989074-0.0643634j 0.0746033+0.0815078j -0.0263674+0.00991048j -0.0354032+0.149148j -0.0136646-0.0468126j -0.0273906-0.0434083j -0.03525-0.051441j -0.0266154+0.0202515j 0.0046101-0.00473854j 0.0101902+0.0084997j 0.00381924+0.0213162j 0.0587431-0.0625301j 0.05278+0.00915383j 0.0181203-0.0342468j -0.0508356+0.0105771j 0.0362833-0.00423007j -0.00383766+0.0527046j -0.00634447-0.0420109j 0.00567207-0.00333471j 0.0472801-0.00127182j -0.00853672-0.0211506j -0.0590403-0.0176506j -0.0587088-0.0209706j 0.00290086+0.0436711j 
0.0552917+0.0167963j -0.0344147+0.0188052j -0.0488333+0.0251898j 0.0923259+0.175053j -0.101062-0.211481j 0.168929+0.419331j 0.0676644+0.0861236j -0.0741772+0.241594j -0.043641-0.123204j -0.0992441+0.0613712j 0.0578041-0.0334454j -0.107876-0.0248416j 0.0284819-0.0416407j 0.0601767-0.0160237j 0.0173875-0.0722444j -0.0135697+0.0412029j 0.0375042-0.0405722j 0.0354157+0.0092131j -0.0552858+0.0118919j -0.0123339+0.0172236j 0.00634258-0.0340573j -0.0101234+0.0444259j 0.0138503-0.0266771j 0.0065345-0.000596038j -0.029387-0.000979812j -0.00669532+0.000593053j -0.0188047+0.0199821j 0.000894346-0.00808988j 0.0107-0.020504j 0.00342324+0.0397166j -0.02478+0.013407j -0.0110649-0.0235137j 0.00331326-0.0018072j 0.0138359-0.0395091j -0.0138826+0.0121848j -0.0251702-0.0189583j 0.00166641+0.0626606j 0.00322903-0.0180888j -0.0151306+0.0172789j -0.0111196+0.0168774j 
-0.0979578-0.0646769j -0.0221302+0.0125448j 0.0116747+0.0565129j 0.0157814+0.0839575j -0.0794514-0.00429223j 0.17588-0.327607j 0.139222+0.0601439j -0.0781112-0.0246143j -0.0109936+0.152306j 0.18277+0.124357j -0.109034-0.0558749j 0.0574824+0.0814032j -0.0332932-0.0779898j -0.0504636+0.0106627j -0.0541761-0.0114156j 0.0747875+0.000890794j -0.0756408-0.0353469j 0.0508028-0.0328957j 0.05022+0.0084124j -0.00437598-0.0465784j -0.0204099-0.0344921j 0.0581161+0.0425339j -0.0466419-0.0139611j -0.00206266+0.0134199j 0.00579727-0.00145569j -0.0244131-0.0189292j 0.0132858+0.0111456j -0.000445767+0.0110493j 0.0194134-0.0154631j 0.026508+0.0247052j -0.0100296+0.00024891j 0.0158132+0.0118895j -0.0273046-0.0128161j 0.0183022-0.0243154j -0.00220059+0.000758152j -0.0190819+0.00276734j -0.0113621+0.00756549j -0.00756222-0.0064393j -0.00897739+0.025651j 0.00419738-0.016086j 
0.0524221+0.0591362j -0.0292103-0.0291245j -0.0218284-0.0511278j -0.131817+0.0162398j 0.130975+0.013829j 0.240927-0.31612j -0.226681+0.150216j -0.118298-0.093437j -0.106615+0.0016739j -0.146803-0.0190487j 0.0971425-0.0518845j 0.0549562-0.115219j 0.0710084+0.00398437j 0.029557+0.0142738j 0.0572215-0.00126144j -0.0676291+0.0201327j 0.0516844-0.0119068j -0.0630725+0.0688306j -0.00408163-0.0128005j 0.0425725+0.00991967j 0.00869938-0.0100421j -0.0199494-0.00726357j 0.0239463-0.0114723j -0.00901199-0.0107928j -0.0228445-0.00122969j -0.00307242-0.00887229j 0.0123485+0.00302328j 0.0186474-0.0150456j -0.0222225+0.0226549j 0.0152798+0.00102342j 0.00922219-0.0231824j -0.0278043-0.0207003j 0.0238643-0.0308611j -0.00789834-0.0104965j -0.0143948+0.000250388j -0.042287+0.00904053j 0.0294029-0.0137407j 0.0171155-0.00651521j -0.0044563-0.0162699j -0.00630224-0.00651587j 
-0.0765345+0.063106j 0.00796234-0.013642j 0.0243108-0.0392018j 0.13749-0.153509j 0.0207191-0.296454j -0.0142878-0.101571j -0.114439+0.0567716j 0.257579+0.139163j -0.0228008-0.0671669j 0.150959-0.000363892j -0.0612904+0.0291373j 0.07539-0.120165j -0.0141496-0.0126798j -0.00443159-0.0117764j -0.00422849-0.100618j 0.0537012+0.0211722j -0.0539098-0.00991992j -0.0528038-0.0269057j -0.0195671+0.0659933j 0.03097-0.0581148j -0.0229452+0.00341676j 0.00189034+0.00953196j -0.0159034-0.0744476j -0.00675316-0.00552023j 0.00872716-0.0114832j -0.0184864+0.0141622j -0.00118132+0.000770113j -0.0141897+0.021615j -0.0192234-0.0141585j -0.00301081+0.0113258j -0.00303282+0.00658156j -0.00147362+0.0175432j -0.00402509-0.0137899j 0.0134021-0.00329239j 0.00122148+0.00044508j 0.00954972-0.00222314j -0.00263774-0.000869916j 0.0140795+0.0172933j 0.00514431+0.0233216j 0.0165054-0.0379028j 
0.022814+0.0373117j -0.0115436+0.00775909j 0.0468781-0.0336989j 0.16713+0.000339514j -0.268814+0.131105j -0.0579672-0.256849j 0.0581573+0.0187019j 0.0329586+0.225989j 0.0655052+0.00479143j -0.00496241-0.293664j 0.152317+0.108431j -0.132496-0.128498j -0.0173743+0.0622868j 0.0208467-0.0123287j -0.00264191+0.00485569j -0.0377381-0.0439835j 0.0544548+0.0850184j 0.0311273-0.0348915j -0.0716966-0.0838507j -0.0376113+0.0104048j -0.0369103-0.0434948j 0.0765539-0.0227183j 0.0365531+0.0118591j -0.0215135-0.00116595j 0.0157642-0.0388114j -0.0225559-0.00280496j 0.0135271-0.029171j -0.0152517-0.0285975j 0.0541543+0.00532965j 0.00595534-0.00618661j 0.0311841-0.0139677j -0.0141595+0.0119401j 0.0252747+0.0270154j 0.0264425-0.0186069j -0.00365144-0.00863995j 0.0161729+0.00198702j 0.019572+0.000515008j -0.00655383+0.0100389j 0.00194403-0.0276247j 0.0119608+0.0195663j 
0.00551172+0.0787809j -0.00719018+0.00283786j -0.0248594-0.142212j -0.0718651+0.187469j -0.0789212+0.136397j -0.0224355+0.0342811j -0.100389-0.164584j -0.213782-0.0201158j -0.246155-0.0354866j -0.00323744-0.0934829j -0.00802586+0.0267932j -0.0535943+0.0584776j -0.0936121+0.104005j -0.0529602+0.0618558j -0.0672464-0.0012649j -0.0569367+0.0119986j -0.0643622+0.0381356j -0.142321-0.077973j 0.00511993+0.0216587j 0.138405-0.0643803j 0.0112246-0.00291532j -0.0103368-0.0254524j -0.0803989-0.0242021j 0.0130859-0.00956209j 0.0265574+0.0134779j -0.011347+0.00838837j -0.00786822-0.0052589j -0.116946+0.0284457j -0.0567942+0.0246138j -0.0137646+0.00961883j -0.0198988-0.0309743j -0.018774+0.0099775j 0.000144754-0.0141648j 0.0128371-0.0171508j 0.00172869-0.00710927j 0.00639363-0.00468942j -0.00452234+0.00212085j 0.0271913+0.0732901j 0.0118386+0.0752427j 0.0238763-0.0151259j 
