-0.0415727-0j -0.00600051-0j -0.0341882-0j -0.00604367-0j -0.00050364-0j -0.0208702-0j -0.0210865-0j -0.00347837-0j -0.00213006-0j -0.00351442-0j -0.00215213-0j -0.000434797-0j -0.000439302-0j -2.56206e-05-0j -2.58861e-05-0j -0.0151937-0j -0.0188012-0j -0.0109674-0j -0.00245187-0j -0.00200194-0j -0.00303403-0j -0.000288955-0j -0.00176985-0j -0.00247727-0j -0.000250243-0j -0.00144508-0j -0.000357564-0j -2.94914e-05-0j -0.000309659-0j -0.000208579-0j -1.34609e-06-0j -0.000180635-0j -3.64937e-05-0j -1.6657e-06-0j -2.1288e-05-0j -9.71659e-07-0j -0.011974-0j -0.0139696-0j -0.00855461-0j -0.00189325-0j -0.0122234-0j -0.0050419-0j -0.00149675-0j -0.00220879-0j -0.00099783-0j -0.000216037-0j -0.0013526-0j -0.00193269-0j -0.0017462-0j -0.000249458-0j -0.000797195-0j -0.00116414-0j -0.00106933-0j -8.81966e-05-0j -0.000252043-0j -2.07881e-05-0j -0.000712884-0j -0.000154344-0j -0.00152793-0j -2.20491e-05-0j -0.000291034-0j -0.00101862-0j -0.000630238-0j -0.000220537-0j -1.83743e-06-0j -0.000102896-0j -0.000178221-0j -2.42528e-05-0j -0.000420159-0j -9.0967e-05-0j -6.84769e-08-0j -6.30107e-05-0j -2.5724e-05-0j -0.000254655-0j -1.48518e-05-0j -9.0034e-05-0j -1.57527e-05-0j -2.14367e-06-0j -2.12212e-05-0j -0.00010504-0j -2.25085e-05-0j -3.71371e-05-0j -1.31272e-06-0j -7.98897e-08-0j -8.75331e-06-0j -1.87571e-06-0j -9.28428e-06-0j -4.89223e-08-0j -7.7369e-07-0j -6.99035e-08-0j -2.88337e-08-0j 
0.0460126-0j 0.00664135-0j 0.000655599-0j 0.000115895-0j 9.65789e-06-0j 0.0230991-0j -0.0225298-0j 0.00384985-0j 0.00235754-0j -0.00375496-0j -0.00229944-0j 0.000481232-0j -0.00046937-0j 2.83568e-05-0j -2.76579e-05-0j 0.0168163-0j 0.000360535-0j -0.0236464-0j 0.00271372-0j 0.00221574-0j 5.81811e-05-0j 0.000319815-0j -0.00381591-0j 4.75047e-05-0j 0.000276968-0j -0.00311568-0j 6.85671e-06-0j 3.2641e-05-0j 5.93809e-06-0j -0.00044971-0j 1.48985e-06-0j -0.00038946-0j 6.9981e-07-0j 3.19418e-08-0j -4.58983e-05-0j -2.09496e-06-0j 0.0132528-0j 0.000267884-0j 0.00946822-0j 0.00209544-0j -0.0130601-0j -0.0163544-0j 0.00165659-0j 4.23562e-05-0j 0.0011044-0j 0.000239109-0j 0.00149706-0j -0.00206498-0j 3.34855e-05-0j 0.000276099-0j -0.00258585-0j 2.23237e-05-0j 0.00118353-0j 9.76157e-05-0j 4.83322e-06-0j 2.30082e-05-0j 0.000789019-0j 0.000170828-0j -0.00163251-0j 2.44039e-05-0j 5.58092e-06-0j -0.00108834-0j -0.00204429-0j -0.000235632-0j 2.03366e-06-0j 1.97315e-06-0j 0.000197255-0j 4.65077e-07-0j -0.00136286-0j -0.000295069-0j 7.57901e-08-0j 6.974e-05-0j 4.93289e-07-0j -0.000272084-0j 1.64379e-05-0j -9.61964e-05-0j 1.7435e-05-0j 4.11074e-08-0j -2.26737e-05-0j -0.000340716-0j -2.40491e-05-0j -0.000120461-0j 1.45292e-06-0j 1.53198e-09-0j -2.8393e-05-0j -2.00409e-06-0j -3.01153e-05-0j 5.4147e-08-0j -2.50961e-06-0j -7.46881e-08-0j -9.35276e-08-0j 
0.0363761-0j 0.00525044-0j 0.0299147-0j 0.00528822-0j 0.000440685-0j -0.0177416-0j 0.0184507-0j -0.00295693-0j -0.00181074-0j 0.00307512-0j 0.00188312-0j -0.000369617-0j 0.00038439-0j -2.17799e-05-0j 2.26504e-05-0j 0.0132945-0j -0.0159827-0j 0.00959644-0j 0.00214538-0j 0.0017517-0j -0.0025792-0j 0.000252836-0j 0.00154862-0j -0.00210591-0j 0.000218962-0j 0.00126444-0j -0.000303962-0j 2.58049e-05-0j -0.000263239-0j 0.000182507-0j 1.17783e-06-0j 0.000158055-0j -3.1023e-05-0j -1.416e-06-0j 1.8627e-05-0j 8.50202e-07-0j -0.0310955-0j 0.0122234-0j -0.0220297-0j -0.00491663-0j -0.010391-0j 0.00441167-0j -0.00388694-0j 0.00193269-0j -0.00259129-0j -0.000561032-0j -0.0034832-0j -0.00164296-0j 0.00152793-0j -0.000647823-0j 0.000697546-0j 0.00101862-0j -0.00275371-0j -0.00022904-0j 0.000220537-0j -5.39853e-05-0j -0.00183581-0j -0.000397464-0j -0.00129888-0j -5.726e-05-0j 0.000254655-0j -0.000865918-0j 0.000551458-0j -0.000187477-0j -4.77167e-06-0j 9.0034e-05-0j -0.000458952-0j 2.12212e-05-0j 0.000367639-0j 7.95961e-05-0j -1.7783e-07-0j -0.000162264-0j 2.25085e-05-0j -0.00021648-0j -3.8246e-05-0j -7.65371e-05-0j -4.0566e-05-0j 1.87571e-06-0j -1.804e-05-0j 9.19097e-05-0j -1.91343e-05-0j 3.2495e-05-0j -3.3805e-06-0j 6.99035e-08-0j 7.65914e-06-0j -1.59452e-06-0j 8.12375e-06-0j -1.25984e-07-0j 6.76979e-07-0j -5.94243e-08-0j 2.52295e-08-0j 
0.0242508-0j 0.0035003-0j 0.0199431-0j 0.00352548-0j 0.00029379-0j 0.0121743-0j 0.0123005-0j 0.00202905-0j 0.00124253-0j 0.00205008-0j 0.00125541-0j 0.000253631-0j 0.00025626-0j 1.49454e-05-0j 1.51002e-05-0j -0.0437229-0j 0.0109674-0j 0.00639763-0j -0.00705575-0j -0.00576099-0j 0.00176985-0j -0.000831528-0j 0.00103241-0j 0.00144508-0j -0.000720124-0j 0.000842961-0j 0.000208579-0j -8.48674e-05-0j 0.000180635-0j 0.000121671-0j -3.87365e-06-0j 0.00010537-0j 2.1288e-05-0j 9.71659e-07-0j 1.2418e-05-0j 5.66801e-07-0j 0.00698481-0j -0.0402005-0j 0.00499019-0j 0.0011044-0j 0.00713033-0j 0.00294111-0j 0.000873102-0j -0.00635625-0j 0.000582068-0j 0.000126021-0j 0.000789019-0j 0.0011274-0j -0.00502506-0j 0.000145517-0j 0.00046503-0j -0.00335004-0j 0.000623774-0j 5.1448e-05-0j -0.000725304-0j 1.21264e-05-0j 0.000415849-0j 9.0034e-05-0j 0.000891291-0j 1.2862e-05-0j -0.000837509-0j 0.000594194-0j 0.000367639-0j 0.000128647-0j 1.07183e-06-0j -0.000296104-0j 0.000103962-0j -6.97925e-05-0j 0.000245093-0j 5.30641e-05-0j 3.99449e-08-0j 3.67562e-05-0j -7.40261e-05-0j 0.000148549-0j 8.66353e-06-0j 5.25198e-05-0j 9.18906e-06-0j -6.16884e-06-0j 1.2379e-05-0j 6.12731e-05-0j 1.313e-05-0j 2.16633e-05-0j 7.65755e-07-0j -2.29899e-07-0j 5.1061e-06-0j 1.09416e-06-0j 5.41583e-06-0j 2.8538e-08-0j 4.51319e-07-0j 4.07771e-08-0j 1.68197e-08-0j 
-0.0367531-0j -0.00530486-0j 0.0291773-0j 0.00515787-0j 0.000429823-0j -0.0184507-0j 0.0186307-0j -0.00307512-0j -0.00188312-0j 0.00310512-0j 0.00190149-0j -0.00038439-0j 0.00038814-0j -2.26504e-05-0j 2.28714e-05-0j -0.0134322-0j 0.0160456-0j -0.00870542-0j -0.00216762-0j -0.00176985-0j 0.00258934-0j -0.000255456-0j -0.00140483-0j 0.00211419-0j -0.000221231-0j -0.00114704-0j 0.000305157-0j -2.60724e-05-0j 0.000264274-0j -0.000165561-0j -1.19003e-06-0j -0.00014338-0j 3.11449e-05-0j 1.42157e-06-0j -1.68975e-05-0j -7.71261e-07-0j 0.0314178-0j 0.0119221-0j -0.00756286-0j 0.00496758-0j 0.0107998-0j -0.0210673-0j 0.00392722-0j 0.00188506-0j 0.00261815-0j 0.000566845-0j -0.00119579-0j 0.00170761-0j 0.00149027-0j 0.000654537-0j -0.00333104-0j 0.000993512-0j -0.000945357-0j 0.000231414-0j 0.000215102-0j 5.45447e-05-0j -0.000630238-0j -0.000136451-0j 0.00134998-0j 5.78534e-05-0j 0.000248378-0j 0.000899987-0j -0.00263342-0j 0.000194853-0j 4.82112e-06-0j 8.78149e-05-0j -0.00015756-0j 2.06982e-05-0j -0.00175561-0j -0.000380101-0j 1.79672e-07-0j -5.57057e-05-0j 2.19537e-05-0j 0.000224997-0j -1.313e-05-0j 7.95484e-05-0j -1.39264e-05-0j 1.82948e-06-0j 1.87497e-05-0j -0.000438903-0j 1.98871e-05-0j -0.000155176-0j -1.16054e-06-0j 6.81806e-08-0j -3.65752e-05-0j 1.65726e-06-0j -3.87939e-05-0j -4.32506e-08-0j -3.23282e-06-0j 6.17623e-08-0j -1.2048e-07-0j 
-0.0424388-0j -0.00612552-0j -0.00060468-0j -0.000106893-0j -8.90777e-06-0j 0.0206985-0j 0.0207799-0j 0.00344975-0j 0.00211253-0j 0.00346332-0j 0.00212084-0j 0.000431219-0j 0.000432915-0j 2.54098e-05-0j 2.55097e-05-0j 0.0305024-0j 0.000323067-0j 0.0218098-0j 0.0049223-0j 0.00401904-0j 5.21346e-05-0j 0.000580099-0j 0.00351954-0j 4.25677e-05-0j 0.000502381-0j 0.00287369-0j 6.14413e-06-0j 5.92061e-05-0j 5.32097e-06-0j 0.000414781-0j 2.70238e-06-0j 0.000359211-0j 6.27082e-07-0j 2.86223e-08-0j 4.23334e-05-0j 1.93225e-06-0j -0.0122234-0j 0.000485904-0j 0.0257013-0j -0.00193269-0j -0.0117028-0j 0.0150841-0j -0.00152793-0j 7.68282e-05-0j -0.00101862-0j -0.000220537-0j 0.00406373-0j -0.00185037-0j 6.07381e-05-0j -0.000254655-0j 0.00238501-0j 4.0492e-05-0j 0.00321266-0j -9.0034e-05-0j 8.76678e-06-0j -2.12212e-05-0j 0.00214177-0j 0.000463708-0j -0.00146285-0j -2.25085e-05-0j 1.0123e-05-0j -0.000975231-0j 0.00188552-0j -0.000211144-0j -1.87571e-06-0j 3.57902e-06-0j 0.000535444-0j 8.43584e-07-0j 0.00125701-0j 0.000272151-0j -6.99035e-08-0j 0.000189308-0j 8.94756e-07-0j -0.000243808-0j 4.46203e-05-0j -8.61991e-05-0j 4.7327e-05-0j 7.4563e-08-0j -2.03173e-05-0j 0.000314253-0j -2.15498e-05-0j 0.000111105-0j 3.94392e-06-0j 2.7788e-09-0j 2.61877e-05-0j -1.79581e-06-0j 2.77763e-05-0j 1.46981e-07-0j 2.31469e-06-0j -6.69261e-08-0j 8.62634e-08-0j 
-0.0150044-0j -0.0021657-0j -0.0123392-0j -0.00218128-0j -0.000181773-0j 0.037019-0j -0.00761053-0j 0.00616984-0j 0.00377824-0j -0.00126842-0j -0.000776746-0j 0.00077123-0j -0.000158553-0j 4.54452e-05-0j -9.3428e-06-0j -0.00548368-0j 0.033349-0j -0.00395833-0j -0.000884925-0j -0.000722538-0j 0.00538168-0j -0.000104289-0j -0.000638773-0j 0.00439412-0j -9.03173e-05-0j -0.000521556-0j 0.000634237-0j -1.0644e-05-0j 0.000549265-0j -7.52801e-05-0j -4.8583e-07-0j -6.51945e-05-0j 6.47315e-05-0j 2.95458e-06-0j -7.68324e-06-0j -3.5069e-07-0j -0.00432163-0j -0.0050419-0j -0.0385707-0j -0.00068331-0j 0.0216816-0j -0.00181972-0j -0.000540204-0j -0.000797195-0j -0.000360136-0j -7.79717e-05-0j -0.00609857-0j 0.00342816-0j -0.000630238-0j -9.0034e-05-0j -0.000287723-0j -0.000420159-0j -0.00482134-0j -3.18318e-05-0j -9.0967e-05-0j -7.50283e-06-0j -0.00321423-0j -0.0006959-0j 0.0027102-0j -7.95796e-06-0j -0.00010504-0j 0.0018068-0j -0.000227465-0j 0.000391183-0j -6.63163e-07-0j -3.71371e-05-0j -0.000803557-0j -8.75331e-06-0j -0.000151643-0j -3.28317e-05-0j -2.47146e-08-0j -0.0002841-0j -9.28428e-06-0j 0.000451699-0j -6.6963e-05-0j 0.0001597-0j -7.1025e-05-0j -7.7369e-07-0j 3.76416e-05-0j -3.79108e-05-0j 3.99249e-05-0j -1.34035e-05-0j -5.91875e-06-0j -2.88337e-08-0j -3.15924e-06-0j 3.32708e-06-0j -3.35088e-06-0j -2.20579e-07-0j -2.7924e-07-0j 1.23993e-07-0j -1.04066e-08-0j 
0.024756-0j 0.00357322-0j -0.039659-0j -0.00701079-0j -0.000584232-0j 0.0124279-0j 0.011274-0j 0.00207132-0j 0.00126842-0j 0.001879-0j 0.00115065-0j 0.000258915-0j 0.000234875-0j 1.52567e-05-0j 1.38401e-05-0j -0.0177931-0j -0.0218098-0j 0.0251055-0j -0.00287134-0j -0.00234444-0j -0.00351954-0j -0.000338391-0j 0.00405138-0j -0.00287369-0j -0.000293055-0j 0.00330794-0j -0.000414781-0j -3.45369e-05-0j -0.000359211-0j 0.000477459-0j -1.57639e-06-0j 0.000413492-0j -4.23334e-05-0j -1.93225e-06-0j 4.87305e-05-0j 2.22423e-06-0j 0.00713033-0j 0.0318689-0j 0.00509415-0j 0.0011274-0j 0.00653531-0j 0.00359454-0j 0.000891291-0j 0.00503892-0j 0.000594194-0j 0.000128647-0j 0.000805456-0j 0.00103332-0j 0.00398361-0j 0.000148549-0j 0.000568347-0j 0.00265574-0j 0.000636769-0j 5.25198e-05-0j 0.000574985-0j 1.2379e-05-0j 0.000424513-0j 9.19097e-05-0j 0.000816914-0j 1.313e-05-0j 0.000663936-0j 0.000544609-0j 0.000449317-0j 0.000117911-0j 1.09416e-06-0j 0.000234737-0j 0.000106128-0j 5.5328e-05-0j 0.000299545-0j 6.48534e-05-0j 4.07771e-08-0j 3.7522e-05-0j 5.86842e-05-0j 0.000136152-0j 8.84402e-06-0j 4.81371e-05-0j 9.3805e-06-0j 4.89035e-06-0j 1.1346e-05-0j 7.48862e-05-0j 1.20343e-05-0j 2.64763e-05-0j 7.81708e-07-0j 1.82253e-07-0j 6.24052e-06-0j 1.00286e-06-0j 6.61907e-06-0j 2.91325e-08-0j 5.51589e-07-0j 3.73743e-08-0j 2.05565e-08-0j 
0.0262577-0j 0.00378997-0j -0.0208453-0j -0.00368496-0j -0.00030708-0j -0.0387949-0j -0.0133104-0j -0.00646582-0j -0.00395949-0j -0.0022184-0j -0.00135849-0j -0.000808228-0j -0.0002773-0j -4.76253e-05-0j -1.63401e-05-0j 0.00959644-0j 0.0337378-0j 0.00621945-0j 0.00154862-0j 0.00126444-0j 0.00544442-0j 0.000182507-0j 0.00100366-0j 0.00444535-0j 0.000158055-0j 0.000819484-0j 0.000641631-0j 1.8627e-05-0j 0.000555669-0j 0.000118282-0j 8.50202e-07-0j 0.000102436-0j 6.54862e-05-0j 2.98902e-06-0j 1.20721e-05-0j 5.51016e-07-0j 0.00756286-0j -0.00851759-0j 0.00479666-0j 0.00119579-0j 0.022708-0j 0.0150512-0j 0.000945357-0j -0.00134675-0j 0.000630238-0j 0.000136451-0j 0.000758419-0j 0.00359046-0j -0.0010647-0j 0.00015756-0j 0.00237981-0j -0.000709799-0j 0.000599583-0j 5.57057e-05-0j -0.000153676-0j 1.313e-05-0j 0.000399722-0j 8.65423e-05-0j 0.00283851-0j 1.39264e-05-0j -0.00017745-0j 0.00189234-0j 0.0018814-0j 0.000409703-0j 1.16054e-06-0j -6.2738e-05-0j 9.99304e-05-0j -1.47875e-05-0j 0.00125427-0j 0.000271557-0j 4.32506e-08-0j 3.53307e-05-0j -1.56845e-05-0j 0.000473084-0j 8.32754e-06-0j 0.000167261-0j 8.83269e-06-0j -1.30704e-06-0j 3.94237e-05-0j 0.000313567-0j 4.18151e-05-0j 0.000110863-0j 7.36057e-07-0j -4.87105e-08-0j 2.61306e-05-0j 3.48459e-06-0j 2.77157e-05-0j 2.74312e-08-0j 2.30964e-06-0j 1.29863e-07-0j 8.60752e-08-0j 
-0.015317-0j -0.00221082-0j 0.0369157-0j 0.00652584-0j 0.00054382-0j 0.00747049-0j -0.0367197-0j 0.00124508-0j 0.000762454-0j -0.00611995-0j -0.00374769-0j 0.000155635-0j -0.000764993-0j 9.1709e-06-0j -4.50777e-05-0j -0.00559792-0j -0.0197232-0j -0.00483775-0j -0.000903361-0j -0.000737591-0j -0.00318282-0j -0.000106462-0j -0.000780689-0j -0.00259876-0j -9.21989e-05-0j -0.00063743-0j -0.000375099-0j -1.08657e-05-0j -0.000324846-0j -9.20051e-05-0j -4.95951e-07-0j -7.96788e-05-0j -3.82834e-05-0j -1.74739e-06-0j -9.39023e-06-0j -4.28604e-07-0j -0.00441167-0j 0.0150841-0j 0.00927609-0j -0.000697546-0j 0.0206797-0j 0.0258448-0j -0.000551458-0j 0.00238501-0j -0.000367639-0j -7.95961e-05-0j 0.00146668-0j 0.00326975-0j 0.00188552-0j -9.19097e-05-0j 0.00408642-0j 0.00125701-0j 0.00115951-0j -3.2495e-05-0j 0.000272151-0j -7.65914e-06-0j 0.000773007-0j 0.000167361-0j 0.00258496-0j -8.12375e-06-0j 0.000314253-0j 0.00172331-0j 0.00323059-0j 0.000373107-0j -6.76979e-07-0j 0.000111105-0j 0.000193252-0j 2.61877e-05-0j 0.00215373-0j 0.000466296-0j -2.52295e-08-0j 6.83248e-05-0j 2.77763e-05-0j 0.000430827-0j 1.61043e-05-0j 0.00015232-0j 1.70812e-05-0j 2.31469e-06-0j 3.59023e-05-0j 0.000538432-0j 3.80801e-05-0j 0.000190365-0j 1.42343e-06-0j 8.62634e-08-0j 4.48694e-05-0j 3.17334e-06-0j 4.75912e-05-0j 5.30483e-08-0j 3.96593e-06-0j 1.18263e-07-0j 1.47801e-07-0j 
0.00399581-0j 0.000576746-0j -0.0160886-0j -0.00284409-0j -0.000237007-0j 0.00200597-0j 0.0368411-0j 0.000334328-0j 0.000204733-0j 0.00614018-0j 0.00376008-0j 4.1791e-05-0j 0.000767522-0j 2.46256e-06-0j 4.52267e-05-0j 0.00146036-0j -0.00884764-0j -0.0460132-0j 0.000235664-0j 0.000192419-0j -0.00142778-0j 2.77733e-05-0j -0.00742534-0j -0.00116578-0j 2.40524e-05-0j -0.00606277-0j -0.000168266-0j 2.8346e-06-0j -0.000145722-0j -0.000875085-0j 1.29381e-07-0j -0.000757846-0j -1.71735e-05-0j -7.83861e-07-0j -8.9313e-05-0j -4.07656e-06-0j 0.00115089-0j -0.00657395-0j 0.000822237-0j 0.000181972-0j 0.021356-0j 0.0152379-0j 0.000143861-0j -0.00103943-0j 9.59076e-05-0j 2.07646e-05-0j 0.000130007-0j 0.00337668-0j -0.000821744-0j 2.39769e-05-0j 0.00240932-0j -0.000547829-0j 0.00010278-0j 8.47712e-06-0j -0.000118609-0j 1.99808e-06-0j 6.85197e-05-0j 1.4835e-05-0j 0.0026695-0j 2.11928e-06-0j -0.000136957-0j 0.00177967-0j 0.00190474-0j 0.000385309-0j 1.76607e-07-0j -4.84217e-05-0j 1.71299e-05-0j -1.14131e-05-0j 0.00126982-0j 0.000274925-0j 6.58174e-09-0j 6.05635e-06-0j -1.21054e-05-0j 0.000444917-0j 1.42749e-06-0j 0.000157302-0j 1.51409e-06-0j -1.00879e-06-0j 3.70764e-05-0j 0.000317456-0j 3.93255e-05-0j 0.000112238-0j 1.26174e-07-0j -3.75952e-08-0j 2.64547e-05-0j 3.27712e-06-0j 2.80594e-05-0j 4.70222e-09-0j 2.33829e-06-0j 1.22131e-07-0j 8.71428e-08-0j 
