-0.00683621-0j 0.0493472-0j -0.000791138-0j 0.0108826-0j -0.000697718-0j -0.000661914-0j 0.00581562-0j 0.00147446-0j 0.00520165-0j 0.00356133-0j -6.75563e-05-0j 0.0013142-0j -8.72148e-05-0j 0.000155693-0j -3.3569e-05-0j 0.0011997-0j 0.000514033-0j 0.000484635-0j 0.000184308-0j -5.13918e-06-0j 0.000122872-0j 1.40599e-05-0j 0.000122444-0j 2.14181e-05-0j 2.05143e-05-0j 1.08604e-05-0j 1.14878e-06-0j 1.43498e-06-0j 8.95933e-08-0j 2.77291e-09-0j 
0.00486871-0j 0.000745366-0j -0.0538681-0j 8.1326e-05-0j 0.00049691-0j 0.000471411-0j -0.00839816-0j 7.32018e-06-0j 7.85684e-05-0j 5.37921e-05-0j -0.00924783-0j -0.000938943-0j -0.00593839-0j 5.78711e-07-0j 2.39076e-05-0j 8.96535e-06-0j -0.00149236-0j -0.000699847-0j -8.74808e-05-0j -0.00105709-0j 6.10015e-07-0j 4.17649e-08-0j -0.000175877-0j -0.000124687-0j -7.29007e-06-0j -1.55724e-05-0j 2.84174e-09-0j -8.19317e-07-0j -1.81527e-08-0j 4.5676e-12-0j 
-0.000702737-0j 0.010253-0j -8.1326e-05-0j -0.0521824-0j -7.17228e-05-0j -6.80423e-05-0j 0.00120833-0j -0.014394-0j 0.00108076-0j 0.000739947-0j -6.94453e-06-0j -0.00630162-0j -8.96535e-06-0j -0.00229189-0j -3.45077e-06-0j -0.00575257-0j 0.000106802-0j 0.000100694-0j -0.00179925-0j -5.28289e-07-0j -0.0011995-0j -0.000276636-0j -0.000587119-0j 4.45009e-06-0j -0.000301984-0j -0.000106022-0j -2.8293e-05-0j -2.8234e-05-0j -2.65026e-06-0j -1.09485e-07-0j 
0.00280213-0j 0.000428987-0j 0.000324284-0j 4.68063e-05-0j -0.0412868-0j 0.000271315-0j 5.05566e-05-0j 4.21305e-06-0j -0.00652801-0j 3.09595e-05-0j 2.7691e-05-0j 5.6524e-06-0j -0.00516084-0j 3.33071e-07-0j -0.00598675-0j -0.000744904-0j 4.46862e-06-0j -0.00122064-0j 5.26631e-07-0j -0.000304106-0j -0.00010172-0j 2.40373e-08-0j -7.60264e-05-0j 1.86192e-07-0j -6.33553e-06-0j 3.10321e-08-0j -2.36111e-07-0j 2.4533e-09-0j 1.09279e-10-0j 2.62884e-12-0j 
-0.00283117-0j -0.000433433-0j -0.000327644-0j -4.72914e-05-0j 0.0417146-0j -0.000274127-0j -5.10805e-05-0j -4.25671e-06-0j 0.00659566-0j -3.12803e-05-0j -2.7978e-05-0j -5.71098e-06-0j 0.00521433-0j -3.36523e-07-0j 0.00604879-0j 0.000752623-0j -4.51492e-06-0j 0.00123329-0j -5.32089e-07-0j 0.000307257-0j 0.000102774-0j -2.42864e-08-0j 7.68143e-05-0j -1.88122e-07-0j 6.40119e-06-0j -3.13536e-08-0j 2.38558e-07-0j -2.47872e-09-0j -1.10411e-10-0j -2.65608e-12-0j 
-0.000495352-0j 0.0035757-0j 0.00548064-0j 0.000788555-0j -5.05566e-05-0j -4.79622e-05-0j -0.040288-0j 0.000106839-0j 0.000376911-0j 0.000258054-0j 0.000940893-0j -0.00910419-0j 0.000604184-0j 1.12815e-05-0j -2.43241e-06-0j 8.693e-05-0j -0.00715922-0j -0.00335733-0j -0.0012768-0j 0.00010755-0j 8.90329e-06-0j 1.01878e-06-0j -0.00170534-0j -0.000598154-0j -0.000142114-0j -0.000227282-0j 8.32406e-08-0j -1.99857e-05-0j -6.20661e-07-0j 2.00925e-10-0j 
0.000500485-0j -0.00361275-0j -0.00553744-0j -0.000796727-0j 5.10805e-05-0j 4.84593e-05-0j 0.0407055-0j -0.000107947-0j -0.000380817-0j -0.000260728-0j -0.000950643-0j 0.00919854-0j -0.000610445-0j -1.13984e-05-0j 2.45761e-06-0j -8.78309e-05-0j 0.00723341-0j 0.00339212-0j 0.00129003-0j -0.000108665-0j -8.99555e-06-0j -1.02933e-06-0j 0.00172301-0j 0.000604352-0j 0.000143587-0j 0.000229638-0j -8.41033e-08-0j 2.01928e-05-0j 6.27093e-07-0j -2.03007e-10-0j 
4.12793e-05-0j -0.000906563-0j 4.77715e-06-0j 0.00939352-0j 4.21305e-06-0j 3.99685e-06-0j -0.000106839-0j -0.0390094-0j -9.55601e-05-0j -6.54256e-05-0j 4.07927e-07-0j 0.00113438-0j 5.26631e-07-0j -0.0127397-0j 2.02701e-07-0j 0.00103554-0j -9.44337e-06-0j -8.90329e-06-0j -0.00487618-0j 3.10321e-08-0j -0.00325079-0j -0.0023229-0j 0.000105689-0j -3.93474e-07-0j -0.00167861-0j -0.000287332-0j -0.000317769-0j -0.00023708-0j -3.72725e-05-0j -2.15964e-06-0j 
-4.17071e-05-0j 0.000915958-0j -4.82666e-06-0j -0.00949087-0j -4.25671e-06-0j -4.03827e-06-0j 0.000107947-0j 0.0394137-0j 9.65504e-05-0j 6.61036e-05-0j -4.12154e-07-0j -0.00114613-0j -5.32089e-07-0j 0.0128718-0j -2.04801e-07-0j -0.00104627-0j 9.54123e-06-0j 8.99555e-06-0j 0.00492671-0j -3.13536e-08-0j 0.00328447-0j 0.00234698-0j -0.000106784-0j 3.97551e-07-0j 0.001696-0j 0.000290309-0j 0.000321062-0j 0.000239537-0j 3.76588e-05-0j 2.18202e-06-0j 
0.00197519-0j 0.000302388-0j 0.000228584-0j 3.29933e-05-0j 0.000201592-0j -0.0369925-0j 3.56368e-05-0j 2.96973e-06-0j 3.18745e-05-0j -0.00846418-0j 1.95191e-05-0j 3.98432e-06-0j -0.0048742-0j 2.34778e-07-0j 9.69911e-06-0j -0.00070353-0j -0.000609274-0j 2.96973e-06-0j -7.18037e-05-0j 1.48487e-06-0j 2.47478e-07-0j -3.27737e-06-0j 3.71217e-07-0j 1.31245e-07-0j 3.09347e-08-0j 2.18742e-08-0j 1.15287e-09-0j 1.7293e-09-0j 7.70293e-11-0j 1.85304e-12-0j 
-0.00244418-0j -0.000374186-0j -0.000282858-0j -4.08271e-05-0j -0.000249458-0j 0.0457759-0j -4.40983e-05-0j -3.67486e-06-0j -3.94427e-05-0j 0.0104739-0j -2.41536e-05-0j -4.93034e-06-0j 0.00603151-0j -2.90523e-07-0j -1.2002e-05-0j 0.000870573-0j 0.000753939-0j -3.67486e-06-0j 8.88525e-05-0j -1.83743e-06-0j -3.06238e-07-0j 4.05554e-06-0j -4.59357e-07-0j -1.62407e-07-0j -3.82798e-08-0j -2.70679e-08-0j -1.4266e-09-0j -2.1399e-09-0j -9.53189e-11-0j -2.29302e-12-0j 
