0.29614-0j 0.358976-0j 0.41451-0j 0.410258-0j 0.0594546-0j 0.502462-0j 0.0946182-0j 0.0346818-0j 0.0214583-0j 0.0367857-0j 0.0514892-0j 0.0509611-0j 0.444806-0j 0.0644612-0j 0.0339741-0j 0.0210204-0j 0.00559792-0j 0.0582412-0j 
-0.0840006-0j 0.000740483-0j -0.0583606-0j 0.0594546-0j -0.00580122-0j 0.00103646-0j -0.0538724-0j 0.465341-0j 0.43292-0j 0.24499-0j 0.342914-0j -0.349342-0j 0.0644612-0j -0.00628974-0j -0.232895-0j -0.144096-0j 0.188594-0j -0.399248-0j 
-0.0197311-0j 0.0253729-0j 0.0301443-0j -0.0298472-0j 0.00420232-0j 0.0355146-0j -0.072809-0j -0.00231076-0j -0.00745396-0j 0.00267516-0j 0.00374444-0j -0.00370754-0j -0.0323607-0j 0.0045562-0j -0.00247169-0j -0.00152928-0j -0.0074622-0j -0.00423718-0j 
0.00284793-0j -0.00366226-0j -0.00435096-0j 0.00430808-0j 0.0579896-0j -0.00512609-0j 0.0105091-0j -0.0318872-0j -0.10286-0j 0.0369156-0j 0.051671-0j -0.0511618-0j 0.00467086-0j 0.0628728-0j -0.0341079-0j -0.0211032-0j -0.102974-0j -0.0584706-0j 
-0.0209818-0j -0.0767161-0j 0.0298472-0j -0.0290672-0j -0.00421242-0j 0.0361803-0j 0.00681309-0j 0.0024973-0j -0.00152034-0j -0.00786139-0j 0.00370754-0j -0.00361065-0j 0.0320287-0j 0.0046416-0j 0.00244634-0j -0.00749514-0j 0.000403085-0j 0.00419372-0j 
0.00302847-0j 0.011073-0j -0.00430808-0j 0.00419549-0j -0.0581289-0j -0.00522218-0j -0.000983384-0j 0.0344613-0j -0.0209798-0j -0.108483-0j 0.0511618-0j -0.0498248-0j -0.00462295-0j 0.0640513-0j 0.033758-0j -0.103428-0j 0.00556233-0j 0.0578709-0j 
0.00595153-0j -0.000158247-0j -0.00420232-0j -0.00421242-0j 0.000411023-0j 7.46315e-05-0j -0.00387914-0j 0.0335074-0j -0.0306728-0j -0.0523564-0j 0.0246919-0j 0.0247513-0j 0.0046416-0j -0.0004529-0j -0.0167698-0j 0.0513798-0j 0.0135799-0j -0.0287483-0j 
-0.0069797-0j 0.00427697-0j -0.00231076-0j -0.0024973-0j -0.0335074-0j 0.00598652-0j 0.00746242-0j 0.0386657-0j 0.00718937-0j 0.00970027-0j 0.0135775-0j 0.0146736-0j -0.0027076-0j -0.0363291-0j 0.00978241-0j 0.00605256-0j -0.0713021-0j 0.0167698-0j 
-0.0336669-0j 0.000895182-0j 0.0237719-0j 0.023829-0j 4.91537e-05-0j -0.000422179-0j 0.0219437-0j 0.00400711-0j -0.00366813-0j -0.00626123-0j 0.00295288-0j 0.00295997-0j -0.0262569-0j -5.41617e-05-0j -0.00200549-0j 0.00614444-0j 0.001624-0j -0.00343798-0j 
-0.000495961-0j 1.31873e-05-0j 0.000350194-0j 0.000351035-0j -0.000104204-0j -6.21929e-06-0j 0.000323262-0j -0.00849492-0j 0.00777628-0j 0.0132736-0j -0.00625998-0j -0.00627502-0j -0.0003868-0j 0.000114821-0j 0.00425155-0j -0.013026-0j -0.00344282-0j 0.00728837-0j 
-0.0024973-0j -0.00302719-0j 0.00697245-0j 0.00690094-0j -0.0473065-0j -0.00423718-0j -0.000797901-0j -0.0275955-0j 0.00855961-0j 0.0146736-0j 0.0205388-0j 0.0203281-0j -0.00375098-0j 0.0257133-0j -0.0676167-0j 0.00838492-0j 0.00223299-0j 0.0232321-0j 
0.0394832-0j -0.0241942-0j 0.0130717-0j 0.0141269-0j -0.00400711-0j -0.0338649-0j -0.0422138-0j 0.00462399-0j 0.000859768-0j 0.00116004-0j 0.00162372-0j 0.0017548-0j 0.0153165-0j -0.00434455-0j 0.00116987-0j 0.000723818-0j -0.00852693-0j 0.00200549-0j 
0.000581642-0j -0.000356414-0j 0.000192564-0j 0.000208109-0j 0.00849492-0j -0.000498876-0j -0.000621869-0j -0.00980267-0j -0.00182267-0j -0.00245924-0j -0.00344223-0j -0.00372011-0j 0.000225633-0j 0.00921027-0j -0.00248007-0j -0.00153447-0j 0.0180767-0j -0.00425155-0j 
0.00161423-0j -0.00626123-0j 0.00250636-0j 0.00244185-0j 0.0162626-0j 0.00295288-0j -0.00605374-0j 0.00908822-0j -0.0288461-0j 0.0312266-0j -0.0147269-0j -0.0143478-0j -0.00269064-0j -0.0179195-0j 0.00972114-0j -0.0297838-0j 0.0293488-0j 0.0166648-0j 
-0.000201779-0j 0.000782654-0j -0.000313295-0j -0.000305232-0j -0.00410862-0j -0.00036911-0j 0.000756718-0j -0.00229607-0j 0.00728775-0j -0.00788916-0j 0.00372063-0j 0.00362487-0j 0.00033633-0j 0.00452723-0j -0.00245597-0j 0.00752466-0j -0.00741475-0j -0.00421024-0j 
0.0141269-0j 0.0171244-0j -0.0394422-0j -0.0390376-0j -0.00565733-0j 0.0239691-0j 0.00451361-0j -0.00330011-0j 0.00102363-0j 0.0017548-0j 0.00245621-0j 0.00243102-0j 0.0212188-0j 0.00307502-0j -0.00808619-0j 0.00100274-0j 0.00026704-0j 0.0027783-0j 
0.000208109-0j 0.000252266-0j -0.000581038-0j -0.000575078-0j 0.0119933-0j 0.000353099-0j 6.64917e-05-0j 0.00699609-0j -0.00217006-0j -0.00372011-0j -0.00520706-0j -0.00515366-0j 0.000312582-0j -0.00651892-0j 0.0171424-0j -0.00212577-0j -0.000566114-0j -0.00588989-0j 
-0.00400711-0j 3.53236e-05-0j 0.00555323-0j -0.00565733-0j 0.000552008-0j 4.94427e-05-0j -0.00256989-0j -0.044279-0j 0.0206518-0j 0.0116869-0j 0.0163582-0j -0.0166648-0j 0.00307502-0j -0.000300042-0j 0.0554315-0j -0.00687388-0j 0.00899657-0j -0.0190455-0j 
0.000500889-0j -4.41545e-06-0j -0.000694154-0j 0.000707166-0j -0.000139461-0j -6.18034e-06-0j 0.000321237-0j 0.0111868-0j -0.00521751-0j -0.0029526-0j -0.00413277-0j 0.00421024-0j -0.000384377-0j 7.58034e-05-0j -0.0140044-0j 0.00173664-0j -0.00227292-0j 0.0048117-0j 
1.18899e-05-0j -4.61183e-05-0j 1.84611e-05-0j 1.7986e-05-0j 0.000486738-0j 2.175e-05-0j -4.459e-05-0j 0.00027201-0j -0.000863362-0j 0.000934609-0j -0.000440774-0j -0.000429429-0j -1.98185e-05-0j -0.000536329-0j 0.000290953-0j -0.000891427-0j 0.000878407-0j 0.000498777-0j 
-0.00372085-0j 0.00142297-0j 0.0017548-0j -0.00515469-0j 0.0353358-0j 0.00212714-0j 0.00040056-0j -0.00694512-0j 0.0127534-0j -0.00689754-0j -0.0103108-0j 0.0302878-0j 0.00188306-0j -0.0129085-0j -0.00680338-0j -0.053513-0j -0.001121-0j -0.0116629-0j 
0.000465106-0j -0.000177872-0j -0.00021935-0j 0.000644336-0j -0.00892732-0j -0.000265892-0j -5.007e-05-0j 0.00175463-0j -0.00322204-0j 0.00174261-0j 0.00260495-0j -0.00765199-0j -0.000235382-0j 0.00326124-0j 0.00171882-0j 0.0135197-0j 0.000283212-0j 0.00294655-0j 
-0.000107471-0j 0.000329505-0j -0.000617273-0j -0.000127954-0j -0.00521751-0j 0.000461211-0j 0.000551595-0j 0.00120331-0j -0.0090241-0j 0.00523723-0j 0.0073306-0j 0.00151956-0j -0.000138729-0j -0.00565688-0j 0.00101304-0j 0.000626785-0j 0.00540767-0j 0.00173664-0j 
0.000859768-0j -0.00263604-0j 0.00493818-0j 0.00102363-0j 0.0206518-0j -0.00368969-0j -0.00441276-0j -0.00476289-0j 0.0357189-0j -0.0207298-0j -0.0290157-0j -0.00601465-0j 0.00110983-0j 0.0223908-0j -0.00400977-0j -0.00248092-0j -0.0214044-0j -0.00687388-0j 
0.0240427-0j -0.000211941-0j -0.0333194-0j 0.033944-0j 7.00184e-05-0j -0.000296656-0j 0.0154194-0j -0.00561648-0j 0.00261953-0j 0.0014824-0j 0.00207492-0j -0.00211382-0j -0.0184501-0j -3.80583e-05-0j 0.0070311-0j -0.000871905-0j 0.00114115-0j -0.00241579-0j 
-0.00245385-0j 2.16312e-05-0j 0.00340065-0j -0.00346439-0j -7.14623e-06-0j 3.02773e-05-0j -0.00157373-0j 0.00057323-0j -0.000267355-0j -0.000151296-0j -0.000211771-0j 0.00021574-0j 0.00188306-0j 3.8843e-06-0j -0.000717609-0j 8.89884e-05-0j -0.000116468-0j 0.000246561-0j 
-0.0096854-0j 0.0375674-0j -0.0150382-0j -0.0146511-0j 0.0020628-0j -0.0177173-0j 0.0363225-0j 0.00115278-0j -0.00365893-0j 0.00396087-0j -0.001868-0j -0.00181992-0j 0.0161439-0j -0.00227296-0j 0.00123306-0j -0.00377787-0j 0.00372269-0j 0.00211382-0j 
