0.010468-0j 0.0103606-0j -0.0710226-0j -0.0414299-0j -0.057395-0j -0.0725219-0j -0.0104014-0j -0.0828822-0j -0.0118873-0j 0.287026-0j -0.0507548-0j -0.00727946-0j 0.347928-0j -0.00429035-0j -0.0299138-0j 0.401753-0j 0.397632-0j -0.0710419-0j -0.0101891-0j 0.486998-0j -0.000756312-0j 0.000499357-0j 0.000356758-0j -0.00105862-0j 0.000494235-0j 0.000432456-0j -0.00104776-0j 0.0917062-0j -0.000916789-0j 0.000605312-0j -0.00128324-0j 0.431116-0j -0.000241645-0j 0.000535854-0j 0.000113986-0j -0.00113599-0j 
-0.0592157-0j -0.0586083-0j -0.00849351-0j -0.00495455-0j -0.00686379-0j -0.00426389-0j -0.00061544-0j -0.00487302-0j -0.000703359-0j -0.000356758-0j -0.0029841-0j -0.000430718-0j -0.000432456-0j -0.000253856-0j -0.00175877-0j -0.000499357-0j -0.000494235-0j -0.00417687-0j -0.00060288-0j -0.000605312-0j -2.97298e-05-0j 0.411685-0j 0.294122-0j -4.16131e-05-0j 0.407462-0j 0.35653-0j -4.11863e-05-0j -0.000113986-0j -3.6038e-05-0j 0.499038-0j -5.04427e-05-0j -0.000535854-0j -9.49882e-06-0j 0.441775-0j 0.0939734-0j -4.46545e-05-0j 
-0.000872329-0j -0.000863382-0j 0.0180059-0j 0.0105034-0j 0.014551-0j -6.2813e-05-0j -0.124299-0j -7.17863e-05-0j -0.142056-0j 0.000756312-0j -4.396e-05-0j -0.086991-0j 0.000916789-0j -0.0512706-0j -2.59091e-05-0j 0.00105862-0j 0.00104776-0j -6.15311e-05-0j -0.121762-0j 0.00128324-0j 0.277937-0j -4.16131e-05-0j -2.97298e-05-0j 0.389031-0j -4.11863e-05-0j -3.6038e-05-0j 0.385041-0j 0.000241645-0j 0.336911-0j -5.04427e-05-0j 0.471577-0j 0.00113599-0j 0.0888023-0j -4.46545e-05-0j -9.49882e-06-0j 0.417465-0j 
0.00833723-0j -0.00849351-0j 0.000828746-0j -0.0664774-0j 0.0470519-0j 0.000600332-0j -0.00828422-0j -1.00519e-05-0j 0.00013871-0j -0.00478678-0j -0.000432456-0j 0.00596763-0j 4.21965e-05-0j -0.0103513-0j 0.000750129-0j -0.00332568-0j 0.00338802-0j -0.000605312-0j 0.00835294-0j 5.90627e-05-0j -0.00121356-0j -0.0579629-0j -0.0834281-0j -0.000843138-0j 0.0590494-0j 0.000735437-0j 0.000858943-0j -0.00306992-0j 1.06978e-05-0j 0.0010294-0j 1.49738e-05-0j 0.00367332-0j -0.000778296-0j 0.0640219-0j -0.0535052-0j 0.000931274-0j 
-0.00104215-0j 0.00106169-0j -0.000209377-0j 0.016795-0j -0.0118873-0j 0.00722004-0j -0.0484599-0j -0.000120892-0j 0.000811408-0j -0.116356-0j -0.00520104-0j 0.0349086-0j 0.0010257-0j -0.0605518-0j 0.00902161-0j -0.0808399-0j 0.0823552-0j -0.00727993-0j 0.0488619-0j 0.00143568-0j -0.0144519-0j -4.97143e-05-0j -7.15556e-05-0j -0.0100407-0j 5.06462e-05-0j 6.30778e-07-0j 0.0102289-0j -0.0746228-0j 0.000127397-0j 8.82905e-07-0j 0.000178318-0j 0.0892903-0j -0.00926848-0j 5.49111e-05-0j -4.5891e-05-0j 0.0110902-0j 
-0.0500234-0j 0.0509611-0j 0.000105121-0j -0.00843219-0j 0.0059682-0j -0.00360199-0j -0.000519903-0j 6.03113e-05-0j 8.70519e-06-0j -0.000607169-0j 0.00259473-0j 0.000374518-0j 5.35233e-06-0j -0.00064963-0j -0.00450077-0j -0.00042184-0j 0.000429747-0j 0.00363187-0j 0.000524215-0j 7.4917e-06-0j -5.05974e-05-0j -0.00238629-0j -0.00343467-0j -3.51533e-05-0j 0.00243102-0j 3.02773e-05-0j 3.58123e-05-0j -0.000389398-0j 4.46027e-07-0j 4.23794e-05-0j 6.24308e-07-0j 0.000465936-0j -3.24498e-05-0j 0.00263573-0j -0.00220277-0j 3.8828e-05-0j 
0.00510549-0j -0.00520119-0j -1.07288e-05-0j 0.000860607-0j -0.000609127-0j -0.0711093-0j 5.30623e-05-0j 0.00119065-0j -8.8847e-07-0j -0.0119865-0j 0.0512244-0j -3.8224e-05-0j 0.000105664-0j 6.63026e-05-0j -0.0888527-0j -0.00832782-0j 0.00848392-0j 0.0716992-0j -5.35025e-05-0j 0.000147899-0j 5.16408e-06-0j 0.000243549-0j 0.000350549-0j 3.58782e-06-0j -0.000248115-0j -3.09017e-06-0j -3.65507e-06-0j -0.00768736-0j -4.55225e-08-0j -4.32533e-06-0j -6.37182e-08-0j 0.00919835-0j 3.3119e-06-0j -0.000269008-0j 0.000224819-0j -3.96286e-06-0j 
6.14095e-05-0j -6.25606e-05-0j 2.48043e-05-0j -0.00198966-0j 0.00140826-0j 4.42186e-06-0j 0.0176232-0j -7.40392e-08-0j -0.000295082-0j -0.000143268-0j -3.18534e-06-0j -0.0126951-0j 1.26294e-06-0j 0.0220206-0j 5.52522e-06-0j -9.95374e-05-0j 0.000101403-0j -4.45854e-06-0j -0.0177694-0j 1.76774e-06-0j -0.16282-0j 2.92944e-06-0j 4.21645e-06-0j -0.113122-0j -2.98435e-06-0j -3.71689e-08-0j 0.115242-0j -9.18824e-05-0j 0.00143529-0j -5.20257e-08-0j 0.00200899-0j 0.000109942-0j -0.104422-0j -3.23567e-06-0j 2.70415e-06-0j 0.124946-0j 
-0.00430633-0j 0.00426389-0j -0.000600332-0j 0.000330109-0j 0.000499357-0j 0.0298342-0j -4.47565e-05-0j 0.0331391-0j -4.97143e-05-0j -0.00228699-0j -0.0208881-0j 3.13357e-05-0j 0.00294092-0j 8.81818e-05-0j -0.0587811-0j 0.00349398-0j -0.00345954-0j -0.0292372-0j 4.38609e-05-0j 0.00411644-0j 1.98082e-06-0j 0.0299389-0j -0.0195966-0j -3.02622e-06-0j -0.0296438-0j 0.0251999-0j 2.9964e-06-0j -0.00843917-0j -2.54721e-06-0j 0.0352726-0j -3.56535e-06-0j -0.00375087-0j 7.30938e-06-0j -0.0321401-0j -0.0723129-0j 3.24872e-06-0j 
-0.00527416-0j 0.00522218-0j 0.0347793-0j -0.0191244-0j -0.0289295-0j -0.000379771-0j 0.00524062-0j -0.00042184-0j 0.00582114-0j -0.00137707-0j 0.000265892-0j -0.00366916-0j 0.00177083-0j -0.0103254-0j 0.000748248-0j 0.00210384-0j -0.0020831-0j 0.000372172-0j -0.00513575-0j 0.00247864-0j -0.00034912-0j -0.000251595-0j 0.000164682-0j 0.000533372-0j 0.000249116-0j -0.000211771-0j -0.000528115-0j -0.0050815-0j 0.000448946-0j -0.000296417-0j 0.000628393-0j -0.00225852-0j -0.00128828-0j 0.000270094-0j 0.00060769-0j -0.000572587-0j 
0.000538291-0j -0.000532986-0j -0.00354965-0j 0.00195187-0j 0.00295261-0j -0.00749732-0j -0.000534869-0j -0.00832782-0j -0.000594117-0j -0.0271857-0j 0.00524916-0j 0.000374482-0j 0.034959-0j 0.00105383-0j 0.0147716-0j 0.0415332-0j -0.0411239-0j 0.00734729-0j 0.000524165-0j 0.0489325-0j 3.56319e-05-0j 2.56783e-05-0j -1.68078e-05-0j -5.4437e-05-0j -2.54253e-05-0j 2.16138e-05-0j 5.39005e-05-0j -0.100317-0j -4.58203e-05-0j 3.0253e-05-0j -6.41351e-05-0j -0.0445869-0j 0.000131484-0j -2.75663e-05-0j -6.20221e-05-0j 5.84394e-05-0j 
