0.0101488-0j 0.00145559-0j -0.0695711-0j -8.64731e-05-0j 0.00018332-0j 0.000419159-0j -0.0101888-0j 0.00041486-0j -0.0100843-0j 1.25454e-05-0j 0.010308-0j 0.00103885-0j 0.0104148-0j 0.00104961-0j 1.24167e-05-0j 0.000599085-0j -0.0706619-0j -0.00712138-0j 8.59233e-05-0j -0.00127004-0j -0.00415414-0j 5.01219e-05-0j -4.72565e-05-0j -0.000740855-0j 0.000349466-0j -0.0412195-0j 1.00696e-06-0j 0.000484134-0j -0.0571035-0j -0.00575495-0j 6.94365e-05-0j -0.00102634-0j -3.8189e-05-0j -2.75663e-05-0j 5.87393e-07-0j 8.13746e-07-0j 
-0.00119605-0j 0.00802774-0j 0.0165714-0j -0.00148523-0j 0.00205824-0j 0.0145508-0j -0.0561925-0j 0.0144016-0j -0.0556161-0j 0.000212394-0j 6.20157e-06-0j -0.000122429-0j 6.26584e-06-0j -0.000123698-0j 0.000210216-0j 0.0102897-0j -8.59233e-05-0j 0.00169627-0j -0.0690629-0j -0.0142595-0j 0.00098949-0j -0.0402867-0j 5.56923e-06-0j -0.00831803-0j 0.00600231-0j -5.01219e-05-0j 2.2786e-05-0j 0.00831531-0j -6.94365e-05-0j 0.00137079-0j -0.0558112-0j -0.0115234-0j 4.50062e-06-0j 3.24872e-06-0j 1.32918e-05-0j 1.84139e-05-0j 
-0.0628901-0j 9.43459e-05-0j -0.00911402-0j 0.000535854-0j 7.89388e-06-0j 5.49111e-05-0j -0.000660402-0j 5.43479e-05-0j -0.000653628-0j 4.04458e-07-0j 0.000326087-0j -0.0064375-0j 0.000329466-0j -0.00650421-0j 4.0031e-07-0j -0.0037124-0j 4.72565e-05-0j -0.000932922-0j 5.56923e-06-0j -5.46888e-05-0j -0.000544205-0j 3.24872e-06-0j -0.0722313-0j -3.19018e-05-0j -0.00216556-0j 2.75663e-05-0j 2.59441e-08-0j -0.00300007-0j 3.8189e-05-0j -0.000753915-0j 4.50062e-06-0j -4.41952e-05-0j -0.0583717-0j -0.0421349-0j 1.51341e-08-0j 2.0966e-08-0j 
0.0117798-0j -8.79016e-06-0j 0.00170712-0j 0.00727612-0j -7.35469e-07-0j 0.000745612-0j 0.000123698-0j 0.000737964-0j 0.000122429-0j -3.76832e-08-0j -3.03814e-05-0j -0.0574057-0j -3.06962e-05-0j -0.0580006-0j -3.72967e-08-0j -0.101342-0j -4.40287e-06-0j -0.00831922-0j 7.5622e-05-0j 1.02436e-05-0j -0.00485288-0j 4.41128e-05-0j -2.72836e-05-0j 5.97544e-06-0j -0.059116-0j -2.56834e-06-0j -2.4172e-09-0j -0.0818965-0j -3.55805e-06-0j -0.00672295-0j 6.11118e-05-0j 8.27808e-06-0j -2.20484e-05-0j -1.59154e-05-0j -1.41003e-09-0j -1.95339e-09-0j 
0.000843856-0j -0.0116447-0j -0.0057847-0j 0.000691785-0j -0.00146656-0j -0.00335327-0j -0.000847179-0j -0.00331888-0j -0.00083849-0j -0.000100363-0j 0.000420977-0j 4.29658e-05-0j 0.000425339-0j 4.3411e-05-0j -9.93338e-05-0j 4.98127e-05-0j -0.00288583-0j -0.000294534-0j -0.000687386-0j -0.000105601-0j -0.000171811-0j -0.000400975-0j 0.000378052-0j -6.16006e-05-0j 2.90574e-05-0j -0.0016834-0j -8.05567e-06-0j 4.02548e-05-0j -0.0023321-0j -0.000238019-0j -0.000555492-0j -8.53385e-05-0j 0.000305512-0j 0.00022053-0j -4.69914e-06-0j -6.50996e-06-0j 
-7.03213e-05-0j 0.000970392-0j 0.000482058-0j 0.0168611-0j 0.000122213-0j -0.0817304-0j 7.05983e-05-0j -0.0808922-0j 6.98742e-05-0j 8.3636e-06-0j -3.50814e-05-0j -3.58048e-06-0j -3.54449e-05-0j -3.61758e-06-0j 8.27781e-06-0j 0.0012141-0j 0.000240486-0j 2.45445e-05-0j -0.0167539-0j 8.80008e-06-0j 1.43176e-05-0j -0.00977311-0j -3.15043e-05-0j 5.13338e-06-0j 0.000708227-0j 0.000140283-0j 6.71306e-07-0j 0.000981144-0j 0.000194342-0j 1.98349e-05-0j -0.0135392-0j 7.11154e-06-0j -2.54594e-05-0j -1.83775e-05-0j 3.91595e-07-0j 5.42497e-07-0j 
-0.00180651-0j -8.57714e-05-0j 0.0123838-0j 5.09548e-06-0j -1.08022e-05-0j -2.46992e-05-0j 0.00181362-0j -2.44458e-05-0j 0.00179502-0j -7.39245e-07-0j 3.10079e-06-0j 0.0177608-0j 3.13292e-06-0j 0.0179448-0j -7.31662e-07-0j -0.000106638-0j -2.12561e-05-0j -0.121752-0j -5.06308e-06-0j 0.000226069-0j -0.0710218-0j -2.95346e-06-0j 2.78462e-06-0j 0.000131873-0j -6.22056e-05-0j -1.23994e-05-0j -5.93356e-08-0j -8.61766e-05-0j -1.71776e-05-0j -0.0983901-0j -4.09158e-06-0j 0.000182691-0j 2.25031e-06-0j 1.62436e-06-0j -3.46124e-08-0j -4.79504e-08-0j 
-9.43459e-05-0j -0.0609262-0j 0.00130717-0j -7.73439e-05-0j -0.0156209-0j 0.00075774-0j -0.00443252-0j 0.000749968-0j -0.00438706-0j -0.00161196-0j -4.70666e-05-0j -4.80372e-06-0j -4.75544e-05-0j -4.8535e-06-0j -0.00159543-0j -5.56923e-06-0j 0.000652112-0j 6.65559e-05-0j -0.00359647-0j -0.0011248-0j 3.88243e-05-0j -0.00209794-0j 0.0104257-0j -0.000656135-0j -3.24872e-06-0j 0.000380399-0j -0.000172933-0j -4.50062e-06-0j 0.000526986-0j 5.37853e-05-0j -0.00290639-0j -0.000908978-0j 0.00842523-0j 0.00608165-0j -0.000100878-0j -0.000139751-0j 
0.000596696-0j 8.61257e-05-0j 8.64731e-05-0j -0.0712911-0j 7.20609e-06-0j -0.00730547-0j 6.26584e-06-0j -0.00723054-0j 6.20157e-06-0j 3.69218e-07-0j -0.0583106-0j 3.03814e-05-0j -0.0589149-0j 3.06962e-05-0j 3.65431e-07-0j -0.00513339-0j -0.00845037-0j 4.40287e-06-0j -0.000740941-0j 5.18883e-07-0j 2.56834e-06-0j -0.000432216-0j 0.000267323-0j 3.02682e-07-0j -0.00299448-0j -0.00492938-0j 2.36836e-08-0j -0.00414841-0j -0.00682893-0j 3.55805e-06-0j -0.000598771-0j 4.19321e-07-0j 0.00021603-0j 0.000155939-0j 1.38155e-08-0j 1.91393e-08-0j 
8.79016e-06-0j 0.0173946-0j -0.00018332-0j 7.20609e-06-0j -0.0673681-0j -0.000106267-0j 0.00126549-0j -0.000105177-0j 0.00125252-0j -0.0142575-0j -0.000858997-0j 4.4756e-07-0j -0.000867899-0j 4.52198e-07-0j -0.0141113-0j 5.18883e-07-0j 0.0179145-0j -9.3339e-06-0j 0.0010268-0j -0.00485092-0j -5.44477e-06-0j 0.000598967-0j 3.93804e-06-0j -0.0028297-0j 3.02682e-07-0j 0.0104501-0j -0.00231055-0j 4.19321e-07-0j 0.0144771-0j -7.54293e-06-0j 0.00082978-0j -0.00392013-0j 3.18242e-06-0j 2.29719e-06-0j -0.00134782-0j -0.00186721-0j 
0.000173532-0j -0.00177533-0j -0.00361903-0j -7.35469e-07-0j 0.00687573-0j 1.08458e-05-0j 0.024983-0j 1.07345e-05-0j 0.0247267-0j 0.00145515-0j -4.4756e-07-0j -0.000845665-0j -4.52198e-07-0j -0.000854429-0j 0.00144022-0j 1.02436e-05-0j 9.3339e-06-0j 0.0176364-0j -0.000104797-0j -0.0957651-0j 0.0102879-0j -6.11318e-05-0j -4.01925e-07-0j -0.055863-0j 5.97544e-06-0j 5.44477e-06-0j 0.00023582-0j 8.27808e-06-0j 7.54293e-06-0j 0.0142524-0j -8.46891e-05-0j -0.0773899-0j -3.24804e-07-0j -2.34456e-07-0j 0.000137561-0j 0.000190571-0j 
