-0.0450084+0.0915105j -0.000429535-0.156448j -0.140528+0.126771j -0.00175637-0.0244778j -0.0732847+0.0657442j 0.050786-0.0242032j 0.0836907+0.0503432j -0.0481182+0.00200783j 0.0761208+0.0362063j 0.087634+0.0708297j -0.0319916-0.106137j 0.0120322-0.0405269j 0.0754589+0.0308558j -0.00564867-0.0151102j -0.00224536+0.049364j 0.0925613+0.0503534j 0.216586+0.199014j 0.0186294-0.0785198j 0.0122447-0.266546j -0.087761-0.0991976j -0.13157+0.00543623j 0.235978+0.114864j -0.0538593-0.100793j 0.16241-0.0454599j 0.0462006-0.0481702j -0.0376657+0.149941j 0.13604-0.0422109j -0.117219-0.0953558j 0.39697-0.284995j 0.0841558-0.0154088j 0.0037775+0.155173j -0.00249218-0.0498214j 0.0239314+0.00486426j -0.0110256+0.0139678j 0.0275585+0.0456264j 0.0171937+0.033015j -0.037508-0.0173642j -0.010472+0.0144595j 0.00563033+0.0230515j -0.00218109-0.0431427j 0.00823444+0.0176441j 0.0222442+0.00903623j 0.00626695-0.00700597j -0.0240122-0.0232912j -0.00768996-0.0341281j -0.00802764+0.0248852j -0.00500909+0.00610488j 0.0210277-0.00402805j -0.00385926-0.00128831j -0.038231+0.0269493j 0.037468-0.0578948j -0.0411724+0.0211371j 0.00847392+0.0222203j -0.00328641+0.0156953j 0.0149179-0.0249528j 0.0195815+0.0363074j -0.0116001+0.0292099j -0.010682+0.0509233j 0.05103+0.0873645j -0.0223498+0.0352639j 0.104212+0.00702537j -0.063879-0.0305495j -0.0190888-0.00626891j -0.0274708-0.0485702j 0.0219442+0.0300225j -0.00147929-0.084934j -0.0814569-0.0523935j -0.0787647+0.132241j 0.15887-0.072114j 
-0.0212193-0.153237j 0.0276101-0.09408j 0.0160676-0.0130145j 0.125535-0.0846085j -0.0378681-0.00384202j -0.0427141-0.0145824j 0.13667-0.00536834j 0.158791+0.0557253j 0.119411-0.0357058j -0.014681+6.03004e-05j -0.149996-0.00195896j 0.0416219+0.0212351j 0.105104+0.0268407j 0.0332529-0.00189552j 0.0805264-0.0393099j 0.0266343-0.125707j -0.00736735-0.154037j -0.0124292-0.0442314j -0.169289-0.154459j -0.134623+0.176268j 0.115065+0.0300341j 0.0752885-0.214548j -0.12838+0.246138j 0.0141691-0.0826594j 0.0231048+0.0802792j 0.0408616-0.0499029j 0.0520348-0.150415j 0.40404-0.306104j 0.145741+0.0995997j 0.0194066+0.147062j -0.0864312+0.0125275j -0.0170679-0.0121602j 0.00864615-0.0234589j -0.0039031+0.0032524j 0.00206357+0.0246811j -0.0220911-0.0300085j -0.0150528-0.0461617j -0.00921891-0.00663765j -0.0133492-0.00266706j 0.00442926-0.00298126j 0.000970806+0.0595617j 0.00214644+0.0342027j -0.000702887-0.0223191j 0.00717843+0.0278133j 0.0100099+0.0285158j -0.0311292+0.011078j 0.00673014+0.00640962j -0.0205731+0.0334883j -0.0116178+0.0211792j -0.0259927-0.0408378j -0.0210094-0.00289377j 0.00826244+0.0378921j 0.0104183-0.052058j -0.01745+0.0101843j -0.0324515+0.0163201j 0.0188266-0.0170382j -0.0228908-0.00238567j 0.104594+0.0215209j 0.0416531-0.0148722j 0.057349+0.00885239j 0.0396588-0.109039j 0.0123546+0.0157748j -0.0410349-0.036124j -0.00150031+0.0297852j 0.0121089+0.0196116j 0.0727456+0.0516998j -0.003007-0.0737681j -0.154018+0.0751328j -0.0676071+0.148342j 
-0.047872-0.0892857j -0.0215949-0.0710091j 0.0107922+0.0312051j -0.00380599-0.0354297j 0.0541348+0.00972588j -0.0835272+0.0456907j 0.061705-0.0344949j -0.0598197+0.0624531j 0.121244+0.036753j 0.209049-0.0648361j -0.038385-0.0786158j 0.0154186+0.0732818j 0.174444-0.0692633j 0.049057+0.0538166j 0.049779+0.147258j 0.0199404+0.031906j 0.0725773+0.193937j 0.212333+0.163821j -0.0384912+0.0786791j 0.0946297+0.0829695j 0.0986535-0.212899j -0.0905113+0.0805176j 0.0558888-0.126447j -0.120135-0.267806j -0.285761+0.0905721j 0.0703793+0.0674098j 0.0755925+0.0703583j 0.125373-0.046856j -0.125021+0.180877j 0.0091855+0.0888753j -0.0139174-0.000271469j -0.0161265-0.00398293j 0.0053628-0.00643358j -0.00358892+1.22429e-05j 0.0338552+0.00262081j -5.1154e-06-0.00106288j 0.0053464+0.00459838j 0.0100513-0.00839241j 0.0249533+0.0215181j 0.0227792-0.00661392j -0.00498382+0.000903605j 0.00203076+0.0176355j 0.0065524-0.0342973j -0.0182931-0.0228198j -0.0123559-0.0161638j 0.0139668+0.00685319j 0.0144226-0.00502366j 0.0151285-0.00639396j -0.0159418-0.00776507j -0.00370158-0.0249042j 0.0347588-0.0112515j 0.00142043+0.0165073j 0.00134016+0.00768717j 0.0583341+0.013226j 0.0236453-0.0059077j -0.00132639-0.0403135j 0.0269518-0.00862627j 0.0474763+0.0025953j 0.00481908-0.0164349j 0.0129851-0.0259145j 0.0123747+0.0299061j -0.000598624-0.0354724j -0.0315362+0.0250902j -0.0315081-0.0375688j 0.00162728-0.0351617j -0.0158872+0.00250562j 0.00848001-0.0411415j -0.020496-0.0169428j -0.0364307+0.0361033j 
-0.0653931-0.0831748j 0.0249497+0.0741011j 0.0710667-0.0270647j -0.0054335+0.0247578j 0.0107978+0.0205707j -0.118635+0.216273j 0.0882984-0.0334139j -0.0213949+0.0414252j 0.151825+0.142841j 0.102625-0.140348j 0.0587546-0.0231745j -0.108543-0.0677351j 0.00324275-0.054636j 0.0869948-0.0318209j 0.105507-0.0827879j 0.0355847-0.0677184j 0.0695757+0.0253202j -0.135921-0.103341j 0.0133584+0.0227737j 0.24797-0.174589j -0.147813-0.267755j 0.120676-0.179686j -0.148326-0.00438735j -0.0120592+0.237042j 0.0887198+0.163516j 0.137014-0.0322258j -0.0188592-0.107877j -0.115336+0.102686j -0.0406051+0.0582387j 0.00409117+0.0152849j 0.00279488-0.0878177j -0.0300253+0.0175864j -0.00185683+0.00111121j -0.0195534+0.00532933j 0.0316157-0.0207508j -0.00769738+0.000734535j -0.00313605+0.014738j 0.0150743-0.0105226j 0.0128435+0.00458172j 0.0288622+0.0300433j 0.00717334-0.0093696j 0.00137323+0.00735743j 0.000832787-0.034904j 0.00207651-0.0135207j 0.0180575+0.0132072j 0.00350478-0.0152875j 0.0196213-0.00989928j -0.0301719-0.0163658j -0.00499622+0.0282927j 0.005792+0.0280646j 0.0333009-0.0143402j 0.0131243-0.00304978j 0.0339252-0.00640744j -0.0103476-0.0216698j -0.0387959+0.0380285j -0.0345656+0.0110074j -0.00171501-0.0388328j 0.00586907-0.00791707j -0.00397916+0.00594271j -0.0423008-0.0329987j 0.019832-0.0161018j -0.00372799+0.0146042j -0.0380299-0.0162973j -0.00708446-0.0430034j 0.0195547-0.0290753j -0.0221086+0.0375908j -0.0180164+0.00769879j 0.0085183-0.039231j -0.0247459+0.00406033j 
-0.0254897-0.0179591j 0.000968102-0.0428164j 0.0211337+0.0316685j 0.0293956-0.0745192j -0.0385266+0.132271j -0.0229245+0.0186674j 0.0245385+0.0238292j 0.0984199-0.0164027j -0.102995-0.022537j -0.154856-0.0289824j -0.00963544-0.00603546j -0.0870364+0.0352903j -0.0430218+0.208895j 0.207784-0.178493j -0.07441+0.0571607j 0.139034+0.109837j -0.0471507-0.038862j 0.00987213+0.0283707j -0.293394-0.0817822j 0.0586813-0.297495j 0.195603+0.131122j -0.0817826+0.190758j 0.0555569-0.0833821j -0.0612293-0.106326j 0.0336893+0.0228243j 0.0463832-0.0664087j -0.11304+0.0637225j 0.0642873-0.00898454j -0.0239223-0.00926204j 0.0149943+0.0265277j -0.0129269+0.0225675j -0.010638-0.01751j 0.0159415-0.0183068j -0.0140912+0.019046j -0.00943006+0.00958943j 0.00389108+0.000241562j -0.0269268-0.016504j -7.44388e-05+0.0130116j -0.000381316-0.01149j -0.00456448-0.00786291j -0.0067847+0.00750506j -0.0140871-0.000987157j -0.0264695-0.0111033j -0.00586816+0.0301053j 0.0216672-0.015914j -0.00908331-0.013098j 0.032777+0.017964j 0.0141655+0.00486137j 0.00406416+0.0347559j 0.00551603+0.00450842j -0.000184025-0.0191571j -0.0181581-0.011766j 0.020204-0.0151481j 0.045586+0.0347264j 0.0193187+0.010602j 0.0172275+0.0250159j -0.0360064-0.0155125j -0.0310705-0.0321961j 0.00942407-0.0261279j -0.00494661-0.0156816j 0.0221648-0.016373j -0.00104367+0.0111595j 0.0147568-0.00429806j 0.0160914-0.019807j 0.00338212-0.00076453j 0.00522941+0.00333429j -0.00533329-0.00193767j -0.00226483+0.0138607j 0.00324743+0.00218656j 
-0.0512917-0.111267j 0.00323413-0.0166139j -0.0409122-0.0320195j -0.0134592-0.0281094j 0.00397658-0.0936654j -0.0456126-0.210433j -0.142577+0.0012923j 0.11617-0.0507166j -0.104222-0.0543865j 0.0596954+0.0381162j 0.0426427-0.172885j -0.0414284-0.0398153j 0.032579+0.089406j -0.0291773-0.111066j 0.224171+0.077516j -0.157577-0.0922543j 0.110833+0.0735423j -0.167988-0.0322898j -0.0528624+0.0530169j 0.0452018-0.101845j 0.14093-0.0952348j 0.0149175-0.0280299j -0.192407+0.129462j 0.127563+0.222012j 0.0954739-0.184377j 0.0465353-0.0160624j -0.0825983-0.0432399j -0.0147454-0.00905474j -0.0501312+0.0447988j 0.00521181+0.0876136j -0.0160216-0.0406382j 0.00564421+0.0138513j -0.0141959-0.0113555j 0.0108034-0.0199496j -0.000584138+0.0238891j -0.0222804-0.0297812j -0.00643445-0.00726824j -0.00485672-0.000114247j 0.0104026+0.0130887j 0.0132481-0.00105477j 0.00435054+0.00630123j 0.00519412+0.000254768j 0.0151977+0.0182179j 0.0104486+0.0271319j 0.0391199-0.0137753j -0.0276248+0.0259501j -0.00997072-0.00215482j 0.0366307+0.0127974j -0.00104418-0.020237j -0.00385726-0.0115352j -0.0182032-0.000908316j 0.0435004+0.0382491j 0.0307831-0.00071131j 0.0155507-0.0114614j 0.0027686+0.000597542j -0.0179213+0.0315882j 0.0021134+0.0292141j 0.0151004-0.00198141j 0.0253179+0.0132772j 0.0106717-0.0134056j -0.00111386+0.036482j -0.0138223-0.00877659j 0.0271078-0.00577823j -0.00485777+0.02124j -0.0111496+0.0213802j 0.00112241+0.00887312j 0.0126308-0.00097205j -0.019729+0.00855754j -0.00264422+0.0277799j 
-0.0289625-0.0044449j 0.0830735+0.0411352j 0.0859264-0.0281689j -0.045639-0.0288218j 0.069594+0.124487j -0.0499536+0.0149621j 0.107083+0.0989438j 0.0202653-0.0272596j 0.0103728-0.0192144j 0.0216599-0.0257252j -0.170345+0.0337583j -0.00234577-0.10299j -0.066777+0.0775131j -0.0794101-0.0578686j -0.0682513+0.220083j -0.113739-0.210414j -0.0198019+0.00260901j -0.0321166-0.00669449j 0.284123+0.0853945j -0.124518+0.186179j -0.39632+0.0944211j -0.0282537-0.151276j 0.0857092-0.0642324j -0.169371-0.22593j 0.0441483+0.0872075j -0.0622337-0.0386704j 0.0134945+0.03546j 0.0160558+0.0138788j -0.000302782+0.0115541j 0.00571252-0.0294754j -0.0373364-0.0395826j -0.0308652+0.0168039j -0.00632144-0.0106999j -0.00423205+0.018592j -0.00727543+0.0076081j 0.0111034+0.009619j -0.00826244+0.00510939j -0.00894087+0.0109872j -0.00254266+0.0119936j -0.012261-0.0023341j -0.00390148-0.00222409j 0.00164033+0.003418j 0.0112418-0.0334119j -0.026286+0.0250931j 0.0237611+0.0116405j 0.0116146-0.00158926j 0.045196-0.0394672j -0.0307516+0.0197831j 0.0154404-0.0321838j -0.00910316-0.00278539j -0.00318749+0.0199628j 0.0163868-0.00528403j 0.0174283-0.0131608j -0.00241305+0.00165997j 0.026864-0.025101j 0.00798737+0.0123879j -0.0303031+0.0319279j -0.0127576+0.00997715j 0.0110839-0.000244236j 0.00174559-0.0189451j 0.0188147+0.0136466j -0.00320488+0.0085763j -0.00932261-0.00946777j -0.00476777-0.0166443j 0.00831499-0.0047945j -0.00431607+0.00498572j -0.00429563+0.00920519j -0.00112088-0.0125318j -0.012928+0.00595016j 
0.0120442-0.0465403j -0.0444883+0.0126077j -0.0421832-0.0962192j -0.037471+0.000949868j 0.0401768-0.137943j 0.15987-0.121902j -0.130333-0.0293987j -0.0705927+0.0669856j -0.057442-0.0247893j -0.0194471-0.0313806j -0.0476659+0.134889j -0.234617+0.0413955j 0.12208-0.158942j 0.269759+0.0218386j -0.0107314+0.109946j 0.242246-0.242704j 0.0190657+0.329152j 0.127721+0.0390546j 0.109337-0.164505j 0.151769+0.134854j 0.0680433-0.047447j -0.0722029-0.234308j -0.0140671+0.0841685j 0.2067-0.0258933j 0.00835886-0.153798j -0.0285501+0.106999j 0.00151191-0.0930725j -0.115639-0.0196317j -0.0323393+0.024184j -0.00668874+0.0479464j 0.0244662-0.0191937j 0.00830423+0.0277188j -0.0235088-0.00186956j 0.0259348-0.0222167j -0.0190442-0.00598067j -0.0153048-0.010865j 0.0274789+0.000729557j 0.0196906+0.00564538j 0.0112089-0.00679021j -0.0113441-0.000394845j -0.0146183-0.0167883j -0.0092042-0.0124371j -0.0228549-0.0201023j 0.017973-9.06785e-05j -0.0225705+0.0131118j -0.0177462+0.0254772j 0.02901-0.0212713j 0.0260428-0.00513951j -0.0235153-0.0151866j -0.0148012+0.00200161j 0.0448518+0.0290704j 0.00297557+0.00201446j 0.010568-0.0192656j -0.0206186-0.0213193j 0.0131233+0.00615259j -0.0160974-0.00260133j -0.00702135+0.011893j -0.0165754-0.00238188j -0.000422303+0.00316621j -0.0170454+0.00071374j 0.00521852-0.0184332j -0.00925156+0.0100868j 0.00491165+0.00553815j 0.0133121+0.0117266j -0.0140761+0.00870751j 0.00721857-0.00290215j 0.0119696-0.00737003j 0.00160645+0.0044724j 0.0042918+0.00918058j 
-0.0170971-0.039388j 0.00171851-0.0222594j 0.00128041-0.0293483j 0.01189-0.020527j -0.0459092+0.00756326j -0.00772614+0.0646496j 0.00284464-0.0878525j -0.0517659+0.269314j 0.159453-0.117558j -0.068242+0.232172j 0.249299+0.122544j 0.11741+0.0128428j -0.035035-0.144315j -0.0563181+0.334133j -0.0678786-0.331792j 0.101553+0.175884j -0.00397659-0.0477235j 0.072599-0.0600162j -0.172241+0.0146365j -0.0159309-0.0610583j 0.0242688+0.0485551j 0.00767764+0.0131335j 0.019245-0.0371025j -0.0466383+0.0844759j -0.0973346+0.0451169j 0.0706955+0.0563926j -0.0102305-0.0555131j 0.014961-0.00909757j -0.0378469+0.00883308j 0.0021012+0.0295277j -0.00379781+6.87735e-05j -0.00691299+0.00896578j 0.00323625-0.00467865j -0.0110783-0.00356147j 0.00682163-0.011625j -0.00547293-0.0082396j 0.0150178-0.0110654j -0.0158808-0.00849183j -0.0276841+0.0393773j 0.0277102+0.000901258j -0.0143918+0.00760229j 0.0284455+0.0258495j -0.000983743-0.0329415j 0.0183988+0.0140597j -0.00607889+0.0368956j 0.0257684+0.0279022j 0.0125241+0.00721152j 0.0178085-0.0366145j 0.00783992+0.0262443j -0.00576156+0.00102832j -0.00115892-0.0074593j 0.0323964+0.0331626j -0.00622158-0.0144594j 0.0180279-0.00819395j -0.00411627-0.0183301j 0.00653032+0.0314775j 0.00175795-0.00431538j -0.00843464+0.0119992j -0.0121984+0.012548j -0.000354233+0.00815195j -0.00707994+0.000137966j 0.00265599+0.00553806j -0.00654561+9.79386e-05j -0.00131385-0.00504631j 0.00150277-0.000240875j 0.000882065+0.00448199j 0.000543215-0.00344762j -0.00920981+0.00487784j -0.00433815+0.0106605j 
0.000967116+0.0792252j -0.0878662-0.0635316j -0.022734+0.00671201j 0.00905995+0.0106952j -0.00812563+0.118162j -0.0478744+0.136398j 0.255165+0.0784639j 0.0286039+0.111009j 0.200351+0.100401j 0.0116715+0.176093j 0.290396-0.0849576j 0.0295921+0.0342989j -0.128994+0.082574j 0.0534207-0.0350445j -0.190622+0.107508j -0.120618-0.256784j -0.143275+0.119573j -0.123968-0.0625912j -0.00442066-0.102295j 0.0714218+0.029399j 0.0122078+0.0516002j -0.181604-0.137005j 0.0205807-0.067649j -0.0351176-0.0911684j -0.0379522+0.0938323j 0.107568+0.00931568j -0.00695172+0.0317172j 0.0747469+0.0168412j 0.0454523-0.0427317j 0.0245243-0.00931342j 0.0321564+0.0751578j -0.000804077-0.0170633j 0.0117368+0.0013669j -0.0057225+0.0269346j 0.0279449+0.0106164j 0.023366+0.0350673j -0.00599865+0.000937609j -0.00456374+0.00447733j 0.0251887+0.00227734j 0.010436-0.0289051j -0.00883119-0.0261846j 0.00988775-0.00387262j 0.00809926+0.0188166j -0.000266962-0.00175276j -0.00882869-0.0206189j -0.0174705-0.0048809j -0.0219599+0.0196428j 0.0144437-0.00072604j 0.00852057-0.00656734j 0.011874+0.00710155j -0.0262904+0.0046514j 0.0152382+0.0224186j 0.0223999+0.0142857j -0.0141536-0.0313738j -0.0112568+0.0145742j -0.00487191+0.0132537j -0.00128278-0.00322397j -0.00255325+0.000414345j -0.0177735+0.0032799j -0.0186265+0.00850722j 0.00963788-0.00672183j 0.00698871-0.00299311j -0.0119091-0.00220023j 0.0031575-0.0176842j 0.00699177-0.000675487j 0.00710757-0.0112664j -0.0103392-0.0115255j 0.00711912+0.0134555j 0.0183076-0.025243j 
-0.00902515-0.0106164j -0.0291017-0.0555174j -0.0400814-0.0242101j -0.0542968-0.0187909j -0.00341404-0.0644319j -0.0512869-0.202233j -0.082073+0.0313503j 0.0510217+0.118645j 0.104564-0.149408j 0.0630927+0.227354j 0.24104-0.105942j 0.182802-0.0762015j -0.0188699-0.0471842j -0.238265+0.18344j 0.110965-0.0151868j -0.25087-0.0891021j 0.0577149+0.123442j -0.0648238-0.0562771j 0.0946893+0.138887j -0.117564+0.0989085j -0.0639113-0.00496594j -0.0365365-0.0425883j -0.0866526+0.0198938j 0.0270528+0.0800042j -0.0516696-0.131397j 0.0356582+0.0698251j 0.00640935-0.00554483j 0.000322493-0.00990045j -0.0285404-0.00178494j 0.00581377+0.0310961j 0.00492541+0.0291896j 0.00396102+0.00908608j -0.0194514-0.00862573j 0.0100534-0.00839085j -0.00510637+0.0299181j -0.0187167-0.0086656j -0.00366233-0.0272188j -0.0208021+0.0423209j 0.0332686+0.042711j 0.00636381-0.0433461j 0.0409753-0.0297372j -0.00929623+0.0031519j -0.00655992+0.00245104j -0.00129416+0.00471399j -0.0410313+0.0338286j -0.00793524-0.0144817j 0.0318871-0.0156416j -0.0138125-0.00799847j -0.00884331+0.0263192j -0.000912501+0.00579616j -0.00535469-0.00146106j -0.0173402+0.0179776j 0.00423403-0.000374087j -0.0110774-0.0022474j 0.0065445+0.00899794j 0.0173557-0.0203033j -0.0107628+0.00281354j 0.00536868+0.00322588j 0.00390173+0.00504675j -0.000863557-0.00425672j 0.00206165+0.00811407j -0.00443452+0.00688251j 0.000999119+0.0022921j 0.00564393-0.00368091j -0.00480088+0.00407932j 0.0063425-0.00503992j 0.00190593-0.00685761j -0.00259183+0.0137267j 0.00895083-0.000972417j 
