-0.0103932-0j -0.0720061-0j -0.0104351-0j -0.000869593-0j -0.0590299-0j 0.000736368-0j -0.000756128-0j 0.00589094-0j -0.00604903-0j 6.16116e-05-0j 0.00360745-0j -0.00370426-0j 0.000522792-0j -4.45553e-05-0j 4.33909e-05-0j 0.000603668-0j 0.00418233-0j 0.0353457-0j -0.0362942-0j 0.00512229-0j -3.6526e-05-0j -0.00049579-0j -5.06014e-05-0j -0.00035788-0j -0.00343494-0j -0.000429367-0j -0.00247947-0j 2.81217e-06-0j -0.000309933-0j -0.00420692-0j -0.00303672-0j 0.0317417-0j -1.66718e-06-0j -0.0260693-0j -2.30963e-06-0j -0.0188178-0j 
0.0105009-0j 0.0727523-0j -0.0102431-0j -0.000853593-0j -0.0579438-0j 0.000756128-0j -0.000763654-0j 0.00604903-0j -0.00610923-0j -6.14639e-05-0j 0.00370426-0j -0.00374113-0j -0.000521538-0j -4.49988e-05-0j 4.45553e-05-0j -0.000602221-0j -0.00417231-0j 0.0362942-0j -0.0366554-0j -0.00511001-0j 3.37976e-05-0j 0.000500928-0j 5.11258e-05-0j 0.000331148-0j 0.00347053-0j 0.000433816-0j 0.00229426-0j -2.80543e-06-0j 0.000286782-0j 0.00425052-0j 0.00280988-0j -0.0316656-0j 1.54264e-06-0j 0.0263395-0j 2.33356e-06-0j 0.0174122-0j 
0.143998-0j -0.0104351-0j 0.0010182-0j 0.000258137-0j -0.000121765-0j -0.0102024-0j -0.010178-0j -0.0403829-0j -0.0402861-0j -1.82893e-05-0j 0.000522792-0j 0.000521538-0j -5.10109e-05-0j -0.00120576-0j -0.00120866-0j -0.00011905-0j 8.62717e-06-0j 0.00512229-0j 0.00511001-0j -0.000499803-0j -0.00149098-0j 0.00686921-0j 0.0010553-0j -0.00970519-0j -0.000497791-0j 0.00294334-0j 0.000703305-0j -1.39518e-06-0j -0.00415851-0j 0.0288388-0j -0.0407449-0j 6.54756e-05-0j -0.000113738-0j -0.00377796-0j 8.05022e-05-0j 0.00533771-0j 
-0.116368-0j 0.00843285-0j -0.0578079-0j -0.0146556-0j 0.00691317-0j -0.00837923-0j -0.00846606-0j -0.0331663-0j -0.03351-0j -0.0010553-0j 0.000429367-0j 0.000433816-0j -0.00294334-0j -0.00100295-0j -0.000992666-0j -0.00686921-0j 0.000497791-0j 0.00420692-0j 0.00425052-0j -0.0288388-0j -0.000615589-0j 0.0110729-0j 0.00170109-0j -0.00400704-0j -0.000802417-0j 0.00474455-0j 0.000290378-0j -8.05022e-05-0j -0.00171695-0j 0.0464869-0j -0.0168226-0j 0.00377796-0j -4.69596e-05-0j -0.00608992-0j 0.000129766-0j 0.00220381-0j 
-0.0839991-0j 0.00608715-0j 0.081674-0j 0.0207063-0j -0.00976729-0j -0.00604845-0j -0.00559665-0j -0.0239407-0j -0.0221524-0j 0.00149098-0j 0.000309933-0j 0.000286782-0j 0.00415851-0j -0.000663021-0j -0.000716544-0j 0.00970519-0j -0.000703305-0j 0.00303672-0j 0.00280988-0j 0.0407449-0j -0.00172051-0j -0.00400704-0j -0.000615589-0j -0.0111993-0j 0.000290378-0j -0.00171695-0j 0.000811575-0j 0.000113738-0j -0.0047987-0j -0.0168226-0j -0.0470174-0j -0.00533771-0j -0.000131247-0j 0.00220381-0j -4.69596e-05-0j 0.00615942-0j 
0.558044-0j 0.000864146-0j -0.000170419-0j 0.00203654-0j 1.00835e-05-0j 0.0401826-0j -0.0394432-0j -0.00686921-0j 0.00674282-0j 0.000146643-0j 4.39989e-05-0j -4.31893e-05-0j -8.67706e-06-0j -0.0143442-0j 0.0146131-0j 0.000468881-0j 7.26075e-07-0j 0.000431099-0j -0.000423167-0j -8.50174e-05-0j -0.0117629-0j -0.0531-0j -0.0166071-0j -0.037611-0j -8.22268e-05-0j 0.000982662-0j -5.82416e-05-0j 2.25458e-05-0j 0.000696025-0j 0.00962808-0j 0.00681962-0j 5.51052e-06-0j -0.00180849-0j -0.000624057-0j -0.00255327-0j -0.000442023-0j 
-0.488289-0j -0.000756128-0j -0.010178-0j 0.121629-0j 0.000602221-0j 0.0345958-0j 0.0355097-0j -0.00591415-0j -0.00607039-0j -0.00861754-0j 3.78815e-05-0j 3.88822e-05-0j 0.000509909-0j 0.0129137-0j 0.0125813-0j -0.0275539-0j -4.2668e-05-0j 0.000371161-0j 0.000380966-0j 0.00499607-0j -0.00481584-0j -0.023293-0j -0.00728494-0j -0.0153983-0j -3.60699e-05-0j 0.000431058-0j -2.38447e-05-0j -0.00132491-0j 0.000284959-0j 0.00422349-0j 0.00279202-0j -0.000323827-0j -0.000740414-0j -0.000273751-0j -0.00112003-0j -0.000180968-0j 
-0.000864146-0j 0.576031-0j 0.00118822-0j -1.02914e-06-0j -6.98607e-05-0j 0.0059868-0j -0.00587665-0j -0.000497791-0j 0.000488631-0j 7.12991e-06-0j 0.0589633-0j -0.0578784-0j 0.000121627-0j 3.59911e-06-0j -3.66657e-06-0j -7.26075e-07-0j 0.000483994-0j -0.00298674-0j 0.00293179-0j -6.16095e-06-0j -0.000571921-0j 8.22268e-05-0j -0.00080745-0j 5.82416e-05-0j -0.0548115-0j -0.0137741-0j -0.0388233-0j -3.3824e-09-0j -0.00975626-0j 0.000697717-0j 0.000494197-0j -3.8178e-05-0j 2.71317e-07-0j 0.0043236-0j 3.83051e-07-0j 0.00306242-0j 
0.000756128-0j -0.504027-0j 0.0709642-0j -6.14639e-05-0j -0.00417231-0j 0.00515442-0j 0.00529059-0j -0.00042858-0j -0.000439902-0j -0.000418991-0j 0.0507652-0j 0.0521064-0j -0.00714746-0j -3.24019e-06-0j -3.15679e-06-0j 4.2668e-05-0j -0.028442-0j -0.00257148-0j -0.00263941-0j 0.00036205-0j -0.00023415-0j 3.60699e-05-0j -0.000354199-0j 2.38447e-05-0j -0.0240438-0j -0.00604219-0j -0.0158946-0j 1.98768e-07-0j -0.0039943-0j 0.000306063-0j 0.000202329-0j 0.00224354-0j 1.1108e-07-0j 0.0018966-0j 1.68031e-07-0j 0.00125378-0j 
0.201409-0j 0.000311887-0j 0.0127176-0j -0.151978-0j -0.000752489-0j 0.0145027-0j 0.0699633-0j -0.00247923-0j -0.0119602-0j -0.0109434-0j 1.588e-05-0j 7.6608e-05-0j 0.000647531-0j 0.0254433-0j 0.00527413-0j -0.0349905-0j -5.41838e-05-0j 0.000155592-0j 0.000750602-0j 0.00634448-0j 0.00252385-0j 0.00960788-0j 0.00300488-0j 0.00806983-0j 1.48781e-05-0j -0.000177802-0j 1.24963e-05-0j -0.00168249-0j -0.000149339-0j -0.0017421-0j -0.00146322-0j -0.000411226-0j 0.000388031-0j 0.000112917-0j 0.000461987-0j 9.48406e-05-0j 
0.000740697-0j -0.493741-0j -0.0715529-0j 6.19738e-05-0j 0.00420692-0j -0.00513154-0j -0.00518472-0j 0.000426678-0j 0.000431099-0j -0.000429354-0j -0.0505399-0j -0.0510637-0j -0.00732424-0j 3.17535e-06-0j 3.14278e-06-0j 4.37233e-05-0j -0.0291455-0j 0.00256007-0j 0.0025866-0j 0.000371004-0j -0.000250456-0j 3.53338e-05-0j -0.00034697-0j 2.55053e-05-0j -0.0235531-0j -0.00591888-0j -0.0170015-0j 2.03684e-07-0j -0.00427248-0j 0.000299817-0j 0.000216419-0j 0.00229903-0j 1.18816e-07-0j 0.0018579-0j 1.64601e-07-0j 0.0013411-0j 
-0.000529179-0j 0.352746-0j 0.0511199-0j -4.42762e-05-0j -0.00300557-0j -0.0108808-0j 0.00370414-0j 0.00090472-0j -0.000307992-0j -0.000910395-0j -0.107164-0j 0.0364817-0j -0.0155302-0j -2.26858e-06-0j 6.66389e-06-0j 9.27101e-05-0j -0.0617996-0j 0.00542832-0j -0.00184795-0j 0.000786672-0j 0.000178935-0j -2.52437e-05-0j 0.000247888-0j -1.82218e-05-0j 0.0168272-0j 0.00422865-0j 0.0121465-0j 4.31888e-07-0j 0.0030524-0j -0.0002142-0j -0.000154617-0j 0.00487483-0j -8.4886e-08-0j -0.00132735-0j -1.17597e-07-0j -0.000958129-0j 
