0.00148474-0j 0.0118779-0j 8.74892e-05-0j 0.000124228-0j 0.00727371-0j 0.00105411-0j 0.00121718-0j 0.00843285-0j 0.0712676-0j 0.0103281-0j 5.67019e-06-0j 0.000855283-0j 0.000864146-0j 0.0640008-0j 7.55971e-05-0j 6.29976e-06-0j 7.12736e-05-0j 7.20122e-05-0j 6.36504e-06-0j 7.63805e-05-0j 0.000740697-0j 0.000748373-0j 0.0051317-0j 0.00518488-0j 0.00649114-0j 0.00655841-0j 0.00342113-0j 0.00345659-0j 2.34778e-07-0j 0.000305522-0j 2.37211e-07-0j 0.000302388-0j 0.0410536-0j 0.041479-0j 
-0.0205712-0j -0.0814241-0j -0.00243702-0j -3.68767e-05-0j 0.00105411-0j -0.000102853-0j -0.00024004-0j 1.7395e-05-0j 0.0103281-0j -0.00100775-0j -2.8131e-06-0j -0.00586303-0j 0.00575516-0j 0.000132019-0j -0.0010474-0j -0.00017548-0j -0.00148642-0j 0.00145907-0j 0.000172251-0j 0.00102813-0j -0.0102624-0j 0.0100736-0j 0.000743685-0j -0.000730002-0j -0.0444973-0j 0.0436786-0j 0.00049579-0j -0.000486668-0j -9.82665e-06-0j -4.30158e-05-0j 9.64585e-06-0j 4.38221e-05-0j 0.00594948-0j -0.00584001-0j 
-0.0690401-0j 0.0118024-0j -0.0251075-0j -0.0177013-0j -7.55971e-05-0j 0.0010474-0j -0.0565984-0j -8.76442e-05-0j -0.000740697-0j 0.0102624-0j -0.00272149-0j -0.000836212-0j 0.000858652-0j -0.000665172-0j 0.00345886-0j 0.0017789-0j 0.0099929-0j -0.0102611-0j -0.00182663-0j -0.00355167-0j 0.0338897-0j -0.0347991-0j 5.24792e-05-0j -5.38874e-05-0j -0.0063464-0j 0.00651671-0j 3.49861e-05-0j -3.59249e-05-0j 0.000166663-0j -3.17535e-06-0j -0.000171135-0j 3.09236e-06-0j 0.000419833-0j -0.000431099-0j 
0.0697555-0j -0.0119247-0j 0.0253677-0j -0.0173756-0j 7.63805e-05-0j 0.00102813-0j -0.055557-0j -8.60315e-05-0j 0.000748373-0j 0.0100736-0j -0.00267141-0j -0.000858652-0j 0.000867198-0j -0.000652933-0j 0.00355167-0j 0.00182663-0j 0.0102611-0j -0.0103632-0j -0.00184481-0j -0.00358702-0j 0.0347991-0j -0.0351455-0j 5.38874e-05-0j -5.44238e-05-0j -0.00651671-0j 0.00658157-0j 3.59249e-05-0j -3.62825e-05-0j 0.000171135-0j -3.20695e-06-0j -0.000172839-0j 3.17535e-06-0j 0.000431099-0j -0.00043539-0j 
-0.0102863-0j 0.000855283-0j 6.29976e-06-0j -0.000860648-0j -0.101308-0j -0.0146816-0j 8.76442e-05-0j -0.0584227-0j 0.0051317-0j 0.000743685-0j 4.08288e-07-0j 0.00583035-0j -0.0059868-0j 0.00460845-0j 0.00103603-0j 4.29446e-05-0j -5.04981e-06-0j 5.18532e-06-0j -4.4097e-05-0j -0.00106383-0j -5.24792e-05-0j 5.38874e-05-0j 0.0349821-0j -0.0359208-0j -0.000459904-0j 0.000472246-0j -0.000242391-0j 0.000248895-0j -1.66343e-08-0j -0.00639396-0j 1.70806e-08-0j 0.00622687-0j -0.00290869-0j 0.00298674-0j 
0.0103929-0j -0.000864146-0j -6.36504e-06-0j -0.000844812-0j 0.102358-0j -0.0144114-0j 8.60315e-05-0j -0.0573478-0j -0.00518488-0j 0.000730002-0j 4.00776e-07-0j 0.0059868-0j -0.00604639-0j 0.00452366-0j 0.00106383-0j 4.4097e-05-0j -5.18532e-06-0j 5.23693e-06-0j -4.45359e-05-0j -0.00107442-0j -5.38874e-05-0j 5.44238e-05-0j 0.0359208-0j -0.0362783-0j -0.000472246-0j 0.000476946-0j -0.000248895-0j 0.000251373-0j -1.70806e-08-0j -0.0064576-0j 1.72507e-08-0j 0.00639396-0j -0.00298674-0j 0.00301647-0j 
0.142517-0j -0.00586303-0j -0.00017548-0j 0.000255481-0j -0.0146816-0j 0.00143254-0j -1.72844e-05-0j -0.000120512-0j 0.000743685-0j -7.25644e-05-0j -2.0256e-07-0j -0.0399675-0j -0.0398717-0j 9.50615e-06-0j -0.0143542-0j -0.00119622-0j 0.000105314-0j 0.000105062-0j -0.00119336-0j -0.0143198-0j 0.000727103-0j 0.00072536-0j 0.0050696-0j 0.00505745-0j 0.00315268-0j 0.00314512-0j -3.51273e-05-0j -3.50431e-05-0j 6.96229e-07-0j 0.000900234-0j 6.9456e-07-0j 0.000902397-0j -0.000421527-0j -0.000420517-0j 
-0.0177013-0j 0.00148642-0j 0.199428-0j 0.000975813-0j -6.32517e-06-0j 1.87761e-06-0j -0.000206552-0j -1.04379e-07-0j -6.19738e-05-0j 1.83968e-05-0j 0.000464792-0j -0.000105314-0j -0.000105062-0j -7.92179e-07-0j 0.00088682-0j -0.0141297-0j -0.0387019-0j -0.0386091-0j -0.0140958-0j 0.000884694-0j 0.00868902-0j 0.0086682-0j 4.39091e-06-0j 4.38038e-06-0j -0.000799278-0j -0.000797362-0j 2.92727e-06-0j 2.92025e-06-0j -0.00267469-0j 2.58116e-07-0j -0.00266828-0j 2.58737e-07-0j 3.51273e-05-0j 3.50431e-05-0j 
-0.115171-0j 0.00473805-0j 0.000141809-0j -0.0145049-0j 0.0118645-0j -0.0813322-0j 0.000981316-0j 0.00684206-0j -0.000600989-0j 0.00411982-0j 1.15003e-05-0j -0.0328252-0j -0.0331653-0j -0.000539709-0j -0.0117891-0j -0.000982455-0j 8.64942e-05-0j 8.73905e-05-0j -0.000992636-0j -0.0119112-0j 0.000597167-0j 0.000603355-0j 0.00416364-0j 0.00420679-0j 0.00258929-0j 0.00261612-0j -2.88499e-05-0j -2.91489e-05-0j 5.7181e-07-0j 0.000748816-0j 5.77736e-07-0j 0.000741135-0j -0.000346199-0j -0.000349786-0j 
-0.083135-0j 0.0034201-0j 0.000102363-0j 0.0204933-0j 0.00856426-0j 0.11491-0j -0.00138646-0j -0.00966682-0j -0.000433816-0j -0.00582071-0j -1.62483e-05-0j -0.0236945-0j -0.0219246-0j 0.00076253-0j -0.0085098-0j -0.000709173-0j 6.24348e-05-0j 5.77711e-05-0j -0.0006562-0j -0.00787414-0j 0.000431058-0j 0.000398859-0j 0.00300548-0j 0.00278098-0j 0.00186905-0j 0.00172943-0j -2.0825e-05-0j -1.92694e-05-0j 4.12754e-07-0j 0.000495019-0j 3.81923e-07-0j 0.00053498-0j -0.000249899-0j -0.000231233-0j 
-8.76442e-05-0j 0.102186-0j -5.16448e-06-0j -1.04379e-07-0j -0.000429367-0j -8.85683e-07-0j 0.000149048-0j 0.00103264-0j -0.00420692-0j -8.67789e-06-0j -4.76422e-09-0j -0.00723999-0j -0.00722264-0j -5.37749e-05-0j 4.39091e-06-0j 3.65909e-07-0j -0.000603333-0j -0.000601887-0j 3.65032e-07-0j 4.38038e-06-0j 4.30219e-05-0j 4.29188e-05-0j 0.000298065-0j 0.00029735-0j 0.000377025-0j 0.000376122-0j -0.0581187-0j -0.0579794-0j 1.36366e-08-0j 1.75215e-05-0j 1.36039e-08-0j 1.75636e-05-0j 0.00238452-0j 0.0023788-0j 
