-0.042006-0j -0.049007-0j -0.0300105-0j -0.0428811-0j -0.0176876-0j -0.00541954-0j -0.00612202-0j -0.00499861-0j -0.00505041-0j -0.00437379-0j -0.00360819-0j -0.00115283-0j -0.0034961-0j -0.000504619-0j -0.00386948-0j -0.000558511-0j -0.00305909-0j -0.00203939-0j -0.00309079-0j -0.000441542-0j -0.000294361-0j -0.000446117-0j -0.00356894-0j -0.00126181-0j -0.00208188-0j -0.000515132-0j -0.00220817-0j -0.000182127-0j -0.000300494-0j -0.000318722-0j -0.0012881-0j -0.000336032-0j -0.000185921-0j -4.8502e-05-0j 
0.00742568-0j 0.00866329-0j 0.00530516-0j 0.00758038-0j 0.00312675-0j -0.0450572-0j -0.0508975-0j -0.0415576-0j -0.0419883-0j -0.0363629-0j -0.0299979-0j -0.00958447-0j -0.0587874-0j -0.00847984-0j -0.0650657-0j -0.00938547-0j -0.051439-0j -0.0342926-0j -0.051972-0j -0.00741986-0j -0.00494658-0j -0.00749676-0j -0.0600121-0j -0.0212175-0j -0.0350071-0j -0.00865651-0j -0.0371306-0j -0.00306054-0j -0.00504963-0j -0.00535594-0j -0.0216595-0j -0.00565042-0j -0.0031243-0j -0.00081505-0j 
-0.000618807-0j -0.000721941-0j -0.000442097-0j -0.000631698-0j -0.000260562-0j 0.011424-0j 0.0129048-0j 0.0105367-0j 0.0106459-0j 0.0092196-0j 0.00760578-0j 0.00243008-0j -5.15024e-05-0j -0.100758-0j -5.70028e-05-0j -0.111519-0j -4.50646e-05-0j -3.00431e-05-0j -4.55316e-05-0j -0.0881636-0j -0.0587757-0j -0.0890772-0j -5.25754e-05-0j -1.85882e-05-0j -3.0669e-05-0j -0.102858-0j -3.25294e-05-0j -0.0363656-0j -0.0600002-0j -0.0636398-0j -1.89755e-05-0j -4.95022e-06-0j -0.0371232-0j -0.00968451-0j 
0.0367321-0j 0.00084819-0j 0.0262427-0j -0.0360131-0j -0.0451762-0j 0.00473912-0j 0.000105957-0j 0.00437104-0j -0.00424151-0j 7.56995e-05-0j -0.00612302-0j -0.00393262-0j 0.00305717-0j 0.000441264-0j 6.69711e-05-0j 9.66645e-06-0j 0.00267502-0j 0.00178335-0j -0.00259576-0j 0.000386106-0j 0.000257404-0j -0.000374665-0j 6.17695e-05-0j 0.00110339-0j -0.00353291-0j 8.91566e-06-0j -0.0018545-0j 0.000159261-0j -0.000509931-0j -0.000267674-0j -0.00328996-0j -0.00143432-0j -0.000474864-0j -0.000207026-0j 
-0.00612202-0j -0.000141365-0j -0.00437379-0j 0.00600218-0j 0.00752936-0j 0.0371469-0j 0.000830531-0j 0.0342618-0j -0.0332465-0j 0.00059336-0j -0.0479944-0j -0.0308253-0j -0.000509528-0j 0.00699112-0j -1.11618e-05-0j 0.000153149-0j -0.000445837-0j -0.000297225-0j 0.000432626-0j 0.00611723-0j 0.00407815-0j -0.00593596-0j -1.02949e-05-0j -0.000183898-0j 0.000588818-0j 0.000141254-0j 0.000309083-0j 0.00252323-0j -0.00807904-0j -0.00424086-0j 0.000548326-0j 0.000239054-0j -0.00752346-0j -0.00328-0j 
-0.00374896-0j -8.6568e-05-0j -0.00267839-0j 0.00367557-0j 0.00461077-0j -0.000483685-0j -1.08142e-05-0j -0.000446117-0j 0.000432898-0j -7.72604e-06-0j 0.000624928-0j 0.000401371-0j 0.0596713-0j -4.50363e-05-0j 0.00130718-0j -9.86577e-07-0j 0.0522124-0j 0.0348083-0j -0.0506652-0j -3.94068e-05-0j -2.62712e-05-0j 3.82391e-05-0j 0.00120565-0j 0.0215365-0j -0.068957-0j -9.09951e-07-0j -0.036197-0j -1.62545e-05-0j 5.20446e-05-0j 2.73193e-05-0j -0.064215-0j -0.0279958-0j 4.84657e-05-0j 2.11295e-05-0j 
0.000765253-0j 1.76706e-05-0j 0.000546723-0j -0.000750272-0j -0.00094117-0j -0.00938547-0j -0.00020984-0j -0.00865651-0j 0.0084-0j -0.000149917-0j 0.0121262-0j 0.00778825-0j -0.00605833-0j 0.0406577-0j -0.000132715-0j 0.000890657-0j -0.00530104-0j -0.00353403-0j 0.00514396-0j 0.0355754-0j 0.023717-0j -0.0345213-0j -0.000122408-0j -0.00218657-0j 0.00700109-0j 0.00082148-0j 0.00367502-0j 0.0146741-0j -0.0469845-0j -0.0246632-0j 0.00651965-0j 0.00284237-0j -0.0437536-0j -0.0190752-0j 
-4.5093e-05-0j -1.04125e-06-0j -3.2216e-05-0j 4.42102e-05-0j 5.5459e-05-0j 0.00111191-0j 2.486e-05-0j 0.00102555-0j -0.000995156-0j 1.77608e-05-0j -0.0014366-0j -0.000922682-0j -3.75303e-06-0j -0.0147882-0j -8.22148e-08-0j -0.000323955-0j -3.2839e-06-0j -2.18927e-06-0j 3.18659e-06-0j -0.0129397-0j -0.00862647-0j 0.0125563-0j -7.58292e-08-0j -1.35454e-06-0j 4.33705e-06-0j -0.000298794-0j 2.27661e-06-0j -0.00533736-0j 0.0170895-0j 0.00897063-0j 4.0388e-06-0j 1.7608e-06-0j 0.0159143-0j 0.00693815-0j 
0.0232169-0j 0.0270863-0j -0.0484885-0j -0.0227916-0j 0.00977597-0j 0.0029954-0j 0.00338366-0j -0.00265679-0j 0.00279138-0j -0.00706679-0j -0.00191777-0j 0.000637175-0j 0.00193231-0j 0.000278905-0j 0.00213867-0j 0.000308691-0j -0.00162592-0j 0.00112718-0j 0.00170829-0j -0.000234682-0j 0.000162694-0j 0.000246571-0j -0.00189691-0j -0.00340679-0j 0.00115066-0j -0.000273796-0j -0.00356777-0j -0.000491728-0j 0.000166084-0j -0.000514963-0j -0.000684632-0j 0.000185726-0j -9.8818e-05-0j 2.68073e-05-0j 
-0.0234575-0j 0.0262837-0j -0.0167588-0j 0.0239274-0j -0.0463049-0j -0.00302644-0j 0.0032834-0j -0.00279138-0j 0.0028181-0j 0.00234577-0j -0.00178038-0j -0.00670435-0j -0.00195233-0j -0.000281795-0j 0.0020753-0j 0.000299544-0j -0.00170829-0j -0.00113886-0j 0.00172464-0j -0.000246571-0j -0.00016438-0j 0.000248931-0j 0.00191411-0j -0.000704634-0j -0.00102726-0j 0.000276278-0j 0.00123214-0j -0.000101705-0j -0.000148272-0j 0.000177845-0j -0.00337216-0j -0.00338929-0j -0.000486729-0j -0.000489202-0j 
-0.0037466-0j -0.00437104-0j 0.00782479-0j 0.00367797-0j -0.00157759-0j 0.0227335-0j 0.0256802-0j -0.0201636-0j 0.0211851-0j -0.0536331-0j -0.0145549-0j 0.00483582-0j -0.000311825-0j 0.00427848-0j -0.000345127-0j 0.00473541-0j 0.000262382-0j -0.000181898-0j -0.000275674-0j -0.00360009-0j 0.00249578-0j 0.00378247-0j 0.000306113-0j 0.000549769-0j -0.000185687-0j -0.00420011-0j 0.000575746-0j -0.00754325-0j 0.00254778-0j -0.00789969-0j 0.000110482-0j -2.99714e-05-0j -0.0015159-0j 0.000411231-0j 
