0.381042-0j 0.415838-0j 0.322107-0j 0.325445-0j 0.294042-0j 0.363858-0j 0.242572-0j 0.212251-0j 0.210074-0j 0.300168-0j 0.150084-0j 0.123813-0j 0.151639-0j 0.0685179-0j 0.0151068-0j 
-0.00583493-0j 0.0185991-0j -0.00493244-0j -0.023363-0j -0.00450268-0j 0.0162742-0j 0.0108495-0j -0.00397693-0j -0.00321687-0j -0.0215484-0j 0.00671278-0j 0.0260911-0j -0.00284126-0j 0.0194724-0j -0.0462707-0j 
-1.70114e-05-0j -1.85649e-05-0j -1.43803e-05-0j -1.45293e-05-0j 3.84399e-05-0j 4.75669e-05-0j -1.08295e-05-0j 2.77474e-05-0j -9.37863e-06-0j -1.34008e-05-0j -6.70042e-06-0j -5.52756e-06-0j -6.76985e-06-0j -3.05895e-06-0j -6.74434e-07-0j 
0.00165002-0j 3.56402e-05-0j 0.00139481-0j -0.00135348-0j -0.00247567-0j 3.11852e-05-0j -0.000101636-0j -0.00178364-0j -0.00176871-0j 0.00242721-0j 1.28632e-05-0j 0.00304478-0j -0.00127429-0j -0.00115745-0j -0.000383436-0j 
0.00165002-0j 0.0018007-0j -0.00407745-0j 0.00140927-0j 0.00127329-0j -0.00460597-0j 0.00105041-0j 0.000919106-0j 0.0007728-0j -0.00379973-0j 0.00800585-0j 0.000536145-0j 0.000557837-0j -0.000867347-0j 6.54166e-05-0j 
0.00101043-0j 0.0011027-0j -0.00249692-0j 0.000862997-0j 0.000779725-0j -0.00282057-0j 0.00064324-0j 0.000562835-0j 0.000473241-0j -0.00232685-0j 0.00490256-0j 0.00032832-0j 0.000341604-0j -0.000531139-0j 4.00593e-05-0j 
-0.000336809-0j -7.27504e-06-0j -0.000284715-0j 0.000276278-0j 0.000505345-0j -6.36566e-06-0j 2.07463e-05-0j 0.000364083-0j 0.000361036-0j -0.000495452-0j -2.6257e-06-0j -0.000621514-0j 0.000260114-0j 0.000236263-0j 7.82686e-05-0j 
-0.00235767-0j 0.00247111-0j 0.00191657-0j 0.00201208-0j -0.00181936-0j -0.00207929-0j 0.00144148-0j -0.00116041-0j 0.00379973-0j -0.00178463-0j -0.00435674-0j -0.0035914-0j 0.00242352-0j 0.00424569-0j -0.00258272-0j 
-0.000206253-0j -0.000225087-0j 0.000509681-0j -0.000176159-0j -0.000159161-0j 0.000575746-0j -0.000131301-0j -0.000114888-0j -9.66e-05-0j 0.000474967-0j -0.00100073-0j -6.70181e-05-0j -6.97296e-05-0j 0.000108418-0j -8.17708e-06-0j 
-0.00144377-0j 0.00151324-0j 0.00117365-0j 0.00123214-0j -0.00111412-0j -0.0012733-0j 0.000882723-0j -0.000710603-0j 0.00232685-0j -0.00109286-0j -0.00266795-0j -0.00219928-0j 0.0014841-0j 0.00259995-0j -0.00158158-0j 
0.000972488-0j -0.00309985-0j 0.000822073-0j 0.00389383-0j 0.000750447-0j -0.00271237-0j -0.00180825-0j 0.000662822-0j 0.000536145-0j 0.0035914-0j -0.0011188-0j -0.00434852-0j 0.000473543-0j -0.0032454-0j 0.00771178-0j 
1.98467e-05-0j 4.28686e-07-0j 1.6777e-05-0j -1.62799e-05-0j -2.97777e-05-0j 3.751e-07-0j -1.22249e-06-0j -2.14538e-05-0j -2.12742e-05-0j 2.91948e-05-0j 1.54721e-07-0j 3.6623e-05-0j -1.53274e-05-0j -1.39219e-05-0j -4.61202e-06-0j 
0.000595525-0j -0.00189826-0j 0.000503415-0j 0.00238448-0j 0.000459553-0j -0.00166098-0j -0.00110732-0j 0.000405894-0j 0.00032832-0j 0.00219928-0j -0.00068512-0j -0.00266292-0j 0.000289984-0j -0.0019874-0j 0.00472248-0j 
0.000294708-0j -0.000308889-0j -0.000239571-0j -0.00025151-0j 0.00022742-0j 0.000259912-0j -0.000180185-0j 0.000145051-0j -0.000474967-0j 0.000223079-0j 0.000544592-0j 0.000448926-0j -0.00030294-0j -0.000530712-0j 0.00032284-0j 
1.21536e-05-0j 1.32634e-05-0j -3.00333e-05-0j 1.03802e-05-0j 9.37863e-06-0j -3.39262e-05-0j 7.73698e-06-0j 6.76985e-06-0j 5.69221e-06-0j -2.79877e-05-0j 5.89687e-05-0j 3.94908e-06-0j 4.10885e-06-0j -6.38861e-06-0j 4.81839e-07-0j 
-1.73658e-05-0j 1.82014e-05-0j 1.41169e-05-0j 1.48204e-05-0j -1.34008e-05-0j -1.53154e-05-0j 1.06175e-05-0j -8.54723e-06-0j 2.79877e-05-0j -1.3145e-05-0j -3.20904e-05-0j -2.64532e-05-0j 1.78509e-05-0j 3.12725e-05-0j -1.90235e-05-0j 
-0.000121561-0j 0.000387482-0j -0.000102759-0j -0.000486729-0j -9.38058e-05-0j 0.000339046-0j 0.000226031-0j -8.28527e-05-0j -6.70181e-05-0j -0.000448926-0j 0.00013985-0j 0.000543565-0j -5.91928e-05-0j 0.000405675-0j -0.000963973-0j 
7.16305e-06-0j -2.28326e-05-0j 6.05514e-06-0j 2.86808e-05-0j 5.52756e-06-0j -1.99785e-05-0j -1.3319e-05-0j 4.88214e-06-0j 3.94908e-06-0j 2.64532e-05-0j -8.24071e-06-0j -3.20299e-05-0j 3.48797e-06-0j -2.39047e-05-0j 5.68027e-05-0j 
