-0.00185308+0.00964007j 0.0116632-0.00125084j -0.00871648+0.0120184j 0.0078795+0.0145571j 0.0138193-0.0032261j -0.00450271-0.0209468j -0.011966+0.0155356j 0.00233243-0.0111473j 0.0254402+0.0140772j 0.00321152+0.0129666j -0.00950344-0.0264894j -0.00103924-0.0224637j 0.0161342+0.0215668j 0.00595958-0.00962492j -0.00567966-0.00556507j -0.0181596-0.00722906j -0.00890171+0.00542431j 0.0059343+0.011619j -0.00158697+0.0066226j -0.0319843+0.00794652j -0.00711279+0.0129675j 0.0179289+0.0233912j 0.00703919+0.0163674j -0.0122174+0.0186118j 0.0220974+0.00153902j 0.00491106+0.00693217j 0.00869752-0.000273339j 0.00232858+0.00232742j -0.0059973-0.00853108j 0.000987005-0.000756512j -0.0101242+0.00996935j -0.00138346+0.00439128j 0.00223854-0.000718425j -0.00141733+0.0039376j 0.00784663+0.00932276j 0.00454425+0.00687164j 0.000284953+0.00569437j 0.000687689-0.00884347j -0.00122505-0.00400472j -0.00336903-0.00916541j -0.00250015+0.00472928j 0.00294378-0.00273167j 0.0130897-0.000831236j -0.0105304-0.00627377j -0.00254334-0.00157226j 0.0117004-9.93889e-05j 0.000488784+0.00423358j -0.00321556+0.0103783j -0.000575832-0.00082418j 0.0084934-0.0088829j -0.00868755-0.00359336j 0.00404345+0.00954997j -0.00521604+0.00971489j 0.00510204+0.00659253j 0.00384746-0.003254j 0.00315588-0.00824769j -0.000674991-0.000874814j -0.00629721-0.000223172j 0.000110813-0.00896478j 0.00884684-0.00570569j 0.0141436-0.00172138j 0.000809343+0.00297493j 0.0103701+0.000626382j 0.00462502+0.000885434j -0.00619687-0.00577258j 0.00935463+0.00786585j -0.00373781-0.00595917j 0.00534073+0.0136287j -0.0022511-0.00529367j 0.0018493+0.00260823j 0.00728203-0.00792348j 0.00191458+0.000228631j -0.00311772-0.0012531j -0.000240544+0.00499884j -0.00479702+0.000714759j 0.00791504-0.000669059j -0.00011247-0.00263867j 0.00545369-0.00341586j 0.000362112-0.00207153j -0.00947161+0.00235308j 3.69692e-05-0.00304034j 0.00413524+0.00705522j 0.000299678+0.000281466j -0.00588171+0.00300338j -0.00258392-0.00141973j -0.000227747+0.000813813j 0.00466608+0.00332286j -0.00142246+0.000896403j -0.00140255-0.00313856j 0.00306475+0.0115847j 0.00931318-0.00214851j 0.00364976+0.00760698j 0.010479+0.0029489j -0.0382352+0.00125162j -0.005711-0.0375179j 
-0.00944373+0.00449674j 0.00486175+0.00965679j -0.018514-0.0101193j -0.016159+0.0141906j 0.00538577+0.0111112j 0.0205761-0.00906475j -0.0165715-0.0125598j 0.0099987-0.00200688j -0.0096829+0.0251203j -0.0123876+0.00521175j 0.0225524-0.0130321j 0.0209184-0.00618948j -0.0199419+0.0182985j 0.00852196+0.00316486j 0.00638716-0.00576738j 0.00679479-0.0214511j -0.00305318-0.00944633j -0.00662269+0.000494569j -0.00620875+0.000777174j -0.015588-0.0350524j -0.0158383-0.00623522j -0.0244763+0.0188426j -0.0203614+0.0122674j -0.0245697-0.0124579j 0.00175546+0.0259425j -0.00440908+0.00583523j -0.00022002+0.0145431j 0.00285885+0.00132281j 0.00484493-0.00792102j 0.00220588+0.00361865j -0.0125274-0.00601933j -0.00339639-0.000362348j 0.00464706+0.00773312j -0.0054884-0.00233841j -0.01201+0.0103283j -0.00599803-0.000678742j -0.00862302+0.0037921j 0.00570853-0.00275204j 0.00820667-0.00260683j 0.00626996-0.00420252j -0.00403401+0.00206088j 0.00742013-0.000387791j 0.00199693+0.00972162j 0.00711557-0.00993631j 0.00162579-0.00544723j 0.00603717+0.0170596j -0.00179492-0.00199739j -0.0102738-0.00457992j -0.00220972-0.000209209j 0.0075264+0.00294002j 0.00204853-0.00421749j -0.0101013+0.0034717j -0.00794834-0.00677794j -0.00518823+0.00224709j 0.00417986+0.00855828j 0.0122365+0.00157753j 0.00134244-0.00519671j 0.00163185-0.00718129j 0.0115068+0.000501213j 0.00973192+0.00926599j 0.00473352+0.011117j 0.00150534-0.0038485j -0.00234657+0.00742184j 0.00102792+0.00524607j 0.00520402+0.000666332j -0.00724998+0.00911569j 0.00595224-0.00634659j -0.00812878+0.0122959j 0.00268299-0.00558314j 0.000890847+0.00223612j 0.00329719+0.0024099j -0.00300607+0.00347055j -0.00178343-0.00691837j 0.000312+6.72703e-05j 0.00225843-0.000440369j -0.00227222+0.00601855j 0.00600593-0.00353182j -0.000334574+0.00093033j 0.00152628+0.00223375j -0.00153181-0.00301394j 0.00705839-0.000785031j -0.00251747+0.00734252j 0.000862303-0.00208586j -0.00820443+0.00110756j 0.00078762-0.0078054j 0.00972087-0.00382515j -0.0055172+0.000992834j 1.15052e-05-0.00486681j -0.00207074+0.00199108j -0.0141046+0.0104236j 0.00782639+0.0118232j 0.00250597+0.007477j 0.00522801+0.00123247j -0.00809188-0.0335579j 0.0362374-0.00537229j 
0.00157114+0.0097553j 0.0146263-0.00333519j -0.0184219+0.00715612j -0.000172974+0.00322124j 0.0133726+0.00696626j 0.0131962-0.00665144j -0.011913+0.0136032j 0.0185326-0.000265965j 0.00401856+0.0126042j -0.0114576+0.00013922j 0.020076-0.0126267j 0.0312939-0.000328595j -0.00953617+0.0106774j 0.0161638-4.8946e-05j 0.00275414-0.00293676j -0.00357024-0.0014504j -0.0107034+0.00322291j -0.0167756+0.00631218j -0.00725047+0.00494329j 0.00743749+0.00138988j 0.00822907+0.00522519j -0.0246502+0.0160615j 0.0035624+0.0211894j -0.0337259+0.00821746j 0.00549046+0.0100182j -0.00689024+0.00562197j -0.00248819-0.00101943j -0.00497273-0.00226847j 0.00233355-0.00411075j -0.00314083-0.00307259j -0.0123088-0.00355537j -0.00533867-0.000762624j 0.00132314+0.0017773j -0.00649719-0.000133587j -0.0123192+0.00901683j -0.0160595+0.00656877j 0.00392203+0.00263406j -0.00376336-0.00141657j 0.000769291+0.00273025j 0.00101587-0.00389966j 0.00776375-0.00195001j 0.00671243-0.00176774j -0.00470881+0.00202956j 0.00606931-0.00433994j -0.00396288-0.00366962j -0.0127097-0.000435356j -0.00422718-0.00189505j 0.00396499-0.00476564j -0.000837381+0.00340207j -0.00113362+0.00482506j -0.000863128-0.00420769j 0.00295686+0.0110076j -0.00312563-0.00593421j -0.00676604+0.00551331j 0.0046657-0.00585747j -0.00362831-0.00244588j -0.0108843+0.0029879j 0.00983847+0.000980494j -0.000656596+0.00168185j 0.000540699-0.0024537j -0.000295107-0.00425621j -0.00588853+0.00735556j -0.00100557+0.000915556j -0.00194149-0.00087731j 0.003013+0.00133566j -0.0062111+0.00280477j 0.00342405-0.00284015j -0.00955688+0.00295071j 0.0067222+0.00152292j -0.00180032+0.0027659j 0.00593002-0.000623454j -0.000403106+0.00433191j -0.00558215+0.00415721j -0.00374049+0.00211153j 0.00612623-0.00259684j 0.0002718+0.00364005j 0.00442323+0.000754678j 0.00227129+0.001404j -0.00351399-0.00461433j -0.00484598-0.00198904j -0.00626524+0.000543468j -0.00393753+0.00520068j -0.00640403-0.00324819j 0.0104201-0.00161195j 0.00745846-0.00112363j -0.00137171-0.000571144j 0.0070065-0.00182928j 0.00295812-0.0027032j 0.010883-0.00693345j -0.015722+0.0115881j 0.00760021+0.0107024j 0.0195047-0.0178352j -0.0317342-0.0123305j -0.00433577+0.00392902j -0.00113816+0.00258527j 
0.00385555+0.000177124j -0.00245646+0.000994249j 0.00275204+0.000403226j 0.0112865-0.00426665j -0.00347918+0.0128381j -0.00114972+0.0069772j -0.0124745+0.00698854j -0.0102984+0.014456j 0.0128934-0.0069043j 0.0172567-0.0184117j 0.00516115+0.00342892j -3.26463e-05+0.0221507j 0.010058-0.0122715j 0.0056911+0.00412019j 0.0145242+0.00490289j -0.0157119+0.0119887j 0.00122869+0.00564756j 0.0165335-0.0137427j 0.0210939+0.00288043j -0.00340473+0.0326726j 0.00672488+0.00171517j 0.0106495-0.0157286j 0.00443905+0.00632884j -0.00358113+0.00490011j 0.0168539-0.000601764j 0.00459647+1.93234e-05j 0.00672256-0.00104507j 0.00734044+0.00494888j -0.000658063+0.000661488j 0.000617954+0.00643022j -0.00189562-0.00952569j -0.00182277+0.00302635j 0.00170897-0.0129099j -0.000329218+0.00875359j 0.00557439-0.00218497j 0.000347727-0.00917962j -0.00347123+0.00133262j 0.00740666-0.00476235j -0.00387033+0.0101013j 0.00107516-0.0030747j -0.00144422+0.0156214j 0.00782991+0.0125984j 0.000863649-0.00561753j 0.00330053+0.010645j -0.00181367-0.00782128j -0.00154158+0.000757215j 0.00639049-0.006045j 0.00287974+0.00457521j 0.00161481+0.00749385j -0.00531273+0.000745915j -0.00273581+0.000688872j 0.000374966+0.013377j -0.000405829-0.00325187j 0.00168926-0.00555544j 0.00511341-0.00327795j 0.00282353-0.00166894j -0.0011097-0.00245408j -0.00735251+0.011543j 0.00146949+0.0026579j 0.00404658+0.00540184j 0.00504394-0.00186049j 0.00067418-0.00492391j 0.000211073+0.00582848j 0.00347244-0.00463609j 0.000780909-0.00730956j -0.000188705+0.00182388j 0.000497372+0.000460228j 0.000679116-0.000626625j 0.00186467+0.00184101j 0.000850558-0.00125412j 0.000539748+0.000647103j -0.00126701-0.00268745j -0.00028259+0.000225499j -0.00164573+0.00189745j 0.000849201+0.00253856j -0.00152367-0.00125974j -0.00336727-0.00237498j -0.00185174-0.00160373j -0.00435227-8.14294e-05j -0.00292675+0.00731319j 0.0107138-0.00615291j 0.000485251+0.00437549j 0.00660986-0.00156215j -0.00632281+0.00678801j -0.00122753+0.0136171j -0.00457807+0.0017809j 0.00223655-0.00162126j 0.00544803+0.000341403j -0.00799077+0.00435305j 0.00854555+0.0066047j 0.0138842-0.00888026j 0.00967459+0.00683082j 0.0101473-0.0166577j -0.00140821-0.00483703j 0.00236128+0.00293771j 
0.00956661-0.00121618j 0.00495787-0.0114312j -0.00214469+0.0204511j 0.00185891+0.00345083j 0.0197388-0.00928385j -0.0031162-0.0163727j 0.00418114+0.0137108j 0.00527636-0.0152119j 0.00943481+0.00323137j -0.00898095+0.0145483j -0.000415573-0.0228033j 0.0141502-0.026173j 0.003018+0.0172322j 0.00188071-0.0124272j -0.00418578-0.00572811j -0.00454044-0.00123073j -0.00426541+0.00434173j -0.00294565+0.0146687j 0.0059177+0.00559419j 0.00174002-0.00468775j 0.0102489-0.0136185j 0.00843753+0.0302678j 0.0231689+0.00374133j -0.00469521+0.0352545j 0.0210088+0.000846872j 0.00415075+0.0111808j 0.0044042+0.0019916j -0.00749981+0.00227492j -0.0009368-0.0025558j -0.00126899+0.00510054j -0.0029819+0.0113877j -0.00407257+0.00199518j 0.0131467-0.00732614j -0.00281777+0.00602983j -0.00142554+0.0157025j 0.00111352+0.0164911j 0.00431456-0.00092291j 0.000453333+0.00414641j -0.00196245-0.00148576j 0.000826226+0.00655794j -0.00491198-0.0101424j -0.00573818-0.0079327j -0.00253748+0.0062808j 0.000105394-0.0103234j -0.00322675+0.00492931j -0.00512105+0.00706088j -0.00806034+0.00269966j 0.000655411-0.00636437j 0.00582937+0.00152748j 0.00115235+0.00664779j 0.000444551+0.00388073j 0.0119998-0.00175276j -0.00801092+0.00488274j 1.53305e-05+0.00686853j -0.00234668-0.00631296j -0.00247428-0.00118091j 0.00254901+0.00661866j 0.00385141-0.00965395j 0.00522208-0.0034379j 0.00338648-0.00198j -0.00690232-0.000189131j 0.00122834+0.00166682j 0.0056273+0.00379917j 0.000182024+0.00295463j 0.00573826-0.00561704j 0.000852513+0.00690134j -0.00152906-0.00224626j 0.000168381+0.0054935j -0.00434334-0.00446931j -0.00108516+0.00227856j -0.000782961-0.00048593j 0.00290113+0.00498652j 0.00469885+0.00701252j 0.000920087-0.00123068j -0.0026174-0.000661552j 0.00443299-0.000377751j 0.00162814-0.0147407j 0.00044947-0.00275121j -0.000394692+0.00010506j -0.0014722+0.00438912j 0.0124393+0.0027674j -0.00871988-0.00310721j -9.83732e-05-0.00428349j -0.00688807+0.00262279j 0.00392261-0.00760101j 0.00812799-0.00140357j 0.000478765+0.000598424j 0.00714507-0.00460692j -0.0151072+0.00687849j 0.00418925+0.0116862j 0.0116405-0.00287616j -0.0131592-0.0178775j -0.01374+0.0172727j 0.00934716-0.00664677j -0.0058941+0.00353163j 
0.00363236-0.0019188j -0.00032608+0.000517543j 0.00127431-0.00554049j 0.0153064-0.00382228j 0.00269869+0.00771435j 0.00410301+0.00496131j -0.000875503-0.00220395j -0.00139501+0.00682642j 0.0102226+0.00199727j -0.011683-0.00887555j -0.0173858+0.00516405j -0.00737805+0.0148466j -0.00113798-0.00477283j -0.00587829+0.0062626j -0.0229155+0.0074389j 0.00714213+0.00390683j -0.00353536+0.00419579j -0.00587233-0.0172396j -0.0135154-0.00469332j -0.0232112+0.0336116j 0.0141266+0.0207546j 0.00840122-0.0120063j -0.00149411+0.0122213j -0.00725345-0.00410662j 0.0103105-0.00821693j 0.00135345-0.00796594j 0.00779414-0.0124359j 0.00150987-0.00944456j -0.00415618-0.000153315j -0.00845453-0.0121969j -0.00193573-0.00249273j -0.00532237-0.00279513j 0.00582466+0.0103874j -0.00203355-0.00899667j 0.00352401-0.0101251j 0.00075966+0.0111183j -0.0025563+0.00939547j 0.00637224-0.00585514j -0.00265865+0.00526928j 0.00201616+0.00415964j -0.00248199-0.00319298j 0.00786926+0.00112146j 0.000988788-0.0119859j 0.0032554-0.0144758j -0.00405803+0.00667133j -0.000733888-0.00101282j 0.00569075+0.00679451j 0.003486-0.00433427j 0.00319591-0.00149225j -0.00369531-0.0038172j -0.00212647-0.00123114j 0.00478868-0.00755814j -0.000276473-0.00327793j 0.00058737-0.00585336j 0.00334956+0.00207581j 0.00113383-4.97142e-05j -0.00197087-0.00348214j -0.00317958+0.00742832j 0.00189315+0.000486698j 0.00476695+0.00107305j 0.0028699-0.000568331j -0.00129366-0.0027379j 0.00127599+0.00271196j 0.00273858-0.00499799j -0.000548012-0.00497731j 0.0001083+0.000301403j 0.000948832+0.000199872j 0.00065927-0.00236397j 0.00129485+0.00349143j 0.00212679-0.00334993j 0.000414978-0.000316387j -0.000396328-0.00344374j 0.00179877-0.00177175j -0.00101848+0.00237491j -0.00024087+0.00364932j -0.00250514-0.000975049j -0.00311398-0.00027812j 0.000560985-0.00299958j -0.00279694-0.00249344j -0.00272775+0.00591672j 0.00667812-0.00516087j -0.000836117+0.00469885j 0.00238198-0.000799496j -0.0041902+0.00685133j -0.00201738+0.0105134j 0.000422886+0.000378738j 0.00211143-0.00217094j 0.00621411-2.18366e-05j -0.00755207+0.00567296j 0.0081177+0.00559017j 0.0117156-0.00840352j 0.00873381+0.00593059j 0.00625758-0.0162386j -0.00145379-0.00469897j 0.00150881+0.00229317j 
0.00316501+0.000471878j 0.00759776-0.00638762j -0.00602351+0.00989691j -0.00752189+0.0134351j 0.000472739-0.0155844j -0.00386756-0.00569011j 0.00524527-0.00224185j 0.00226197-0.0207083j -0.00427719+0.020056j 0.00675948+0.0239051j 0.00145885-0.020227j 0.0057044-0.0226606j -0.00544785+0.0210414j 0.000901995-0.00185118j -0.00161547-0.00356043j -0.000157943-0.0137307j -0.000554459-2.51452e-05j 0.000102901+0.0186906j -0.00813431+0.00122789j -0.00979597-0.0557013j -0.0272411-0.0156568j -0.00738539+0.0229977j -0.00605159-0.0196373j 0.00603436+0.00229194j -0.00985797+0.0120152j 0.00361895+0.00601623j -0.00755021+0.00503576j -0.000992241+0.00224513j -0.00105345+0.000864503j 0.00407238-0.00376526j 0.0108516+0.00248764j 0.00686125-0.000451849j -0.00231279+0.00135022j -0.00829675+0.00332312j -0.00434041+0.0171013j -0.00197008+0.00311267j -0.00243353-0.00574903j -0.00881965+0.000309867j -0.00505064+0.000204559j -0.00623741-0.00139103j 0.000365414-0.00414777j -0.0030413-0.00209499j 0.00077026+0.00502103j -0.00629459+0.00153708j 0.00457969-0.00450389j -0.0063781+0.000232891j -0.00155534+0.00729437j 0.000387284-0.00462647j -0.00598974-0.00917143j 0.00783089-0.00320786j 0.00284212+0.00242981j -0.00521649-0.00527945j 0.00115408+0.00101557j 0.000320821+0.00647735j -0.00493206+0.00206917j 0.000493945-0.000222537j 0.000542614+0.00469115j 0.00262514-0.00680811j 0.00174469+0.000772559j -0.00851154-0.00536524j -0.0011904+0.00554722j 0.00405034+0.00865532j -0.00575702-0.00633163j 0.00117605-9.93534e-05j 0.000659548+0.000953279j 0.00147067+0.00163461j 0.000669016-0.00845679j 0.0041288+0.0016858j 0.00310167+0.00294946j 0.00370537+0.00673424j -0.00268651+0.00337559j 1.97859e-05+0.00582432j -0.00127059+0.000474314j 0.00048663+0.00326009j 0.00359699-0.00396872j -0.010195+0.00252377j 0.00476064-0.00663458j -0.00213729-0.00588773j -0.00298991-0.00683706j -0.000665359+0.000498574j 0.00753408+0.0052478j -0.0105208-0.00110929j -0.00482009-0.00555937j -0.00110176+0.000572453j -0.00611931-0.0176171j 0.0118071-0.0118618j 0.00527618+0.00235022j 0.00385738+0.00188099j 0.00105474+0.0127575j -0.0143146-0.0044986j -0.00859721+0.0188567j -0.00523417-0.00279802j -0.00473199+0.0183408j -0.00820397+0.00280096j -0.00521913-0.00688153j 
-0.000973081-0.00630086j -0.000667559+0.00156289j -0.00569815-0.00459171j 0.000373121-0.00789106j 0.002814+0.00908306j -0.00437698-0.00577618j -0.00877609-0.00457509j 0.000561186+0.00309082j 0.0033595-0.0175162j 0.00193738+0.00535935j 0.00709279+0.0182897j 0.0037158-0.0100681j 0.00177556+0.001088j 0.00287355+0.00240238j 0.000375837-0.00776271j -0.00750514-0.0238049j -0.00188777-0.0266537j -0.00169743-0.00530617j -0.000961894-0.0122489j -0.0160331+0.00921641j -0.0157152+0.0285235j -0.00758634+0.00546696j 0.000223366+0.00506364j -0.00933388-0.00458952j 0.00695665+8.53622e-06j 0.00152832-0.00200889j 0.000834557-0.00537772j -0.00162953+0.000894966j 0.000166406+0.00100498j 0.00283875+0.00598926j -0.00610863+0.000629592j -0.00106246+0.00477297j 0.0047506-0.00684019j -0.00528668-0.00129306j 0.00287849-0.00324225j -0.00486219-0.00263575j -0.00167448+0.00673281j 0.00358305-0.00348663j -0.00469622+0.00337064j 0.0015809-0.00365815j -0.00173331+0.0115611j -0.00170342-0.00333586j 0.00365117-0.00117755j -0.00113308+0.000401409j -0.00583538+0.000891986j 0.00122881-0.00539726j 0.00503447-0.00786434j -0.00155929+0.0104954j -0.00495045+0.00291616j -0.00223845-0.00665295j -0.00422896-0.00860147j 0.00376821+0.00743275j -0.00619607+0.00177707j 0.00177309-0.00212334j 0.00947746-0.00261988j -0.00734784-0.00371821j -0.00248913-0.0083768j 0.000298282+0.00346665j 0.00462487-0.0038254j 0.0031975-0.00600213j -0.000884579-0.00164015j 0.00671687-0.00492043j 0.00636951-0.00391464j -0.0014257-0.00141235j -0.00430498+0.00280354j 0.00176202-0.00227843j -0.00336394+0.000252019j -0.00803-0.00514354j -0.00396845-0.000521237j -0.00392921+0.00130734j -0.00410262-0.00238557j 0.00357148-0.00244994j 0.00557791+0.00280082j 0.00488215+0.00512434j 0.00835004-0.001425j 0.00366366+0.00129873j 8.94361e-05+0.00409297j -0.00375282+0.000120634j 0.00523915-0.00704318j -0.00163646+0.00058252j -0.00617857-0.00126785j -0.00314138-0.00809644j -0.0057943+0.00305756j 0.00049127+0.00419675j -0.00469703+0.0045016j 0.0087418+0.00158138j -0.00502007-0.000606651j 0.00688072-0.00688303j -0.00602588+0.0110834j 0.00608462+0.00470267j 0.00185316-0.00508609j -0.00197803+0.00026941j -0.00183974-0.00427622j 0.00227872+0.00179602j -0.00352722+0.00479234j 
-0.000365529-0.00531947j -0.00574962-0.00036321j 0.00475292+0.00781346j -0.00425527+0.00854467j -0.00434148-0.00418257j -0.00258924-0.0100087j -0.000782499-0.0087499j -0.011229-0.00805624j -0.0034217-0.00605632j 0.0079695+0.00242772j -0.00429005-0.00503352j -0.0135378-0.0226337j -0.00819466-0.00200471j -0.000958336-0.01603j 0.000530757+0.00773663j 0.0124201-0.00362275j 0.0150949+0.00976393j 0.0138545+0.00768042j 0.00284406-0.00591868j 0.00614665+0.00889461j 0.0107105+0.0121524j 0.0127168-0.00273321j 0.00506879-0.00953952j 0.0175688+0.0156485j -0.00289201-0.00576998j -0.000345266+0.0006229j -0.000190394-0.00769604j 0.00170156+0.000548117j -0.00319022-0.00168876j -0.005784-0.00428584j 0.00184707+0.00290256j 0.00325641+0.00472971j -0.000461943+0.0031486j 0.000702303+0.00866633j 0.00379487+0.00842779j 0.00147845+0.00971101j 0.0055418+0.00107374j 0.00716927-0.0074317j -0.00192702+0.00490647j -0.00527991-0.00612111j 0.00313812+0.00288493j 0.00547603+0.00251021j -0.00210143+0.000234056j -0.00136956-0.00287671j 0.000323932-0.00126357j -0.00926512+0.00332772j -0.00221616+0.00056598j 0.00208968+0.0135578j 0.00636386-0.0010936j -0.00873127-0.00282077j -0.00839708-0.000166943j 0.000571841+0.00660185j -0.00347126+0.000648677j -0.000325522+0.00551773j 0.00755772+0.00416849j 0.00199161+7.07277e-05j 0.000444595+0.00337238j -0.00459706-0.0052739j -0.0029912-0.00153752j -0.00116364+0.00425278j 0.00284334+0.00942016j -0.00210817-0.000860518j -0.000704874+0.00319883j -0.00463372+0.00207217j -0.00274272-0.00841709j -0.000234483+0.00418343j 0.0035339-0.00728874j -0.000146384-0.00288975j 0.000975874-0.00440627j -0.00351876-0.0040641j -9.13396e-05-6.20924e-05j -0.00117997-0.00229547j 0.00150197+0.00234833j -0.000300429+0.00212443j 0.00141929-0.00360265j -0.00430326-0.00571973j 0.000360052+0.00665825j -0.000784149-4.82645e-05j 0.00665313+0.0101699j -9.33406e-05-0.00351377j -0.00262519+0.00554549j 0.0112837+0.000280372j 0.00222288+0.010575j -0.00210868+0.00337719j -0.000660869-0.00754691j 0.00446368-0.00737322j -0.000502416-0.0019548j 0.00843463-0.00260333j 0.0205688-0.0072518j 0.00580489-0.00110227j -0.0118038-0.00605502j 0.0111874+0.00108261j -0.00125835+0.00168628j 0.00489323-0.0107705j -0.00235106+0.00486583j 
-0.000269916-0.00335497j -0.000430113+0.00199919j -0.00100209-0.00415252j -0.0030995-0.00596045j -0.00487741+0.00157208j 0.00273004+0.00105022j 0.00654187-0.0086068j 0.00422894+0.00372317j 0.00700698-0.00122384j 0.00836504+0.010259j -0.00353641+0.00555197j 0.00804141+0.00759493j 0.00654605-0.0241926j 0.010673+0.00836856j -0.0180544-0.000508903j 0.00789569+0.0133371j -0.0115471+0.0132684j 0.0122693+0.0157357j 0.00565268-0.0113442j 0.0110176+0.003347j -0.00521696+0.0103664j -0.000765427-0.00559554j 0.000438018-0.0113086j 0.00478287-0.00499402j -0.00371521+0.00181311j -0.00102733+0.0058084j -0.00602275-0.0128292j 0.000705339+0.00678136j 0.00234095-0.0052748j -0.00860486+0.00414091j -0.00698483+0.00566293j -0.00227694-0.000510141j 0.00449469+0.00165624j 0.0056967-0.00958237j -0.00607559+0.00338764j 0.00613373-0.00499554j -0.00383009-0.0094295j -0.0126282-0.000421187j 0.00512053+0.013519j -0.00538048+0.00323603j -0.00674929-0.00211167j -0.0134685+0.000609473j -0.00785117-0.00161194j 0.00929936+0.000186519j 0.00537529-0.000601322j -0.00531132-0.00167557j -0.00964265-0.000215437j 0.00163328+0.00583511j -0.00555051-0.00365231j -0.0012902+0.00357865j 0.00844382+0.0105648j 0.0117998-0.00748899j -0.00108621+5.30318e-05j 0.00196623-0.00339027j -0.000977928-0.00382951j -0.006105-0.00635994j 0.0024891-0.000683171j 0.00320401+0.00194355j 0.0021986+0.00150623j -0.000623993-0.00394109j 0.00330731-0.00671879j 0.0043273+0.00457767j -0.000480906-0.00506134j -0.00665898+0.00372517j -0.00677416+0.000605372j 0.00257003-0.00278911j -0.0037-0.0030443j 0.00108973-0.00166849j -0.0015356+3.08839e-05j 0.00510949+0.00168795j 0.00704958-0.00496669j 0.000732515-0.00519212j 0.0014655-0.00617879j 0.00175847+0.00282347j -0.00133456+0.00356414j 0.00618772+0.00307735j 0.00597858+0.000268352j -0.000126464+0.00920853j 0.00441493+0.000239508j 0.00226187+0.00730534j 0.00249431-0.00459023j -0.000386978-0.00245593j -0.00397289+0.00447479j -0.00222368-9.07939e-05j -0.00705674+0.002415j 0.00407752-0.0028763j 0.00842255-0.000633888j -0.000370268-0.00255837j 2.43724e-05+3.33183e-05j -0.00505544-0.00371563j -0.00739714+0.0059625j -0.000993659+0.0028986j -0.000375906-0.00704162j -0.00277474+0.00148805j 0.00361099+0.00153675j 
-0.000234207+0.0026325j 0.00358881+0.000571151j -0.00859152+0.00383052j -0.0134409-0.011672j 0.0103127-0.00950325j 0.00373861+0.00889443j 0.00041073+0.0143475j 0.003119-0.00322982j -0.00699937-0.00792987j 0.00113371+0.00901195j 0.0112013-0.000797974j 0.0136572-0.00326607j -0.0129694-0.00173669j 0.00813681+0.00414825j 0.005396+0.0199427j -0.000110172+0.00258597j -0.00197313+0.0131542j -0.0221015-0.017256j -0.0094364-0.0100906j -0.00037138-0.00153244j -0.0164698-0.00348876j -0.0144875-0.00398991j 0.00595305-0.0113369j 0.00130784+0.00682745j -0.00322357-0.020445j -0.00785944-0.00467786j 0.00172827-0.00217287j -0.00410903-0.00813528j 0.00467393+0.00583901j 0.000105904-0.001218j -0.00847664+0.0100255j 0.00196246+0.00111469j -0.00107009-0.00658114j 0.00833362+0.0102995j -0.0128293-0.00187196j -0.00104455-0.00042851j 0.00766689+0.0102777j -0.0053369-0.00159565j -1.14853e-05+0.00204281j -0.00183744+0.00117068j 0.00105167+0.00182873j -0.0111515-0.0102755j -0.00260858-0.00714666j -0.00073942+0.00325368j 0.00568221+0.000967182j -3.16264e-05-0.0131653j -0.00977105-0.00555881j -0.00943574+0.00154524j 0.00173158+0.00271468j 0.00239676-0.0120821j 0.000160999-0.00460593j 0.00017254+0.00350396j -0.00376435+0.00677804j -0.0025206-0.00293467j -0.00293212+0.000666444j 0.000464745-0.00588792j 0.00255893-0.00230499j 0.00122851-0.000572293j -0.000860407-0.0045352j -0.00100163+0.000750651j 0.000684235-0.00248346j -0.00169437-0.00187253j -0.00122265+0.00430145j -0.00611014-0.00187751j 0.00644813-0.000524293j -0.00440457+0.000361552j 0.00618371+0.00230502j -0.0011298+0.000201609j -0.00209194-0.00495187j -0.00248737-0.00385664j 0.00849921+0.00476185j -0.00081895-0.00585327j -0.00417696-0.00443008j 0.00288852-0.00135801j 0.00107116+0.00536795j 0.00287697+0.00387369j -0.00121648-0.00170493j -0.00458889-0.00509737j -0.00367027+0.00235473j 0.00126878-0.00575875j -0.00299093-0.00802266j 0.000660944+0.00660399j -0.00409291+0.00269914j -0.00129777+0.00821673j 0.000514884+0.00640359j -0.000860511-0.00893519j -0.00323216+0.00710306j 0.00571235-0.00953569j 0.00311914+0.0169715j -0.00735268-0.0038792j 0.00546136-0.00911425j -0.00790656+0.012594j -0.00344692-0.0127627j 0.00256899-0.00302635j -0.000107558-0.00806845j 
