-0.00665673+0.00577311j -0.00714322-0.00290701j -0.0127698+0.00425113j 0.0187273-0.000269244j -0.00690819+0.00508108j 0.000166486+0.00192293j -0.0137974+0.00518385j -0.00995647-0.00111933j -0.0174938+0.000700185j -0.0226579+0.00521757j 0.00152959+0.00145936j -0.00834344+0.00448711j 0.0196234+0.00236224j -0.00732148-0.00347979j 0.0120184-0.000393552j -0.017531-0.0142808j 0.0113953-0.00832411j -0.00164029-0.0050006j 0.00266236+0.00116821j -0.00206575+0.00142591j -0.00320106-0.00336766j 0.00494678+0.00153453j 0.000858606+0.00454421j -0.00194099-0.00654937j 0.0102731-0.000494005j -0.00233378-0.0129912j 
4.96535e-05-0.00969288j 0.0079368+0.00290234j -0.00147508-0.00340036j 0.00552147-0.00288706j -0.0106164-0.000548953j -0.00354493-0.00552616j -0.0216241+0.00173676j 0.000291682+0.00254116j -0.0102657+0.00168589j -0.00703741-0.00703121j 0.00960724-0.000572397j -0.0122449-0.00970077j 0.00951816+0.00160331j -0.00272659+0.00231773j -0.00104625+0.00845334j -0.0105909+0.0123864j -0.018954+0.00972853j 0.000437485+0.00598007j -0.000823953-0.0059684j 0.00243423-0.00156137j 0.00621968+0.0101963j -0.00705332-0.00470084j 0.00858092-0.00571004j -0.00430652+0.00433244j -0.0196997+0.00642277j -0.00144689+0.0239421j 
0.00513434-0.0157335j 0.00555277+0.00109449j 0.00865787-0.00770589j -0.00463522-0.00195117j 0.00734531-0.00954912j 0.00463957-0.0124095j 0.00122341-0.00422145j -0.00278445+0.00561693j -0.00810892-0.00464987j -0.00102487+0.00517526j -0.00142398+0.00794751j 0.016139-0.0117385j 0.00201749-0.0123889j -0.00013715-0.00857857j 0.000758136-0.0226598j -0.0251082-0.00530031j -0.016354-0.00296568j -0.00707803-0.00432232j -0.005764-0.00446569j 0.00247504-0.0107043j 0.000497083-0.00872398j -0.00776519+0.00598849j -0.00431188-0.000334321j 0.0005193-0.00461631j -0.00215154-0.00845679j 0.00184753-0.0119252j 
0.00462381+0.00680752j 0.00511102+0.0114519j -0.00250276+0.00411411j -0.00601407+7.84139e-05j -0.0224818-0.00926877j -0.00506613-0.00347554j -0.00521493-0.0142411j 0.00471322+0.00607705j -0.00177711-0.00548431j 0.00345197+0.0109622j 0.00152992+0.00500189j -0.00906884-0.00852388j 0.00822899+0.000548853j 0.00718572+0.00763773j 0.0138418-0.0063712j 0.0117589+0.00904848j -0.0040572-0.0109328j 0.00147422-0.00226385j 0.00441619+0.00498056j 0.0070374+0.0100367j 0.0116896+0.00298602j -0.00552662-0.00587329j -0.0041017+0.00444452j 0.00400636+0.0145879j 0.0108301-0.02009j 0.00663881+0.00291027j 
-0.0106132+0.00154821j 0.00414747+0.00442291j -0.00126086+0.00770951j -0.00373654-0.00742301j -0.00962075+0.0154744j -0.0135575+0.00804761j 0.000585481-0.00582881j 0.00226596+0.00161827j -0.0045352-0.00344852j 0.0117507-0.0094538j 0.00417158-0.00146847j -0.0116183+0.0139799j -0.0134296-0.00101525j 7.65018e-06-0.00617533j -0.00573407-0.012628j -0.000749661-0.0168154j -0.0048039-0.0130316j -0.00225279-0.00487253j 0.000527964-0.00883332j -0.0125716-0.00353402j -0.00241772+0.00500134j 0.00433827-0.00110882j 0.00790765-0.00375774j -0.012801-0.00188406j -0.000856757-0.0123068j -0.0183074+0.00702596j 
0.00404106+0.00245068j -0.00407023+0.00213352j -0.00174694-0.00140478j 0.000190263-0.00420487j 0.00303769-0.00111428j 0.00598321+0.0087789j -0.000124582-0.0139414j -0.00118455+0.00543386j 0.0130451-0.00622082j -0.00876681-0.0175341j 0.0029626+0.0010375j 2.69794e-05+0.0120973j -0.00017431-0.0101511j -0.00574178-0.00530126j 0.016048-0.00261203j -0.00380256+0.0138344j 0.00273316+0.0157396j -0.00485451-0.0133376j -0.0031856+0.00607434j -0.00326839-0.0118768j 0.00687284+0.00134052j -0.00241477+0.0166316j 0.000192232-0.0162164j -0.0120389+0.0125076j 0.00954022-0.00328192j -0.00574916-0.000650949j 
0.00929165+0.00239176j -0.000271401+0.00287932j 0.00929159+0.00275105j -0.00614126-0.0135651j 0.00834694-0.00632672j -0.0130933-0.00631296j 0.00719126+0.00269534j -0.0135033+0.0028416j 0.0100342+0.00993137j 0.012244+0.00244534j -0.00296616+0.00421231j -0.0158922-0.0138957j 0.00799645+0.00432641j -0.000696698-0.0060158j 0.0164391+0.0177089j -0.00394468-0.00867202j 0.000805123-0.00449345j -0.00456198-0.00802169j -0.000109761-0.00555512j -0.00323586-0.00783864j 0.00648635+0.00611378j -0.000341171+0.000442423j 0.00621293-0.00718589j -0.00478193-0.00787024j 0.00256833+0.00366955j -0.00115833-0.00374585j 
-0.00084881-0.00664889j -0.000298575+0.00972028j -0.00265667+0.00875212j 0.00746135-0.0173409j 0.00294601+0.000161757j 0.0091594-0.0198219j -0.0105863+0.00443009j 0.000126176-0.00615393j 0.00234403-0.0120679j -0.0122574+0.00359986j 0.00619985-0.00540205j 0.0125036-0.00784021j -0.0123166-0.00275016j 0.00670269-0.00319759j 0.00497669-0.000877392j 0.0163785-0.00808304j 0.00825288-0.00421108j 0.00558814-0.00788271j 0.00575912-0.00669832j -0.00504001-0.01587j 0.00126062+0.008917j 0.00118795+0.00232814j 0.00470896-0.00918682j -0.000865066-0.000533729j 0.000571202+0.00124361j -0.00229302+0.0110565j 
-0.00196181-0.0220206j -0.00252507+0.00691479j 0.000498943-0.00423501j 0.00121384+0.00996655j 0.0130618-0.005385j -0.00213968+0.00280361j -0.0028918+0.00572546j 0.00420611+0.00865977j 0.0154025-0.00682561j -0.00137943-0.00408745j 0.00335114+0.00123588j -0.0079795+0.00895376j 0.00397471-0.00878343j 0.00173246+0.0140599j 0.0138354-0.0089102j -0.00249974-0.00534557j 0.00797929-0.00913872j 0.0038074+0.0221467j -0.00244233-0.009527j -0.005549+0.000748298j -0.0022953-0.00319345j 0.00434265-0.0170897j -0.00195325+0.0119627j -0.000770178-0.0084144j 0.00162998+0.00784378j -0.00358139+0.0108957j 
0.00220958+0.00908705j 0.00269739-0.00468381j 0.00209838-0.00610498j -0.00236019-0.00626282j -0.00552131-0.0295689j 0.00429908+0.00880971j -0.00134039+0.0168878j -0.00216335+0.000369522j 0.00267847-0.0160142j 0.00157856+0.000713461j 0.00436821-0.000733133j -0.0065001+0.0107179j 0.00122464+0.000113798j 0.000516648-0.00965878j -0.000368191-0.00352856j 0.0023881+0.00471292j 9.62839e-05-0.0105533j -0.000752266-0.00409702j -0.000273226+0.00793976j -3.94166e-05+0.00872905j -0.00298872-0.00470673j -2.35138e-05+0.00216366j 0.00720533-0.0112589j 0.00343279-0.00413352j -0.0110843+0.0031342j 0.0037341-0.00680789j 
0.00124141+0.00077955j -0.0011076-0.00951494j 0.000645597-0.00247691j 0.0031968+0.00634284j 0.00369733+0.00683675j 0.000578094-0.00508276j -0.00132074+0.00602783j 3.45286e-05-0.00260602j 0.0127263-0.00189809j -0.00241388+0.0121038j 0.00927844-0.0152137j 0.0022665-0.00445867j -0.000866602+0.0208638j 0.00112695-0.000819843j 0.0114944-0.0116582j -9.41931e-05+0.00203219j -0.00834916+0.0124858j -8.31613e-05-0.000378523j -0.00232606+0.00573621j -0.0116084+0.0263094j 0.00608311-0.011293j -0.00120973+0.00278063j 0.000472695+0.00680195j -0.0113282+0.00354423j -3.68772e-05-0.00645538j -0.00986278-0.00789673j 
