-0.00808191-0.00234008j 0.00197134-0.00844728j 0.00603625-0.00374768j -0.00302027-0.00660007j 0.000876007-0.00223765j -0.00296918+0.000255037j -0.00150688-0.00579584j 0.00511621-0.0024056j -0.00272087-0.00123577j -0.00213103+0.00346407j 0.000329582-0.000465585j -0.00229788-0.00366935j 0.00389494-0.00125205j -0.00100499+0.00276691j 0.00294766-0.00217954j 0.00195754+0.00135283j -0.00123712-0.00279575j -0.000383107-0.00171532j -0.00156895+0.00351445j 0.000283832+0.00260078j 0.00459014-0.00449193j -0.00283315-0.0061307j -0.00372331+0.00251235j -0.00131141+0.00317409j 0.0015623+0.000926587j -0.00219542-0.00361301j -0.000613503+0.00227214j 0.0011862-0.00157934j 0.00108587+8.67065e-05j 0.00168176-0.00168778j 0.00531276+0.00106275j -0.00302069-0.00011906j 0.000679322-0.00147269j 0.00189392+0.00205317j 0.00138858-0.00341151j -0.000410222-0.000554275j 0.000192453+0.00224114j -0.00476623-0.000882999j 0.00349164+0.00287899j -0.0015267-0.00164259j -0.00378837+0.00421725j -0.00243873-0.000417054j 0.00484041+0.0013116j 0.0058426-0.00257562j 0.00116429+0.00128886j 0.00319468+0.0115128j 0.00506258-0.00642594j 0.00840649+0.000693514j 0.011308+0.00853041j -0.00702153+0.00914079j 0.0215813+0.000152148j 0.00109804-0.0214808j 
-0.00319989+0.00714963j -0.00741242-0.00225118j -0.00338874-0.00303638j -0.00288503+0.0033499j -0.00582489-0.000427833j -0.000528447+0.00678876j -0.00572449+0.00318172j -0.00441331-0.00110725j -0.000820751+0.00447711j 0.000682428-0.000384789j 0.000730785-0.00167097j -0.00577004-0.00229498j 0.000345888-0.00537518j -0.000162856-0.0015101j -0.0013163-0.00288738j 0.000570617-0.00279353j -0.00550879-0.00196287j 0.00185502+0.00133851j 0.00352429+0.000239004j -0.000153989-0.000907057j -0.0025452-0.00348241j -0.00257558-0.000301923j 0.00120395-0.000112369j -0.000432791+0.000202622j -0.000382907-0.000738854j -0.00407044+0.00194652j 0.00484823+0.000662508j 0.00135859-0.00317065j -0.00163616-0.00228761j -0.000197644-0.00102986j -0.00345785-0.00346873j -0.00105072+0.00312363j -0.00369232-0.00153316j 0.000625159+0.00025163j 0.000730712+0.00184603j 0.000785674+0.000523413j -0.000263143-0.000649611j 0.00215553+0.00502616j -0.000579415+0.00148728j -0.0037351-0.000694625j 0.00170219+0.00544031j -0.000966572+0.00173109j 0.000261852-0.00629985j -0.00558237-0.00144715j 0.0079221-0.00448435j 0.00984657-0.00139356j -0.00710205-0.00574909j 0.00429124-0.0146125j 0.00341305-0.0105273j 0.0102849+0.0012195j 0.00333119-0.0217551j -0.0220274-0.00327186j 
-0.00252242+0.006704j -0.00665513-0.00233615j 0.000943871+3.87399e-05j 0.00126407-0.00215864j -0.00476054+0.00295299j 0.00411078+0.0035144j -0.000800836-0.00150866j 0.00195818-0.00345741j -0.00295066+0.00173438j 0.00493738+0.00358714j 0.00473405+0.00529583j 0.000551947+0.00178917j -0.00502013+0.00349666j -0.000457661-0.00327188j 0.00237886-0.0070615j 0.000588242-0.00258572j -0.000647681+0.00276521j -0.00486152+0.00278055j 0.00149906+0.00574847j 0.00263572-0.000683874j -0.00309846-0.00223323j -0.000649488+0.0030017j -0.00139798-0.00221051j -0.00263511-0.00461269j 0.000844328+0.000425223j -0.00372274-0.00132374j -0.00116422+0.000638866j -0.00354437+0.0019895j 8.27003e-05+0.00200014j 0.00016634+0.0030842j 0.00087375-0.00150376j 0.00193233+0.00212018j 0.00364422-0.0026954j 0.00289137-0.001077j -0.00208501+5.6929e-05j -0.00197497-0.00343095j 0.000278988+0.00203565j 0.00187303-0.000134814j -0.00200581-0.00517759j 0.00227524+0.00754187j 0.000549126+0.0011052j 0.00153098-0.00373129j -0.00603694-0.00654063j -0.0109384-0.00051263j -0.00418447-0.0122394j 0.0043854-0.0057276j -0.00350483-0.00485636j -0.00445636+0.00958695j -0.0152251+0.00586715j -0.00503762-0.0121396j 0.00119426-0.0137996j -0.0141879-0.00214027j 
0.00855051+0.00270194j -0.0020256+0.00794121j -0.00311898+0.00153681j 0.00163701+0.0027628j 0.00250715+0.00432247j 0.0043526-0.00149074j 0.00193529+0.00320038j -0.00177017-0.00153149j 0.00266121+0.00143625j 0.0016178-0.00159563j 0.000197078+0.000611255j 0.00321174+0.0056972j -0.00204859+0.0020422j -0.000401652-0.00067962j -0.00298358+0.00227523j -0.00302649+0.000874401j 0.00245946+0.00184209j -0.000381955+0.00160569j 0.00198152-0.00380271j -0.00160165-0.000644639j -0.0014337-0.00022824j 0.00163165+0.00168986j 0.00096068+0.00282613j 0.0024222-0.000783166j -0.000309263-0.00119636j 0.00222549+0.00133025j -0.0032416-0.000712495j -0.00361011+0.00347646j 0.00107358+0.00177427j 0.00130969-0.00032265j -0.00370282+0.00220706j 0.00592717-0.00106849j 0.00101172+0.00390822j 0.000288245-0.000838485j 0.00585453-0.00413669j 0.00123989+0.00468672j -0.000517238-0.00212197j 0.00340855+0.000496361j 0.000112179-0.00470574j 0.00431247-0.0011999j -0.00226084+0.00429899j 0.00775331+0.00150375j -0.00287497-0.00213258j 0.00452622+0.0142567j -0.00861837-0.00210181j -0.00951171-0.00467527j 0.00330509+0.0013473j -0.0012058-0.00543277j -0.0104465+0.0071283j -0.00722248-0.0126326j -0.0156199+0.00120524j 0.00387784+0.0139582j 
-6.21046e-05+0.00270776j -0.00311038-0.000765768j -0.00695541-0.00208591j -0.00320512+0.00683339j -0.00178019-0.00502973j -0.00278756+0.00369738j -0.00346695+0.00437913j -0.00559915-0.000782174j 0.00399573+0.00179714j -0.000844216-0.00230057j -0.00378205-0.00205471j -0.00167076-0.00261277j -0.00109008-0.00576225j 0.00184667+0.000701086j 0.000244426+0.00132054j 0.0020182-0.000176635j -0.00565183+0.000208895j 0.00389594-0.00117941j 0.000126424-0.00523918j 0.000728034-0.000605443j -0.00547665+0.000397346j -0.00267671+0.000545428j 0.00426418-0.000933008j 0.00181765-0.00180627j -0.00233094+2.50809e-05j 0.000400107+0.0050954j 0.00232755+0.00202521j 0.00107578-0.00325064j -0.00277328-0.00385484j -0.00304184-0.00345701j -0.000940953+0.00138819j -0.000770833-0.00381844j -0.00194626+0.000657816j -0.00190009-0.00239717j -0.00527699-0.00497774j 0.00268587-0.00439879j 0.000344633+0.000536604j 0.00194364+0.00117244j 4.31544e-06-0.0012998j -0.00719381-0.000858943j 0.0100444+0.0067715j 0.00380481-0.00252644j -0.00359014-0.00859878j 0.00729991-0.00709122j 0.00201668-0.000398155j 0.00575575+0.00044233j -0.00677296-0.00342011j -0.0180937-0.013981j 0.00511364-0.0167686j 0.00963274+0.00300743j -0.00940969-0.00903917j -0.0115207+0.00585465j 
0.00308631+9.5598e-06j -0.00121845+0.00312979j 0.000727765-0.00165231j -0.0032549-0.00193675j 0.00188588+0.00224636j 0.000923882-0.00308039j -0.00433192+0.000598874j -0.00461589-0.0050051j -0.000983614+0.000841827j 0.003542-0.00409515j 0.00407922-0.0035302j 0.000862431-0.00097806j 0.00564436-0.000521422j 0.000559724+0.00208605j -0.00501625-0.0030229j -0.00143404-0.00123399j 0.00447009-0.00215689j -0.000274532+0.00423535j 0.00558839-0.000460177j -0.00121208-0.00288018j -0.000804977+0.000819035j -0.00374236-0.000594428j 0.00338336+0.00263014j 0.00028672+0.00855297j -0.0012991+0.00179007j 0.000186454-0.00227921j 0.00315428+0.000219359j -0.000985431+0.00354235j 0.00351285+0.000341072j 0.00121003-0.00203455j -0.000491967-0.0052818j -0.000267599+0.00195029j -0.0020994-0.00423665j 0.00213233-0.00203025j -0.00130675-0.00335767j -0.004122+0.0068582j 0.00488552-0.00336766j -0.00373089+0.00354186j -0.00212314-0.00246174j 0.00454193-0.00417154j 0.00642675+0.00710878j -0.00519647-0.00421097j -0.00353511+0.00421315j 0.00502865+0.00315519j -0.00870806+0.0144103j -0.00204957+0.00116122j -0.00724271-0.00712201j 0.0173418-0.000960711j 0.013202+0.0136479j -0.0117205+0.0114502j 0.00115737-0.0103655j -0.0121291-0.00306568j 
0.00855996-0.00290724j 0.00136069+0.00681835j -0.00439689-0.00407306j -0.00529858+0.00223783j 0.00867796-0.000792188j -0.00185454-0.00677877j -0.000286415-0.000827438j -0.00430523-0.000596941j 0.00359337+0.00178956j 0.000830192-0.00213268j -0.00167633-0.00557036j 0.000770102+0.00160437j 0.00442473+0.00215574j 0.000188402+0.00380672j -0.00833911+0.00171704j 0.00153066+0.00383828j 0.00477434-2.86049e-05j 0.00103969-0.00243635j 0.00141199+0.00222825j 0.000977105+0.000220571j -5.939e-05-0.000863621j 0.00290748+0.00268185j 0.00144552+0.00508556j 0.00306958+0.00309197j 3.73422e-05-0.000927001j 0.00643335+0.00364037j 0.000183775+0.00100351j 0.00574726+0.00137264j 0.0039276+0.000597791j -0.00251181+0.000545905j -0.00031937-0.00255549j 0.000907037-0.00252779j -0.00269927-0.0014641j -0.00227098+0.000990629j -0.00336493+0.00446941j 0.00398399-0.000479834j -0.00509052-0.0042259j 0.006821+0.00446089j 0.00178005+0.00765554j 0.00160917-0.00582979j 0.00575731-0.00747542j -0.00518606+0.00287568j -0.000749262-0.00305943j 0.0105139+0.00136087j 0.000973399-0.00357657j 0.000450579+0.00877017j -0.00161001+0.00164083j -0.0113876+0.0022257j 0.0136926+0.00825915j -0.00972835+0.00772001j -0.00893998+0.00273915j 0.00269169+0.000203179j 
-0.000384361-0.00507677j 0.00627739-0.00130623j 0.00470192-0.000798079j 0.000696231-0.005918j 0.00243445+0.00541525j 0.00603745-0.00265775j -0.000607306+0.00152665j 0.00298771-0.00250798j -0.00239351-0.00656963j -0.00535943+0.00165514j 0.00267742-0.00367503j -0.000845057+0.00040379j -0.00123132+0.00259883j 0.00257702+0.00259165j 0.00298155-0.00347398j -0.00609001-0.000711439j 0.00382957+0.00440334j 0.00119421-0.00308421j -0.00105444-0.000510589j -0.000421668-5.6189e-05j -0.000563878-0.00364328j -0.00155209+0.000347735j 0.00121247-0.00278649j 8.17689e-05+0.000315682j 0.00202957+0.00107103j 0.00046611+0.00462924j 0.00359207-0.00218699j -0.000984725-0.00107697j 0.000900678+0.000391358j -0.00127764-0.00147358j 0.00375358-0.00394038j -0.00158181+0.00542253j -0.00193332-0.00296834j 0.00710626-0.00291507j -0.00385752-0.00494748j 0.00988033+0.00673225j 0.00257871-0.000744936j -0.00198164-0.000179451j -0.00271523+0.00257449j -0.00540481-0.00444496j 0.012345+0.00297068j 0.00161356+0.00427308j 0.0091993-0.000842711j 0.00387443-0.00408078j 0.00874195-0.00742886j 0.0074463-0.0106794j -0.0124294-0.00873309j -0.00504999-0.0264623j 0.000423864-0.000716947j 0.0003168-0.00124519j 0.000881234-0.00242194j 0.00291923-0.000933079j 
-0.00186654+9.66107e-05j 0.000528306-0.00171407j -0.00237841+0.00325335j -0.00165866+0.000625272j -0.000457207+0.00103748j 0.000826375+0.000790847j -0.004042+0.00296426j 0.00135071-0.00268603j -0.00194699-0.000859495j 0.00222124+0.00209527j 0.00129805-0.00257674j 0.00294757+0.00240336j 0.0015435+0.00535212j 0.00069045-0.000592449j -0.000983171-0.0018756j -0.00348984-0.00263517j 0.000999934+0.00123252j -0.000816881+0.00564443j 0.00819723-0.00348726j 0.00364616-0.00117408j -0.0107386-0.00174949j 0.00311612-0.000160549j 0.00246223-0.00417674j -0.00553012-0.00146825j 0.00166013+0.000443297j -0.00411161-0.00422106j 0.00304342-0.00073686j 0.000793547-0.0030213j -0.000467602+7.55869e-05j 0.00524508+0.00166764j -0.00207977-0.0049607j 0.0020173+0.00633597j -0.00518187+0.00010488j 0.00469-0.00424291j 0.00415029+0.00199072j 0.00332839-0.000916103j 0.000258948+0.00750185j 0.00272471-0.00873545j 0.00585459-0.00112408j 0.00145801-0.00349945j -0.0074585-0.0038524j 0.00156302+0.00973626j -0.00108967-0.00166959j -0.00766793+0.00724291j -0.0152656-0.0148404j 0.00690843-0.0224499j -0.0134138+0.00813832j 0.0102041+0.00623705j 0.00354142+0.00510376j -0.00249579+0.00160369j -0.00417867-0.00392594j -0.0118624+0.00611056j 
0.00175536-0.0030047j 0.000732534+0.000543976j -0.00250989+0.00341813j 0.00315997+0.000235984j 0.00126245+0.000397742j 0.00350973-0.00162048j 0.00443647+0.000259003j 0.00228589+0.00101642j -0.00281898-0.00509372j 0.000742197+0.00881856j -0.000496478+0.00177439j 0.00536+0.00596279j -0.0020654+0.000941531j 0.00359028+0.00215863j -0.000477143+0.00291905j 0.00194882-0.00324868j 0.00509969-0.00246138j -0.00623538+0.0014874j -0.00173679+0.00513246j 0.00230868+0.00373725j -0.00420466-0.00489927j 0.00442303+0.00263558j 0.00306393+0.00151275j -0.00474382-0.00200948j 0.00455433-0.0044195j -0.00296437-0.00748122j 0.00164326+0.00115345j -0.00148356+0.00182826j 0.0019699+0.0031228j 0.00257203+0.00366844j 0.00625416-0.0087924j -0.0048727+0.00289858j 0.00486139-0.00188664j 0.00104479+0.00497525j -0.00250877+0.0019672j -0.00134616+0.00279239j -0.00322368+0.00490776j -0.00453935-0.00202318j -0.000561397-0.00847191j -0.00201358+0.000336934j -0.00473032+0.0109311j 0.00403375+0.00103672j -0.00637358+0.00488779j 0.00329808-0.00928507j -0.0244224+0.00169523j -0.00109419+0.00163846j 0.0112623-0.0116658j -0.00467533+0.0041295j 0.00748117-0.00500266j -0.00664004+0.00766331j 0.00262011+0.00509691j 0.0084704-0.00701419j 
-0.000359803-0.00164596j 0.0033948-0.0019444j 0.00214274-0.00441099j -0.000830313-0.00138528j 0.00351464-0.00081507j -0.00420478-0.00273897j 0.00148892-0.00100315j 0.00260267+0.00505791j 0.001423+0.00441609j 0.00124678+0.00167636j 0.000562958-0.00148882j -0.00103287+0.0019372j 0.00468159-0.0031224j -0.00413628+0.00309972j -0.00148642-0.00218113j 0.00653251+0.00657692j 0.00289418+0.00300544j -0.000912457-0.0038616j -0.00165774+0.00517791j 0.00245229+0.000525052j 0.00147037+0.00272605j -0.00416428+0.00269194j 0.000982833+0.00143454j -0.00114779+0.00653877j -0.00603092+0.000818167j -0.00171822-0.000671564j 0.000561067-0.00288637j 0.000520812-0.00446313j 0.00226909+0.00331044j -0.000636317-0.000103819j -0.00105157-0.00259036j 0.00137739+0.000915776j 0.00599911-0.000834524j -0.000841477-0.0011416j 0.000616262-0.00421009j 0.00146682-0.00716688j -0.00335326-0.00100882j -0.00276479-0.00280808j 0.0074953+1.13114e-05j -0.00502538+0.00285986j -0.0177413+0.00307603j 0.00236581+0.00262158j 0.00369396-0.00753661j 0.00593755+9.49515e-05j -0.00397577-0.0151723j -0.00501358-0.00461635j 0.0164696+0.0100841j 0.00589881-0.0125887j 0.0174148-0.0018712j 0.000795793+0.00395835j 0.0109581-0.0112399j -0.00383409-0.00605247j 
