0.00621301-0.03939j 0.0488542+0.0661643j 0.0149379+0.0629335j -0.0114299+0.0296858j 0.00112881+0.0208146j -0.00181625+0.0469658j 0.000628116+0.0136323j -0.00210862+0.0217373j 0.00543093+0.0173912j 0.00815843+0.00332463j -0.0062046+0.00776588j -0.004074-0.0174949j -0.0324142+0.0191781j -0.0943159+0.114615j 0.0342741+0.00904947j -0.009228+0.0429583j 0.0206513-0.0627188j -0.0240674-0.0140756j -0.0177606+0.0435049j 0.0176203+0.0265929j 0.0168441+0.0152194j -0.0281368+0.0310897j 0.021483-0.0154391j 0.00260048+0.00757807j -0.0213042+0.0286246j -0.0121583+0.0439858j 0.00013712+0.00811671j -0.00307761+0.0100999j 0.0183173-0.0182938j -0.00968796+0.0264213j 0.00618284+0.00550417j 0.00711782-0.0124753j -0.0127903+0.0334092j 0.00678453-0.0350548j 0.0563778-0.0693409j -0.0509387+0.0736667j 0.181086-0.113872j -0.041927+0.0587648j 0.0258719-0.0650247j -0.00232121-0.00532476j -0.00874628+0.0339122j -0.00705045+0.0175924j 0.0223116-0.0668272j 0.0126298-0.0213546j 0.00825671-0.0201149j -0.00245015+0.00681783j 0.0067563-0.0177161j 0.00588647-0.0209408j 0.0170863-0.0222516j 0.000132261-0.00211165j -0.00309633+0.00686334j 0.00997613-0.00766703j -0.0115274+0.0146201j 0.00639391+0.00141028j -0.0152164+0.0117583j -0.0110739+0.014251j -0.0135615+0.0145916j 0.0097829-0.00813791j -0.00432643+0.00719597j -0.006043+0.00175151j 0.00988433-0.00919209j 0.0014214-0.00383889j -0.0150898+0.0119322j 0.00348862-0.00448001j -0.00237736+0.000908645j -0.00620373+0.000622405j 0.00323563-0.00581707j -0.0031468+0.0026766j -0.00808537+0.01004j 0.012947-0.0101849j 0.0129272-0.00581933j 0.0051715-0.0024776j 0.00277478+0.00178743j 0.000633992+0.00594934j 0.00662469-0.000324935j -0.00629189+0.00373186j 0.00347195-0.00268994j 0.00527368-0.0127941j 0.00530737-0.0107125j -0.00279907+0.00179191j -0.00693385+0.00436714j 0.00896999-0.00409089j 0.00711478-0.00446347j -0.00576635+0.0123814j -0.0169883+8.1887e-05j -0.000129393-0.00123648j -0.0187806+0.012416j 0.0194176+0.022009j 0.0075176+0.00757546j -0.0164093+0.0251737j 0.00113721-0.0191648j 0.00716046-0.00634616j 0.0051924+0.0146237j 0.0263635-0.0307043j 0.0281486-0.0336941j -0.0685061+0.131291j 0.115648-0.0744425j 
-0.0470965-0.0624562j 0.00352489-0.0407553j 0.0107283-0.000400843j 0.0119245+0.0717427j 0.000807473-0.00772774j 0.00855208+0.00239604j 0.0213954-0.0571051j 0.00986861-0.00563122j -0.00720514+0.0124785j -0.0119056+0.039111j 0.00480541-0.0315798j 0.00283141+0.0163915j 0.0152092-0.0629084j -0.0436435-0.00597368j -0.0871965+0.0904937j -0.0231127+0.0636121j -0.0108181+0.0404691j -0.0176372+0.0380903j 0.0304537+0.0187493j 0.0151216-0.0357133j 0.0141519-0.0398866j 0.0081407+0.0384446j 0.000774683-0.0296226j 0.00375387-0.00612357j -0.00179861+0.027433j 0.0264322-0.0174588j 0.0162505-0.0118343j 0.0141334-0.0170817j -0.0170002-0.00853437j 0.00489695+0.0092787j -0.0154468+0.0419236j -0.0145694+0.028011j 0.00705075-0.0138363j 0.0107838-0.0227255j -0.0139349+0.0422591j -0.190523+0.125791j -0.0446259+0.0643883j 0.0248125-0.0619077j 0.0421315-0.0592958j -0.00768397+0.0288185j 0.00070243+0.0102424j 0.0227172-0.0639939j 0.00534961-0.0178935j -0.0133944+0.0229069j -0.0127587+0.0180056j 0.0146887-0.0380101j -0.0105197+0.0151312j 0.0145331-0.0257674j 0.0182524-0.0290223j -0.00164902+0.00097521j 0.00594765-0.00613529j -0.00415233+0.00710165j 0.000576117+0.0028035j -0.005918+0.0100762j -0.0090961+0.00861874j 0.00906903-0.0163383j -0.00678624+0.00931076j -0.00235738+0.00181435j -0.000916248+0.00173974j 0.00651308-0.0102049j -0.000500206-0.000397986j 0.00200641-0.00389381j 0.00753982-0.0143066j 0.0129299-0.00870504j 0.00258432-0.0029395j -0.0100496+0.000217164j -0.00650459+0.00888079j -0.00530722+0.00776048j -0.00147542-0.00163538j -0.00717294+0.00739263j -0.00242479-0.00130799j 0.00726004-0.00699874j 0.00340677-0.000284259j 0.000876175+0.000569329j -0.00208254-0.000731717j -0.000112805-0.00099164j 0.00328265+0.00513178j 0.000309878+0.00698783j -0.00364194+0.000144932j 0.00139923-0.000378919j -0.00446185+0.012624j 0.020595-0.0145469j -0.00583385+0.00817116j 0.00768216+0.000971823j 0.00280751-0.00454622j -0.000179375-0.0114205j -0.022057-0.0173632j -0.0175893+0.0111014j 0.00197557-0.0272228j 0.00671806+0.00989424j -0.0188184+0.00931907j -0.00672597-0.0125654j 0.00734999-0.00635279j 0.0276-0.0365082j -0.0262375+0.0309453j -0.115171+0.0744512j -0.0678171+0.131548j 
0.00135485+0.0140808j 0.101584-0.0890985j 0.0405733-0.0189418j -0.0225076-0.0251425j 0.0471436-0.0180736j 0.00830104+0.0085777j -0.000685927+0.0252191j 0.00745743+0.0303568j 0.00221185-0.0166961j -0.0382913-0.0284592j 0.0397436+0.0256592j -0.0468331-0.00630009j 0.137816-0.0322437j 0.0809839-0.150753j -0.0975278-0.0969104j 0.00019552-0.0713556j -0.126227+0.0353598j -0.00757843-0.0201295j 0.0472779-0.00230842j 0.0102225+0.0191822j 0.0245761-0.000571981j 0.0517351-0.00938004j 0.0124937+0.0233128j 0.0311662+0.00894887j -0.00799708-0.0102398j 0.00967345-0.0211938j -0.0151459-0.00556464j 0.00687099+0.00297108j 0.0305926-0.0273402j 0.0075614-0.00332106j -0.0335976-0.0123999j -0.0374005-0.00229523j -0.00752214+0.0062245j 0.0393789-0.0459177j -0.139547+0.0420829j -0.0555461-0.14424j -0.123092+0.0678756j 0.098054-0.0282424j -0.0198715+0.0645802j -0.0408509-0.00236934j 0.0422104-0.0399825j 0.0352737+0.00800981j -0.0539144+0.0356097j -0.00791889+0.000721879j -0.03183-0.00247608j 0.0161931+0.010155j -0.02745+0.00673107j -0.0124822+0.0123937j -0.015266+0.0283664j 0.00428693-0.000345709j 0.0148803+0.00807683j -0.0196769+0.00312106j 0.0127026-0.00775443j -0.00563249-0.000811033j -0.00110595-0.0143332j 0.0217067-0.000977852j 0.0163493-0.0131622j -0.00846336+0.00639096j 0.00954186-0.0107619j 0.00347725-0.0030636j -0.0162105+0.00791996j 0.00481872+0.0015454j 0.0213117-0.00977706j 0.00150832+0.00756828j 0.0122634-0.00663607j 0.00297908-0.0150049j -0.0105573-0.000490754j -0.00060906-0.00022134j 0.0062729-0.00529519j -0.00244321+0.00708891j -0.00607241+0.0098563j -0.00464267+0.00497008j -0.000761403-0.00368735j 0.00886437-0.00562121j -0.000755388+4.74707e-05j 0.00429597+0.000151648j -0.0178463+0.00503129j -0.0010488+0.000457907j -0.0317184+0.00448294j 0.00623466-0.000308923j 0.00561852-0.00227271j 0.00876611+0.0277583j -0.0169382+0.0155472j 0.00509826+0.00528667j 0.0037961-0.0274058j 0.0101323-0.00948948j 0.000328696+0.00183597j 0.032876+0.00279737j 0.0108801-0.00584781j 0.021509-0.014309j 0.00881611-0.00912041j -0.00834441+0.046651j 0.018671-0.00642146j 0.0392048+0.0123382j -0.0279568-0.0263387j 0.0298089-0.071498j -0.0817551+0.0404776j 
0.109506-0.102886j 0.00657411-0.0166712j -0.0152358-0.0166039j -0.0438625+0.0149548j 0.0108275+0.00914046j -0.0666052-0.0322679j 0.0258616-0.0624967j -0.0482258-0.00178145j -0.0374915+0.00516259j -0.0380063+0.0353071j -0.0126563-0.0149981j 0.0555727-0.0288737j 0.0460319-0.0678681j -0.166069-0.10826j -0.0732347+0.149526j -0.134523+0.043696j -0.00909393+0.0810393j -0.0430052+0.00708925j 0.00333978-0.0183189j -0.0164002+0.00106968j 0.0398641+0.00542932j -0.0125959+0.00634744j 0.00169133+0.0411096j -0.00600768+0.026416j -0.0406594-0.0193258j 0.0303599-0.0290707j 0.022887-0.0101216j 0.0267581-0.0133673j -0.00150586+0.0391142j -0.0129057-0.0142612j -0.0343465+0.0208878j -0.025758+0.0169369j -0.0248947-0.03671j 0.11185-0.0203805j 0.0608666+0.00152382j -0.153933+0.0720457j 0.0520846+0.14447j 0.0228649-0.0688707j 0.102442-0.031032j -0.042118+0.0410594j -0.0458981-0.00196691j 0.0511408-0.0490093j 0.0265639+0.0132662j 0.00562151+0.0228224j 0.00499781+0.0129944j 0.0319707-0.017502j -0.0158977+0.0177387j 0.0281011-0.00717142j 0.0245537-0.0108911j -0.00483801-0.00106392j -0.00231874+0.00325129j -0.0128883+0.00761304j -0.0175868-0.0122614j -0.00479414+0.00381866j -0.00845636-0.0135346j 0.0147989-0.0178924j -0.0135183+6.39948e-06j 0.00437061+0.0115305j -0.00210026-0.00669542j 0.00675872-0.00722885j 0.00749644+0.00989159j 0.00445195+0.00343159j 0.0125368-0.0223873j 0.0105525-0.00105768j 0.00745058-0.00840276j 0.0038316-0.00462444j -0.0117469+0.00676207j -0.0156071+0.00518737j -0.00258858-0.0100108j 0.00337773+0.0110232j 0.00733151+0.0086735j 0.0148663-0.00767892j -0.00933253+0.00414022j -0.00176385+0.00489887j 0.00710352+0.00342175j 0.00688744-0.00028021j 0.0181458+0.00771137j -0.00961486-0.00439927j 0.0160947+0.00870208j -0.00800448-0.00381236j 0.00143194-0.00287845j 0.0289485-0.0190542j 0.00842636+0.0049782j 0.0121267-0.00189355j -0.00974427-0.0233064j 0.011374+0.0240316j 0.00951373+0.0112243j -0.00805722-0.00153589j 0.0369976-0.0140965j -0.00147156-0.00552624j 0.0157712+0.00443382j 0.0226587-0.00507786j 0.00468862-0.0481511j 0.0272253+0.0206358j 0.0301348+0.0173021j -0.0877986+0.0404531j -0.028124+0.0785463j 
-0.00397936-0.0043445j -0.0143994+0.0764591j 0.0467179+0.0124447j 0.137776-0.0033099j 0.0133357+0.0367818j -0.0515969-0.0298998j -0.050971-0.0187602j -0.0579509-0.00695104j 0.0185077-0.0199892j -0.0192332-0.022338j -0.0346644+0.00726984j -0.0150149+0.0437278j 0.0163893+0.0192203j -0.0914127+0.0792661j 0.15569+0.100824j 0.00327823+0.0443329j 0.0426784-0.015737j 0.0210249+0.0129171j -0.0152491-0.00608098j -0.0417377-0.0207995j 0.00802987+0.0197922j 0.00672234+0.0210028j -0.00366215+0.020323j -0.000909345+0.0111587j -0.0240032-0.0183457j -0.00666296-0.0118632j -0.00286055-0.0050096j 0.00132421+0.00882785j 0.0145846+0.00704165j 0.0202858+0.00830059j 0.0183488-0.0358955j -0.0304632-0.0349069j -0.0152323-0.0302291j 0.032677+0.0266528j -0.0278708+0.024637j 0.0215243+0.0530938j 0.0996248-0.015019j -0.0198323+0.0134724j 0.0110492-0.0173822j 0.0123246-0.00245197j -0.00885501+0.0239331j -0.0268038-0.00289091j -0.00335725-0.0155838j 0.0324921+0.0135211j 0.0166928+0.000725432j -0.0159433+0.000255243j -0.00120953-0.00885988j -0.00364727-0.00847277j -0.00914044-0.0159823j -0.0102431-0.00786282j 0.00110199+0.00647683j 0.00537807-0.00626818j -0.0104452-0.00216024j 0.0049998-0.000742394j -0.00670214-0.0117313j -0.00536068-0.00223172j 0.00212458+0.0026236j 0.0059317-0.000230266j -0.00311348-0.00166665j -0.00406369-0.00510212j 0.0084741-0.00495982j 0.00703453-0.000410226j -0.0186095-0.00366113j -0.00296437-0.00498431j -0.00260265-0.00558131j -0.00120496+0.000523432j -0.00129445-0.00271858j -0.000346268+0.0106481j -0.00273831+0.00330749j 0.00854185-0.00945137j 0.0133372+0.000817092j 0.00150099-0.00101844j -0.0109449-0.00302005j -0.0020023+0.00148298j 0.0115142+0.00484289j -0.00660698+0.00374433j 0.0073348+0.00311832j -0.000600421-0.0122036j 0.00584225+0.00378638j 0.00320292-0.00985582j -0.00704363-0.00011309j -0.0226598-0.0168738j -0.0125163-0.0105961j -0.00744465+0.0109082j 0.00718756+0.00484748j -0.0105775+0.00197907j 0.00643347-0.0296917j 0.0168066-0.00385017j 0.0117852-0.00953155j 0.008765-0.00751449j 0.0115317+0.0329296j 9.91418e-06-0.0147937j -0.0311426+0.00602683j 0.0266621-0.00502237j 0.0144467-0.014473j 0.005525+0.0322205j 0.0512487-0.0253619j 
-0.0249994+0.00130166j -0.0530177+0.111372j -0.126601+0.0704008j -0.0795596+0.0132424j 0.0152996+0.0282722j 0.032878+0.0556495j -0.0440323-0.0944615j 0.0812423-0.0235j 0.0284763+0.0259917j 0.086921+0.00691365j 0.0276901+0.048612j -0.038515-0.166993j -0.104265+0.0624118j -0.0364253-0.155581j -0.196521+0.0289131j -0.0154484+0.0410442j 0.0443274-0.0833411j -0.0137531+0.00281468j -0.0197341-0.0144423j 0.00581518+0.0597943j -0.00526595+0.00318163j -0.00489195+0.00680911j 0.025354-0.00689787j -0.00546337+0.0122942j 0.0273242+0.0298188j 0.0010394+0.00781084j 0.0137786-0.0320625j -0.00175048-0.0154078j -0.0367831+0.0338833j 0.00800947-0.00593328j 0.0231471-0.0376225j 0.0405589-0.0227677j -0.00295639+0.0361095j -0.0845288-0.0629613j 0.0181608-0.103289j -0.082499-0.0354613j -0.0169378+0.0639995j -0.00637741+0.0222928j 0.0152273-0.0222378j 0.0112802-0.00578832j -0.0187992+0.0312553j 0.00565803+0.00313501j 0.0458526-0.0168963j -0.0114142-0.00301013j -0.00918478-0.0256451j 0.00614578-0.0039628j 0.0165926+0.000953437j 0.0141606-0.0131953j 0.0176986-0.0041134j 0.0093453+0.00793975j 0.00219289+0.011334j -0.0010005+0.00414655j -0.000819737+0.00309089j -0.00125262+0.00365586j 0.00522016-0.0107646j -0.00350001-0.00257636j -0.0153632+0.00490489j 0.00111256+0.000969016j -0.00243589-0.00903105j 0.00472597-0.0128612j 0.00461386-0.00406828j -0.00157216+0.0018128j -0.00148089-0.00208936j 0.0100286-0.00703075j 0.00116895-0.00391058j -0.00704482-0.0107749j 0.00200575+0.00385841j -0.00539856+0.00545695j -0.00687844-0.00221007j 0.0137542+0.00164187j -0.00789221+0.00489274j 0.00309738-0.00438198j -0.00536504+0.00930674j -0.00118711-0.000420692j -0.0130638-0.00659934j 0.00724466+0.00760667j 0.00532242+0.00875723j -0.000634871-0.0195683j 0.00145016-0.00331205j -0.000918943+0.0117616j -0.017509-0.0172556j 0.00678685-0.0143386j -0.00143806-0.00384555j 0.00340506-0.0106413j -0.00140541-0.000725351j -0.0263311+0.0162393j -0.0075555-0.0030577j 0.00927764+0.0223397j -0.0275817+0.00826442j 0.00779155-0.0192942j -0.0232685-0.0275702j 0.0153744-0.0163406j 0.0104093-0.0191913j -0.00587555+0.0195574j -0.0261093-0.0219349j -0.048093+0.0494986j 0.00421188+0.00421711j 
0.0313037-0.190992j -0.0326711+0.00850413j -0.00164199-0.0485319j -0.0417676-0.0320349j -0.0864219-0.00358738j -0.0386103+0.0629914j 0.052153+0.0608287j 0.000751867+0.0634142j -0.0572809+0.0631579j -0.0364782+0.118816j -0.0660076-0.0208892j 0.215185+0.0435626j -0.0119018-0.142388j 0.116118+0.12767j 0.0449339-0.191018j -0.0744868+0.121134j 0.0473095+0.077689j -0.0357663+0.00500451j 0.0345435+0.0326054j -0.0279856-0.0219685j 0.0083807-0.0324406j -0.00404383-0.0188143j -0.0210324-0.00688909j -0.0174864+0.0067112j -0.0405118+0.0304972j -0.0183202+0.0174688j -0.00402239+0.00198708j -0.00032169-0.00210422j -0.0388238-0.0321962j -0.0103526+0.0220309j -0.0325498+0.073705j -0.0121589+0.0257594j -0.00346478+0.039124j 0.0934133-0.0759591j 0.0801744+0.0532837j 0.0282091-0.01013j -0.0578157-0.0543066j 0.0184786-0.0310383j 0.0198901-0.040634j -0.0114806+0.0478233j -0.0242564+0.0180495j 0.02183-0.0266494j -0.016184+0.000173365j 0.00112794-0.0197093j 0.0113623+0.00788235j 0.0142858-0.00800018j -0.0125265+0.0159353j 0.00523523-0.00599709j 0.00107401-0.010909j -0.0095224+0.00587368j -0.0116309-0.0138658j -0.0104687+0.010337j -0.000851768+0.00820466j -0.00912441+0.00419891j 0.0116157+0.0163524j 0.00666167-0.00556146j 0.00446758+0.00376836j -0.00445144-0.00113552j -0.000729149+0.00618196j 0.000420226+0.0026183j 0.00113223+0.00791679j 0.00436583-0.0062095j 0.0127018-0.00718103j -0.00606672+0.00228585j 0.0127262-0.0025876j 0.0129743-0.00315222j -0.00831679+0.00949576j -0.00694207+0.00317306j 0.00416834+0.00314534j 0.00516174+0.00987503j 0.000590038+0.00482072j 0.00845379-0.0161733j -0.0150145+0.00478816j -0.00501588+0.000838141j 0.00857912-0.00326512j 0.000591806-0.000857508j -0.00297713+0.014319j -0.000699409-0.00590351j -0.000971132+0.00618831j 0.00613565+0.0114064j 0.00162271+0.00153864j -0.00393156+0.00572074j 0.0164492-5.87181e-05j 0.0040089-0.000529033j 0.020438+0.00419188j -0.0143295-0.0317139j 0.000440905-0.0232957j -0.025698-0.0139311j 0.00389804-0.0131194j -0.00941471+0.0229279j 0.0273219-0.0229536j -0.00589204+0.0139406j -0.00635094-0.0119633j -0.014984-0.0481236j 0.0181715-0.0221056j -0.00782064+0.0102498j -0.0206085+0.046602j 
0.0438665-0.0107651j 0.0127446-0.140486j -0.00766959+0.0470769j -0.000212438+0.021734j 0.0924195-0.053177j -0.0703353-0.0317948j -0.0629588-0.0134018j -0.0954051-0.0118174j -0.0507431-0.0380627j -0.0292827-0.0295866j 0.0247187-0.0820428j -0.128115+0.105473j 0.102157+0.0519451j -0.1404+0.0600863j 0.098365+0.13949j -0.0455197-0.0615128j -0.069329+0.0960177j 0.0112431-0.0102149j -0.0163897-0.0154853j 0.0310519+0.00694287j 0.0132825-0.000727347j 0.0351115+0.00922151j -0.000378769+0.011479j 0.0226235+0.00285121j 0.0223549-0.0212265j -0.00176562-0.0111149j -0.0111341+0.0230654j -0.00413721+0.00524852j 0.0564758+0.00751877j -0.00434117-0.019345j -0.0468664-0.0147688j -0.02932+0.0201463j -0.0176233-0.0416861j -0.0109065+0.0540663j -0.0725967+0.0466269j -0.0078298+0.0152916j 0.0379739-0.00631505j 0.0175728-0.021103j -0.0142133+0.0334627j -0.0235074+0.0150905j 0.00856737-0.0385834j -0.00674068-0.00303463j 0.000896839+0.00950907j 0.0177356+0.00360955j -0.0199915+0.0114034j -0.0105349-0.00192571j -0.00106311+0.000327355j -0.000932685+0.00481869j 0.00109881+0.00565694j 0.0132721-0.00457589j 0.0122535-0.00251358j -0.00352948-0.00416j -0.00771545-0.00474936j 0.00614639-0.000400364j -0.0141893+0.00934343j 0.00260951-6.62543e-05j -0.00135386+0.00456163j 0.000314742+0.00444733j 0.00483912+0.00196946j -0.00821127+0.00442559j -0.00910875+0.00550208j -0.00109304+0.0102749j 0.00969729-0.00215559j 0.00410423+0.00234965j -0.00432388+0.00326039j 0.00335983+0.0122603j 0.00636583+0.00101815j 0.0102172-0.00808169j -0.00442628-0.00870362j 0.00652868+0.00774583j 0.0074632-0.000349515j -0.00763434+0.00222154j 0.00048059-0.00786372j 4.0452e-05-0.00457456j -0.00331476-0.00651201j -0.00929151+0.00580029j -0.00259861+0.00641389j -0.00630779+0.0098565j -0.00273338+0.00569712j 0.00837622-0.00607577j -0.00722518-0.00127277j -0.00528829-0.00558884j -0.00718836-0.0106864j 0.00149436-0.00224201j -0.00958319+0.0143593j 0.0165369+0.00463335j 0.00887219+0.00584091j 0.021183-0.0101448j 0.01253-0.000218757j -0.0111166-0.00935528j 0.0065288+0.0286477j 0.0213627+0.000958011j -0.000721782+0.00264374j 0.0405206-0.0179479j -0.0143372+0.0203214j 0.000242934-0.0271911j 0.00449491+0.0100435j 
0.0133767-0.0545017j -0.0375152+0.0234518j 0.0411714-0.0284395j 0.0525149-0.0654637j 0.0357551-0.00852034j 0.00800592-0.0317167j 0.0661663+0.0656954j 0.0176145+0.0347018j -0.133876-0.0688523j 0.00766743-0.0280681j 0.0664349-0.114247j 0.0539029-0.136771j -0.0824853+0.130878j 0.00107237+0.0509404j -0.0194637+0.0839801j -0.0674608+0.0587441j 0.0378475+0.0183117j -0.00447562+0.00903648j 0.00484364-0.00745287j -0.0133018-0.0015732j 0.0188336-0.0117235j 0.0137223+0.0193198j -0.0210808-0.00299558j -0.0242197-0.00149609j 0.0023328+0.00664112j 0.00325774-0.00705834j -0.00362355+0.0247942j 0.0217835-0.0153655j -0.0242536+0.0222367j -0.0114107-0.0433808j -0.0516086-0.00721954j 0.00550497+0.0424458j -0.0050288-0.0539676j 0.0194587-0.00280988j 0.0223472-0.00213305j -0.00381684-0.00625883j 0.0233761+0.00922207j 0.00597103-0.0221214j 0.0174357+0.00699513j 0.000785678+0.00972986j -0.0164621+0.00706946j 0.00265589-0.00382563j -0.000479681+0.019553j 0.0071971-0.0049942j -0.00233139+0.00559344j 0.000524955+0.0118025j -0.00842464+0.00088473j 0.00255878-0.00307536j 0.00312914-0.00556071j -0.004218-0.00632032j -0.00211178-0.000184796j -0.00886289-0.0090161j -0.00231592+0.00265915j 0.00314101+0.0048991j 0.011985+0.00123044j 0.00758848+0.000305986j -0.00508933-0.00464445j -0.0125996+0.0014371j -0.0054215-0.0046958j -0.0028821-0.00426708j 0.00102279-0.00165796j 0.00522469+0.00767066j -0.000552492-0.00231079j -0.00193024+0.00569444j 0.00646814-0.00593496j 0.0109585-0.00150025j 0.00151109+0.0105692j 0.00976946+0.0099196j -0.000848011-0.00212416j 0.00466196-0.00210107j 0.00889857-0.00466107j 0.000272566+0.0162696j 0.00266805+0.0108347j 0.0011411+0.0062902j -0.011382-0.00268954j -0.00213755-0.00788233j -0.00156493-0.00331261j -0.00788907+0.00292077j 0.0100527+0.000199286j -0.00725714-0.0032495j -0.0119032+0.00237381j -0.00493295-0.00637679j 0.0112833+0.0015039j 0.00164133+0.00650796j 0.00242924-0.00508221j -0.000227898+0.0133936j 0.0143113+0.00872563j -0.0083443+0.0150373j 0.00283919-0.011231j -0.013248-0.0080787j 0.0189696+0.00095366j 0.0016014-0.0282368j 0.00203802-0.00333693j 0.0139267+0.00270531j 0.00747118-0.00620837j 0.000233604-0.00890475j 0.0024113+0.0107324j 
-0.0175479-0.0140989j -0.0382382-0.0152373j -0.00247183+0.044071j 0.0121644+0.074464j -0.0147982-0.0415289j -0.0874926+0.0228715j 0.0211841+0.0238849j 0.0245819-0.0672785j -0.039417+0.062706j 0.0227584-0.0317062j -0.0399873-0.130261j -0.0710399+0.0665383j 0.15367+0.0729991j 0.0797996+0.00794454j 0.0494345-0.0303327j 0.00394969+6.81907e-05j -0.000580413-0.0103963j 0.00774013+0.0209142j -0.0208722+0.00176278j 0.0271921-0.0104961j 0.0139198-0.00250495j -0.00950588+0.0302917j 0.0139578-0.00222639j -0.00349598-0.0202922j 0.0258457+0.0199476j -0.0207413-0.021593j 0.00902873+0.0268152j -0.00759735-0.012209j 0.0060821+0.0135028j -0.0159527+0.025708j 0.00939422+0.0079091j 0.0358048+0.00612258j -0.0421575-0.0289734j -0.0228975+0.0545685j -0.0132244-0.00208968j 0.030655+0.0418895j -0.0262571+0.006605j -0.0109435-0.017949j -0.015126-0.00963031j 0.00720543+0.00308283j -0.00133673-0.00716009j -0.00363855-0.0170735j 0.00839258-0.00790481j -0.0104292+0.00726925j 0.00061428+0.0143822j 0.00068398-0.00713491j -0.00284329-0.000740266j 0.00291304-0.00618192j -0.00213464-0.00848547j -0.00438972-0.0061854j 0.00748788+0.000343846j -0.00449534+0.00216782j -0.00572324-0.00397967j 0.00233522+0.00423229j -0.0030688+0.00267406j -0.000526642-0.0064761j 0.00438552-0.000395408j -0.000429323-0.000282431j 0.000470663+0.0102278j -0.000878991+0.00165363j -0.0101451-0.00685327j -0.00643488-0.00685668j -0.00775886-0.00166393j 0.00385731+0.00265537j 0.00249956-0.0103731j -0.00238823+0.00692195j 0.000239125-0.00194576j 0.00644381-0.00689247j 0.000388131-0.0026528j -0.00485258-0.00198208j -0.0168383-0.00829661j 0.00249342+0.0115632j 0.00134925-0.0103483j 0.00176748+0.00340862j 0.005098+0.00353296j -0.01743-0.00961183j -0.0135929-0.00992556j -0.00211212+0.00120885j 0.0031934+0.00634959j -0.00341535+0.000535799j -0.00809092+0.0129246j -0.0129914+0.000971078j -0.00457939+7.05676e-05j 0.00363907+0.0220314j -0.00785082-0.00183248j 0.0127273+0.00798031j 0.028983+0.0248421j -0.00894452+0.00475593j -0.0115593+0.00418941j 0.00245079+0.0106173j 0.0110372+0.00612256j 0.00347555-0.00466232j 0.00292951+0.0195243j -0.00636845+0.0129037j 0.0171083+0.02657j 0.00196624+0.0105638j -0.014605+0.0170734j 
0.0148508+0.0974166j -0.0156793+0.0142411j 0.0400899+0.0936111j 0.095237-0.0741733j 0.048745-0.00654032j 0.0413599+0.116773j -0.0025828-0.0204345j -0.115056+0.0200351j 0.14702+0.0642499j -0.0125156-0.0169927j -0.1793+0.203453j 0.0906878+0.136665j 0.0223881-0.222957j -0.103998-0.100044j -0.0987176+0.0276001j -0.0208099-0.0482067j -0.0248012-0.0296106j 0.0446376+0.00305886j -0.0436997-0.00692037j -0.0108226+0.0179842j 0.0120217+0.00761199j 0.00233334-0.00738827j 0.0208872-0.0158123j 0.0175493+0.00984401j 0.0105771-0.0075778j 0.0131944+0.0212208j 0.00517753-0.0052879j -0.00668933+0.0261631j 0.0268349+0.00253361j 0.0344838+0.0128976j -0.000121803-0.0398498j -0.0522425-0.0459003j -0.0108037+0.0544365j 0.0143413+0.00839052j 0.0271766+0.0289192j -0.0153728+0.031483j -0.0241737+0.000493329j 0.00580545+0.0160892j 0.00709143+0.00402263j -0.00423146-0.0157701j -0.000183805+0.00121333j -0.0057042+0.0213904j 0.0145008-0.0114605j 0.00818642-0.0133791j -0.00115866-0.0018363j -0.0121288+0.00698308j -0.00605492-0.0036317j 0.00623437-0.00843144j 0.00376853+0.00109237j 0.00123156+0.000954952j 0.00274608-0.00824261j 0.00418459+0.00624241j -0.00646734+0.0118912j 0.00143248+0.00133237j -0.00110655+0.00435628j 0.00292383+0.00742251j -0.00905949-0.00105506j 0.00314171-0.00234532j 0.00722056-0.00316634j 5.78981e-05-0.00447275j 0.0070107+0.00762214j 0.00187529+0.000648851j -0.00497653-0.00239983j 0.0100112-0.00459296j -0.00785965+0.0050678j -0.00554078+0.00741548j -0.00340124-0.00542182j -0.0129931+0.000517168j 0.0034335+0.0183088j 0.00285434-0.019865j -0.0109187+0.0114027j 0.00370379-0.018354j -0.0102621+0.00708216j 0.00309999-0.00934j 0.015812-0.00932857j 0.0131372+0.0143142j 0.00788122+0.00794452j -0.00949762+0.0122581j 0.000912113-0.000901676j 0.0120407+0.000636825j 0.00957017+0.00901232j 0.0149166+0.0147398j -0.0118848+0.00809727j 0.0139492-0.0156193j -0.00917846-0.00442056j 0.00993702-0.00376441j 0.0116587+0.000164687j -0.0102465+0.00763723j 0.0185594+0.0208893j 0.0028106-0.00799662j 0.00717193-0.0138491j -0.000547316+0.0235054j -0.0295849-0.0066884j 0.000732641+0.00249749j -0.00119921-0.000541581j -0.00792137+0.00693518j 0.0115479-0.023909j 
