-0.0066493-0.00757787j 0.00691069-0.00701707j -0.0083116-0.00321192j -0.00237056+0.00861363j 0.00404493-0.00229999j 0.0022043-0.00050407j -0.00417511-0.00530308j -0.00575344+0.00223553j 0.00310244-0.00206201j -0.000460491-0.00409166j 0.000561814-0.00176208j -0.00538623-0.000393588j 0.00217247-0.00482252j 3.60053e-05+0.00192604j -4.12843e-05-0.00122304j -0.00164172-0.000757872j -0.000196036-0.00120438j -0.00105028+0.00128284j 0.00202546-0.000861769j 2.90886e-05-0.00487323j 0.00304927+0.00504117j 0.00448036-0.00206732j -0.00141056+0.000609381j 0.00443151-0.00242074j -0.00344218-0.000340101j -0.001856+0.000974013j 0.00165799+0.00221333j 0.00136641+0.00297319j -0.000444889-0.00141007j 0.000668354-0.000942272j 0.00234686+0.00172736j -0.00075239-7.7994e-05j 0.000838094+0.000833976j 0.00252842+0.000562256j 0.00395326-0.0017318j -0.001022+0.00197974j 0.000745143+0.00212282j -0.000848756+0.00153999j -0.00127474-0.00344663j -0.00157861-0.00509974j -0.00240818-0.00141049j 0.000734028-0.00237042j 0.000846253+0.000230931j -0.00340262-0.00200024j -0.0030981+0.00296053j 2.5928e-05-0.00264129j 0.00189756-0.00348852j -0.00174251-0.00192751j -0.000650189-0.00309021j -0.00249462-0.00029818j 0.000667383-0.000938985j 0.00433777-0.00235429j 0.0013052+0.00192372j 0.00221548+0.00130284j -0.00375646-0.00378561j 0.00220654-0.00494271j -0.0076371-0.000749556j -0.00358523-0.00130823j -0.00280387+0.0141127j 0.00839661-0.00275443j 0.0146549+0.00860818j 0.00220771+0.00876212j -0.000526968-0.00298331j -0.00809856-0.0090274j -0.00366017+0.00356604j 0.00445327-0.00534118j -0.0108424+0.00601784j -0.00715236-0.00924528j 0.0177266-0.00263407j -0.00263919-0.0172868j 
0.00788586-0.00492063j 0.004958+0.00783551j 0.000435008-0.00468372j -0.00448739+0.00039616j 0.00707094+0.00157119j 0.000916817+0.00641964j 0.00321045-0.00590817j -0.00461+0.000431475j -0.000775213-0.00101578j 0.00405042+0.00301467j 0.00193979+0.0064706j 0.00589444-0.00702863j 0.00370948+0.0027454j -0.00486063-0.00171097j 0.00105396+0.00376824j -0.00364425-0.00315288j -7.78214e-05-0.00129358j 0.000561383+0.0038195j 0.000914515-0.000419088j -0.000285769+5.35423e-05j -0.00169844-0.00112738j -0.0011952+0.000145861j -0.000702683-0.000499582j -0.00171528+0.00220234j 0.00242293-0.000436351j 0.00143659-0.000696656j -0.0017935+0.00216434j 0.00028611-0.00185879j 0.00257062-0.0010401j -0.00121422+0.00114483j -0.00277281+0.000609814j -0.00500469-0.00187655j -0.00021113-0.00263303j 0.00232345-0.000532686j 0.00183834-0.00293301j -0.000372636-0.00169602j 0.000438609+0.000900334j -0.00225995-0.00297662j -0.00396298-0.00272473j 0.000531471-0.00074933j -0.000986433+0.000666668j 0.000157887-0.000674916j -0.000787425+0.0050721j 0.000374867+0.00245336j 0.00103671+0.00172297j -0.00189078-0.00134969j 6.38463e-05+0.00568092j -0.000285101+5.2616e-06j -0.00180139+1.14752e-05j 0.00416019-0.00374427j -0.00583358-0.000246588j 0.00301092-0.00279362j 0.00367505-0.00142768j -2.45701e-05+0.00325676j -0.00400522+0.00187369j -0.0056898-0.000959593j -6.18178e-05+0.00608827j 0.00260756-0.00737507j -0.0127075-0.00204102j 0.00712683+0.00900135j -0.0052853+0.0112511j -0.00424223-0.00939777j -0.00412739+0.00649427j 0.00995567-0.00320203j -0.00792626+0.00164085j 0.00499967+0.0153198j -0.00688367-0.00296506j 0.00450972-0.00686833j 0.000947764+0.0176827j 0.0181992-0.000131613j 
-0.00977013+0.00264664j -0.00129807-0.00924654j -0.00133548-0.00706291j -0.0052535+0.00158609j -0.00218392+0.00454776j -0.00435818-0.0042217j -0.00359838-0.000207045j -0.00785044+0.00071367j -0.000892998-0.00957594j -0.00656873+0.00472184j -0.00512164-0.00237434j -8.20819e-05+0.00365822j 0.0029957-0.00202193j -0.00794313-0.000461924j 0.00414897-0.00141458j -0.000169478-0.00121372j -0.00221477-0.0024177j 0.00356866-0.00183414j -0.00133039-0.00735041j -0.000942107-0.000741022j 0.00241986-0.00273344j 0.00181403+0.0015754j -0.00166486-0.0025951j -0.00846312+0.00158787j -0.00131727+0.00140227j 0.00297975+0.00167792j 0.000301853+0.000994461j -0.000896208+0.00172549j 0.00341418+0.0028652j 0.00271517+0.00306701j 0.0022597+0.00454496j 0.000177773+0.00220976j -0.00231874-0.000860345j -0.00297395+0.00362094j -0.00433476+0.00225634j -0.00336667-1.33268e-05j -0.00285026-0.000283395j -0.00272417-0.00264053j -0.000235983+0.000482815j -0.00474485+0.000103525j -0.00130614-0.00136229j 0.00109952+0.00166853j 0.00711417+0.00639867j -0.000463905-0.00129447j 0.00406649-0.00444083j -0.000845427-0.00378381j -0.0049904+0.00391328j 0.00263683+0.00111782j 0.00441277-0.00707238j 0.00292003+0.0063775j -0.00150749-0.00172608j -0.0047153+0.000104696j -0.000716152-0.00893152j -0.00609117+0.00243133j -0.00215803+0.0016498j 0.00188302+0.00788152j 0.00550313+0.00476709j 0.00262792+0.00542191j 0.00707309-0.0076678j -0.00368845+0.00270152j 0.000179031+0.00474319j -0.00836768+0.00422991j -0.0108307-0.00673291j -0.000958102+0.00765139j -0.00162491+1.10148e-05j -0.00360357+0.00437448j -0.0111413-0.0131921j 0.0137745-0.00691938j 0.000219765-0.00816752j -0.0105752-0.00010601j 
-0.00316339-0.00423301j 0.008802-0.00371105j -0.00212975+0.00445131j 0.00179145+0.00163472j -0.00191271-0.00276981j 0.00591943-0.000949521j -0.00291888-0.00089698j 0.00206919-0.00340125j 0.00632643+0.00273125j 0.000503529-0.00641548j 0.00211577-0.00171341j -0.00895931+0.000817618j 0.00292999-0.00248306j 0.00242297+0.000468371j 0.00168937-0.00101144j 0.00231908-0.000143374j 0.00134329+0.00258707j -0.00450745+0.00330278j 0.000490424+0.00118138j 0.000492141-0.00137988j 0.00492236-0.00188752j -0.000937937+0.00417309j 0.000466426-0.00378393j 0.00051092-9.00861e-05j 0.00135161-0.00079316j -0.000375928+0.000724017j 0.00138275+0.000139337j -0.00703563+0.00193587j -0.00459422+0.00146091j -0.0016858-0.0018751j 0.00816348-0.000112268j 0.00205825-0.00256259j -0.00174605+9.15869e-05j -0.000975243-0.00554474j -0.00405126+0.00225204j -0.00251601+0.00372467j 0.00588763-0.00891888j 0.00601451-0.00272313j -0.000775261+0.000912847j 0.00568227-2.37197e-05j -0.000494532-0.00322576j -0.00333963+0.00219258j 0.00739433-0.00238213j -0.0027029-0.00360258j -0.00458926-0.00217318j -0.00595118-0.00189132j 0.00260654-0.00961941j 0.00585546-0.0047873j -0.00179576-0.00942204j 0.00141799-0.00171j 0.00954882+0.00604511j -0.00851183-0.00278452j 0.00458378+0.00332524j -0.0045569-0.0039508j -0.00217042+0.00194094j -0.0140372-0.00172099j -0.00537544-0.00415159j -0.00849648+0.00141991j 0.00238564-0.00147761j -0.00362793-0.00202849j 0.00768118-0.00901261j -0.00457684-0.0110922j -0.00103016-0.0120827j -0.00701011+0.00792341j -0.00260902-0.00296624j -0.0115801+0.00297213j 0.00850268+0.00286885j -0.00268185+0.0122857j 0.000467044-0.00294893j -0.00283227+5.81885e-05j 
-0.00154322+0.00319358j -0.00687694+0.00186366j 0.00355457+0.0037925j 0.0107091-0.00437485j -0.0039344-0.00112844j 0.00603301-0.00196841j -7.81125e-05+0.00125016j 0.00584567-0.00163013j -0.000137618+0.00161445j -0.000171548+0.000658065j 0.00223644-0.00189978j 0.00686712-0.00121402j -0.000369145+0.0026183j 0.00271454-0.000455893j -7.31122e-05+0.00112078j 0.00617457-0.00189909j 0.00593995-0.00089351j -0.000156215+0.000229204j -0.00040785-0.00109863j 0.00159074+0.00329788j 0.00267181-0.00102427j -0.00304632+0.00175257j 0.00120484+1.09971e-05j -0.0104512-0.000470159j 0.00214679+0.000931894j 0.00518216-0.001955j 0.0084916-0.00343039j 0.00261168-0.00597809j -0.00528047+0.00409423j 0.00419946-0.000706308j 0.000254868-0.00522482j 0.00210544+0.0019699j 0.00293569-0.00093415j -0.0075287+0.000876016j -0.000881668+0.00319202j 0.000697307+0.001634j 0.00517897-0.00194314j 0.00437323-0.00256085j -0.00513194+0.00783176j 0.00480341+0.00141478j -0.00533045+0.0035022j -0.00262027+8.47425e-06j -0.0020236+0.00252295j -0.00349003+0.00186344j 0.00601498-0.0021442j -0.00121613+0.00207809j 0.00635148-0.00715014j 0.00523528-7.25937e-05j 0.00272235-0.000468936j 0.000533166+0.00903356j -0.00575791+0.00086532j 8.53354e-05-0.00367264j -0.00455031+0.00118942j -0.00495495-0.00179198j -0.00361895-0.00520784j 0.00464335-0.00339872j -0.00277603-0.00204489j 0.00752584-0.000875963j 0.00562394-0.0055439j -0.00722368+0.00546254j -0.00201448+0.0138228j 0.00505399-0.00357157j 0.00199155-0.00483288j -0.00297462-0.00513862j -0.00116802-0.00411327j -0.0072196+0.000771312j 0.00525029-0.00900271j 0.00996998+0.00845943j -0.00545483+0.0082532j 0.00787462+0.00703124j 
0.0039396-0.00659811j -0.000191445+0.00162944j -0.00124509+0.0016802j 0.000891334+0.00123288j 0.00548705-0.000674132j 0.00223255+0.00128357j 0.00800434-0.00818498j -0.00438366-0.00585303j 0.00470299-0.00163406j -0.00140178-0.00130844j -0.00228256+0.00063749j 0.00715826-0.000910622j 0.000940348+0.00291044j -0.00359087-0.000466692j -0.00483577+0.00428303j -0.00451409+0.000157707j 3.93455e-06-0.000744904j -0.00177559+0.00457237j -0.00116129-0.0040239j 0.00148645-0.00276546j 0.00408472-0.00260326j 0.00228886+0.00171275j -0.000975871-0.00203963j -0.00417154+0.000785981j 0.0019858+0.00256282j 0.00441499-0.00036723j 0.00395866-0.00134852j -0.000982646-0.00632303j 0.000729044-0.000418064j -0.00235343-0.00287309j -0.00625198+0.00339429j -0.00527167-0.00110588j 2.15942e-05-0.00529879j -0.00341108-0.00371503j -0.0027283+0.00890479j 0.00215464+0.00124849j -0.0082253-0.00359382j -0.00843089-0.00287934j -0.000400158-0.00455664j -0.000355585+0.00253997j -0.00149264+0.00114685j 0.00574273-0.000311039j 0.00300307+0.00255931j -0.000674456+0.00465562j 0.00341113-0.00215406j 0.00564869-7.8324e-05j 0.00112375-0.00239898j 0.00277988+0.000710218j 0.0054452-0.0071205j -0.0130241+0.00483333j 0.0013459+0.00219125j -0.00229094+0.0100879j 0.00639113-0.00288993j 0.00105342-0.00783343j 0.00438348-0.00349161j -0.000261744+0.00755903j 0.00566729-0.00432213j -0.00181718+0.00147871j 0.000805567+0.00727973j 0.0017861+0.00279448j -0.0148718+0.001577j -0.0120272+0.0048296j -0.00366234-0.00700049j 0.00134632-0.00365889j -0.00963999-0.00246367j 0.00708563+0.00711317j 0.00794151-0.000880326j -0.000421523+0.00441329j 0.0100515+0.00695528j 0.0104463-0.0070776j 
-0.000740218-0.00101428j 0.00595829+0.000235548j 0.00250761+0.000639371j -0.00131023-0.000307834j -0.00685925+0.00246523j -0.00269346-0.00100529j -0.0053151+0.00274975j -0.00196113+0.000868258j 0.00877713-0.00164492j -0.000506002-0.00449696j 0.00104081+0.00171648j -0.00237067-0.000778255j -0.0044576-0.000605021j -0.00452202+0.00197364j 0.00376631+0.000475215j -0.00104+0.000520263j -0.00150037+0.00289028j 0.00435225-0.000659837j -0.000977784-0.000376081j -0.0109582+0.00272421j 0.0136719-0.00592172j -0.00709145+0.000773231j 0.00396138-0.00285774j 0.0013508+0.000319573j 0.00360789-0.000801986j 0.00644039+0.000350417j 0.00430482+0.00185158j -0.00714012+0.00175805j 0.00501959-0.00155624j 0.0010906+0.00227102j -0.00436863+0.00335674j 0.00187563-0.000172673j 0.00689977-0.000539345j -0.0126517+0.0024281j -0.00285835+0.00456125j -0.0143617+0.00311967j -0.00587929-0.000852786j -0.00506995-0.000155349j 0.00818566-0.000529574j -0.00478873-0.00102296j 0.00350124-0.00260426j 0.0114326+0.00134689j 0.00306479-0.00233348j -0.0167253-0.000891431j 0.00612432-0.000948971j 0.0109023+9.31765e-05j 0.00119115-0.0039842j -0.00485136-0.00125881j 0.00395607-0.00156333j 0.00173547+0.0050855j -0.00658871-0.00274529j 0.00660931+0.000674106j -0.0066483-0.0057329j -0.00747179-0.0030747j -0.000692216+0.00169215j -0.00571021-0.00524827j 0.00691721+0.00140921j 0.00116288+0.00465929j -0.00319858-0.00402015j 0.00534515+0.00205154j 0.0059606+0.00173997j 0.00242723+0.00391892j 0.00256434+0.00874433j 0.0121437+0.00551899j 0.00477094+0.00016773j -0.000983837-0.000602617j -0.00220138+0.00266549j -0.0037518-0.00105285j -0.00294051-0.000327111j 4.46969e-05-0.000279215j 
-0.0052466+0.00305911j 0.00373493-0.0034359j 0.00217472+0.00213086j 0.00130379-0.00106196j 0.00193175-0.00412344j 0.0056511+0.00294705j 0.00667986-0.000752377j 0.00632942-0.00304686j -0.00797412+0.00610071j -0.00935061+0.00613548j -0.0076061-0.00110162j -0.00187322+0.00215348j 0.00834164-0.00167009j 0.00429651+0.000250806j 0.00767623-0.0051336j -0.00329364+0.00563467j -0.000654106+0.00231293j -0.00281328+0.000645001j 0.000533469-0.000461446j 0.0132845-0.00211109j 0.0118608-0.000724535j 0.00526869+0.00251764j 0.0046239-0.00186404j -0.00752497-0.00183128j 0.00613825-0.00270113j -0.00415729-0.0011131j -0.00114135+0.00156608j 0.00123026-0.00273082j -0.00468718+0.000370202j -0.00311705-0.0017629j -0.0101306-0.000503607j -0.004138+0.00126174j 0.00244833+7.58468e-05j 0.00675963-0.00206892j 0.00133162+0.0138091j -0.00134212+0.000493982j -0.000932936+0.00196867j -0.00661625+0.0011047j -0.00242722+0.00411982j -0.00274045+0.00152632j -0.00651913+0.00384841j 0.00377366-0.00061852j 0.0026918+0.0055274j -0.00317276+0.0025928j 0.00311124+0.00307494j -0.00148403-0.00107679j -0.00122919+0.000558524j -0.00838719-0.00474172j 0.00569526-0.00180282j 0.00564571-0.000334739j -0.000308434-0.00192766j 0.00542113+0.00483649j -0.00437122+0.00140167j 0.00985113+0.00400462j 0.00153293-0.00100703j -0.00155367-0.00103478j 0.00561017+0.00884634j -0.00618939-0.00656893j -0.0109716-0.0092917j -0.00132692+0.0023169j 0.000269794-0.00089696j 0.0053084+0.00263798j 0.00141304+0.000369695j -0.0070937-0.00582884j -0.00619402+0.00717741j 0.0101591+0.00559577j -0.00327057+0.00348112j -0.00374983-0.000393586j -0.00382483-0.0044648j -0.00571922+0.00119648j 
-0.000947501-0.00149651j 0.00261098-0.000625046j 2.45707e-05-0.000651161j -0.00160398+0.00123779j -0.00533415+0.00130316j -0.00249073-0.00124853j -0.00866284+0.00251056j -0.00207683+0.00216267j -0.0022081+0.00206771j 0.0036446-0.000982771j -0.0020309+0.00222182j 0.00969846-0.00260936j -0.00739902+0.00377489j 0.00142475+0.00258841j 0.0113291-0.00273084j -0.00150913+0.00162637j 0.017536-0.00544844j -0.00373461+0.00105428j -0.000944984+0.0024702j 0.00413687-0.000450123j 0.00170305+0.000309889j -0.000223975-0.00170015j -0.0037388+0.000397212j -0.00189062-0.000594351j -0.00555801-0.000308366j -0.00237129+0.00216575j -0.0170394+0.00228614j 0.00404949+0.00195554j -0.00378844+0.00217933j 0.0105379+0.000658793j -0.00150557+0.00103884j 0.00685463-0.00331375j 0.00475457+0.000523801j 0.00536252+0.000729241j -0.00033544-0.00347335j -0.00567728+0.000872519j -0.01417-0.00277263j -0.00368172-0.00315842j 0.00102197+0.00306812j 0.00225204+0.000697749j -0.00358147-0.000229148j -0.00608843-0.00340476j 0.00650399-0.00088981j 0.0106149-0.000221561j 0.00457325-0.00220189j 0.0011228-0.000948317j 0.00478948+0.000609452j -0.00193497-0.00130599j -0.00455658-0.00157538j -0.0028363+0.00385445j -0.0132581-0.00358182j -0.00233098+0.00242167j 0.00830578+0.000876117j 0.0115704+0.0041016j 0.00337075+0.00180419j 0.00735161+0.00105597j -0.00431938-0.00154016j 0.000869397-0.000584938j -0.00841668-0.000345972j 0.00827482+0.00161088j 0.00141299+0.00335642j -0.00970438-0.00567506j 0.00504872+0.00133619j 0.00456039+0.00204051j 0.00292561-0.00214493j -0.00209602-0.00105667j -0.000421232+0.00111757j -0.00275569+0.0002941j 0.00139537+0.000518337j 0.00125008-0.000790029j 
0.00616522-0.00101701j -0.00350222+0.0018389j -0.0105733+0.000440946j -0.000770675+0.00242625j 0.00399128+0.000757866j -0.00164475-9.2407e-06j 0.00036128-0.000116533j 0.0045812+0.000653455j -0.000793688-0.0014927j 0.00972274-0.00165666j 0.00154754+0.000351976j -0.0072732+0.00111579j -0.00247342-0.00021387j 0.00821176+0.000289988j -0.00215562-0.000831283j -0.00116803+0.00136603j 0.00546646-0.00408403j -0.0141847+0.0014571j 0.000787937+0.00084879j -0.00589371+0.00107399j 0.00560708-0.000340916j 0.00367131-0.00460797j 0.00183138+0.00043343j 0.002536+0.000914895j -0.00145338-0.000516177j 0.0161626-0.00494029j -0.00318412-0.00127469j -0.00166222+0.00191331j -0.0103157+0.0001806j -0.00683723-0.0005161j 0.000607986+0.000220569j -0.00703911-0.0016119j 0.00252218-0.000471573j -0.00195676-0.00209922j -0.00257798+0.0132513j -0.00544296-0.00207697j -0.00762959-0.00152933j 0.00998381-0.000257265j -0.0058984-0.00282514j -0.00276809+0.00135978j -0.000990893-0.00105299j 0.00665751+0.00140081j -0.00112213+0.000125029j 0.0132336+0.000583657j 0.0158549+0.00526527j -0.00575223+0.000877053j -0.00837402-0.00213254j -0.0051538+0.00115621j -0.00219114+0.00168992j 0.0164442+0.00362378j -0.00256361-0.00290352j -0.00203194+0.000969856j -0.00867787-0.00272924j -0.00474989-0.000236354j -2.66486e-05+0.000149422j -0.00124995+0.00132624j 0.00451037-0.00042295j 0.00183453-0.00125737j -0.00274371+0.00104721j 0.000571363-0.000380693j 0.00255724+0.00175894j -0.00241141-0.000205567j -0.00840072-0.000235606j -0.00107885-0.000116199j -0.00097778-0.00233906j -0.00307385-0.00262925j 0.00258154-0.000679098j 0.00479051-0.00230283j 0.00298775-0.000511141j -0.00122936-0.00015214j 
-0.00453957+0.00127047j -7.13357e-05-2.11588e-05j 0.0108784-0.00447658j -0.003384-0.00133128j 0.00641486-0.00204748j 0.000977112+0.00112021j -0.00430555-0.000846277j -0.00787328+0.00301296j -0.00547158+0.00269656j -0.00556773+0.00117516j 0.00790582-0.00219191j -0.0021609+0.00140388j 0.00131289+0.000702779j 0.0110518-0.0045575j 0.00178508-0.000276016j 0.00264082-0.00077562j -0.00577424-0.000547662j 0.00332354+0.000695245j 0.00598062-0.0019612j -0.00701847+0.00154189j -0.00411707+0.000128321j 0.00730629+0.000146161j 0.00747132-0.00298292j -0.00532777+3.3842e-06j -0.0139233-0.00164097j 0.00535382+0.00190204j -0.00724829-0.000173574j -0.000482943-0.000789866j -0.0107795-0.000540761j 0.00209621-0.000703251j -0.00919944-0.000447132j 0.00893942+0.00180084j -0.0126488-0.000770813j -0.0133135-0.000387833j -0.00203338+0.00554955j -0.00633859+0.00156345j -0.00323196-0.00105316j 0.003739+0.00363068j -0.00206582+0.00148264j -0.0137033-0.00468288j -0.00239056-0.000183757j -0.00551799-0.000407955j 0.0030427-0.00352716j -0.00571629-0.000286233j -0.000768363-0.00264307j -0.001031-0.00128628j -0.00157194+0.00488593j -0.000731982-0.00345565j 0.000130807+5.52385e-05j 0.00748211+0.00178546j -0.00157875+0.00214133j -0.00183844+0.00102568j 0.00666105+0.00231388j 0.00378696-0.000392355j -0.00652247-0.00492317j -0.00290563-0.000577137j -0.00621504-0.00178727j 0.000883497+0.00250261j 0.00587742+0.00132739j -0.00601813-0.00238162j -0.0074726-0.00374885j -0.00162374-0.000379416j 0.00740674-0.00180166j -0.00246748-0.000706311j 0.00358516+0.00214054j 0.00336814+0.000358547j -0.00489654-0.000801365j -0.00211873+0.000376517j -0.00263735+0.000967002j 0.00321969-8.78929e-05j 
