-0.00355638-0.00429951j 0.00117903-0.00744357j 0.00196809-0.00715045j 0.0047192+9.33563e-05j 0.000339319+0.00299151j -0.002118+0.00389567j 0.00574992+0.000617386j 0.00181721-0.00608754j -0.000686271+0.00150146j -0.00067711-0.00571649j -0.00469147-0.00165811j -0.00419367-0.00280186j 0.00255723-0.00741662j -0.00105898-0.000920772j -0.00297863-0.00148886j -0.0015307-0.000731989j -0.000571576+0.00109631j 0.00147982+0.00125263j -0.00271111-0.000697633j -0.000798895-0.00239864j 0.000479782+0.00607818j -0.00392471+0.000553055j 0.0012674+0.00333421j -0.00125807+9.00291e-05j 0.00196912+0.00188984j -0.000283325-0.000911053j 0.00202681-0.00312242j 0.000768597+0.00160582j 0.00220761-0.000533304j -0.00145851-0.000733306j -0.00148244+0.000483373j -0.00114559+0.00279435j 0.00224587+0.0037189j 0.000300577-0.00280621j -0.0021557-0.000558425j -4.1961e-05+0.00168484j 0.00410733-4.81108e-05j 0.00168388+0.00267901j 0.000713936+0.00220551j 0.00279203+0.000455364j 0.00150221+0.000109557j 0.00246036+0.00072276j 0.00314046+0.000189559j -0.000255046+0.00283192j 0.00230468+0.000274692j 0.000519852+0.00213961j 0.000802137-0.000993589j 0.00186822+0.000287576j -0.00269775+0.00369242j 0.001966+0.00105143j 0.000634424+0.000681808j -0.00165222+0.00173214j 0.00140293+0.00155142j -0.000449557-0.00451741j 0.00258865+0.000287343j 0.00169013+0.00605319j -0.0015207-0.00126001j 0.000815363-0.00532683j -0.00393027-0.00250081j -0.000914801+0.00175788j 0.000422809-0.00346616j 0.00176138-0.00023882j -0.00489127+0.00368638j 0.00318031-0.00273867j 0.000866008+0.00372241j 0.0114321+0.00152789j -0.0164008-0.0221737j 0.01203-0.0150946j -0.0117682-0.0169105j 0.00369767-0.00289774j -0.0344755-0.000787336j 0.0126317-0.0210582j -0.0457049-0.00230273j -0.0382834+0.0055459j -0.0139068-0.0105259j -0.064034+0.0181585j 0.0161054+0.0473251j 
-0.00116484+0.00752978j -0.00354524-0.00441007j -0.00472697-0.00041374j 0.00195539-0.00744927j 0.00209095-0.000675493j 0.00261639+0.00209747j 0.00210334-0.00691178j -0.00581969-0.000893498j -0.00197505-0.0017202j -0.00305706-0.00250231j 0.000469781+0.00627497j -0.00269579+0.0047714j -0.00525976-0.00151292j -0.00160912+0.000510797j -0.00247146+0.0012726j -0.00163205+0.000825251j 0.000722871+0.00128176j -0.00070486-0.00113989j 0.000136722+0.00340107j -0.00226135-0.00173105j 0.00512351-0.00041788j 0.000593699+0.00560674j 0.00203697-0.0031198j 0.00144708+0.00263196j -0.0002171-0.00285781j -0.00153838+0.000241076j -0.00194289+0.000656428j 0.000895369-0.00109955j -0.000973437-0.00264021j 0.000120978+0.00108388j 0.000493253+0.000156622j 0.00157629+0.00228675j 0.00326187-0.00182379j -0.00210132-0.000797296j 6.19902e-05+0.00133408j 0.00154265-0.000328403j 0.000738309-0.00281768j 0.00197022-0.0031248j 0.00161462-0.00191589j -0.000695438-0.0034052j 0.00081679-0.000129745j 0.00126142-0.00179315j 0.000727411-0.00374432j 0.00289771+0.00176824j 7.96781e-05-0.00303318j 0.00283019-0.000150942j -0.00173212-0.00107856j -0.000506982-0.00230512j 0.00246042+0.00538293j 0.000225502-0.000527725j -0.000749454-0.00325496j 0.00228872+0.00199428j 0.00033998-0.00408457j -0.00313335+0.00205707j -0.00129385-0.00296954j 0.00132437+0.000486221j -0.00271568-0.00110743j -0.00270274-0.00491988j 0.000435612+0.00373706j 0.00247511-0.00529534j -0.0033427+0.000535618j 0.00062218-0.00384823j -0.00156144+0.000819382j -0.00386419+1.86996e-05j 0.00739766+0.00369712j -0.00655575-0.0113598j -0.0146314+0.0105677j -0.0178988-0.02581j -0.00407176+0.00821254j -0.00754268+0.00509197j 0.0012336-0.00506235j 0.056925+0.00367717j 0.0146573-0.0229242j -0.0118687-0.0105629j 0.040919-0.00768159j 0.0158526+0.0474004j 0.0636745-0.017949j 
-0.000115599-0.0062445j 0.00146908+0.00449015j 0.00169003+0.00386365j -0.0030932-0.000735789j 0.00029207+0.00181365j -0.0013212+0.00216836j -0.00266005+0.00212062j 0.00159115+0.0107604j 0.00391528+0.0105693j 0.00118459-0.00421043j -0.00143008+2.85895e-05j 0.00408183-0.00320765j -0.000864869+0.00475133j 0.0022995+0.00434819j 0.00434313+0.0116479j 0.00325635+0.0071847j -0.00139534-0.00511217j 0.000244513+0.00443327j 9.31665e-05-0.00251115j 0.00248803-0.00740447j -0.00236922-0.00501452j 0.000725234-0.000475724j 0.00129247-0.00346082j -0.00195121-0.00097593j 0.00163326+0.00109496j 0.00227468+0.00257816j -0.00586818-0.00284401j 0.00163778+0.00221195j 0.00017381+0.0031831j 0.00160523-0.00160884j 0.00360734+0.00454928j 0.000284122-0.00388711j -0.00467433-0.00279055j 0.0005234-0.0006486j 0.00262686+0.00411986j -0.000362392+0.000499374j -0.00651358-0.00624868j 0.000429651+0.00690795j 0.000603021+0.00564758j -0.00167251-0.000465204j -0.0016913-0.000208427j -0.00417188-0.00166237j -0.00376114-0.0118021j -0.001641-0.00226436j -0.00293286-0.00589595j -0.00385541-0.00903182j 0.000952718+8.16132e-06j -0.00202121+0.00555681j -0.00181871-0.00306579j -0.00358129-0.0020939j 0.00737679-0.00604229j 0.00105129-0.00840357j 0.00610608-0.00258014j -0.00282459+0.0079659j 0.000909057+0.00604196j -0.00165298-0.00405584j 0.011447+0.010957j 0.00682749+0.0128938j 0.0135737-0.0040179j 0.0127188+0.0103304j -0.00469637+0.0119251j -0.0102846-0.00820454j 0.0203538+0.0075897j -0.00188242-0.0086514j -0.0194318+0.0072888j -0.00400289-0.0212085j 0.0196496-0.0133019j 0.00231843-0.0152859j -0.0157888-0.0149383j -0.0211657-0.00200182j -0.0240788+0.00195734j 0.00719326-0.0130331j 0.0147422-0.00144114j -0.0453258+0.0255682j 0.0131937+0.0379334j 0.00814075-0.00569516j -0.00654173+5.35864e-05j 
0.00169222+0.00557162j -2.40375e-05+0.00557417j -0.00423217-0.00379372j -0.00134169-0.00245823j -0.000482966+0.00318385j -0.000324033-0.00754907j -0.000565473-0.00457264j -0.0044321-0.00581518j -0.00381991-0.000462743j 0.00313501+0.00887914j 0.00261448-0.00294893j 0.00180511+0.00514949j -0.00207402-0.000368061j -0.00451178+0.000601685j -0.00221858+0.00212983j -0.00325747-0.00125721j -0.000852641-0.00261255j -0.000733491-0.000734052j 0.00173514+0.00188854j -0.000472144+0.00177059j 0.00389543-0.00348085j 0.00341694+0.00186801j 0.000304365+0.000934954j 0.00313164+0.00267522j -0.0028337-0.00281716j -0.000670385+0.000664928j 0.00211325-0.000502516j -0.00142765+0.00268311j -0.0028614-0.000895658j 0.00190287+0.00622551j -0.00183412+0.00350207j -0.000931598-0.00330924j 0.00248589-0.00713465j 0.00127949+0.00406818j 0.00128574+0.00703685j 0.00200754-0.00239912j 0.00221356-0.00570574j 0.0045214+0.00952726j 0.00149985-0.00159724j -0.00215433-0.00666717j -0.00185049-7.18574e-05j 0.00127255-0.0025216j 0.00184497-0.00546999j 0.00201642+0.00343388j 0.00151876+0.00306282j 0.00543241+0.0019364j -0.00210148-0.00453696j -0.00185546-0.00343327j 0.00314521+0.0158362j -0.00212704+0.000761529j -0.00127577-0.00343621j 0.00365582+0.00585173j -0.00455386-0.00700324j -0.00129407+0.00803451j -0.00692711-0.00502996j -0.0111277-0.0097658j -0.00721414+0.00347563j -0.00125566+0.0101019j 0.00228365+0.0248362j 0.00406355+0.00596771j -0.0130122-0.013155j 0.00618932-0.0119665j -0.00454142-0.00208296j -0.0129034-0.0116088j 0.0136362+0.00924611j -0.0312627+0.00978363j 0.0046164-0.0343634j 0.00647816+0.0165165j -0.0100315+0.0183192j 0.0143851-0.00868j -0.0357192+0.0217703j -0.00209793-0.00438585j 0.0286546-0.0120619j -0.00745137-0.039413j -0.0348307+0.0179017j 0.00645665+0.00101624j 0.00834829-0.00536963j 
0.000416055-0.000646159j 0.000612821+0.00200721j -0.00171287-0.00786184j -0.0012422-0.00151354j -0.00113495+0.00437388j -0.0023935-0.00982636j 0.0011998-0.000679085j -0.000872363-0.00566979j -0.0031958-0.0035962j 0.00289438+0.00551776j 0.000575368-0.00489448j 0.00329919+0.00358012j 0.00234986+0.00271749j -0.00437057-0.00290434j -0.00237202-0.00672298j -0.00151109-0.00220968j -0.00187253-0.00505512j 0.00209135-0.00199436j 0.00198238+0.00225374j -0.00267836-0.0038696j 0.00149482-0.00193841j 0.00417491+0.00324164j -0.000694199+0.00133978j 0.0025768+0.00676326j -0.00192476-0.00556811j 0.000768813+0.00142832j 0.00505374+0.00879912j -0.00205015+0.00659758j -0.00230243-0.00521435j 0.000426858+0.00729058j -0.00402022-0.00289409j -0.0020494+0.00545676j 0.000589119-0.00691131j 0.0035953+0.00753939j 0.00193881-0.00510817j 0.000323636-0.00422637j 0.00432301+0.00607153j 0.00576008+0.00518327j 0.0025675-0.00544129j -0.00234325-0.000269867j -0.00148463+0.00129927j -4.94335e-06+0.0025607j 0.000501515+0.0104151j -0.000968063-0.0016827j -0.00338859-0.000210856j 0.00230298+0.00932488j 0.00235686+0.000348948j -0.00339727-0.0141398j 0.00380346-0.000155159j 0.00151801+0.00714538j -0.0010201+0.0103899j 0.00107727+0.0103555j -0.0161956-0.000250726j 0.00769386+0.00996654j -0.0116264+0.00386027j -0.00876662+0.00548989j -0.00222865+0.0124179j 0.00452173+0.00380979j -0.0209862-0.0175426j -0.016265+0.00711866j -0.0119077+0.045181j 0.0125233+0.00530639j 0.00107805+0.0264762j -0.00292988-0.0275306j -0.00977761+0.0217991j -0.00169294-0.000963417j -0.00944665+0.0140308j -0.0109627+0.00663672j 0.00818106-0.00995827j -0.0253979+0.0215389j 0.00506382+0.0016337j -0.0320364+0.0201757j -0.00444732-0.0316644j 0.00599138-0.00792514j -0.00827252+0.00617385j 0.00135285-0.000825417j -0.0032634-0.000825558j 
0.000185696-0.00144182j 0.000314655+0.00479538j 0.000453061+0.00224779j -0.00134164+0.00537389j -0.00134369-0.00664924j 0.0021294+0.000895107j -0.00282057-0.00225647j 0.00105455-0.00207943j 0.00180615-0.00266731j 0.000924749+0.000202796j 0.0021564-0.00470799j 0.000566055+0.00343101j 0.000188588+0.0037742j 0.000104536-0.00165484j 0.00261607-0.00214851j 0.00275408+0.00307093j 0.00207888+0.00698121j 0.000496875+0.00770363j 0.000558511+0.00347604j 0.00230814+0.00367014j 0.000327143+0.000303621j 0.00316415-0.000139103j -0.00294239-0.00106826j -0.000746641-0.00361796j -0.00158385+0.000761795j 0.00226598+0.00351384j 0.000127815+0.00688969j -0.00137568+0.000254836j -0.00458631-0.00928262j -0.00479158-0.0152156j -0.00108721-0.00526505j 0.00288443+0.0037727j 0.00140973-0.00167016j -0.00297165-0.00289977j 0.00155591+0.0108014j 0.00236203-0.00465399j -0.00659761-0.0015629j 0.000375396-0.013121j 0.00338414-0.000857406j 9.38927e-05-0.00690351j -0.00451984+0.00390681j -0.00321887-0.0084082j -0.00319089+2.56304e-05j -0.00119375-0.00471267j 0.00588504+0.00907238j -0.000199638-0.00937438j -0.00531108+0.00498047j 0.0120149+0.015414j 0.00653081+0.0104404j -0.0107746+0.00095629j -0.00341431+0.00832961j 0.00663598+0.0137418j -0.000536656-0.0102971j -0.00762021-0.0118017j -0.00664941-0.0171514j -0.00484543+0.0203814j 0.00817211+0.00087047j -0.00761075-0.00913152j 0.00456716-0.00337763j -0.00125906+0.0476753j 0.0195371+0.0118106j 0.0262425-0.0129532j 0.00644954-0.0206868j -0.0147552+0.00554091j 0.00950822-0.000882347j 0.024982-0.0247593j -0.00650669-9.86664e-05j -0.000334766+0.00303103j 0.0127428-0.0101771j 0.00807486+0.00412488j 0.0263559-0.0196026j 0.000950879-0.0345642j 0.0209008-0.00995881j 0.00450024-0.00208784j 0.00185805+0.00190433j 0.00739288-0.00146333j -0.000621537-0.00125405j 
0.000795908+0.00697558j 0.000107519+0.00239938j -0.00330199-0.000527907j -0.000821035-0.00344394j 0.00197599+0.00223125j 0.00185419+0.00312261j 0.00119494+0.00152925j -0.00441327-0.00306534j -0.00181445+0.000310339j 0.00179856+0.00654012j 0.00115047-0.000447445j -0.00261284+0.00305469j -0.00254014-0.00364875j -0.00256426-0.00742979j -0.00201343-0.000838808j -0.00313019-0.00532705j -0.00179846-0.00299325j -0.00475739-0.00465125j 0.000348633-0.00587682j -0.00092754+0.00681579j 0.00307247+0.00439378j -0.00233941+0.00295434j -0.000337856-0.00212135j 0.00413619+0.0036953j -0.00351159-0.00327717j -0.00148753+0.00591354j 0.00290185+0.00530811j 0.00217331-0.00230181j -0.000942366-0.00193045j 0.00175031-6.15554e-05j 0.000719473-0.00422627j -0.000511699+0.000452282j 0.00430425+0.00528663j -0.000622682-0.000327336j 0.000221291-0.00467448j 0.00526012+0.0131979j 0.00503086+0.0048489j -0.00270281-0.00996366j 0.000250975+0.00141236j -0.000833566+0.000590822j 0.00299696-0.00227985j 0.00473851-0.00272292j 0.000271218-0.000287457j 0.00410145+0.00198067j 0.00439247+0.00595298j 0.00754075+0.0093125j -0.00538245-0.00545144j 0.00112841+0.00143378j -0.000107306+0.00637692j 0.000457865-0.0169096j -0.0127699-0.00558132j -0.00959441-0.0277652j -0.00512578-0.00946138j -0.00243953-0.0108064j 0.00455792+0.00773251j -0.000827587+0.019019j -0.0110377+0.0060828j -0.00610581+0.0386493j 0.00768095-0.0193714j 0.0171055+0.0013231j 0.0137006-0.00319639j -0.002325-0.0266141j -0.00745776-0.0172565j -0.00530331+0.0148158j -0.0154168+0.0167491j 0.0123242-0.0142798j 0.0059435-0.00245682j -0.00851296+0.0107172j 0.00243026-0.0116123j -0.0213373+0.0176652j 0.00427053+0.0298215j 0.0184793-0.0097667j -0.00437986+0.0141519j 0.00551011-0.00996523j -3.35188e-05-0.00131923j 0.000174739+0.00168017j 0.00752465-0.00229831j 
0.000110044+0.00235069j -0.00049681-0.00368843j 0.000635204+0.00124862j 0.00311658+0.00439885j 0.000458701-0.00201772j 0.00191816+0.00601726j -0.00056333-0.00334746j 0.00112647-0.00237261j 0.00133081+0.00415818j -0.0017464-0.000257895j -0.00120619+0.000946695j -0.00636816-0.00877535j -0.00176204-0.00758426j 0.00177216+0.00387024j -0.000486018+0.00455155j -0.00302739-0.00855063j 0.00387865+0.00792939j -0.00202832+0.00403691j -0.00272278+0.00159227j 0.00396344+0.00987974j -0.00211716+0.00323952j -0.00658008-0.00808008j 0.00107157+0.00309622j -0.00179953-0.00733858j 0.00160743+0.00304684j -0.00227715-0.00964852j 0.00163957-0.00243218j 0.00122335-0.00773926j 0.00213837+0.00748001j -0.00237575-0.000242225j 0.000329616-0.0012349j 0.00186488-0.00362006j 0.000951987+0.0126602j -0.00253583-0.00940642j -0.00482864-0.00870762j -0.00318823-0.00206578j 0.0015164+0.000677744j -0.009783-0.0058054j -0.00803805-0.00264814j 0.00576428+0.00760632j 0.00233285-0.0119691j 0.00512987+0.0085333j 0.00583451+0.00632867j -0.00137219-0.000969163j -0.000175939+0.00128138j -0.00185141+0.000247836j 0.000356045+0.0133448j 0.00566767+0.00808827j 0.00265013-0.000518653j 0.00637521+0.00735398j -0.00562309+0.00926388j 0.00324647-0.00170037j 0.00887539-0.0400543j 0.00214365+0.0321504j 0.00401335-0.000388434j 0.00563562+0.00615207j 0.0106752+0.011534j -0.00156342+0.00673483j -0.0020467+0.0138389j -0.00266241+0.00604054j 0.0048591+0.00642505j -0.00387779-0.010576j 0.00423977-0.0171998j 0.00529174-0.0248946j -0.000137991-0.000273401j -0.0146654+0.00421517j -0.0100524+0.00635589j 0.0118796-0.0019103j 0.0232829-0.0245582j 0.00285876-0.0251158j -0.00538964+0.00395269j 0.00545888-0.00434275j -0.00261131+0.00773613j 0.00444177+0.000702993j 0.00339744-0.0096571j -0.00473972+0.000968553j 0.000483169+0.000681966j 
4.49367e-05+0.00240242j 0.000291187+0.000802341j -0.0020088-0.00409273j -0.000996578-0.00558887j 0.000206529+0.00229025j -7.96425e-05-0.00146983j 0.00147335-0.00314105j -0.00367865-0.00322397j -0.00204569+0.00090807j 0.000229321-0.0039915j -0.00238566-0.00573335j -0.00148519-0.00122141j -0.000792003-0.000440521j -0.00380692-0.00278503j -0.00366167-0.0021195j -0.00290251-0.0046602j -0.000560019-0.00202603j 0.00158892+0.0053183j 0.00131829+0.00429823j -0.000697928-0.000823484j 0.00324547+0.000981055j 0.000613434+0.00314508j -0.000211849-0.00530917j 0.0016088+0.00350984j -0.00151399-0.00835426j 0.0014554+0.00604032j 0.00421675+0.00769061j 0.000931294+0.00564521j -0.00131006-0.00258336j -0.000472384+0.000685751j -0.00286003-0.00227431j -0.00399907-0.000658786j 0.00373929+0.000660074j -0.00194528-0.0109071j 0.000278762-0.00341794j 0.000964954-0.00307858j 0.00235185-0.00238488j 0.00854264+0.00942036j -0.00305449-0.0126638j 7.68752e-05-0.0100713j -0.000636293+0.0110652j 0.00272109+0.0120637j -0.00026665-0.0176616j 0.0088664+0.0445983j 0.000996851+0.0166761j -0.00231478-0.0282864j 0.00742932+0.0266061j -0.000830604+0.0115278j -0.0046319-0.0179432j 0.00719498-0.000186116j -0.00821944+0.0183874j 0.00587299-0.00611781j 0.0042129+0.00944329j 0.00809412+0.00446814j 0.00698019-0.0501805j -0.00889469+0.00765722j 0.00196413-0.000768651j -0.00368948+0.014276j 0.0110709-0.0328092j -0.00612751+0.00887242j -0.0109314+0.0271293j -0.00411559-0.00395246j 0.0127362-0.00876238j -0.00491138+0.00218206j 0.00697776-0.0147601j 0.00056967-0.0142454j -0.00876-0.00419899j 0.0146178-0.0193043j -0.00335293-0.0100697j -0.00500817+0.00922686j -0.00129906+0.0048187j -0.00216727+0.00366211j -0.000268742-0.00119167j -0.000526648-0.00548543j -0.00352494+0.0016994j -0.00158881+0.000685064j 0.00390266-0.000159814j 
0.000305605+0.00203494j 0.000872976+0.0032189j -0.00200308-0.00535621j -0.00235464-0.00391423j 0.000517868+0.00463654j 0.000759975+0.00118509j 0.00220936+0.00291286j -0.00387716-0.00838123j -0.00221455+0.00250968j 0.00467552+0.0089979j -0.000939902-0.00960238j 4.88007e-05+0.00374551j 0.00101306-0.00382208j -0.00457858-0.00485479j -0.00365581-0.00283743j -0.00275269-0.00148643j -0.00331015-0.00382871j -0.00285086-0.00364741j 0.00093737-0.00724876j 0.000782246+0.00969586j 0.0030587+0.00404285j -0.00100369-0.00324136j -0.00183546+0.0023088j 0.00190586-0.00364991j -0.00415278+0.00166719j -0.00216979-0.000239171j 0.00612968+0.000184303j -0.00248569-0.00492928j -0.00198465+0.0035775j 0.00158983+0.00727556j -0.00400588-0.00713766j -0.00345528-0.00589965j 0.00549768+0.00637595j 0.00501524+0.0135383j -0.000415992-0.00137264j 0.00598885+0.0202083j 0.00855077+0.00566368j -0.00367603+0.00329701j 0.00070207+0.00317301j -0.00284982+0.00170353j -0.00209678-0.00302014j 0.00152666-0.015316j 0.00271504-0.00178936j -0.00712066-0.0206346j -0.00124488-0.0286417j -0.00232211-0.0153282j -0.000870865+0.0110224j 0.00464009+0.0315938j -0.00118038-0.00339081j -0.00118049+0.00539418j -0.00204959-0.0283835j 0.00446928+4.58187e-05j -0.0132446+0.0151733j -0.0048538+0.0202216j 0.00286273-0.0092382j 0.00237798+0.0117204j 0.00334547-0.0143425j -0.00326965-0.000791574j -0.00457981+0.0204658j 0.00116929+0.0112679j 0.000653075-0.00462639j 0.00279625+0.0109991j 0.00153651-0.00914313j 0.0164153-0.00914775j 0.00771478-0.0217095j -0.00482028-0.00792978j 0.0113263-0.0170765j 0.00156069+0.00842843j 0.00362945-0.0046611j -0.00575807+0.0139122j 0.000602675+0.00910007j 0.000867176-0.000877776j -0.00198082-0.000100722j 0.00531435-0.00599601j -0.00681842+0.00312355j -0.000748683-0.000496872j 0.000404738-0.00110977j 
-0.000254755-0.00323445j 0.000110725-0.00183723j 0.000991661-0.00515971j 0.000732968+0.0014813j -0.00161016+0.000118314j -0.00119742-0.00155297j 0.000839776-0.00260379j 0.00200083-0.00448163j 0.000309535+0.00404529j 0.00183126-0.000529322j -0.00416726-0.0136326j 0.000449369-0.000242986j 0.0035192-0.00201667j -0.00199259-0.000874085j -0.00189414-0.00161209j -0.000920234-0.0042679j 0.00326178+0.012399j 0.00242082+0.00684417j 0.000364486+0.00109106j 0.00303904+0.00420456j -0.00106316+0.00405517j 0.00219887-0.00184683j -1.55006e-05+0.00565601j -0.000935305-0.00615923j 0.00303996+0.0207338j 0.00456344+0.00864655j 0.00673957+0.0089854j -0.00343438+0.0015867j -0.000616043+0.00445082j -0.00580344-0.0116277j -0.00786529-0.0101754j 0.00418503+0.0125176j 0.000901265+0.00988246j 0.0067028+0.00591412j -0.00208317+0.00878901j -0.00443815-0.0132278j 0.00199532+0.00206694j 0.0049245+0.00475723j -0.00115504-0.0218937j 0.00989188+0.0107256j -0.0135812-0.0304245j -0.00926595-0.0226588j 0.00359405-0.0190674j -0.00536457+0.0037784j 0.00074554-0.00167077j 2.11069e-05-0.00450837j -0.0023925-0.0023089j -0.0010206+0.00319478j 0.00653797-0.01406j 0.00498644-0.0306563j 0.0042513-0.0313803j 0.00979563+0.00393624j -0.00529687-0.0106645j 0.0012472-0.0135959j -0.00948254+0.00117243j 0.000767359-0.0144246j -0.00730538+0.0231276j -0.00475275+0.00737661j -0.0153131+0.00914484j 0.00195945+0.000524657j 0.00706035-0.0108744j 0.0059095-0.0112714j -0.00548339+0.00306958j -0.00546041+0.0084992j -0.00691885+0.0116294j 0.00845559+0.00144128j 0.0115422-0.0216467j 0.0108411-0.00303034j 0.00561815-0.0104649j 0.00204167-0.00136227j 0.00340878-0.00753736j -0.00591863+0.00261104j 0.00330956-0.00945442j 0.000677501+0.00186484j -0.00547338-0.00139737j -0.00363887-0.00103526j -0.00436118+0.00113843j 
